 4396 ; Бона иностранная ;  ;  ;  ;  ; 51 ; хъ0 ; 53 
 2896 ; 3 марки. Саксония ; 1909E ;  ; Ag ; VF-XF ; 6 ; trifons ; 1100 
 2897 ; 3 марки. Гамбург ; 1909J ;  ; Ag ; VF ; 33 ; trifons ; 950 
 2898 ; 3 марки. Баден ; 1910G ;  ; Ag ; VF-XF ; 2 ; Mike! ; 1003 
 2899 ; 3 марки. Пруссия. 100 лет разгрома Наполеона ; 1913 ;  ; Ag ; VF-XF ; 18 ; vitapool ; 807 
 2900 ; 3 марки. Пруссия. 25 лет правления ; 1913A ;  ; Ag ; XF ; 46 ; zegov ; 1151 
 2901 ; 3 марки. Саксония ; 1913Е ;  ; Ag ; XF- ; 18 ; trifons ; 918 
 2902 ; 3 марки. Гамбург ; 1913J ;  ; Ag ; XF ; 9 ; zegov ; 1257 
 2903 ; 3 марки. Пруссия. 25 лет правления ; 1914A ;  ; Ag ; VF+ ; 9 ; Mike! ; 906 
 2904 ; 3 марки. Веймар. 200 лет со дня рождения Готхольда Лессинга ; 1929Е ;  ; Ag ; VF-XF ; 97 ; cvet71 ; 2052 
 2905 ; 2 марки. Пруссия. 25 лет правления ; 1913A ;  ; Ag ; XF+ ; 52 ; cvet71 ; 1409 
 2906 ; 2 марки. Германия. 450 лет со дня рождения Матина Лютера ; 1933J ;  ; Ag ; VF+ ; 83 ; vvr ; 1530 
 2907 ; 2 марки. Германия. Подписная Кирха ; 1934A ;  ; Ag ; VF- ; 17 ; lsp25 ; 501 
 2908 ; 2 марки. Германия. Пауль фон Гинденбург ; 1937A ;  ; Ag ; XF- ; 2 ; alex.k ; 300 
 1940 ; Лот монет СССР: 20 коп (15шт) ; 1961-1991 ;  ; Cu-Ni ; VF/VF-XF ; 4 ; Petch ; 5 
 1941 ; Лот монет СССР: 50 коп (14шт). На одной монете отверстие ; 1964-1983 ;  ; Cu-Ni ; F-VF/VF+ ; 47 ; Vibel ; 48 
 1942 ; Лот монет СССР: 15 коп (15шт) ; 1961-1991 ;  ; Cu-Ni ; VF-/VF-XF ; 7 ; BVN-2 ; 7 
 1943 ; Лот монет СССР: 15 коп (15шт) ; 1961-1991 ;  ; Cu-Ni ; VF/VF+ ; 6 ; BVN-2 ; 6 
 1944 ; Лот монет СССР: 15 коп (15шт) ; 1961-1991 ;  ; Cu-Ni ; F-VF/VF+ ; 5 ; BVN-2 ; 6 
 1945 ; Лот монет СССР: 15 коп (15шт) ; 1961-1991 ;  ; Cu-Ni ; F-VF/VF ; 6 ; BVN-2 ; 6 
 1946 ; Лот монет СССР: 15 коп (15шт) ; 1961-1991 ;  ; Cu-Ni ; VF/VF+ ; 5 ; BVN-2 ; 6 
 1947 ; Лот монет СССР: 10 коп (15шт) ; 1961-1991 ;  ; Cu-Ni ; VF+/XF ; 7 ; BVN-2 ; 7 
 1948 ; Лот монет СССР: 10 коп (15шт) ; 1961-1991 ;  ; Cu-Ni ; F-VF/VF+ ; 6 ; BVN-2 ; 6 
 1949 ; Лот монет СССР: 10 коп (15шт) ; 1961-1991 ;  ; Cu-Ni ; F-VF/VF ; 5 ; Petch ; 5 
 1950 ; Лот монет СССР: 10 коп (15шт) ; 1961-1990 ;  ; Cu-Ni ; VF-/XF- ; 5 ; BVN-2 ; 6 
 1951 ; Лот монет СССР: 10 коп (15шт) ; 1961-1990 ;  ; Cu-Ni ; F-VF/VF+ ; 5 ; Petch ; 5 
 1952 ; Лот монет СССР: 20,15,10 коп (50шт) ; 1961-1986 ;  ; Cu-Ni ; VF/VF-XF ; 12 ; Опятор ; 12 
 1953 ; Лот монет СССР: 15 коп (11шт) ; 1936-1967 ;  ; Cu-Ni,Ni ; F-VF/VF ; 17 ; Vibel ; 217 
 1954 ; Лот монет СССР: 20 коп (17шт) ; 1941-1957 ;  ; Ni ; F-VF/VF ; 3 ; Vibel ; 102 
 1955 ; Лот монет СССР: 1 руб (4шт) ; 1964 ;  ; Cu-Ni ; VF/VF+ ; 13 ; сортам70 ; 13 
 1956 ; Лот монет СССР: 1 коп (20шт) ; 1949-1990 ;  ; Cu-Zn,Br ; VF-/VF+ ; 27 ; Gell13 ; 30 
 1957 ; Лот монет СССР: 3 коп (15шт) ; 1954-1991 ;  ; Cu-Zn,Br ; F+/VF+ ; 14 ; Vibel ; 15 
 1958 ; Лот монет СССР: 3 коп (15шт) ; 1961-1991 ;  ; Cu-Zn ; F-VF/VF ; 6 ; Опятор ; 6 
 1959 ; Лот монет СССР: 3 коп (15шт) ; 1967-1991 ;  ; Cu-Zn ; F-VF/VF ; 5 ; Опятор ; 6 
 1960 ; Лот монет СССР: 2 коп (15шт) ; 1961-1991 ;  ; Cu-Zn ; F-VF/VF ; 1 ; Petch ; 2 
 1961 ; Лот монет СССР: 2 коп (15шт) ; 1961-1991 ;  ; Cu-Zn ; VF-/VF ; 2 ; Petch ; 3 
 1962 ; Лот монет СССР: 3,2 коп (10шт) ; 1972-1991 ;  ; Cu-Zn ; F-VF/VF ; 2 ; Petch ; 3 
 1963 ; Лот монет СССР: 20,10 коп (5шт) ; 1931-1943 ;  ; Ni ; F+/F-VF ; 32 ; Vibel ; 93 
 1964 ; Лот монет СССР: 50 коп (7шт) ; 1964-1987 ;  ; Cu-Ni ; VF+/XF ; 16 ; Vibel ; 94 
 1965 ; Лот монет СССР (10шт): 3 копейки ; 1928-1956 ;  ; Br ; VF/VF+ ; 37 ; апрол ; 301 
 1966 ; Лот монет Банка России: 10 рублей ( Чеченская Республика, Перепись населения, Ненецкий автономный округ) 3шт ; 2010СПМД ;  ; Би/м ; AU ; 49 ; ges ; 1548 
 1967 ; Лот монет Банка России: 10 рублей ( Чеченская Республика, Ямало-Ненецкий АО) 2шт ; 2010СПМД ;  ; Би/м ; AU ; 11 ; Galal ; 2289 
 1968 ; Лот монет Банка России: 10 рублей ( Ямало-Ненецкий АО, Перепись населения, Ненецкий автономный округ) 3шт ; 2010СПМД ;  ; Би/м ; AU ; 44 ; crab ; 612 
 1969 ; Лот монет Банка России: 10 рублей ( Пермский Край, Брянск, Ненецкий автономный округ) 3шт ; 2010СПМД ;  ; Би/м ; AU ; 21 ; Несвободный ; 283 
 1970 ; Лот монет Банка России (60 лет победы, Вологда, Кировская обл, Юрьевец, Краснодарский край): 10 рублей (6шт) ; 2005-2010 ;  ; Би/м ; XF/AU ; 25 ; Serg7921 ; 105 
 1971 ; Лот монет СССР и Банка России: 100, 50, 5 рублей, 2 рубля (Гагарин) (5шт) ; 1991-2001 ;  ; Cu-Ni, би/м ; XF/XF+ ; 40 ; QQXA ; 41 
 1972 ; Лот монет Банка России (4шт): 10 рублей (Ряжск, Торжок, Галич, Брянск) ; 2004-2010 ;  ; Би/м ; XF/AU ; 25 ; crab ; 126 
 1973 ; Лот монет Банка России (11шт): 10 рублей, 2 рубля ; 2000-2009 ;  ; Би/м,Cu/Ni ; XF/AU ; 35 ; vovan555 ; 225 
 1974 ; Лот монет Банка России (3шт): 10 рублей. Чеченская Республика, Всероссийская перепись населения, Юрьевец ; 2010 ;  ; Би/м ; AU ; 72 ; rbcrf ; 1689 
 1975 ; Лот монет Банка России (3шт): 10 рублей. Ямало-Ненцкий АО, Пермский край, Ненецкий АО ;  ;  ; Би/м ; AU ; 27 ; Galal ; 1224 
 1976 ; Лот монет Банка России "Древние города"(2шт): 10 рублей (Юрьевец, Ненецкий АО) ; 2010 СПМД ;  ; Би/м ; AU ; 18 ; crab ; 74 
 1977 ; Лот монет Банка России "Древние города"(2шт): 10 рублей (Юрьевец, Ненецкий АО) ; 2010 СПМД ;  ; Би/м ; AU ; 49 ; puhetd ; 75 
 1978 ; Лот монет Банка России "Древние города"(3шт): 10 рублей (Азов, Юрьевец, Великий Новгород) ; 2008, 2009, 2010 (СПМД) ;  ; Би/м ; AU ; 36 ; Vibel ; 75 
 1979 ; Лот монет Банка России "Древние города"(3шт): 10 рублей (Азов, Юрьевец, Великий Новгород) ; 2008, 2009, 2010 (СПМД) ;  ; Би/м ; AU ; 35 ; keha74 ; 73 
 1980 ; Лот монет Банка России "Древние города"(3шт): 10 рублей (Юрьевец, Ненецкий АО, Персмкий край) ; 2010 СПМД ;  ; Би/м ; AU ; 35 ; ААФ ; 330 
 1981 ; Лот монет Банка России (5шт): 10 рублей (Республика Адыгея, Республика Калмыкия, Республика Коми, Кировская обл, Великий Новгород) ; 2009 СПМД ;  ; Би/м ; XF+/AU ; 28 ; Vibel ; 104 
 1982 ; Лот монет Банка России (5шт): 10 рублей (Республика Адыгея, Республика Калмыкия, Республика Коми, Кировская обл, Великий Новгород) ; 2009 СПМД ;  ; Би/м ; XF+/AU ; 23 ; keha74 ; 81 
 1983 ; Лот монет Банка России (3шт): 10 рублей (Юрьевец, Ненецкий АО, Перепись населения) ; 2010 СПМД ;  ; Би/м ; AU ; 36 ; jagger ; 132 
 1984 ; Лот монет Банка России "Древние города"(3шт): 10 рублей (Юрьевец, Ненецкий АО, Персмкий край) ; 2010 СПМД ;  ; Би/м ; AU ; 26 ; Vibel ; 520 
 2854 ; 100 франков. Монако. М-32,23гр ; 1891А ;  ; Au ; VF-XF ; 38 ; игмар ; 48125 
 2855 ; Соверен. Великобритания. М-7,96гр ; 1898 ;  ; Au ; XF ; 34 ; alex66 ; 13123 
 2856 ; Соверен. Великобритания. М-7,98гр ; 1958 ;  ; Au ; AU ; 39 ; alex66 ; 12992 
 2857 ; Соверен. Великобритания. М-7,98гр ; 1965 ;  ; Au ; AU ; 42 ; alex66 ; 12737 
 2858 ; 50 франков. Франция. М-16,12г ; 1867 ;  ; Au ; XF ; 45 ; игмар ; 23240 
 1890 ; Лот монет СССР (Красная книга): 50 рублей (4шт) ; 1993 ;  ; Би/м ; AU ; 63 ; yuri.gruzdev ; 1269 
 1891 ; Лот монет СССР (60 лет Советской власти): 1 рубль (3шт) ; 1977 ;  ; Cu-Ni ; XF+/AU ; 9 ; alex995 ; 33 
 1892 ; Лот монет СССР: 1 рубль (5шт) ; 1964-1988 ;  ; Cu-Ni ; VF-XF/XF- ; 27 ; Моряк-собиратель ; 152 
 1893 ; Лот монет СССР: 50 копеек (11шт) ; 1964-1991 ;  ; Cu-Ni ; VF/XF+ ; 38 ; alex66 ; 207 
 1894 ; Лот монет СССР: 50 копеек (6шт) ; 1961-1979 ;  ; Cu-Ni ; VF+/XF- ; 17 ; Vibel ; 229 
 1895 ; Лот монет СССР: 50к, 20к, 15к, 10к (5) ; 1967, 1977 ;  ; Cu-Ni ; VF/VF-XF ; 32 ; shknikolay ; 128 
 1896 ; Лот монет СССР: 20,15,10 коп (6шт) ; 1923-1929 ;  ; Биллон ; VF-/VF+ ; 47 ; волга ; 397 
 1897 ; Лот монет СССР: 20 копеек (12шт) ; 1943-1957 ;  ; Ni ; VF/VF+ ; 30 ; апрол ; 361 
 1898 ; Лот монет СССР (7шт): 20к, 15к ; 1938-1951 ;  ; Ni ; VF-/VF+ ; 96 ; 4433ht ; 488 
 1899 ; Лот монет СССР (5шт): 15к,10к,5к,3к,2к ; 1957 ;  ; Ni,Cu/Zn ; F-VF/VF ; 4 ; спора ; 170 
 1900 ; Лот монет СССР (5шт): 15к,10к,5к,3к,2к ; 1955 ;  ; Ni,Cu/Zn ; F+/F-VF ; 1 ; Donald ; 50 
 1901 ; Лот монет СССР (3шт): 2к,1к ; 1924 ;  ; Cu ; F/F+ ; 2 ; Sergant ; 31 
 1902 ; Лот монет СССР: 2 коп, 1 коп, 1/2 коп (4шт) ; 1924, 1925, 1927 ;  ; Br ; F/F+ ; 23 ; asparagus ; 221 
 1903 ; Лот монет СССР: 15 копеек (10шт) ; 1943-1956 ;  ; Ni ; VF-/VF ; 62 ; bv812 ; 197 
 1904 ; Лот монет СССР (5шт): 15к,10к,5к,3к,2к ; 1950 ;  ; Ni,Cu/Zn ; F/F-VF ; 20 ; Vibel ; 125 
 1905 ; Лот монет СССР: 20к, 15к, 10к (5шт) ; 1931-1957 ;  ; Ni ; F+/F-VF ; 38 ; Vova6074 ; 179 
 1906 ; Лот монет СССР: 10 копеек (11шт) ; 1936-1957 ;  ; Ni ; F-VF/VF- ; 37 ; ssstri ; 131 
 1907 ; Лот монет СССР (6шт): 10 копеек ; 1933-1951 ;  ; Ni ; VF/VF+ ; 71 ; alex2209 ; 486 
 1908 ; Лот монет СССР (20шт): 5 копеек. На некоторых деформация ; 1928-1957 ;  ; Br ; F/F+ ; 60 ; сортам70 ; 102 
 1909 ; Лот монет СССР: 5 копеек (11шт) ; 1930-1957 ;  ; Br ; F/F-VF ; 37 ; keha74 ; 129 
 1910 ; Лот монет СССР (6шт): 5 копеек ; 1937-1943 ;  ; Br ; F/VF- ; 168 ; Сакович ; 705 
 1911 ; Лот монет СССР: 5,3,1 коп (7шт) ; 1924-1961 ;  ; Br,Cu,Cu-Zn ; F+/F-VF ; 49 ; jagger ; 160 
 1912 ; Лот монет СССР (11шт): 5 копеек ; 1946-1957 ;  ; Br ; VF-/VF+ ; 34 ; Vova6074 ; 672 
 1913 ; Лот монет СССР (6шт): 5 копеек ; 1926-1932 ;  ; Br ; F-VF/VF ; 38 ; Сакович ; 458 
 1914 ; Лот монет СССР (9шт): 5 копеек ; 1961-1979 ;  ; Cu/Zn ; VF+/VF-XF ; 52 ; bv812 ; 235 
 1915 ; Лот монет СССР (6шт): 3 копейки ; 1961-1976 ;  ; Br ; VF/VF+ ; 44 ; jagger ; 71 
 1916 ; Лот монет СССР (5шт): 15к,10к,5к,3к,2к ; 1948 ;  ; Ni,Cu/Zn ; F-VF/VF- ; 6 ; джокер ; 102 
 1917 ; Лот монет СССР (9шт): 3 копейки ; 1926-1935 ;  ; Br ; VF/VF+ ; 48 ; апрол ; 419 
 1918 ; Лот монет СССР: 3к, 2к (6шт) ; 1929-1950 ;  ; Br ; F/F-VF ; 43 ; Vibel ; 201 
 1919 ; Лот монет СССР (10шт): 3 копейки ; 1935-1946 ;  ; Br ; F+/VF ; 27 ; апрол ; 459 
 1920 ; Лот монет СССР (5шт): 3к,1к ; 1933-1951 ;  ; Br ; VF-/XF- ; 52 ; shknikolay ; 255 
 1921 ; Лот монет СССР: 20,10,3,2,1 коп (8шт) ; 1933-1961 ;  ; Br,Ni,Cu-Zn ; F+/F-VF ; 20 ; asparagus ; 36 
 1922 ; Лот монет СССР (10шт): 3 копейки ; 1949-1957 ;  ; Br ; VF-/VF ; 12 ; Vibel ; 211 
 1923 ; Лот монет СССР: 3 копейки (19шт) ; 1928-1957 ;  ; Br ; F-VF/VF- ; 66 ; ssstri ; 201 
 1924 ; Лот монет СССР: 2 копейки (17шт) ; 1926-1957 ;  ; Br ; F+/F-VF ; 16 ; сортам70 ; 138 
 1925 ; Лот монет СССР: 2к, 1к (6шт) ; 1932-1957 ;  ; Br ; F/F+ ; 27 ; Vibel ; 69 
 1926 ; Лот монет СССР (13шт): 2 копейки ; 1961-1977 ;  ; Cu/Zn ; VF/VF+ ; 1 ; Vova6074 ; 200 
 1927 ; Лот монет СССР (9шт): 2 копейки ; 1924,1926-1935 ;  ; Cu,Br ; F-VF/VF ; 52 ; джокер ; 311 
 1928 ; Лот монет СССР (18шт): 2 копейки ; 1936-1957 ;  ; Br ; VF-/VF+ ; 50 ; Vova6074 ; 525 
 1929 ; Лот монет СССР (25шт): 2 копейки, 1 копейка. Все разные ; 1963-1991 ;  ; Cu/Zn ; VF/XF ; 28 ; Моряк-собиратель ; 51 
 1930 ; Лот монет СССР (3шт): 2 копейки ; 1961,1964,1966 ;  ; Cu/Zn ; VF+/XF ; 5 ; shknikolay ; 106 
 1931 ; Лот монет СССР (10шт): 1 копейка ; 1926-1935 ;  ; Br ; VF/VF+ ; 55 ; grot ; 816 
 1932 ; Лот монет СССР (17шт): 1 копейка ; 1946-1957 ;  ; Br ; VF/VF+ ; 37 ; ssstri ; 234 
 1933 ; Лот монет СССР (5шт): 1 копейка ; 1936-1940 ;  ; Br ; F-VF/VF ; 66 ; Basilio ; 122 
 1934 ; Лот монет СССР: 1 копейка (12шт) ; 1927-1957 ;  ; Br ; F/F-VF ; 90 ; dimon46 ; 175 
 1935 ; Лот монет СССР: 20 коп (15шт) ; 1961-1991 ;  ; Cu-Ni ; VF-/VF+ ; 5 ; BVN-2 ; 6 
 1936 ; Лот монет СССР: 20 коп (15шт) ; 1961-1991 ;  ; Cu-Ni ; VF-/VF+ ; 6 ; BVN-2 ; 7 
 1937 ; Лот монет СССР: 20 коп (15шт) ; 1961-1991 ;  ; Cu-Ni ; VF/VF+ ; 6 ; BVN-2 ; 6 
 1938 ; Лот монет СССР: 20 коп (15шт) ; 1961-1991 ;  ; Cu-Ni ; VF/VF-XF ; 6 ; BVN-2 ; 7 
 1939 ; Лот монет СССР: 20 коп (15шт) ; 1961-1991 ;  ; Cu-Ni ; F-VF/VF+ ; 6 ; BVN-2 ; 6 
 1840 ; 1 рубль ; 1973 ;  ; Cu-Ni ; AU ; 55 ; turner ; 420 
 1841 ; 50 копеек ; 1991 ; ЛМД ; Cu-Ni ; AU ; 54 ; свой ; 206 
 1842 ; 3 копейки ; 1951 ;  ; Br ; VF ; 37 ; antiquar ; 284 
 1843 ; 1 копейка ; 1945 ;  ; Br ; VF-XF ; 17 ; Vova6074 ; 131 
 1844 ; 1 рубль ; 1964 ;  ; Cu-Ni ; XF- ; 4 ; Gell13 ; 9 
 1845 ; 1 копейка ; 1937 ;  ; Br ; VF- ; 10 ; sergio68 ; 114 
 1846 ; 1 копейка ; 1939 ;  ; Br ; VF-XF ; 24 ; kb-antil77 ; 51 
 1847 ; 1 рубль ; 1964 ;  ; Cu-Ni ; XF- ; 1 ; Serg7921 ; 2 
 1848 ; 1 рубль ; 1965 ;  ; Cu-Ni ; VF-XF ; 26 ; olga42 ; 84 
 1849 ; 1 рубль ; 1984 ;  ; Cu-Ni ; AU ; 66 ; kent01 ; 128 
 1850 ; 1 рубль ; 1985 ;  ; Cu-Ni ; XF- ; 34 ; Сакович ; 71 
 1851 ; 1 рубль ; 1986 ;  ; Cu-Ni ; XF ; 60 ; kent01 ; 119 
 1852 ; 1 рубль ; 1987 ;  ; Cu-Ni ; AU ; 43 ; Vova6074 ; 303 
 1853 ; 1 рубль ; 1988 ;  ; Cu-Ni ; AU ; 49 ; olga42 ; 110 
 1854 ; 1 рубль ; 1989 ;  ; Cu-Ni ; AU ; 19 ; niko1968 ; 102 
 1855 ; 1 рубль ; 1990 ;  ; Cu-Ni ; AU ; 29 ; ssstri ; 102 
 1856 ; 1 рубль ; 1991 ; ЛМД ; Cu-Ni ; AU ; 59 ; Vova6074 ; 188 
 1857 ; 20 копеек ; 1932 ;  ; Ni ; F-VF ; 25 ; волга ; 76 
 1858 ; 20 копеек ; 1935 ; Л/с звезда плоская ; Ni ; VF- ; 47 ; Сакович ; 109 
 1859 ; 20 копеек ; 1936 ; Л/с звезда плоская ; Ni ; VF+ ; 25 ; Сакович ; 72 
 1860 ; 20 копеек ; 1937 ; Л/с звезда плоская, шт. 20 коп. ; Ni ; VF+ ; 32 ; Не Ваше ! ; 161 
 1861 ; 20 копеек ; 1939 ;  ; Ni ; VF-XF ; 25 ; alex2209 ; 191 
 1862 ; 20 копеек ; 1940 ; Л/с звезда плоская, шт. 20 коп. ; Ni ; XF- ; 22 ; kb-antil77 ; 108 
 1863 ; 20 копеек ; 1944 ;  ; Ni ; VF ; 34 ; Сакович ; 147 
 1864 ; 20 копеек ; 1951 ;  ; Ni ; VF ; 29 ; sergio68 ; 123 
 1865 ; 15 копеек ; 1935 ;  ; Ni ; VF+ ; 30 ; shknikolay ; 174 
 1866 ; 15 копеек ; 1937 ;  ; Ni ; VF- ; 31 ; antiquar ; 370 
 1867 ; 15 копеек ; 1939 ;  ; Ni ; VF ; 40 ; shknikolay ; 116 
 1868 ; 15 копеек ; 1940 ;  ; Ni ; VF+ ; 31 ; Не Ваше ! ; 108 
 1869 ; 10 копеек ; 1935 ;  ; Ni ; VF-XF ; 38 ; topzol ; 218 
 1870 ; 10 копеек ; 1936 ;  ; Ni ; XF ; 67 ; Ravak ; 327 
 1871 ; 10 копеек ; 1937 ;  ; Ni ; VF+ ; 37 ; Brilev ; 827 
 1872 ; 10 копеек ; 1940 ;  ; Ni ; VF-XF ; 29 ; puhetd ; 192 
 1873 ; 10 копеек ; 1949 ;  ; Ni ; VF ; 7 ; Сакович ; 57 
 1874 ; 5 копеек ; 1940 ;  ; Br ; AU ; 41 ; qaz21qaz ; 1259 
 1875 ; 100 рублей ; 1992 ; ЛМД Биметалл ; Cu-Ni/Cu-Zn ; AU ; 19 ; asparagus ; 58 
 1876 ; 100 рублей ; 1992 ; ММД Биметалл ; Cu-Ni/Cu-Zn ; XF- ; 48 ; КАРКУША ; 255 
 1877 ; 10 рублей. Красная книга. Среднеазиатская кобра ; 1992ЛМД ;  ; Би/м ; AU ; 41 ; crab ; 373 
 1878 ; Жетон. ЛМД. Упаковка ;  ;  ; Ж/м ; Unc/AU ; 27 ; andr86 ; 27 
 1879 ; Жетон. ЛМД ;  ;  ; Al ; AU ; 23 ; BVN-2 ; 23 
 1880 ; 10 рублей. Соликамск. В буклете ; 2011СПМД ;  ; Би/м ; AU ; 68 ; jagger ; 255 
 1881 ; Годовой набор монет СССР "50 лет Советской власти": 1 рубль, 50к, 20к, 15к, 10к, жетон ЛМД (6шт). Упаковка ; 1967 ;  ; Cu-Ni, ж/м ; AU ; 48 ; andr86 ; 1037 
 1882 ; Годовой набор монет СССР: 1 рубль, 50,20,15,10,5,3,2,1 коп (9шт) + 2 жетона. Пластиковая упаковка ; 1977ЛМД ;  ; Cu-Ni,Cu-Zn ; XF/AU ; 1 ; Mike! ; 777 
 1883 ; Годовой набор монет СССР: 1 рубль, 50,20,15,10,5,3,2,1 коп (9шт) + 2 жетона. Пластиковая упаковка ; 1979ЛМД ;  ; Cu-Ni,Cu-Zn ; AU ; 1 ; Mike! ; 777 
 1884 ; Набор монет СССР (10шт): 1р,50,20,15,10,5,3,2,1 к+Жетон ЛМД. В пластиковой капсуле ; 1982 ;  ; Cu/Ni,Cu/Zm ; Unc/AU ; 111 ; Danila-56 ; 4593 
 1885 ; Говой набор монет СССР: 1 рубль, 50,20,15,10,5,3,2,1 коп + 2 жетона (11шт). В пластиковой упаковке ; 1983 ;  ; Cu-Ni, Cu-Zn, ж ; Unc/AU ; 66 ; Kuznets ; 4620 
 1886 ; Набор монет СССР (10шт): 1р,50к,20к,15к,10к,5к,3к,2к,1к+Жетон ЛМД. Упаковка ; 1986 ;  ; Cu/Ni,Cu/Zn ; Unc ; 76 ; Kuznets ; 2147 
 1887 ; Годовой набор монет СССР : 1 рубль, 50к, 20к, 15к, 10к, 5к, 3к, 2к, 1к (9шт)+ 2 жетона. В пластиковой упаковке ; 1987ЛМД ;  ; Cu-Ni, Cu-Zn, ж ; AU ; 73 ; ryber ; 1027 
 1888 ; Набор монет СССР (10шт): 1р,50к,20к,15к,10к,5к,3к,2к,1к+Жетон ММД. Упаковка ; 1989 ;  ; Cu/Ni,Cu/Zn ; Unc ; 13 ; Danila-56 ; 402 
 1889 ; 5 рублей ; 1991 ; Комплект "Красная книга СССР" (2 монеты) ; биметалл ; AU ; 27 ; yuri.gruzdev ; 381 
 1790 ; 15 копеек ; 1943 ;  ; Ni ; XF ; 31 ; Hada ; 110 
 1791 ; 10 копеек ; 1932 ;  ; Ni ; F-VF ; 40 ; asparagus ; 51 
 1792 ; 5 копеек ; 1935 ;  ; Br ; F-VF ; 81 ; kvm64 ; 386 
 1793 ; 1 копейка ; 1952 ;  ; Br ; XF+ ; 14 ; Hada ; 104 
 1794 ; 1 копейка ; 1954 ;  ; Br ; AU ; 85 ; Antromis ; 204 
 1795 ; 5 копеек. Деформация ; 1935 ;  ; Br ; F ; 18 ; badiba-coin ; 816 
 1796 ; 5 копеек ; 1935 ;  ; Br ; F-VF ; 144 ; shneyder ; 765 
 1797 ; 5 копеек ; 1936 ;  ; Br ; VF- ; 39 ; shneyder ; 663 
 1798 ; 3 копейки ; 1962 ;  ; Cu-Zn ; VF ; 15 ; puhetd ; 215 
 1799 ; 3 копейки ; 1966 ;  ; Cu-Zn ; VF ; 27 ; kb-antil77 ; 104 
 1800 ; 2 копейки ; 1935 ;  ; Br ; VF+ ; 39 ; kvm64 ; 295 
 1801 ; 1 копейка ; 1941 ;  ; Br ; VF+ ; 75 ; antiquar ; 173 
 1802 ; 1 копейка ; 1945 ;  ; Br ; VF+ ; 71 ; shknikolay ; 111 
 1803 ; 5 копеек ; 1931 ;  ; Br ; VF ; 66 ; Моряк-собиратель ; 201 
 1804 ; 1 копейка ; 1991 ; ЛМД ; Cu-Zn ; AU ; 6 ; порт ; 15 
 1805 ; 3 копейки ; 1930 ;  ; Br ; VF+ ; 33 ; ps16 ; 102 
 1806 ; 3 копейки ; 1937 ;  ; Br ; F-VF ; 3 ; Petch ; 7 
 1807 ; 2 копейки ; 1928 ;  ; Br ; VF ; 18 ; taigist ; 37 
 1808 ; 2 копейки ; 1938 ;  ; Br ; F+ ; 4 ; Опятор ; 5 
 1809 ; 2 копейки ; 1940 ;  ; Br ; F-VF ; 20 ; Petch ; 20 
 1810 ; 20 копеек ; 1935 ; Л/с звезда плоская ; Ni ; VF- ; 39 ; Сакович ; 131 
 1811 ; 15 копеек ; 1945 ;  ; Ni ; VF-XF ; 1 ; Mike! ; 200 
 1812 ; 5 копеек ; 1928 ;  ; Br ; VF- ; 15 ; Mike! ; 177 
 1813 ; 1 рубль ; 1961 ;  ; Cu-Ni ; AU ; 41 ; kvm64 ; 93 
 1814 ; 1 рубль ; 1990 ;  ; Cu-Ni ; AU ; 24 ; niko1968 ; 81 
 1815 ; 20 копеек ; 1939 ;  ; Ni ; XF- ; 38 ; Hada ; 164 
 1816 ; 20 копеек ; 1957 ; В венке герба 15 лент ; Ni ; AU ; 36 ; bv812 ; 46 
 1817 ; 10 копеек ; 1956 ; В венке герба 16 лент ; Ni ; XF ; 41 ; bv812 ; 47 
 1818 ; 10 копеек ; 1957 ; В венке герба 15 лент ; Ni ; AU ; 29 ; asparagus ; 45 
 1819 ; 5 копеек ; 1956 ;  ; Br ; AU ; 62 ; spsmaalex ; 104 
 1820 ; 1 копейка ; 1949 ;  ; Br ; VF- ; 14 ; kb-antil77 ; 19 
 1821 ; 50 копеек ; 1984 ;  ; Cu-Ni ; AU ; 17 ; Сакович ; 71 
 1822 ; 50 копеек ; 1986 ;  ; Cu-Ni ; XF+ ; 26 ; vjacha ; 48 
 1823 ; 50 копеек ; 1989 ;  ; Cu-Ni ; AU ; 47 ; Сакович ; 98 
 1824 ; 50 копеек ; 1990 ;  ; Cu-Ni ; AU ; 25 ; turner ; 135 
 1825 ; 50 копеек ; 1966 ;  ; Cu-Ni ; AU ; 16 ; Сакович ; 99 
 1826 ; 20 копеек ; 1940 ; Л/с звезда плоская, шт. 20 коп. ; Ni ; VF-XF ; 27 ; kb-antil77 ; 102 
 1827 ; 10 копеек ; 1935 ;  ; Ni ; VF- ; 70 ; shknikolay ; 110 
 1828 ; 10 копеек ; 1939 ;  ; Ni ; VF+ ; 29 ; antiquar ; 153 
 1829 ; 10 копеек ; 1940 ;  ; Ni ; VF ; 20 ; Vova6074 ; 126 
 1830 ; 10 копеек ; 1957 ; В венке герба 15 лент ; Ni ; XF ; 18 ; Vibel ; 28 
 1831 ; 5 копеек ; 1932 ;  ; Br ; F-VF ; 41 ; keha74 ; 65 
 1832 ; 1 копейка ; 1931 ;  ; Br ; VF ; 47 ; grisha2401 ; 107 
 1833 ; 1 копейка ; 1933 ;  ; Br ; VF ; 7 ; Сакович ; 72 
 1834 ; 1 копейка ; 1964 ;  ; Cu-Zn ; AU ; 38 ; qaz21qaz ; 204 
