 5942 ; Лот бон (2 шт). Коста-Рика ;  ;  ;  ;  ; 11 ; alkona ; 90 
 2079 ; Альбом монет Банка России (ГВС): 10 руб (38шт) ; 2010-2014 ;  ; Лат/St ; AU ; 26 ; onedima ; 765 
 2080 ; Годовой набор монет СССР: 1 руб, 50,20,15,10,5,3,2,1 коп (9шт) + 2 жетона. Пластиковая упаковка ; 1987ЛМД ;  ; Cu-Ni,Cu-Zn ; AU ; 55 ; Бзик ; 2154 
 2081 ; Годовой набор монет Банка России: 10,5,2,1 руб, 50,10 коп (6шт) + жетон. Буклет ; 2011ММД ;  ; Ni/St,лат/St ; AU ; 23 ; abc state ; 830 
 2082 ; Годовой набор монет Банка России: 10,5,2,1 руб, 50,10 коп (6шт) + жетон. Буклет ; 2012ММД ;  ; Ni/St,лат/St ; AU ; 19 ; abc state ; 906 
 2083 ; Годовой набор монет Банка России: 5,2,1 руб, 50,10 коп (5шт) + жетон. Буклет ; 2013СПМД ;  ; Ni/St,лат/St ; AU ; 13 ; собиратель471 ; 1000 
 2084 ; Годовой набор монет Банка России: 10,5,2,1 руб, 50,10 коп (6шт) + жетон. Буклет ; 2013ММД ;  ; Ni/St,лат/St ; AU ; 29 ; abc state ; 870 
 2085 ; Годовой набор монет Банка России: 10,5,2,1 руб, 50,10 коп (6шт) + жетон. Буклет ; 2012ММД ;  ; Ni/St,Cu/St ; AU ; 55 ; talamus ; 718 
 2086 ; Годовой набор монет Банка России: 5,2,1 руб, 50,10,5,1 коп (8шт) + жетон. Буклет ; 2014ММД ;  ; Ni/St,лат/St ; AU ; 40 ; vova4244 ; 2346 
 2087 ; Лот монет СССР: 5,3,2,1 коп (4шт) + жетон. Упаковка ; 1989ЛМД ;  ; Cu-Zn ; AU ; 10 ; Новик ; 363 
 2088 ; Лот монет СССР: 20,15,10,3 коп (4шт) ; 1961 ;  ; Cu-Zn,Cu-Ni ; XF/VF-XF ; 9 ; svv ; 408 
 2089 ; Лот монет СССР: 1 коп (9шт) ; 1968-1991 ;  ; Cu-Zn ; AU ; 18 ; vlk_ ; 66 
 2090 ; Лот монет СССР: 50 коп (4шт) ; 1974-1980 ;  ; Cu-Ni ; VF/VF-XF ; 17 ; ANGEL 23 ; 212 
 1991 ; 5 копеек ; 1930 ;  ; Br ; AU ; 7 ; Bonyf ; 65 
 1992 ; 1 рубль ; 1980 ;  ; Cu-Ni ; AU ; 45 ; Vol4en0k ; 2314 
 1993 ; 1 рубль ; 1979 ;  ; Cu-Ni ; AU ; 43 ; judge ; 2123 
 1994 ; 10 копеек ; 1938 ;  ; Ni ; VF-XF ; 45 ; judge ; 611 
 1995 ; 20 копеек ; 1938 ; Л/с звезда плоская, шт. 20 коп. ; Ni ; VF+ ; 55 ; omsk77 ; 239 
 1996 ; 3 копейки ; 1962 ;  ; Cu-Zn ; VF+ ; 26 ; solder13 ; 666 
 1997 ; 5 копеек ; 1954 ;  ; Br ; AU ; 24 ; judge ; 997 
 1998 ; 20 копеек ; 1932 ;  ; Ni ; VF+ ; 37 ; leshii40 ; 153 
 1999 ; 20 копеек ; 1932 ;  ; Ni ; VF+ ; 32 ; папашаГарпагон ; 153 
 2000 ; 50 копеек. (под единицами даты по одной линии м/ду листьев венка) ; 1961 ;  ; Cu-Ni ; XF- ; 65 ; likerkka ; 462 
 2001 ; 50 копеек. (под единицами даты по две линии м/ду листьев венка) ; 1961 ;  ; Cu-Ni ; XF- ; 29 ; vlk_ ; 352 
 2002 ; 1 рубль ; 1982 ;  ; Cu-Ni ; AU ; 32 ; judge ; 3063 
 2003 ; 5 копеек ; 1948 ;  ; Br ; F+ ; 7 ; kansk ; 203 
 2004 ; 5 копеек ; 1973 ;  ; Cu-Zn ; VF+ ; 49 ; Atos_1969 ; 681 
 2005 ; 50 копеек ; 1961 ;  ; Cu-Ni ; VF-XF ; 5 ; max5252 ; 227 
 2006 ; 50 копеек ; 1966 ;  ; Cu-Ni ; VF-XF ; 26 ; Vol4en0k ; 236 
 2007 ; 50 копеек ; 1969 ;  ; Cu-Ni ; VF-XF ; 49 ; Vol4en0k ; 322 
 2008 ; 15 копеек "50 лет Советской власти" ; 1967 ;  ; Cu-Ni ; XF ; 11 ; goa_21 ; 227 
 2009 ; 15 копеек ; 1943 ;  ; Ni ; F-VF ; 24 ; viplong ; 111 
 2010 ; 20 копеек ; 1936 ; Л/с звезда плоская ; Ni ; F-VF ; 14 ; daymand ; 100 
 2011 ; 3 копейки ; 1955 ;  ; Br ; F-VF ; 19 ; Puls79 ; 28 
 2012 ; 3 копейки ; 1933 ;  ; Br ; VF- ; 6 ; Mahfey ; 65 
 2013 ; 3 копейки ; 1930 ;  ; Br ; F-VF ; 21 ; viplong ; 42 
 2014 ; 5 копеек ; 1930 ;  ; Br ; VF- ; 15 ; WhiteMouse ; 23 
 2015 ; 20 копеек ; 1955 ;  ; Ni ; VF-XF ; 17 ; Rober ; 41 
 2016 ; 1 копейка ; 1938 ;  ; Br ; XF ; 13 ; konstk2 ; 204 
 2017 ; 2 копейки ; 1962 ;  ; Cu-Zn ; AU ; 11 ; igor26 ; 215 
 2018 ; 2 копейки ; 1971 ;  ; Cu-Zn ; AU ; 20 ; svv ; 224 
 2019 ; 2 копейки ; 1978 ;  ; Cu-Zn ; AU ; 50 ; max5252 ; 2346 
 2020 ; 3 копейки ; 1970 ;  ; Cu-Zn ; AU ; 23 ; sv13 ; 225 
 2021 ; 5 копеек ; 1930 ;  ; Br ; VF ; 31 ; musik ; 612 
 2022 ; 5 копеек ; 1931 ;  ; Br ; VF ; 39 ; Восток ; 812 
 2023 ; 5 копеек ; 1955 ;  ; Br ; AU ; 38 ; sibons ; 827 
 2024 ; 5 копеек ; 1961 ;  ; Cu-Zn ; XF ; 4 ; konstk2 ; 44 
 2025 ; 10 копеек ; 1975 ;  ; Cu-Ni ; AU ; 10 ; sv13 ; 113 
 2026 ; 50 копеек ; 1977 ;  ; Cu-Ni ; AU ; 14 ; judge ; 306 
 2027 ; 50 копеек ; 1978 ;  ; Cu-Ni ; AU ; 20 ; judge ; 615 
 2028 ; 1 рубль ; 1983 ;  ; Cu-Ni ; XF+ ; 15 ; Лерыч58 ; 1969 
 2029 ; 1 рубль ; 1961 ;  ; Cu-Ni ; XF+ ; 20 ; dim66 ; 327 
 2030 ; 1 рубль ; 1964 ;  ; Cu-Ni ; AU ; 25 ; rendom9 ; 261 
 2031 ; 1 рубль ; 1966 ;  ; Cu-Ni ; XF+ ; 37 ; max5252 ; 2507 
 2032 ; 1 рубль ; 1970 ;  ; Cu-Ni ; XF+ ; 19 ; max5252 ; 2142 
 2033 ; 1 рубль ; 1971 ;  ; Cu-Ni ; XF+ ; 29 ; max5252 ; 5100 
 2034 ; 1 рубль ; 1973 ;  ; Cu-Ni ; XF ; 50 ; Vol4en0k ; 2579 
 2035 ; 1 рубль ; 1982 ;  ; Cu-Ni ; XF+ ; 31 ; S.A.I. ; 2403 
 2036 ; 5 копеек ; 1961 ;  ; Cu-Zn ; XF ; 9 ; carpetz ; 21 
 2037 ; 1 рубль ; 1961 ;  ; Cu-Ni ; AU ; 25 ; An12 ; 606 
 2038 ; 50 копеек ; 1961 ;  ; Cu-Ni ; AU ; 42 ; Бзик ; 2833 
 2039 ; 5 копеек. Упаковка ; 1980 ;  ; Cu-Zn ; AU ; 15 ; sv13 ; 183 
 2040 ; 3 копейки. Упаковка ; 1980 ;  ; Cu-Zn ; AU ; 32 ; sv13 ; 204 
 1941 ; 1 копейка ; 1953 ;  ; Br ; AU ; 23 ; sv13 ; 270 
 1942 ; 1 копейка ; 1955 ;  ; Br ; AU ; 33 ; sv13 ; 237 
 1943 ; 1 копейка ; 1954 ;  ; Br ; AU ; 26 ; sv13 ; 286 
 1944 ; 20 копеек ; 1956 ;  ; Ni ; VF-XF ; 6 ; Mahfey ; 27 
 1945 ; 20 копеек ; 1956 ;  ; Ni ; VF-XF ; 4 ; Mahfey ; 27 
 1946 ; 1 копейка ; 1946 ;  ; Br ; VF ; 22 ; Mahfey ; 45 
 1947 ; 1 копейка ; 1949 ;  ; Br ; XF+ ; 22 ; WhiteMouse ; 48 
 1948 ; 1 копейка ; 1949 ;  ; Br ; AU ; 12 ; x645xx ; 149 
 1949 ; 1 копейка ; 1949 ;  ; Br ; XF+ ; 18 ; kansk ; 78 
 1950 ; 1 копейка ; 1957 ; В венке герба 15 лент ; Br ; XF- ; 17 ; Atos_1969 ; 69 
 1951 ; 1 рубль ; 1991 ; ММД ; Cu-Ni ; AU ; 8 ; Изнурёнков ; 261 
 1952 ; 1 рубль ; 1990 ;  ; Cu-Ni ; AU ; 15 ; ASD013 ; 255 
 1953 ; 1 рубль ; 1990 ;  ; Cu-Ni ; AU ; 20 ; ASD013 ; 255 
 1954 ; 1 рубль ; 1990 ;  ; Cu-Ni ; AU ; 17 ; мак-сим ; 246 
 1955 ; 1 рубль ; 1990 ;  ; Cu-Ni ; AU ; 11 ; ASD013 ; 255 
 1956 ; 1 копейка ; 1936 ;  ; Br ; XF+ ; 37 ; Лерыч58 ; 159 
 1957 ; 1 копейка ; 1936 ;  ; Br ; XF+ ; 49 ; flutter ; 357 
 1958 ; 1 рубль ; 1990 ;  ; Cu-Ni ; AU ; 26 ; metallolom ; 261 
 1959 ; 15 копеек ; 1944 ;  ; Ni ; VF- ; 55 ; max5252 ; 1125 
 1960 ; 20 копеек ; 1933 ;  ; Ni ; VF- ; 32 ; gola78 ; 100 
 1961 ; 3 копейки ; 1951 ;  ; Br ; VF- ; 46 ; flutter ; 567 
 1962 ; 2 копейки ; 1929 ;  ; Br ; F-VF ; 27 ; kvs ; 189 
 1963 ; 2 копейки ; 1934 ;  ; Br ; F-VF ; 33 ; iizikul ; 111 
 1964 ; 2 копейки ; 1948 ;  ; Br ; F-VF ; 27 ; vasek ; 125 
 1965 ; 1 копейка ; 1926 ;  ; Br ; VF- ; 53 ; flutter ; 510 
 1966 ; 1 копейка ; 1948 ;  ; Br ; VF- ; 17 ; kvs ; 114 
 1967 ; 3 копейки ; 1976 ;  ; Cu-Zn ; AU ; 33 ; sv13 ; 187 
 1968 ; 3 копейки ; 1935 ;  ; Br ; VF+ ; 31 ; flutter ; 347 
 1969 ; 20 копеек ; 1940 ; Л/с звезда плоская, шт. 20 коп. ; Ni ; XF+ ; 42 ; petpet ; 225 
 1970 ; 100 рублей ; 1993 ; ЛМД Белый металл ; Cu-Ni ; XF ; 4 ; happy ; 6 
 1971 ; 20 копеек ; 1936 ; Л/с звезда плоская ; Ni ; VF- ; 13 ; татьяна мичуринск ; 159 
 1972 ; 2 копейки ; 1936 ;  ; Br ; VF ; 12 ; flutter ; 161 
 1973 ; 20 копеек ; 1956 ;  ; Ni ; XF+ ; 25 ; kmk ; 41 
 1974 ; 5 копеек ; 1940 ;  ; Br ; VF-XF ; 28 ; Vanomah ; 161 
 1975 ; 20 копеек ; 1955 ;  ; Ni ; XF ; 43 ; petpet ; 141 
 1976 ; 2 копейки ; 1961 ;  ; Cu-Zn ; XF ; 11 ; happy ; 34 
 1977 ; 2 копейки ; 1936 ;  ; Br ; VF+ ; 16 ; viplong ; 57 
 1978 ; 15 копеек ; 1956 ;  ; Ni ; XF+ ; 45 ; это моё ; 101 
 1979 ; 2 копейки ; 1963 ;  ; Cu-Zn ; VF+ ; 13 ; ASA19V ; 34 
 1980 ; 2 копейки ; 1961 ;  ; Cu-Zn ; XF ; 4 ; Puls79 ; 23 
 1981 ; 20 копеек ; 1955 ;  ; Ni ; XF ; 11 ; Rober ; 51 
 1982 ; 20 копеек ; 1955 ;  ; Ni ; VF-XF ; 20 ; tilovik ; 36 
 1983 ; 20 копеек ; 1932 ;  ; Ni ; VF ; 26 ; Jet ; 61 
 1984 ; 5 копеек ; 1949 ;  ; Br ; VF ; 29 ; Jet ; 60 
 1985 ; 20 копеек ; 1956 ;  ; Ni ; VF-XF ; 25 ; asn126 ; 41 
 1986 ; 20 копеек ; 1956 ;  ; Ni ; VF-XF ; 5 ; vanek ; 22 
 1987 ; 20 копеек ; 1956 ;  ; Ni ; VF-XF ; 8 ; tilovik ; 35 
 1988 ; 15 копеек ; 1933 ;  ; Ni ; VF- ; 41 ; gola78 ; 152 
 1989 ; 15 копеек ; 1933 ;  ; Ni ; VF- ; 39 ; vlk_ ; 156 
 1990 ; 3 копейки ; 1933 ;  ; Br ; F-VF ; 12 ; Mahfey ; 69 
 1891 ; 1 рубль ; 1991 ; Махтумкули ; Cu-Ni ; Proof ; 21 ; Sod75 ; 397 
 1892 ; 1 рубль ; 1991 ; 550 лет со дня рождения А.Навои ; Cu-Ni ; Proof ; 27 ; simonsimon ; 288 
 1893 ; 1 рубль ; 1990 ; 125 лет со дня рождения Я.Райниса ; Cu-Ni ; Proof ; 28 ; simonsimon ; 288 
 1894 ; 1 рубль ; 1990 ; Маршал СССР Г.К.Жуков ; Cu-Ni ; Proof ; 23 ; simonsimon ; 357 
 1895 ; 1 рубль ; 1989 ; 175 лет со дня рождения Т.Г.Шевченко ; Cu-Ni ; Proof ; 11 ; simonsimon ; 288 
 1896 ; 5 копеек. В капсуле NGC ; 1956 ;  ; Br ; MS 65 ; 25 ; niki ; 1736 
 1897 ; 5 копеек ; 1930 ;  ; Br ; VF+ ; 26 ; RemTro ; 203 
 1898 ; 3 копейки ; 1956 ;  ; Br ; XF+ ; 27 ; sibons ; 42 
 1899 ; 1 рубль ; 1967 ;  ; Cu-Ni ; VF+ ; 40 ; max5252 ; 1224 
 1900 ; 1 рубль ; 1986 ;  ; Cu-Ni ; VF+ ; 25 ; Atos_1969 ; 305 
 1901 ; 1 рубль ; 1964 ;  ; Cu-Ni ; VF+ ; 7 ; ASD013 ; 102 
 1902 ; 3 копейки ; 1949 ;  ; Br ; F-VF ; 35 ; Vanomah ; 51 
 1903 ; 10 копеек. 50 лет Советской власти ; 1967 ;  ; Cu-Ni ; XF+ ; 3 ; спарта ; 306 
 1904 ; 10 копеек ; 1957 ; В венке герба 15 лент ; Ni ; XF ; 17 ; petpet ; 215 
 1905 ; 10 копеек ; 1956 ; В венке герба 16 лент ; Ni ; XF ; 23 ; petpet ; 227 
 1906 ; 10 копеек ; 1948 ;  ; Ni ; XF ; 29 ; max5252 ; 513 
 1907 ; 2 копейки ; 1946 ;  ; Br ; VF- ; 30 ; max5252 ; 552 
 1908 ; 1 рубль ; 1985 ;  ; Cu-Ni ; XF- ; 21 ; judge ; 551 
 1909 ; 1 рубль ; 1991 ; ММД ; Cu-Ni ; XF ; 28 ; max5252 ; 459 
 1910 ; 1 рубль ; 1991 ; ЛМД ; Cu-Ni ; XF ; 17 ; max5252 ; 640 
 1911 ; 1 рубль ; 1984 ;  ; Cu-Ni ; XF ; 23 ; judge ; 640 
 1912 ; 1 рубль ; 1989 ;  ; Cu-Ni ; XF ; 29 ; Atos_1969 ; 263 
 1913 ; 50 копеек ; 1979 ;  ; Cu-Ni ; VF-XF ; 17 ; happy ; 72 
 1914 ; 50 копеек ; 1983 ;  ; Cu-Ni ; VF-XF ; 12 ; Rober ; 41 
 1915 ; 50 копеек ; 1973 ;  ; Cu-Ni ; VF ; 42 ; Region62 ; 430 
 1916 ; 50 копеек ; 1966 ;  ; Cu-Ni ; VF ; 17 ; ANGEL 23 ; 191 
 1917 ; 50 копеек ; 1968 ;  ; Cu-Ni ; VF ; 14 ; Rober ; 120 
 1918 ; 50 копеек ; 1987 ;  ; Cu-Ni ; XF ; 21 ; vlk_ ; 97 
 1919 ; 50 копеек ; 1991 ; ЛМД ; Cu-Ni ; XF ; 19 ; Rober ; 153 
 1920 ; 50 копеек ; 1984 ;  ; Cu-Ni ; XF ; 29 ; tilovik ; 65 
 1921 ; 50 копеек ; 1964 ;  ; Cu-Ni ; VF+ ; 17 ; tilovik ; 79 
 1922 ; 50 копеек ; 1982 ;  ; Cu-Ni ; VF-XF ; 29 ; S.A.I. ; 102 
 1923 ; 50 копеек ; 1969 ;  ; Cu-Ni ; VF+ ; 19 ; S.A.I. ; 258 
 1924 ; 20 копеек ; 1936 ; Л/с звезда плоская ; Ni ; VF ; 17 ; iizikul ; 113 
 1925 ; 20 копеек ; 1939 ;  ; Ni ; XF ; 30 ; judge ; 559 
 1926 ; 20 копеек ; 1940 ; Л/с звезда плоская, шт. 20 коп. ; Ni ; VF+ ; 63 ; Дмитрий475 ; 200 
 1927 ; 15 копеек ; 1936 ;  ; Ni ; VF ; 22 ; ASA19V ; 128 
 1928 ; 15 копеек ; 1940 ;  ; Ni ; XF ; 28 ; judge ; 283 
 1929 ; 10 копеек ; 1936 ;  ; Сu-Ni ; VF ; 61 ; gola78 ; 160 
 1930 ; 10 копеек ; 1938 ;  ; Ni ; VF+ ; 28 ; Kinel ; 255 
 1931 ; 10 копеек ; 1940 ;  ; Ni ; XF ; 39 ; ZOLTAN333 ; 204 
 1932 ; 5 копеек ; 1940 ;  ; Br ; VF ; 17 ; Mahfey ; 66 
 1933 ; 1 копейка ; 1936 ;  ; Br ; XF- ; 36 ; kansk ; 327 
 1934 ; 1 копейка ; 1938 ;  ; Br ; VF+ ; 17 ; kansk ; 90 
 1935 ; 1 копейка ; 1939 ;  ; Br ; VF ; 21 ; kansk ; 90 
 1936 ; 1 копейка ; 1940 ;  ; Br ; XF ; 34 ; 231 ; 255 
 1937 ; 1 копейка ; 1957 ; В венке герба 15 лент ; Br ; VF-XF ; 15 ; Mahfey ; 41 
 1938 ; 1 копейка ; 1946 ;  ; Br ; XF ; 7 ; Agava ; 123 
 1939 ; 1 копейка ; 1949 ;  ; Br ; XF+ ; 16 ; dim66 ; 163 
 1940 ; 1 копейка ; 1952 ;  ; Br ; XF+ ; 25 ; Восток ; 209 
 1841 ; 5 рублей. Упаковка ; 1988 ; Памятник Петру I в Ленинграде ; Cu-Ni ; Proof ; 22 ; T1000 ; 400 
 1842 ; 3 рубля. Упаковка ; 1992 ; 750 лет победы А.Невского ; Cu-Ni ; Proof ; 15 ; kuder ; 351 
 1843 ; 1 рубль. Упаковка ; 1991 ; 850 лет со дня рождения Низами Гянджеви ; Cu-Ni ; Proof ; 17 ; Служба тяги ; 234 
 1844 ; 1 рубль. Упаковка ; 1990 ; 150 лет со дня рождения П.И.Чайковского ; Cu-Ni ; Proof ; 17 ; Служба тяги ; 245 
 1845 ; 1 рубль ; 1990 ; 130 лет со дня рождения А.П.Чехова ; Cu-Ni ; XF ; 13 ; carpetz ; 101 
 1846 ; 1 рубль ; 1986 ; 275 лет со дня рождения М.В.Ломоносова ; Cu-Ni ; XF ; 24 ; lsk54 ; 304 
 1847 ; 5 рублей ; 1990 ; Большой дворец в Петродворце ; Cu-Ni ; Proof ; 23 ; musik ; 283 
 1848 ; 1 рубль. Упаковка ; 1992 ; 110 лет со дня рождения Я.Коласа ; Cu-Ni ; AU ; 48 ; MUPS ; 557 
 1849 ; 1 рубль. Упаковка ; 1993 ; 250 лет со дня рождения Г.Р.Державина ; Cu-Ni ; Unc ; 41 ; Служба тяги ; 1092 
 1850 ; 1 рубль. Упаковка ; 1992 ; 110 лет со дня рождения Я.Коласа ; Cu-Ni ; Proof ; 48 ; Служба тяги ; 638 
 1851 ; 1 рубль ; 1990 ; Маршал СССР Г.К.Жуков ; Cu-Ni ; Proof ; 19 ; konstantin1988 ; 450 
 1852 ; 1 рубль ; 1987 ; 175 лет Бородино (барельеф) ; Cu-Ni ; Proof ; 11 ; сортам70 ; 151 
 1853 ; 1 рубль ; 1989 ; 175 лет со дня рождения Т.Г.Шевченко ; Cu-Ni ; XF ; 9 ; Служба тяги ; 89 
 1854 ; 1 рубль ; 1991 ; 101 год со дня рождения К.В.Иванова ; Cu-Ni ; AU ; 9 ; Служба тяги ; 104 
 1855 ; 1 рубль. Упаковка ; 1978 ; Олимпиада 80.Московский Кремль ; Cu-Ni ; Unc ; 8 ; Служба тяги ; 261 
 1856 ; 1 рубль ; 1989 ; 100 лет со дня смерти Эминеску ; Cu-Ni ; Proof ; 29 ; konstantin1988 ; 350 
 1857 ; 3 рубля ; 1992 ; "Северный конвой" ; Cu-Ni ; Proof ; 30 ; MUPS ; 1014 
 1858 ; 1 рубль ; 1989 ; 100 лет со дня рождения Ниязи ; Cu-Ni ; XF ; 19 ; konstantin1988 ; 202 
 1859 ; 1 рубль ; 1990 ; 500 лет со дня рождения Ф.Скорины ; Cu-Ni ; XF ; 9 ; Mahfey ; 101 
 1860 ; 1 рубль ; 1984 ; 150 лет со дня рождения Д.И.Менделеева ; Cu-Ni ; XF ; 14 ; lsk54 ; 322 
 1861 ; 5 рублей. Упаковка ; 1990 ; Успенский собор в Москве ; Cu-Ni ; Proof ; 16 ; генерал777 ; 303 
 1862 ; 5 рублей. Упаковка ; 1991 ; Здание Госбанка СССР в Москве ; Cu-Ni ; Proof ; 11 ; T1000 ; 300 
 1863 ; 1 рубль. Упаковка. Новодел ; 1984 ; 125 лет со дня рождения А.С.Попова ; Cu-Ni ; Proof ; 52 ; Vol4en0k ; 1758 
 1864 ; 1 рубль. Упаковка. ; 1992 ; 110 лет со дня рождения Я.Купалы ; Cu-Ni ; Proof ; 54 ; генерал777 ; 565 
 1865 ; 1 рубль. Упаковка. ; 1987 ; 175 лет Бородино (обелиск) ; Cu-Ni ; Proof ; 29 ; dinkini ; 214 
 1866 ; 1 рубль ; 1977 ; Олимпиада 80.Эмблема Олимпийских игр ; Cu-Ni ; Unc ; 21 ; dinkini ; 157 
 1867 ; 5 рублей. Упаковка ; 1991 ; Памятник Давиду Сасунскому в Ереване ; Cu-Ni ; Proof ; 12 ; 99889988 ; 357 
 1868 ; 5 рублей. Упаковка ; 1988 ; Памятник в Новгороде "Тысячелетие России" ; Cu-Ni ; Proof ; 21 ; 99889988 ; 401 
 1869 ; 1 рубль. Упаковка. ; 1993 ; 130 лет со дня рождения В.И.Вернадского ; Cu-Ni ; Proof ; 19 ; ojk ; 432 
 1870 ; 5 рублей. Упаковка. ; 1989 ; Благовещенский собор в Москве ; Cu-Ni ; Proof ; 43 ; T1000 ; 400 
 1871 ; 1 рубль. Упаковка. ; 1993 ; 130 лет со дня рождения В.И.Вернадского ; Cu-Ni ; Proof ; 17 ; ojk ; 432 
 1872 ; 1 рубль. Упаковка. ; 1992 ; 110 лет со дня рождения Я.Купалы ; Cu-Ni ; Proof ; 25 ; ASA19V ; 537 
 1873 ; 3 рубля. Упаковка ; 1992 ; 750 лет победы А.Невского ; Cu-Ni ; Proof ; 11 ; генерал777 ; 328 
 1874 ; 1 рубль. Упаковка. Новодел ; 1986 ; 275 лет со дня рождения М.В.Ломоносова ; Cu-Ni ; Proof ; 20 ; Vol4en0k ; 722 
 1875 ; 1 рубль. Упаковка. ; 1987 ; 175 лет Бородино (барельеф) ; Cu-Ni ; Proof ; 26 ; WikTor75 ; 204 
 1876 ; 1 рубль. Упаковка. ; 1992 ; 110 лет со дня рождения Я.Коласа ; Cu-Ni ; Unc ; 43 ; Закрыт ; 499 
 1877 ; 1 рубль. Упаковка. ; 1993 ; 130 лет со дня рождения В.И.Вернадского ; Cu-Ni ; Proof ; 24 ; ASA19V ; 509 
 1878 ; 1 рубль. Упаковка. ; 1993 ; 130 лет со дня рождения В.И.Вернадского ; Cu-Ni ; Proof ; 21 ; ojk ; 432 
 1879 ; 1 рубль. Упаковка ; 1990 ; Маршал СССР Г.К.Жуков ; Cu-Ni ; Proof ; 17 ; gerber68 ; 400 
 1880 ; 1 рубль. Упаковка. Новодел ; 1981 ; 20 лет полета в космос Ю.Гагарина ; Cu-Ni ; Proof ; 31 ; Vol4en0k ; 1403 
 1881 ; 1 рубль. Упаковка. Новодел ; 1985 ; Фестиваль молодежи и студентов в Москве ; Cu-Ni ; Proof ; 24 ; T1000 ; 858 
 1882 ; 1 рубль. Упаковка. Новодел ; 1986 ; Международный год мира ; Cu-Ni ; Proof ; 24 ; Vol4en0k ; 867 
 1883 ; 1 рубль. Упаковка. ; 1993 ; 130 лет со дня рождения В.И.Вернадского ; Cu-Ni ; Proof ; 30 ; ASA19V ; 500 
 1884 ; 1 рубль. Упаковка. ; 1992 ; 110 лет со дня рождения Я.Коласа ; Cu-Ni ; Proof ; 26 ; Oleg73 ; 435 
 1885 ; 1 рубль. Упаковка. Новодел ; 1984 ; 150 лет со дня рождения Д.И.Менделеева ; Cu-Ni ; Proof ; 61 ; likerkka ; 1976 
 1886 ; 1 рубль. Упаковка. ; 1991 ; 850 лет со дня рождения Низами Гянджеви ; Cu-Ni ; Proof ; 27 ; T1000 ; 237 
 1887 ; 1 рубль. Упаковка. ; 1993 ; 130 лет со дня рождения В.И.Вернадского ; Cu-Ni ; Unc ; 51 ; кс ; 352 
 1888 ; 1 рубль. Упаковка. ; 1992 ; 110 лет со дня рождения Я.Купалы ; Cu-Ni ; Proof ; 36 ; ASA19V ; 555 
 1889 ; 1 рубль. Упаковка. ; 1991 ; Махтумкули ; Cu-Ni ; Proof ; 25 ; ASA19V ; 509 
 1890 ; 1 рубль. Упаковка. ; 1993 ; 130 лет со дня рождения В.И.Вернадского ; Cu-Ni ; Proof ; 22 ; ojk ; 465 
 1791 ; 5 рублей ; 1991 ; Памятник Давиду Сасунскому в Ереване ; Cu-Ni ; AU ; 12 ; petpet ; 226 
 1792 ; 1 рубль ; 1989 ; 175 лет со дня рождения М.Ю.Лермонтова ; Cu-Ni ; AU ; 13 ; carpetz ; 104 
 1793 ; 3 рубля ; 1991 ; 50 лет победы под Москвой ; Cu-Ni ; Proof ; 7 ; Служба тяги ; 227 
 1794 ; 1 рубль ; 1975 ; 30 лет Победы в войне 1941-1945 ; Cu-Ni ; AU ; 17 ; Служба тяги ; 255 
 1795 ; 1 рубль ; 1989 ; 175 лет со дня рождения Т.Г.Шевченко ; Cu-Ni ; AU ; 11 ; Mahfey ; 75 
 1796 ; 1 рубль ; 1989 ; 175 лет со дня рождения Т.Г.Шевченко ; Cu-Ni ; XF+ ; 11 ; Mahfey ; 75 
 1797 ; 5 рублей ; 1990 ; Успенский собор в Москве ; Cu-Ni ; AU ; 9 ; Служба тяги ; 204 
 1798 ; 1 рубль ; 1989 ; 175 лет со дня рождения Т.Г.Шевченко ; Cu-Ni ; AU ; 11 ; Mahfey ; 75 
 1799 ; 5 рублей ; 1990 ; Успенский собор в Москве ; Cu-Ni ; XF+ ; 33 ; xepak ; 142 
 1800 ; 1 рубль ; 1988 ; 120 лет со дня рождения А.М.Горького ; Cu-Ni ; AU ; 11 ; Mahfey ; 75 
 1801 ; 1 рубль ; 1984 ; 185 лет со дня рождения А.С.Пушкина ; Cu-Ni ; VF+ ; 22 ; Ferros ; 291 
 1802 ; 1 рубль ; 1985 ; 165 лет со дня рождения Ф.Энгельса ; Cu-Ni ; XF ; 14 ; lsk54 ; 306 
 1803 ; 1 рубль ; 1991 ; Махтумкули ; Cu-Ni ; AU ; 20 ; konstantin1988 ; 440 
 1804 ; 1 рубль ; 1980 ; Олимпиада 80.Здание Моссовета ; Cu-Ni ; AU ; 5 ; mto14 ; 150 
 1805 ; 1 рубль ; 1990 ; 150 лет со дня рождения П.И.Чайковского ; Cu-Ni ; XF ; 13 ; Служба тяги ; 126 
 1806 ; 1 рубль ; 1991 ; 550 лет со дня рождения А.Навои ; Cu-Ni ; XF+ ; 24 ; dinkini ; 143 
 1807 ; 1 рубль ; 1991 ; 125 лет со дня рождения П.Н.Лебедева ; Cu-Ni ; XF ; 11 ; Александр974 ; 124 
 1808 ; 1 рубль ; 1990 ; 125 лет со дня рождения Я.Райниса ; Cu-Ni ; XF ; 11 ; Mahfey ; 100 
 1809 ; 1 рубль ; 1977 ; 60 лет Советской власти ; Cu-Ni ; AU ; 39 ; Служба тяги ; 342 
