 5958 ; Бона иностранная Болгария 25 лева ;  ;  ;  ; AU ; 7 ; psion22 ; 77 
 1672 ; 3 рубля ; 1993 ; 50 лет победы на Курской дуге ; Cu-Ni ; Proof ; 29 ; игорь 222 ; 669 
 1673 ; 3 рубля ; 1994 ; Партизаны в Великой Отечетсвенной войне ; Cu-Ni ; Proof ; 18 ; dic79 ; 1420 
 1674 ; 3 рубля ; 1993 ; 50 лет освобождения Киева ; Cu-Ni ; Proof ; 38 ; buratino ; 1209 
 1675 ; 3 рубля ; 1995 ; 50 лет освобождения Праги ; Cu-Ni ; Proof ; 36 ; игорь 222 ; 2229 
 1676 ; 3 рубля ; 1995 ; 50 лет освобождения Будапешта ; Cu-Ni ; Proof ; 47 ; lva08 ; 2175 
 1677 ; 1 рубль ; 1990 ; 130 лет со дня рождения А.П.Чехова ; Cu-Ni ; Proof ; 14 ; DIMA 57 ; 163 
 1678 ; 1 рубль ; 1991 ; 850 лет со дня рождения Низами Гянджеви ; Cu-Ni ; Proof ; 17 ; se170661 ; 169 
 1679 ; 1 рубль ; 1989 ; 100 лет со дня смерти Эминеску ; Cu-Ni ; Proof ; 21 ; arsenich-s ; 204 
 1680 ; 1 рубль ; 1991 ; 101 год со дня рождения К.В.Иванова ; Cu-Ni ; Proof ; 18 ; Костя уц ; 164 
 1681 ; 1 рубль ; 1989 ; 150 лет со дня рождения М.П.Мусоргского ; Cu-Ni ; Proof ; 10 ; сортам70 ; 162 
 1682 ; 1 рубль ; 1992 ; "Суверенитет, демократия, возрождение" ; Cu-Ni ; Proof ; 31 ; WikTor75 ; 824 
 1683 ; 1 рубль ; 1992 ; 200 лет со дня рождения Н.И.Лобачевского ; Cu-Ni ; Proof ; 34 ; grisha2401 ; 500 
 1684 ; 1 рубль ; 1992 ; 190 лет со дня рождения П.С.Нахимова ; Cu-Ni ; Proof ; 35 ; VictorVico ; 765 
 1685 ; 1 рубль ; 1993 ; 110 лет со дня смерти И.С.Тургенева ; Cu-Ni ; Proof ; 36 ; Zarik ; 1248 
 1686 ; 1 рубль ; 1993 ; 130 лет со дня рождения В.И.Вернадского ; Cu-Ni ; Proof ; 30 ; vasilyi66 ; 510 
 1687 ; 1 рубль ; 1993 ; 100 лет со дня рождения В.В.Маяковского ; Cu-Ni ; Proof ; 40 ; vlk_ ; 1668 
 1688 ; 1 рубль ; 1993 ; 250 лет со дня рождения Г.Р.Державина ; Cu-Ni ; Proof ; 46 ; se170661 ; 1301 
 1689 ; 5 рублей ; 1991 ; Здание Госбанка СССР в Москве ; Cu-Ni ; AU ; 29 ; Grizli69 ; 177 
 1690 ; 5 рублей ; 1990 ; Матенадаран.Ереван ; Cu-Ni ; AU ; 12 ; Гриша2015 ; 155 
 1691 ; 5 рублей ; 1991 ; Памятник Давиду Сасунскому в Ереване ; Cu-Ni ; AU ; 17 ; se170661 ; 164 
 1692 ; 5 рублей ; 1991 ; Здание Госбанка СССР в Москве ; Cu-Ni ; AU ; 18 ; OBITUARY ; 183 
 1693 ; 1 рубль ; 1984 ; 150 лет со дня рождения Д.И.Менделеева ; Cu-Ni ; AU ; 23 ; OBITUARY ; 294 
 1694 ; 1 рубль ; 1981 ; Дружба навеки ; Cu-Ni ; XF ; 27 ; chapa78 ; 379 
 1695 ; 1 рубль ; 1983 ; 400 лет со дня смерти И.Федорова 1510-1583 ; Cu-Ni ; XF ; 13 ; Djozeff ; 283 
 1696 ; 1 рубль ; 1980 ; Олимпиада 80.Олимпийский факел ; Cu-Ni ; XF+ ; 12 ; 2334 ; 195 
 1697 ; 1 рубль ; 1981 ; 20 лет полета в космос Ю.Гагарина ; Cu-Ni ; XF ; 15 ; fuzzyfly ; 120 
 1698 ; 1 рубль ; 1989 ; 100 лет со дня рождения Ниязи ; Cu-Ni ; XF- ; 26 ; 2334 ; 226 
 1699 ; 1 рубль ; 1986 ; Международный год мира.В рубле Л в виде шалаша. ; Cu-Ni ; XF+ ; 71 ; Andrak ; 1222 
 1700 ; 1 рубль ; 1989 ; 100 лет со дня смерти Эминеску ; Cu-Ni ; XF+ ; 15 ; 2334 ; 204 
 1701 ; 1 рубль ; 1985 ; 115 лет со дня рождения В.И.Ленина ; Cu-Ni ; XF- ; 29 ; chapa78 ; 348 
 1702 ; 5 рублей ; 1989 ; Ансамбль Регистан в Самарканде ; Cu-Ni ; AU ; 33 ; 2334 ; 342 
 1703 ; 5 рублей. Упаковка. ; 1987 ; 70 лет Октябрьской революции ; Cu-Ni ; Proof ; 40 ; OBITUARY ; 3570 
 1604 ; 1 рубль ; 1990 ; 130 лет со дня рождения А.П.Чехова ; Cu-Ni ; Proof ; 14 ; Гриша2015 ; 222 
 1605 ; 1 рубль ; 1990 ; 130 лет со дня рождения А.П.Чехова ; Cu-Ni ; Proof ; 16 ; Гриша2015 ; 222 
 1606 ; 1 рубль. Упаковка ; 1989 ; 175 лет со дня рождения М.Ю.Лермонтова ; Cu-Ni ; Proof ; 16 ; котик ; 232 
 1607 ; 1 рубль. Упаковка ; 1991 ; 125 лет со дня рождения П.Н.Лебедева ; Cu-Ni ; Proof ; 18 ; viv1957 ; 232 
 1608 ; 5 рублей ; 1987 ; 70 лет Октябрьской революции ; Cu-Ni ; XF- ; 35 ; fuzzyfly ; 2220 
 1609 ; 5 рублей ; 1987 ; 70 лет Октябрьской революции ; Cu-Ni ; Proof ; 50 ; vlk_ ; 3264 
 1610 ; 1 рубль ; 1991 ; Олимпиада в Барселоне.Метание копья ; Cu-Ni ; Proof ; 19 ; vlk_ ; 2334 
 1611 ; 1 рубль ; 1991 ; Олимпиада в Барселоне.Штанга ; Cu-Ni ; Proof ; 36 ; Метро62 ; 2142 
 1612 ; 1 рубль ; 1991 ; Олимпиада в Барселоне.Прыжки в длину ; Cu-Ni ; Proof ; 22 ; SlaVic ; 1729 
 1613 ; 1 рубль ; 1991 ; Олимпиада в Барселоне. Бег ; Cu-Ni ; Proof ; 30 ; flutter ; 2193 
 1614 ; 1 рубль ; 1991 ; Олимпиада в Барселоне.Борьба ; Cu-Ni ; Proof ; 28 ; Метро62 ; 2193 
 1615 ; 1 рубль ; 1991 ; Олимпиада в Барселоне.Велосипед ; Cu-Ni ; Proof ; 39 ; vlk_ ; 2605 
 1616 ; 5 рублей. Упаковка ; 1990 ; Успенский собор в Москве ; Cu-Ni ; Proof ; 21 ; NUMIZMAT 777 ; 302 
 1617 ; 5 рублей. Упаковка ; 1990 ; Успенский собор в Москве ; Cu-Ni ; Proof ; 27 ; 2334 ; 288 
 1618 ; 5 рублей. Упаковка ; 1988 ; Памятник в Новгороде "Тысячелетие России" ; Cu-Ni ; Proof ; 28 ; 2334 ; 393 
 1619 ; 5 рублей. Упаковка нарушена ; 1991 ; Здание Госбанка СССР в Москве ; Cu-Ni ; Proof ; 18 ; Alexchin73 ; 293 
 1620 ; 5 рублей. Упаковка ; 1990 ; Матенадаран.Ереван ; Cu-Ni ; Proof ; 30 ; Alexchin73 ; 423 
 1621 ; 5 рублей. Упаковка ; 1992 ; Мавзолей-мечеть Ахмеда Ясави ; Cu-Ni ; Proof ; 28 ; buratino ; 940 
 1622 ; 5 рублей. Упаковка ; 1993 ; Сергиев Посад ; Cu-Ni ; Unc ; 22 ; nikolai77 ; 925 
 1623 ; 3 рубля. Упаковка ; 1991 ; 50 лет победы под Москвой ; Cu-Ni ; Proof ; 17 ; 2334 ; 320 
 1624 ; 3 рубля. Упаковка ; 1992 ; 750 лет победы А.Невского ; Cu-Ni ; Proof ; 12 ; USS ; 395 
 1625 ; 3 рубля. Упаковка ; 1992 ; 750 лет победы А.Невского ; Cu-Ni ; Proof ; 16 ; USS ; 374 
 1626 ; 3 рубля. Упаковка ; 1993 ; 50 лет победы в Сталинградской битве ; Cu-Ni ; Proof ; 33 ; игорь 222 ; 824 
 1627 ; 1 рубль. Упаковка ; 1975 ; 30 лет Победы в войне 1941-1945 ; Cu-Ni ; AU ; 17 ; 2334 ; 248 
 1628 ; 1 рубль. Упаковка ; 1983 ; 165 лет со дня рождения К.Маркса ; Cu-Ni ; Proof ; 34 ; все власти ; 841 
 1629 ; 1 рубль. Упаковка ; 1987 ; 175 лет Бородино (барельеф) ; Cu-Ni ; Proof ; 11 ; 2334 ; 216 
 1630 ; 1 рубль. Упаковка ; 1987 ; 175 лет Бородино (барельеф) ; Cu-Ni ; Proof ; 12 ; 2334 ; 213 
 1631 ; 1 рубль. Упаковка ; 1987 ; 175 лет Бородино (обелиск) ; Cu-Ni ; Proof ; 11 ; 2334 ; 223 
 1632 ; 1 рубль. Упаковка нарушена ; 1989 ; 150 лет со дня рождения М.П.Мусоргского ; Cu-Ni ; Proof ; 14 ; Гриша2015 ; 199 
 1633 ; 1 рубль. Упаковка ; 1989 ; 175 лет со дня рождения М.Ю.Лермонтова ; Cu-Ni ; Proof ; 18 ; 2334 ; 204 
 1634 ; 1 рубль. Упаковка нарушена ; 1988 ; 160 лет со дня рождения А.Н.Толстого ; Cu-Ni ; Proof ; 8 ; Гриша2015 ; 208 
 1635 ; 1 рубль. Упаковка ; 1989 ; 100 лет со дня смерти Эминеску ; Cu-Ni ; Proof ; 24 ; 2334 ; 299 
 1636 ; 1 рубль. Упаковка ; 1989 ; 100 лет со дня рождения Ниязи ; Cu-Ni ; Proof ; 16 ; 2334 ; 296 
 1637 ; 1 рубль. Упаковка ; 1989 ; 175 лет со дня рождения Т.Г.Шевченко ; Cu-Ni ; Proof ; 8 ; все власти ; 221 
 1638 ; 1 рубль. Упаковка ; 1987 ; 70 лет Октябрьской революции ; Cu-Ni ; Proof ; 25 ; 2334 ; 255 
 1639 ; 1 рубль. Упаковка нарушена ; 1990 ; 500 лет со дня рождения Ф.Скорины ; Cu-Ni ; Proof ; 15 ; se170661 ; 170 
 1640 ; 1 рубль. Упаковка ; 1990 ; 500 лет со дня рождения Ф.Скорины ; Cu-Ni ; Proof ; 12 ; 2334 ; 173 
 1641 ; 1 рубль. Упаковка нарушена ; 1990 ; 125 лет со дня рождения Я.Райниса ; Cu-Ni ; Proof ; 7 ; se170661 ; 170 
 1642 ; 1 рубль. Упаковка ; 1990 ; 125 лет со дня рождения Я.Райниса ; Cu-Ni ; Proof ; 10 ; 2334 ; 173 
 1643 ; 1 рубль. Упаковка ; 1992 ; 110 лет со дня рождения Я.Купалы ; Cu-Ni ; Proof ; 10 ; USS ; 655 
 1644 ; 1 рубль. Упаковка ; 1992 ; 110 лет со дня рождения Я.Купалы ; Cu-Ni ; Proof ; 9 ; круглая Лида ; 601 
 1645 ; 1 рубль. Упаковка. ; 1983 ; 165 лет со дня рождения К.Маркса ; Cu-Ni ; Proof ; 43 ; master_kka ; 828 
 1646 ; 1 рубль. Упаковка. ; 1984 ; 125 лет со дня рождения А.С.Попова ; Cu-Ni ; Proof ; 59 ; тпруф ; 1200 
 1647 ; 1 рубль. Упаковка. ; 1987 ; 130 лет со дня рождения К.Э.Циолковского ; Cu-Ni ; Proof ; 60 ; master_kka ; 765 
 1648 ; 1 рубль. Упаковка. ; 1979 ; Олимпиада 80.Обелиск покорителям космоса ; Cu-Ni ; Unc ; 27 ; 2334 ; 234 
 1649 ; 1 рубль. Упаковка. ; 1977 ; Олимпиада 80.Эмблема Олимпийских игр ; Cu-Ni ; Unc ; 23 ; VictorVico ; 286 
 1650 ; 1 рубль. Упаковка. ; 1980 ; Олимпиада 80.Олимпийский факел ; Cu-Ni ; Unc ; 23 ; VictorVico ; 311 
 1651 ; 1 рубль. Упаковка. ; 1989 ; 150 лет со дня рождения М.П.Мусоргского ; Cu-Ni ; Proof ; 20 ; 2334 ; 192 
 1652 ; 1 рубль. Упаковка. ; 1989 ; 100 лет со дня рождения Ниязи ; Cu-Ni ; Proof ; 24 ; 2334 ; 230 
 1653 ; 1 рубль. Упаковка. ; 1993 ; 110 лет со дня смерти И.С.Тургенева ; Cu-Ni ; Proof ; 34 ; Bogdan@ ; 1587 
 1554 ; 3 рубля ; 1995 ; Капитуляция Германии ; Cu-Ni ; Proof ; 33 ; VictorVico ; 2346 
 1555 ; 3 рубля ; 1994 ; Партизаны в ВОВ ; Cu-Ni ; Proof ; 34 ; Zarik ; 1377 
 1556 ; 1 рубль ; 1992 ; 200 лет со дня рождения Н.И.Лобачевского ; Cu-Ni ; Proof ; 34 ; TDV ; 649 
 1557 ; 1 рубль ; 1993 ; 110 лет со дня рождения А.П.Бородина ; Cu-Ni ; Proof ; 16 ; Bogdan@ ; 1440 
 1558 ; 1 рубль ; 1992 ; "Суверенитет, демократия, возрождение" ; Cu-Ni ; Proof ; 25 ; VictorVico ; 767 
 1559 ; 3 рубля ; 1992 ; 750 лет победы А.Невского ; Cu-Ni ; Proof ; 42 ; TDV ; 400 
 1560 ; 5 рублей ; 1988 ; Софийский собор в Киеве ; Cu-Ni ; Proof ; 35 ; buratino ; 485 
 1561 ; 5 рублей ; 1988 ; Памятник в Новгороде "Тысячелетие России" ; Cu-Ni ; Proof ; 50 ; 2334 ; 419 
 1562 ; 5 рублей ; 1990 ; Большой дворец в Петродворце ; Cu-Ni ; AU ; 16 ; Grizli69 ; 180 
 1563 ; 5 рублей ; 1990 ; Матенадаран.Ереван ; Cu-Ni ; AU ; 13 ; fuzzyfly ; 150 
 1564 ; 5 рублей ; 1991 ; Памятник Давиду Сасунскому в Ереване ; Cu-Ni ; AU ; 26 ; diskus72 ; 161 
 1565 ; 5 рублей ; 1987 ; 70 лет Октябрьской революции ; Cu-Ni ; AU ; 37 ; urffin ; 2907 
 1566 ; 1 рубль ; 1987 ; 175 лет Бородино (барельеф) ; Cu-Ni ; AU ; 11 ; kaktus1 ; 113 
 1567 ; 1 рубль ; 1985 ; 40 лет Победы над Германией ; Cu-Ni ; XF+ ; 11 ; kaktus1 ; 101 
 1568 ; 1 рубль ; 1979 ; Олимпиада 80.Здание МГУ ; Cu-Ni ; XF ; 13 ; bek-1 ; 125 
 1569 ; 1 рубль ; 1979 ; Олимпиада 80.Здание МГУ ; Cu-Ni ; XF- ; 19 ; Гриша2015 ; 113 
 1570 ; 1 рубль ; 1980 ; Олимпиада 80.Олимпийский факел ; Cu-Ni ; XF+ ; 21 ; 2334 ; 170 
 1571 ; 1 рубль ; 1977 ; Олимпиада 80.Эмблема Олимпийских игр ; Cu-Ni ; XF- ; 7 ; bek-1 ; 51 
 1572 ; 1 рубль ; 1983 ; 20 лет полета в космос В.Терешковой ; Cu-Ni ; XF+ ; 21 ; TDV ; 308 
 1573 ; 1 рубль ; 1992 ; 190 лет со дня рождения П.С.Нахимова ; Cu-Ni ; Proof ; 22 ; mvv ; 796 
 1574 ; 1 рубль ; 1992 ; 200 лет со дня рождения Н.И.Лобачевского ; Cu-Ni ; Proof ; 27 ; grisha2401 ; 546 
 1575 ; 1 рубль ; 1991 ; 100 лет со дня рождения С.Прокофьева ; Cu-Ni ; Proof ; 19 ; diskus72 ; 204 
 1576 ; 1 рубль ; 1992 ; 110 лет со дня рождения Я.Коласа ; Cu-Ni ; Proof ; 34 ; Zarik ; 534 
 1577 ; 1 рубль ; 1990 ; 150 лет со дня рождения П.И.Чайковского ; Cu-Ni ; Proof ; 22 ; GenyM ; 202 
 1578 ; 1 рубль ; 1993 ; 100 лет со дня рождения К.Л.Тимирязева ; Cu-Ni ; Proof ; 35 ; buratino ; 1428 
 1579 ; 1 рубль ; 1993 ; 250 лет со дня рождения Г.Р.Державина ; Cu-Ni ; Proof ; 32 ; chapay1959 ; 1383 
 1580 ; 3 рубля ; 1992 ; 750 лет победы А.Невского ; Cu-Ni ; Proof ; 35 ; rem ; 371 
 1581 ; 1 рубль. Упаковка ; 1991 ; 125 лет со дня рождения П.Н.Лебедева ; Cu-Ni ; Proof ; 23 ; Fara ; 227 
 1582 ; 1 рубль. Упаковка ; 1991 ; 101 год со дня рождения К.В.Иванова ; Cu-Ni ; Proof ; 29 ; 2334 ; 225 
 1583 ; 1 рубль. Упаковка ; 1990 ; 130 лет со дня рождения А.П.Чехова ; Cu-Ni ; Unc ; 33 ; 2334 ; 224 
 1584 ; 1 рубль. Упаковка ; 1991 ; 100 лет со дня рождения С.Прокофьева ; Cu-Ni ; Proof ; 18 ; 2334 ; 209 
 1585 ; 5 рублей. Упаковка ; 1988 ; Памятник в Новгороде "Тысячелетие России" ; Cu-Ni ; Proof ; 49 ; diskus72 ; 413 
 1586 ; 1 рубль. Новодел ; 1986 ; Международный год мира ; Cu-Ni ; Proof ; 10 ; win.gradoff ; 611 
 1587 ; 1 рубль. Новодел ; 1985 ; Фестиваль молодежи и студентов в Москве ; Cu-Ni ; Proof ; 9 ; котик ; 516 
 1588 ; 1 рубль ; 1965 ; 20 лет победы над Германией ; Cu-Ni ; AU ; 31 ; Plymouth ; 565 
 1589 ; 1 рубль. Упаковка ; 1991 ; 850 лет со дня рождения Низами Гянджеви ; Cu-Ni ; Proof ; 10 ; 2334 ; 203 
 1590 ; 1 рубль ; 1990 ; Маршал СССР Г.К.Жуков ; Cu-Ni ; Proof ; 38 ; 1drugov1 ; 389 
 1591 ; 1 рубль. Упаковка ; 1990 ; 125 лет со дня рождения Я.Райниса ; Cu-Ni ; Proof ; 18 ; котик ; 227 
 1592 ; 1 рубль ; 1975 ; 30 лет Победы в войне 1941-1945 ; Cu-Ni ; AU ; 31 ; Alexchin73 ; 509 
 1593 ; 1 рубль. Упаковка ; 1991 ; 101 год со дня рождения К.В.Иванова ; Cu-Ni ; Proof ; 21 ; 2334 ; 226 
 1594 ; 1 рубль. Упаковка ; 1989 ; 150 лет со дня рождения М.П.Мусоргского ; Cu-Ni ; Proof ; 18 ; 2334 ; 227 
 1595 ; 1 рубль. Упаковка ; 1987 ; 130 лет со дня рождения К.Э.Циолковского ; Cu-Ni ; Proof ; 33 ; тпруф ; 714 
 1596 ; 1 рубль. Упаковка ; 1991 ; Махтумкули ; Cu-Ni ; Proof ; 26 ; 2334 ; 338 
 1597 ; 1 рубль. Упаковка ; 1989 ; 100 лет со дня рождения Ниязи ; Cu-Ni ; Proof ; 24 ; 2334 ; 339 
 1598 ; 1 рубль. Упаковка ; 1991 ; 550 лет со дня рождения А.Навои ; Cu-Ni ; Proof ; 24 ; 2334 ; 230 
 1599 ; 1 рубль. Упаковка ; 1990 ; 130 лет со дня рождения А.П.Чехова ; Cu-Ni ; Proof ; 22 ; 2334 ; 203 
 1600 ; 1 рубль. Упаковка ; 1987 ; 70 лет Октябрьской революции ; Cu-Ni ; Proof ; 48 ; master_kka ; 437 
 1601 ; 1 рубль ; 1991 ; 100 лет со дня рождения С.Прокофьева ; Cu-Ni ; Proof ; 18 ; Гриша2015 ; 222 
 1602 ; 1 рубль. Упаковка ; 1988 ; 160 лет со дня рождения А.Н.Толстого ; Cu-Ni ; Proof ; 13 ; 2334 ; 203 
 1603 ; 1 рубль. Упаковка ; 1987 ; 175 лет Бородино (обелиск) ; Cu-Ni ; Proof ; 16 ; vlk_ ; 232 
 1504 ; 50 копеек ; 1974 ;  ; Cu-Ni ; XF+ ; 43 ; nivva ; 193 
 1505 ; 20 копеек ; 1974 ;  ; Cu-Ni ; XF ; 26 ; Vol4en0k ; 2550 
 1506 ; 15 копеек ; 1974 ;  ; Cu-Ni ; XF+ ; 34 ; AVK1974 ; 2948 
 1507 ; 10 копеек ; 1974 ;  ; Cu-Ni ; XF+ ; 13 ; smn51 ; 28 
 1508 ; 5 копеек ; 1974 ;  ; Cu-Zn ; AU ; 10 ; nivva ; 153 
 1509 ; 3 копейки ; 1974 ;  ; Cu-Zn ; AU ; 12 ; nivva ; 155 
 1510 ; 2 копейки ; 1974 ;  ; Cu-Zn ; AU ; 7 ; Wulf ; 32 
 1511 ; 1 копейка ; 1974 ;  ; Cu-Zn ; AU ; 10 ; Alexchin73 ; 67 
 1512 ; 50 копеек ; 1970 ;  ; Cu-Ni ; XF+ ; 48 ; AVK1974 ; 8426 
 1513 ; 50 копеек ; 1976 ;  ; Cu-Ni ; XF+ ; 33 ; Karhu ; 816 
 1514 ; 20 копеек ; 1944 ;  ; Ni ; VF ; 35 ; kurnev ; 222 
 1515 ; 20 копеек ; 1967 ;  ; Cu-Ni ; XF ; 50 ; AVK1974 ; 1838 
 1516 ; 20 копеек ; 1968 ;  ; Cu-Ni ; VF-XF ; 43 ; RAMA ; 1301 
 1517 ; 20 копеек ; 1991 ; ЛМД Л/с шт. 3 коп. ; Cu-Ni ; VF-XF ; 31 ; Майкл ; 1022 
 1518 ; 15 копеек ; 1942 ;  ; Ni ; VF- ; 67 ; mikd ; 10613 
 1519 ; 15 копеек ; 1968 ;  ; Cu-Ni ; AU ; 36 ; AVK1974 ; 2700 
 1520 ; 10 копеек ; 1944 ;  ; Ni ; VF ; 48 ; diman16 ; 1926 
 1521 ; 10 копеек ; 1991 ; Без букв ; Cu-Ni ; XF+ ; 58 ; AVK1974 ; 2318 
 1522 ; 15 копеек ; 1934 ;  ; Ni ; F ; 59 ; сега ; 404 
 1523 ; 3 копейки ; 1929 ; В СССР С вытянуты, шт.20 коп.1924 ; Br ; F ; 46 ; gtycbjyth ; 7057 
 1524 ; 3 копейки ; 1931 ; В СССР С вытянуты, шт.20 коп.1924 ; Br ; F-VF ; 60 ; sotnik ; 27100 
 1525 ; 3 копейки ; 1962 ;  ; Cu-Zn ; VF ; 32 ; viv1957 ; 240 
 1526 ; 3 копейки ; 1965 ;  ; Cu-Zn ; XF- ; 31 ; victorr ; 510 
 1527 ; 10 копеек ; 1934 ;  ; Ni ; F-VF ; 71 ; диман ; 567 
 1528 ; 1 рубль В капсуле NGC ; 1986 ; Международный год мира ; Cu-Ni ; Proof 66 ; 32 ; MR.DIR ; 1274 
 1529 ; 1 рубль В капсуле NGC ; 1990 ; 130 лет со дня рождения А.П.Чехова ; Cu-Ni ; MS 69 ; 27 ; vborisevich1 ; 612 
 1530 ; 5 рублей. В капсуле NGC ; 1988 ; Памятник в Новгороде "Тысячелетие России" ; Cu-Ni ; Proof 69 ; 24 ; kai77 ; 1499 
 1531 ; 1 рубль ; 1977 ; Олимпиада 80.Эмблема Олимпийских игр ; Cu-Ni ; AU ; 28 ; rem ; 124 
 1532 ; 3 рубля ; 1993 ; 50 лет победы на Курской дуге ; Cu-Ni ; Proof ; 21 ; игорь 222 ; 616 
 1533 ; 3 рубля ; 1994 ; 50 лет открытия Второго фронта ; Cu-Ni ; Proof ; 43 ; buratino ; 3276 
 1534 ; 3 рубля ; 1995 ; 50 лет освобождения Вены ; Cu-Ni ; Proof ; 17 ; lva08 ; 2380 
 1535 ; 1 рубль ; 1991 ; 125 лет со дня рождения П.Н.Лебедева ; Cu-Ni ; AU ; 20 ; klinza ; 156 
 1536 ; Рубль. 60 лет Советской власти ; 1967 ;  ; Cu-Ni ; AU ; 41 ; alexeyre ; 165 
 1537 ; 1 рубль ; 1991 ; 850 лет со дня рождения Низами Гянджеви ; Cu-Ni ; AU ; 26 ; chapa78 ; 144 
 1538 ; 1 рубль В капсуле NGC ; 1990 ; 150 лет со дня рождения П.И.Чайковского ; Cu-Ni ; Proof 69 ; 16 ; kai77 ; 1499 
 1539 ; 1 рубль. В капсуле PCGS ; 1991 ; Махтумкули ; Cu-Ni ; MS 65 ; 33 ; AVK1974 ; 1001 
 1540 ; 1 рубль ; 1978 ; Олимпиада 80.Московский Кремль ; Cu-Ni ; AU ; 69 ; vadim.l ; 300 
 1541 ; 1 рубль В капсуле NGC ; 1986 ; 275 лет со дня рождения М.В.Ломоносова ; Cu-Ni ; Proof 69 ; 39 ; kai77 ; 1826 
 1542 ; 1 рубль. Упаковка ; 1991 ; 550 лет со дня рождения А.Навои ; Cu-Ni ; Proof ; 32 ; Гриша2015 ; 215 
 1543 ; 1 рубль. Упаковка ; 1993 ; 250 лет со дня рождения Г.Р.Державина ; Cu-Ni ; Unc ; 33 ; USS ; 985 
 1544 ; 1 рубль. Упаковка ; 1991 ; Махтумкули ; Cu-Ni ; Proof ; 28 ; 2334 ; 401 
 1545 ; 1 рубль. Упаковка нарушена ; 1992 ; 200 лет со дня рождения Н.И.Лобачевского ; Cu-Ni ; Proof ; 39 ; круглая Лида ; 612 
 1546 ; 1 рубль. Упаковка ; 1991 ; 125 лет со дня рождения П.Н.Лебедева ; Cu-Ni ; Proof ; 40 ; Гриша2015 ; 261 
 1547 ; 1 рубль. Упаковка ; 1991 ; Олимпиада в Барселоне.Борьба ; Cu-Ni ; Proof ; 35 ; vlk_ ; 1338 
 1548 ; 3 рубля ; 1994 ; 50 лет освобождения Севастополя ; Cu-Ni ; Proof ; 28 ; игорь 222 ; 4010 
 1549 ; 1 рубль ; 1993 ; 100 лет со дня рождения К.Л.Тимирязева ; Cu-Ni ; Proof ; 53 ; Grinch ; 1411 
 1550 ; 1 рубль ; 1993 ; 130 лет со дня рождения В.И.Вернадского ; Cu-Ni ; Proof ; 32 ; evdiral ; 413 
 1551 ; 3 рубля ; 1995 ; Взятие Берлина ; Cu-Ni ; Proof ; 28 ; AVK1974 ; 3509 
 1552 ; 1 рубль ; 1993 ; 100 лет со дня рождения В.В.Маяковского ; Cu-Ni ; Proof ; 34 ; Grinch ; 1657 
 1553 ; 5 рублей ; 1992 ; Мавзолей-мечеть Ахмеда Ясави ; Cu-Ni ; Proof ; 40 ; моятачка909 ; 837 
 1454 ; 1 рубль ; 1972 ;  ; Cu-Ni ; XF+ ; 21 ; torbey ; 1921 
 1455 ; 1 рубль ; 1973 ;  ; Cu-Ni ; XF- ; 37 ; Paradox76 ; 1736 
 1456 ; 1 рубль ; 1974 ;  ; Cu-Ni ; XF+ ; 29 ; Alekss_27 ; 1326 
 1457 ; 1 рубль ; 1975 ;  ; Cu-Ni ; VF-XF ; 57 ; wadimaks ; 1300 
 1458 ; 1 рубль ; 1976 ;  ; Cu-Ni ; XF+ ; 31 ; fotograf ; 1224 
 1459 ; 1 рубль ; 1977 ;  ; Cu-Ni ; XF ; 33 ; филипок ; 1274 
 1460 ; 1 рубль ; 1978 ;  ; Cu-Ni ; XF+ ; 27 ; Wulf ; 1601 
 1461 ; 1 рубль ; 1979 ;  ; Cu-Ni ; XF ; 31 ; olegs ; 1530 
 1462 ; 1 рубль. Звезда большая ; 1980 ;  ; Cu-Ni ; AU/XF ; 75 ; Ритм ; 2193 
 1463 ; 1 рубль. Звезда малая ; 1980 ;  ; Cu-Ni ; XF ; 59 ; daymand ; 3063 
 1464 ; 1 рубль. Звезда большая ; 1981 ;  ; Cu-Ni ; AU/XF ; 57 ; daymand ; 2658 
 1465 ; 1 рубль. Звезда малая ; 1981 ;  ; Cu-Ni ; AU ; 47 ; тпруф ; 2348 
 1466 ; 1 рубль ; 1982 ;  ; Cu-Ni ; AU/XF ; 50 ; Wulf ; 1926 
 1467 ; 1 рубль ; 1983 ;  ; Cu-Ni ; XF ; 56 ; Vb[fksx ; 2331 
 1468 ; 1 рубль ; 1984 ;  ; Cu-Ni ; XF+ ; 34 ; borzota ; 360 
 1469 ; 1 рубль ; 1985 ;  ; Cu-Ni ; XF- ; 54 ; VAZ-2107 ; 283 
 1470 ; 1 рубль ; 1986 ;  ; Cu-Ni ; XF ; 29 ; VAZ-2107 ; 357 
 1471 ; 1 рубль ; 1987 ;  ; Cu-Ni ; XF+ ; 23 ; nikolai77 ; 509 
 1472 ; 1 рубль ; 1988 ;  ; Cu-Ni ; AU/XF ; 45 ; vasi4919 ; 285 
 1473 ; 1 рубль ; 1989 ;  ; Cu-Ni ; XF+ ; 17 ; vasi4919 ; 210 
 1474 ; 1 рубль ; 1990 ;  ; Cu-Ni ; AU ; 43 ; nivva ; 357 
 1475 ; 1 рубль ; 1991 ; ЛМД ; Cu-Ni ; AU/XF ; 74 ; Ok203 ; 408 
 1476 ; 20 копеек. В капсуле NGC ; 1939 ;  ; Ni ; AU58 ; 22 ; sotonn ; 1919 
