 251 ; Медаль В память войны 1853-1856. D-28мм ;  ;  ; Ж/м ; XF+ ; 33 ; Blister ; 4970 
 1927 ; 3 рубля ; 1989 ; Землятресение в Армении ; Cu-Ni ; AU ; 70 ; Gorizn ; 102 
 1928 ; 3 рубля. Упаковка ; 1992 ; 750 лет победы А.Невского ; Cu-Ni ; Unc ; 72 ; sonegr ; 233 
 1929 ; 1 рубль ; 1967 ; 50 лет Советской власти ; Cu-Ni ; XF- ; 10 ; С Урала ; 28 
 1930 ; 1 рубль ; 1970 ; 100 лет со дня рождения В.И.Ленина ; Cu-Ni ; XF+ ; 11 ; boom588 ; 95 
 1931 ; 1 рубль ; 1975 ; 30 лет Победы в войне 1941-1945 ; Cu-Ni ; VF+ ; 16 ; SSS200 ; 30 
 1932 ; 1 рубль ; 1977 ; 60 лет Советской власти ; Cu-Ni ; XF- ; 26 ; teemu ; 45 
 1933 ; 1 рубль ; 1977 ; Олимпиада 80.Эмблема Олимпийских игр ; Cu-Ni ; XF+ ; 28 ; SSS200 ; 51 
 1934 ; 1 рубль ; 1978 ; Олимпиада 80.Московский Кремль ; Cu-Ni ; XF- ; 14 ; melkiy ; 40 
 1935 ; 1 рубль ; 1979 ; Олимпиада 80.Обелиск покорителям космоса ; Cu-Ni ; XF- ; 18 ; yurrgen ; 46 
 1936 ; 1 рубль ; 1979 ; Олимпиада 80.Здание МГУ ; Cu-Ni ; AU ; 16 ; yurrgen ; 71 
 1937 ; 1 рубль ; 1980 ; Олимпиада 80.Здание Моссовета ; Cu-Ni ; AU ; 28 ; docentatk ; 65 
 1938 ; 1 рубль ; 1977 ; 60 лет Советской власти ; Cu-Ni ; AU ; 41 ; KVP1 ; 118 
 1939 ; 1 рубль ; 1985 ; 40 лет Победы над Германией ; Cu-Ni ; AU ; 13 ; yurrgen ; 41 
 1940 ; 1 рубль ; 1985 ; Фестиваль молодежи и студентов в Москве ; Cu-Ni ; AU ; 21 ; a r t y r ; 44 
 1941 ; 1 рубль ; 1987 ; 130 лет со дня рождения К.Э.Циолковского ; Cu-Ni ; XF ; 42 ; KVP1 ; 99 
 1942 ; 1 рубль ; 1987 ; 175 лет Бородино (барельеф) ; Cu-Ni ; AU ; 36 ; Harlock ; 69 
 1943 ; 1 рубль ; 1987 ; 175 лет Бородино (обелиск) ; Cu-Ni ; AAU ; 13 ; Harlock ; 79 
 1944 ; 1 рубль ; 1988 ; 160 лет со дня рождения А.Н.Толстого ; Cu-Ni ; AU ; 25 ; Nikolay75 ; 63 
 1945 ; 1 рубль ; 1988 ; 120 лет со дня рождения А.М.Горького ; Cu-Ni ; AU ; 41 ; lubopitnaja ; 57 
 1946 ; 1 рубль ; 1989 ; 175 лет со дня рождения Т.Г.Шевченко ; Cu-Ni ; AU ; 29 ; docentatk ; 67 
 1947 ; 1 рубль ; 1989 ; 100 лет со дня смерти Эминеску ; Cu-Ni ; AU ; 29 ; KVP1 ; 111 
 1948 ; 1 рубль ; 1989 ; 150 лет со дня рождения М.П.Мусоргского ; Cu-Ni ; AU ; 28 ; yurrgen ; 59 
 1949 ; 1 рубль ; 1989 ; 175 лет со дня рождения Т.Г.Шевченко ; Cu-Ni ; XF+ ; 23 ; yurrgen ; 55 
 1950 ; 1 рубль ; 1989 ; 175 лет со дня рождения М.Ю.Лермонтова ; Cu-Ni ; AU ; 46 ; Nikolay75 ; 137 
 1951 ; 1 рубль ; 1990 ; 130 лет со дня рождения А.П.Чехова ; Cu-Ni ; AU ; 23 ; yurrgen ; 51 
 1952 ; 1 рубль ; 1990 ; 125 лет со дня рождения Я.Райниса ; Cu-Ni ; AU ; 20 ; yurrgen ; 43 
 1953 ; 1 рубль ; 1990 ; 150 лет со дня рождения П.И.Чайковского ; Cu-Ni ; AU ; 22 ; lubopitnaja ; 53 
 1854 ; 1 рубль ; 1967 ; 50 лет Советской власти ; Cu-Ni ; Proof ; 120 ; ruslanrs ; 2856 
 1855 ; 1 рубль ; 1983 ; 165 лет со дня рождения К.Маркса ; Cu-Ni ; Proof ; 49 ; Georgiy ; 285 
 1856 ; 1 рубль ; 1992 ; 190 лет со дня рождения П.С.Нахимова ; Cu-Ni ; Proof ; 32 ; Harlock ; 306 
 1857 ; 1 рубль ; 1992 ; 110 лет со дня рождения Я.Купалы ; Cu-Ni ; Proof ; 21 ; Harlock ; 204 
 1858 ; 5 рублей ; 1988 ; Софийский собор в Киеве ; Cu-Ni ; Proof ; 66 ; Антон Семенович ; 191 
 1859 ; 5 рублей ; 1989 ; Благовещенский собор в Москве ; Cu-Ni ; Proof ; 21 ; grisha2401 ; 215 
 1860 ; 5 рублей ; 1990 ; Матенадаран.Ереван ; Cu-Ni ; Proof ; 24 ; lesnik1 ; 196 
 1861 ; 5 рублей ; 1990 ; Успенский собор в Москве ; Cu-Ni ; Proof ; 22 ; lesnik1 ; 188 
 1862 ; 5 рублей ; 1991 ; Архангельский собор в Москве ; Cu-Ni ; Proof ; 21 ; lesnik1 ; 188 
 1863 ; 5 рублей ; 1991 ; Памятник Давиду Сасунскому в Ереване ; Cu-Ni ; Proof ; 31 ; Mike! ; 225 
 1864 ; 3 рубля ; 1992 ; "Северный конвой" ; Cu-Ni ; Proof ; 48 ; купидон ; 431 
 1865 ; 3 рубля ; 1992 ; Международный год космоса ; Cu-Ni ; Proof ; 6 ; купидон ; 257 
 1866 ; 3 рубля ; 1992 ; 750 лет победы А.Невского ; Cu-Ni ; Proof ; 4 ; Mike! ; 225 
 1867 ; 3 рубля ; 1993 ; 50 лет победы в Сталинградской битве ; Cu-Ni ; Proof ; 7 ; vdutin ; 240 
 1868 ; 3 рубля ; 1994 ; 50 лет открытия Второго фронта ; Cu-Ni ; Proof ; 40 ; xxx935 ; 1740 
 1869 ; 1 рубль. Новодел ; 1981 ; 20 лет полета в космос Ю.Гагарина ; Cu-Ni ; Proof ; 34 ; evgen177309 ; 632 
 1870 ; 1 рубль. Новодел ; 1982 ; 60 лет образования СССР ; Cu-Ni ; Proof ; 22 ; Mike! ; 614 
 1871 ; 1 рубль. Новодел ; 1983 ; 20 лет полета в космос В.Терешковой ; Cu-Ni ; Proof ; 45 ; кошак ; 802 
 1872 ; 1 рубль. Новодел ; 1983 ; 400 лет со дня смерти И.Федорова 1510-1583 ; Cu-Ni ; Proof ; 17 ; Harlock ; 613 
 1873 ; 1 рубль. Новодел ; 1984 ; 125 лет со дня рождения А.С.Попова ; Cu-Ni ; Proof ; 67 ; кошак ; 806 
 1874 ; 1 рубль. Новодел ; 1984 ; 185 лет со дня рождения А.С.Пушкина ; Cu-Ni ; Proof ; 28 ; topzol ; 561 
 1875 ; 1 рубль. Новодел ; 1984 ; 150 лет со дня рождения Д.И.Менделеева ; Cu-Ni ; Proof ; 65 ; alnov ; 837 
 1876 ; 1 рубль. Новодел ; 1985 ; 165 лет со дня рождения Ф.Энгельса ; Cu-Ni ; Proof ; 35 ; ruslanrs ; 500 
 1877 ; 1 рубль. Новодел ; 1985 ; 115 лет со дня рождения В.И.Ленина ; Cu-Ni ; Proof ; 21 ; Harlock ; 613 
 1878 ; 1 рубль. Новодел ; 1985 ; 40 лет Победы над Германией ; Cu-Ni ; Proof ; 17 ; Harlock ; 613 
 1879 ; 1 рубль. Новодел ; 1985 ; Фестиваль молодежи и студентов в Москве ; Cu-Ni ; Proof ; 19 ; Harlock ; 613 
 1880 ; 1 рубль. Новодел ; 1986 ; 275 лет со дня рождения М.В.Ломоносова ; Cu-Ni ; Proof ; 25 ; кошак ; 760 
 1881 ; 1 рубль. Новодел ; 1986 ; Международный год мира ; Cu-Ni ; Proof ; 44 ; Harlock ; 613 
 1882 ; 1 рубль ; 1992 ; 110 лет со дня рождения Я.Купалы ; Cu-Ni ; Proof ; 19 ; Harlock ; 345 
 1883 ; 1 рубль ; 1992 ; 110 лет со дня рождения Я.Коласа ; Cu-Ni ; Proof ; 18 ; Mike! ; 352 
 1884 ; 1 рубль ; 1992 ; 190 лет со дня рождения П.С.Нахимова ; Cu-Ni ; Proof ; 18 ; Harlock ; 400 
 1885 ; 1 рубль ; 1992 ; 200 лет со дня рождения Н.И.Лобачевского ; Cu-Ni ; Proof ; 8 ; xxx935 ; 296 
 1886 ; 1 рубль ; 1993 ; 100 лет со дня рождения В.В.Маяковского ; Cu-Ni ; Proof ; 25 ; ruslanrs ; 1129 
 1887 ; 1 рубль ; 1978 ; Олимпиада 80.Московский Кремль ; Cu-Ni ; AU ; 22 ; yurrgen ; 102 
 1888 ; 1 рубль ; 1980 ; Олимпиада 80.Здание Моссовета ; Cu-Ni ; AU ; 12 ; yurrgen ; 102 
 1889 ; 1 рубль ; 1988 ; 160 лет со дня рождения А.Н.Толстого ; Cu-Ni ; Proof ; 21 ; Mike! ; 185 
 1890 ; 1 рубль ; 1988 ; 120 лет со дня рождения А.М.Горького ; Cu-Ni ; Proof ; 30 ; Mike! ; 211 
 1891 ; 1 рубль ; 1989 ; 150 лет со дня рождения М.П.Мусоргского ; Cu-Ni ; Proof ; 11 ; lesnik1 ; 159 
 1892 ; 1 рубль ; 1989 ; 100 лет со дня смерти Эминеску ; Cu-Ni ; Proof ; 39 ; tank116 ; 250 
 1893 ; 1 рубль ; 1989 ; 100 лет со дня рождения Ниязи ; Cu-Ni ; Proof ; 39 ; tank116 ; 250 
 1894 ; 1 рубль ; 1989 ; 175 лет со дня рождения Т.Г.Шевченко ; Cu-Ni ; Proof ; 33 ; tank116 ; 246 
 1895 ; 1 рубль ; 1990 ; 500 лет со дня рождения Ф.Скорины ; Cu-Ni ; Proof ; 21 ; Harlock ; 189 
 1896 ; 1 рубль ; 1990 ; 150 лет со дня рождения П.И.Чайковского ; Cu-Ni ; Proof ; 17 ; aaa2009 ; 189 
 1897 ; 1 рубль ; 1990 ; 130 лет со дня рождения А.П.Чехова ; Cu-Ni ; Proof ; 79 ; Harlock ; 211 
 1898 ; 1 рубль ; 1991 ; 850 лет со дня рождения Низами Гянджеви ; Cu-Ni ; Proof ; 39 ; Georgiy ; 272 
 1899 ; 1 рубль ; 1991 ; 101 год со дня рождения К.В.Иванова ; Cu-Ni ; Proof ; 28 ; yurrgen ; 181 
 1900 ; 1 рубль ; 1981 ; Дружба навеки ; Cu-Ni ; AU ; 5 ; Harlock ; 204 
 1901 ; 1 рубль ; 1985 ; 115 лет со дня рождения В.И.Ленина ; Cu-Ni ; XF+ ; 5 ; Harlock ; 179 
 1902 ; 1 рубль ; 1985 ; 165 лет со дня рождения Ф.Энгельса ; Cu-Ni ; XF+ ; 7 ; VELS ; 148 
 1903 ; 1 рубль ; 1986 ; 275 лет со дня рождения М.В.Ломоносова ; Cu-Ni ; XF+ ; 5 ; VELS ; 129 
 1804 ; 1 рубль ; 1986 ; 275 лет со дня рождения М.В.Ломоносова ; Cu-Ni ; AU ; 9 ; никсер ; 119 
 1805 ; 1 рубль ; 1986 ; Международный год мира ; Cu-Ni ; AU ; 28 ; yurrgen ; 61 
 1806 ; 1 рубль ; 1987 ; 175 лет Бородино (барельеф) ; Cu-Ni ; AU ; 55 ; Harlock ; 73 
 1807 ; 1 рубль ; 1987 ; 175 лет Бородино (обелиск) ; Cu-Ni ; AU ; 29 ; Harlock ; 61 
 1808 ; 1 рубль ; 1987 ; 130 лет со дня рождения К.Э.Циолковского ; Cu-Ni ; AU ; 17 ; piron ; 101 
 1809 ; 1 рубль ; 1987 ; 70 лет Октябрьской революции ; Cu-Ni ; AU ; 21 ; CVV68 ; 57 
 1810 ; 1 рубль ; 1988 ; 120 лет со дня рождения А.М.Горького ; Cu-Ni ; AU ; 22 ; piron ; 65 
 1811 ; 1 рубль ; 1988 ; 160 лет со дня рождения А.Н.Толстого ; Cu-Ni ; XF ; 55 ; Harlock ; 101 
 1812 ; 1 рубль ; 1989 ; 150 лет со дня рождения М.П.Мусоргского ; Cu-Ni ; AU ; 54 ; Gorizn ; 101 
 1813 ; 1 рубль ; 1989 ; 175 лет со дня рождения Т.Г.Шевченко ; Cu-Ni ; XF ; 36 ; docentatk ; 57 
 1814 ; 1 рубль ; 1989 ; 175 лет со дня рождения М.Ю.Лермонтова ; Cu-Ni ; AU ; 48 ; Harlock ; 84 
 1815 ; 1 рубль ; 1989 ; 100 лет со дня рождения Ниязи ; Cu-Ni ; AU ; 23 ; Harlock ; 59 
 1816 ; 1 рубль ; 1989 ; 100 лет со дня смерти Эминеску ; Cu-Ni ; AU ; 40 ; VELS ; 90 
 1817 ; 1 рубль ; 1990 ; 130 лет со дня рождения А.П.Чехова ; Cu-Ni ; AU ; 31 ; teemu ; 51 
 1818 ; 1 рубль ; 1990 ; 150 лет со дня рождения П.И.Чайковского ; Cu-Ni ; XF ; 23 ; KVP1 ; 73 
 1819 ; 1 рубль ; 1990 ; 500 лет со дня рождения Ф.Скорины ; Cu-Ni ; AU ; 27 ; Harlock ; 55 
 1820 ; 1 рубль ; 1990 ; 125 лет со дня рождения Я.Райниса ; Cu-Ni ; XF ; 60 ; uharius ; 90 
 1821 ; 1 рубль ; 1991 ; 550 лет со дня рождения А.Навои ; Cu-Ni ; AU ; 42 ; Gorizn ; 71 
 1822 ; 1 рубль ; 1991 ; 125 лет со дня рождения П.Н.Лебедева ; Cu-Ni ; AU ; 37 ; Harlock ; 82 
 1823 ; 1 рубль ; 1991 ; 100 лет со дня рождения С.Прокофьева ; Cu-Ni ; AU ; 35 ; yurrgen ; 67 
 1824 ; 1 рубль ; 1991 ; Махтумкули ; Cu-Ni ; AU ; 22 ; jimmysu ; 147 
 1825 ; 1 рубль ; 1991 ; 101 год со дня рождения К.В.Иванова ; Cu-Ni ; AU ; 37 ; melkiy ; 65 
 1826 ; 1 рубль ; 1991 ; 850 лет со дня рождения Низами Гянджеви ; Cu-Ni ; AU ; 42 ; Gorizn ; 116 
 1827 ; 1 рубль ; 1992 ; 110 лет со дня рождения Я.Купалы ; Cu-Ni ; XF ; 19 ; pissimist ; 206 
 1828 ; 1 рубль ; 1992 ; 110 лет со дня рождения Я.Коласа ; Cu-Ni ; AU ; 25 ; BarnabyRadj ; 206 
 1829 ; 1 рубль ; 1992 ; 200 лет со дня рождения Н.И.Лобачевского ; Cu-Ni ; AU ; 23 ; Harlock ; 193 
 1830 ; 1 рубль ; 1993 ; 130 лет со дня рождения В.И.Вернадского ; Cu-Ni ; AU ; 29 ; Gorizn ; 328 
 1831 ; 5 рублей. Упаковка ; 1988 ; Памятник Петру I в Ленинграде ; Cu-Ni ; Proof ; 43 ; TMakc ; 247 
 1832 ; 5 рублей. Упаковка ; 1988 ; Софийский собор в Киеве ; Cu-Ni ; Proof ; 42 ; Антон Семенович ; 193 
 1833 ; 5 рублей. Упаковка ; 1993 ; Сергиев Посад ; Cu-Ni ; Unc ; 35 ; klimvita ; 331 
 1834 ; 5 рублей. Упаковка ; 1993 ; Сергиев Посад ; Cu-Ni ; Proof ; 28 ; xxx935 ; 461 
 1835 ; 3 рубля. Упаковка ; 1991 ; 50 лет победы под Москвой ; Cu-Ni ; Proof ; 62 ; novikoff12006 ; 253 
 1836 ; 3 рубля. Упаковка ; 1992 ; Международный год космоса ; Cu-Ni ; Proof ; 27 ; pissimist ; 275 
 1837 ; 3 рубля. Упаковка ; 1993 ; 50 лет победы в Сталинградской битве ; Cu-Ni ; Proof ; 20 ; jimmysu ; 230 
 1838 ; 3 рубля. Упаковка ; 1993 ; 50 лет победы на Курской дуге ; Cu-Ni ; Unc ; 34 ; klimvita ; 218 
 1839 ; 3 рубля. Упаковка ; 1993 ; 50 лет победы на Курской дуге ; Cu-Ni ; Proof ; 33 ; molchun ; 315 
 1840 ; 3 рубля. Упаковка ; 1993 ; 50 лет освобождения Киева ; Cu-Ni ; Unc ; 34 ; Harlock ; 311 
 1841 ; 3 рубля. Упаковка ; 1993 ; 50 лет освобождения Киева ; Cu-Ni ; Proof ; 35 ; xxx935 ; 524 
 1842 ; 1 рубль. Упаковка ; 1982 ; 60 лет образования СССР ; Cu-Ni ; Proof ; 48 ; xxx935 ; 357 
 1843 ; 1 рубль. Упаковка ; 1988 ; 160 лет со дня рождения А.Н.Толстого ; Cu-Ni ; Proof ; 39 ; xxx935 ; 255 
 1844 ; 1 рубль. Упаковка ; 1989 ; 150 лет со дня рождения М.П.Мусоргского ; Cu-Ni ; Proof ; 78 ; kuznecov88 ; 328 
 1845 ; 1 рубль. Упаковка ; 1989 ; 175 лет со дня рождения Т.Г.Шевченко ; Cu-Ni ; Proof ; 27 ; elefant1965 ; 176 
 1846 ; 1 рубль. Упаковка ; 1991 ; 550 лет со дня рождения А.Навои ; Cu-Ni ; Proof ; 42 ; tank116 ; 187 
 1847 ; 1 рубль. Упаковка ; 1991 ; 125 лет со дня рождения П.Н.Лебедева ; Cu-Ni ; Proof ; 34 ; tank116 ; 318 
 1848 ; 1 рубль. Упаковка ; 1991 ; 100 лет со дня рождения С.Прокофьева ; Cu-Ni ; Proof ; 22 ; tank116 ; 340 
 1849 ; 1 рубль. Упаковка ; 1991 ; 850 лет со дня рождения Низами Гянджеви ; Cu-Ni ; Proof ; 42 ; Georgiy ; 357 
 1850 ; 1 рубль. Упаковка ; 1992 ; "Суверенитет, демократия, возрождение" ; Cu-Ni ; Proof ; 23 ; kma1296svu ; 410 
 1851 ; 1 рубль. Упаковка ; 1993 ; 130 лет со дня рождения В.И.Вернадского ; Cu-Ni ; Unc ; 98 ; lubopitnaja ; 255 
 1852 ; 1 рубль. Упаковка ; 1993 ; 130 лет со дня рождения В.И.Вернадского ; Cu-Ni ; Proof ; 27 ; kent01 ; 237 
 1853 ; 1 рубль. Упаковка ; 1993 ; 100 лет со дня рождения В.В.Маяковского ; Cu-Ni ; Unc ; 74 ; Dave ; 816 
 1754 ; 1 рубль. Пластиковая упаковка ; 1990 ; 150 лет со дня рождения П.И.Чайковского ; Cu-Ni ; AU ; 26 ; vfuflfy49 ; 110 
 1755 ; 1 рубль. Пластиковая упаковка ; 1990 ; Маршал СССР Г.К.Жуков ; Cu-Ni ; AU ; 31 ; Harlock ; 200 
 1756 ; 1 рубль. Пластиковая упаковка ; 1990 ; 500 лет со дня рождения Ф.Скорины ; Cu-Ni ; AU ; 31 ; SSS200 ; 125 
 1757 ; 1 рубль. Пластиковая упаковка ; 1990 ; 125 лет со дня рождения Я.Райниса ; Cu-Ni ; AU ; 30 ; vfuflfy49 ; 117 
 1758 ; 1 рубль. Пластиковая упаковка ; 1991 ; 550 лет со дня рождения А.Навои ; Cu-Ni ; AU ; 65 ; evgen 66 ; 114 
 1759 ; 1 рубль. Пластиковая упаковка ; 1991 ; 550 лет со дня рождения А.Навои ; Cu-Ni ; AU ; 62 ; vfuflfy49 ; 110 
 1760 ; 1 рубль. Пластиковая упаковка ; 1991 ; 125 лет со дня рождения П.Н.Лебедева ; Cu-Ni ; AU ; 48 ; Harlock ; 113 
 1761 ; 1 рубль. Пластиковая упаковка ; 1991 ; 125 лет со дня рождения П.Н.Лебедева ; Cu-Ni ; AU ; 24 ; Harlock ; 114 
 1762 ; 1 рубль. Пластиковая упаковка ; 1991 ; 100 лет со дня рождения С.Прокофьева ; Cu-Ni ; AU ; 22 ; Harlock ; 114 
 1763 ; 1 рубль. Пластиковая упаковка ; 1991 ; Махтумкули ; Cu-Ni ; AU ; 45 ; jimmysu ; 155 
 1764 ; 1 рубль. Пластиковая упаковка ; 1991 ; Махтумкули ; Cu-Ni ; AU ; 70 ; jimmysu ; 159 
 1765 ; 1 рубль. Пластиковая упаковка ; 1991 ; 101 год со дня рождения К.В.Иванова ; Cu-Ni ; AU ; 51 ; Pilimov ; 247 
 1766 ; 1 рубль. Пластиковая упаковка ; 1991 ; 850 лет со дня рождения Низами Гянджеви ; Cu-Ni ; AU ; 23 ; kostik_ne ; 111 
 1767 ; 5 рублей ; 1987 ; 70 лет Октябрьской революции ; Cu-Ni ; XF+ ; 153 ; Олег33 ; 635 
 1768 ; 5 рублей ; 1988 ; Памятник Петру I в Ленинграде ; Cu-Ni ; XF- ; 51 ; CVV68 ; 128 
 1769 ; 5 рублей ; 1988 ; Памятник в Новгороде "Тысячелетие России" ; Cu-Ni ; AU ; 57 ; sonegr ; 150 
 1770 ; 5 рублей ; 1988 ; Софийский собор в Киеве ; Cu-Ni ; AU ; 47 ; sonegr ; 160 
 1771 ; 5 рублей ; 1989 ; Собор Покрова на рву в Москве ; Cu-Ni ; XF ; 25 ; sonegr ; 202 
 1772 ; 5 рублей ; 1989 ; Ансамбль Регистан в Самарканде ; Cu-Ni ; XF+ ; 32 ; jimmysu ; 173 
 1773 ; 5 рублей ; 1989 ; Благовещенский собор в Москве ; Cu-Ni ; XF ; 58 ; 19Vlad72 ; 252 
 1774 ; 5 рублей ; 1990 ; Большой дворец в Петродворце ; Cu-Ni ; AU ; 30 ; Nikolay75 ; 114 
 1775 ; 5 рублей ; 1990 ; Успенский собор в Москве ; Cu-Ni ; XF ; 48 ; kostik_ne ; 104 
 1776 ; 5 рублей ; 1990 ; Матенадаран.Ереван ; Cu-Ni ; AU ; 40 ; Nikolay75 ; 114 
 1777 ; 5 рублей ; 1991 ; Архангельский собор в Москве ; Cu-Ni ; AU ; 38 ; evgen177309 ; 160 
 1778 ; 5 рублей ; 1991 ; Здание Госбанка СССР в Москве ; Cu-Ni ; XF+ ; 69 ; lubopitnaja ; 111 
 1779 ; 5 рублей ; 1991 ; Памятник Давиду Сасунскому в Ереване ; Cu-Ni ; AU ; 46 ; CVV68 ; 102 
 1780 ; 5 рублей ; 1992 ; Мавзолей-мечеть Ахмеда Ясави ; Cu-Ni ; AU ; 54 ; pissimist ; 432 
 1781 ; 3 рубля ; 1987 ; 70 лет Октябрьской революции ; Cu-Ni ; AU ; 24 ; CVV68 ; 114 
 1782 ; 3 рубля ; 1989 ; Землятресение в Армении ; Cu-Ni ; AU ; 40 ; Harlock ; 102 
 1783 ; 3 рубля ; 1991 ; 50 лет победы под Москвой ; Cu-Ni ; AU ; 45 ; SSS200 ; 119 
 1784 ; 1 рубль ; 1977 ; 60 лет Советской власти ; Cu-Ni ; XF- ; 58 ; SeregaSPB2 ; 101 
 1785 ; 1 рубль ; 1977 ; Олимпиада 80.Эмблема Олимпийских игр ; Cu-Ni ; XF- ; 24 ; sergey054 ; 62 
 1786 ; 1 рубль ; 1978 ; Олимпиада 80.Московский Кремль ; Cu-Ni ; XF- ; 53 ; docentatk ; 59 
 1787 ; 1 рубль ; 1979 ; Олимпиада 80.Здание МГУ ; Cu-Ni ; AU ; 41 ; карат ; 89 
 1788 ; 1 рубль ; 1979 ; Олимпиада 80.Обелиск покорителям космоса ; Cu-Ni ; AU ; 31 ; карат ; 63 
 1789 ; 1 рубль ; 1980 ; Олимпиада 80.Здание Моссовета ; Cu-Ni ; XF ; 30 ; yurrgen ; 59 
 1790 ; 1 рубль ; 1980 ; Олимпиада 80.Олимпийский факел ; Cu-Ni ; XF ; 30 ; sergey054 ; 69 
 1791 ; 1 рубль ; 1981 ; 20 лет полета в космос Ю.Гагарина ; Cu-Ni ; XF+ ; 30 ; jimmysu ; 55 
 1792 ; 1 рубль ; 1981 ; Дружба навеки ; Cu-Ni ; XF- ; 47 ; sergey054 ; 150 
 1793 ; 1 рубль ; 1982 ; 60 лет образования СССР ; Cu-Ni ; AU ; 27 ; molchun ; 175 
 1794 ; 1 рубль ; 1983 ; 20 лет полета в космос В.Терешковой ; Cu-Ni ; AU ; 24 ; sergey054 ; 135 
 1795 ; 1 рубль ; 1983 ; 20 лет полета в космос В.Терешковой ; Cu-Ni ; AU ; 32 ; sergey054 ; 120 
 1796 ; 1 рубль ; 1983 ; 165 лет со дня рождения К.Маркса ; Cu-Ni ; AU ; 20 ; sergey054 ; 159 
 1797 ; 1 рубль ; 1983 ; 400 лет со дня смерти И.Федорова 1510-1583 ; Cu-Ni ; AU ; 65 ; a r t y r ; 141 
 1798 ; 1 рубль ; 1984 ; 185 лет со дня рождения А.С.Пушкина ; Cu-Ni ; AU ; 48 ; sergey054 ; 130 
 1799 ; 1 рубль ; 1984 ; 150 лет со дня рождения Д.И.Менделеева ; Cu-Ni ; AU ; 41 ; a r t y r ; 148 
 1800 ; 1 рубль ; 1984 ; 125 лет со дня рождения А.С.Попова ; Cu-Ni ; AU ; 20 ; sergey054 ; 114 
 1801 ; 1 рубль ; 1985 ; 115 лет со дня рождения В.И.Ленина ; Cu-Ni ; XF+ ; 49 ; sonegr ; 206 
 1802 ; 1 рубль ; 1985 ; 165 лет со дня рождения Ф.Энгельса ; Cu-Ni ; XF+ ; 14 ; sergey054 ; 134 
 1803 ; 1 рубль ; 1985 ; Фестиваль молодежи и студентов в Москве ; Cu-Ni ; AU ; 54 ; SeregaSPB2 ; 65 
 1704 ; 5 рублей. Пластиковая упаковка ; 1987 ; 70 лет Октябрьской революции ; Cu-Ni ; AU ; 86 ; Nikolay75 ; 638 
 1705 ; 5 рублей. Пластиковая упаковка ; 1988 ; Памятник Петру I в Ленинграде ; Cu-Ni ; Proof ; 28 ; tank116 ; 261 
 1706 ; 5 рублей. Пластиковая упаковка ; 1988 ; Памятник Петру I в Ленинграде ; Cu-Ni ; AU ; 7 ; AKsoN ; 120 
 1707 ; 5 рублей. Пластиковая упаковка ; 1988 ; Софийский собор в Киеве ; Cu-Ni ; Proof ; 45 ; tdp ; 327 
 1708 ; 5 рублей. Пластиковая упаковка ; 1988 ; Софийский собор в Киеве ; Cu-Ni ; AU ; 59 ; Nikolay75 ; 169 
 1709 ; 5 рублей. Пластиковая упаковка ; 1988 ; Софийский собор в Киеве ; Cu-Ni ; AU ; 32 ; jimmysu ; 126 
 1710 ; 5 рублей. Пластиковая упаковка ; 1989 ; Собор Покрова на рву в Москве ; Cu-Ni ; Proof ; 49 ; tank116 ; 257 
 1711 ; 5 рублей. Пластиковая упаковка ; 1989 ; Собор Покрова на рву в Москве ; Cu-Ni ; Proof ; 23 ; Georgiy ; 286 
 1712 ; 5 рублей. Пластиковая упаковка ; 1989 ; Собор Покрова на рву в Москве ; Cu-Ni ; AU ; 25 ; Nikolay75 ; 142 
 1713 ; 5 рублей. Пластиковая упаковка ; 1989 ; Ансамбль Регистан в Самарканде ; Cu-Ni ; AU ; 19 ; Pilimov ; 248 
 1714 ; 5 рублей. Пластиковая упаковка ; 1989 ; Ансамбль Регистан в Самарканде ; Cu-Ni ; AU ; 70 ; jimmysu ; 178 
 1715 ; 5 рублей. Пластиковая упаковка ; 1989 ; Благовещенский собор в Москве ; Cu-Ni ; Proof ; 59 ; Pilimov ; 350 
 1716 ; 5 рублей. Пластиковая упаковка ; 1990 ; Большой дворец в Петродворце ; Cu-Ni ; AU ; 54 ; Pilimov ; 125 
 1717 ; 5 рублей. Пластиковая упаковка ; 1990 ; Большой дворец в Петродворце ; Cu-Ni ; AU ; 90 ; Pilimov ; 123 
 1718 ; 5 рублей. Пластиковая упаковка ; 1990 ; Успенский собор в Москве ; Cu-Ni ; AU ; 61 ; SSS200 ; 123 
 1719 ; 5 рублей. Пластиковая упаковка ; 1990 ; Матенадаран.Ереван ; Cu-Ni ; AU ; 72 ; Pilimov ; 209 
 1720 ; 5 рублей. Пластиковая упаковка ; 1991 ; Архангельский собор в Москве ; Cu-Ni ; Proof ; 16 ; tdp ; 267 
 1721 ; 5 рублей. Пластиковая упаковка ; 1991 ; Архангельский собор в Москве ; Cu-Ni ; AU ; 40 ; Harlock ; 181 
 1722 ; 5 рублей. Пластиковая упаковка ; 1991 ; Здание Госбанка СССР в Москве ; Cu-Ni ; AU ; 61 ; evgen 66 ; 125 
 1723 ; 5 рублей. Пластиковая упаковка ; 1991 ; Памятник Давиду Сасунскому в Ереване ; Cu-Ni ; AU ; 61 ; AKsoN ; 110 
