 3652 ; 100 рублей ; 1991 ; билет ;  ;  ; 54 ; andreykag ; 169 
 1558 ; 3 рубля ; 1992 ; ЛМД Троицкий собор ; Ag ; Proof ; 72 ; shais1 ; 1300 
 1559 ; 3 рубля ; 1993 ; ЛМД Кругосветка. Карта плавания ; Ag ; Proof ; 21 ; staro ; 1242 
 1560 ; 3 рубля ; 1993 ; ММД Федор Шаляпин ; Ag ; Proof ; 90 ; кузнецов ; 956 
 1561 ; 3 рубля ; 1993 ; ЛМД Колокольня Ивана Великого ; Ag ; Proof ; 65 ; imi ; 1383 
 1562 ; 3 рубля ; 1993 ; ЛМД Космонавты ; Ag ; Proof ; 74 ; кузнецов ; 1124 
 1563 ; 3 рубля ; 1994 ; ЛМД Рязанский Кремль ; Ag ; Proof ; 27 ; ANDREYMAG ; 1294 
 1564 ; 3 рубля ; 1995 ; ЛМД Экспедиция Челюскина ; Ag ; Proof ; 35 ; staro ; 1147 
 1213 ; Набор шпильмарок Бельгии в оригинальной коробке: от 1 сантима до 20 франков (11шт) ; конец 19 века ;  ; Br,Б/м ; VF-XF ; 29 ; mishanya ; 1000 
 1214 ; Лот знаков "Вторая Олимпиада в городе Рига 1914г": 2шт ;  ;  ; Br,серебре ; XF- ; 95 ; alex09 ; 1615 
 1215 ; Знак. Ветеран автомобильной промышленности СССР. С удостоверением ; ММД ;  ; Ж/м ; AU ; 60 ; ZOLTAN333 ; 351 
 1216 ; Лот медалей (5шт): Петродворец. В коробке ;  ;  ; Al ; XF+/AU ; 12 ; vasm ; 114 
 1217 ; Лот медалей (5шт): Олимпиада в Москве 1980г. В коробке ;  ;  ; Al ; AU ; 31 ; sveta6369 ; 303 
 1218 ; Лот медалей (2шт): 2-ух миллионный трактор D-75мм, Липецкий миллионный Р-ры: 60х75мм ;  ;  ; Al ; VF+/XF ; 3 ; vasm ; 89 
 1219 ; Лот знаков "Игры XXII Олимпиады в Москве 1980г" (21шт) ;  ;  ; Al, Пластм ; VF-/VF+ ; 9 ; radion ; 54 
 1220 ; Лот жетонов ММД, ЛМД: 2шт ;  ;  ; Al ; AU ; 29 ; SANGOLD1 ; 62 
 1221 ; Лот значков "Ударник коммунистического труда": 3шт ;  ;  ; Al ; VF/VF-XF ; 26 ; es@ul ; 61 
 1222 ; Лот значков : 3шт ;  ;  ; Al ; XF/AU ; 1 ; Mike! ; 75 
 1223 ; Лот значков  (9 мая): 8шт ;  ;  ; Al ; VF+/XF+ ; 29 ; dimon46 ; 80 
 1224 ; Лот значков (Самолёты): 7шт ;  ;  ; Al ; VF-/VF+ ; 37 ; dimon46 ; 99 
 1225 ; Лот значков (За окончание медицинского ВУЗа): 2шт ;  ;  ; Al ; XF/AU ; 14 ; Mike! ; 128 
 1226 ; Лот значков "Юбилейные": 4шт ;  ;  ; Al ; VF/XF- ; 4 ; Mike! ; 25 
 1227 ; Лот значков "Отличник": 2шт ;  ;  ; Al ; VF+/XF ; 12 ; мишок ; 71 
 1228 ; Лот значков (25 лет Победы): 9шт ;  ;  ; Al ; VF+/XF+ ; 17 ; himik121 ; 75 
 1229 ; Лот значков "Воин спортсмен, Почетный знак": 3шт ;  ;  ; Al ; VF/XF+ ; 1 ; Mike! ; 22 
 1230 ; Лот значков (20 лет Победы): 4шт ;  ;  ; Al ; VF/VF-XF ; 34 ; Mike! ; 49 
 1231 ; Лот значков (Авиация): 3шт ;  ;  ; Al ; XF-/XF+ ; 18 ; dimon46 ; 35 
 1232 ; Лот значков (Гражданская авиация СССР): 4шт ;  ;  ; Al ; VF/XF ; 23 ; Mike! ; 41 
 1233 ; Лот значков (Победа, 9 мая): 7шт ;  ;  ; Al ; XF/XF+ ; 19 ; dimon46 ; 50 
 1234 ; Лот значков (Самолёты): 3шт ;  ;  ; Al ; VF+/XF ; 5 ; elac ; 31 
 1235 ; Лот значков: 3шт ;  ;  ; Al ; VF/XF- ; 1 ; Mike! ; 29 
 1236 ; Лот из 4-х жетонов ; 1976 ;  ; Б/м,ж/м ; XF/AU ; 2 ; Mike! ; 133 
 1237 ; Лот из 2-х жетонов (700 лет и Телевидение. Бельгия) ;  ;  ; Б/м ; AU ; 1 ; Mike! ; 50 
 1238 ; Лот значков (Победа): 9шт ;  ;  ; Al ; VF/XF ; 4 ; Арарат ; 41 
 1239 ; Лот значков (Победа, 9 мая): 8шт ;  ;  ; Al ; VF/AU ; 3 ; Арарат ; 38 
 1240 ; Лот значков (40 лет Победы): 7шт ;  ;  ; Al ; XF/AU ; 2 ; Mike! ; 30 
 1241 ; Лот значков (Гражданская авиация СССР): 11шт ;  ;  ; Al ; VF/XF ; 26 ; dimon46 ; 100 
 1242 ; Лот значков (30 лет Победы): 9шт ;  ;  ; Al ; VF/AU ; 1 ; Mike! ; 40 
 1243 ; Лот значков  (День пограничника, танкиста, Советской армии, войск ПВО) : 5шт ;  ;  ; Al ; XF-/XF+ ; 21 ; Mike! ; 61 
 1244 ; Лот значков "Кижи, Марциальные воды": 4шт ;  ;  ; Al ; VF+/XF ; 5 ; allur65 ; 25 
 1245 ; Лот значков (Гражданская авиация СССР): 7шт ;  ;  ; Al ; VF/VF-XF ; 11 ; dimon46 ; 70 
 1246 ; Лот значков  ("Слава"): 6шт ;  ;  ; Al ; VF-XF/AU ; 6 ; dimon46 ; 60 
 1247 ; Лот значков  (9 мая): 8шт ;  ;  ; Al ; XF/AU ; 5 ; Mike! ; 36 
 1248 ; Лот значков (На страже мира СССР): 6шт ;  ;  ; Al ; XF/AU ; 5 ; Mike! ; 40 
 1249 ; Лот значков (Победа): 4шт ;  ;  ; Al ; XF/AU ; 2 ; Mike! ; 33 
 1250 ; Лот значков  (Из история авиации СССР): 13шт ;  ;  ; Al ; VF+/XF+ ; 14 ; elac ; 123 
 1251 ; Лот значков (Авиация): 9шт ;  ;  ; Al ; VF+/XF+ ; 9 ; dimon46 ; 90 
 1252 ; Лот значков  (История авиации СССР): 14шт ;  ;  ; Al ; VF/XF+ ; 11 ; dimon46 ; 130 
 1253 ; Лот знаков (2шгт): ветеран труда ;  ;  ; Al ; XF/AU ; 31 ; vasm ; 108 
 1254 ; Лот значков (Краснознаменный САВО и 50 лет Погранвойск) ;  ;  ; Al ; AU ; 70 ; RAPAN ; 113 
 1255 ; Лот значков (Солдатская классность 1 кл, 2 кл): 2шт ;  ;  ; Ж/м, эмаль ; AU ; 44 ; мишок ; 129 
 1256 ; Лот знаков СССР (2шт): VII и VIII съезд потребительской кооперации РСФСР ; ЛМД ;  ; Al ; AU ; 17 ; himik121 ; 77 
 1257 ; Лот значков (Корабли): 3шт ;  ;  ; Al ; XF/AU ; 153 ; RAPAN ; 558 
 1258 ; Лот значков (Без аварий): 4шт ;  ;  ; Al ; AU ; 110 ; derbnik ; 226 
 1259 ; Лот знаков (2шт): ВЛКСМ ;  ;  ; Al ; VF/VF+ ; 8 ; allur65 ; 16 
 1260 ; Лот значков (Корабли): 3шт ;  ;  ; Al ; XF-/XF+ ; 153 ; RAPAN ; 638 
 1261 ; Лот значков (Корабли): 3шт ;  ;  ; Al ; XF/AU ; 94 ; RAPAN ; 157 
 1262 ; Лот знаков юбилей Победы в ВОВ (3шт) ;  ;  ; Al, Ж/м ; VF/VF+ ; 5 ; allur65 ; 5 
 1163 ; Знак. Почетный гражданин. Муниципальное образование Ломоносовский район ;  ;  ; Ж/м ; AU ; 12 ; falerist ; 150 
 1164 ; Знак. ВОКУ Санкт-Петербург ;  ;  ; Ж/м ; AU ; 13 ; kola1961 ; 360 
 1165 ; Знак. 50 лет в/ч №15696 ;  ;  ; Ж/м ; XF ; 3 ; бурят1978 ; 55 
 1166 ; Знак. Культура, наука, искусство, образование ;  ;  ; Б/м ; AU ; 10 ; SadKo ; 101 
 1167 ; Знак об окончании Пригородного ДРСУ-2 ;  ;  ; Ж/м ; AU ; 25 ; uskov ; 131 
 1168 ; Знак об окончании ВУЗа ;  ;  ; Ж/м ; AU ; 13 ; uskov ; 137 
 1169 ; Знак об окончании учебного заведения ;  ;  ; Ж/м ; AU ; 14 ; uskov ; 155 
 1170 ; Знак об окончании НКК ;  ;  ; Ж/м ; AU ; 30 ; sd ; 140 
 1171 ; Знак об окончании СПбГУ ;  ;  ; Ж/м ; AU ; 17 ; uskov ; 235 
 1172 ; Знак об окончании СПбГМУ им ак. И.П.Павлова ;  ;  ; Ж/м ; AU ; 18 ; falerist ; 220 
 1173 ; Знак. 60 лет. 61 БТРЗ ;  ;  ; Ж/м ; AU ; 13 ; RAPAN ; 113 
 1174 ; Знак. 80 лет ПР ;  ;  ; Ж/м ; XF+ ; 8 ; SadKo ; 23 
 1175 ; Знак. 65 лет. ВВМУРЭ Попова ;  ;  ; Ж/м ; XF ; 16 ; falerist ; 400 
 1176 ; Знак. 50 лет СКО МОРФ ;  ;  ; Ж/м,б/м ; AU ; 7 ; бурят1978 ; 92 
 1177 ; Морской знак ;  ;  ; Ж/м,б/м ; AU ; 17 ; бурят1978 ; 179 
 1178 ; Знак. Ветеран пригородного ДРСУ-2 ;  ;  ; Ж/м ; AU ; 18 ; allur65 ; 18 
 1179 ; Знак. 50 лет в/ч 15696 ;  ;  ; Ж/м ; XF ; 13 ; бурят1978 ; 14 
 1180 ; Знак. 60 лет 295 УФПС ;  ;  ; Ж/м ; AU ; 13 ; мишок ; 45 
 1181 ; Знак. За дальний поход ;  ;  ; Ж/м ; AU ; 139 ; Charlotte Sometimes ; 459 
 1182 ; Знак. Заслуженный работник АООТ АВТОГАЗСТРОЙ ;  ;  ; Ж/м ; AU ; 16 ; ВВ42 ; 16 
 1183 ; Знак. 60 лет 12 ВПМО 172 ВПМО ;  ;  ; Ж/м ; AU ; 5 ; мишок ; 75 
 1184 ; Знак. 10 лет МЧС. Санкт-Петербург ;  ;  ; Ж/м ; AU ; 5 ; es@ul ; 69 
 1185 ; Знак. 80 лет УК ЛенВо ;  ;  ; Ж/м ; AU ; 14 ; fanil ; 123 
 1186 ; Знак. Заслуженный работник ВЧД-16 "Предпортовая" ;  ;  ; Ж/м ; AU ; 7 ; Sacha777 ; 128 
 1187 ; Знак. 60 лет ;  ;  ; Ж/м ; AU ; 5 ; бурят1978 ; 92 
 1188 ; Знак. СВУ 45 СПБ ;  ;  ; Ж/м ; AU ; 53 ; fanil ; 448 
 1189 ; Знак. ФВУ ПВО ;  ;  ; Б/м,ж/м ; XF ; 34 ; kola1961 ; 204 
 1190 ; Знак. 50 лет Рефрижераторное вагонное депо "Предпортовая" ;  ;  ; Ж/м ; AU ; 7 ; Sacha777 ; 123 
 1191 ; Знак. Почетный строитель ;  ;  ; Ж/м ; XF ; 41 ; uskov ; 91 
 1192 ; Знак. 70 лет ЭГС ;  ;  ; Ж/м ; XF ; 24 ; allur65 ; 24 
 1193 ; Знак. За добросовестный труд ;  ;  ; Ж/м ; AU ; 16 ; поручик ; 31 
 1194 ; Знак. 60 лет ВВМУРЭ им А.С.Попова ;  ;  ; Ж/м ; XF+ ; 9 ; Snuppy ; 255 
 1195 ; Знак. Заслуженный деятель науки ;  ;  ; Ж/м,эмаль ; AU ; 33 ; solder13 ; 126 
 1196 ; Знак. Первенство ДОСААФ ;  ;  ; Ж/м ; XF ; 39 ; al69 ; 92 
 1197 ; Знак. ДОСААВ Авиамоделист СССР ;  ;  ; Ж/м, эмаль ; VF- ; 24 ; 1822 ; 788 
 1198 ; Знак. Всегда готов ; ММД ;  ; Ж/м, эмаль ; XF- ; 40 ; ulf ; 159 
 1199 ; Знак. Всегда готов Iст. ;  ;  ; Ж/м, эмаль ; VF+ ; 6 ; LAB-A ; 155 
 1200 ; Знак. 50 лет ОВР ;  ;  ; Ж/м ; AU ; 59 ; Novo98 ; 850 
 1201 ; Знак. Первенство области II ст. РСФСР ;  ;  ; Ж/м, эмаль ; VF- ; 36 ; solder13 ; 318 
 1202 ; Знак. Лен. ВО ликвидации последствий аварии на АЭС Чернобыль ;  ;  ; Ж/м ; AU ; 15 ; SANGOLD1 ; 305 
 1203 ; Знак Сверхсрочника ;  ;  ; Al ; XF- ; 20 ; al69 ; 67 
 1204 ; Медаль. Международная нумизматическая конвенция в Германии в 1992г. Балерина в Штутгарте. D-38мм ;  ;  ; Б/м ; Proof ; 90 ; E.V.A. ; 669 
 1205 ; Медаль. Российские цари-императоры. Петр I (1672-1725) ;  ;  ; Б/м ; Proof ; 24 ; E.V.A. ; 159 
 1206 ; Медаль. Государственная дума-первый русский парламент (1906-2006). D-33мм ; ММД ;  ; Ag999 ; Proof ; 52 ; murzik20 ; 514 
 1207 ; Медаль. 285 лет Санкт-Петербургскому монетному двору ГОЗНАКА ;  ;  ; Б/м ; AU ; 21 ; 31 ; 449 
 1208 ; Медаль. 283 года Санкт-Петербургскому монетному двору ГОЗНАКА. D-50мм ;  ;  ; Б/м ; Proof ; 56 ; pillau3 ; 765 
 1209 ; Медаль. "Дервиш 2001". Полярный конвой 1941-1945. Медальер Ремир Харитонов. D-41мм ; ЛМД ;  ; Б/м ; Proof ; 57 ; OMT ; 985 
 1210 ; Жетон. Санкт-Петербург - Самара. Владислав Радимов. D-30мм ; 2007СПМД ;  ; Ж/м ; XF/AU ; 12 ; Charlotte Sometimes ; 67 
 1211 ; Жетон. Санкт-Петербургский монетный двор. Петр I. D-23мм ;  ;  ; Б/м ; AU ; 3 ; imi ; 51 
 1212 ; Жетон. Санкт-Петербургский мон двор. D-23мм ; СПМД ;  ; Б/м ; AU ; 31 ; Danila-56 ; 63 
 1113 ; Знак. ВЛКСМ ;  ;  ; Ж/м,эмаль ; XF+ ; 10 ; es@ul ; 176 
 1114 ; Заготовка для знака "Ворошиловский стрелок". Размеры: 39 на 44мм ;  ;  ; Ж/м ; XF- ; 71 ; alex09 ; 848 
 1115 ; Знак. Ленсовет ;  ;  ; Б/м,эмаль ; XF+ ; 14 ; 1822 ; 128 
 1116 ; Знак. За безаварийное УВД 5 лет ; ММД ;  ; Ж/м ; AU ; 97 ; 542 ; 408 
 1117 ; Знак. 75 лет Криптографической службе России ;  ;  ; Ж/м ; AU ; 12 ; von_Schwarz ; 21 
 1118 ; Знак. Школа мичманов ;  ;  ; Ж/м ; AU ; 31 ; Novo98 ; 310 
 1119 ; Знак. 1918-1998гг ;  ;  ; Ж/м ; AU ; 22 ; мишок ; 22 
 1120 ; Знак. НТО СССР ; ММД ;  ; Ж/м,эмаль ; VF ; 8 ; LAB-A ; 9 
 1121 ; Знак. ЛУ ;  ;  ; Ж/м,эмаль ; XF- ; 38 ; mirumir ; 254 
 1122 ; Знак. ДСО "Буревестник" ;  ;  ; Ж/м,эмаль ; VF ; 19 ; Snuppy ; 39 
 1123 ; Знак. Фестиваль. Москва ; ЛМД ;  ; Ж/м ; VF ; 18 ; mirumir ; 102 
 1124 ; Знак. Нефтегаз 78 ;  ;  ; Ж/м,эмаль ; XF ; 5 ; allur65 ; 6 
 1125 ; Знак. Интурист Москва ;  ;  ; Ж/м,эмаль ; XF- ; 32 ; radion ; 37 
 1126 ; Знак. 160 ОБ ПДСС ;  ;  ; Ж/м,эмаль ; VF-XF ; 63 ; RAPAN ; 348 
 1127 ; Знак. Рига ;  ;  ; Б/м,эмаль ; VF- ; 4 ; derbnik ; 12 
 1128 ; Знак. За безаварийный налет чаосв. Бортмеханик 15000 часов. №107340 ;  ;  ; Ж/м,эмаль ; AU ; 55 ; XO ; 650 
 1129 ; Знак. За борьбу с терроризмом ;  ;  ; Ж/м,эмаль ; AU ; 62 ; Майкл ; 510 
 1130 ; Знак. Отличный стрелок ;  ;  ; Ж/м,эмаль ; VF- ; 25 ; korovan67 ; 1266 
 1131 ; Знак. 850 лет Москве ;  ;  ; Ж/м ; AU ; 8 ; поручик ; 32 
 1132 ; Знак. 20 лет. Почетный рыбник ;  ;  ; Ж/м ; VF+ ; 57 ; ВВ42 ; 61 
 1133 ; Знак. 1917-1967гг ;  ;  ; Б/м,эмаль ; VF ; 28 ; SadKo ; 28 
 1134 ; Знак. МВД ;  ;  ; Б/м ; AU ; 35 ; мишок ; 237 
 1135 ; Знак. Мясокомбинат. Москва ; ММД ;  ; Ж/м,эмаль ; VF ; 76 ; mirumir ; 280 
 1136 ; Знак. 70 лет ВЛКСМ ;  ;  ; Ж/м,эмаль ; XF+ ; 92 ; Snuppy ; 366 
 1137 ; Знак. Камчатский фестиваль ; 1957 ;  ; Ж/м,эмаль ; XF ; 121 ; miha ; 282 
 1138 ; Знак ;  ;  ; Ж/м,эмаль ; VF+ ; 26 ; SadKo ; 77 
 1139 ; Знак. Юный турист СССР ; ЛМД ;  ; Ж/м,эмаль ; XF- ; 72 ; LAB-A ; 102 
 1140 ; Знак. Почетный работник среднегопрофессионального образования России №1821 ; ММД ;  ; Б/м ; AU ; 41 ; Майкл ; 392 
 1141 ; Знак. 320 ВПМО осн 1935г ;  ;  ; Ж/м,б/м ; AU ; 135 ; Snuppy ; 391 
 1142 ; Знак. Служба тоннельных сооружений. Петербургский метрополитен. За добросовестный труд ;  ;  ; Ж/м ; AU ; 61 ; keldish ; 277 
 1143 ; Знак. ЭМ "Современный" ; ЛМД ;  ; Ж/м ; AU ; 152 ; Novo98 ; 724 
 1144 ; Знак. Почетный работник транспорта России №3104 ; ММД ;  ; Ж/м,эмаль ; XF+ ; 169 ; qwe1000 ; 748 
 1145 ; Кокарда почетного эскорта ;  ;  ; Al ; AU ; 184 ; korovan67 ; 1249 
 1146 ; Знак. Чемпионат мира и Европы по хоккею с шайбой в Москве 1979г. Р-ры: 60х60мм ;  ;  ; Al ; XF ; 22 ; dimon46 ; 27 
 1147 ; Знак. Константиновский дворец. Размеры: 74 на 50мм ;  ;  ; Б/м ; AU ; 15 ; Charlotte Sometimes ; 87 
 1148 ; Знак. 200 лет финансовой с-ме России. Размеры: 76 на 76мм ;  ;  ; Ж/м ; AU ; 20 ; kont ; 56 
 1149 ; Знак. ВСХВ ;  ;  ; Ж/м,эмаль ; VF+ ; 35 ; Инвестор ; 51 
 1150 ; Знак. Почетный работник Российской транспортной инспекции ;  ;  ; Ж/м ; AU ; 27 ; 542 ; 204 
 1151 ; Знак. РТВ ;  ;  ; Ж/м ; AU ; 32 ; мишок ; 95 
 1152 ; Знак "Величие родины в ваших славных делах". 20 лет 47126 ;  ;  ; Ж/м ; AU ; 39 ; XO ; 192 
 1153 ; Знак. Ветеран гражданской авиации Таджикистана ;  ;  ; Ж/м ; AU ; 13 ; 542 ; 285 
 1154 ; Знак. 10 лет выпуска ВАГШ ;  ;  ; Ж/м ; XF+ ; 7 ; kola1961 ; 95 
 1155 ; Знак. Аллигатор ;  ;  ; Ж/м ; AU ; 25 ; allur65 ; 102 
 1156 ; Знак. 45 лет ВАУ ГВФ Академии ГА. 100 лет Новикову А.А. ;  ;  ; Б/м ; AU ; 17 ; qwe1000 ; 296 
 1157 ; Знак. Академия гражданской авиации. Заслуженный работник ;  ;  ; Б/м ; XF+ ; 20 ; qwe1000 ; 368 
 1158 ; Знак. 80 лет ВОКУ им С.М.Кирова ;  ;  ; Б/м,ж/м ; AU ; 19 ; kola1961 ; 255 
 1159 ; Знак. ШП ЖДВ РФ ;  ;  ; Ж/м ; AU ; 31 ; мишок ; 159 
 1160 ; Знак. 60 лет ВВМИСУ ВИТУ ;  ;  ; Ж/м,б/м ; AU ; 13 ; kola1961 ; 306 
 1161 ; Знак. 70 лет ВМИРЭ ;  ;  ; Ж/м ; AU ; 6 ; sd ; 153 
 1162 ; Знак. 75 лет КСЗПО ;  ;  ; Ж/м ; AU ; 15 ; Snuppy ; 281 
 1063 ; Жетон. Три Кайзера. Германия, 2-й рейх. D-22мм ; Конец XIX века ;  ; Br ; VF ; 48 ; evseechevvv ; 431 
 1064 ; Жетон. Начало правления Вильгельма II. Германия, 2-й рейх. D-19мм ; 1888 ;  ; Br ; XF ; 18 ; antik ; 340 
 1065 ; Жетон "Зеркальная мануфактура короля". Франция. D-32мм ; 1830 ;  ; Ag ; AU ; 38 ; alexander9595 ; 1554 
 1066 ; Жетон. 50 сентаво. Уругвай. Монтевидео. Parque Hotel. D-35мм ; ND ;  ; Al ; VF ; 11 ; von_Schwarz ; 72 
 1067 ; Сувенирная медаль. 1 денга. "Год кролика" ; 2011ММД/МВ ;  ; Ag925 ; Proof ; 112 ; E.V.A. ; 1326 
 1068 ; Жетон. Битва Геракла и Гериона (трехголовый и трехтелый великан). Людовик XIV. Франция ; 1675 ;  ; Cu ; VF- ; 34 ; rokada77 ; 604 
 1069 ; Медаль.  Гётеборг. Швеция. В пластиковой упаковке. D-35мм ; 1979 ;  ; Ж/м ; Unc ; 26 ; D-503 ; 69 
 1070 ; Медаль. Швеция. В пластиковой упаковке. D-35мм ;  ;  ; Ж/м ; Unc ; 12 ; D-503 ; 46 
 1071 ; Медаль. Торунь 1233-1983гг. Польша. Размеры: 75 на75мм ; 1983 ;  ; Ж/м ; AU ; 27 ; plis ; 469 
 1072 ; Медаль. Ректора. 300 лет 1698-1898.  D-42мм ; 1898 ;  ; Br,золочен ; VF- ; 80 ; Rober ; 116 
 1073 ; Медаль ООН. Даг Хаммаршельд 1905-1961гг. D-33мм ;  ;  ; Ж/м ; XF ; 17 ; solder13 ; 153 
 1074 ; Жетон. Гётеборг. Швеция. D-31мм ; 1971 ;  ; Ж/м ; AU ; 9 ; D-503 ; 31 
 1075 ; Жетон. Швеция. D-35мм ;  ;  ; Ж/м ; XF+ ; 35 ; allur65 ; 35 
 1076 ; Жетон. Гётеборг. Швеция. D-30мм ;  ;  ; Ж/м ; VF ; 28 ; allur65 ; 59 
 1077 ; Жетон. Швеция. D-30мм ;  ;  ; Б/м ; VF- ; 20 ; allur65 ; 46 
 1078 ; Жетон. Швеция. D-30мм ;  ;  ; Ж/м ; XF- ; 19 ; allur65 ; 20 
 1079 ; Плакета. Швеция. Размеры: 40 на 55мм ; 1979 ;  ; Ж/м ; VF+ ; 11 ; allur65 ; 12 
 1080 ; Жетон. Швеция. Размеры: 20 на 30мм ; 1953 ;  ; Ж/м ; XF ; 13 ; allur65 ; 13 
 1081 ; Жетон. Швеция. Размеры: 26 на 37мм ;  ;  ; Б/м ; VF-XF ; 12 ; allur65 ; 13 
 1082 ; Католический жетон. Размеры: 28 на 37мм ;  ;  ; Ж/м ; VF+ ; 82 ; Lasto4kaSPB ; 116 
 1083 ; Жетон. Каро фильм. D-27мм ;  ;  ; Ж/м ; XF ; 13 ; allur65 ; 15 
 1084 ; Сувенирный жетон. D-24мм ;  ;  ; Ж/м ; AU ; 17 ; derbnik ; 70 
 1085 ; Сувенирный жетон. Луганский патронный завод. 1 гривна. D-24мм ;  ;  ; Ж/м ; AU ; 6 ; derbnik ; 105 
 1086 ; Знак. Лыжи. Швеция ;  ;  ; Ж/м ; VF+ ; 50 ; allur65 ; 57 
 1087 ; Знак. Швеция ;  ;  ; Ж/м ; VF ; 26 ; allur65 ; 57 
 1088 ; Знак. Швеция ;  ;  ; Ж/м ; VF+ ; 14 ; levikk ; 172 
 1089 ; Знак. Швеция ;  ;  ; Б/м ; XF ; 38 ; levikk ; 249 
 1090 ; Знак. Безопасное движение. Швеция? ; 1947 ;  ; Б/м ; VF ; 6 ; allur65 ; 7 
 1091 ; Знак. Швеция ;  ;  ; Ж/м, покры ; XF- ; 52 ; levikk ; 189 
 1092 ; Знак. Зимние соревнования ; 1946 ;  ; Ж/м ; VF ; 6 ; Sterh ; 7 
 1093 ; Знак. Швеция ;  ;  ; Ж/м ; VF ; 22 ; allur65 ; 46 
 1094 ; Знак. Асахикава 82 ;  ;  ; Б/м,эмаль ; VF- ; 15 ; allur65 ; 16 
 1095 ; Знак 1905-1930. швеция ;  ;  ; Ж/м,эмаль ; VF ; 9 ; allur65 ; 10 
 1096 ; Знак иностраннный ;  ;  ; Ж/м ; AU ; 42 ; levikk ; 144 
 1097 ; Знак иностраннный ;  ;  ; Ж/м ; VF+ ; 21 ; vasm ; 84 
 1098 ; Знак ;  ;  ; Б/м,эмаль ; VF ; 7 ; мичман ; 24 
 1099 ; Знак. ГДР ;  ;  ; Ж/м ; VF- ; 8 ; allur65 ; 9 
 1100 ; Знак. ГДР ;  ;  ; Ж/м ; VF ; 6 ; allur65 ; 7 
 1101 ; Знак и миниатюрный знак "25 лет службы в таможне". Финляндия. В коробке ; 1973 ;  ; Ag830 ; XF- ; 78 ; smaci ; 816 
 1102 ; Знак "Депутат ВС Киргизской ССР" №293 ; ММД ;  ; Ag,эмаль ; XF+ ; 200 ; alex09 ; 7707 
 1103 ; Знак "Депутат ВС Северо-Осетинской  АССР" №49 ; ММД ;  ; Ag,эмаль ; XF ; 140 ; А_еЧъ ; 9378 
 1104 ; Знак "Депутат ВС Узбекской ССР" №151 ; ММД ;  ; Ag,эмаль ; XF ; 144 ; alex09 ; 5872 
 1105 ; Знак "Депутат ВС Украинской ССР" №200. Утерян винт ;  ;  ; Ag,эмаль ; VF+ ; 171 ; qwe1000 ; 4490 
 1106 ; Малая серебряная медаль ВСХВ №11731. D-25мм. Отсутствует колодка ; 1939 ;  ; Ag ; VF+ ; 78 ; xabib ; 1791 
 1107 ; Малая серебряная медаль ВСХВ (без креста на радиаторе). D-25мм ; 1954-1958 ;  ; Ag ; XF ; 125 ; марго ; 939 
 1108 ; Знак "Ветеран труда" УАЗ ;  ;  ; Ж/м,б/м ; XF ; 47 ; mirumir ; 235 
 1109 ; Почетный знак "Всероссийская организация ветеранов" ;  ;  ; Ж/м ; XF+ ; 25 ; ZOLTAN333 ; 25 
 1110 ; Знак. Волготанкер. 50 лет ;  ;  ; Б/м ; AU ; 42 ; RAPAN ; 110 
 1111 ; Знак. Корабль "Космонавт Юрий Гагарин" ;  ;  ; Ж/м ; XF ; 9 ; ZOLTAN333 ; 20 
 1112 ; Знак. Военный летчик 2 класса ;  ;  ; Ж/м,эмаль ; VF-XF ; 48 ; ZOLTAN333 ; 206 
 1013 ; Медаль за защиту Кувейта. Кувейт. В коробке с планкой ;  ;  ; Ж/м ; XF+ ; 37 ; XO ; 600 
 1014 ; Медаль победы III ст. Вьетнам. В коробке ;  ;  ; Al ; AU ; 119 ; XO ; 569 
 1015 ; Медаль. 25 лет армии Сирии. Сирия ;  ;  ; Ж/м ; AU ; 13 ; biruc ; 714 
 1016 ; Военная медаль Франца Иосифа 1873г. Австро-Венгрия ;  ;  ; Ж/м ; VF+ ; 47 ; Alks75 ; 2117 
 1017 ; Медаль национальной обороны. Франция с планкой "Экипаж" ;  ;  ; Ж/м ; AU ; 41 ; samuraika ; 278 
 1018 ; Военный  крест (1914-1918) с бронзовой звездой. Франция ;  ;  ; Ж/м ; XF- ; 35 ; lvovich ; 1224 
 1019 ; Крест Гинденбурга с мечами (1914-1918). Германия ;  ;  ; Ж/м ; XF+ ; 17 ; XO ; 527 
 1020 ; Медаль 7-ой дивизии. Италия ;  ;  ; Ж/м ; VF- ; 62 ; alexander9595 ; 610 
 1021 ; Орден Священного сокровища VIII ст. Япония ;  ;  ; Ag ; XF+ ; 38 ; biruc ; 2040 
 1022 ; Медаль в память I Мировой войны (1914-1918). Сербия ;  ;  ; Ж/м ; XF+ ; 18 ; semenich52 ; 918 
 1023 ; Воинский крест бойца войны (1940-1945). Бельгия ;  ;  ; Ж/м ; XF+ ; 38 ; antik ; 965 
 1024 ; Медаль в память войны (1914-1918). Австрия ;  ;  ; Ж/м ; AU ; 67 ; antik ; 1265 
 1025 ; Медаль за службу в народной полиции I ст. ГДР ;  ;  ; Ж/м ; AU ; 15 ; Майкл ; 340 
 1026 ; Крест храбрых. Польша ;  ;  ; Ж/м ; XF+ ; 32 ; biruc ; 2128 
 1027 ; Медаль в память I Мировой войны (1914-1918). Венгрия ;  ;  ; Б/м ; VF+ ; 83 ; smaci ; 694 
