 5499 ; Почтовая карточка Китай ;  ;  ;  ;  ; 12 ; Краснодар ; 99 
 2115 ; 20 копеек ; 1953 ;  ; Ni ; XF ; 5 ; мон ; 11 
 2116 ; 20 копеек ; 1932 ;  ; Ni ; F+ ; 6 ; cr2952 ; 15 
 2117 ; 50 копеек ; 1968 ;  ; Cu-Ni ; VF+ ; 23 ; Андрей Рик ; 107 
 2118 ; 20 копеек ; 1933 ;  ; Ni ; VF ; 13 ; iustas ; 114 
 2119 ; 10 копеек ; 1978 ;  ; Cu-Ni ; AU ; 15 ; sergius ; 33 
 2120 ; 20 копеек ; 1936 ; Л/с звезда плоская ; Ni ; VF ; 15 ; Pomnikov ; 126 
 2121 ; 10 копеек ; 1933 ;  ; Ni ; F ; 26 ; Pomnikov ; 159 
 2122 ; 50 копеек ; 1980 ;  ; Cu-Ni ; VF+ ; 21 ; kvl9293 ; 31 
 2123 ; 1 копейка ; 1940 ;  ; Br ; XF ; 14 ; Pomnikov ; 88 
 2124 ; 5 копеек ; 1930 ;  ; Br ; F+ ; 6 ; Rober ; 24 
 2125 ; 20 копеек ; 1936 ; Л/с звезда плоская ; Ni ; VF+ ; 16 ; Pomnikov ; 126 
 2126 ; 20 копеек ; 1953 ;  ; Ni ; VF ; 8 ; Rober ; 23 
 2127 ; 5 копеек ; 1949 ;  ; Br ; VF- ; 8 ; Pomnikov ; 79 
 2128 ; 3 копейки ; 1935 ;  ; Br ; F- ; 20 ; iustas ; 105 
 2129 ; 15 копеек ; 1938 ;  ; Ni ; F-VF ; 15 ; yuri.gruzdev ; 212 
 2130 ; 50 копеек ; 1972 ;  ; Cu-Ni ; VF+ ; 41 ; alexqr ; 379 
 2131 ; 2 копейки ; 1926 ;  ; Br ; F+ ; 6 ; Avdeev13 ; 54 
 2132 ; 1 копейка ; 1972 ;  ; Cu-Zn ; AU ; 31 ; ATF72 ; 204 
 2133 ; 1 рубль ; 1989 ;  ; Cu-Ni ; XF ; 15 ; Матроскин ; 89 
 2134 ; 1 рубль. Упаковка ; 1988 ;  ; Cu-Ni ; AU ; 19 ; Valery6776 ; 263 
 2135 ; 50 копеек. Упаковка ; 1988 ;  ; Cu-Ni ; AU ; 24 ; severov ; 204 
 2136 ; 15 копеек. Упаковка ; 1988 ;  ; Cu-Ni ; AU ; 11 ; Valery6776 ; 104 
 2137 ; 1 копейка ; 1985 ;  ; Cu-Zn ; AU ; 15 ; yuri.gruzdev ; 72 
 2138 ; 1 копейка ; 1980 ;  ; Cu-Zn ; AU ; 17 ; ATF72 ; 104 
 2139 ; 1 копейка ; 1965 ;  ; Cu-Zn ; AU ; 36 ; ATF72 ; 104 
 2140 ; 1 копейка ; 1963 ;  ; Cu-Zn ; AU ; 39 ; nivva ; 510 
 2141 ; 10 копеек ; 1949 ;  ; Ni ; VF+ ; 73 ; Pomnikov ; 300 
 2142 ; 15 копеек ; 1945 ;  ; Ni ; VF ; 25 ; akula ; 112 
 2143 ; 15 копеек ; 1946 ;  ; Ni ; VF+ ; 23 ; Ser83 ; 24 
 2144 ; 15 копеек ; 1946 ;  ; Ni ; VF-XF ; 4 ; Ivanp1ter ; 25 
 2145 ; 15 копеек ; 1953 ;  ; Ni ; VF+ ; 21 ; yuri.gruzdev ; 104 
 2146 ; 15 копеек ; 1955 ;  ; Ni ; VF ; 15 ; Андрей Рик ; 38 
 2147 ; 15 копеек ; 1957 ; В венке герба 15 лент ; Ni ; XF ; 7 ; kofela ; 31 
 2148 ; 15 копеек ; 1956 ;  ; Ni ; VF+ ; 13 ; yuri.gruzdev ; 114 
 2149 ; 15 копеек ; 1957 ; В венке герба 15 лент ; Ni ; XF ; 11 ; Юстас ; 21 
 2150 ; 10 копеек ; 1948 ;  ; Ni ; XF ; 23 ; CMSpb ; 102 
 2151 ; 10 копеек ; 1950 ;  ; Ni ; XF ; 19 ; yuri.gruzdev ; 139 
 2152 ; 10 копеек ; 1955 ;  ; Ni ; VF-XF ; 23 ; yuri.gruzdev ; 125 
 2153 ; 10 копеек ; 1956 ; В венке герба 16 лент ; Ni ; XF ; 3 ; Либра ; 13 
 2154 ; 10 копеек ; 1956 ; В венке герба 16 лент ; Ni ; XF ; 4 ; Андрей Рик ; 14 
 2155 ; 10 копеек ; 1956 ; В венке герба 16 лент ; Ni ; XF ; 5 ; Ivanp1ter ; 23 
 2156 ; 10 копеек ; 1957 ; В венке герба 15 лент ; Ni ; XF ; 3 ; страус ; 8 
 2157 ; 10 копеек ; 1957 ; В венке герба 15 лент ; Ni ; XF ; 6 ; Ivanp1ter ; 15 
 2058 ; 3 копейки ; 1946 ;  ; Br ; F- ; 3 ; zeroc0011er ; 4 
 2059 ; 3 копейки ; 1940 ;  ; Br ; F ; 5 ; iustas ; 14 
 2060 ; 3 копейки ; 1950 ;  ; Br ; F- ; 8 ; akula ; 59 
 2061 ; 2 копейки ; 1930 ;  ; Br ; F ; 4 ; страус ; 8 
 2062 ; 2 копейки ; 1948 ;  ; Br ; F ; 7 ; chauluch ; 151 
 2063 ; 2 копейки ; 1949 ;  ; Br ; F+ ; 6 ; zeroc0011er ; 10 
 2064 ; 2 копейки ; 1953 ;  ; Br ; F ; 5 ; iustas ; 23 
 2065 ; 2 копейки ; 1936 ;  ; Br ; F+ ; 5 ; ShYrik_RUS ; 11 
 2066 ; 2 копейки ; 1931 ;  ; Br ; F ; 6 ; zeroc0011er ; 14 
 2067 ; 2 копейки ; 1952 ;  ; Br ; F+ ; 8 ; es72 ; 25 
 2068 ; 5 копеек. Буклет ; 1991 ; ЛМД ; Cu-Zn ; AU ; 19 ; Valery6776 ; 120 
 2069 ; 15 копеек ; 1987 ;  ; Cu-Ni ;  ; 41 ; Гаечка ; 575 
 2070 ; 1 копейка ; 1962 ;  ; Cu-Zn ; VF ; 16 ; ATF72 ; 48 
 2071 ; 1 копейка ; 1965 ;  ; Cu-Zn ; XF+ ; 19 ; ATF72 ; 80 
 2072 ; 3 копейки ; 1937 ;  ; Br ; F- ; 13 ; ialaiola ; 34 
 2073 ; 5 копеек ; 1940 ;  ; Br ; VF ; 26 ; anna53 ; 239 
 2074 ; 15 копеек ; 1935 ;  ; Ni ; F- ; 8 ; cr2952 ; 46 
 2075 ; 15 копеек ; 1943 ;  ; Ni ; VF- ; 29 ; TUbGNzYBY. ; 276 
 2076 ; 3 копейки ; 1945 ;  ; Br ; F ; 50 ; Цхамо-Дынза ; 642 
 2077 ; 1 копейка ; 1954 ;  ; Br ; XF ; 28 ; IDEN ; 110 
 2078 ; 1 копейка ; 1953 ;  ; Br ; VF- ; 15 ; ShYrik_RUS ; 49 
 2079 ; 1 копейка ; 1952 ;  ; Br ; VF+ ; 25 ; Андрей Рик ; 55 
 2080 ; 1 копейка ; 1936 ;  ; Br ; VF+ ; 3 ; iustas ; 55 
 2081 ; 1 копейка ; 1933 ;  ; Br ; VF+ ; 17 ; suomi ; 255 
 2082 ; 1 копейка ; 1949 ;  ; Br ; XF ; 8 ; sergius ; 82 
 2083 ; 10 копеек ; 1957 ; В венке герба 15 лент ; Ni ; XF+ ; 27 ; noviyok ; 35 
 2084 ; 1 копейка ; 1938 ;  ; Br ; VF+ ; 39 ; anna53 ; 75 
 2085 ; 1 копейка ; 1957 ; В венке герба 15 лент ; Br ; XF ; 25 ; kadgeo ; 81 
 2086 ; 2 копейки ; 1940 ;  ; Br ; VF- ; 4 ; страус ; 12 
 2087 ; 5 копеек ; 1946 ;  ; Br ; VG ; 5 ; andrej.fedorov.1971 ; 23 
 2088 ; 1 копейка ; 1928 ;  ; Br ; VG ; 15 ; dizel86 ; 99 
 2089 ; 10 копеек ; 1935 ;  ; Сu-Ni ; F- ; 15 ; iustas ; 113 
 2090 ; 10 копеек ; 1938 ;  ; Ni ; VG ; 34 ; ZOLTAN333 ; 221 
 2091 ; 50 копеек ; 1974 ;  ; Cu-Ni ; VF ; 9 ; andrej.fedorov.1971 ; 92 
 2092 ; 50 копеек ; 1974 ;  ; Cu-Ni ; VF ; 25 ; ATF72 ; 92 
 2093 ; 5 рублей ; 1992 ; ММД ; Fe в Cu-Zn ; XF- ; 5 ; сортам70 ; 33 
 2094 ; 1 рубль ; 1992 ; Л ; Fe в Cu-Zn ; XF ; 1 ; сортам70 ; 2 
 2095 ; 20 рублей ; 1993 ; ММД Белый металл (магнитный) ;  ; VF+ ; 46 ; sub215 ; 94 
 2096 ; 20 рублей ; 1993 ; ММД Белый металл (магнитный) ;  ; XF ; 62 ; Юстас ; 113 
 2097 ; 1 копейка ; 1934 ;  ; Br ; VG ; 11 ; G00dvin ; 79 
 2098 ; 1 копейка ; 1935 ;  ; Br ; VG ; 19 ; Chatsky ; 276 
 2099 ; 3 копейки ; 1966 ;  ; Cu-Zn ; VG ; 30 ; Maksss163 ; 148 
 2100 ; 10 копеек. 50 лет Советской власти ; 1967 ;  ; Cu-Ni ; VF+ ; 40 ; Alex72 ; 156 
 2101 ; 20 копеек ; 1978 ;  ; Cu-Ni ; XF+ ; 11 ; yuri.gruzdev ; 306 
 2102 ; 15 копеек ; 1978 ;  ; Cu-Ni ; AU ; 14 ; yuri.gruzdev ; 352 
 2103 ; 10 копеек ; 1973 ;  ; Cu-Ni ; AU ; 16 ; yuri.gruzdev ; 239 
 2104 ; 10 копеек ; 1978 ;  ; Cu-Ni ; AU ; 3 ; Fontan ; 13 
 2105 ; 10 копеек ; 1932 ;  ; Ni ; F+ ; 25 ; dizel86 ; 120 
 2106 ; 20 копеек ; 1941 ; Л/с звезда плоская, шт. 20 коп. ; Ni ; F ; 22 ; cr2952 ; 131 
 2107 ; 15 копеек ; 1957 ; В венке герба 15 лент ; Ni ; XF ; 12 ; anna53 ; 21 
 2008 ; 1 рубль ; 1990 ; 125 лет со дня рождения Я.Райниса ; Cu-Ni ; Proof ; 3 ; Барон M ; 100 
 2009 ; 1 рубль ; 1990 ; 125 лет со дня рождения Я.Райниса ; Cu-Ni ; Proof ; 7 ; сортам70 ; 99 
 2010 ; 1 рубль ; 1990 ; 125 лет со дня рождения Я.Райниса ; Cu-Ni ; Proof ; 7 ; Ultim ; 105 
 2011 ; 1 рубль. Новодел. Упаковка нарушена ; 1983 ; 400 лет со дня смерти И.Федорова 1510-1583 ; Cu-Ni ; Proof ; 13 ; Барон M ; 470 
 2012 ; 1 рубль. Новодел. Упаковка нарушена ; 1975 ; 30 лет Победы в войне 1941-1945 ; Cu-Ni ; Proof ; 29 ; jek31 ; 929 
 2013 ; 1 рубль. Новодел. Упаковка ; 1983 ; 165 лет со дня рождения К.Маркса ; Cu-Ni ; Proof ; 9 ; Барон M ; 563 
 2014 ; 1 рубль. Новодел. Упаковка ; 1982 ; 60 лет образования СССР ; Cu-Ni ; Proof ; 26 ; jek31 ; 628 
 2015 ; 1 рубль. Новодел. Упаковка ; 1984 ; 185 лет со дня рождения А.С.Пушкина ; Cu-Ni ; Proof ; 27 ; Ната ; 716 
 2016 ; 1 рубль. Новодел. Упаковка нарушена ; 1984 ; 125 лет со дня рождения А.С.Попова ; Cu-Ni ; Proof ; 19 ; Барон M ; 611 
 2017 ; 1 рубль. Упаковка нарушена ; 1989 ; 175 лет со дня рождения Т.Г.Шевченко ; Cu-Ni ; Proof ; 3 ; Wulf ; 173 
 2018 ; 1 рубль. Упаковка ; 1990 ; 130 лет со дня рождения А.П.Чехова ; Cu-Ni ; Proof ; 18 ; света1973 ; 126 
 2019 ; 1 рубль. Новодел. Упаковка ; 1981 ; Дружба навеки ; Cu-Ni ; Proof ; 37 ; Ната ; 800 
 2020 ; 1 рубль. Новодел. Упаковка ; 1984 ; 150 лет со дня рождения Д.И.Менделеева ; Cu-Ni ; Proof ; 16 ; Барон M ; 509 
 2021 ; 1 рубль. Упаковка нарушена ; 1991 ; 100 лет со дня рождения С.Прокофьева ; Cu-Ni ; Proof ; 5 ; Wulf ; 181 
 2022 ; 1 рубль. Упаковка ; 1987 ; 130 лет со дня рождения К.Э.Циолковского ; Cu-Ni ; Proof ; 13 ; Wulf ; 251 
 2023 ; 1 рубль. Упаковка ; 1989 ; 150 лет со дня рождения М.П.Мусоргского ; Cu-Ni ; Proof ; 8 ; Wulf ; 197 
 2024 ; 1 рубль. Упаковка ; 1990 ; Маршал СССР Г.К.Жуков ; Cu-Ni ; Proof ; 25 ; света1973 ; 310 
 2025 ; 2 рубля. В капсуле PCGS ; 2012 ; ММД 200 лет победы в Отечественной войне 1812 г. П.Х. Виттгенштейн ; Cu-Ni ;  ; 18 ; Алексей Сомелье ; 300 
 2026 ; 2 рубля. В капсуле PCGS ; 2012 ; ММД 200 лет победы в Отечественной войне 1812 г. Василиса Кожина ; Cu-Ni ;  ; 15 ; Алексей Сомелье ; 300 
 2027 ; 2 рубля. В капсуле PCGS ; 2009 ; СПМД магнитная ; Cu-Ni-Zn ;  ; 39 ; nivva ; 306 
 2028 ; 20 копеек ; 1952 ;  ; Ni ; F ; 5 ; света1973 ; 24 
 2029 ; 20 копеек ; 1953 ;  ; Ni ; VF ; 3 ; света1973 ; 15 
 2030 ; 2 копейки ; 1940 ;  ; Br ; VF ; 6 ; света1973 ; 48 
 2031 ; 2 копейки ; 1963 ;  ; Cu-Zn ; VF ; 12 ; света1973 ; 87 
 2032 ; 3 копейки. Упаковка ; 1988 ;  ; Cu-Zn ; AU ; 14 ; Valery6776 ; 101 
 2033 ; 2 копейки. Упаковка ; 1988 ;  ; Cu-Zn ; AU ; 15 ; akula ; 105 
 2034 ; 1 копейка. Упаковка ; 1988 ;  ; Cu-Zn ; AU ; 9 ; Valery6776 ; 101 
 2035 ; 10 копеек. Упаковка ; 1988 ;  ; Cu-Ni ; AU ; 11 ; Valery6776 ; 101 
 2036 ; 5 копеек. Упаковка ; 1988 ;  ; Cu-Zn ; XF+ ; 27 ; Valery6776 ; 38 
 2037 ; 20 копеек ; 1988 ; Л/с шт. 3 коп. ; Cu-Ni ; AU ; 91 ; rfg34 ; 1115 
 2038 ; Жетон ЛМД. Упаковка ;  ;  ; Al ; AU ; 7 ; скорпион76 ; 183 
 2039 ; 10 копеек ; 1981 ;  ; Cu-Ni ; XF+ ; 8 ; yuri.gruzdev ; 41 
 2040 ; 15 копеек ; 1935 ;  ; Ni ; F ; 14 ; Pomnikov ; 90 
 2041 ; 1 рубль ; 1989 ;  ; Cu-Ni ; XF ; 12 ; anna53 ; 114 
 2042 ; 10 копеек ; 1982 ;  ; Cu-Ni ; XF+ ; 3 ; yuri.gruzdev ; 4 
 2043 ; 10 копеек ; 1984 ;  ; Cu-Ni ; XF+ ; 7 ; yuri.gruzdev ; 115 
 2044 ; 10 копеек ; 1988 ;  ; Cu-Ni ; XF+ ; 1 ; Ivanp1ter ; 2 
 2045 ; 5 копеек ; 1929 ;  ; Br ; VG ; 24 ; dizel86 ; 306 
 2046 ; 5 копеек ; 1930 ;  ; Br ; F- ; 10 ; Rober ; 21 
 2047 ; 5 копеек ; 1955 ;  ; Br ; VF-XF ; 27 ; anna53 ; 104 
 2048 ; 3 копейки ; 1930 ;  ; Br ; VG ; 11 ; dizel86 ; 34 
 2049 ; 3 копейки ; 1936 ; Л/с звезда фигурная ; Br ; F ; 23 ; sergius ; 99 
 2050 ; 2 копейки ; 1949 ;  ; Br ; VF- ; 7 ; Pomnikov ; 118 
 2051 ; 1 копейка ; 1988 ;  ; Cu-Zn ; XF ; 1 ; Ivanp1ter ; 2 
 2052 ; 3 копейки ; 1930 ;  ; Br ; F+ ; 6 ; zeroc0011er ; 10 
 2053 ; 3 копейки ; 1929 ;  ; Br ; F+ ; 23 ; andrej.fedorov.1971 ; 53 
 2054 ; 3 копейки ; 1931 ;  ; Br ; F- ; 4 ; dizel86 ; 6 
 2055 ; 3 копейки ; 1932 ;  ; Br ; F+ ; 10 ; dizel86 ; 23 
 2056 ; 3 копейки ; 1936 ; Л/с звезда фигурная ; Br ; F+ ; 4 ; iustas ; 9 
 2057 ; 3 копейки ; 1938 ;  ; Br ; VG ; 5 ; sasha1001 ; 5 
 1958 ; 3 рубля ; 1994 ; Партизаны в ВОВ ; Cu-Ni ; Proof ; 14 ; xxzx ; 900 
 1959 ; 1 рубль ; 1987 ; 175 лет Бородино (обелиск) ; Cu-Ni ; Proof ; 15 ; vvoha ; 157 
 1960 ; 1 рубль ; 1987 ; 175 лет Бородино (обелиск) ; Cu-Ni ; Proof ; 11 ; ETI ; 160 
 1961 ; 1 рубль ; 1990 ; 125 лет со дня рождения Я.Райниса ; Cu-Ni ; Proof ; 4 ; shelbyroush ; 102 
 1962 ; 1 рубль ; 1990 ; 500 лет со дня рождения Ф.Скорины ; Cu-Ni ; Proof ; 4 ; shelbyroush ; 102 
 1963 ; 3 рубля ; 1994 ; Партизаны в ВОВ ; Cu-Ni ; Proof ; 18 ; Rublicus ; 1007 
 1964 ; 3 рубля ; 1992 ; "Северный конвой" ; Cu-Ni ; Proof ; 35 ; xxzx ; 689 
 1965 ; 1 рубль ; 1990 ; Маршал СССР Г.К.Жуков ; Cu-Ni ; Proof ; 7 ; SergO82 ; 259 
 1966 ; 1 рубль ; 1990 ; 500 лет со дня рождения Ф.Скорины ; Cu-Ni ; Proof ; 3 ; Барон M ; 100 
 1967 ; 1 рубль ; 1987 ; 130 лет со дня рождения К.Э.Циолковского ; Cu-Ni ; Proof ; 5 ; Гаечка ; 214 
 1968 ; 1 рубль ; 1990 ; 500 лет со дня рождения Ф.Скорины ; Cu-Ni ; Proof ; 3 ; Барон M ; 100 
 1969 ; 3 рубля ; 1992 ; 750 лет победы А.Невского ; Cu-Ni ; Proof ; 11 ; Гаечка ; 276 
 1970 ; 3 рубля ; 1992 ; 750 лет победы А.Невского ; Cu-Ni ; Proof ; 9 ; Rogoff ; 276 
 1971 ; 1 рубль. Новодел ; 1986 ; Международный год мира ; Cu-Ni ; Proof ; 16 ; Барон M ; 512 
 1972 ; 1 рубль ; 1987 ; 175 лет Бородино (барельеф) ; Cu-Ni ; Proof ; 10 ; ETI ; 139 
 1973 ; 1 рубль ; 1990 ; 125 лет со дня рождения Я.Райниса ; Cu-Ni ; Proof ; 3 ; Барон M ; 100 
 1974 ; 1 рубль ; 1990 ; 500 лет со дня рождения Ф.Скорины ; Cu-Ni ; Proof ; 3 ; Барон M ; 100 
 1975 ; 3 рубля ; 1995 ; Капитуляция Германии ; Cu-Ni ; Proof ; 10 ; RAMA ; 1940 
 1976 ; 1 рубль ; 1983 ; 165 лет со дня рождения К.Маркса ; Cu-Ni ; Proof ; 17 ; Rogoff ; 363 
 1977 ; 1 рубль ; 1990 ; 500 лет со дня рождения Ф.Скорины ; Cu-Ni ; Proof ; 3 ; Барон M ; 100 
 1978 ; 1 рубль ; 1990 ; 500 лет со дня рождения Ф.Скорины ; Cu-Ni ; Proof ; 3 ; Барон M ; 100 
 1979 ; 1 рубль ; 1990 ; 500 лет со дня рождения Ф.Скорины ; Cu-Ni ; Proof ; 3 ; Гаечка ; 80 
 1980 ; 1 рубль ; 1990 ; 125 лет со дня рождения Я.Райниса ; Cu-Ni ; Proof ; 3 ; Барон M ; 100 
 1981 ; 1 рубль. Упаковка ; 1991 ; 850 лет со дня рождения Низами Гянджеви ; Cu-Ni ; Proof ; 9 ; Wulf ; 188 
 1982 ; 1 рубль. Упаковка ; 1989 ; 150 лет со дня рождения М.П.Мусоргского ; Cu-Ni ; Proof ; 16 ; Wulf ; 207 
 1983 ; 1 рубль. Упаковка ; 1991 ; Махтумкули ; Cu-Ni ; Proof ; 7 ; EagleR ; 206 
 1984 ; 1 рубль. Упаковка ; 1991 ; 550 лет со дня рождения А.Навои ; Cu-Ni ; Proof ; 28 ; света1973 ; 138 
 1985 ; 1 рубль. Упаковка ; 1989 ; 100 лет со дня смерти Эминеску ; Cu-Ni ; Proof ; 16 ; vino-54 ; 271 
 1986 ; 1 рубль. Упаковка ; 1987 ; 70 лет Октябрьской революции ; Cu-Ni ; Proof ; 16 ; Wulf ; 257 
 1987 ; 5 рублей. Упаковка нарушена ; 1990 ; Большой дворец в Петродворце ; Cu-Ni ; Proof ; 7 ; Андрей Рик ; 225 
 1988 ; 1 рубль ; 1980 ; Олимпиада 80.Олимпийский факел ; Cu-Ni ; XF+ ; 22 ; apach ; 201 
 1989 ; 1 рубль ; 1977 ; Олимпиада 80.Эмблема Олимпийских игр ; Cu-Ni ; XF+ ; 5 ; RVR ; 150 
 1990 ; 1 рубль ; 1978 ; Олимпиада 80.Московский Кремль ; Cu-Ni ; XF+ ; 7 ; света1973 ; 59 
 1991 ; 1 рубль. Новодел. Упаковка нарушена ; 1983 ; 20 лет полета в космос В.Терешковой ; Cu-Ni ; Proof ; 17 ; Wulf ; 627 
 1992 ; 1 рубль. Новодел. Упаковка ; 1967 ; 50 лет Советской власти ; Cu-Ni ; Proof ; 22 ; Ната ; 796 
 1993 ; 1 рубль. Новодел. Упаковка ; 1977 ; 60 лет Советской власти ; Cu-Ni ; Proof ; 17 ; 125RUS ; 708 
 1994 ; 5 рублей. Упаковка нарушена ; 1989 ; Собор Покрова на рву в Москве ; Cu-Ni ; Proof ; 20 ; Ultim ; 327 
 1995 ; 1 рубль. Новодел. Упаковка ; 1981 ; 20 лет полета в космос Ю.Гагарина ; Cu-Ni ; Proof ; 20 ; Wulf ; 718 
 1996 ; 1 рубль. Новодел. Упаковка ; 1965 ; 20 лет победы над Германией ; Cu-Ni ; Proof ; 27 ; Ната ; 950 
 1997 ; 1 рубль ; 1987 ; 175 лет Бородино (обелиск) ; Cu-Ni ; Proof ; 10 ; Зверолов ; 153 
 1998 ; 1 рубль ; 1990 ; 500 лет со дня рождения Ф.Скорины ; Cu-Ni ; Proof ; 3 ; Барон M ; 100 
 1999 ; 1 рубль ; 1990 ; 500 лет со дня рождения Ф.Скорины ; Cu-Ni ; Proof ; 3 ; Барон M ; 100 
 2000 ; 1 рубль ; 1990 ; 500 лет со дня рождения Ф.Скорины ; Cu-Ni ; Proof ; 3 ; Барон M ; 100 
 2001 ; 1 рубль ; 1987 ; 175 лет Бородино (барельеф) ; Cu-Ni ; Proof ; 7 ; SergO82 ; 175 
 2002 ; 1 рубль ; 1987 ; 175 лет Бородино (барельеф) ; Cu-Ni ; Proof ; 5 ; MVFNN ; 100 
 2003 ; 1 рубль ; 1987 ; 130 лет со дня рождения К.Э.Циолковского ; Cu-Ni ; Proof ; 7 ; Гаечка ; 214 
 2004 ; 1 рубль ; 1990 ; Маршал СССР Г.К.Жуков ; Cu-Ni ; Proof ; 15 ; Ultim ; 297 
 2005 ; 1 рубль ; 1990 ; 125 лет со дня рождения Я.Райниса ; Cu-Ni ; Proof ; 3 ; Барон M ; 100 
 2006 ; 1 рубль ; 1990 ; 125 лет со дня рождения Я.Райниса ; Cu-Ni ; Proof ; 3 ; Барон M ; 100 
 2007 ; 1 рубль ; 1990 ; 125 лет со дня рождения Я.Райниса ; Cu-Ni ; Proof ; 3 ; Барон M ; 100 
 1908 ; 1 рубль ; 1991 ; Махтумкули ; Cu-Ni ; Proof ; 7 ; Гаечка ; 125 
 1909 ; 1 рубль ; 1991 ; Махтумкули ; Cu-Ni ; Proof ; 15 ; MVFNN ; 146 
 1910 ; 1 рубль ; 1993 ; 130 лет со дня рождения В.И.Вернадского ; Cu-Ni ; Proof ; 12 ; Гаечка ; 393 
 1911 ; 1 рубль ; 1991 ; Махтумкули ; Cu-Ni ; Proof ; 10 ; shelbyroush ; 146 
 1912 ; 1 рубль ; 1993 ; 130 лет со дня рождения В.И.Вернадского ; Cu-Ni ; AU ; 24 ; Skrudge ; 481 
 1913 ; 1 рубль ; 1989 ; 175 лет со дня рождения Т.Г.Шевченко ; Cu-Ni ; Proof ; 3 ; Барон M ; 100 
 1914 ; 1 рубль ; 1993 ; 130 лет со дня рождения В.И.Вернадского ; Cu-Ni ; Proof ; 17 ; Андрей Рик ; 401 
 1915 ; 1 рубль ; 1989 ; 175 лет со дня рождения Т.Г.Шевченко ; Cu-Ni ; Proof ; 4 ; Ultim ; 102 
 1916 ; 1 рубль ; 1993 ; 110 лет со дня смерти И.С.Тургенева ; Cu-Ni ; Proof ; 34 ; Mozart ; 1348 
 1917 ; 1 рубль ; 1989 ; 175 лет со дня рождения Т.Г.Шевченко ; Cu-Ni ; Proof ; 3 ; Барон M ; 100 
 1918 ; 3 рубля. Упаковка ; 1995 ; Капитуляция Японии ; Cu-Ni ; Proof ; 59 ; 2104 ; 3570 
 1919 ; 1 рубль. Упаковка ; 1970 ; 100 лет со дня рождения В.И.Ленина ; Cu-Ni ; Proof ; 51 ; Коллекционер СНГ ; 27848 
 1920 ; 1 рубль. Новодел. Упаковка ; 1967 ; 50 лет Советской власти ; Cu-Ni ; Proof ; 24 ; Ната ; 725 
 1921 ; 3 рубля. Упаковка ; 1995 ; 50 лет освобождения Будапешта ; Cu-Ni ; Proof ; 39 ; Ната ; 1847 
 1922 ; 3 рубля. Упаковка ; 1994 ; 50 лет прорыва блокады Ленинграда ; Cu-Ni ; Proof ; 25 ; Capt2 ; 729 
 1923 ; 1 рубль ; 1991 ; Олимпиада в Барселоне.Штанга ; Cu-Ni ; Proof ; 14 ; МММ ; 1055 
 1924 ; 1 рубль ; 1991 ; Олимпиада в Барселоне.Прыжки в длину ; Cu-Ni ; Proof ; 22 ; alex62 ; 1121 
 1925 ; 1 рубль ; 1991 ; Олимпиада в Барселоне. Бег ; Cu-Ni ; Proof ; 24 ; Snork ; 1099 
 1926 ; 5 рублей ; 1991 ; Здание Госбанка СССР в Москве ; Cu-Ni ; Proof ; 4 ; Gudik ; 204 
 1927 ; 5 рублей ; 1989 ; Собор Покрова на рву в Москве ; Cu-Ni ; Proof ; 11 ; SergO82 ; 337 
 1928 ; 1 рубль ; 1990 ; 500 лет со дня рождения Ф.Скорины ; Cu-Ni ; XF+ ; 9 ; ANDREYMAG ; 72 
 1929 ; 1 рубль ; 1991 ; 850 лет со дня рождения Низами Гянджеви ; Cu-Ni ; AU ; 17 ; Инфер ; 86 
 1930 ; 5 рублей ; 1991 ; Здание Госбанка СССР в Москве ; Cu-Ni ; XF+ ; 14 ; КроликовРазвожу ; 165 
 1931 ; 5 рублей ; 1991 ; Архангельский собор в Москве ; Cu-Ni ; XF+ ; 16 ; Ultim ; 200 
 1932 ; 1 рубль ; 1970 ; 100 лет со дня рождения В.И.Ленина ; Cu-Ni ; XF ; 8 ; Buba ; 38 
 1933 ; 1 рубль ; 1965 ; 20 лет победы над Германией ; Cu-Ni ; XF ; 46 ; wwi.i ; 155 
 1934 ; 1 рубль ; 1970 ; 100 лет со дня рождения В.И.Ленина ; Cu-Ni ; XF ; 16 ; apach ; 47 
 1935 ; 3 рубля ; 1992 ; "Северный конвой" ; Cu-Ni ; Proof ; 25 ; xxzx ; 733 
 1936 ; 3 рубля ; 1995 ; 50 лет освобождения Варшавы ; Cu-Ni ; Proof ; 29 ; Shundr ; 1701 
 1937 ; 1 рубль ; 1975 ; 30 лет Победы в войне 1941-1945 ; Cu-Ni ; XF+ ; 8 ; apach ; 95 
 1938 ; 1 рубль ; 1975 ; 30 лет Победы в войне 1941-1945 ; Cu-Ni ; XF+ ; 3 ; ANDREYMAG ; 89 
 1939 ; 1 рубль ; 1983 ; 165 лет со дня рождения К.Маркса ; Cu-Ni ; Proof ; 11 ; Rogoff ; 371 
 1940 ; 1 рубль. Новодел ; 1983 ; 400 лет со дня смерти И.Федорова 1510-1583 ; Cu-Ni ; Proof ; 23 ; служба тяги ; 483 
 1941 ; 1 рубль ; 1988 ; 120 лет со дня рождения А.М.Горького ; Cu-Ni ; Proof ; 5 ; ANDREYMAG ; 113 
 1942 ; 1 рубль. Новодел ; 1986 ; Международный год мира ; Cu-Ni ; Proof ; 13 ; служба тяги ; 410 
