 4804 ; Бона иностранная. Сербская Краина ; 1993 ;  ;  ;  ; 63 ; liderssen ; 206 
 1929 ; 1 рубль. Новодел ; 1985 ; 165 лет со дня рождения Ф.Энгельса ; Cu-Ni ; Proof ; 29 ; lintra ; 204 
 1930 ; 1 рубль. Новодел ; 1985 ; 165 лет со дня рождения Ф.Энгельса ; Cu-Ni ; Proof ; 35 ; lintra ; 290 
 1931 ; 1 рубль. Новодел ; 1985 ; 40 лет Победы над Германией ; Cu-Ni ; Proof ; 31 ; lintra ; 255 
 1932 ; 1 рубль. Упаковка ; 1987 ; 175 лет Бородино (обелиск) ; Cu-Ni ; Proof ; 20 ; september ; 206 
 1933 ; 1 рубль. Упаковка ; 1991 ; 101 год со дня рождения К.В.Иванова ; Cu-Ni ; Proof ; 12 ; lintra ; 105 
 1934 ; 1 рубль. Упаковка ; 1991 ; Олимпиада в Барселоне. Бег ; Cu-Ni ; Proof ; 43 ; sedoy66 ; 830 
 1935 ; 1 рубль. Упаковка ; 1991 ; Олимпиада в Барселоне.Прыжки в длину ; Cu-Ni ; Proof ; 29 ; astronom ; 903 
 1936 ; 1 рубль. Упаковка ; 1991 ; Олимпиада в Барселоне.Борьба ; Cu-Ni ; Proof ; 35 ; astronom ; 800 
 1937 ; 1 рубль. Упаковка ; 1991 ; Олимпиада в Барселоне.Штанга ; Cu-Ni ; Proof ; 39 ; astronom ; 965 
 1938 ; 1 рубль. Упаковка ; 1991 ; Олимпиада в Барселоне.Велосипед ; Cu-Ni ; Proof ; 44 ; astronom ; 1908 
 1939 ; 1 рубль. Упаковка ; 1991 ; Олимпиада в Барселоне.Метание копья ; Cu-Ni ; Proof ; 35 ; astronom ; 1043 
 1940 ; 5 рублей. Упаковка ; 1993 ; Древний Мерв ; Cu-Ni ; Proof ; 58 ; гномы forever ; 2938 
 1941 ; 3 рубля. Упаковка ; 1993 ; 50 лет победы на Курской дуге ; Cu-Ni ; Proof ; 50 ; бортик ; 352 
 1942 ; 3 рубля. Упаковка ; 1994 ; 50 лет прорыва блокады Ленинграда ; Cu-Ni ; Proof ; 43 ; ova ; 621 
 1943 ; 3 рубля. Упаковка ; 1995 ; 50 лет освобождения Праги ; Cu-Ni ; Proof ; 31 ; KRASLAVA ; 1158 
 1944 ; 3 рубля. Упаковка ; 1995 ; 50 лет освобождения Будапешта ; Cu-Ni ; Proof ; 45 ; Brabus ; 952 
 1945 ; 3 рубля. Упаковка ; 1995 ; Капитуляция Германии ; Cu-Ni ; Proof ; 17 ; hellraiser ; 918 
 1946 ; 3 рубля. Упаковка ; 1993 ; 50 лет освобождения Киева ; Cu-Ni ; Proof ; 25 ; s-v80 ; 445 
 1947 ; 3 рубля. Упаковка ; 1995 ; 50 лет освобождения Кенигсберга. ; Cu-Ni ; Proof ; 54 ; BlackDragon88 ; 1126 
 1948 ; 3 рубля. Упаковка ; 1993 ; 50 лет победы в Сталинградской битве ; Cu-Ni ; Proof ; 31 ; бортик ; 373 
 1949 ; 3 рубля. Упаковка ; 1992 ; "19-21 августа" ; Cu-Ni ; Proof ; 53 ; бортик ; 489 
 1950 ; 3 рубля. Упаковка ; 1992 ; Международный год космоса ; Cu-Ni ; Proof ; 36 ; lintra ; 227 
 1951 ; 3 рубля. Упаковка ; 1994 ; Партизаны в ВОВ ; Cu-Ni ; Proof ; 14 ; s-v80 ; 691 
 1952 ; 3 рубля. Упаковка ; 1995 ; 50 лет освобождения Вены ; Cu-Ni ; Proof ; 60 ; 812 ; 1129 
 1953 ; 3 рубля. Упаковка ; 1995 ; Встреча на Эльбе. ; Cu-Ni ; Proof ; 24 ; Doca ; 2123 
 1854 ; 1 рубль. Упаковка ; 1992 ; 110 лет со дня рождения Я.Купалы ; Cu-Ni ; Proof ; 45 ; гномы forever ; 311 
 1855 ; 1 рубль. Упаковка ; 1992 ; 110 лет со дня рождения Я.Коласа ; Cu-Ni ; Proof ; 23 ; гномы forever ; 325 
 1856 ; 1 рубль. Упаковка ; 1992 ; 200 лет со дня рождения Н.И.Лобачевского ; Cu-Ni ; Proof ; 15 ; гномы forever ; 285 
 1857 ; 1 рубль. Упаковка ; 1993 ; 130 лет со дня рождения В.И.Вернадского ; Cu-Ni ; Proof ; 53 ; VELS ; 351 
 1858 ; 1 рубль. Упаковка ; 1993 ; 100 лет со дня рождения В.В.Маяковского ; Cu-Ni ; Proof ; 42 ; s-v80 ; 1353 
 1859 ; 1 рубль. Упаковка ; 1993 ; 100 лет со дня рождения В.В.Маяковского ; Cu-Ni ; Unc ; 36 ; Harlock ; 1211 
 1860 ; 1 рубль. Упаковка ; 1993 ; 110 лет со дня смерти И.С.Тургенева ; Cu-Ni ; Unc ; 81 ; Harlock ; 1041 
 1861 ; 1 рубль. Упаковка ; 1993 ; 110 лет со дня рождения А.П.Бородина ; Cu-Ni ; Proof ; 33 ; гномы forever ; 956 
 1862 ; 5 рублей ; 1989 ; Собор Покрова на рву в Москве ; Cu-Ni ; Proof ; 35 ; бортик ; 275 
 1863 ; 5 рублей ; 1989 ; Ансамбль Регистан в Самарканде ; Cu-Ni ; Proof ; 38 ; ререх ; 190 
 1864 ; 5 рублей ; 1989 ; Благовещенский собор в Москве ; Cu-Ni ; Proof ; 49 ; GENA  2 05 ; 201 
 1865 ; 5 рублей ; 1990 ; Успенский собор в Москве ; Cu-Ni ; Proof ; 51 ; Ivan777 ; 153 
 1866 ; 5 рублей ; 1990 ; Матенадаран.Ереван ; Cu-Ni ; Proof ; 35 ; kotovska ; 180 
 1867 ; 5 рублей ; 1990 ; Большой дворец в Петродворце ; Cu-Ni ; Proof ; 30 ; kotovska ; 195 
 1868 ; 5 рублей ; 1991 ; Архангельский собор в Москве ; Cu-Ni ; Proof ; 29 ; лаботряс ; 204 
 1869 ; 5 рублей ; 1991 ; Архангельский собор в Москве ; Cu-Ni ; Proof ; 25 ; lintra ; 177 
 1870 ; 5 рублей ; 1993 ; Сергиев Посад ; Cu-Ni ; Proof ; 12 ; ANNT4 ; 443 
 1871 ; 5 рублей ; 1993 ; Сергиев Посад ; Cu-Ni ; Proof ; 21 ; АЛЬБЕРТ ; 433 
 1872 ; 3 рубля ; 1989 ; Землятресение в Армении ; Cu-Ni ; Proof ; 54 ; lintra ; 117 
 1873 ; 3 рубля ; 1991 ; 50 лет победы под Москвой ; Cu-Ni ; Proof ; 49 ; КСН ; 157 
 1874 ; 3 рубля ; 1992 ; Международный год космоса ; Cu-Ni ; Proof ; 20 ; Dimitriy ; 224 
 1875 ; 3 рубля ; 1994 ; 50 лет освобождения Белграда ; Cu-Ni ; Proof ; 28 ; АЛЬБЕРТ ; 892 
 1876 ; 1 рубль ; 1965 ; 20 лет победы над Германией ; Cu-Ni ; Proof ; 74 ; shiraliv ; 2763 
 1877 ; 1 рубль ; 1967 ; 50 лет Советской власти ; Cu-Ni ; Proof ; 93 ; SirTem ; 3124 
 1878 ; 1 рубль ; 1967 ; 50 лет Советской власти ; Cu-Ni ; AU ; 44 ; maremark ; 65 
 1879 ; 1 рубль ; 1975 ; 30 лет Победы в войне 1941-1945 ; Cu-Ni ; AU ; 29 ; dmitry990 ; 69 
 1880 ; 1 рубль ; 1975 ; 30 лет Победы в войне 1941-1945 ; Cu-Ni ; Proof ; 74 ; АЛЬБЕРТ ; 3164 
 1881 ; 1 рубль ; 1977 ; 60 лет Советской власти ; Cu-Ni ; XF+ ; 13 ; ipax ; 82 
 1882 ; 1 рубль ; 1977 ; Олимпиада 80.Эмблема Олимпийских игр ; Cu-Ni ; AU ; 22 ; shiraliv ; 96 
 1883 ; 1 рубль ; 1978 ; Олимпиада 80.Московский Кремль ; Cu-Ni ; Unc ; 49 ; Harlock ; 204 
 1884 ; 1 рубль ; 1978 ; Олимпиада 80.Московский Кремль ; Cu-Ni ; Unc ; 20 ; Harlock ; 204 
 1885 ; 1 рубль ; 1979 ; Олимпиада 80.Здание МГУ ; Cu-Ni ; AU ; 29 ; ipax ; 63 
 1886 ; 1 рубль ; 1979 ; Олимпиада 80.Здание МГУ ; Cu-Ni ; Unc/AU ; 15 ; Dim1410 ; 65 
 1887 ; 1 рубль ; 1979 ; Олимпиада 80.Обелиск покорителям космоса ; Cu-Ni ; Unc ; 91 ; etalon ; 833 
 1888 ; 1 рубль ; 1979 ; Олимпиада 80.Обелиск покорителям космоса ; Cu-Ni ; AU ; 10 ; kotovska ; 90 
 1889 ; 1 рубль ; 1980 ; Олимпиада 80.Здание Моссовета ; Cu-Ni ; AU ; 43 ; ipax ; 74 
 1890 ; 1 рубль ; 1980 ; Олимпиада 80.Здание Моссовета ; Cu-Ni ; Unc ; 77 ; Harlock ; 407 
 1891 ; 1 рубль ; 1980 ; Олимпиада 80.Олимпийский факел ; Cu-Ni ; AU ; 25 ; АЛЬБЕРТ ; 86 
 1892 ; 1 рубль ; 1982 ; 60 лет образования СССР ; Cu-Ni ; Proof ; 68 ; and1972 ; 304 
 1893 ; 1 рубль ; 1983 ; 20 лет полета в космос В.Терешковой ; Cu-Ni ; Proof ; 59 ; lintra ; 740 
 1894 ; 1 рубль ; 1983 ; 165 лет со дня рождения К.Маркса ; Cu-Ni ; Proof ; 39 ; lintra ; 209 
 1895 ; 1 рубль ; 1983 ; 400 лет со дня смерти И.Федорова 1510-1583 ; Cu-Ni ; Proof ; 49 ; lintra ; 1105 
 1896 ; 1 рубль ; 1985 ; 115 лет со дня рождения В.И.Ленина ; Cu-Ni ; Proof ; 66 ; niko1968 ; 1180 
 1897 ; 1 рубль ; 1985 ; 165 лет со дня рождения Ф.Энгельса ; Cu-Ni ; Proof ; 44 ; SirTem ; 487 
 1898 ; 1 рубль ; 1985 ; Фестиваль молодежи и студентов в Москве ; Cu-Ni ; Proof ; 94 ; lintra ; 480 
 1899 ; 1 рубль ; 1985 ; Фестиваль молодежи и студентов в Москве ; Cu-Ni ; Proof ; 25 ; SirTem ; 691 
 1900 ; 1 рубль ; 1986 ; 275 лет со дня рождения М.В.Ломоносова ; Cu-Ni ; Proof ; 83 ; etalon ; 844 
 1901 ; 1 рубль ; 1986 ; Международный год мира ; Cu-Ni ; Proof ; 18 ; Harlock ; 510 
 1902 ; 1 рубль ; 1987 ; 130 лет со дня рождения К.Э.Циолковского ; Cu-Ni ; Proof ; 33 ; shiraliv ; 161 
 1903 ; 1 рубль ; 1989 ; 175 лет со дня рождения М.Ю.Лермонтова ; Cu-Ni ; Proof ; 59 ; lintra ; 119 
 1804 ; 5 рублей. Упаковка ; 1987 ; 70 лет Октябрьской революции ; Cu-Ni ; Proof ; 49 ; yuri.gruzdev ; 1502 
 1805 ; 5 рублей. Упаковка ; 1990 ; Большой дворец в Петродворце ; Cu-Ni ; Proof ; 25 ; бортик ; 220 
 1806 ; 5 рублей. Упаковка ; 1990 ; Успенский собор в Москве ; Cu-Ni ; Proof ; 31 ; ANNT4 ; 188 
 1807 ; 5 рублей. Упаковка ; 1992 ; Мавзолей-мечеть Ахмеда Ясави ; Cu-Ni ; Proof ; 42 ; бортик ; 540 
 1808 ; 3 рубля. Упаковка ; 1987 ; 70 лет Октябрьской революции ; Cu-Ni ; Proof ; 24 ; azef ; 357 
 1809 ; 3 рубля. Упаковка ; 1989 ; Землятресение в Армении ; Cu-Ni ; Proof ; 32 ; Дядя Саша ; 276 
 1810 ; 3 рубля. Упаковка ; 1991 ; 50 лет победы под Москвой ; Cu-Ni ; Proof ; 11 ; бортик ; 177 
 1811 ; 3 рубля. Упаковка ; 1991 ; 50 лет победы под Москвой ; Cu-Ni ; Proof ; 12 ; lintra ; 157 
 1812 ; 3 рубля. Упаковка ; 1992 ; 750 лет победы А.Невского ; Cu-Ni ; Proof ; 22 ; бортик ; 313 
 1813 ; 3 рубля. Упаковка ; 1992 ; "19-21 августа" ; Cu-Ni ; Proof ; 61 ; гномы forever ; 477 
 1814 ; 3 рубля. Упаковка ; 1992 ; "Северный конвой" ; Cu-Ni ; Proof ; 72 ; Koms ; 582 
 1815 ; 3 рубля. Упаковка ; 1993 ; 50 лет победы в Сталинградской битве ; Cu-Ni ; Proof ; 29 ; ANNT4 ; 468 
 1816 ; 3 рубля. Упаковка ; 1993 ; 50 лет победы на Курской дуге ; Cu-Ni ; Proof ; 35 ; гномы forever ; 414 
 1817 ; 3 рубля. Упаковка ; 1993 ; 50 лет победы на Курской дуге ; Cu-Ni ; Unc ; 29 ; Harlock ; 523 
 1818 ; 3 рубля. Упаковка ; 1993 ; 50 лет освобождения Киева ; Cu-Ni ; Proof ; 38 ; гномы forever ; 564 
 1819 ; 3 рубля. Упаковка ; 1994 ; 50 лет прорыва блокады Ленинграда ; Cu-Ni ; Proof ; 63 ; lintra ; 600 
 1820 ; 3 рубля. Упаковка ; 1994 ; 50 лет освобождения Белграда ; Cu-Ni ; Proof ; 44 ; Play ; 1809 
 1821 ; 3 рубля. Упаковка ; 1994 ; 50 лет открытия Второго фронта ; Cu-Ni ; Proof ; 34 ; 812 ; 3865 
 1822 ; 3 рубля. Упаковка ; 1995 ; Встреча на Эльбе. ; Cu-Ni ; Proof ; 28 ; utroja ; 2607 
 1823 ; 1 рубль. Упаковка ; 1977 ; 60 лет Советской власти ; Cu-Ni ; Proof ; 49 ; avig67 ; 5189 
 1824 ; 1 рубль. Упаковка ; 1982 ; 60 лет образования СССР ; Cu-Ni ; Proof ; 5 ; рублффский ; 600 
 1825 ; 1 рубль. Упаковка ; 1983 ; 165 лет со дня рождения К.Маркса ; Cu-Ni ; Proof ; 16 ; and1972 ; 612 
 1826 ; 1 рубль. Упаковка ; 1987 ; 70 лет Октябрьской революции ; Cu-Ni ; Proof ; 37 ; ova ; 329 
 1827 ; 1 рубль. Упаковка ; 1987 ; 175 лет Бородино (барельеф) ; Cu-Ni ; Proof ; 12 ; ckorp ; 207 
 1828 ; 1 рубль. Упаковка ; 1987 ; 175 лет Бородино (обелиск) ; Cu-Ni ; Proof ; 21 ; elefant1965 ; 225 
 1829 ; 1 рубль. Упаковка ; 1987 ; 130 лет со дня рождения К.Э.Циолковского ; Cu-Ni ; Proof ; 26 ; Silibim ; 263 
 1830 ; 1 рубль. Упаковка ; 1988 ; 120 лет со дня рождения А.М.Горького ; Cu-Ni ; Proof ; 41 ; ova ; 183 
 1831 ; 1 рубль. Упаковка ; 1988 ; 160 лет со дня рождения А.Н.Толстого ; Cu-Ni ; Proof ; 26 ; kotovska ; 179 
 1832 ; 1 рубль. Упаковка ; 1989 ; 175 лет со дня рождения М.Ю.Лермонтова ; Cu-Ni ; Proof ; 40 ; and1972 ; 223 
 1833 ; 1 рубль. Упаковка ; 1989 ; 100 лет со дня смерти Эминеску ; Cu-Ni ; Proof ; 13 ; astronom ; 261 
 1834 ; 1 рубль. Упаковка ; 1989 ; 100 лет со дня рождения Ниязи ; Cu-Ni ; Proof ; 25 ; astronom ; 153 
 1835 ; 1 рубль. Упаковка ; 1989 ; 150 лет со дня рождения М.П.Мусоргского ; Cu-Ni ; Proof ; 32 ; Silibim ; 150 
 1836 ; 1 рубль. Упаковка ; 1989 ; 175 лет со дня рождения Т.Г.Шевченко ; Cu-Ni ; Proof ; 8 ; гномы forever ; 108 
 1837 ; 1 рубль. Упаковка ; 1990 ; Маршал СССР Г.К.Жуков ; Cu-Ni ; Proof ; 38 ; гномы forever ; 365 
 1838 ; 1 рубль. Упаковка ; 1990 ; 150 лет со дня рождения П.И.Чайковского ; Cu-Ni ; Proof ; 33 ; Silibim ; 190 
 1839 ; 1 рубль. Упаковка ; 1990 ; 500 лет со дня рождения Ф.Скорины ; Cu-Ni ; Proof ; 6 ; ova ; 126 
 1840 ; 1 рубль. Упаковка ; 1990 ; 130 лет со дня рождения А.П.Чехова ; Cu-Ni ; Proof ; 12 ; grek12121212 ; 116 
 1841 ; 1 рубль. Упаковка ; 1991 ; 550 лет со дня рождения А.Навои ; Cu-Ni ; Proof ; 44 ; astronom ; 230 
 1842 ; 1 рубль. Упаковка ; 1991 ; 101 год со дня рождения К.В.Иванова ; Cu-Ni ; Proof ; 37 ; ova ; 255 
 1843 ; 1 рубль. Упаковка ; 1991 ; 125 лет со дня рождения П.Н.Лебедева ; Cu-Ni ; Proof ; 22 ; astronom ; 126 
 1844 ; 1 рубль. Упаковка ; 1991 ; 100 лет со дня рождения С.Прокофьева ; Cu-Ni ; Proof ; 13 ; ckorp ; 129 
 1845 ; 1 рубль. Упаковка ; 1991 ; 850 лет со дня рождения Низами Гянджеви ; Cu-Ni ; Proof ; 17 ; GROMOVNIK ; 165 
 1846 ; 1 рубль. Упаковка ; 1991 ; Олимпиада в Барселоне. Бег ; Cu-Ni ; Proof ; 36 ; astronom ; 1036 
 1847 ; 1 рубль. Упаковка ; 1991 ; Олимпиада в Барселоне.Прыжки в длину ; Cu-Ni ; Proof ; 47 ; Lenchik_2M ; 1158 
 1848 ; 1 рубль. Упаковка ; 1991 ; Олимпиада в Барселоне.Борьба ; Cu-Ni ; Proof ; 34 ; гномы forever ; 1036 
 1849 ; 1 рубль. Упаковка ; 1991 ; Олимпиада в Барселоне.Штанга ; Cu-Ni ; Proof ; 47 ; Doca ; 1019 
 1850 ; 1 рубль. Упаковка ; 1991 ; Олимпиада в Барселоне.Велосипед ; Cu-Ni ; Proof ; 32 ; рублффский ; 1545 
 1851 ; 1 рубль. Упаковка ; 1991 ; Олимпиада в Барселоне.Метание копья ; Cu-Ni ; Proof ; 40 ; рублффский ; 987 
 1852 ; 1 рубль. Упаковка ; 1992 ; "Суверенитет, демократия, возрождение" ; Cu-Ni ; Proof ; 27 ; гномы forever ; 492 
 1853 ; 1 рубль. Упаковка ; 1992 ; 190 лет со дня рождения П.С.Нахимова ; Cu-Ni ; Proof ; 22 ; рублффский ; 473 
 1754 ; Разменный знак 10. Остров Шпицберген. Арктикуголь. С надписью "разменный знак". Подъём подлодки "Курск". Упаковка ; 2001 ;  ; Cu-Ni ; Proof ; 91 ; колхоз1 ; 2464 
 1755 ; Разменный знак 10. Шпицберген. Норд-Ост ; 2002СПМД ;  ; Cu-Ni ; Proof ; 106 ; рублффский ; 618 
 1756 ; Разменный знак 10. Шпицберген. Сход ледника-трагедия в Кармадонском ущелье ; 2002СПМД ;  ; Cu-Ni ; Proof ; 14 ; Koms ; 629 
 1757 ; Разменный знак 10. Остров Шпицберген. Арктикуголь. С надписью "разменный знак". Наводнение-Юг России ; 2002СПМД ;  ; Cu-Ni ; Proof ; 82 ; гномы forever ; 653 
 1758 ; Разменный знак 10. Остров Шпицберген. Арктикуголь. С надписью "разменный знак".  Наводнение-Центр Европы ; 2002СПМД ;  ; Cu-Ni ; Proof ; 106 ; krut0803 ; 727 
 1759 ; Разменный знак 10. Остров Шпицберген. Арктикуголь. С надписью "разменный знак". Цунами-Юго-Восточная Азия ; 2004СПМД ;  ; Cu-Ni ; Proof ; 45 ; гномы forever ; 903 
 1760 ; Разменный знак 10. Шпицберген. Кончина Папы Иоанна Павла II ; 2005СПМД ;  ; Cu-Ni ; Proof ; 155 ; krut0803 ; 2263 
 1761 ; Разменный знак 10. Шпицберген. Цунами-Юго-Восточная Азия ; 2005СПМД ;  ; Cu-Ni ; Proof ; 29 ; рублффский ; 999 
 1762 ; Жетон Министерство торговли СССР 12. Цифры прямоугольной формы, оборотная сторона ребристая ;  ;  ; Ж/м ; XF+ ; 36 ; ova ; 102 
 1763 ; 100 рублей ; 1993 ; о.Шпицберген ;  ; AU ; 68 ; kostas ; 444 
 1764 ; 10 рублей ; 1993 ; о.Шпицберген ;  ; AU ; 54 ; kostas ; 535 
 1765 ; 1 рубль ; 1991 ; 550 лет со дня рождения А.Навои.Дата 1990 вместо 1991 ; Cu-Ni ; XF ; 28 ; Sky2 ; 2868 
 1766 ; 1 рубль. Ошибка на циферблате. Вместо IV часов - VI ; 1978 ; Олимпиада 80.Московский Кремль ; Cu-Ni ; XF+ ; 62 ; Alks75 ; 117 
 1767 ; 50 копеек ; 1975 ;  ; Cu-Ni ; VF ; 20 ; kostas ; 1334 
 1768 ; 20 копеек ; 1950 ;  ; Ni ; XF- ; 37 ; гномы forever ; 680 
 1769 ; 20 копеек. Упаковка ; 1965 ;  ; Cu-Ni ; Unc ; 48 ; kostas ; 2069 
 1770 ; 20 копеек ; 1966 ;  ; Cu-Ni ; F ; 54 ; kostas ; 1499 
 1771 ; 20 копеек ; 1974 ;  ; Cu-Ni ; XF ; 45 ; lubopitnaja ; 1192 
 1772 ; 15 копеек ; 1934 ;  ; Ni ; VF- ; 109 ; Олег33 ; 334 
 1773 ; 15 копеек ; 1944 ;  ; Ni ; F-VF ; 63 ; AnatolS ; 317 
 1774 ; 15 копеек ; 1949 ;  ; Ni ; F ; 51 ; za-via ; 104 
 1775 ; 15 копеек. Упаковка ; 1965 ;  ; Cu-Ni ; Unc ; 49 ; kostas ; 2856 
 1776 ; 15 копеек ; 1968 ;  ; Cu-Ni ; XF+ ; 41 ; dimon46 ; 416 
 1777 ; 10 копеек ; 1934 ;  ; Ni ; VF-XF ; 52 ; гномы forever ; 605 
 1778 ; 10 копеек ; 1937 ;  ; Ni ; VF- ; 78 ; гномы forever ; 590 
 1779 ; 10 копеек ; 1941 ;  ; Ni ; VF+ ; 53 ; Олег33 ; 419 
 1780 ; 10 копеек. Упаковка ; 1965 ;  ; Cu-Ni ; Unc ; 52 ; kostas ; 2065 
 1781 ; 10 копеек ; 1938 ;  ; Ni ; F ; 30 ; Ратамахатта ; 32 
 1782 ; 5 копеек ; 1926 ;  ; Br ; VF- ; 35 ; Олег33 ; 182 
 1783 ; 5 копеек. Деформация ; 1929 ;  ; Br ; F+ ; 4 ; vivehcili ; 95 
 1784 ; 5 копеек ; 1935 ;  ; Br ; VF ; 42 ; krft ; 568 
 1785 ; 5 копеек ; 1936 ;  ; Br ; F ; 36 ; WOLK ; 209 
 1786 ; 5 копеек ; 1937 ;  ; Br ; F-VF ; 22 ; Олег33 ; 579 
 1787 ; 5 копеек ; 1938 ;  ; Br ; VF-XF ; 33 ; shknikolay ; 340 
 1788 ; 5 копеек ; 1939 ;  ; Br ; XF- ; 53 ; Олег33 ; 573 
 1789 ; 5 копеек ; 1941 ;  ; Br ; XF ; 54 ; svv ; 900 
 1790 ; 5 копеек ; 1945 ;  ; Br ; F-VF ; 91 ; AnatolS ; 750 
 1791 ; 5 копеек. Упаковка ; 1965 ;  ; Cu-Zn ; Unc ; 64 ; kostas ; 2907 
 1792 ; 5 копеек ; 1966 ;  ; Cu-Zn ; AU ; 182 ; kostas ; 2601 
 1793 ; 5 копеек ; 1968 ;  ; Cu-Zn ; VF-XF ; 53 ; ejik ; 505 
 1794 ; 5 копеек ; 1972 ;  ; Cu-Zn ; VF+ ; 28 ; E.C. ; 1548 
 1795 ; 2 копейки ; 1933 ;  ; Br ; F ; 10 ; Олег33 ; 220 
 1796 ; 1 копейка ; 1930 ;  ; Br ; VF ; 40 ; Олег33 ; 365 
 1797 ; 10 рублей. Брак монетного двора. Аверс/реверс 30 градусов ; 1993 ; ЛМД белый металл (магнитный) ; Fe in Br ; VF-XF ; 2 ; vic2 ; 50 
 1798 ; 50 рублей. Брак монетного двора 2 часа ; 1992 ; ММД Биметалл ; Cu-Zn/Cu-Ni ; XF ; 23 ; Буарон1925 ; 317 
 1799 ; 100 рублей ; 1992 ; ММД Биметалл ; Cu-Ni/Cu-Zn ; VF+ ; 65 ; kostas ; 561 
 1800 ; 10 рублей. Брак монетного двора. Аверс/реверс 120 градусов ; 2012ММД ;  ; Лат/St ; XF+ ; 89 ; s-v80 ; 1030 
 1801 ; 10 рублей. Брак монетного двора ; 2012 ;  ; Лат/St ; XF+ ; 27 ; september ; 213 
 1802 ; 10 рублей ; 2010 ; Пермский край ; биметалл ; AU ; 151 ; olga555 ; 1529 
 1803 ; 1 рубль. В конверте ; 1965 ; 20 лет победы над Германией ; Cu-Ni ; Unc ; 35 ; Harlock ; 1020 
 1704 ; 15 копеек ; 1928 ;  ; Ag ; XF ; 16 ; sa89dod ; 74 
 1705 ; 15 копеек ; 1928 ;  ; Ag ; XF- ; 20 ; vel2010 ; 82 
 1706 ; 15 копеек ; 1928 ;  ; Ag ; VF+ ; 10 ; dimon46 ; 67 
 1707 ; 15 копеек ; 1928 ;  ; Ag ; VF+ ; 7 ; jimmysu ; 66 
 1708 ; 15 копеек ; 1928 ;  ; Ag ; VF- ; 13 ; сортам70 ; 65 
 1709 ; 15 копеек ; 1929 ;  ; Ag ; XF+ ; 52 ; лесной ; 469 
 1710 ; 15 копеек ; 1929 ;  ; Ag ; XF ; 12 ; жулик ; 159 
 1711 ; 15 копеек ; 1930 ;  ; Ag ; XF+ ; 31 ; жулик ; 204 
 1712 ; 15 копеек ; 1930 ;  ; Ag ; XF ; 6 ; Ратамахатта ; 100 
 1713 ; 15 копеек ; 1930 ;  ; Ag ; XF ; 15 ; Greenfields ; 97 
 1714 ; 15 копеек ; 1930 ;  ; Ag ; VF+ ; 36 ; mercatel ; 69 
 1715 ; 10 копеек ; 1921 ;  ; Ag ; VF- ; 50 ; 13 ; 931 
 1716 ; 10 копеек ; 1922 ;  ; Ag ; VF-XF ; 44 ; suba ; 197 
 1717 ; 10 копеек ; 1922 ;  ; Ag ; VF ; 12 ; Олег33 ; 94 
 1718 ; 10 копеек ; 1922 ;  ; Ag ; VF- ; 14 ; Олег33 ; 92 
 1719 ; 10 копеек ; 1923 ;  ; Ag ; VF+ ; 18 ; vel2010 ; 100 
 1720 ; 10 копеек ; 1924 ;  ; Ag ; VF+ ; 64 ; Rober ; 100 
 1721 ; 10 копеек ; 1924 ;  ; Ag ; VF+ ; 35 ; mercatel ; 126 
 1722 ; 10 копеек ; 1925 ;  ; Ag ; XF- ; 27 ; sa89dod ; 69 
 1723 ; 10 копеек ; 1925 ;  ; Ag ; VF-XF ; 15 ; jimmysu ; 67 
 1724 ; 10 копеек ; 1925 ;  ; Ag ; VF ; 12 ; kost ; 53 
 1725 ; 10 копеек ; 1927 ;  ; Ag ; XF ; 13 ; vel2010 ; 114 
 1726 ; 10 копеек ; 1927 ;  ; Ag ; XF ; 13 ; mercatel ; 113 
 1727 ; 10 копеек ; 1927 ;  ; Ag ; VF-XF ; 12 ; jimmysu ; 63 
 1728 ; 10 копеек ; 1927 ;  ; Ag ; VF+ ; 53 ; kost ; 67 
 1729 ; 10 копеек ; 1928 ;  ; Ag ; AU ; 20 ; гномы forever ; 265 
 1730 ; 10 копеек ; 1928 ;  ; Ag ; XF ; 9 ; Greenfields ; 105 
 1731 ; 10 копеек ; 1928 ;  ; Ag ; VF ; 10 ; jimmysu ; 61 
 1732 ; 10 копеек ; 1928 ;  ; Ag ; VF ; 8 ; grot ; 233 
 1733 ; 10 копеек ; 1929 ;  ; Ag ; XF+ ; 17 ; svv ; 126 
 1734 ; 10 копеек ; 1929 ;  ; Ag ; XF ; 34 ; Greenfields ; 108 
 1735 ; 10 копеек ; 1930 ;  ; Ag ; AUXF ; 58 ; spb82 ; 260 
 1736 ; 10 копеек ; 1930 ;  ; Ag ; VF- ; 12 ; vivehcili ; 51 
 1737 ; 10 копеек ; 1930 ;  ; Ag ; VF- ; 11 ; dimon46 ; 65 
 1738 ; 5 копеек ; 1924 ; Гурт гладкий ; Cu ; VF ; 59 ; Юфан ; 272 
 1739 ; 5 копеек ; 1924 ; Гурт гладкий ; Cu ; F-VF ; 31 ; krft ; 110 
 1740 ; 3 копейки ; 1924 ; Гурт гладкий ; Cu ; VF+ ; 57 ; shknikolay ; 278 
 1741 ; 3 копейки ; 1924 ; Гурт гладкий ; Cu ; F-VF ; 56 ; vivehcili ; 61 
 1742 ; 2 копейки ; 1924 ; Гурт рубчатый ; Cu ; VF+ ; 32 ; uz ; 157 
 1743 ; 2 копейки ; 1924 ; Гурт рубчатый ; Cu ; VF ; 32 ; порт ; 153 
