 5839 ; Бона иностранная Сомали ;  ;  ;  ; AU ; 12 ; gdrg2 ; 58 
 1874 ; 50 копеек ; 1946 ; о.Шпицберген ; б.м. ; F-VF ; 59 ; VAPK ; 4882 
 1875 ; 10 копеек. Вертикальные складки плаща ; 2001 ;  ; Cu/St ; VF+ ; 95 ; nivva ; 2770 
 1876 ; 5 копеек ; 2003б/б ;  ; Ni/St ; VF ; 30 ; Инвестор ; 1600 
 1877 ; 5 копеек ; 2003б/б ;  ; Ni/St ; VF-XF ; 32 ; ooooo1961 ; 1632 
 1878 ; 5 копеек. Гальваника ; 2008 ;  ; Ni/St ; XF+ ; 12 ; Zarik ; 26 
 1879 ; 5 копеек. Гальваника ; 2008 ;  ; Ni/St ; XF+ ; 7 ; lva08 ; 28 
 1880 ; 1 рубль. Широкий кант ; 1998 ;  ; Cu-Ni ; VF ; 56 ; nivva ; 4080 
 1881 ; 5 копеек ; 2003б/б ;  ; Ni/St ; VF+ ; 34 ; нионила ; 1632 
 1882 ; 5 копеек ; 2003 ; б/б ; St in Ni ; VF-XF ; 27 ; daymand ; 1607 
 1883 ; 5 копеек ; 2003 ; б/б ; St in Ni ; VF+ ; 34 ; daymand ; 1607 
 1884 ; 100 рублей ; 1992 ; ММД Биметалл ; Cu-Ni/Cu-Zn ; XF ; 45 ; Boroddd ; 900 
 1885 ; 100 рублей ; 1992 ; ММД Биметалл ; Cu-Ni/Cu-Zn ; XF ; 83 ; mart_si ; 739 
 1886 ; 50 рублей ; 1992 ; ММД Биметалл ; Cu-Zn/Cu-Ni ; XF ; 32 ; anshel ; 816 
 1887 ; 100 рублей ; 1992 ; ММД Биметалл ; Cu-Ni/Cu-Zn ; VF ; 31 ; Инструктор ; 754 
 1888 ; 100 рублей ; 1992 ; ММД Биметалл ; Cu-Ni/Cu-Zn ; AU ; 24 ; sts ; 716 
 1889 ; 1 рубль ; 1967 ;  ; Cu-Ni ; AU ; 43 ; Alekss_27 ; 1466 
 1890 ; 50 копеек ; 1967 ;  ; Cu-Ni ; XF+ ; 48 ; моятачка909 ; 2552 
 1891 ; 20 копеек ; 1967 ;  ; Cu-Ni ; XF+ ; 40 ; xxxl ; 1515 
 1892 ; 15 копеек ; 1967 ;  ; Cu-Ni ; AU ; 77 ; Technics ; 1530 
 1893 ; 10 копеек ; 1967 ;  ; Cu-Ni ; AU ; 43 ; моятачка909 ; 2078 
 1894 ; 5 копеек ; 1967 ;  ; Cu-Zn ; XF ; 55 ; xxxl ; 1249 
 1895 ; 3 копейки ; 1967 ;  ; Cu-Zn ; AU ; 20 ; иржик86 ; 139 
 1896 ; 2 копейки ; 1967 ;  ; Cu-Zn ; AU ; 15 ; Leopold36 ; 114 
 1897 ; 1 копейка ; 1967 ;  ; Cu-Zn ; AU ; 17 ; ZorroT ; 114 
 1898 ; 50 копеек ; 1975 ;  ; Cu-Ni ; VF-XF ; 63 ; trio ; 3164 
 1899 ; 20 копеек ; 1965 ;  ; Cu-Ni ; AU ; 40 ; Vol4en0k ; 4172 
 1900 ; 20 копеек ; 1966 ;  ; Cu-Ni ; VF- ; 75 ; 01020304 ; 4600 
 1901 ; 15 копеек ; 1967 ;  ; Cu-Ni ; AU ; 47 ; rolan1 ; 2000 
 1902 ; 10 копеек ; 1934 ;  ; Ni ; VG ; 13 ; t_v_v ; 313 
 1903 ; 5 копеек ; 1935 ;  ; Br ; VG ; 58 ; сега ; 469 
 1904 ; 5 копеек ; 1967 ;  ; Cu-Zn ; AU ; 54 ; ZorroT ; 1842 
 1905 ; 5 копеек ; 1971 ;  ; Cu-Zn ; VF ; 76 ; моятачка909 ; 3584 
 1906 ; 5 копеек ; 1972 ;  ; Cu-Zn ; XF ; 60 ; Wulf ; 3958 
 1907 ; 5 копеек ; 1973 ;  ; Cu-Zn ; VF-XF ; 25 ; KonstantinK ; 710 
 1908 ; 5 копеек ; 1973 ;  ; Cu-Zn ; XF ; 41 ; KonstantinK ; 510 
 1909 ; 3 копейки ; 1927 ;  ; Br ; F ; 50 ; hanim ; 1530 
 1910 ; 3 копейки. ; 1930 ; В СССР С вытянуты, шт. 20 коп. ; Br ; F- ; 23 ; В1951 ; 538 
 1911 ; 100 рублей ; 1992 ; ММД Биметалл ; Cu-Ni/Cu-Zn ; XF ; 33 ; maks1 ; 839 
 1912 ; 50 рублей ; 1992 ; ММД Биметалл ; Cu-Zn/Cu-Ni ; XF ; 19 ; karrus ; 750 
 1913 ; 5 рублей ; 1990 ; Большой дворец в Петродворце ; Cu-Ni ; Proof ; 16 ; se170661 ; 269 
 1914 ; 5 рублей ; 1989 ; Ансамбль Регистан в Самарканде ; Cu-Ni ; Proof ; 23 ; se170661 ; 255 
 1915 ; 5 рублей ; 1991 ; Памятник Давиду Сасунскому в Ереване ; Cu-Ni ; Proof ; 47 ; gdrg2 ; 310 
 1916 ; 5 рублей ; 1991 ; Здание Госбанка СССР в Москве ; Cu-Ni ; Proof ; 27 ; star54 ; 219 
 1917 ; 3 рубля ; 1994 ; 50 лет прорыва блокады Ленинграда ; Cu-Ni ; Proof ; 28 ; horza ; 1033 
 1918 ; 1 рубль ; 1967 ; 50 лет Советской власти ; Cu-Ni ; XF ; 6 ; grisha2401 ; 100 
 1919 ; 5 рублей ; 1987 ; 70 лет Октябрьской революции ; Cu-Ni ; Proof ; 60 ; xxxl ; 2593 
 1920 ; 2 рубля ; 1995 ; ЛМД Нюрнбергский процесс ; Ag ; Proof ; 18 ; aamazitov ; 1353 
 1921 ; 5 рублей ; 1988 ; Памятник Петру I в Ленинграде ; Cu-Ni ; Proof ; 34 ; star54 ; 365 
 1922 ; 1 рубль ; 1970 ; 100 лет со дня рождения В.И.Ленина ; Cu-Ni ; XF ; 9 ; лосики ; 70 
 1823 ; 10 рублей. Северная Осетия-Алания. Редкий гурт ; 2013 ;  ; Би/м ; AU ; 10 ; Ten Nochi ; 205 
 1824 ; 10 рублей. Северная Осетия-Алания. Редкий гурт ; 2013 ;  ; Би/м ; AU ; 6 ; Ten Nochi ; 205 
 1825 ; 10 рублей. Северная Осетия-Алания. Редкий гурт ; 2013 ;  ; Би/м ; AU ; 8 ; Ten Nochi ; 205 
 1826 ; 10 рублей. Северная Осетия-Алания. Редкий гурт ; 2013 ;  ; Би/м ; AU ; 9 ; Ten Nochi ; 205 
 1827 ; 10 рублей. Северная Осетия-Алания. Редкий гурт ; 2013 ;  ; Би/м ; AU ; 7 ; Ten Nochi ; 205 
 1828 ; 10 рублей. Северная Осетия-Алания. Редкий гурт ; 2013 ;  ; Би/м ; AU ; 7 ; solder13 ; 210 
 1829 ; 10 рублей. Северная Осетия-Алания. Редкий гурт ; 2013 ;  ; Би/м ; AU ; 7 ; spartak9583 ; 207 
 1830 ; 10 рублей. Северная Осетия-Алания. Редкий гурт ; 2013 ;  ; Би/м ; AU ; 7 ; Ten Nochi ; 205 
 1831 ; 10 рублей. Северная Осетия-Алания. Редкий гурт ; 2013 ;  ; Би/м ; AU ; 10 ; kai77 ; 210 
 1832 ; 10 рублей. Северная Осетия-Алания. Редкий гурт ; 2013 ;  ; Би/м ; AU ; 10 ; kai77 ; 210 
 1833 ; 10 рублей. Северная Осетия-Алания. Редкий гурт ; 2013 ;  ; Би/м ; AU ; 7 ; Ten Nochi ; 205 
 1834 ; 10 рублей. Северная Осетия-Алания. Редкий гурт ; 2013 ;  ; Би/м ; AU ; 8 ; Ermak ; 210 
 1835 ; 10 рублей. Северная Осетия-Алания. Редкий гурт ; 2013 ;  ; Би/м ; AU ; 10 ; kai77 ; 210 
 1836 ; 10 рублей. Северная Осетия-Алания. Редкий гурт ; 2013 ;  ; Би/м ; AU ; 7 ; Ten Nochi ; 205 
 1837 ; 10 рублей. Северная Осетия-Алания. Редкий гурт ; 2013 ;  ; Би/м ; AU ; 8 ; Ten Nochi ; 205 
 1838 ; 10 рублей. Северная Осетия-Алания. Редкий гурт ; 2013 ;  ; Би/м ; AU ; 9 ; Ten Nochi ; 205 
 1839 ; 10 рублей. Северная Осетия-Алания. Редкий гурт ; 2013 ;  ; Би/м ; AU ; 11 ; kai77 ; 210 
 1840 ; 10 рублей. Северная Осетия-Алания. Редкий гурт ; 2013 ;  ; Би/м ; AU ; 13 ; kai77 ; 220 
 1841 ; 10 рублей. Северная Осетия-Алания. Редкий гурт ; 2013 ;  ; Би/м ; AU ; 35 ; se170661 ; 219 
 1842 ; 10 рублей. Северная Осетия-Алания. Редкий гурт ; 2013 ;  ; Би/м ; AU ; 36 ; se170661 ; 220 
 1843 ; 10 рублей. Северная Осетия-Алания. Редкий гурт ; 2013 ;  ; Би/м ; AU ; 31 ; se170661 ; 219 
 1844 ; 10 рублей. Северная Осетия-Алания. Редкий гурт ; 2013 ;  ; Би/м ; AU ; 33 ; se170661 ; 224 
 1845 ; 10 рублей. Северная Осетия-Алания. Редкий гурт ; 2013 ;  ; Би/м ; AU ; 8 ; krugerrand ; 210 
 1846 ; 10 рублей. Северная Осетия-Алания. Редкий гурт ; 2013 ;  ; Би/м ; AU ; 9 ; Ten Nochi ; 205 
 1847 ; 10 рублей. Северная Осетия-Алания. Редкий гурт ; 2013 ;  ; Би/м ; AU ; 10 ; krugerrand ; 210 
 1848 ; 10 рублей. Северная Осетия-Алания. Редкий гурт ; 2013 ;  ; Би/м ; AU ; 9 ; Ten Nochi ; 205 
 1849 ; 10 рублей. Северная Осетия-Алания. Редкий гурт ; 2013 ;  ; Би/м ; AU ; 10 ; POUL ; 210 
 1850 ; 10 рублей. Северная Осетия-Алания. Редкий гурт ; 2013 ;  ; Би/м ; AU ; 11 ; Wally ; 220 
 1851 ; 10 рублей. Северная Осетия-Алания. Редкий гурт ; 2013 ;  ; Би/м ; AU ; 10 ; Kostet2008 ; 215 
 1852 ; 10 рублей. Северная Осетия-Алания. Редкий гурт ; 2013 ;  ; Би/м ; AU ; 25 ; Rober ; 220 
 1853 ; 10 рублей. Северная Осетия-Алания. Редкий гурт ; 2013 ;  ; Би/м ; AU ; 10 ; krugerrand ; 220 
 1854 ; 10 рублей. Редкий гурт ; 2013 ; Республика Северная Осетия-Алания ; биметалл ; AU ; 31 ; nivva ; 223 
 1855 ; 10 рублей. Редкий гурт ; 2013 ; Республика Северная Осетия-Алания ; биметалл ; AU ; 42 ; кент ; 219 
 1856 ; 10 рублей. Редкий гурт ; 2013 ; Республика Северная Осетия-Алания ; биметалл ; AU ; 35 ; кент ; 216 
 1857 ; 10 рублей. Редкий гурт ; 2013 ; Республика Северная Осетия-Алания ; биметалл ; AU ; 38 ; XF ; 227 
 1858 ; 10 рублей. Редкий гурт ; 2013 ; Республика Северная Осетия-Алания ; биметалл ; AU ; 27 ; кент ; 222 
 1859 ; 10 рублей. Северная Осетия-Алания. Редкий гурт ; 2013 ;  ; Би/м ; AU ; 11 ; Kostet2008 ; 214 
 1860 ; 10 рублей. Северная Осетия-Алания. Редкий гурт ; 2013 ;  ; Би/м ; AU ; 13 ; POUL ; 215 
 1861 ; 10 рублей. Северная Осетия-Алания. Редкий гурт ; 2013 ;  ; Би/м ; AU ; 12 ; кент ; 217 
 1862 ; 10 рублей. Редкий гурт ; 2013 ; Республика Северная Осетия-Алания ; биметалл ; AU ; 35 ; XF ; 204 
 1863 ; 10 рублей. Редкий гурт ; 2013 ; Республика Северная Осетия-Алания ; биметалл ; AU ; 22 ; nivva ; 213 
 1864 ; 10 рублей. Редкий гурт ; 2013 ; Республика Северная Осетия-Алания ; биметалл ; AU ; 26 ; nivva ; 213 
 1865 ; 10 рублей. Редкий гурт ; 2013 ; Республика Северная Осетия-Алания ; биметалл ; AU ; 24 ; nivva ; 213 
 1866 ; 10 рублей. Редкий гурт ; 2013 ; Республика Северная Осетия-Алания ; биметалл ; AU ; 45 ; spartak9583 ; 208 
 1867 ; 10 рублей. Северная Осетия-Алания. Редкийгурт ; 2013 ;  ; Би/м ; AU ; 27 ; krugerrand ; 230 
 1868 ; 50 рублей. Красная Книга. Гималайский медведь ; 1993 ;  ; би/м ; AU ; 15 ; KonstantinK ; 1145 
 1869 ; 50 рублей. Красная книга. Туркменский эублефар ; 1993 ;  ; Би/м ; XF+ ; 50 ; Varoh ; 807 
 1870 ; 50 рублей. Красная Книга. Черноморская афалина ; 1993 ;  ; би/м ; AU ; 16 ; Varoh ; 1020 
 1871 ; 5 рублей. Красная книга. Винторогий козел ; 1991 ;  ; Би/м ; AU ; 17 ; KonstantinK ; 1000 
 1872 ; 5 рублей. Красная книга. Рыбный филин ; 1991 ;  ; Би/м ; XF+ ; 13 ; KonstantinK ; 1000 
 1773 ; Жетон. 500 рублей. Российско-Американская компания. Российское посольство в Нагасаки. Япония ; 2014 ;  ; Cu-Ni ; Proof ; 5 ; Victory-2001 ; 1010 
 1774 ; Жетон. 5 пядей. Атаман Ермак Тимофеевич. С гербом Ивана Грозного ; 2013ММД ;  ; Cu-Ni ; Proof ; 11 ; daymand ; 893 
 1775 ; Жетон. 5 пядей. Атаман Ермак Тимофеевич. С гербом РФ ; 2013ММД ;  ; Cu-Ni ; Proof ; 33 ; 5Rim ; 893 
 1776 ; 1 марка. Западный анклав России. Калинград. Крейсер "Варяг" ; 2004СПМД ;  ; Ж/м ; Proof ; 70 ; bonipari ; 1632 
 1777 ; Жетон. 5 пядей. Атаман Ермак Тимофеевич ; 2013ММД ;  ; Cu-Ni ; Proof ; 25 ; 5Rim ; 819 
 1778 ; Разменный знак 10. Остров Шпицберген. Арктикуголь. Цунами-Юго-Восточная Азия ; 2005СПМД ;  ; Cu-Ni ; Proof ; 21 ; Всадник ; 1734 
 1779 ; Жетон. 5 пядей. Гермоген Албазинский ; 2013ММД ;  ; Cu-Ni ; Proof ; 22 ; kuznetsow1 ; 819 
 1780 ; Жетон. 5 пядей. Ерофей Павлович Хабаров ; 2013ММД ;  ; Cu-Ni ; Proof ; 33 ; 5Rim ; 819 
 1781 ; Разменный знак 10. Шпицберген. Сход ледника - трагедия в Кармадонском ущелье ; 2002 ;  ; Cu-Ni ; Proof ; 14 ; vadim.l ; 1507 
 1782 ; Разменный знак 10. Шпицберген. Против терроризма ; 2002 ;  ; Cu-Ni ; Proof ; 20 ; vadim.l ; 1388 
 1783 ; 10 рублей ; 2010 ; Ямало-Ненецкий АО ; биметалл ; AU ; 22 ; ksun ; 18000 
 1784 ; 10 рублей. Чеченская республика ; 2010 ;  ; Би/м ; AU ; 17 ; Rustiano ; 9021 
 1785 ; 10 рублей. Северная Осетия Алания. Магнитная ; 2013 ;  ; Би/м ; AU ; 61 ; antonekb08 ; 3878 
 1786 ; 10 рублей. Северная Осетия Алания. Редкий гурт ; 2013 ;  ; Би/м ; AU ; 13 ; K.V.N. ; 235 
 1787 ; 10 рублей. Северная Осетия Алания. Редкий гурт ; 2013 ;  ; Би/м ; XF ; 21 ; krugerrand ; 220 
 1788 ; 10 рублей. Северная Осетия-Алания. Редкий гурт ; 2013 ;  ; Би/м ; AU ; 16 ; krugerrand ; 220 
 1789 ; 10 рублей. Северная Осетия-Алания. Редкий гурт ; 2013 ;  ; Би/м ; AU ; 22 ; krugerrand ; 223 
 1790 ; 10 рублей. Северная Осетия-Алания. Редкий гурт ; 2013 ;  ; Би/м ; AU ; 15 ; nivva ; 220 
 1791 ; 10 рублей. Северная Осетия-Алания. Редкий гурт ; 2013 ;  ; Би/м ; AU ; 11 ; krugerrand ; 220 
 1792 ; 10 рублей. Северная Осетия-Алания. Редкий гурт ; 2013 ;  ; Би/м ; AU ; 14 ; krugerrand ; 215 
 1793 ; 10 рублей. Северная Осетия-Алания. Редкий гурт ; 2013 ;  ; Би/м ; AU ; 7 ; Гарыныч ; 220 
 1794 ; 10 рублей. Северная Осетия-Алания. Редкий гурт ; 2013 ;  ; Би/м ; AU ; 10 ; POUL ; 218 
 1795 ; 10 рублей. Северная Осетия-Алания. Редкий гурт ; 2013 ;  ; Би/м ; AU ; 12 ; горный ; 239 
 1796 ; 10 рублей. Северная Осетия-Алания. Редкий гурт ; 2013 ;  ; Би/м ; AU ; 13 ; POUL ; 225 
 1797 ; 10 рублей. Северная Осетия-Алания. Редкий гурт ; 2013 ;  ; Би/м ; AU ; 10 ; POUL ; 218 
 1798 ; 10 рублей. Северная Осетия-Алания. Редкий гурт ; 2013 ;  ; Би/м ; AU ; 19 ; POUL ; 213 
 1799 ; 10 рублей. Северная Осетия-Алания. Редкий гурт ; 2013 ;  ; Би/м ; AU ; 16 ; krugerrand ; 215 
 1800 ; 10 рублей. Северная Осетия-Алания. Редкий гурт ; 2013 ;  ; Би/м ; AU ; 13 ; Wally ; 220 
 1801 ; 10 рублей. Северная Осетия-Алания. Редкий гурт ; 2013 ;  ; Би/м ; AU ; 13 ; POUL ; 216 
 1802 ; 10 рублей. Северная Осетия-Алания. Редкий гурт ; 2013 ;  ; Би/м ; AU ; 14 ; POUL ; 210 
 1803 ; 10 рублей. Северная Осетия-Алания. Редкий гурт ; 2013 ;  ; Би/м ; AU ; 7 ; Гарыныч ; 224 
 1804 ; 10 рублей. Северная Осетия-Алания. Редкий гурт ; 2013 ;  ; Би/м ; AU ; 9 ; POUL ; 213 
 1805 ; 10 рублей. Северная Осетия-Алания. Редкий гурт ; 2013 ;  ; Би/м ; AU ; 12 ; solder13 ; 220 
 1806 ; 10 рублей. Северная Осетия-Алания. Редкий гурт ; 2013 ;  ; Би/м ; AU ; 11 ; krugerrand ; 217 
 1807 ; 10 рублей. Северная Осетия-Алания. Редкий гурт ; 2013 ;  ; Би/м ; AU ; 14 ; kai77 ; 220 
 1808 ; 10 рублей. Северная Осетия-Алания. Редкий гурт ; 2013 ;  ; Би/м ; AU ; 16 ; Wally ; 220 
 1809 ; 10 рублей. Северная Осетия-Алания. Редкий гурт ; 2013 ;  ; Би/м ; AU ; 12 ; POUL ; 210 
 1810 ; 10 рублей. Северная Осетия-Алания. Редкий гурт ; 2013 ;  ; Би/м ; AU ; 14 ; Новик ; 215 
 1811 ; 10 рублей. Северная Осетия-Алания. Редкий гурт ; 2013 ;  ; Би/м ; AU ; 14 ; джон буль ; 220 
 1812 ; 10 рублей. Северная Осетия-Алания. Редкий гурт ; 2013 ;  ; Би/м ; AU ; 14 ; krugerrand ; 215 
 1813 ; 10 рублей. Северная Осетия-Алания. Редкий гурт ; 2013 ;  ; Би/м ; AU ; 13 ; kai77 ; 220 
 1814 ; 10 рублей. Северная Осетия-Алания. Редкий гурт ; 2013 ;  ; Би/м ; AU ; 12 ; POUL ; 210 
 1815 ; 10 рублей. Северная Осетия-Алания. Редкий гурт ; 2013 ;  ; Би/м ; AU ; 12 ; krugerrand ; 215 
 1816 ; 10 рублей. Северная Осетия-Алания. Редкий гурт ; 2013 ;  ; Би/м ; AU ; 12 ; POUL ; 210 
 1817 ; 10 рублей. Северная Осетия-Алания. Редкий гурт ; 2013 ;  ; Би/м ; AU ; 13 ; POUL ; 215 
 1818 ; 10 рублей. Северная Осетия-Алания. Редкий гурт ; 2013 ;  ; Би/м ; AU ; 14 ; krugerrand ; 215 
 1819 ; 10 рублей. Северная Осетия-Алания. Редкий гурт ; 2013 ;  ; Би/м ; AU ; 11 ; POUL ; 215 
 1820 ; 10 рублей. Северная Осетия-Алания. Редкий гурт ; 2013 ;  ; Би/м ; AU ; 16 ; POUL ; 210 
 1821 ; 10 рублей. Северная Осетия-Алания. Редкий гурт ; 2013 ;  ; Би/м ; AU ; 8 ; spartak9583 ; 213 
 1822 ; 10 рублей. Северная Осетия-Алания. Редкий гурт ; 2013 ;  ; Би/м ; AU ; 8 ; POUL ; 215 
 1723 ; 10 копеек ; 1927 ;  ; Ag ; XF ; 26 ; Truth ; 160 
 1724 ; 10 копеек ; 1927 ;  ; Ag ; XF ; 18 ; Truth ; 149 
 1725 ; 10 копеек ; 1928 ;  ; Ag ; VF ; 11 ; Truth ; 102 
 1726 ; 10 копеек ; 1928 ;  ; Ag ; VF ; 15 ; paranoy ; 96 
 1727 ; 10 копеек ; 1928 ;  ; Ag ; VF+ ; 13 ; Vanomah ; 101 
 1728 ; 10 копеек ; 1929 ;  ; Ag ; XF+ ; 8 ; Vanmad ; 188 
 1729 ; 10 копеек ; 1929 ;  ; Ag ; VF-XF ; 24 ; Alekss_27 ; 160 
 1730 ; 10 копеек ; 1929 ;  ; Ag ; XF ; 16 ; Гарыныч ; 159 
 1731 ; 10 копеек ; 1929 ;  ; Ag ; XF+ ; 22 ; JohnSilver ; 189 
 1732 ; 10 копеек ; 1930 ;  ; Ag ; XF ; 13 ; gelo ; 91 
 1733 ; 10 копеек ; 1930 ;  ; Ag ; VF-XF ; 39 ; veektor ; 91 
 1734 ; 10 копеек ; 1930 ;  ; Ag ; XF+ ; 37 ; AlexMar ; 408 
 1735 ; 10 копеек ; 1930 ;  ; Ag ; XF+ ; 22 ; сортам70 ; 129 
 1736 ; 10 копеек ; 1930 ;  ; Ag ; VF ; 11 ; Hikon ; 89 
 1737 ; 10 копеек ; 1930 ;  ; Ag ; AU ; 12 ; daim ; 469 
 1738 ; 2 копейки ; 1924 ; Гурт рубчатый ; Cu ; VF ; 23 ; lelik13821 ; 255 
 1739 ; 2 копейки ; 1924 ; Гурт рубчатый ; Cu ; VF ; 40 ; Rustiano ; 624 
 1740 ; 2 копейки ; 1924 ; Гурт рубчатый ; Cu ; F-VF ; 29 ; Rustiano ; 81 
 1741 ; 1 копейка ; 1924 ; Гурт рубчатый ; Cu ; VF ; 18 ; Жендос ; 153 
 1742 ; 1 копейка ; 1924 ; Гурт рубчатый ; Cu ; F ; 6 ; Boroddd ; 27 
 1743 ; 1 копейка ; 1924 ; Гурт рубчатый ; Cu ; F+ ; 8 ; 312 ; 23 
 1744 ; 1 копейка ; 1924 ; Гурт рубчатый ; Cu ; VF ; 34 ; Rustiano ; 1000 
 1745 ; 1 копейка ; 1925 ; Гурт рубчатый ; Cu ; F- ; 53 ; Во все тяжкие ; 8054 
 1746 ; Полкопейки ; 1925 ;  ; Cu ; VF- ; 24 ; lva08 ; 1018 
 1747 ; Полкопейки ; 1928 ;  ; Cu ; VF ; 52 ; SSK ; 2333 
 1748 ; Полкопейки ; 1928 ;  ; Cu ; F- ; 55 ; ship-nik ; 1400 
 1749 ; Полкопейки ; 1928 ;  ; Cu ; F+ ; 68 ; ziko ; 1995 
 1750 ; Разменный знак 10. остров Шпицберген. Арктикуголь. . С надписью "разменный знак". Наводнение - центр Европы ; 2002СПМД ;  ; Cu-Ni ; Proof ; 43 ; gola78 ; 937 
 1751 ; Разменный знак 10. остров Шпицберген. Арктикуголь. . С надписью "разменный знак". Против Терроризма. Норд-Ост ; 2002СПМД ;  ; Cu-Ni ; Proof ; 13 ; Zarik ; 1197 
 1752 ; Разменный знак 10. Остров Шпицберген. Арктикуголь. С надписью разменный знак. Наводнение - юг России ; 2002СПМД ;  ; Cu-Ni ; Proof ; 20 ; Инвестор ; 930 
 1753 ; Разменный знак 10. Остров Шпицберген. Памяти Нельсона Манделы ; 2014СПМД ;  ; Cu-Ni ; Proof ; 24 ; vadim.l ; 1938 
 1754 ; Разменный знак 10. Остров Шпицберген. Взрыв метеорита над Челябинском ; 2013СПМД ;  ; Cu-Ni ; Proof ; 37 ; vadim.l ; 2457 
 1755 ; Разменный знак 10. Остров Шпицберген. Против терроризма. В память жертв теракта А. Брейвика ; 2011СПМД ;  ; Cu-Ni ; Proof ; 23 ; vadim.l ; 1849 
 1756 ; Разменный знак 10. Остров Шпицберген. Борьба с эпидемией лихорадки эбола ; 2015СПМД ;  ; Cu-Ni ; Proof ; 22 ; vadim.l ; 2164 
 1757 ; Разменный знак 10. Остров Шпицберген. "Конец света"-по календарю майя ; 2012СПМД ;  ; Cu-Ni ; Proof ; 15 ; ooooo1961 ; 2161 
 1758 ; Жетон серии "Слава Русского оружия". Танк Т-34 ; 2003 ;  ; ж/м ; Proof ; 38 ; СВТ69 ; 793 
 1759 ; Жетон. 5 червонцев. Красная книга. Перевязка ; 2015ММД ;  ; Ag ; Proof ; 19 ; gda ; 4080 
 1760 ; Жетон. 5 червонцев. Красная книга. Белый журавль ; 2013ММД ;  ; Ag ; Proof ; 22 ; gda ; 3249 
 1761 ; Жетон. 5 червонцев. Красная книга. Жук-олень ; 2013ММД ;  ; Ag ; Proof ; 11 ; gda ; 2805 
 1762 ; Жетон. 5 червонцев. Красная книга. Перевязка ; 2015ММД ;  ; Би/м ; Proof ; 9 ; gda ; 1245 
 1763 ; Жетон. 5 червонцев. Красная книга. Сахалинская кабарга ; 2014ММД ;  ; Би/м ; Proof ; 15 ; лосики ; 1134 
 1764 ; Жетон. 5 червонцев. Красная книга. Мандаринка ; 2015ММД ;  ; Би/м ; Proof ; 11 ; Guerras ; 1920 
 1765 ; Жетон. 5 пядей. Князь Григорий Потемкин-Таврический ; 2014ММД ;  ; Cu-Ni ; Proof ; 16 ; 5Rim ; 893 
 1766 ; Жетон. 5 пядей. Гермоген Албазинский ; 2013ММД ;  ; Cu-Ni ; Proof ; 17 ; круглая Лида ; 819 
 1767 ; Жетон. 1 полтинник. А.А.Леонов ; 2015ММД ;  ; Cu-Ni ; Proof ; 77 ; лосики ; 1187 
 1768 ; Жетон. 1 полтинник. В.В.Терешкова ; 2013ММД ;  ; Cu-Ni ; Proof ; 71 ; kac ; 1051 
 1769 ; Жетон. 1 полтинник. Л.И.Брежнев ; 2014ММД ;  ; Ж/м ; Proof ; 24 ; igrstupaev ; 1017 
 1770 ; Жетон. Один червонец ; ММД ;  ; Ж/м ; Proof ; 17 ; Видный ; 714 
 1771 ; Жетон. Один червонец ; ММД ;  ; Ж/м ; Proof ; 6 ; Видный ; 716 
 1772 ; Жетон. 500 рублей. Российско-Американская компания. Залив Сан-Франциско ; 2013 ;  ; Cu-Ni ; Proof ; 39 ; Victory-2001 ; 1010 
 1673 ; 15 копеек ; 1930 ;  ; Ag ; AU ; 13 ; AlexMar ; 453 
 1674 ; 15 копеек ; 1930 ;  ; Ag ; AU ; 43 ; K.V.N. ; 792 
 1675 ; 15 копеек ; 1930 ;  ; Ag ; VF-XF ; 38 ; gelo ; 228 
 1676 ; 10 копеек ; 1921 ;  ; Ag ; VF ; 59 ; ML144 ; 3672 
 1677 ; 10 копеек ; 1922 ;  ; Ag ; F+ ; 19 ; antongor ; 138 
 1678 ; 10 копеек ; 1922 ;  ; Ag ; XF- ; 50 ; solder13 ; 373 
 1679 ; 10 копеек ; 1922 ;  ; Ag ; F-VF ; 21 ; _Владимир_ ; 138 
 1680 ; 10 копеек ; 1922 ;  ; Ag ; F ; 22 ; бук ; 150 
 1681 ; 15 копеек ; 1925 ;  ; Ag ; XF- ; 12 ; veektor ; 80 
 1682 ; 15 копеек ; 1925 ;  ; Ag ; XF- ; 17 ; Truth ; 102 
 1683 ; 15 копеек ; 1925 ;  ; Ag ; XF+ ; 11 ; daim ; 153 
 1684 ; 15 копеек ; 1925 ;  ; Ag ; XF+ ; 23 ; daim ; 300 
 1685 ; 15 копеек ; 1925 ;  ; Ag ; XF+ ; 14 ; tanker1975 ; 85 
 1686 ; 15 копеек ; 1925 ;  ; Ag ; XF- ; 15 ; mart_si ; 101 
 1687 ; 15 копеек ; 1927 ;  ; Ag ; XF+ ; 19 ; smn51 ; 143 
 1688 ; 15 копеек ; 1927 ;  ; Ag ; XF ; 14 ; mart_si ; 89 
 1689 ; 15 копеек ; 1927 ;  ; Ag ; AU ; 11 ; daim ; 301 
 1690 ; 15 копеек ; 1927 ;  ; Ag ; VF ; 16 ; veektor ; 94 
 1691 ; 15 копеек ; 1927 ;  ; Ag ; XF+ ; 9 ; paranoy ; 73 
 1692 ; 15 копеек ; 1928 ;  ; Ag ; AU ; 13 ; cr2952 ; 134 
 1693 ; 15 копеек ; 1928 ;  ; Ag ; XF ; 6 ; paranoy ; 73 
