 1153 ; Медаль "Преуспевающему". Для выпускников мужских гимназий. М-24,76г. D-32мм ;  ;  ; Au ; XF+ ; 7 ; Продано в зале ; 82500 
 2186 ; 1 рубль ; 1967 ;  ; Cu-Ni ; XF ; 16 ; lielais ; 306 
 2187 ; 1 рубль ; 1969 ;  ; Cu-Ni ; AU ; 72 ; lielais ; 279 
 2188 ; 1 рубль ; 1975 ;  ; Cu-Ni ; AU ; 14 ; masterovoi ; 317 
 2189 ; 1 рубль ; 1981 ;  ; Cu-Ni ; AU ; 42 ; ВАР1959 ; 420 
 2190 ; 1 рубль ; 1982 ;  ; Cu-Ni ; AU ; 52 ; сократ ; 520 
 2191 ; 1 рубль ; 1983 ;  ; Cu-Ni ; AU ; 47 ; сократ ; 459 
 2192 ; 1 рубль ; 1991 ; ММД ; Cu-Ni ; AU ; 10 ; lielais ; 159 
 2193 ; 1 рубль ; 1969 ;  ; Cu-Ni ; VF-XF ; 98 ; Сакович ; 197 
 2194 ; 50 копеек ; 1969 ;  ; Cu-Ni ; VF+ ; 26 ; grisha2401 ; 57 
 2195 ; 50 копеек ; 1990 ;  ; Cu-Ni ; XF ; 35 ; пенсионер ; 250 
 2196 ; 20 копеек ; 1946 ; Л/с звезда плоская, шт. 20 коп. ; Ni ; F ; 27 ; Опятор ; 27 
 2197 ; 5 копеек ; 1948 ;  ; Br ; VF ; 24 ; ярик71 ; 69 
 2198 ; 5 копеек ; 1952 ;  ; Br ; VF- ; 30 ; olga42 ; 92 
 2199 ; 3 копейки ; 1936 ; Л/с звезда фигурная ; Br ; F+ ; 21 ; Cuff ; 21 
 2200 ; 3 копейки ; 1937 ;  ; Br ; F+ ; 9 ; Опятор ; 8 
 2201 ; 3 копейки ; 1943 ;  ; Br ; VF ; 34 ; карат ; 60 
 2202 ; 3 копейки ; 1946 ;  ; Br ; F ; 4 ; Опятор ; 5 
 2203 ; 2 копейки ; 1926 ;  ; Br ; F-VF ; 5 ; Cuff ; 6 
 2204 ; 2 копейки ; 1931 ;  ; Br ; VF+ ; 41 ; lielais ; 69 
 2205 ; 2 копейки ; 1948 ;  ; Br ; F-VF ; 8 ; lelic ; 37 
 2206 ; 2 копейки ; 1949 ;  ; Br ; F ; 17 ; Cuff ; 17 
 2207 ; 1 копейка ; 1941 ;  ; Br ; VF-XF ; 41 ; Vanomah ; 344 
 2208 ; 1 копейка ; 1945 ;  ; Br ; VF-XF ; 22 ; lielais ; 225 
 2209 ; 3 копейки ; 1950 ;  ; Br ; VF-XF ; 17 ; lielais ; 181 
 2210 ; 1 копейка ; 1940 ;  ; Br ; VF ; 3 ; Ходор ; 41 
 2211 ; 1 копейка ; 1950 ;  ; Br ; VF+ ; 7 ; Ходор ; 163 
 2212 ; 1 копейка ; 1951 ;  ; Br ; XF ; 29 ; lielais ; 225 
 2213 ; 1 копейка ; 1952 ;  ; Br ; AU ; 47 ; lielais ; 73 
 2214 ; 1 копейка ; 1953 ;  ; Br ; VF+ ; 21 ; lielais ; 116 
 2215 ; 1 копейка ; 1956 ;  ; Br ; AU ; 14 ; каламбурчик ; 147 
 2216 ; 1 копейка ; 1957 ; В венке герба 15 лент ; Br ; AU ; 15 ; Ходор ; 123 
 2217 ; 1 копейка ; 1967 ;  ; Cu-Zn ; AU ; 22 ; lielais ; 117 
 2218 ; 1 копейка ; 1972 ;  ; Cu-Zn ; AU ; 46 ; сократ ; 100 
 2219 ; 10 рублей. Красная книга. Краснозобая Казарка ; 1992 ;  ; Би/м ; AU ; 22 ; RAF ; 469 
 2220 ; 10 рублей. Красная книга. Среднеазиатская кобра ; 1992 ;  ; Би/м ; AU ; 26 ; Слепок ; 386 
 2221 ; 10 рублей. Красная книга. Амурский тигр ; 1992 ;  ; Би/м ; AU ; 45 ; монета-с ; 833 
 2222 ; 5 рублей. Красная книга. Винторогий козел ; 1991 ;  ; Би/м ; AU ; 29 ; timujin82 ; 230 
 2223 ; 5 рублей. Красная книга. Рыбный филин ; 1991 ;  ; Би/м ; AU ; 74 ; vital ; 324 
 2224 ; 10 рублей. Чеченская Республика ; 2010СПМД ;  ; Би/м ; AU ; 17 ; Вахтанги ; 1274 
 2225 ; 10 рублей. Пермский край ; 2010СПМД ;  ; Би/м ; AU ; 30 ; karnishon1 ; 725 
 2226 ; 10 рублей. Чеченская Республика ; 2010СПМД ;  ; Би/м ; AU ; 17 ; Вахтанги ; 1286 
 2227 ; 10 рублей. Пермский край ; 2010СПМД ;  ; Би/м ; AU ; 35 ; jimmysu ; 711 
 2228 ; 10 рублей. Чеченская Республика ; 2010СПМД ;  ; Би/м ; AU ; 35 ; POUL ; 1321 
 2229 ; 10 рублей. Пермский край ; 2010СПМД ;  ; Би/м ; AU ; 11 ; jimmysu ; 679 
 2230 ; 25 рублей. Сочи 2014. Упаковка ; 2011СПМД ;  ; Cu-Ni ; Unc ; 55 ; Aleks72 ; 193 
 2231 ; 25 рублей. Сочи 2014. Упаковка ; 2011СПМД ;  ; Cu-Ni ; Unc ; 53 ; Aleks72 ; 203 
 2232 ; Жетон. ЛМД. Упаковка нарушена ;  ;  ; Ж/м ; Unc ; 26 ; evgen177309 ; 55 
 2133 ; 20 копеек ; 1936 ; Л/с звезда плоская ; Ni ; XF+ ; 38 ; каламбурчик ; 158 
 2134 ; 20 копеек ; 1940 ; Л/с звезда плоская, шт. 20 коп. ; Ni ; VF- ; 11 ; gabbels ; 42 
 2135 ; 20 копеек ; 1942 ; Л/с звезда плоская, шт. 20 коп. ; Ni ; VF ; 34 ; Vanomah ; 150 
 2136 ; 20 копеек ; 1943 ; Л/с звезда плоская, шт. 20 коп. ; Ni ; VF ; 24 ; Aleks72 ; 41 
 2137 ; 1 рубль ; 1991 ; ММД ; Cu-Ni ; XF+ ; 26 ; rubin100 ; 91 
 2138 ; 1 рубль ; 1991 ; ММД ; Cu-Ni ; AU ; 19 ; lielais ; 101 
 2139 ; 50 копеек ; 1974 ;  ; Cu-Ni ; VF ; 14 ; alexadm ; 57 
 2140 ; 1 рубль ; 1977 ;  ; Cu-Ni ; AU ; 15 ; ВАР1959 ; 377 
 2141 ; 1 рубль ; 1980 ;  ; Cu-Ni ; AU ; 30 ; каламбурчик ; 459 
 2142 ; 20 копеек ; 1935 ; Л/с звезда плоская ; Ni ; AU ; 22 ; RAF ; 327 
 2143 ; 5 копеек ; 1932 ;  ; Br ; VF+ ; 89 ; ярик71 ; 170 
 2144 ; 5 копеек ; 1938 ;  ; Br ; VF ; 41 ; albar ; 310 
 2145 ; 5 копеек ; 1970 ;  ; Cu-Zn ; VF ; 41 ; Ходор ; 5771 
 2146 ; 1 рубль ; 1988 ;  ; Cu-Ni ; XF ; 66 ; Zorro ; 77 
 2147 ; 5 копеек ; 1928 ;  ; Br ; F+ ; 31 ; ярик71 ; 63 
 2148 ; 5 копеек ; 1930 ;  ; Br ; VF+ ; 15 ; Ходор ; 140 
 2149 ; 5 копеек ; 1932 ;  ; Br ; VF- ; 25 ; Ходор ; 306 
 2150 ; 5 копеек ; 1932 ;  ; Br ; XF ; 165 ; сократ ; 602 
 2151 ; 5 копеек ; 1936 ;  ; Br ; F-VF ; 9 ; gabbels ; 138 
 2152 ; 3 копейки. Деформация ; 1926 ;  ; Br ; F-VF ; 7 ; крабик ; 65 
 2153 ; 3 копейки ; 1928 ;  ; Br ; VF+ ; 75 ; dbieh ; 186 
 2154 ; 3 копейки ; 1929 ;  ; Br ; VF- ; 5 ; 2262н ; 34 
 2155 ; 3 копейки ; 1930 ;  ; Br ; F+ ; 17 ; Ходор ; 43 
 2156 ; 3 копейки ; 1931 ;  ; Br ; VF- ; 7 ; Ходор ; 41 
 2157 ; 3 копейки ; 1932 ;  ; Br ; VF ; 8 ; Ходор ; 55 
 2158 ; 3 копейки ; 1933 ;  ; Br ; VF- ; 9 ; Ходор ; 49 
 2159 ; 3 копейки ; 1934 ;  ; Br ; VF ; 24 ; Сакович ; 157 
 2160 ; 3 копейки ; 1935 ;  ; Br ; VF ; 6 ; dbieh ; 161 
 2161 ; 3 копейки ; 1936 ; Л/с звезда фигурная ; Br ; VF ; 11 ; Ходор ; 41 
 2162 ; 3 копейки ; 1937 ;  ; Br ; F-VF ; 5 ; Ходор ; 41 
 2163 ; 3 копейки ; 1938 ;  ; Br ; F-VF ; 5 ; 2262н ; 34 
 2164 ; 3 копейки ; 1939 ;  ; Br ; F+ ; 27 ; Ратамахатта ; 41 
 2165 ; 3 копейки ; 1940 ;  ; Br ; VF+ ; 12 ; lielais ; 137 
 2166 ; 3 копейки ; 1941 ;  ; Br ; VF+ ; 22 ; olga42 ; 83 
 2167 ; 3 копейки ; 1943 ;  ; Br ; VF ; 30 ; vfuflfy49 ; 140 
 2168 ; 3 копейки ; 1945 ;  ; Br ; VF ; 23 ; Tolya77 ; 804 
 2169 ; 3 копейки ; 1946 ;  ; Br ; VF ; 15 ; Ходор ; 41 
 2170 ; 3 копейки ; 1948 ;  ; Br ; VF+ ; 82 ; lielais ; 213 
 2171 ; 3 копейки ; 1949 ;  ; Br ; VF-XF ; 7 ; volodia1953 ; 120 
 2172 ; 3 копейки ; 1950 ;  ; Br ; VF ; 47 ; Рыба ; 165 
 2173 ; 3 копейки ; 1951 ;  ; Br ; VF ; 30 ; VINS ; 1000 
 2174 ; 3 копейки ; 1952 ;  ; Br ; VF+ ; 12 ; VINS ; 100 
 2175 ; 3 копейки ; 1953 ;  ; Br ; VF ; 3 ; lielais ; 57 
 2176 ; 3 копейки ; 1954 ;  ; Br ; F-VF ; 21 ; Опятор ; 22 
 2177 ; 3 копейки ; 1955 ;  ; Br ; VF+ ; 7 ; lielais ; 79 
 2178 ; 3 копейки ; 1956 ;  ; Br ; VF+ ; 32 ; lielais ; 101 
 2179 ; 3 копейки ; 1957 ; В венке герба 15 лент ; Br ; XF- ; 5 ; каламбурчик ; 114 
 2180 ; 3 копейки ; 1962 ;  ; Cu-Zn ; VF- ; 28 ; sergey8 ; 303 
 2181 ; 3 копейки ; 1965 ;  ; Cu-Zn ; VF- ; 32 ; polant ; 379 
 2182 ; 3 копейки ; 1966 ;  ; Cu-Zn ; VF- ; 41 ; сибиряк29 ; 232 
 2083 ; 2 копейки ; 1928 ;  ; Br ; VF-XF ; 4 ; lielais ; 79 
 2084 ; 1 копейка ; 1928 ;  ; Br ; VF+ ; 3 ; lielais ; 83 
 2085 ; 1 копейка ; 1939 ;  ; Br ; XF ; 24 ; kondor300 ; 263 
 2086 ; 20 копеек ; 1932 ;  ; Ni ; VF- ; 15 ; lielais ; 204 
 2087 ; 15 копеек ; 1954 ;  ; Ni ; VF+ ; 13 ; lielais ; 57 
 2088 ; 3 копейки ; 1938 ;  ; Br ; VF- ; 4 ; Ходор ; 77 
 2089 ; 3 копейки ; 1952 ;  ; Br ; F-VF ; 9 ; lielais ; 57 
 2090 ; 10 копеек ; 1968 ;  ; Cu-Ni ; AU ; 60 ; AIK60 ; 816 
 2091 ; 50 копеек ; 1972 ;  ; Cu-Ni ; XF- ; 17 ; polant ; 300 
 2092 ; 50 копеек ; 1973 ;  ; Cu-Ni ; VF-XF ; 23 ; polant ; 231 
 2093 ; 50 копеек ; 1974 ;  ; Cu-Ni ; VF-XF ; 38 ; лаботряс ; 79 
 2094 ; 20 копеек ; 1943 ; Л/с звезда плоская, шт. 20 коп. ; Ni ; VF ; 7 ; lielais ; 90 
 2095 ; 15 копеек ; 1938 ;  ; Ni ; VF+ ; 10 ; sibtec ; 171 
 2096 ; 15 копеек ; 1946 ;  ; Ni ; VF-XF ; 3 ; lielais ; 114 
 2097 ; 15 копеек ; 1948 ;  ; Ni ; XF- ; 19 ; lielais ; 143 
 2098 ; 10 копеек ; 1952 ;  ; Ni ; VF-XF ; 9 ; lielais ; 163 
 2099 ; 2 копейки ; 1930 ;  ; Br ; F-VF ; 22 ; Ратамахатта ; 23 
 2100 ; 1 копейка ; 1952 ;  ; Br ; AU ; 21 ; kondor300 ; 174 
 2101 ; 10 копеек ; 1941 ;  ; Ni ; F ; 64 ; kozlevich ; 292 
 2102 ; 5 копеек ; 1930 ;  ; Br ; VF- ; 53 ; Ходор ; 157 
 2103 ; 20 копеек ; 1935 ; Л/с звезда плоская ; Ni ; VF-XF ; 25 ; Сапёр ; 122 
 2104 ; 50 копеек ; 1974 ;  ; Cu-Ni ; XF ; 45 ; страус ; 45 
 2105 ; 20 копеек ; 1935 ; Л/с звезда плоская ; Ni ; VF-XF ; 27 ; 27 ; 102 
 2106 ; 20 копеек ; 1940 ; Л/с звезда плоская, шт. 20 коп. ; Ni ; VF-XF ; 61 ; lielais ; 165 
 2107 ; 20 копеек ; 1945 ;  ; Ni ; AU ; 98 ; verunk1 ; 1179 
 2108 ; 15 копеек ; 1957 ; В венке герба 15 лент ; Ni ; XF+ ; 61 ; lielais ; 123 
 2109 ; 10 копеек ; 1940 ;  ; Ni ; XF ; 118 ; Василевс ; 355 
 2110 ; 10 копеек ; 1967 ;  ; Cu-Ni ; AU ; 55 ; лаботряс ; 686 
 2111 ; 5 копеек ; 1940 ;  ; Br ; XF ; 102 ; lessnoy ; 261 
 2112 ; 3 копейки ; 1926 ;  ; Br ; VF+ ; 76 ; Сакович ; 120 
 2113 ; 3 копейки ; 1932 ;  ; Br ; VF-XF ; 14 ; lielais ; 89 
 2114 ; 3 копейки ; 1933 ;  ; Br ; VF ; 51 ; Ратамахатта ; 53 
 2115 ; 3 копейки ; 1936 ; Л/с звезда фигурная ; Br ; VF+ ; 12 ; dbieh ; 183 
 2116 ; 3 копейки ; 1938 ;  ; Br ; VF+ ; 18 ; coc ; 79 
 2117 ; 2 копейки ; 1928 ;  ; Br ; VF- ; 52 ; 27 ; 53 
 2118 ; 2 копейки ; 1930 ;  ; Br ; VF+ ; 60 ; lielais ; 79 
 2119 ; 2 копейки ; 1933 ;  ; Br ; F-VF ; 75 ; Ходор ; 502 
 2120 ; 2 копейки ; 1934 ;  ; Br ; VF- ; 37 ; Сакович ; 37 
 2121 ; 2 копейки ; 1935 ;  ; Br ; VF- ; 83 ; denis1977 ; 204 
 2122 ; 2 копейки ; 1935 ;  ; Br ; VF-XF ; 90 ; lielais ; 222 
 2123 ; 2 копейки ; 1939 ;  ; Br ; VF ; 27 ; lielais ; 139 
 2124 ; 2 копейки ; 1940 ;  ; Br ; VF+ ; 61 ; lielais ; 79 
 2125 ; 2 копейки ; 1941 ;  ; Br ; F-VF ; 72 ; lielais ; 190 
 2126 ; 3 копейки ; 1928 ;  ; Br ; VF+ ; 91 ; olga42 ; 179 
 2127 ; 3 копейки ; 1940 ;  ; Br ; F+ ; 3 ; Ходор ; 51 
 2128 ; 2 копейки ; 1964 ;  ; Cu-Zn ; VF ; 97 ; Сакович ; 163 
 2129 ; 1 копейка ; 1964 ;  ; Cu-Zn ; VF ; 59 ; Олег33 ; 163 
 2130 ; 1 копейка ; 1931 ;  ; Br ; F ; 19 ; rubin100 ; 97 
 2131 ; 1 рубль ; 1965 ;  ; Cu-Ni ; AU ; 10 ; Ходор ; 216 
 2132 ; 1 рубль ; 1990 ;  ; Cu-Ni ; AU ; 10 ; masterovoi ; 133 
 2033 ; 1 копейка ; 1928 ;  ; Br ; XF ; 15 ; lielais ; 141 
 2034 ; 1 копейка ; 1929 ;  ; Br ; VF+ ; 16 ; peck ; 526 
 2035 ; 1 копейка ; 1931 ;  ; Br ; VF-XF ; 19 ; peck ; 184 
 2036 ; 1 копейка ; 1933 ;  ; Br ; VF-XF ; 7 ; lielais ; 114 
 2037 ; 1 копейка ; 1934 ;  ; Br ; VF+ ; 15 ; lielais ; 235 
 2038 ; 1 копейка ; 1935 ;  ; Br ; VF ; 22 ; albar ; 348 
 2039 ; 1 копейка ; 1936 ;  ; Br ; VF+ ; 8 ; lielais ; 120 
 2040 ; 1 копейка ; 1937 ;  ; Br ; VF+ ; 22 ; lielais ; 157 
 2041 ; 1 копейка ; 1938 ;  ; Br ; VF+ ; 20 ; Ходор ; 111 
 2042 ; 1 копейка ; 1939 ;  ; Br ; VF+ ; 5 ; lielais ; 114 
 2043 ; 1 копейка ; 1940 ;  ; Br ; VF-XF ; 25 ; Ходор ; 55 
 2044 ; 1 копейка ; 1941 ;  ; Br ; VF ; 15 ; кошак ; 242 
 2045 ; 1 копейка ; 1946 ;  ; Br ; VF-XF ; 9 ; gabbels ; 203 
 2046 ; 1 копейка ; 1948 ;  ; Br ; XF+ ; 38 ; gabbels ; 407 
 2047 ; 1 копейка ; 1949 ;  ; Br ; VF ; 7 ; lielais ; 114 
 2048 ; 1 копейка ; 1950 ;  ; Br ; VF ; 19 ; Ходор ; 123 
 2049 ; 1 копейка ; 1951 ;  ; Br ; AU ; 7 ; sibons ; 227 
 2050 ; 1 копейка ; 1952 ;  ; Br ; VF-XF ; 9 ; lielais ; 115 
 2051 ; 1 копейка ; 1953 ;  ; Br ; VF ; 2 ; Olimpia ; 101 
 2052 ; 1 копейка ; 1954 ;  ; Br ; VF ; 3 ; lielais ; 101 
 2053 ; 1 копейка ; 1956 ;  ; Br ; XF ; 15 ; gabbels ; 118 
 2054 ; 1 копейка ; 1957 ; В венке герба 15 лент ; Br ; VF-XF ; 5 ; lielais ; 104 
 2055 ; 1 копейка ; 1961 ;  ; Cu-Zn ; XF ; 45 ; lielais ; 125 
 2056 ; 1 копейка ; 1962 ;  ; Cu-Zn ; XF ; 27 ; lielais ; 121 
 2057 ; 1 копейка ; 1963 ;  ; Cu-Zn ; VF-XF ; 37 ; Сакович ; 67 
 2058 ; 1 копейка ; 1966 ;  ; Cu-Zn ; VF ; 59 ; lielais ; 190 
 2059 ; 1 копейка ; 1975 ;  ; Cu-Zn ; AU ; 14 ; lielais ; 50 
 2060 ; 1 рубль ; 1984 ;  ; Cu-Ni ; AU ; 137 ; сократ ; 434 
 2061 ; 1 рубль ; 1986 ;  ; Cu-Ni ; AU ; 78 ; lielais ; 227 
 2062 ; 1 рубль ; 1989 ;  ; Cu-Ni ; XF+ ; 37 ; timujin82 ; 160 
 2063 ; 1 рубль ; 1990 ;  ; Cu-Ni ; AU ; 8 ; lielais ; 160 
 2064 ; 50 копеек ; 1974 ;  ; Cu-Ni ; AU ; 26 ; лаботряс ; 79 
 2065 ; 50 копеек ; 1977 ;  ; Cu-Ni ; AU ; 72 ; Ходор ; 213 
 2066 ; 50 копеек ; 1978 ;  ; Cu-Ni ; AU ; 39 ; polant ; 230 
 2067 ; 50 копеек ; 1979 ;  ; Cu-Ni ; AU ; 6 ; lielais ; 143 
 2068 ; 50 копеек ; 1981 ;  ; Cu-Ni ; AU ; 70 ; сократ ; 90 
 2069 ; 50 копеек ; 1982 ;  ; Cu-Ni ; AU ; 118 ; сократ ; 352 
 2070 ; 50 копеек ; 1987 ;  ; Cu-Ni ; AU ; 32 ; Ходор ; 63 
 2071 ; 20 копеек ; 1939 ;  ; Ni ; XF- ; 12 ; polant ; 257 
 2072 ; 5 копеек ; 1934 ;  ; Br ; F+ ; 37 ; Vladimir_78 ; 1899 
 2073 ; 5 копеек ; 1940 ;  ; Br ; F+ ; 49 ; Ратамахатта ; 50 
 2074 ; 5 копеек ; 1949 ;  ; Br ; VF+ ; 47 ; Ходор ; 89 
 2075 ; 5 копеек ; 1953 ;  ; Br ; VF ; 22 ; vfuflfy49 ; 115 
 2076 ; 5 копеек ; 1954 ;  ; Br ; VF+ ; 9 ; Сапёр ; 113 
 2077 ; 5 копеек ; 1955 ;  ; Br ; XF ; 54 ; Ходор ; 138 
 2078 ; 5 копеек ; 1955 ;  ; Br ; XF- ; 20 ; vfuflfy49 ; 104 
 2079 ; 5 копеек ; 1956 ;  ; Br ; VF+ ; 7 ; lielais ; 74 
 2080 ; 5 копеек ; 1957 ; В венке герба 15 лент ; Br ; XF ; 11 ; каламбурчик ; 170 
 2081 ; 5 копеек ; 1974 ;  ; Cu-Zn ; VF- ; 22 ; Aleks72 ; 53 
 2082 ; 5 копеек ; 1975 ;  ; Cu-Zn ; VF- ; 35 ; zuza ; 93 
 1983 ; 15 копеек ; 1952 ;  ; Ni ; VF+ ; 33 ; lielais ; 119 
 1984 ; 15 копеек ; 1976 ;  ; Cu-Ni ; AU ; 15 ; lielais ; 167 
 1985 ; 10 копеек ; 1932 ;  ; Ni ; XF ; 48 ; каламбурчик ; 380 
 1986 ; 10 копеек ; 1933 ;  ; Ni ; VF-XF ; 27 ; polant ; 301 
 1987 ; 10 копеек ; 1934 ;  ; Ni ; VF-XF ; 30 ; ZOLTAN333 ; 777 
 1988 ; 10 копеек ; 1935 ;  ; Ni ; XF- ; 49 ; POUL ; 323 
 1989 ; 10 копеек ; 1941 ;  ; Ni ; XF ; 47 ; grisha2401 ; 496 
 1990 ; 10 копеек ; 1951 ;  ; Ni ; XF ; 50 ; gabbels ; 410 
 1991 ; 10 копеек ; 1953 ;  ; Ni ; XF ; 33 ; lielais ; 114 
 1992 ; 10 копеек ; 1969 ;  ; Cu-Ni ; AU ; 53 ; verunk1 ; 286 
 1993 ; 5 копеек ; 1930 ;  ; Br ; VF+ ; 22 ; карат ; 160 
 1994 ; 5 копеек ; 1931 ;  ; Br ; VF+ ; 28 ; lielais ; 306 
 1995 ; 5 копеек ; 1935 ;  ; Br ; VF ; 48 ; dali ; 2029 
 1996 ; 5 копеек ; 1939 ;  ; Br ; VF+ ; 15 ; dali ; 504 
 1997 ; 5 копеек ; 1943 ;  ; Br ; VF+ ; 17 ; dbieh ; 420 
 1998 ; 5 копеек ; 1946 ;  ; Br ; VF ; 12 ; and1972 ; 113 
 1999 ; 5 копеек ; 1949 ;  ; Br ; VF-XF ; 2 ; Olimpia ; 40 
 2000 ; 5 копеек ; 1954 ;  ; Br ; XF ; 31 ; ZOLTAN333 ; 85 
 2001 ; 5 копеек ; 1955 ;  ; Br ; VF-XF ; 6 ; Сапёр ; 42 
 2002 ; 5 копеек ; 1956 ;  ; Br ; VF+ ; 27 ; lielais ; 167 
 2003 ; 5 копеек ; 1957 ; В венке герба 15 лент ; Br ; XF- ; 27 ; Ходор ; 95 
 2004 ; 5 копеек ; 1961 ;  ; Cu-Zn ; VF ; 2 ; Cuff ; 3 
 2005 ; 5 копеек ; 1973 ;  ; Cu-Zn ; VF ; 42 ; сибиряк29 ; 200 
 2006 ; 5 копеек ; 1974 ;  ; Cu-Zn ; XF ; 30 ; zuza ; 147 
 2007 ; 3 копейки ; 1926 ;  ; Br ; VF ; 37 ; Олег33 ; 128 
 2008 ; 3 копейки ; 1928 ;  ; Br ; VF-XF ; 47 ; ryber ; 299 
 2009 ; 3 копейки ; 1929 ;  ; Br ; VF+ ; 14 ; volodia1953 ; 171 
 2010 ; 3 копейки ; 1931 ;  ; Br ; VF+ ; 5 ; lielais ; 114 
 2011 ; 3 копейки ; 1933 ;  ; Br ; VF-XF ; 45 ; ryber ; 360 
 2012 ; 3 копейки ; 1934 ;  ; Br ; VF-XF ; 42 ; ryber ; 265 
 2013 ; 3 копейки ; 1936 ; Л/с звезда фигурная ; Br ; VF-XF ; 4 ; lielais ; 143 
 2014 ; 3 копейки ; 1937 ;  ; Br ; VF ; 25 ; ryber ; 161 
 2015 ; 3 копейки ; 1938 ;  ; Br ; VF+ ; 28 ; lielais ; 119 
 2016 ; 3 копейки ; 1939 ;  ; Br ; VF ; 16 ; gabbels ; 130 
 2017 ; 3 копейки ; 1940 ;  ; Br ; VF ; 51 ; lielais ; 131 
 2018 ; 3 копейки ; 1941 ;  ; Br ; VF+ ; 20 ; lielais ; 131 
 2019 ; 3 копейки ; 1943 ;  ; Br ; VF ; 12 ; and1972 ; 71 
 2020 ; 3 копейки ; 1946 ;  ; Br ; XF ; 28 ; lielais ; 101 
 2021 ; 3 копейки ; 1965 ;  ; Cu-Zn ; VF ; 52 ; shneyder ; 428 
 2022 ; 2 копейки ; 1926 ;  ; Br ; VF-XF ; 18 ; lielais ; 99 
 2023 ; 2 копейки ; 1933 ;  ; Br ; XF ; 61 ; klimvita ; 1022 
 2024 ; 2 копейки ; 1936 ;  ; Br ; VF+ ; 38 ; Olimpia ; 101 
 2025 ; 2 копейки ; 1937 ;  ; Br ; VF+ ; 55 ; lielais ; 119 
 2026 ; 2 копейки ; 1939 ;  ; Br ; VF- ; 10 ; off ; 68 
 2027 ; 2 копейки ; 1945 ;  ; Br ; VF ; 21 ; gabbels ; 302 
 2028 ; 2 копейки ; 1955 ;  ; Br ; AU ; 75 ; каламбурчик ; 306 
 2029 ; 2 копейки ; 1964 ;  ; Cu-Zn ; VF ; 14 ; Doca ; 183 
 2030 ; 2 копейки ; 1966 ;  ; Cu-Zn ; VF ; 24 ; gabbels ; 216 
 2031 ; 1 копейка ; 1926 ;  ; Br ; F-VF ; 67 ; Сакович ; 142 
 2032 ; 1 копейка ; 1927 ;  ; Br ; VF+ ; 18 ; polant ; 264 
 1933 ; 3 копейки. Упаковка ; 1965 ;  ; Cu-Zn ; Unc ; 108 ; сократ ; 845 
 1934 ; 2 копейки. Упаковка нарушена ; 1965 ;  ; Cu-Zn ; Unc ; 63 ; сократ ; 347 
 1935 ; 1 копейка. Упаковка нарушена ; 1965 ;  ; Cu-Zn ; Unc ; 59 ; сократ ; 347 
 1936 ; 1 рубль. Упаковка ; 1969 ;  ; Cu-Ni ; Unc ; 51 ; кошак ; 414 
 1937 ; 50 копеек. Упаковка нарушена ; 1969 ;  ; Cu-Ni ; Unc ; 128 ; сократ ; 765 
 1938 ; 20 копеек. Упаковка ; 1969 ;  ; Cu-Ni ; Unc ; 29 ; verunk1 ; 1137 
 1939 ; 15 копеек. Упаковка ; 1969 ;  ; Cu-Ni ; Unc ; 40 ; verunk1 ; 1530 
 1940 ; 10 копеек. Упаковка ; 1969 ;  ; Cu-Ni ; Unc ; 76 ; сократ ; 224 
 1941 ; 5 копеек. Упаковка ; 1969 ;  ; Cu-Zn ; AU ; 41 ; MDV ; 1557 
 1942 ; 3 копейки. Упаковка ; 1969 ;  ; Cu-Zn ; Unc ; 72 ; сократ ; 254 
 1943 ; 2 копейки. Упаковка ; 1969 ;  ; Cu-Zn ; AU ; 16 ; сократ ; 116 
 1944 ; 1 копейка. Упаковка ; 1969 ;  ; Cu-Zn ; AU ; 35 ; сократ ; 91 
 1945 ; 1 рубль. Упаковка ; 1988 ;  ; Cu-Ni ; Unc ; 38 ; lielais ; 184 
 1946 ; 50 копеек. Упаковка ; 1988 ;  ; Cu-Ni ; Unc ; 73 ; sergey8 ; 271 
 1947 ; 15 копеек. Упаковка ; 1988 ;  ; Cu-Ni ; Unc ; 62 ; ryber ; 73 
 1948 ; 10 копеек. Упаковка ; 1988 ;  ; Cu-Ni ; Unc ; 9 ; ges ; 62 
 1949 ; 5 копеек. Упаковка ; 1988 ;  ; Cu-Zn ; Unc ; 21 ; ges ; 62 
 1950 ; 3 копейки. Упаковка ; 1988 ;  ; Cu-Zn ; Unc ; 24 ; ryber ; 114 
 1951 ; 2 копейки. Упаковка ; 1988 ;  ; Cu-Zn ; Unc ; 62 ; ges ; 72 
 1952 ; 1 копейка. Упаковка ; 1988 ;  ; Cu-Zn ; Unc ; 16 ; ges ; 61 
 1953 ; 1 рубль ; 1961 ;  ; Cu-Ni ; XF ; 27 ; lielais ; 102 
 1954 ; 1 рубль ; 1965 ;  ; Cu-Ni ; XF- ; 68 ; lielais ; 164 
 1955 ; 1 рубль ; 1966 ;  ; Cu-Ni ; XF- ; 36 ; lielais ; 369 
 1956 ; 1 рубль ; 1969 ;  ; Cu-Ni ; AU ; 64 ; Ходор ; 301 
 1957 ; 1 рубль ; 1973 ;  ; Cu-Ni ; XF ; 22 ; ВАР1959 ; 395 
 1958 ; 1 рубль ; 1975 ;  ; Cu-Ni ; XF ; 40 ; ВАР1959 ; 400 
