 3247 ; Бона иностранная ;  ;  ;  ;  ; 28 ; latuza48186 ; 67 
 2202 ; Дукат. Чехословакия. М-3,50гр ; 1925 ;  ; Au ; AU ; 84 ; *** ; 5202 
 2203 ; Соверен. Великобритания. М-8,00гр ; 1910 ;  ; Au ; AU ; 34 ; лиса ; 7866 
 2204 ; Соверен. Великобритания. М-8,01гр ; 1979 ;  ; Au ; Proof ; 31 ; nikolay ; 7295 
 2205 ; 20 марок. Баден. М-7,98гр ; 1873 ;  ; Au ; XF+ ; 62 ; wagner ; 10403 
 2206 ; 20 марок. Пруссия. М-8,01гр ; 1891A ;  ; Au ; AU ; 37 ; kat24 ; 7535 
 2207 ; 20 марок. Пруссия. М-7,97гр ; 1894A ;  ; Au ; XF ; 28 ; Ромбор ; 7387 
 2208 ; 20 марок. Пруссия. М-7,96гр ; 1896A ;  ; Au ; XF+ ; 23 ; Ромбор ; 7534 
 2209 ; 20 марок. Пруссия. М-7,99гр ; 1899A ;  ; Au ; XF+ ; 84 ; Ромбор ; 7369 
 2210 ; 20 марок. Пруссия. М-7,98гр ; 1900A ;  ; Au ; AU ; 25 ; Ромбор ; 7609 
 2211 ; 20 марок. Пруссия. М-7,96гр ; 1901A ;  ; Au ; XF+ ; 32 ; nikolay ; 7217 
 2212 ; 20 марок. Пруссия. М-7,98гр ; 1902A ;  ; Au ; AU ; 11 ; san-stefano ; 7210 
 2213 ; 20 марок. Пруссия. М-7,98гр ; 1908A ;  ; Au ; XF+/AU ; 86 ; kat24 ; 7352 
 2214 ; 20 марок. Пруссия. М-7,98гр ; 1910A ;  ; Au ; AU ; 35 ; kat24 ; 7672 
 2215 ; 20 марок. Пруссия. М-7,98гр ; 1911A ;  ; Au ; AU ; 30 ; Ромбор ; 7545 
 2216 ; 10 марок. Пруссия. М-3,99гр ; 1888А ;  ; Au ; AU ; 43 ; wagner ; 5523 
 2217 ; 20 марок. Гамбург. М-7,96гр ; 1893J ;  ; Au ; VF-XF ; 31 ; лиса ; 9114 
 2218 ; 10 гульденов. Нидерланды. М-6,76гр ; 1913 ;  ; Au ; AU ; 25 ; лиса ; 6118 
 2219 ; 20 крон. Дания. М-8,98гр ; 1909 ;  ; Au ; AU ; 37 ; лиса ; 8220 
 2220 ; 20 крон. Дания. М-8,99гр ; 1914 ;  ; Au ; AU ; 29 ; лиса ; 8385 
 2221 ; 20 франков. Швейцария. М-6,47гр ; 1935 ;  ; Au ; AU ; 15 ; Ромбор ; 5756 
 2222 ; 25 долларов. Ниуэ. Кеннеди ; 1994 ;  ; Au ; Proof ; 12 ; soouo ; 1405 
 2223 ; 20 долларов. Острова Кука. Первый человек на луне ; 1995 ;  ; Au ; Proof ; 16 ; sandy ; 1761 
 2224 ; 10 тала. Самоа и Сисифо. Корабль ; 1995 ;  ; Au ; Proof ; 14 ; kollega ; 1530 
 2225 ; 1 сертум. Бутан. Солнечная система ; 1995 ;  ; Au ; Proof ; 20 ; sandy ; 1558 
 2226 ; 250 франков. Джибути. История мореходства ; 1996 ;  ; Au ; Proof ; 16 ; lucy ; 1530 
 2227 ; 20 тысяч лева. Болгария ; 1998 ;  ; Au ; Proof ; 25 ; Fox 56 ; 1884 
 2228 ; 10 долларов. Соломоновы о-ва. ; 2000 ;  ; Au ; Proof ; 18 ; lucy ; 1551 
 2229 ; 20 юаней. Китай. Панда ; 2001 ;  ; Au ; Proof ; 23 ; smel ; 2123 
 2230 ; 5 долларов. Австралия. Кенгуру ; 2001 ;  ; Au ; Proof ; 29 ; hugo ; 2040 
 2231 ; Жетон. Фридрих II. М-3,11гр ;  ;  ; Au ; Proof ; 9 ; sherif-69 ; 1658 
 2232 ; Талер. Зальцбург. М-28,02гр ; 1770FM ;  ; Ag ; VF-XF ; 42 ; RAPAN ; 6380 
 2233 ; Талер. Бавария. М-28,03гр ; 1775А ;  ; Ag ; VF-XF ; 37 ; Cook ; 3060 
 2234 ; Талер. Анхальт-Бернбург ; 1834 ;  ; Ag ; VF-XF ; 20 ; lynx ; 3672 
 2235 ; Талер. Ганновер ; 1851B ;  ; Ag ; VF-XF ; 30 ; sherif-69 ; 3162 
 2236 ; Талер. Саксония. Визит короля Иоганна на монетный двор ; 1855F ;  ; Ag ; VF-XF ; 50 ; Sky2 ; 4239 
 2237 ; Талер. Пруссия. На коронацию Вильгельма и Августы. М-18,5гр ; 1861А ;  ; Ag ; AU ; 35 ; SERGEJ ; 3219 
 2238 ; Талер. Анхальт-Бернбург ; 1861A ;  ; Ag ; VF-XF ; 56 ; lynx ; 3538 
 2239 ; Талер. Бремен. В честь победы над Францией ; 1871B ;  ; Ag ; XF ; 67 ; wagner ; 4113 
 2240 ; 24 мариенгроша. Брауншвейг-Вольфенбюттель. М-13,06гр ; 1716HH ;  ; Ag ; VF-XF ; 75 ; hjk1974 ; 3743 
 2241 ; 24 гроша. Брауншвейг-Вольфенбюттель ; 1717НН ;  ; Ag ; VF+ ; 88 ; hjk1974 ; 2754 
 2242 ; 2/3 талера. Ганновер ; 1828В ;  ; Ag ; XF- ; 74 ; RAPAN ; 5100 
 2243 ; 2/3 талера. Ганновер ; 1828С ;  ; Ag ; VF+ ; 79 ; Sky2 ; 3530 
 2244 ; 2/3 талера. Ганновер ; 1833 ;  ; Ag ; VF+ ; 27 ; rnv_64 ; 1599 
 2245 ; 1/3 талера. Брауншвейг-Люнебург-Каленберг-Ганновер. М-6,43гр ; 1755IBH ;  ; Ag ; VF+ ; 53 ; hjk1974 ; 2040 
 2246 ; 1/3 талера. Брауншвейг-Люнебург-Каленберг-Ганновер ; 1800PLM ;  ; Ag ; XF- ; 66 ; hjk1974 ; 3876 
 2247 ; 1/4 талера. Швейцария, Бимюнстер. Ремонт 12 часов ; 1720 ;  ; Ag ; VF ; 30 ; oks ; 1416 
 2248 ; 16 грошей. Ганновер ; 1821 ;  ; Ag ; XF- ; 32 ; region23 ; 2040 
 2249 ; 1/6 талера. Брауншвейг-Люнебург-Каленберг-Ганновер. М-3,31гр ; 1721HCB ;  ; Ag ; VF+ ; 67 ; hjk1974 ; 2754 
 1646 ; 2 копейки ; 1957 ; в венке герба 15 лент ; Br ; VF ; 3 ; lelik35 ; 13 
 1647 ; 2 копейки ; 1940 ;  ; Br ; VF-XF ; 6 ; lorens ; 100 
 1648 ; 2 копейки ; 1941 ;  ; Br ; VF+ ; 2 ; lesnik1 ; 57 
 1649 ; 1 копейка ; 1931 ;  ; Br ; F-VF ; 33 ; tavitrof ; 116 
 1650 ; 1 копейка ; 1939 ;  ; Br ; VF-XF ; 16 ; tavitrof ; 41 
 1651 ; 1 копейка ; 1952 ;  ; Br ; VF+ ; 1 ; lorens ; 45 
 1652 ; 1 рубль ; 1983 ; 20 лет полета в космос В.Тереш ; Cu-Ni ; Proof ; 29 ; lesnik1 ; 585 
 1653 ; 1 рубль ; 1991 ; Олимпиада в Барселоне.Прыжки в ; Cu-Ni ; Proof ; 40 ; shknikolay ; 456 
 1654 ; 1 рубль ; 1967 ; 50 лет Советской власти ; Cu-Ni ; AU ; 9 ; aleks7 ; 90 
 1655 ; 1 рубль ; 1977 ; Олимпиада 80.Эмблема Олимпийск ; Cu-Ni ; AU ; 20 ; vladimir232 ; 29 
 1656 ; 1 рубль ; 1982 ; 60 лет образования СССР ; Cu-Ni ; AU ; 25 ; Poiuyt ; 109 
 1657 ; 1 рубль. Упаковка ; 1989 ; 175 лет со дня рождения Т.Г.Ше ; Cu-Ni ; Proof ; 31 ; hellraiser ; 173 
 1658 ; 1 рубль ; 1991 ; Олимпиада в Барселоне.Велосипе ; Cu-Ni ; Proof ; 25 ; shknikolay ; 1377 
 1659 ; 50 копеек ; 1981 ;  ; Cu-Ni ; AU ; 3 ; dali ; 45 
 1660 ; 20 копеек ; 1932 ;  ; Ni ; VF-XF ; 22 ; agent 007 ; 28 
 1661 ; 20 копеек ; 1941 ; л/с звезда плоская ; Ni ; VF+ ; 18 ; MICMAC ; 140 
 1662 ; 20 копеек ; 1943 ; л/с звезда плоская ; Ni ; VF ; 7 ; sk57 ; 57 
 1663 ; 20 копеек ; 1989 ;  ; Cu-Ni ; AU ; 3 ; lelik35 ; 10 
 1664 ; 15 копеек ; 1943 ;  ; Ni ; VF+ ; 7 ; vlkorchev ; 40 
 1665 ; 10 копеек ; 1957 ; в венке герба 15 лент ; Ni ; VF-XF ; 13 ; DE MON ; 16 
 1666 ; 10 копеек ; 1962 ;  ; Cu-Ni ; AU ; 11 ; dali ; 102 
 1667 ; 5 копеек ; 1956 ;  ; Br ; VF+ ; 18 ; tss ; 34 
 1668 ; 5 копеек ; 1961 ;  ; Cu-Zn ; AU ; 3 ; lorens ; 53 
 1669 ; 3 копейки ; 1929 ;  ; Br ; VF- ; 9 ; ForeverYoung ; 16 
 1670 ; 3 копейки ; 1930 ;  ; Br ; XF ; 17 ; sg1945 ; 120 
 1671 ; 3 копейки ; 1938 ;  ; Br ; VF-XF ; 8 ; Luidor ; 34 
 1672 ; 3 копейки ; 1957 ; в венке герба 15 лент ; Br ; XF- ; 14 ; DE MON ; 23 
 1673 ; 3 копейки ; 1973 ;  ; Cu-Zn ; AU ; 6 ; erdnaj ; 216 
 1674 ; 2 копейки ; 1928 ;  ; Br ; VF ; 7 ; shiraliv ; 36 
 1675 ; 1 копейка ; 1936 ;  ; Br ; VF-XF ; 15 ; Luidor ; 38 
 1676 ; 1 копейка ; 1938 ;  ; Br ; VF ; 9 ; ForeverYoung ; 19 
 1677 ; 1 копейка ; 1955 ;  ; Br ; VF+ ; 4 ; Poiuyt ; 16 
 1678 ; 1 копейка ; 1968 ;  ; Cu-Zn ; AU ; 5 ; sandy ; 16 
 1679 ; 1 копейка ; 1988 ;  ; Cu-Zn ; AU ; 3 ; lelik35 ; 10 
 1680 ; 5 копеек ; 1926 ;  ; Br ; XF ; 61 ; kott ; 2593 
 1681 ; 5 копеек ; 1928 ;  ; Br ; VF+ ; 65 ; Luidor ; 101 
 1682 ; 5 копеек ; 1931 ;  ; Br ; VF-XF ; 18 ; Poiuyt ; 29 
 1683 ; 5 копеек ; 1937 ;  ; Br ; VF+ ; 49 ; tss ; 1020 
 1684 ; 5 копеек ; 1938 ;  ; Br ; VF+ ; 34 ; Пионер ; 255 
 1685 ; 5 копеек ; 1939 ;  ; Br ; VF-XF ; 33 ; Пионер ; 163 
 1686 ; 5 копеек ; 1940 ;  ; Br ; VF-XF ; 74 ; шматко ; 360 
 1687 ; 5 копеек ; 1943 ;  ; Br ; VF+ ; 32 ; tss ; 55 
 1688 ; 3 копейки ; 1932 ;  ; Br ; VF+ ; 32 ; tss ; 76 
 1689 ; 3 копейки ; 1937 ;  ; Br ; VF-XF ; 9 ; dali ; 134 
 1690 ; 3 копейки ; 1938 ;  ; Br ; VF-XF ; 42 ; Luidor ; 51 
 1691 ; 3 копейки ; 1940 ;  ; Br ; VF-XF ; 11 ; Qersej ; 53 
 1692 ; 2 копейки ; 1938 ;  ; Br ; VF ; 4 ; lelik35 ; 16 
 1693 ; 2 копейки ; 1940 ;  ; Br ; XF- ; 57 ; Qersej ; 132 
 1694 ; 1 копейка ; 1937 ;  ; Br ; AU ; 53 ; каневская ; 2150 
 1695 ; 1 копейка ; 1938 ;  ; Br ; VF-XF ; 53 ; Luidor ; 81 
 1596 ; 5 рублей ; 1991 ; ЛМД ; Cu-Ni ; XF+ ; 1 ; alex995 ; 2 
 1597 ; 10 копеек ; 1991 ; М ; St ; XF+ ; 1 ; alex995 ; 2 
 1598 ; 20 копеек ; 1954 ;  ; Ni ; XF+ ; 10 ; lelik35 ; 9 
 1599 ; 20 копеек ; 1955 ;  ; Ni ; XF ; 9 ; lelik35 ; 9 
 1600 ; 20 копеек ; 1956 ;  ; Ni ; XF+ ; 10 ; volod ; 10 
 1601 ; 20 копеек ; 1957 ; в венке герба 15 лент ; Ni ; AU ; 11 ; Elvin ; 33 
 1602 ; 20 копеек ; 1957 ; в венке герба 15 лент ; Ni ; AU ; 10 ; Dimm ; 13 
 1603 ; 15 копеек ; 1955 ;  ; Ni ; XF+ ; 5 ; ForeverYoung ; 15 
 1604 ; 10 копеек ; 1953 ;  ; Ni ; VF-XF ; 8 ; lelik35 ; 9 
 1605 ; 10 копеек ; 1954 ;  ; Ni ; XF ; 11 ; ForeverYoung ; 11 
 1606 ; 10 копеек ; 1955 ;  ; Ni ; VF+ ; 7 ; ForeverYoung ; 23 
 1607 ; 10 копеек ; 1956 ; в венке герба 16 лент ; Ni ; XF- ; 8 ; ForeverYoung ; 10 
 1608 ; 10 копеек ; 1957 ; в венке герба 15 лент ; Ni ; AU ; 4 ; spbra ; 10 
 1609 ; 5 копеек ; 1955 ;  ; Br ; VF-XF ; 17 ; tss ; 24 
 1610 ; 5 копеек ; 1956 ;  ; Br ; XF- ; 11 ; tss ; 36 
 1611 ; 5 копеек ; 1957 ; в венке герба 15 лент ; Br ; XF+ ; 60 ; tss ; 87 
 1612 ; Лот монет СССР: 5,10,20 копеек (15шт) ; 1955-1957 ;  ; Ni,Br ; VF+/XF- ; 31 ; breghnevs24 ; 114 
 1613 ; Лот монет СССР:10,20 копеек (15шт) ; 1954-1957 ;  ; Ni ; VF+/XF+ ; 18 ; голосок ; 79 
 1614 ; Лот монет СССР: 3,2,1 коп (16шт) ; 1935-1978 ;  ; Br,Cu/Zn ; F+/VF- ; 41 ; lelik35 ; 41 
 1615 ; Лот монет СССР (6шт): 5к, 3к, 2к, 1к ; 1931-1975 ;  ; Cu, Cu/Zn ; VF/VF-XF ; 7 ; bklad ; 36 
 1616 ; Лот монет СССР (7шт): 5к, 3к, 2к, 1к ; 1926-1975 ;  ; Cu, Cu/Zn ; VF/VF-XF ; 28 ; bklad ; 57 
 1617 ; Лот монет СССР (6шт): 5к, 3к, 2к, 1к ; 1931-1975 ;  ; Cu, Cu/Zn ; VF/VF+ ; 6 ; bklad ; 31 
 1618 ; Лот монет СССР (8шт): 5к, 3к, 2к, 1к ; 1932-1968 ;  ; Cu, Cu/Zn ; VF/VF+ ; 11 ; bklad ; 41 
 1619 ; Лот монет СССР (7шт): 5к, 3к, 2к, 1к ; 1938-1974 ;  ; Cu, Cu/Zn ; VF/VF+ ; 7 ; lelik35 ; 24 
 1620 ; 3 рубля ; 1995 ; Встреча на Эльбе. ; Cu-Ni ; Proof ; 39 ; VR62 ; 340 
 1621 ; 1 рубль. Новодел ; 1985 ; 165 лет со дня рождения Ф.Энге ; Cu-Ni ; Proof ; 10 ; bcs ; 108 
 1622 ; 1 рубль ; 1984 ; 150 лет со дня рождения Д.И.Ме ; Cu-Ni ; Proof ; 69 ; fontanka ; 409 
 1623 ; 1 рубль ; 1978 ; Олимпиада 80.Московский Кремль ; Cu-Ni ; AU ; 6 ; Мишок ; 92 
 1624 ; 1 рубль ; 1993 ; 110 лет со дня смерти И.С.Тург ; Cu-Ni ; Proof ; 23 ; lesnik1 ; 467 
 1625 ; 1 рубль ; 1964 ;  ; Cu-Ni ; AU ; 23 ; Elvin ; 92 
 1626 ; 1 рубль ; 1968 ;  ; Cu-Ni ; AU ; 18 ; vatom22 ; 58 
 1627 ; 50 копеек ; 1961 ;  ; Cu-Ni ; AU ; 49 ; Qersej ; 357 
 1628 ; 50 копеек ; 1961 ;  ; Cu-Ni ; AU ; 13 ; erdnaj ; 317 
 1629 ; 20 копеек ; 1974 ;  ; Cu-Ni ; AU ; 25 ; Пионер ; 648 
 1630 ; 15 копеек ; 1976 ;  ; Cu-Ni ; AU ; 13 ; джон007 ; 59 
 1631 ; 20 копеек ; 1940 ; л/с звезда плоская ; Ni ; VF- ; 23 ; obob999 ; 36 
 1632 ; 20 копеек ; 1940 ; л/с звезда плоская ; Ni ; VF+ ; 12 ; vlkorchev ; 123 
 1633 ; 15 копеек ; 1923 ;  ; Ag ; AU ; 25 ; да ; 362 
 1634 ; 15 копеек ; 1927 ;  ; Ag ; XF+ ; 18 ; vlkorchev ; 75 
 1635 ; 15 копеек ; 1935 ;  ; Ni ; XF+ ; 34 ; шматко ; 459 
 1636 ; 15 копеек ; 1988 ;  ; Cu-Ni ; XF ; 1 ; lelik35 ; 2 
 1637 ; 10 копеек ; 1936 ;  ; Ni ; XF+ ; 4 ; sg1945 ; 116 
 1638 ; 10 копеек ; 1979 ;  ; Cu-Ni ; VF-XF ; 1 ; lelik35 ; 2 
 1639 ; 10 копеек ; 1976 ;  ; Cu-Ni ; VF-XF ; 3 ; wladimir1972 ; 10 
 1640 ; 10 копеек ; 1990 ;  ; Cu-Ni ; XF+ ; 1 ; lelik35 ; 2 
 1641 ; 10 копеек ; 1991 ; М ; St ; AU ; 1 ; Инвестор ; 2 
 1642 ; 5 копеек ; 1929 ;  ; Br ; VF-XF ; 86 ; шматко ; 5307 
 1643 ; 5 копеек ; 1930 ;  ; Br ; VF- ; 24 ; armon ; 35 
 1644 ; 3 копейки ; 1931 ;  ; Br ; XF+ ; 40 ; да ; 391 
 1645 ; 3 копейки ; 1952 ;  ; Br ; VF- ; 7 ; sandy ; 16 
 1546 ; 5 копеек ; 1961 ;  ; Cu-Zn ; VF+ ; 4 ; tss ; 11 
 1547 ; 3 копейки ; 1969 ;  ; Cu-Zn ; VF- ; 5 ; nikolay ; 10 
 1548 ; 3 копейки ; 1980 ;  ; Cu-Zn ; AU ; 19 ; Elvin ; 57 
 1549 ; 3 копейки ; 1980 ;  ; Cu-Zn ; AU ; 11 ; erdnaj ; 36 
 1550 ; 2 копейки ; 1968 ;  ; Cu-Zn ; AU ; 13 ; topotun ; 91 
 1551 ; 2 копейки ; 1969 ;  ; Cu-Zn ; XF+ ; 17 ; topotun ; 22 
 1552 ; 2 копейки ; 1970 ;  ; Cu-Zn ; AU ; 15 ; erdnaj ; 113 
 1553 ; 2 копейки ; 1972 ;  ; Cu-Zn ; AU ; 12 ; vladimir232 ; 59 
 1554 ; 2 копейки ; 1973 ;  ; Cu-Zn ; AU ; 18 ; erdnaj ; 69 
 1555 ; 2 копейки ; 1974 ;  ; Cu-Zn ; AU ; 15 ; topotun ; 193 
 1556 ; 2 копейки ; 1976 ;  ; Cu-Zn ; AU ; 23 ; topotun ; 255 
 1557 ; 20 копеек ; 1924 ;  ; Ag ; VF-XF ; 27 ; ForeverYoung ; 59 
 1558 ; 15 копеек ; 1930 ;  ; Ag ; VF-XF ; 15 ; vlkorchev ; 61 
 1559 ; 15 копеек ; 1929 ;  ; Ag ; XF- ; 29 ; tavitrof ; 120 
 1560 ; 20 копеек ; 1925 ;  ; Ag ; XF- ; 37 ; bcs ; 59 
 1561 ; 20 копеек ; 1923 ;  ; Ag ; VF+ ; 32 ; Arkhangel ; 50 
 1562 ; 20 копеек ; 1929 ;  ; Ag ; VF-XF ; 15 ; vlkorchev ; 61 
 1563 ; 15 копеек ; 1922 ;  ; Ag ; VF+ ; 23 ; tavitrof ; 161 
 1564 ; 15 копеек ; 1925 ;  ; Ag ; VF- ; 19 ; Arkhangel ; 53 
 1565 ; 15 копеек ; 1925 ;  ; Ag ; VF+ ; 15 ; rmiller ; 35 
 1566 ; 10 копеек ; 1923 ;  ; Ag ; VF+ ; 17 ; vlkorchev ; 65 
 1567 ; 10 копеек ; 1925 ;  ; Ag ; VF+ ; 25 ; Arkhangel ; 43 
 1568 ; 10 копеек ; 1927 ;  ; Ag ; VF ; 25 ; ForeverYoung ; 128 
 1569 ; 10 копеек ; 1929 ;  ; Ag ; VF- ; 19 ; rmiller ; 18 
 1570 ; 50 копеек ; 1983 ;  ; Cu-Ni ; VF-XF ; 7 ; ForeverYoung ; 10 
 1571 ; 50 копеек ; 1989 ; (1989) ; Cu-Ni ; VF-XF ; 16 ; tdp ; 49 
 1572 ; 20 копеек ; 1961 ;  ; Cu-Ni ; VF- ; 3 ; sandy ; 10 
 1573 ; 20 копеек ; 1989 ;  ; Cu-Ni ; VF+ ; 1 ; lelik35 ; 2 
 1574 ; 20 копеек ; 1990 ;  ; Cu-Ni ; AU ; 5 ; Elvin ; 10 
 1575 ; 20 копеек ; 1991 ; ЛМД ; Cu-Ni ; XF+ ; 3 ; tdp ; 10 
 1576 ; 15 копеек ; 1961 ;  ; Cu-Ni ; VF- ; 1 ; lelik35 ; 2 
 1577 ; 15 копеек ; 1989 ;  ; Cu-Ni ; VF-XF ; 1 ; lelik35 ; 2 
 1578 ; 15 копеек ; 1991 ; ЛМД ; Cu-Ni ; AU ; 4 ; Elvin ; 10 
 1579 ; 10 копеек ; 1961 ;  ; Cu-Ni ; VF-XF ; 1 ; lelik35 ; 2 
 1580 ; 10 копеек ; 1989 ;  ; Cu-Ni ; XF+ ; 3 ; sandy ; 10 
 1581 ; 10 копеек ; 1990 ;  ; Cu-Ni ; AU ; 6 ; Elvin ; 11 
 1582 ; 10 копеек ; 1991 ; ЛМД ; Cu-Ni ; AU ; 94 ; topotun ; 189 
 1583 ; 5 копеек ; 1961 ;  ; Cu-Zn ; VF+ ; 1 ; lelik35 ; 2 
 1584 ; 5 копеек ; 1981 ;  ; Cu-Zn ; VF+ ; 1 ; lelik35 ; 2 
 1585 ; 5 копеек ; 1989 ;  ; Cu-Zn ; VF-XF ; 1 ; lelik35 ; 2 
 1586 ; 5 копеек ; 1989 ;  ; Cu-Zn ; AU ; 4 ; lelik35 ; 10 
 1587 ; 5 копеек ; 1990 ;  ; Cu-Zn ; AU ; 3 ; lelik35 ; 9 
 1588 ; 3 копейки ; 1937 ;  ; Br ; VF- ; 8 ; lelik35 ; 15 
 1589 ; 3 копейки ; 1989 ;  ; Cu-Zn ; VF-XF ; 1 ; lelik35 ; 2 
 1590 ; 3 копейки ; 1990 ;  ; Cu-Zn ; XF+ ; 1 ; lelik35 ; 2 
 1591 ; 2 копейки ; 1989 ;  ; Cu-Zn ; XF+ ; 3 ; latuza48186 ; 10 
 1592 ; 2 копейки ; 1990 ;  ; Cu-Zn ; XF+/VF+ ; 1 ; lelik35 ; 2 
 1593 ; 1 копейка ; 1989 ;  ; Cu-Zn ; AU ; 3 ; lelik35 ; 9 
 1594 ; 1 копейка ; 1990 ;  ; Cu-Zn ; AU ; 3 ; lelik35 ; 9 
 1595 ; 10 рублей ; 1991 ; ЛМД ; Cu-Zn/Cu-N ; XF ; 31 ; alex995 ; 31 
 1496 ; 15 копеек ; 1929 ;  ; Ag ; F+ ; 32 ; sandy ; 59 
 1497 ; 5 копеек ; 1974 ;  ; Cu-Zn ; VF+ ; 6 ; tss ; 16 
 1498 ; Лот иностранных монет и монет СССР (13 шт): 10 коп, 2 коп, 1 коп (1974-1986), 10, 5 пфеннигов ФРГ (1983-1994) ;  ;  ; Br, Ni, Cu ; VF ; 15 ; lelik35 ; 15 
 1499 ; 15 копеек ; 1938 ;  ; Ni ; VF+ ; 30 ; vlkorchev ; 43 
 1500 ; 15 копеек ; 1943 ;  ; Ni ; XF+ ; 12 ; Qersej ; 161 
 1501 ; 15 копеек ; 1956 ;  ; Ni ; VF- ; 3 ; lelik35 ; 3 
 1502 ; 3 копейки ; 1935 ;  ; Br ; VF+ ; 15 ; vlkorchev ; 22 
 1503 ; 3 копейки ; 1935 ; л/с звезда фигурная ; Br ; F-VF ; 5 ; papa3 ; 15 
 1504 ; 20 копеек ; 1925 ;  ; Ag ; VF+ ; 6 ; rmiller ; 39 
 1505 ; 50 копеек ; 1981 ;  ; Cu-Ni ; XF+ ; 7 ; ForeverYoung ; 10 
 1506 ; 50 копеек ; 1982 ;  ; Cu-Ni ; VF-XF ; 6 ; ForeverYoung ; 10 
 1507 ; 50 копеек ; 1980 ;  ; Cu-Ni ; VF-XF ; 6 ; ForeverYoung ; 10 
 1508 ; 5 копеек ; 1943 ;  ; Br ; F-VF ; 26 ; bklad ; 30 
 1509 ; 5 копеек ; 1930 ;  ; Br ; VF ; 6 ; tavitrof ; 13 
 1510 ; 5 копеек ; 1957 ; в венке герба 15 лент ; Br ; VF-XF ; 25 ; ForeverYoung ; 32 
 1511 ; 5 копеек ; 1946 ;  ; Br ; F-VF ; 5 ; bklad ; 11 
 1512 ; 5 копеек ; 1956 ;  ; Br ; VF+ ; 5 ; ForeverYoung ; 13 
 1513 ; 5 копеек ; 1946 ;  ; Br ; VF- ; 30 ; ForeverYoung ; 36 
 1514 ; 3 копейки ; 1930 ;  ; Br ; F+ ; 3 ; lelik35 ; 8 
 1515 ; 3 копейки ; 1937 ;  ; Br ; F+ ; 4 ; vlkorchev ; 10 
 1516 ; 3 копейки ; 1949 ;  ; Br ; VF- ; 5 ; obob999 ; 12 
 1517 ; 3 копейки ; 1943 ;  ; Br ; VF- ; 10 ; sandy ; 24 
 1518 ; 3 копейки ; 1949 ;  ; Br ; F-VF ; 4 ; lelik35 ; 10 
 1519 ; 2 копейки ; 1937 ;  ; Br ; VF ; 12 ; lelik35 ; 15 
 1520 ; 1 копейка ; 1949 ;  ; Br ; VF+ ; 5 ; ForeverYoung ; 10 
 1521 ; 1 копейка ; 1953 ;  ; Br ; VF+ ; 5 ; ForeverYoung ; 10 
 1522 ; 20 копеек "50 лет Советской власти" ; 1967 ;  ; Cu-Ni ; VF+ ; 22 ; romchik_80 ; 37 
 1523 ; 10 копеек "50 лет Советской власти" ; 1967 ;  ; Cu-Ni ; VF-XF ; 29 ; romchik_80 ; 57 
 1524 ; 20 копеек ; 1931 ;  ; Ni ; XF ; 22 ; PVA13 ; 110 
 1525 ; 20 копеек ; 1932 ;  ; Ni ; XF- ; 15 ; ForeverYoung ; 28 
 1526 ; 15 копеек ; 1933 ;  ; Ni ; VF ; 31 ; vlkorchev ; 40 
 1527 ; 15 копеек ; 1934 ;  ; Ni ; VF-XF ; 92 ; PVA13 ; 695 
 1528 ; 10 копеек ; 1932 ;  ; Ni ; VF-XF ; 51 ; tavitrof ; 73 
 1529 ; 10 копеек ; 1934 ;  ; Ni ; F+ ; 90 ; PVA13 ; 146 
 1530 ; 15 копеек ; 1936 ;  ; Ni ; VF-XF ; 14 ; Luidor ; 36 
 1531 ; 15 копеек ; 1938 ;  ; Ni ; VF-XF ; 37 ; MICMAC ; 100 
 1532 ; 15 копеек ; 1941 ;  ; Ni ; VF-XF ; 6 ; Qersej ; 183 
 1533 ; 15 копеек ; 1943 ;  ; Ni ; XF- ; 42 ; vladimir232 ; 86 
 1534 ; 15 копеек ; 1944 ;  ; Ni ; VF+ ; 27 ; PVA13 ; 835 
 1535 ; 15 копеек ; 1950 ;  ; Ni ; VF-XF ; 37 ; tavitrof ; 41 
 1536 ; 10 копеек ; 1935 ;  ; Ni ; VF-XF ; 58 ; focus-nik2006 ; 157 
 1537 ; 10 копеек ; 1940 ;  ; Ni ; VF- ; 39 ; vc57 ; 157 
 1538 ; 2 копейки ; 1957 ; в венке герба 15 лент ; Br ; AU ; 31 ; sergfokin ; 173 
 1539 ; 1 копейка ; 1949 ;  ; Br ; AU ; 27 ; rizovtpl ; 144 
 1540 ; 1 копейка ; 1952 ;  ; Br ; AU ; 26 ; да ; 155 
 1541 ; 20 копеек ; 1979 ;  ; Cu-Ni ; AU ; 12 ; Elvin ; 23 
 1542 ; 10 копеек ; 1970 ;  ; Cu-Ni ; VF-XF ; 5 ; sandy ; 15 
 1543 ; 10 копеек ; 1972 ;  ; Cu-Ni ; VF+ ; 4 ; lelik35 ; 9 
 1544 ; 10 копеек ; 1973 ;  ; Cu-Ni ; VF+ ; 5 ; sandy ; 12 
 1545 ; 10 копеек ; 1974 ;  ; Cu-Ni ; VF-XF ; 3 ; 100924 ; 10 
 1446 ; 2 копейки ; 1946 ;  ; Br ; F-VF ; 9 ; natallli ; 10 
 1447 ; 20 копеек ; 1923 ;  ; Ag ; VF ; 49 ; whitedeath ; 101 
 1448 ; 15 копеек ; 1934 ;  ; Ni ; VF+ ; 57 ; Олег33 ; 294 
