 5898 ; Бона иностранная Дания ;  ;  ;  ; AU ; 37 ; Khab27 ; 317 
 2904 ; 1 1/2 евро. Франция. 50 лет Европейский парламент ; 2008 ;  ; Ag ; Proof ; 25 ; Artemon ; 1890 
 2905 ; 10 евро. Австрия. Эгон Шиле ; 2012 ;  ; Ag ; Proof ; 52 ; LEXAI ; 2020 
 2198 ; Лот монет СССР: 20,15,10 коп (4шт) ; 1952-1955 ;  ; Ni ; VF/XF ; 16 ; Ser_doh ; 53 
 2199 ; Лот монет России (28шт): 10,5,2руб. Отечественная война 1812г ; 2012 ;  ;  ; AU ; 21 ; Kostet2008 ; 315 
 2200 ; Лот монет России (6шт): 5 руб,1 руб. Операции ВОВ, графическое изображение рубля ; 2014 ;  ; Cu-Ni ; AU ; 41 ; Jiamer57rus ; 215 
 2201 ; Лот монет СССР: 20,15,10 коп (3шт) ; 1946 ;  ; Ni ; VF ; 30 ; atchaikovski ; 129 
 2202 ; Лот монет Банка России (200 лет победы в Отечественной войне): 10,5,2 руб (28шт) ; 2012 ;  ; St/Ni,St/Лат ; AU ; 22 ; lego ; 379 
 2203 ; Лот монет Банка России: 10 рублей (15шт) ; 1992-1993 ;  ; Cu-Ni ; XF ; 7 ; мон ; 8 
 2204 ; Лот монет СССР: 1 коп (6шт) ; 1951-1956 ;  ; Br ; F/VF ; 21 ; viv1957 ; 317 
 2205 ; Лот монет СССР: 20,15,10 коп (3шт) ; 1936 ;  ; Ni ; VF ; 42 ; мон ; 347 
 2206 ; Лот монет СССР: 1 рубль, 50,20,15,10 копеек (5шт). 50 лет Советской власти ; 1967 ;  ; Cu-Ni ; VF+/XF ; 14 ; Звездолёты ; 162 
 2207 ; Лот монет Банка России: 1,5 копеек (2шт) ; 2014 М ;  ; St/Ni ; AU ; 39 ; nivva ; 57 
 2208 ; Лот монет Банка России (200 лет победы в Отечественной войне): 10,5,2 руб (28шт) ; 2012 ;  ; St/Ni,St/Лат ; AU ; 25 ; se170661 ; 350 
 2209 ; Лот монет Банка России: 10 рублей (3шт) 70 лет победы ; 2015 ;  ; Би/м ; AU ; 12 ; мон ; 90 
 2210 ; Лот монет Банка России: 25 рублей (2шт). Олимпиада в Сочи ; 2012,2014 ;  ; Cu-Ni ; Unc ; 27 ; buratino ; 86 
 2211 ; Лот монет Банка России: 5 копеек (8шт) ; 1998 ;  ; St/Ni ; VF/XF ; 2 ; сr00 ; 33 
 2212 ; Лот монет СССР: 20,15,10 коп (3шт) ; 1932 ;  ; Ni ; VF- ; 18 ; кент ; 102 
 2213 ; Лот монет СССР, Банка России: 1,2,5 коп, 5,10,20,50,100 рублей (21шт) ; 1963-1993 ;  ; Би/м,Cu-Ni,Cu-Z ; F/XF ; 5 ; кент ; 40 
 2214 ; Лот монет СССР: 20,15,10 коп (3шт) ; 1956 ;  ; Ni ; AU ; 27 ; NAG ; 340 
 2215 ; Лот монет CCCР, Банка России: 1,2,50 руб (7шт) ; 1965-1993 ;  ; Cu-Ni,Би/м ; VF/XF ; 13 ; qscsq ; 67 
 2216 ; Лот монет России (10шт): 10 рублей. Юбилейные ; 2011-2015 ;  ; би/м ; AU ; 38 ; yas ; 200 
 2217 ; Лот монет России (10шт): 10 руб. Юбилейные ; 2013-2015 ;  ; St-Lat ; AU ; 45 ; Horta ; 225 
 2218 ; Лот монет Банка России (Гагарин, Пушкин): 2,1 руб (4шт) ; 1999,2001 ;  ; Cu-Ni ; XF/AU ; 39 ; AlexMartSpb ; 567 
 2219 ; Лот монет Банка России: 100 рублей (4шт) ; 1993 ;  ; Cu-Ni-Zn ; VF+/XF ; 15 ; 312 ; 66 
 2220 ; Лот монет России (10шт): 10 руб. Грозный ; 2015 ;  ; St-Lat ; AU ; 47 ; Taras58 ; 357 
 2221 ; Лот монет России (10шт): 5коп,1коп ; 2014 ;  ; St-Ni ; AU ; 44 ; nivva ; 259 
 2222 ; Лот монет Банка России (юбилейные): 2,1 руб (4шт) ; 1999-2001 ;  ; Cu-Ni ; AU ; 27 ; Kostet2008 ; 257 
 2223 ; Лот монет Банка России (Ингушетия): 10 руб (10шт) ; 2014 ;  ; Би/м ; AU ; 16 ; yas ; 175 
 2224 ; Лот монет Банка России (Пензенская обл): 10 руб (10шт) ; 2014 ;  ; Би/м ; AU ; 13 ; yas ; 145 
 2225 ; Лот монет Банка России: 1,5 копеек (2шт) ; 2014 М ;  ; St/Ni ; AU ; 23 ; nivva ; 63 
 2226 ; Лот монет СССР, Банка России: 50 копеек, 5,10,20,50,100 рублей (9шт) ; 1991-1993 ;  ; Cu-Ni,Би/м,ж/м ; VF+/XF ; 35 ; kvl9293 ; 143 
 2227 ; Лот монет Банка России (Соликамск): 10 руб (10шт) ; 2011 ;  ; Би/м ; XF/AU ; 22 ; Horta ; 325 
 2228 ; Лот монет Банка России (Саратовская обл): 10 руб (10шт) ; 2014 ;  ; Би/м ; AU ; 11 ; yas ; 138 
 2229 ; Лот монет СССР: 5 руб (5шт) ; 1991ММД ;  ; Cu-Ni ; VF-XF ; 68 ; мон ; 465 
 2230 ; Лот монет России (3шт): 2руб,1руб,15коп ; 1964-1999 ;  ; Cu-Ni ; VF- ; 5 ; 312 ; 21 
 2231 ; Лот монет России (2шт): 10 рублей. Северная Осетия - Алания. 2 вида гурта ; 2012 ;  ; би/м ; AU ; 22 ; Taras58 ; 404 
 2232 ; Лот монет Банка России: 1,5 копеек (2шт) ; 2014 М ;  ; St/Ni ; AU ; 15 ; val211 ; 69 
 2233 ; Лот монет CCCР: 2 коп (20 шт) ; 1961-1991 ;  ; Cu-Zn ; AU ; 28 ; Valery6776 ; 72 
 2234 ; Лот монет СССР: 3,2,1 коп (84шт) ; 1961-1991 ;  ; Cu-Zn ; F-VF/XF ; 4 ; NAG ; 167 
 2235 ; Лот монет Банка России (Воронежская обл): 10 руб (10шт) ; 2011 ;  ; Би/м ; VG/VF ; 19 ; AlexMartSpb ; 221 
 2236 ; Лот монет России (6шт): 10 рублей. Юбилейные ; 2011-2015 ;  ; ж/м,би/м ; AU ; 13 ; yas ; 133 
 2237 ; Лот монет России (6шт): 10 рублей. Юбилейные ; 2013-2014 ;  ; ж/м,би/м ; AU ; 13 ; Horta ; 164 
 2238 ; Лот монет России (2шт): 10 рублей. Универсиада в Казани ; 2013 ;  ; ж/м ; AU ; 21 ; Taras58 ; 61 
 2239 ; Лот монет России (7шт): 2 рубля. Города-герои ; 2000 ;  ; Cu-Ni/Cu-Zn ; XF+/AU ; 21 ; GORN ; 573 
 2240 ; Лот монет СССР: 3,1,1/2 коп (11шт) ; 1924,1927-1957 ;  ; Cu,Br ; VF ; 23 ; first ; 255 
 2241 ; Лот монет СССР (7шт) ;  ;  ;  ; VF-/XF+ ; 30 ; Odinn ; 93 
 2242 ; Лот монет Банка России (200 лет победы в Отечественной войне): 10,5,2 руб (28шт) ; 2012 ;  ; St/Ni,St/Лат ; AU ; 20 ; lego ; 347 
 2243 ; Лот монет России (3шт): 10 рублей. 70 лет Победы в ВОВ ; 2015 ;  ; би/м ; AU ; 15 ; Taras58 ; 98 
 2244 ; Лот монет Банка России: 1,5 копеек (2шт) ; 2014 М ;  ; St/Ni ; AU ; 22 ; ikrut ; 69 
 2245 ; Лот монет СССР: 3,2 коп (4шт) ; 1953-1953 ;  ; Br ; VF- ; 10 ; Ser_doh ; 41 
 2854 ; 5 долларов. США. М-8,34г ; 1914 ;  ; Au ; VF ; 55 ; vv2805 ; 21225 
 2855 ; Соверен. Великобритания. М-7,75г ; 1826 ;  ; Au ; VF ; 35 ; Rusik ; 20836 
 2148 ; Годовой набор монет СССР: 1 руб, 50,20,15,10,5,3,2,1 коп (9шт) + 2 жетона. Пластиковая упаковка вскрыта ; 1991ЛМД ;  ; 1991ЛМД ; AU ; 42 ; rubakov2007 ; 1548 
 2149 ; Годовой набор монет Банка России: 1,2,5 рублей, 50,10,5,1 коп (7шт). В упаковке ; 1997СПМД ;  ; Cu-Ni,Cu-Ni-St ; AU ; 17 ; valencio ; 3570 
 2150 ; Годовой набор монет Банка России: 1,2,5 рублей, 50,10,5,1 коп (7шт). В упаковке ; 2008СПМД ;  ; Cu-Ni,Cu-Ni-St ; AU ; 26 ; spartak9583 ; 1357 
 2151 ; Годовой набор монет Банка России: 1,2,5 рублей, 50,10,5,1 коп (7шт). В упаковке ; 2008ММД ;  ; Cu-Ni,Cu-Ni-St ; AU ; 26 ; Александр007 ; 1486 
 2152 ; Набор монет Банка России: 10,5,2,1 руб, 50,10 коп(6шт) + жетон. Буклет ; 2011ММД ;  ; Ni/St,Cu-Zn/St ; AU ; 21 ; Александр007 ; 1326 
 2153 ; Набор монет Банка России: 10,5,2,1 руб, 50,10 коп(6шт) + жетон. Буклет ; 2013ММД ;  ; Ni/St,Cu-Zn/St ; AU ; 22 ; Александр007 ; 1303 
 2154 ; Набор монет Банка России: 5,2,1 руб, 50,10 коп(5шт) + жетон. Буклет ; 2013СПМД ;  ; Ni/St,Cu-Zn/St ; AU ; 35 ; Александр007 ; 1326 
 2155 ; Набор монет "Современные монеты России" (8шт): 10,5,2,1руб,50,10,5,1коп. В буклете ; 2014 ;  ;  ; AU ; 9 ; alex-bigsan ; 296 
 2156 ; Лот монет СССР (юбиленые): 1 руб (10шт) ; 1965 ;  ; Cu-Ni ; VF/VF+ ; 28 ; Звездолёты ; 159 
 2157 ; Лот монет СССР (юбиленые): 1 руб (10шт) ; 1970 ;  ; Cu-Ni ; VF/VF+ ; 38 ; Звездолёты ; 114 
 2158 ; Лот монет СССР (юбиленые): 1 руб (10шт) ; 1975 ;  ; Cu-Ni ; VF/VF+ ; 22 ; Звездолёты ; 159 
 2159 ; Лот монет Банка России и СССР:9 типов монет по 5 шт. ; 1991-1993 ;  ; Cu-Ni,Би/м,Cu-Z ; VF/XF+ ; 70 ; kvl9293 ; 257 
 2160 ; Лот монет России (12шт): 10 копеек ; 1923-1927 ;  ; Ag ; F/F-VF ; 31 ; кент ; 1208 
 2161 ; Лот монет России (2шт): 10 рублей. Универсиада в Казани ; 2013 ;  ; ж/м ; AU ; 30 ; Taras58 ; 102 
 2162 ; Лот монет Банка России (Бурятия): 10 руб (10шт) ; 2011 ;  ; Би/м ; AU ; 20 ; AlexMartSpb ; 185 
 2163 ; Лот монет Банка России (Нерехта): 10 руб (10шт) ; 2014 ;  ; Би/м ; AU ; 26 ; AlexMartSpb ; 173 
 2164 ; Лот монет России (3шт): 10 рублей. 70 лет Победы в ВОВ ; 2015 ;  ; би/м ; AU ; 17 ; lego ; 94 
 2165 ; Лот монет Банка России (Ингушетия): 10 руб (20шт) ; 2014 ;  ; Би/м ; AU ; 24 ; AlexMartSpb ; 267 
 2166 ; Лот монет России (6шт): 10 рублей. Юбилейные ; 2011-2015 ;  ; ж/м,би/м ; AU ; 9 ; спартак 30 ; 133 
 2167 ; Лот монет СССР:3,2,1 коп (5шт) ; 1924 ;  ; Cu ; F- ; 29 ; off ; 663 
 2168 ; Лот монет СССР: 20 коп (14шт) ; 1943-1957 ;  ; Ni ; VF ; 69 ; сr00 ; 476 
 2169 ; Лот монет СССР: 20,15,10 коп (33шт) ; 1946-1957 ;  ; Ni ; VF/XF ; 30 ; кент ; 404 
 2170 ; Лот монет Банка России (Северная Осетия-Алания):  10 руб (20шт) ; 2013 ;  ; Би/м ; AU ; 18 ; alehandr ; 275 
 2171 ; Лот монет СССР: 20 коп (10шт) ; 1942-1957 ;  ; Ni ; VF ; 50 ; Юстас ; 272 
 2172 ; Лот монет СССР: 20 коп (10шт) ; 1943-1957 ;  ; Ni ; VF ; 14 ; jugla ; 160 
 2173 ; Лот монет Банка России (ГВС): 10 руб (10шт) ; 2011-2014 ;  ; Лат/St ; XF/AU ; 16 ; Horta ; 159 
 2174 ; Лот монет СССР: 5,3,2 коп (3шт) ; 1930-1938 ;  ; Br ; VF ; 11 ; atchaikovski ; 340 
 2175 ; Лот монет СССР: 20,15,10 коп (11шт) ; 1961-1991 ;  ; Cu-Ni ; VF/AU ; 28 ; Valery6776 ; 51 
 2176 ; Лот монет СССР (14шт): 3коп, 1коп ; 1986-1991 ;  ;  ; AU ; 10 ; Wulf ; 124 
 2177 ; Лот монет России (4шт): 5 рублей ; 1992 ;  ; Cu-Zn ; AU ; 34 ; cr2952 ; 130 
 2178 ; Лот монет СССР (юбилейные и регулярные): 1 руб (8шт) ; 1964-1984 ;  ; Cu-Ni ; VF/VF+ ; 37 ; collector64 ; 276 
 2179 ; Лот монет Банка России (юбилейные): 10 руб (4шт) ; 2000-2002 ;  ; Би/м ; XF ; 28 ; vadimus ; 428 
 2180 ; Лот монет СССР: 5,3,2,1 коп (4шт) ; 1924 ;  ; Cu ; F- ; 17 ; TiBuL ; 224 
 2181 ; Лот монет России (6шт): 20 копеек ; 1923-1928 ;  ; Ag ; F/F-VF ; 29 ; сортам70 ; 448 
 2182 ; Лот монет Банка России: 1,5 копеек (2шт) ; 2014 М ;  ; Ni/St ; AU ; 13 ; жора ; 77 
 2183 ; Лот монет Банка России: 1,5 копеек (2шт) ; 2014 М ;  ; Ni/St ; AU ; 21 ; kostyuksa ; 79 
 2184 ; Лот монет СССР (юбилейные и регулярные): 1 руб,50 коп (7шт) ; 1964-1988 ;  ; Cu-Ni ; VF ; 17 ; Звездолёты ; 168 
 2185 ; Лот монет СССР (3шт): 20,2коп ; 1924-1931 ;  ;  ; F-VF ; 7 ; TiBuL ; 60 
 2186 ; Лот монет СССР: 5,3,2,1 коп (4шт) ; 1924 ;  ; Cu ; F- ; 10 ; TiBuL ; 207 
 2187 ; Лот монет СССР и Банка России: 100,50,10 руб, 15 коп (8шт) ; 1961-1992 ;  ; Cu-Ni,Би/м ; XF/AU ; 48 ; cr2952 ; 204 
 2188 ; Лот монет СССР (2шт): 1 копейка ; 1989 ;  ; Cu-Zn ; AU ; 13 ; Valery6776 ; 20 
 2189 ; Лот монет СССР (10шт): 3коп, 1коп ; 1946-1991 ;  ; Br,Cu-Zn ; VF ; 32 ; sotnik ; 216 
 2190 ; Лот монет Банка России (города-герои): 2 руб (7шт) ; 2000 ;  ; Cu-Ni ; XF ; 39 ; Horta ; 413 
 2191 ; Лот монет Банка России (200 лет победы в Отечественной войне): 10,5,2 руб (28шт) ; 2012 ;  ; St/Ni,St/Лат ; AU ; 13 ; сr00 ; 357 
 2192 ; Лот монет Банка России: 5 копеек (9шт) ; 1997,2001 ;  ; St/Ni ; VF/XF ; 10 ; сr00 ; 22 
 2193 ; Лот монет Банка России: 8шт ; 1992-1993 ;  ; Cu-Ni,Cu-Zn ; VF/XF ; 48 ; kvl9293 ; 83 
 2194 ; Лот монет Банка России: 1,5 копеек (2шт) ; 2014 М ;  ; St/Ni ; AU ; 33 ; nivva ; 59 
 2195 ; Лот монет Банка России (Елец): 10 руб (10шт) ; 2011 ;  ; Би/м ; AU ; 15 ; quick ; 325 
 2196 ; Лот монет России (7шт): 5коп, 3коп ; 1928-1955 ;  ; Br ; F-/F ; 15 ; mityay ; 159 
 2197 ; Лот монет Банка России: 5 копеек (10шт) ; 2000 ;  ; St/Ni ; VF/XF ; 57 ; сr00 ; 90 
 2098 ; 2 рубля. 200 лет Отечественной войне 1812г. Полководцы и герои. Дурова. Буклет ; 2012 ;  ; Ni/St ; Unc ; 7 ; 67 ; 138 
 2099 ; 2 рубля. 200 лет Отечественной войне 1812г. Полководцы и герои. Багратион. Буклет ; 2012 ;  ; Ni/St ; Unc ; 5 ; vad52 ; 134 
 2100 ; 2 рубля. 200 лет Отечественной войне 1812г. Полководцы и герои. Давыдов. Буклет ; 2012 ;  ; Ni/St ; Unc ; 5 ; vad52 ; 134 
 2101 ; 2 рубля. 200 лет Отечественной войне 1812г. Полководцы и герои. Витгенштейн. Буклет ; 2012 ;  ; Ni/St ; Unc ; 5 ; vad52 ; 128 
 2102 ; 2 рубля. 200 лет Отечественной войне 1812г. Полководцы и герои. Раевский. Буклет ; 2012 ;  ; Ni/St ; Unc ; 5 ; vad52 ; 134 
 2103 ; 2 рубля. 200 лет Отечественной войне 1812г. Полководцы и герои. Ермолов. Буклет ; 2012 ;  ; Ni/St ; Unc ; 13 ; vad52 ; 134 
 2104 ; 5 рублей. 70 лет победы. Курская битва. Буклет ; 2014 ;  ; Ni/St ; Unc ; 16 ; vad52 ; 234 
 2105 ; 5 рублей. 70 лет победы. Битва за Ленинград. Буклет ; 2014 ;  ; Ni/St ; Unc ; 11 ; vad52 ; 234 
 2106 ; 5 рублей. 70 лет победы. Операция по освобождению Карелии и Заполярья ; 2014 ;  ; Ni/St ; Unc ; 9 ; vad52 ; 234 
 2107 ; 5 рублей. 70 лет победы. Висло-Одерская операция. Буклет ; 2014 ;  ; Ni/St ; Unc ; 6 ; vad52 ; 234 
 2108 ; 5 рублей. 70 лет победы. Будапештская операция. Буклет ; 2014 ;  ; Ni/St ; Unc ; 6 ; vad52 ; 234 
 2109 ; 10 рублей. ГВС. Вязьма. Буклет ; 2013 ;  ; Лат/St ; Unc ; 9 ; History ; 148 
 2110 ; 10 рублей. ГВС. Кронштадт. Буклет ; 2013 ;  ; Лат/St ; Unc ; 7 ; History ; 139 
 2111 ; 10 рублей. ГВС. Наро-Фоминск. Буклет ; 2013 ;  ; Лат/St ; Unc ; 15 ; History ; 201 
 2112 ; 10 рублей. ГВС. Псков. Буклет ; 2013 ;  ; Лат/St ; Unc ; 5 ; spartak9583 ; 136 
 2113 ; 10 рублей. ГВС. Козельск. Буклет ; 2013 ;  ; Лат/St ; Unc ; 7 ; History ; 148 
 2114 ; 10 рублей. ГВС. Архангельск. Буклет ; 2013 ;  ; Лат/St ; Unc ; 5 ; spartak9583 ; 136 
 2115 ; 10 рублей. ГВС. Волоколамск. Буклет ; 2013 ;  ; Лат/St ; Unc ; 7 ; vad52 ; 135 
 2116 ; 10 рублей. ГВС. Брянск. Буклет ; 2013 ;  ; Лат/St ; Unc ; 7 ; archontbk ; 227 
 2117 ; 10 рублей. ГВС. Нальчик. Буклет ; 2013 ;  ; Лат/St ; Unc ; 6 ; spartak9583 ; 136 
 2118 ; 10 рублей. ГВС. Выборг. Буклет ; 2014 ;  ; Лат/St ; Unc ; 6 ; spartak9583 ; 136 
 2119 ; 10 рублей. ГВС. Старый Оскол. Буклет ; 2014 ;  ; Лат/St ; Unc ; 15 ; vad52 ; 138 
 2120 ; 10 рублей. ГВС. Владивосток. Буклет ; 2014 ;  ; Лат/St ; Unc ; 7 ; spartak9583 ; 136 
 2121 ; 10 рублей. ГВС. Тихвин. Буклет ; 2014 ;  ; Лат/St ; Unc ; 5 ; spartak9583 ; 136 
 2122 ; 10 рублей. ГВС. Тверь. Буклет ; 2014 ;  ; Лат/St ; Unc ; 7 ; spartak9583 ; 136 
 2123 ; 10 рублей. ГВС. Анапа. Буклет ; 2014 ;  ; Лат/St ; Unc ; 5 ; vad52 ; 135 
 2124 ; 10 рублей. ГВС. Воронеж. Буклет ; 2012 ;  ; Лат/St ; AU ; 5 ; spartak9583 ; 136 
 2125 ; 10 рублей. ГВС. Ельня. Буклет ; 2011 ;  ; Лат/St ; AU ; 5 ; vad52 ; 137 
 2126 ; 10 рублей. ГВС. Елец. Буклет ; 2011 ;  ; Лат/St ; AU ; 5 ; archontbk ; 184 
 2127 ; 10 рублей. ГВС. Ржев. Буклет ; 2011 ;  ; Лат/St ; AU ; 5 ; vad52 ; 137 
 2128 ; 10 рублей. ГВС. Малгобек. Буклет ; 2011 ;  ; Лат/St ; AU ; 5 ; vad52 ; 137 
 2129 ; 10 рублей. ГВС. Владикавказ. Буклет ; 2011 ;  ; Лат/St ; AU ; 5 ; vad52 ; 137 
 2130 ; 10 рублей. ГВС. Орел. Буклет ; 2011 ;  ; Лат/St ; AU ; 5 ; vad52 ; 137 
 2131 ; 10 рублей. ГВС. Курск. Буклет ; 2011 ;  ; Лат/St ; AU ; 5 ; vad52 ; 179 
 2132 ; 10 рублей. ГВС. Белгород. Буклет ; 2011 ;  ; Лат/St ; AU ; 15 ; vad52 ; 180 
 2133 ; 10 рублей. ГВС. Архангельск. Буклет ; 2013 ;  ; Лат/St ; AU ; 11 ; vad52 ; 135 
 2134 ; 10 рублей. ГВС. Дмитров. Буклет ; 2012 ;  ; Лат/St ; AU ; 15 ; vad52 ; 135 
 2135 ; 10 рублей. ГВС. Великий Новгород. Буклет ; 2012 ;  ; Лат/St ; AU ; 5 ; archontbk ; 138 
 2136 ; 10 рублей. ГВС. Великие Луки. Буклет ; 2012 ;  ; Лат/St ; AU ; 15 ; spartak9583 ; 136 
 2137 ; 10 рублей. ГВС. Туапсе. Буклет ; 2012 ;  ; Лат/St ; AU ; 10 ; spartak9583 ; 136 
 2138 ; 10 рублей. ГВС. Ростов н/д. Буклет ; 2012 ;  ; Лат/St ; AU ; 8 ; spartak9583 ; 136 
 2139 ; 10 рублей. ГВС. Полярный. Буклет ; 2012 ;  ; Лат/St ; AU ; 9 ; spartak9583 ; 136 
 2140 ; 10 рублей. ГВС. Луга. Буклет ; 2012 ;  ; Лат/St ; AU ; 8 ; vad52 ; 135 
 2141 ; Набор монет СССР (Олимпиада): 1 руб (6шт) ; 1977-1980 ;  ; Cu-Ni ; Unc ; 42 ; cvb ; 1919 
 2142 ; Набор монет СССР (50 лет Советской власти 1967г): 1 руб, 50,20,15,10 коп (5шт) + жетон. Упаковкавласти): 1 руб, 50,20,15,10 коп (5шт) + жетон. Упаковка ; 1967ЛМД ;  ; Cu-Ni,Cu-Zn ; AU ; 27 ; zsefvg ; 2345 
 2143 ; Набор монет СССР (50 лет Советской власти 1967г): 1 руб, 50,20,15,10 коп (5шт) + жетон. Упаковка ; 1967 ;  ; Cu-Zn,Сu-Ni ; AU ; 20 ; круглая Лида ; 1487 
 2144 ; Годовой набор монет СССР: 1 руб, 50,20,15,10,5,3,2,1 коп (9шт) + жетон. Упаковка ; 1988ЛМД ;  ; Cu-Ni,Cu-Zn ; Unc ; 22 ; avig67 ; 1632 
 2145 ; Набор монет СССР: 1 руб, 50,20,10,5,3,2,1 коп (9шт) + жетон. Упаковка ; 1989ЛМД ;  ; Cu-Zn,Сu-Ni ; Unc/AU ; 26 ; History ; 1530 
 2146 ; Набор монет СССР: 1 руб, 50,20,10,5,3,2,1 коп (9шт) + жетон. Упаковка ; 1989ММД ;  ; Cu-Zn,Сu-Ni ; Unc/AU ; 20 ; History ; 1530 
 2147 ; Набор монет СССР: 1 рубль, 50,20,15,10,5,3,2,1 коп (9шт) + Упаковка ; 1990ММД ;  ; Cu-Ni,Cu-Zn ; Unc/AU ; 18 ; rubakov2007 ; 2040 
 2048 ; 1 рубль. Графическое изображение рубля. Альбом ; 2014 ;  ; Ni/St ; AU ; 9 ; Ивпага ; 29 
 2049 ; Набор монет Банка России: 10,50,1,2,5,10 рублей (7шт)+жетон. 50 лет первого полета человека в космос. В буклете ; 2011 ;  ; Ni/St,St/Лат,ж/ ; AU ; 26 ; zsexdr ; 1607 
 2050 ; Набор монет Банка России (55 лет великой победы, города-герои): 10,2 руб (8шт). Пластиковая упаковка ; 2000 ;  ; Cu-Ni,Би/м ; AU ; 25 ; rubakov2007 ; 2601 
 2051 ; Альбом монет Банка России (ГВС): 10 руб (42шт) ; 2010-2014 ;  ; Лат/St ; XF/AU ; 22 ; qscsq ; 714 
 2052 ; Альбом монет Банка России (70 лет победы): 10 руб (3шт) ; 2015 ;  ; Би/м ; AU ; 18 ; ikrut ; 128 
 2053 ; Набор монет "Вхождение в состав РФ республики Крым и города Севастополя" (2шт): 10 рублей ; 2014 ;  ; St/Лат ; AU ; 70 ; spartak9583 ; 114 
 2054 ; 1 рубль. Графическое изображение рубля. Альбом ; 2014 ;  ; Ni/St ; AU ; 15 ; spartak9583 ; 21 
 2055 ; 25 рублей. Сочи-2014. Буклет ; 2014 ;  ; Cu-Ni ; Unc ; 17 ; ooooo1961 ; 717 
 2056 ; 25 рублей. Сочи-2014. Буклет ; 2013 ;  ; Cu-Ni ; Unc ; 25 ; ooooo1961 ; 803 
 2057 ; 25 рублей. Сочи-2014. Буклет ; 2012 ;  ; Cu-Ni ; Unc ; 21 ; TaraskaPeter ; 765 
 2058 ; 25 рублей. Сочи-2014. Буклет ; 2011 ;  ; Cu-Ni ; Unc ; 39 ; ooooo1961 ; 843 
 2059 ; Лот монет Банка России: 10 рублей Севастополь+ жетон. Буклет ; 2014 ;  ; Лат/St ; AU ; 21 ; spartak9583 ; 489 
 2060 ; Лот монет Банка России: 10 рублей Республика Крым+ жетон. Буклет ; 2014 ;  ; Лат/St ; AU ; 35 ; spartak9583 ; 489 
 2061 ; 10 рублей. 1150 лет РГ. Буклет ; 2012 ;  ; Ni/St ; AU ; 27 ; вмонетав ; 258 
 2062 ; 5 рублей. 200 лет Отечественной войне. Бородинское сражение. Буклет ; 2012 ;  ; Ni/St ; AU ; 20 ; archontbk ; 219 
 2063 ; 5 рублей. 200 лет Отечественной войне. Сражение при Березине. Буклет ; 2012 ;  ; Ni/St ; AU ; 40 ; spartak9583 ; 132 
 2064 ; 5 рублей. 200 лет Отечественной войне. Смоленское сражение. Буклет ; 2012 ;  ; Ni/St ; AU ; 20 ; Во все тяжкие ; 143 
 2065 ; 5 рублей. 200 лет Отечественной войне. Лейпцигское Сражение. Буклет ; 2012 ;  ; Ni/St ; AU ; 8 ; spartak9583 ; 140 
 2066 ; 5 рублей. 200 лет Отечественной войне. Малоярославецкое сражение. Буклет ; 2012 ;  ; Ni/St ; AU ; 8 ; spartak9583 ; 140 
 2067 ; 5 рублей. 200 лет Отечественной войне. Сражение у Кульма. Буклет ; 2012 ;  ; Ni/St ; AU ; 8 ; spartak9583 ; 140 
 2068 ; 5 рублей. 200 лет Отечественной войне. Тарутинское сражение. Буклет ; 2012 ;  ; Ni/St ; AU ; 8 ; spartak9583 ; 140 
 2069 ; 5 рублей. 200 лет Отечественной войне. Взятие Парижа. Буклет ; 2012 ;  ; Ni/St ; AU ; 9 ; феникс55 ; 143 
 2070 ; 5 рублей. 200 лет Отечественной войне. Бой при Вязьме. Буклет ; 2012 ;  ; Ni/St ; AU ; 9 ; spartak9583 ; 140 
 2071 ; 5 рублей. 200 лет Отечественной войне. Сражение при Красном. Буклет ; 2012 ;  ; Ni/St ; AU ; 8 ; spartak9583 ; 140 
 2072 ; 1 рубль. 10 лет СНГ. Буклет ; 2001 ;  ; Cu-Ni ; AU ; 72 ; molodes ; 439 
 2073 ; 1 рубль. Пушкин. Буклет ; 1999 ;  ; Cu-Ni ; AU ; 60 ; coins77 ; 947 
 2074 ; 10 рублей. 50 лет первого полета человека в космос. Буклет ; 2011 ;  ; Лат/St ; AU ; 25 ; Гарыныч ; 227 
 2075 ; 10 рублей. 20 лет конституции. Буклет ; 2013 ;  ; Лат/St ; AU ; 17 ; вмонетав ; 237 
 2076 ; 5 рублей. 70 лет победы. Венская операция. Буклет ; 2014 ;  ; Ni/St ; Unc ; 35 ; spartak9583 ; 235 
 2077 ; 5 рублей. 70 лет победы. Белорусская операция. Буклет ; 2014 ;  ; Ni/St ; Unc ; 63 ; spartak9583 ; 236 
 2078 ; 5 рублей. 70 лет победы. Пражская операция. Буклет ; 2014 ;  ; Ni/St ; Unc ; 72 ; spartak9583 ; 235 
 2079 ; 5 рублей. 70 лет победы. Днепровско-Карпатская операция. Буклет ; 2014 ;  ; Ni/St ; Unc ; 23 ; vad52 ; 234 
 2080 ; 5 рублей. 70 лет победы. Сталинградская битва. Буклет ; 2014 ;  ; Ni/St ; Unc ; 48 ; vad52 ; 229 
 2081 ; 5 рублей. 70 лет победы. Японско-Кишеневская операция. Буклет ; 2014 ;  ; Ni/St ; Unc ; 19 ; vad52 ; 234 
