 5647 ; Конверт со спецгашением Гренландия ; 2001 ;  ;  ;  ; 11 ; dizdigator ; 101 
 2754 ; 10 копеек ; 1980 ;  ; Cu-Ni ; AU ; 4 ; А.А.Д ; 22 
 2755 ; 10 копеек ; 1985 ;  ; Cu-Ni ; AU ; 7 ; arevera ; 32 
 2756 ; 10 копеек ; 1962 ;  ; Cu-Ni ; AU ; 61 ; Гарыныч ; 363 
 2757 ; 10 копеек ; 1981 ;  ; Cu-Ni ; AU ; 17 ; мак-сим ; 216 
 2758 ; 10 копеек ; 1969 ;  ; Cu-Ni ; XF ; 9 ; нв1975 ; 53 
 2759 ; 10 копеек ; 1984 ;  ; Cu-Ni ; AU ; 5 ; Александр007 ; 35 
 2760 ; 10 копеек ; 1982 ;  ; Cu-Ni ; AU ; 3 ; диман ; 16 
 2761 ; 10 копеек ; 1970 ;  ; Cu-Ni ; AU ; 13 ; Allex 73 ; 134 
 2762 ; 5 копеек ; 1930 ;  ; Br ; F-VF ; 24 ; kadgeo ; 89 
 2763 ; 5 копеек ; 1983 ;  ; Cu-Zn ; AU ; 25 ; николаич ; 153 
 2764 ; 3 копейки ; 1926 ;  ; Br ; F ; 17 ; Esaul M ; 156 
 2765 ; 5 копеек ; 1948 ;  ; Br ; F+ ; 31 ; dragun ; 155 
 2766 ; 3 копейки ; 1934 ;  ; Br ; F ; 17 ; Turist33 ; 104 
 2767 ; 1 копейка ; 1940 ;  ; Br ; XF+/AU ; 8 ; Ms ; 34 
 2768 ; 1 копейка ; 1940 ;  ; Br ; AU ; 18 ; Московский ; 153 
 2769 ; 1 копейка ; 1940 ;  ; Br ; XF+ ; 8 ; Ms ; 47 
 2770 ; 1 копейка ; 1940 ;  ; Br ; AU ; 21 ; heavy_fly ; 181 
 2771 ; 1 копейка ; 1940 ;  ; Br ; AU ; 19 ; 2250 ; 203 
 2772 ; 2 копейки ; 1961 ;  ; Cu-Zn ; VF+ ; 14 ; ЭстетК ; 50 
 2773 ; 2 копейки ; 1962 ;  ; Cu-Zn ; XF ; 7 ; Александр-78 ; 71 
 2774 ; 2 копейки ; 1963 ;  ; Cu-Zn ; XF- ; 19 ; А.А.Д ; 41 
 2775 ; 2 копейки ; 1926 ;  ; Br ; VF ; 18 ; ialaiola ; 42 
 2676 ; 1 рубль ; 1985 ; Фестиваль молодежи и студентов в Москве ; Cu-Ni ; XF- ; 8 ; lenskij1837 ; 46 
 2677 ; 1 рубль ; 1985 ; 40 лет Победы над Германией ; Cu-Ni ; AU ; 7 ; Александр-78 ; 73 
 2678 ; 1 рубль ; 1985 ; Фестиваль молодежи и студентов в Москве ; Cu-Ni ; XF+ ; 5 ; Александр-78 ; 53 
 2679 ; 5 рублей ; 1988 ; Софийский собор в Киеве ; Cu-Ni ; XF+ ; 7 ; iustas ; 236 
 2680 ; 1 рубль ; 1985 ; Фестиваль молодежи и студентов в Москве ; Cu-Ni ; XF+ ; 5 ; Александр-78 ; 55 
 2681 ; 5 рублей ; 1987 ; 70 лет Октябрьской революции ; Cu-Ni ; XF+ ; 35 ; Vasilyi9 ; 1845 
 2682 ; 3 рубля ; 1987 ; 70 лет Октябрьской революции ; Cu-Ni ; AU ; 5 ; kadgeo ; 200 
 2683 ; 3 рубля ; 1989 ; Землетрясение в Армении ; Cu-Ni ; AU ; 4 ; Александр-78 ; 105 
 2684 ; 5 рублей ; 1989 ; Благовещенский собор в Москве ; Cu-Ni ; AU ; 7 ; seabear69 ; 257 
 2685 ; 5 рублей ; 1991 ; Здание Госбанка СССР в Москве ; Cu-Ni ; AU ; 3 ; se170661 ; 128 
 2686 ; 5 рублей ; 1988 ; Софийский собор в Киеве ; Cu-Ni ; XF+ ; 13 ; se170661 ; 206 
 2687 ; 5 рублей ; 1988 ; Памятник в Новгороде "Тысячелетие России" ; Cu-Ni ; XF+ ; 17 ; rodric ; 226 
 2688 ; 5 рублей ; 1988 ; Памятник Петру I в Ленинграде ; Cu-Ni ; AU ; 13 ; kop ; 255 
 2689 ; 5 рублей ; 1990 ; Матенадаран.Ереван ; Cu-Ni ; AU ; 3 ; Александр-78 ; 134 
 2690 ; 1 рубль ; 1982 ; 60 лет образования СССР ; Cu-Ni ; AU ; 26 ; папашаГарпагон ; 369 
 2691 ; 1 рубль ; 1981 ; 20 лет полета в космос Ю.Гагарина ; Cu-Ni ; XF ; 5 ; kris78 ; 87 
 2692 ; 1 рубль ; 1980 ; Олимпиада 80. Олимпийский факел ; Cu-Ni ; AU ; 5 ; rodric ; 108 
 2693 ; 1 рубль ; 1985 ; Фестиваль молодежи и студентов в Москве ; Cu-Ni ; AU ; 5 ; Александр-78 ; 35 
 2694 ; 1 рубль ; 1983 ; 165 лет со дня рождения К.Маркса ; Cu-Ni ; AU ; 12 ; Vasilyi9 ; 247 
 2695 ; 1 рубль ; 1977 ; Олимпиада 80.Эмблема Олимпийских игр ; Cu-Ni ; XF+ ; 9 ; Александр-78 ; 47 
 2696 ; 1 рубль ; 1975 ; 30 лет Победы в войне 1941-1945 ; Cu-Ni ; XF ; 5 ; Александр-78 ; 28 
 2697 ; 1 рубль ; 1980 ; Олимпиада 80.Здание Моссовета ; Cu-Ni ; AU ; 3 ; Александр-78 ; 77 
 2698 ; 1 рубль ; 1983 ; 400 лет со дня смерти И.Федорова 1510-1583 ; Cu-Ni ; AU ; 10 ; rodric ; 226 
 2699 ; 1 рубль ; 1979 ; Олимпиада 80.Здание МГУ ; Cu-Ni ; XF+ ; 13 ; Александр-78 ; 78 
 2700 ; 1 рубль ; 1987 ; 70 лет Октябрьской революции ; Cu-Ni ; AU ; 7 ; Александр-78 ; 58 
 2701 ; 1 рубль ; 1984 ; 125 лет со дня рождения А.С.Попова ; Cu-Ni ; AU ; 17 ; rodric ; 279 
 2702 ; 1 рубль ; 1987 ; 175 лет Бородино (барельеф) ; Cu-Ni ; AU ; 7 ; VVX ; 57 
 2703 ; 1 рубль ; 1983 ; 20 лет полета в космос В.Терешковой ; Cu-Ni ; AU ; 11 ; Антон Семенович ; 269 
 2704 ; 1 рубль ; 1989 ; 100 лет со дня смерти Эминеску ; Cu-Ni ; AU ; 8 ; rodric ; 156 
 2705 ; 5 рублей. В капсуле PCGS Proof 68 ; 1990 ; Успенский собор в Москве ; Cu-Ni ;  ; 28 ; Lafeto55 ; 869 
 2706 ; 5 рублей. В капсуле PCGS Proof 69 ; 1988 ; Памятник в Новгороде "Тысячелетие России" ; Cu-Ni ;  ; 19 ; za-via ; 1019 
 2707 ; 1 рубль В капсуле PCGS Proof 68 ; 1990 ; 125 лет со дня рождения Я.Райниса ; Cu-Ni ;  ; 28 ; za-via ; 928 
 2708 ; 1 рубль В капсуле PCGS Proof 68 ; 1990 ; Маршал СССР Г.К.Жуков ; Cu-Ni ;  ; 18 ; za-via ; 903 
 2709 ; 1 рубль В капсуле PCGS Proof 68 ; 1987 ; 175 лет Бородино (барельеф) ; Cu-Ni ;  ; 16 ; Lafeto55 ; 663 
 2710 ; 3 рубля. В капсуле PCGS Proof 68 ; 1992 ; Международный год космоса ; Cu-Ni ;  ; 16 ; za-via ; 964 
 2711 ; 3 рубля. В капсуле PCGS Proof 68 ; 1992 ; "19-21 августа" ; Cu-Ni ;  ; 14 ; Wulf ; 1241 
 2712 ; 3 рубля. В капсуле PCGS Proof 68 ; 1992 ; "Северный конвой" ; Cu-Ni ;  ; 14 ; Wulf ; 1148 
 2713 ; 25 рублей. Сочи-2014. Упаковка ; 2014 ;  ; Cu-Ni ; Unc ; 6 ; ДУНКАН МАКЛАУД ; 32 
 2714 ; 25 рублей. Сочи-2014. Упаковка ; 2014 ;  ; Cu-Ni ; Unc ; 12 ; Shurmon ; 50 
 2715 ; 25 рублей. Сочи-2014. Упаковка ; 2014 ;  ; Cu-Ni ; Unc ; 5 ; Александр-78 ; 28 
 2716 ; 1 рубль ; 1984 ; 185 лет со дня рождения А.С.Пушкина ; Cu-Ni ; AU ; 15 ; spsmaalex ; 257 
 2717 ; 1 рубль ; 1979 ; Олимпиада 80.Обелиск покорителям космоса ; Cu-Ni ; AU ; 30 ; Александр-78 ; 107 
 2718 ; 1 рубль ; 1980 ; Олимпиада 80.Олимпийский факел ; Cu-Ni ; AU ; 5 ; se170661 ; 128 
 2719 ; 1 копейка ; 1988 ;  ; Cu-Zn ; XF ; 5 ; А.А.Д ; 16 
 2720 ; 50 копеек. 50 лет Советской власти ; 1967 ;  ; Сu-Ni ; XF ; 16 ; flutter ; 93 
 2721 ; 2 копейки ; 1940 ;  ; Br ; VF ; 10 ; hemiechinus ; 69 
 2722 ; 10 копеек ; 1932 ;  ; Ni ; F ; 5 ; инструктор ; 14 
 2723 ; 2 копейки ; 1932 ;  ; Br ; F ; 7 ; cr2952 ; 32 
 2724 ; 10 копеек. Брак чеканки ; 1989 ;  ; Cu-Ni ; VF ; 10 ; kris78 ; 102 
 2725 ; 1 рубль ; 1989 ;  ; Cu-Ni ; XF+ ; 8 ; SSA ; 144 
 2626 ; 1 рубль. Упаковка нарушена ; 1977 ; Олимпиада 80.Эмблема Олимпийских игр ; Cu-Ni ; AU ; 5 ; heavy_fly ; 206 
 2627 ; 1 рубль. Упаковка ; 1992 ; 110 лет со дня рождения Я.Купалы ; Cu-Ni ; Proof ; 18 ; S.A.I. ; 527 
 2628 ; 1 рубль. Упаковка ; 1992 ; 190 лет со дня рождения П.С.Нахимова ; Cu-Ni ; Proof ; 16 ; Energo ; 604 
 2629 ; 1 рубль. Упаковка нарушена ; 1977 ; Олимпиада 80.Эмблема Олимпийских игр ; Cu-Ni ; AU ; 4 ; Wulf ; 128 
 2630 ; 1 рубль. Новодел ; 1981 ; Дружба навеки ; Cu-Ni ; Proof ; 30 ; Shurmon ; 860 
 2631 ; 5 рублей ; 1989 ; Собор Покрова на рву в Москве ; Cu-Ni ; AU ; 27 ; se170661 ; 251 
 2632 ; 5 рублей ; 1990 ; Матенадаран.Ереван ; Cu-Ni ; AU ; 26 ; kris78 ; 155 
 2633 ; 1 рубль ; 1991 ; 850 лет со дня рождения Низами Гянджеви ; Cu-Ni ; Proof ; 3 ; Александр-78 ; 114 
 2634 ; 5 рублей ; 1990 ; Успенский собор в Москве ; Cu-Ni ; AU ; 18 ; rodric ; 133 
 2635 ; 5 рублей ; 1991 ; Памятник Давиду Сасунскому в Ереване ; Cu-Ni ; AU ; 22 ; Александр-78 ; 151 
 2636 ; 5 рублей ; 1991 ; Здание Госбанка СССР в Москве ; Cu-Ni ; XF+ ; 19 ; se170661 ; 131 
 2637 ; 1 рубль ; 1977 ; Олимпиада 80.Эмблема Олимпийских игр ; Cu-Ni ; XF- ; 15 ; Александр-78 ; 45 
 2638 ; 1 рубль ; 1980 ; Олимпиада 80.Олимпийский факел ; Cu-Ni ; XF ; 17 ; se170661 ; 113 
 2639 ; 3 рубля ; 1989 ; Землетрясение в Армении ; Cu-Ni ; XF+ ; 19 ; rodric ; 123 
 2640 ; 1 рубль ; 1992 ; 190 лет со дня рождения П.С.Нахимова ; Cu-Ni ; Proof ; 36 ; циркус ; 431 
 2641 ; 1 рубль ; 1991 ; 550 лет со дня рождения А.Навои ; Cu-Ni ; XF+ ; 18 ; Александр-78 ; 90 
 2642 ; 5 рублей ; 1991 ; Архангельский собор в Москве ; Cu-Ni ; XF+ ; 16 ; hemiechinus ; 134 
 2643 ; 5 рублей ; 1990 ; Большой дворец в Петродворце ; Cu-Ni ; AU ; 18 ; rudius ; 134 
 2644 ; 3 рубля ; 1991 ; 50 лет победы под Москвой ; Cu-Ni ; XF+ ; 27 ; se170661 ; 171 
 2645 ; 1 рубль ; 1981 ; 20 лет полета в космос Ю.Гагарина ; Cu-Ni ; AU ; 20 ; Александр-78 ; 125 
 2646 ; 1 рубль ; 1991 ; 850 лет со дня рождения Низами Гянджеви ; Cu-Ni ; AU ; 21 ; Александр-78 ; 85 
 2647 ; 5 рублей ; 1989 ; Благовещенский собор в Москве ; Cu-Ni ; AU ; 9 ; seabear69 ; 283 
 2648 ; 1 рубль ; 1985 ; 40 лет Победы над Германией ; Cu-Ni ; AU ; 3 ; Александр-78 ; 34 
 2649 ; 1 рубль ; 1979 ; Олимпиада 80.Здание МГУ ; Cu-Ni ; XF ; 9 ; kris78 ; 77 
 2650 ; 5 рублей ; 1988 ; Софийский собор в Киеве ; Cu-Ni ; XF+ ; 12 ; rodric ; 226 
 2651 ; 5 рублей ; 1988 ; Памятник Петру I в Ленинграде ; Cu-Ni ; AU ; 16 ; lexx9000 ; 291 
 2652 ; 5 рублей ; 1990 ; Большой дворец в Петродворце ; Cu-Ni ; AU ; 7 ; Александр-78 ; 144 
 2653 ; 1 рубль ; 1985 ; 40 лет Победы над Германией ; Cu-Ni ; XF ; 7 ; Александр-78 ; 63 
 2654 ; 1 рубль ; 1985 ; 165 лет со дня рождения Ф.Энгельса ; Cu-Ni ; AU ; 11 ; Vasilyi9 ; 236 
 2655 ; 1 рубль ; 1988 ; 120 лет со дня рождения А.М.Горького ; Cu-Ni ; XF ; 22 ; Александр-78 ; 73 
 2656 ; 1 рубль ; 1989 ; 100 лет со дня рождения Ниязи ; Cu-Ni ; AU ; 26 ; rodric ; 185 
 2657 ; 1 рубль ; 1989 ; 175 лет со дня рождения Т.Г.Шевченко ; Cu-Ni ; XF ; 22 ; Александр-78 ; 73 
 2658 ; 1 рубль ; 1980 ; Олимпиада 80.Здание Моссовета ; Cu-Ni ; XF ; 12 ; Александр-78 ; 78 
 2659 ; 1 рубль ; 1977 ; 60 лет Советской власти ; Cu-Ni ; XF ; 12 ; Александр-78 ; 72 
 2660 ; 1 рубль ; 1987 ; 70 лет Октябрьской революции ; Cu-Ni ; AU ; 12 ; Александр-78 ; 73 
 2661 ; 1 рубль ; 1984 ; 150 лет со дня рождения Д.И.Менделеева ; Cu-Ni ; AU ; 17 ; Матроскин ; 222 
 2662 ; 1 рубль ; 1985 ; 40 лет Победы над Германией ; Cu-Ni ; AU ; 15 ; Александр-78 ; 79 
 2663 ; 1 рубль ; 1975 ; 30 лет Победы в войне 1941-1945 ; Cu-Ni ; XF ; 7 ; Александр-78 ; 34 
 2664 ; 1 рубль ; 1987 ; 175 лет Бородино (барельеф) ; Cu-Ni ; AU ; 11 ; Александр-78 ; 55 
 2665 ; 1 рубль ; 1991 ; 100 лет со дня рождения С.Прокофьева ; Cu-Ni ; AU ; 17 ; Александр-78 ; 94 
 2666 ; 1 рубль ; 1986 ; Международный год мира ; Cu-Ni ; AU ; 22 ; Александр-78 ; 77 
 2667 ; 1 рубль ; 1987 ; 175 лет Бородино (обелиск) ; Cu-Ni ; AU ; 16 ; rodric ; 79 
 2668 ; 1 рубль ; 1990 ; 130 лет со дня рождения А.П.Чехова ; Cu-Ni ; AU ; 16 ; Александр-78 ; 73 
 2669 ; 1 рубль ; 1990 ; 125 лет со дня рождения Я.Райниса ; Cu-Ni ; XF+ ; 16 ; Александр-78 ; 73 
 2670 ; 1 рубль ; 1991 ; 125 лет со дня рождения П.Н.Лебедева ; Cu-Ni ; AU ; 18 ; Александр-78 ; 73 
 2671 ; 5 рублей ; 1991 ; Здание Госбанка СССР в Москве ; Cu-Ni ; XF ; 5 ; se170661 ; 128 
 2672 ; 1 рубль ; 1988 ; 160 лет со дня рождения А.Н.Толстого ; Cu-Ni ; AU ; 3 ; Александр-78 ; 73 
 2673 ; 1 рубль ; 1982 ; 60 лет образования СССР ; Cu-Ni ; XF ; 33 ; Vasilyi9 ; 330 
 2674 ; 5 рублей ; 1990 ; Матенадаран.Ереван ; Cu-Ni ; AU ; 3 ; Александр-78 ; 134 
 2675 ; 1 рубль ; 1983 ; 165 лет со дня рождения К.Маркса ; Cu-Ni ; AU ; 11 ; rodric ; 249 
 2576 ; 1 рубль ; 1990 ; 130 лет со дня рождения А.П.Чехова ; Cu-Ni ; AU ; 3 ; тяга ; 77 
 2577 ; 3 рубля. Упаковка нарушена ; 1993 ; 50 лет победы в Сталинградской битве ; Cu-Ni ; Proof ; 39 ; RAMA ; 341 
 2578 ; 1 рубль ; 1989 ; 175 лет со дня рождения Т.Г.Шевченко ; Cu-Ni ; Proof ; 5 ; rusin ; 121 
 2579 ; 1 рубль ; 1991 ; 550 лет со дня рождения А.Навои ; Cu-Ni ; AU ; 5 ; rodric ; 102 
 2580 ; 3 рубля ; 1992 ; 750 лет победы А.Невского ; Cu-Ni ; Proof ; 19 ; МММ ; 311 
 2581 ; 1 рубль ; 1985 ; Фестиваль молодежи и студентов в Москве ; Cu-Ni ; AU ; 7 ; А.А.Д ; 57 
 2582 ; 1 рубль ; 1986 ; Международный год мира ; Cu-Ni ; AU ; 10 ; kris78 ; 77 
 2583 ; 1 рубль ; 1986 ; Международный год мира.В рубле Л в виде шалаша. ; Cu-Ni ; AU ; 27 ; official ; 906 
 2584 ; 1 рубль. Упаковка нарушена ; 1970 ; 100 лет со дня рождения В.И.Ленина ; Cu-Ni ; AU ; 23 ; Energo ; 1500 
 2585 ; 1 рубль. Упаковка ; 1977 ; Олимпиада 80.Эмблема Олимпийских игр ; Cu-Ni ; AU ; 8 ; ssss ; 206 
 2586 ; 1 рубль. Упаковка нарушена ; 1980 ; Олимпиада 80.Олимпийский факел ; Cu-Ni ; AU ; 12 ; вавилон ; 139 
 2587 ; 1 рубль. Упаковка нарушена ; 1978 ; Олимпиада 80.Московский Кремль ; Cu-Ni ; AU ; 3 ; 3434-1 ; 77 
 2588 ; 1 рубль ; 1978 ; Олимпиада 80.Московский Кремль ; Cu-Ni ; AU ; 3 ; 3434-1 ; 77 
 2589 ; 1 рубль. Упаковка ; 1979 ; Олимпиада 80.Обелиск покорителям космоса ; Cu-Ni ; AU ; 19 ; ssss ; 357 
 2590 ; 1 рубль. Упаковка ; 1979 ; Олимпиада 80.Здание МГУ ; Cu-Ni ; AU ; 7 ; GemUnc ; 108 
 2591 ; 1 рубль. Упаковка ; 1981 ; 20 лет полета в космос Ю.Гагарина ; Cu-Ni ; AU ; 19 ; Energo ; 469 
 2592 ; 1 рубль. Упаковка ; 1980 ; Олимпиада 80.Здание Моссовета ; Cu-Ni ; AU ; 5 ; mih ; 123 
 2593 ; 1 рубль. Упаковка ; 1983 ; 20 лет полета в космос В.Терешковой ; Cu-Ni ; Proof ; 13 ; Кривой 14 ; 1204 
 2594 ; 1 рубль ; 1989 ; 175 лет со дня рождения Т.Г.Шевченко ; Cu-Ni ; Proof ; 11 ; Александр-78 ; 125 
 2595 ; 1 рубль ; 1989 ; 175 лет со дня рождения Т.Г.Шевченко ; Cu-Ni ; Proof ; 6 ; viv007 ; 123 
 2596 ; 1 рубль ; 1989 ; 175 лет со дня рождения Т.Г.Шевченко ; Cu-Ni ; AU ; 3 ; Александр-78 ; 72 
 2597 ; 1 рубль ; 1991 ; 101 год со дня рождения К.В.Иванова ; Cu-Ni ; AU ; 3 ; Александр-78 ; 72 
 2598 ; 1 рубль ; 1991 ; 101 год со дня рождения К.В.Иванова ; Cu-Ni ; Proof ; 9 ; Shurmon ; 163 
 2599 ; 1 рубль ; 1991 ; 101 год со дня рождения К.В.Иванова ; Cu-Ni ; Proof ; 5 ; профи17 ; 160 
 2600 ; 1 рубль. Упаковка ; 1983 ; 165 лет со дня рождения К.Маркса ; Cu-Ni ; Proof ; 16 ; sotnik ; 765 
 2601 ; 1 рубль. Упаковка ; 1983 ; 165 лет со дня рождения К.Маркса ; Cu-Ni ; Proof ; 15 ; Energo ; 684 
 2602 ; 1 рубль. Упаковка ; 1985 ; 165 лет со дня рождения Ф.Энгельса ; Cu-Ni ; Proof ; 12 ; Energo ; 1536 
 2603 ; 1 рубль. Упаковка ; 1993 ; 100 лет со дня рождения К.Л.Тимирязева ; Cu-Ni ; Proof ; 16 ; CMSpb ; 1134 
 2604 ; 1 рубль. Упаковка ; 1993 ; 100 лет со дня рождения К.Л.Тимирязева ; Cu-Ni ; Proof ; 29 ; Кривой 14 ; 930 
 2605 ; 1 рубль. Упаковка нарушена ; 1992 ; 200 лет со дня рождения Н.И.Лобачевского ; Cu-Ni ; Proof ; 27 ; Lafeto55 ; 506 
 2606 ; 1 рубль ; 1992 ; 200 лет со дня рождения Н.И.Лобачевского ; Cu-Ni ; Proof ; 38 ; z_andy ; 429 
 2607 ; 1 рубль ; 1992 ; 200 лет со дня рождения Н.И.Лобачевского ; Cu-Ni ; Proof ; 22 ; RAMA ; 419 
 2608 ; 1 рубль ; 1992 ; "Суверенитет, демократия, возрождение" ; Cu-Ni ; Proof ; 30 ; циркус ; 581 
 2609 ; 1 рубль ; 1991 ; Олимпиада в Барселоне.Борьба ; Cu-Ni ; Proof ; 35 ; demodex ; 873 
 2610 ; 1 рубль ; 1981 ; 20 лет полета в космос Ю.Гагарина ; Cu-Ni ; XF+ ; 15 ; kris78 ; 91 
 2611 ; 1 рубль ; 1991 ; Олимпиада в Барселоне.Велосипед ; Cu-Ni ; Proof ; 61 ; циркус ; 1813 
 2612 ; 1 рубль ; 1991 ; Олимпиада в Барселоне.Метание копья ; Cu-Ni ; Proof ; 74 ; nikolay ; 1810 
 2613 ; 1 рубль ; 1991 ; Олимпиада в Барселоне.Метание копья ; Cu-Ni ; Proof ; 46 ; pvv50 ; 1311 
 2614 ; 1 рубль ; 1992 ; "Суверенитет, демократия, возрождение" ; Cu-Ni ; AU ; 17 ; CMSpb ; 665 
 2615 ; 1 рубль ; 1991 ; Олимпиада в Барселоне.Борьба ; Cu-Ni ; Proof ; 62 ; Museum_54 ; 960 
 2616 ; 1 рубль ; 1991 ; Олимпиада в Барселоне.Штанга ; Cu-Ni ; Proof ; 80 ; сортам70 ; 1079 
 2617 ; 1 рубль. Упаковка ; 1977 ; Олимпиада 80.Эмблема Олимпийских игр ; Cu-Ni ; AU ; 10 ; Wulf ; 73 
 2618 ; 1 рубль ; 1991 ; Олимпиада в Барселоне.Велосипед ; Cu-Ni ; Proof ; 93 ; z_andy ; 1769 
 2619 ; 1 рубль ; 1991 ; Олимпиада в Барселоне.Штанга ; Cu-Ni ; Proof ; 55 ; kop ; 1019 
 2620 ; 1 рубль ; 1989 ; 175 лет со дня рождения Т.Г.Шевченко ; Cu-Ni ; Proof ; 7 ; Александр-78 ; 124 
 2621 ; 1 рубль. Упаковка ; 1993 ; 130 лет со дня рождения В.И.Вернадского ; Cu-Ni ; AU ; 19 ; SuperLex ; 342 
 2622 ; 1 рубль ; 1993 ; 130 лет со дня рождения В.И.Вернадского ; Cu-Ni ; AU ; 10 ; RAMA ; 325 
 2623 ; 1 рубль ; 1992 ; 190 лет со дня рождения П.С.Нахимова ; Cu-Ni ; Proof ; 32 ; RAMA ; 429 
 2624 ; 1 рубль ; 1990 ; Маршал СССР Г.К.Жуков ; Cu-Ni ; Proof ; 18 ; buben ; 250 
 2625 ; 1 рубль. Упаковка ; 1977 ; Олимпиада 80.Эмблема Олимпийских игр ; Cu-Ni ; AU ; 15 ; mih ; 350 
 2526 ; 5 рублей. Упаковка ; 1988 ; Софийский собор в Киеве ; Cu-Ni ; Proof ; 6 ; Shurmon ; 235 
 2527 ; 1 рубль. Упаковка ; 1991 ; 125 лет со дня рождения П.Н.Лебедева ; Cu-Ni ; Unc ; 7 ; tpls ; 214 
 2528 ; 5 рублей. Упаковка ; 1990 ; Успенский собор в Москве ; Cu-Ni ; Unc ; 8 ; tpls ; 184 
 2529 ; 5 рублей. Упаковка ; 1991 ; Архангельский собор в Москве ; Cu-Ni ; Proof ; 9 ; Energo ; 184 
 2530 ; 5 рублей. Упаковка ; 1991 ; Архангельский собор в Москве ; Cu-Ni ; Proof ; 13 ; Energo ; 206 
 2531 ; 1 рубль. Упаковка ; 1991 ; 850 лет со дня рождения Низами Гянджеви ; Cu-Ni ; Unc ; 16 ; Energo ; 485 
 2532 ; 5 рублей. Упаковка ; 1990 ; Успенский собор в Москве ; Cu-Ni ; Unc ; 8 ; Energo ; 249 
 2533 ; 1 рубль. Упаковка ; 1975 ; 30 лет Победы в войне 1941-1945 ; Cu-Ni ; AU ; 8 ; G-O-R ; 235 
 2534 ; 1 рубль. Упаковка ; 1993 ; 130 лет со дня рождения В.И.Вернадского ; Cu-Ni ; Proof ; 19 ; an78gg ; 406 
 2535 ; 1 рубль ; 1991 ; 101 год со дня рождения К.В.Иванова ; Cu-Ni ; Proof ; 3 ; Shurmon ; 173 
 2536 ; 1 рубль ; 1989 ; 175 лет со дня рождения М.Ю.Лермонтова ; Cu-Ni ; Proof ; 14 ; ialaiola ; 193 
 2537 ; 1 рубль ; 1991 ; 100 лет со дня рождения С.Прокофьева ; Cu-Ni ; Proof ; 17 ; света1973 ; 100 
 2538 ; 1 рубль ; 1985 ; Фестиваль молодежи и студентов в Москве ; Cu-Ni ; Proof ; 5 ; Shurmon ; 1000 
 2539 ; 1 рубль ; 1989 ; 175 лет со дня рождения М.Ю.Лермонтова ; Cu-Ni ; Proof ; 17 ; света1973 ; 189 
 2540 ; 1 рубль ; 1979 ; Олимпиада 80.Обелиск покорителям космоса ; Cu-Ni ; XF+ ; 7 ; света1973 ; 104 
 2541 ; 1 рубль ; 1990 ; 130 лет со дня рождения А.П.Чехова ; Cu-Ni ; Proof ; 3 ; света1973 ; 189 
 2542 ; 1 рубль ; 1979 ; Олимпиада 80.Здание МГУ ; Cu-Ni ; XF ; 11 ; света1973 ; 106 
 2543 ; 1 рубль ; 1990 ; 150 лет со дня рождения П.И.Чайковского ; Cu-Ni ; Proof ; 3 ; света1973 ; 189 
 2544 ; 1 рубль. Упаковка ; 1991 ; Олимпиада в Барселоне.Борьба ; Cu-Ni ; Proof ; 21 ; света1973 ; 905 
 2545 ; 1 рубль ; 1980 ; Олимпиада 80.Олимпийский факел ; Cu-Ni ; XF ; 5 ; света1973 ; 144 
 2546 ; 1 рубль. Новодел ; 1986 ; Международный год мира ; Cu-Ni ; Proof ; 4 ; света1973 ; 453 
 2547 ; 1 рубль ; 1988 ; 160 лет со дня рождения А.Н.Толстого ; Cu-Ni ; Proof ; 13 ; света1973 ; 138 
 2548 ; 1 рубль ; 1983 ; 165 лет со дня рождения К.Маркса ; Cu-Ni ; Proof ; 5 ; света1973 ; 538 
 2549 ; 3 рубля. Упаковка нарушена ; 1991 ; 50 лет победы под Москвой ; Cu-Ni ; Proof ; 43 ; вавилон ; 191 
 2550 ; 1 рубль. Упаковка ; 1991 ; 850 лет со дня рождения Низами Гянджеви ; Cu-Ni ; Proof ; 5 ; Energo ; 214 
 2551 ; 3 рубля ; 1995 ; 50 лет освобождения Вены ; Cu-Ni ; Proof ; 21 ; Wulf ; 1438 
 2552 ; 3 рубля ; 1995 ; 50 лет освобождения Вены ; Cu-Ni ; Proof ; 20 ; almazz ; 1430 
 2553 ; 3 рубля ; 1993 ; 50 лет победы в Сталинградской битве ; Cu-Ni ; Proof ; 14 ; pref ; 318 
 2554 ; 3 рубля ; 1993 ; 50 лет победы в Сталинградской битве ; Cu-Ni ; AU ; 18 ; SuperLex ; 361 
 2555 ; 3 рубля ; 1994 ; Партизаны в ВОВ ; Cu-Ni ; Proof ; 20 ; Shurmon ; 906 
 2556 ; 3 рубля ; 1994 ; Партизаны в ВОВ ; Cu-Ni ; Proof ; 11 ; Wulf ; 901 
 2557 ; 3 рубля ; 1994 ; 50 лет прорыва блокады Ленинграда ; Cu-Ni ; Proof ; 25 ; Black Cat ; 612 
 2558 ; 3 рубля ; 1994 ; Партизаны в ВОВ ; Cu-Ni ; Proof ; 23 ; Wulf ; 901 
 2559 ; 3 рубля ; 1993 ; 50 лет победы на Курской дуге ; Cu-Ni ; Proof ; 21 ; Black Cat ; 547 
 2560 ; 3 рубля ; 1993 ; 50 лет победы в Сталинградской битве ; Cu-Ni ; Proof ; 32 ; нехочуха ; 325 
 2561 ; 3 рубля ; 1992 ; Международный год космоса ; Cu-Ni ; AU ; 12 ; МММ ; 299 
