 1365 ; 10 копеек, в капсуле PCGS ; 1958 ;  ; Cu-Ni ; MS62 ; 18 ; to-to ; 69000 
 2120 ; 1 рубль ; 1987 ; 130 лет со дня рождения К.Э.Циолковского ; Cu-Ni ; AU ; 21 ; Cuff ; 63 
 2121 ; 1 рубль ; 1987 ; 70 лет Октябрьской революции ; Cu-Ni ; XF ; 42 ; aguila ; 75 
 2122 ; 1 рубль ; 1988 ; 120 лет со дня рождения А.М.Горького ; Cu-Ni ; AU ; 29 ; Nikolay75 ; 61 
 2123 ; 1 рубль ; 1988 ; 160 лет со дня рождения А.Н.Толстого ; Cu-Ni ; XF ; 25 ; JENIY2005 ; 70 
 2124 ; 1 рубль ; 1989 ; 175 лет со дня рождения М.Ю.Лермонтова ; Cu-Ni ; XF+ ; 30 ; vtepjpen ; 86 
 2125 ; 1 рубль ; 1989 ; 175 лет со дня рождения Т.Г.Шевченко ; Cu-Ni ; XF+ ; 30 ; denis1977 ; 102 
 2126 ; 1 рубль ; 1989 ; 100 лет со дня рождения Ниязи ; Cu-Ni ; AU ; 36 ; Nikolay75 ; 230 
 2127 ; 1 рубль ; 1990 ; 500 лет со дня рождения Ф.Скорины ; Cu-Ni ; AU ; 38 ; JENIY2005 ; 74 
 2128 ; 1 рубль ; 1990 ; 125 лет со дня рождения Я.Райниса ; Cu-Ni ; XF ; 24 ; lubopitnaja ; 57 
 2129 ; 1 рубль ; 1990 ; 150 лет со дня рождения П.И.Чайковского ; Cu-Ni ; XF ; 25 ; JENIY2005 ; 71 
 2130 ; 1 рубль ; 1989 ; 150 лет со дня рождения М.П.Мусоргского ; Cu-Ni ; XF+ ; 21 ; JENIY2005 ; 77 
 2131 ; 1 рубль ; 1990 ; 130 лет со дня рождения А.П.Чехова ; Cu-Ni ; XF+ ; 34 ; lubopitnaja ; 59 
 2132 ; 1 рубль. Упаковка ; 1990 ; 500 лет со дня рождения Ф.Скорины ; Cu-Ni ; Proof ; 37 ; BarSan ; 153 
 2133 ; 1 рубль ; 1991 ; 101 год со дня рождения К.В.Иванова ; Cu-Ni ; XF+ ; 30 ; jimmysu ; 53 
 2134 ; 1 рубль ; 1991 ; 100 лет со дня рождения С.Прокофьева ; Cu-Ni ; XF ; 27 ; JENIY2005 ; 80 
 2135 ; 1 рубль ; 1991 ; 850 лет со дня рождения Низами Гянджеви ; Cu-Ni ; XF- ; 25 ; Harlock ; 82 
 2136 ; 1 рубль ; 1991 ; 550 лет со дня рождения А.Навои ; Cu-Ni ; XF ; 25 ; aaa2009 ; 71 
 2137 ; 1 рубль ; 1991 ; 125 лет со дня рождения П.Н.Лебедева ; Cu-Ni ; XF+ ; 19 ; Harlock ; 55 
 2138 ; 1 рубль. Упаковка ; 1991 ; Махтумкули ; Cu-Ni ; Proof ; 43 ; кошак ; 214 
 2139 ; 1 рубль. Ошибка на часах ; 1978 ; Олимпиада 80.Московский Кремль ; Cu-Ni ; AU ; 27 ; Brabus ; 206 
 2140 ; 1 рубль ; 1977 ; 60 лет Советской власти ; Cu-Ni ; XF ; 11 ; vladimir-sirke ; 51 
 2141 ; 1 рубль ; 1991 ; 100 лет со дня рождения С.Прокофьева ; Cu-Ni ; AU ; 42 ; Gorizn ; 123 
 2142 ; 5 рублей ; 1991 ; Архангельский собор в Москве ; Cu-Ni ; AU ; 89 ; Harlock ; 277 
 2143 ; 5 рублей ; 1989 ; Ансамбль Регистан в Самарканде ; Cu-Ni ; AU ; 39 ; Harlock ; 386 
 2144 ; 1 рубль ; 1977 ; 60 лет Советской власти ; Cu-Ni ; XF ; 36 ; Harlock ; 102 
 2145 ; 1 рубль ; 1984 ; 125 лет со дня рождения А.С.Попова ; Cu-Ni ; XF+ ; 34 ; Cuff ; 119 
 2146 ; 1 рубль. Ошибка на часах ; 1978 ; Олимпиада 80.Московский Кремль ; Cu-Ni ; AU ; 17 ; Brabus ; 225 
 2147 ; 1 рубль. Упаковка нарушена ; 1968 ;  ; Cu-Ni ; AU ; 51 ; sibiryak62 ; 339 
 2148 ; 50 копеек. Упаковка ; 1968 ;  ; Cu-Ni ; AU ; 47 ; bonipari ; 259 
 2149 ; 20 копеек.Упаковка ; 1968 ;  ; Cu-Ni ; AU ; 158 ; sibiryak62 ; 850 
 2150 ; 15 копеек.Упаковка ; 1968 ;  ; Cu-Ni ; AU ; 122 ; sibiryak62 ; 843 
 2151 ; 10 копеек.Упаковка ; 1968 ;  ; Cu-Ni ; AU ; 66 ; sibiryak62 ; 917 
 2152 ; 5 копеек. Упаковка нарушена ; 1968 ;  ; Cu-Zn ; AU ; 111 ; Egorka ; 744 
 2153 ; 3 копейки.Упаковка ; 1968 ;  ; Cu-Zn ; AU ; 54 ; Ходор ; 189 
 2154 ; 2 копейки.Упаковка ; 1968 ;  ; Cu-Zn ; AU ; 45 ; pissimist ; 113 
 2155 ; 1 копейка. Упаковка ; 1968 ;  ; Cu-Zn ; AU ; 87 ; kirkar ; 216 
 2056 ; 1 рубль ; 1991 ; Олимпиада в Барселоне.Прыжки в длину ; Cu-Ni ; Proof ; 16 ; Василевс ; 669 
 2057 ; 1 рубль. Ошибка на часах ; 1978 ; Олимпиада 80.Московский Кремль ; Cu-Ni ; AU ; 3 ; kvm64 ; 159 
 2058 ; 5 рублей. Упаковка ; 1989 ; Ансамбль Регистан в Самарканде ; Cu-Ni ; Proof ; 35 ; Юрий ; 206 
 2059 ; 5 рублей. Упаковка ; 1990 ; Успенский собор в Москве ; Cu-Ni ; Proof ; 21 ; Harlock ; 199 
 2060 ; 5 рублей. Упаковка ; 1990 ; Матенадаран.Ереван ; Cu-Ni ; Proof ; 66 ; Harlock ; 244 
 2061 ; 5 рублей. Упаковка ; 1991 ; Архангельский собор в Москве ; Cu-Ni ; Proof ; 92 ; Harlock ; 301 
 2062 ; 3 рубля. Упаковка ; 1989 ; Землятресение в Армении ; Cu-Ni ; Proof ; 102 ; romna1977 ; 388 
 2063 ; 1 рубль. Упаковка ; 1990 ; 500 лет со дня рождения Ф.Скорины ; Cu-Ni ; Proof ; 44 ; Harlock ; 142 
 2064 ; 1 рубль. Упаковка ; 1991 ; 550 лет со дня рождения А.Навои ; Cu-Ni ; Proof ; 68 ; Cuff ; 156 
 2065 ; 5 рублей. Упаковка ; 1989 ; Собор Покрова на рву в Москве ; Cu-Ni ; Proof ; 72 ; Gyron ; 213 
 2066 ; 5 рублей. Упаковка ; 1990 ; Большой дворец в Петродворце ; Cu-Ni ; Proof ; 78 ; Georgiy ; 123 
 2067 ; 5 рублей. Упаковка ; 1990 ; Успенский собор в Москве ; Cu-Ni ; Proof ; 58 ; boom588 ; 115 
 2068 ; 5 рублей ; 1990 ; Успенский собор в Москве ; Cu-Ni ; Proof ; 33 ; myx ; 199 
 2069 ; 3 рубля. Упаковка ; 1991 ; 50 лет победы под Москвой ; Cu-Ni ; Proof ; 82 ; yrik ; 148 
 2070 ; 3 рубля. Упаковка ; 1992 ; 750 лет победы А.Невского ; Cu-Ni ; Proof ; 25 ; lgvspb ; 192 
 2071 ; 3 рубля. Упаковка ; 1992 ; 750 лет победы А.Невского ; Cu-Ni ; Proof ; 24 ; slovjnin ; 195 
 2072 ; 3 рубля. Упаковка ; 1993 ; 50 лет освобождения Киева ; Cu-Ni ; Proof ; 65 ; никсер ; 320 
 2073 ; 1 рубль. Упаковка ; 1989 ; 175 лет со дня рождения Т.Г.Шевченко ; Cu-Ni ; Proof ; 25 ; Cuff ; 83 
 2074 ; 1 рубль. Упаковка ; 1990 ; 150 лет со дня рождения П.И.Чайковского ; Cu-Ni ; Proof ; 34 ; myx ; 129 
 2075 ; 1 рубль. Упаковка ; 1990 ; 125 лет со дня рождения Я.Райниса ; Cu-Ni ; Proof ; 40 ; Cuff ; 104 
 2076 ; 1 рубль. Упаковка ; 1991 ; 550 лет со дня рождения А.Навои ; Cu-Ni ; Proof ; 35 ; Cuff ; 133 
 2077 ; 1 рубль. Упаковка ; 1991 ; 125 лет со дня рождения П.Н.Лебедева ; Cu-Ni ; Unc ; 29 ; Harlock ; 113 
 2078 ; 1 рубль. Упаковка ; 1991 ; Махтумкули ; Cu-Ni ; Proof ; 101 ; никсер ; 212 
 2079 ; 1 рубль ; 1984 ; 185 лет со дня рождения А.С.Пушкина ; Cu-Ni ; AU ; 81 ; КСН ; 223 
 2080 ; 5 рублей ; 1988 ; Памятник в Новгороде "Тысячелетие России" ; Cu-Ni ; AU ; 24 ; evgen177309 ; 225 
 2081 ; 5 рублей ; 1988 ; Софийский собор в Киеве ; Cu-Ni ; XF- ; 3 ; sibons ; 157 
 2082 ; 5 рублей ; 1988 ; Памятник Петру I в Ленинграде ; Cu-Ni ; AU ; 70 ; Nikolay75 ; 244 
 2083 ; 5 рублей ; 1989 ; Собор Покрова на рву в Москве ; Cu-Ni ; Proof ; 114 ; evgen177309 ; 219 
 2084 ; 5 рублей ; 1990 ; Успенский собор в Москве ; Cu-Ni ; XF+ ; 37 ; KVP1 ; 70 
 2085 ; 5 рублей ; 1990 ; Большой дворец в Петродворце ; Cu-Ni ; XF+ ; 27 ; JENIY2005 ; 80 
 2086 ; 5 рублей. Упаковка ; 1990 ; Большой дворец в Петродворце ; Cu-Ni ; Proof ; 54 ; havana ; 134 
 2087 ; 5 рублей. Упаковка ; 1991 ; Памятник Давиду Сасунскому в Ереване ; Cu-Ni ; Proof ; 54 ; aguila ; 196 
 2088 ; 5 рублей ; 1991 ; Здание Госбанка СССР в Москве ; Cu-Ni ; XF+ ; 36 ; Harlock ; 119 
 2089 ; 5 рублей ; 1991 ; Памятник Давиду Сасунскому в Ереване ; Cu-Ni ; XF+ ; 53 ; sibons ; 148 
 2090 ; 5 рублей ; 1990 ; Матенадаран.Ереван ; Cu-Ni ; XF+ ; 22 ; vtepjpen ; 74 
 2091 ; 3 рубля ; 1987 ; 70 лет Октябрьской революции ; Cu-Ni ; XF ; 27 ; Harlock ; 74 
 2092 ; 3 рубля ; 1989 ; Землятресение в Армении ; Cu-Ni ; XF+ ; 46 ; Harlock ; 123 
 2093 ; 3 рубля ; 1991 ; 50 лет победы под Москвой ; Cu-Ni ; XF ; 42 ; ф-а-и ; 132 
 2094 ; 1 рубль ; 1967 ; 20 лет Победы над Германией ; Cu-Ni ; XF+ ; 10 ; boom588 ; 102 
 2095 ; 1 рубль ; 1967 ; 50 лет Советской власти ; Cu-Ni ; AU ; 16 ; д166 ; 164 
 2096 ; 1 рубль ; 1970 ; 100 лет со дня рождения В.И.Ленина ; Cu-Ni ; AU ; 55 ; Harlock ; 327 
 2097 ; 1 рубль ; 1975 ; 30 лет Победы в войне 1941-1945 ; Cu-Ni ; AU ; 48 ; Gorizn ; 104 
 2098 ; 1 рубль ; 1977 ; 60 лет Советской власти ; Cu-Ni ; AU ; 31 ; ф-а-и ; 153 
 2099 ; 1 рубль ; 1977 ; Олимпиада 80.Эмблема Олимпийских игр ; Cu-Ni ; XF+ ; 47 ; JENIY2005 ; 102 
 2100 ; 1 рубль. Ошибка на циферблате ; 1978 ; Олимпиада 80.Московский Кремль ; Cu-Ni ; XF ; 6 ; mashayn ; 151 
 2101 ; 1 рубль ; 1979 ; Олимпиада 80.Здание МГУ ; Cu-Ni ; AU ; 36 ; nas777 ; 59 
 2102 ; 1 рубль ; 1979 ; Олимпиада 80.Обелиск покорителям космоса ; Cu-Ni ; XF ; 30 ; Cuff ; 63 
 2103 ; 1 рубль ; 1980 ; Олимпиада 80.Здание Моссовета ; Cu-Ni ; AU ; 8 ; Cuff ; 43 
 2104 ; 1 рубль ; 1980 ; Олимпиада 80.Олимпийский факел ; Cu-Ni ; XF+ ; 31 ; nas777 ; 101 
 2105 ; 1 рубль ; 1981 ; 20 лет полета в космос Ю.Гагарина ; Cu-Ni ; XF ; 48 ; denis1977 ; 107 
 2006 ; 1 рубль ; 1986 ; 275 лет со дня рождения М.В.Ломоносова ; Cu-Ni ; Proof ; 26 ; Василевс ; 816 
 2007 ; 5 рублей. Упаковка ; 1989 ; Ансамбль Регистан в Самарканде ; Cu-Ni ; Proof ; 68 ; jimmysu ; 192 
 2008 ; 5 рублей. Упаковка ; 1990 ; Успенский собор в Москве ; Cu-Ni ; Proof ; 54 ; myx ; 153 
 2009 ; 5 рублей. Упаковка ; 1990 ; Матенадаран.Ереван ; Cu-Ni ; Proof ; 66 ; art67 ; 255 
 2010 ; 5 рублей. Упаковка ; 1991 ; Архангельский собор в Москве ; Cu-Ni ; Proof ; 92 ; Harlock ; 238 
 2011 ; 5 рублей. Упаковка ; 1991 ; Здание Госбанка СССР в Москве ; Cu-Ni ; Unc ; 108 ; Harlock ; 327 
 2012 ; 3 рубля. Упаковка ; 1989 ; Землятресение в Армении ; Cu-Ni ; Proof ; 99 ; art67 ; 294 
 2013 ; 3 рубля. Упаковка ; 1992 ; 750 лет победы А.Невского ; Cu-Ni ; Proof ; 13 ; Вахо ; 247 
 2014 ; 3 рубля. Упаковка ; 1992 ; Международный год космоса ; Cu-Ni ; Proof ; 94 ; KRASLAVA ; 266 
 2015 ; 3 рубля. Упаковка ; 1991 ; 50 лет победы под Москвой ; Cu-Ni ; Proof ; 90 ; Harlock ; 168 
 2016 ; 3 рубля. Упаковка ; 1994 ; Партизаны в ВОВ ; Cu-Ni ; Proof ; 124 ; bonipari ; 372 
 2017 ; 3 рубля. Упаковка ; 1994 ; 50 лет освобождения Белграда ; Cu-Ni ; Proof ; 2 ; Olimpia ; 918 
 2018 ; 3 рубля. Упаковка ; 1994 ; 50 лет прорыва блокады Ленинграда ; Cu-Ni ; Proof ; 34 ; каламбурчик ; 536 
 2019 ; 3 рубля. Упаковка ; 1995 ; Взятие Берлина ; Cu-Ni ; Proof ; 56 ; kalan ; 1654 
 2020 ; 3 рубля. Упаковка ; 1995 ; 50 лет освобождения Кенигсберга. ; Cu-Ni ; Proof ; 38 ; art67 ; 956 
 2021 ; 3 рубля. Упаковка ; 1995 ; 50 лет освобождения Будапешта ; Cu-Ni ; Proof ; 36 ; danila ; 663 
 2022 ; 3 рубля. Упаковка ; 1995 ; 50 лет освобождения Вены ; Cu-Ni ; Proof ; 29 ; KRASLAVA ; 694 
 2023 ; 3 рубля. Упаковка ; 1995 ; Встреча на Эльбе. ; Cu-Ni ; Proof ; 12 ; danila ; 1688 
 2024 ; 1 рубль. Упаковка ; 1988 ; 160 лет со дня рождения А.Н.Толстого ; Cu-Ni ; Proof ; 71 ; myx ; 153 
 2025 ; 1 рубль. Упаковка парушена ; 1980 ; Олимпиада 80.Здание Моссовета ; Cu-Ni ; AU ; 34 ; svo6oda ; 82 
 2026 ; 1 рубль. Упаковка ; 1988 ; 120 лет со дня рождения А.М.Горького ; Cu-Ni ; Proof ; 78 ; dgekson ; 102 
 2027 ; 1 рубль. Упаковка ; 1989 ; 100 лет со дня смерти Эминеску ; Cu-Ni ; Proof ; 97 ; art67 ; 235 
 2028 ; 1 рубль. Упаковка ; 1989 ; 175 лет со дня рождения М.Ю.Лермонтова ; Cu-Ni ; Proof ; 108 ; romna1977 ; 320 
 2029 ; 1 рубль. Упаковка ; 1989 ; 100 лет со дня рождения Ниязи ; Cu-Ni ; Proof ; 38 ; Harlock ; 156 
 2030 ; 1 рубль. Упаковка ; 1989 ; 100 лет со дня смерти Эминеску ; Cu-Ni ; Proof ; 74 ; romna1977 ; 170 
 2031 ; 1 рубль. Упаковка ; 1989 ; 150 лет со дня рождения М.П.Мусоргского ; Cu-Ni ; Proof ; 73 ; vtepjpen ; 107 
 2032 ; 1 рубль. Упаковка ; 1989 ; 175 лет со дня рождения Т.Г.Шевченко ; Cu-Ni ; Proof ; 18 ; Gyron ; 117 
 2033 ; 1 рубль. Упаковка ; 1990 ; Маршал СССР Г.К.Жуков ; Cu-Ni ; Proof ; 22 ; Harlock ; 251 
 2034 ; 1 рубль. Упаковка ; 1990 ; Маршал СССР Г.К.Жуков ; Cu-Ni ; Proof ; 60 ; Gyron ; 272 
 2035 ; 1 рубль. Упаковка ; 1990 ; 125 лет со дня рождения Я.Райниса ; Cu-Ni ; Proof ; 37 ; myx ; 108 
 2036 ; 1 рубль. Упаковка ; 1990 ; 130 лет со дня рождения А.П.Чехова ; Cu-Ni ; Unc ; 28 ; Nikolay75 ; 132 
 2037 ; 1 рубль. Упаковка ; 1990 ; 125 лет со дня рождения Я.Райниса ; Cu-Ni ; Proof ; 38 ; Вик2011 ; 102 
 2038 ; 1 рубль. Упаковка ; 1990 ; 130 лет со дня рождения А.П.Чехова ; Cu-Ni ; Proof ; 24 ; novikoff12006 ; 135 
 2039 ; 1 рубль. Упаковка ; 1990 ; 500 лет со дня рождения Ф.Скорины ; Cu-Ni ; Proof ; 27 ; Harlock ; 147 
 2040 ; 1 рубль. Упаковка ; 1990 ; 150 лет со дня рождения П.И.Чайковского ; Cu-Ni ; Proof ; 67 ; myx ; 125 
 2041 ; 1 рубль. Упаковка ; 1991 ; 100 лет со дня рождения С.Прокофьева ; Cu-Ni ; Proof ; 66 ; Georgiy ; 169 
 2042 ; 1 рубль. Упаковка ; 1991 ; 101 год со дня рождения К.В.Иванова ; Cu-Ni ; Proof ; 46 ; novikoff12006 ; 153 
 2043 ; 1 рубль. Упаковка ; 1991 ; Махтумкули ; Cu-Ni ; Proof ; 111 ; Gorizn ; 213 
 2044 ; 1 рубль. Упаковка ; 1991 ; 850 лет со дня рождения Низами Гянджеви ; Cu-Ni ; Proof ; 103 ; art67 ; 412 
 2045 ; 1 рубль. Упаковка ; 1991 ; 100 лет со дня рождения С.Прокофьева ; Cu-Ni ; Proof ; 48 ; Gyron ; 126 
 2046 ; 1 рубль. Упаковка ; 1991 ; 125 лет со дня рождения П.Н.Лебедева ; Cu-Ni ; Proof ; 17 ; Harlock ; 123 
 2047 ; 1 рубль. Упаковка ; 1991 ; 550 лет со дня рождения А.Навои ; Cu-Ni ; Proof ; 28 ; Mikle777 ; 123 
 2048 ; 1 рубль. Упаковка ; 1991 ; 101 год со дня рождения К.В.Иванова ; Cu-Ni ; Proof ; 19 ; Вик2011 ; 102 
 2049 ; 1 рубль. Упаковка ; 1993 ; 100 лет со дня рождения К.Л.Тимирязева ; Cu-Ni ; Proof ; 33 ; danila ; 906 
 2050 ; 1 рубль. Упаковка ; 1993 ; 100 лет со дня рождения В.В.Маяковского ; Cu-Ni ; Unc ; 149 ; art67 ; 950 
 2051 ; 1 рубль. Упаковка ; 1993 ; 110 лет со дня рождения А.П.Бородина ; Cu-Ni ; Unc ; 162 ; art67 ; 776 
 2052 ; 1 рубль. Упаковка ; 1993 ; 250 лет со дня рождения Г.Р.Державина ; Cu-Ni ; Proof ; 17 ; Mango Moris ; 721 
 2053 ; 1 рубль ; 1991 ; Олимпиада в Барселоне.Штанга ; Cu-Ni ; Proof ; 29 ; intrest ; 830 
 2054 ; 1 рубль ; 1991 ; Олимпиада в Барселоне.Борьба ; Cu-Ni ; Proof ; 13 ; Василевс ; 615 
 2055 ; 1 рубль ; 1991 ; Олимпиада в Барселоне. Бег ; Cu-Ni ; Proof ; 15 ; Василевс ; 691 
 1956 ; 5 рублей. Упаковка ; 1989 ; Собор Покрова на рву в Москве ; Cu-Ni ; Proof ; 44 ; niko1968 ; 236 
 1957 ; 5 рублей. Упаковка ; 1989 ; Ансамбль Регистан в Самарканде ; Cu-Ni ; Proof ; 34 ; jimmysu ; 196 
 1958 ; 5 рублей. Упаковка ; 1989 ; Благовещенский собор в Москве ; Cu-Ni ; Proof ; 35 ; Gorizn ; 207 
 1959 ; 5 рублей. Упаковка ; 1990 ; Большой дворец в Петродворце ; Cu-Ni ; Proof ; 24 ; Cuff ; 216 
 1960 ; 5 рублей. Упаковка ; 1990 ; Успенский собор в Москве ; Cu-Ni ; Proof ; 13 ; Cuff ; 119 
 1961 ; 5 рублей ; 1990 ; Успенский собор в Москве ; Cu-Ni ; Proof ; 49 ; solder13 ; 126 
 1962 ; 3 рубля. Упаковка ; 1991 ; 50 лет победы под Москвой ; Cu-Ni ; Proof ; 91 ; Юрий ; 144 
 1963 ; 3 рубля. Упаковка ; 1992 ; 750 лет победы А.Невского ; Cu-Ni ; Proof ; 110 ; Вахо ; 317 
 1964 ; 3 рубля. Упаковка ; 1993 ; 50 лет победы в Сталинградской битве ; Cu-Ni ; Proof ; 23 ; pissimist ; 255 
 1965 ; 3 рубля. Упаковка ; 1993 ; 50 лет победы на Курской дуге ; Cu-Ni ; Proof ; 48 ; Harlock ; 337 
 1966 ; 3 рубля. Упаковка ; 1993 ; 50 лет освобождения Киева ; Cu-Ni ; Proof ; 49 ; Harlock ; 357 
 1967 ; 3 рубля. Упаковка ; 1994 ; Партизаны в ВОВ ; Cu-Ni ; Proof ; 46 ; каламбурчик ; 414 
 1968 ; 1 рубль. Упаковка ; 1989 ; 175 лет со дня рождения Т.Г.Шевченко ; Cu-Ni ; Proof ; 70 ; Gorizn ; 111 
 1969 ; 1 рубль. Упаковка ; 1989 ; 100 лет со дня рождения Ниязи ; Cu-Ni ; Proof ; 40 ; art67 ; 184 
 1970 ; 1 рубль. Упаковка ; 1990 ; 130 лет со дня рождения А.П.Чехова ; Cu-Ni ; Unc ; 67 ; Georgiy ; 114 
 1971 ; 1 рубль. Упаковка ; 1990 ; 130 лет со дня рождения А.П.Чехова ; Cu-Ni ; Proof ; 51 ; myx ; 152 
 1972 ; 1 рубль. Упаковка ; 1990 ; 150 лет со дня рождения П.И.Чайковского ; Cu-Ni ; Proof ; 55 ; art67 ; 179 
 1973 ; 1 рубль. Упаковка ; 1990 ; 125 лет со дня рождения Я.Райниса ; Cu-Ni ; Unc ; 50 ; Nikolay75 ; 123 
 1974 ; 1 рубль. Упаковка ; 1990 ; 125 лет со дня рождения Я.Райниса ; Cu-Ni ; Proof ; 71 ; vtepjpen ; 108 
 1975 ; 1 рубль. Упаковка ; 1991 ; 550 лет со дня рождения А.Навои ; Cu-Ni ; Proof ; 40 ; Georgiy ; 114 
 1976 ; 1 рубль. Упаковка ; 1991 ; 125 лет со дня рождения П.Н.Лебедева ; Cu-Ni ; Unc ; 25 ; Harlock ; 148 
 1977 ; 1 рубль. Упаковка ; 1991 ; 125 лет со дня рождения П.Н.Лебедева ; Cu-Ni ; Proof ; 28 ; solder13 ; 116 
 1978 ; 1 рубль. Упаковка ; 1991 ; Махтумкули ; Cu-Ni ; Proof ; 97 ; Gyron ; 206 
 1979 ; 5 рублей ; 1990 ; Матенадаран.Ереван ; Cu-Ni ; AU ; 67 ; Nikolay75 ; 113 
 1980 ; 1 рубль ; 1984 ; 185 лет со дня рождения А.С.Пушкина ; Cu-Ni ; AU ; 34 ; denis1977 ; 117 
 1981 ; 1 рубль ; 1975 ; 30 лет Победы в войне 1941-1945 ; Cu-Ni ; XF+ ; 39 ; nas777 ; 67 
 1982 ; 1 рубль ; 1965 ; 20 лет победы над Германией ; Cu-Ni ; Proof ; 98 ; ks ; 5087 
 1983 ; 1 рубль ; 1967 ; 50 лет Советской власти ; Cu-Ni ; Proof ; 105 ; fillin ; 4128 
 1984 ; 1 рубль ; 1977 ; 60 лет Советской власти ; Cu-Ni ; Proof ; 102 ; intrest ; 2828 
 1985 ; 1 рубль ; 1975 ; 30 лет Победы в войне 1941-1945 ; Cu-Ni ; Proof ; 70 ; aaa2009 ; 2885 
 1986 ; 1 рубль ; 1977 ; Олимпиада 80.Эмблема Олимпийских игр ; Cu-Ni ; Proof ; 143 ; vel2010 ; 2040 
 1987 ; 1 рубль ; 1978 ; Олимпиада 80.Московский Кремль ; Cu-Ni ; Proof ; 121 ; intrest ; 7500 
 1988 ; 1 рубль ; 1979 ; Олимпиада 80.Обелиск покорителям космоса ; Cu-Ni ; Proof ; 62 ; Mikle777 ; 1165 
 1989 ; 1 рубль ; 1979 ; Олимпиада 80.Здание МГУ ; Cu-Ni ; Proof ; 55 ; piron ; 1334 
 1990 ; 1 рубль ; 1980 ; Олимпиада 80.Здание Моссовета ; Cu-Ni ; Proof ; 64 ; Mikle777 ; 1254 
 1991 ; 1 рубль ; 1980 ; Олимпиада 80.Олимпийский факел ; Cu-Ni ; Proof ; 58 ; Mikle777 ; 1423 
 1992 ; 1 рубль ; 1981 ; Дружба навеки ; Cu-Ni ; Proof ; 41 ; Василевс ; 1224 
 1993 ; 1 рубль ; 1981 ; 20 лет полета в космос Ю.Гагарина ; Cu-Ni ; Proof ; 63 ; Roman_B ; 1589 
 1994 ; 1 рубль ; 1982 ; 60 лет образования СССР ; Cu-Ni ; Proof ; 29 ; evgen177309 ; 322 
 1995 ; 1 рубль ; 1983 ; 400 лет со дня смерти И.Федорова 1510-1583 ; Cu-Ni ; Proof ; 75 ; Василевс ; 1326 
 1996 ; 1 рубль ; 1983 ; 165 лет со дня рождения К.Маркса ; Cu-Ni ; Proof ; 30 ; SirTem ; 671 
 1997 ; 1 рубль ; 1983 ; 20 лет полета в космос В.Терешковой ; Cu-Ni ; Proof ; 66 ; pavlova-92 ; 1025 
 1998 ; 1 рубль ; 1984 ; 185 лет со дня рождения А.С.Пушкина ; Cu-Ni ; Proof ; 70 ; pavlova-92 ; 1223 
 1999 ; 1 рубль ; 1984 ; 125 лет со дня рождения А.С.Попова ; Cu-Ni ; AU ; 89 ; Harlock ; 211 
 2000 ; 1 рубль ; 1984 ; 150 лет со дня рождения Д.И.Менделеева ; Cu-Ni ; Proof ; 66 ; Roman_B ; 1307 
 2001 ; 1 рубль ; 1985 ; 165 лет со дня рождения Ф.Энгельса ; Cu-Ni ; Proof ; 50 ; Ходор ; 850 
 2002 ; 1 рубль ; 1985 ; 40 лет Победы над Германией ; Cu-Ni ; Proof ; 79 ; SirTem ; 1173 
 2003 ; 1 рубль ; 1985 ; 115 лет со дня рождения В.И.Ленина ; Cu-Ni ; Proof ; 55 ; Roman_B ; 1258 
 2004 ; 1 рубль ; 1985 ; Фестиваль молодежи и студентов в Москве ; Cu-Ni ; Proof ; 18 ; Василевс ; 722 
 2005 ; 1 рубль ; 1986 ; Международный год мира ; Cu-Ni ; Proof ; 9 ; pavlova-92 ; 543 
 1906 ; Полкопейки ; 1925 ;  ; Cu ; VF-XF ; 41 ; lessnoy ; 735 
 1907 ; Полкопейки ; 1928 ;  ; Cu ; VF-XF ; 35 ; gaa0378 ; 2350 
 1908 ; Полкопейки ; 1927 ;  ; Cu ; VF+ ; 73 ; FED ; 1224 
 1909 ; Полкопейки ; 1928 ;  ; Cu ; VF ; 47 ; ZOLTAN333 ; 1797 
 1910 ; 100 рублей ; 1993 ; о.Шпицберген ; Ж/м ; AU ; 23 ; юденич ; 553 
 1911 ; 50 рублей ; 1993 ; о.Шпицберген ; Б/м ; AU ; 59 ; света ; 453 
 1912 ; 25 рублей ; 1993 ; о.Шпицберген ; Б/м ; AU ; 31 ; ges ; 710 
 1913 ; 10 рублей ; 1993 ; о.Шпицберген ; Б/м ; AU ; 36 ; света ; 457 
 1914 ; 5 ; 1998 ; о.Шпицберген ; Б/м ; XF ; 15 ; юденич ; 635 
 1915 ; 1 ; 1998 ; о.Шпицберген ;  ; XF- ; 33 ; vborisevich1 ; 928 
 1916 ; 0,5 ; 1998 ; о.Шпицберген ;  ; XF ; 32 ; vborisevich1 ; 594 
 1917 ; Жетон. Один полтинник. Гагарин ; 2011ММД ;  ; Cu/Ni ; Proof ; 128 ; shknikolay ; 780 
 1918 ; Жетон. 3 марки. Калининград. "Слава Русского оружия". Истребитель "МИГ-29". Образец, с документом ; 2003 ;  ; Ag ; Proof ; 23 ; Harlock ; 2780 
 1919 ; Жетон. 3 марки. Калининград. "Слава Русского оружия". Крейсер "Варяг" ; 2004 ;  ; AgСПМД ; Proof ; 25 ; vborisevich1 ; 1794 
 1920 ; Жетон. 70 лет Советскому чекану. Краснокамский монетный двор (1941-1946). D-27мм ;  ;  ; Ag ; Proof ; 48 ; 104 кг ; 2144 
