 4822 ; Бона иностранная. Исландия. 50 крон ; 1961 ;  ;  ;  ; 24 ; ИЮМов1 ; 226 
 1999 ; 5 копеек ; 1946 ;  ; Br ; VF ; 7 ; krft ; 26 
 2000 ; 5 копеек ; 1949 ;  ; Br ; VF-XF ; 14 ; sirop ; 41 
 2001 ; 5 копеек ; 1950 ;  ; Br ; VF-XF ; 54 ; Repz ; 306 
 2002 ; 5 копеек ; 1952 ;  ; Br ; VF+ ; 9 ; vivehcili ; 56 
 2003 ; 5 копеек ; 1953 ;  ; Br ; XF ; 18 ; alexgp ; 136 
 2004 ; 5 копеек ; 1954 ;  ; Br ; VF-XF ; 6 ; krft ; 33 
 2005 ; 5 копеек ; 1955 ;  ; Br ; VF ; 10 ; alexgp ; 54 
 2006 ; 5 копеек ; 1956 ;  ; Br ; VF-XF ; 9 ; alexgp ; 41 
 2007 ; 5 копеек ; 1957 ; В венке герба 15 лент ; Br ; VF-XF ; 11 ; sirop ; 68 
 2008 ; 1 копейка ; 1938 ;  ; Br ; XF ; 9 ; сквозняк_44 ; 118 
 1909 ; 10 копеек ; 1955 ;  ; Ni ; XF ; 8 ; alexgp ; 33 
 1910 ; 5 копеек ; 1930 ;  ; Br ; VF+ ; 18 ; tretikov1983 ; 57 
 1911 ; 5 копеек ; 1949 ;  ; Br ; VF+ ; 12 ; krft ; 46 
 1912 ; 5 копеек ; 1962 ;  ; Cu-Zn ; VF+ ; 4 ; MaxiMaxi ; 11 
 1913 ; 3 копейки ; 1928 ;  ; Br ; VF ; 14 ; alexgp ; 74 
 1914 ; 3 копейки ; 1936 ; Л/с звезда фигурная ; Br ; VF ; 13 ; Ник 2 ; 36 
 1915 ; 3 копейки ; 1937 ;  ; Br ; VF+ ; 15 ; alexgp ; 92 
 1916 ; 3 копейки ; 1943 ;  ; Br ; VF-XF ; 23 ; Repz ; 238 
 1917 ; 3 копейки ; 1946 ;  ; Br ; VF ; 7 ; Repz ; 30 
 1918 ; 3 копейки ; 1948 ;  ; Br ; VF+ ; 13 ; Gorizn ; 126 
 1919 ; 3 копейки ; 1949 ;  ; Br ; VF ; 7 ; Repz ; 16 
 1920 ; 3 копейки ; 1952 ;  ; Br ; VF ; 6 ; alexgp ; 26 
 1921 ; 3 копейки ; 1953 ;  ; Br ; VF+ ; 13 ; maksimus71 ; 43 
 1922 ; 3 копейки ; 1957 ; В венке герба 15 лент ; Br ; XF ; 9 ; maksimus71 ; 69 
 1923 ; 2 копейки ; 1926 ;  ; Br ; XF ; 16 ; Repz ; 261 
 1924 ; 2 копейки ; 1928 ;  ; Br ; XF ; 75 ; Repz ; 2091 
 1925 ; 2 копейки ; 1941 ;  ; Br ; VF+ ; 36 ; maksimus71 ; 209 
 1926 ; 2 копейки ; 1950 ;  ; Br ; VF ; 9 ; REC ; 31 
 1927 ; 1 копейка ; 1937 ;  ; Br ; VF-XF ; 9 ; Repz ; 159 
 1928 ; 1 копейка ; 1938 ;  ; Br ; XF ; 9 ; сквозняк_44 ; 94 
 1929 ; 1 копейка ; 1940 ;  ; Br ; XF ; 9 ; сквозняк_44 ; 113 
 1930 ; 1 копейка ; 1950 ;  ; Br ; XF ; 39 ; Repz ; 159 
 1931 ; 1 рубль ; 1967 ;  ; Cu-Ni ; AU ; 25 ; Алексей11 ; 354 
 1932 ; 1 рубль ; 1968 ;  ; Cu-Ni ; AU ; 26 ; kosp ; 357 
 1933 ; 1 рубль ; 1970 ;  ; Cu-Ni ; AU ; 38 ; свинка ; 512 
 1934 ; 1 рубль ; 1972 ;  ; Cu-Ni ; AU ; 24 ; 01020304 ; 523 
 1935 ; 1 рубль ; 1973 ;  ; Cu-Ni ; AU ; 16 ; 01020304 ; 522 
 1936 ; 1 рубль ; 1976 ;  ; Cu-Ni ; AU ; 16 ; ВАР1959 ; 465 
 1937 ; 1 рубль ; 1977 ;  ; Cu-Ni ; AU ; 13 ; Vb[fksx ; 414 
 1938 ; 1 рубль ; 1978 ;  ; Cu-Ni ; AU ; 12 ; ВАР1959 ; 466 
 1939 ; 1 рубль ; 1979 ;  ; Cu-Ni ; AU ; 21 ; 3051234 ; 453 
 1940 ; 1 рубль ; 1980 ;  ; Cu-Ni ; AU ; 21 ; 3051234 ; 418 
 1941 ; 1 рубль ; 1981 ;  ; Cu-Ni ; AU ; 10 ; 3051234 ; 512 
 1942 ; 1 рубль ; 1982 ;  ; Cu-Ni ; AU ; 23 ; свинка ; 620 
 1943 ; 10 копеек. Упаковка ; 1988 ;  ; Cu-Ni ; Unc ; 38 ; tdp ; 68 
 1944 ; 1 копейка. Упаковка ; 1988 ;  ; Cu-Zn ; Unc ; 25 ; tdp ; 59 
 1945 ; 1 рубль ; 1977 ;  ; Cu-Ni ; AU ; 17 ; parasit ; 433 
 1946 ; 1 рубль ; 1979 ;  ; Cu-Ni ; AU ; 20 ; Antromis ; 441 
 1947 ; 1 рубль ; 1980 ;  ; Cu-Ni ; AU ; 16 ; ВАР1959 ; 489 
 1948 ; 50 копеек ; 1969 ;  ; Cu-Ni ; AU ; 10 ; 3051234 ; 113 
 1949 ; 20 копеек ; 1961 ;  ; Cu-Ni ; XF- ; 3 ; shknikolay ; 6 
 1950 ; 20 копеек ; 1961 ;  ; Cu-Ni ; VF+ ; 5 ; trasher23 ; 5 
 1951 ; 20 копеек ; 1962 ;  ; Cu-Ni ; XF- ; 3 ; fillin ; 6 
 1952 ; 10 копеек ; 1969 ;  ; Cu-Ni ; AU ; 12 ; olga42 ; 126 
 1953 ; 10 копеек ; 1974 ;  ; Cu-Ni ; VF ; 5 ; trasher23 ; 5 
 1954 ; 5 копеек ; 1957 ; В венке герба 15 лент ; Br ; XF ; 19 ; REC ; 107 
 1955 ; 5 копеек ; 1961 ;  ; Cu-Zn ; VF-XF ; 10 ; Ник 2 ; 19 
 1956 ; 1 копейка ; 1938 ;  ; Br ; XF ; 17 ; Krechet ; 77 
 1957 ; 1 копейка ; 1949 ;  ; Br ; XF ; 13 ; vborisevich1 ; 77 
 1958 ; 1 копейка ; 1952 ;  ; Br ; XF ; 20 ; alexgp ; 71 
 1859 ; 1 рубль ; 1987 ; 175 лет Бородино (обелиск) ; Cu-Ni ; XF+ ; 8 ; POSHEXON ; 46 
 1860 ; 1 рубль ; 1987 ; 70 лет Октябрьской революции ; Cu-Ni ; AU ; 9 ; POSHEXON ; 46 
 1861 ; 1 рубль ; 1987 ; 130 лет со дня рождения К.Э.Циолковского ; Cu-Ni ; AU ; 25 ; фёкла ; 88 
 1862 ; 1 рубль. Упаковка ; 1988 ; 160 лет со дня рождения А.Н.Толстого ; Cu-Ni ; Proof ; 22 ; vrs ; 204 
 1863 ; 1 рубль ; 1988 ; 120 лет со дня рождения А.М.Горького ; Cu-Ni ; AU ; 18 ; лаботряс ; 60 
 1864 ; 1 рубль ; 1988 ; 160 лет со дня рождения А.Н.Толстого ; Cu-Ni ; XF+ ; 13 ; evilpap ; 61 
 1865 ; 1 рубль. Упаковка ; 1989 ; 100 лет со дня смерти Эминеску ; Cu-Ni ; Proof ; 17 ; vrs ; 155 
 1866 ; 1 рубль ; 1989 ; 175 лет со дня рождения Т.Г.Шевченко ; Cu-Ni ; Proof ; 15 ; vrs ; 144 
 1867 ; 1 рубль ; 1990 ; 150 лет со дня рождения П.И.Чайковского ; Cu-Ni ; Proof ; 21 ; сортам70 ; 135 
 1868 ; 1 рубль. Упаковка ; 1992 ; 200 лет со дня рождения Н.И.Лобачевского ; Cu-Ni ; Proof ; 17 ; 845 ; 408 
 1869 ; 1 рубль. Упаковка ; 1992 ; "Суверенитет, демократия, возрождение" ; Cu-Ni ; Proof ; 16 ; rel1291 ; 414 
 1870 ; 1 рубль. Упаковка ; 1993 ; 130 лет со дня рождения В.И.Вернадского ; Cu-Ni ; Proof ; 25 ; brat52 ; 327 
 1871 ; 1 рубль ; 1965 ;  ; Cu-Ni ; VF-XF ; 11 ; parasit ; 102 
 1872 ; 1 рубль ; 1964 ;  ; Cu-Ni ; XF+ ; 9 ; potapov0 ; 77 
 1873 ; 1 рубль ; 1965 ;  ; Cu-Ni ; XF- ; 12 ; Vasilisk ; 114 
 1874 ; 1 рубль ; 1984 ;  ; Cu-Ni ; AU ; 30 ; Цезарь ; 315 
 1875 ; 1 рубль ; 1985 ;  ; Cu-Ni ; XF- ; 8 ; Xooch ; 116 
 1876 ; 1 рубль ; 1986 ;  ; Cu-Ni ; XF+ ; 12 ; Xooch ; 188 
 1877 ; 1 рубль ; 1987 ;  ; Cu-Ni ; XF+ ; 30 ; Алексей11 ; 322 
 1878 ; 1 рубль ; 1988 ;  ; Cu-Ni ; AU ; 18 ; alexgp ; 209 
 1879 ; 1 рубль ; 1989 ;  ; Cu-Ni ; AU ; 30 ; Vb[fksx ; 155 
 1880 ; 1 рубль ; 1990 ;  ; Cu-Ni ; AU ; 13 ; alexgp ; 112 
 1881 ; 1 рубль ; 1991 ; ММД ; Cu-Ni ; AU ; 22 ; 3051234 ; 204 
 1882 ; 50 копеек ; 1961 ;  ; Cu-Ni ; AU ; 57 ; verunk1 ; 816 
 1883 ; 50 копеек ; 1966 ;  ; Cu-Ni ; XF ; 5 ; dkflbvbh ; 179 
 1884 ; 50 копеек ; 1968 ;  ; Cu-Ni ; XF+ ; 53 ; Greenfields ; 171 
 1885 ; 50 копеек ; 1969 ;  ; Cu-Ni ; XF- ; 12 ; Ритм ; 59 
 1886 ; 50 копеек ; 1972 ;  ; Cu-Ni ; AU ; 22 ; verunk1 ; 785 
 1887 ; 50 копеек ; 1973 ;  ; Cu-Ni ; AU ; 16 ; bonipari ; 354 
 1888 ; 50 копеек ; 1974 ;  ; Cu-Ni ; AU ; 44 ; Skit ; 87 
 1889 ; 50 копеек ; 1976 ;  ; Cu-Ni ; XF- ; 18 ; lubopitnaja ; 419 
 1890 ; 50 копеек ; 1979 ;  ; Cu-Ni ; AU ; 11 ; Геолог ; 68 
 1891 ; 50 копеек ; 1980 ;  ; Cu-Ni ; VF-XF ; 6 ; Skit ; 31 
 1892 ; 50 копеек ; 1981 ;  ; Cu-Ni ; VF-XF ; 7 ; Skit ; 40 
 1893 ; 50 копеек ; 1982 ;  ; Cu-Ni ; AU ; 9 ; bonipari ; 340 
 1894 ; 50 копеек ; 1982 ;  ; Cu-Ni ; VF-XF ; 5 ; Skit ; 31 
 1895 ; 50 копеек ; 1983 ;  ; Cu-Ni ; VF-XF ; 7 ; MaxiMaxi ; 36 
 1896 ; 50 копеек ; 1983 ;  ; Cu-Ni ; VF-XF ; 7 ; Skit ; 36 
 1897 ; 50 копеек ; 1984 ;  ; Cu-Ni ; VF-XF ; 9 ; Ритм ; 41 
 1898 ; 50 копеек ; 1984 ;  ; Cu-Ni ; AU ; 5 ; Алек ; 340 
 1899 ; 50 копеек ; 1985 ;  ; Cu-Ni ; VF+ ; 10 ; Mukoved ; 55 
 1900 ; 50 копеек ; 1986 ;  ; Cu-Ni ; VF+ ; 11 ; Skit ; 42 
 1901 ; 50 копеек ; 1987 ;  ; Cu-Ni ; AU ; 25 ; novikoff12006 ; 125 
 1902 ; 50 копеек ; 1989 ;  ; Cu-Ni ; XF ; 7 ; alexgp ; 123 
 1903 ; 50 копеек ; 1989 ;  ; Cu-Ni ; AU ; 17 ; Vb[fksx ; 135 
 1904 ; 50 копеек ; 1991 ; ММД ; Cu-Ni ; AU ; 47 ; novikoff12006 ; 306 
 1905 ; 10 копеек ; 1934 ;  ; Ni ; VF+ ; 71 ; Ник 2 ; 1018 
 1906 ; 15 копеек ; 1944 ;  ; Ni ; VF+ ; 34 ; shknikolay ; 490 
 1907 ; 10 копеек ; 1938 ;  ; Ni ; VF- ; 26 ; eniy5 ; 312 
 1908 ; 10 копеек ; 1954 ;  ; Ni ; XF+ ; 14 ; ввп ; 58 
 1809 ; 1 рубль ; 1987 ; 175 лет Бородино (обелиск) ; Cu-Ni ; AU ; 20 ; POSHEXON ; 55 
 1810 ; 1 рубль ; 1988 ; 120 лет со дня рождения А.М.Горького ; Cu-Ni ; AU ; 20 ; LexaXa ; 60 
 1811 ; 1 рубль ; 1991 ; 125 лет со дня рождения П.Н.Лебедева ; Cu-Ni ; Proof ; 1 ; Mike! ; 141 
 1812 ; 1 рубль ; 1975 ; 30 лет Победы в войне 1941-1945 ; Cu-Ni ; AU ; 10 ; Mike! ; 102 
 1813 ; 5 рублей ; 1990 ; Матенадаран.Ереван ; Cu-Ni ; XF ; 12 ; 33madmax33 ; 114 
 1814 ; 5 рублей ; 1991 ; Памятник Давиду Сасунскому в Ереване ; Cu-Ni ; AU ; 19 ; фёкла ; 125 
 1815 ; 5 рублей ; 1991 ; Здание Госбанка СССР в Москве ; Cu-Ni ; AU ; 13 ; фёкла ; 125 
 1816 ; 5 рублей ; 1989 ; Собор Покрова на рву в Москве ; Cu-Ni ; AU ; 29 ; Туборг ; 239 
 1817 ; 5 рублей ; 1991 ; Архангельский собор в Москве ; Cu-Ni ; AU ; 31 ; 33madmax33 ; 117 
 1818 ; 5 рублей ; 1989 ; Ансамбль Регистан в Самарканде ; Cu-Ni ; AU ; 18 ; Ник 2 ; 200 
 1819 ; 5 рублей ; 1990 ; Большой дворец в Петродворце ; Cu-Ni ; AU ; 11 ; MaxiMaxi ; 125 
 1820 ; 5 рублей ; 1988 ; Софийский собор в Киеве ; Cu-Ni ; XF+ ; 14 ; jimmysu ; 131 
 1821 ; 5 рублей ; 1990 ; Успенский собор в Москве ; Cu-Ni ; AU ; 15 ; Ник 2 ; 125 
 1822 ; 1 рубль ; 1965 ; 20 лет победы над Германией ; Cu-Ni ; XF+ ; 17 ; LexaXa ; 36 
 1823 ; 1 рубль ; 1985 ; 40 лет Победы над Германией ; Cu-Ni ; XF ; 13 ; POSHEXON ; 53 
 1824 ; 1 рубль ; 1977 ; Олимпиада 80.Эмблема Олимпийских игр ; Cu-Ni ; XF+ ; 12 ; KASTRO-RUS ; 55 
 1825 ; 1 рубль ; 1978 ; Олимпиада 80.Московский Кремль ; Cu-Ni ; XF- ; 5 ; АЛЬБЕРТ ; 51 
 1826 ; 1 рубль ; 1979 ; Олимпиада 80.Обелиск покорителям космоса ; Cu-Ni ; XF+ ; 7 ; АЛЬБЕРТ ; 55 
 1827 ; 1 рубль ; 1979 ; Олимпиада 80.Здание МГУ ; Cu-Ni ; XF ; 3 ; АЛЬБЕРТ ; 51 
 1828 ; 1 рубль ; 1980 ; Олимпиада 80.Олимпийский факел ; Cu-Ni ; AU ; 19 ; Skit ; 80 
 1829 ; 1 рубль ; 1980 ; Олимпиада 80.Здание Моссовета ; Cu-Ni ; XF+ ; 8 ; фёкла ; 51 
 1830 ; 1 рубль. Ошибка на часах ; 1978 ; Олимпиада 80.Московский Кремль ; Cu-Ni ; AU ; 10 ; mr. Krab$ ; 123 
 1831 ; 5 рублей. Упаковка ; 1989 ; Ансамбль Регистан в Самарканде ; Cu-Ni ; Proof ; 29 ; A_V_K ; 308 
 1832 ; 5 рублей. Упаковка ; 1990 ; Большой дворец в Петродворце ; Cu-Ni ; Proof ; 26 ; Дядя Саша ; 195 
 1833 ; 5 рублей. Упаковка ; 1990 ; Успенский собор в Москве ; Cu-Ni ; Proof ; 24 ; Дядя Саша ; 257 
 1834 ; 5 рублей ; 1988 ; Софийский собор в Киеве ; Cu-Ni ; AU ; 20 ; indigo-rus ; 161 
 1835 ; 5 рублей ; 1988 ; Памятник в Новгороде "Тысячелетие России" ; Cu-Ni ; AU ; 30 ; indigo-rus ; 174 
 1836 ; 5 рублей ; 1990 ; Успенский собор в Москве ; Cu-Ni ; Proof ; 16 ; сортам70 ; 132 
 1837 ; 5 рублей. Упаковка ; 1992 ; Мавзолей-мечеть Ахмеда Ясави ; Cu-Ni ; Unc ; 47 ; hellraiser ; 765 
 1838 ; 3 рубля. Упаковка ; 1989 ; Землятресение в Армении ; Cu-Ni ; Proof ; 21 ; A_V_K ; 206 
 1839 ; 3 рубля. Упаковка ; 1991 ; 50 лет победы под Москвой ; Cu-Ni ; Proof ; 25 ; patron86 ; 179 
 1840 ; 3 рубля. Упаковка ; 1993 ; 50 лет победы в Сталинградской битве ; Cu-Ni ; Proof ; 29 ; rubin100 ; 408 
 1841 ; 3 рубля. Упаковка ; 1992 ; "19-21 августа" ; Cu-Ni ; Proof ; 19 ; Bonyf ; 650 
 1842 ; 3 рубля. Упаковка ; 1992 ; "19-21 августа" ; Cu-Ni ; Proof ; 17 ; kosp ; 650 
 1843 ; 3 рубля. Упаковка ; 1994 ; 50 лет прорыва блокады Ленинграда ; Cu-Ni ; Proof ; 33 ; Boryshkas ; 469 
 1844 ; 1 рубль ; 1977 ; Олимпиада 80.Эмблема Олимпийских игр ; Cu-Ni ; XF- ; 14 ; ASlab ; 46 
 1845 ; 1 рубль ; 1979 ; Олимпиада 80.Здание МГУ ; Cu-Ni ; AU ; 25 ; лаботряс ; 57 
 1846 ; 1 рубль ; 1979 ; Олимпиада 80.Здание МГУ ; Cu-Ni ; AU ; 10 ; лаботряс ; 56 
 1847 ; 1 рубль ; 1980 ; Олимпиада 80.Олимпийский факел ; Cu-Ni ; XF- ; 12 ; АЛЬБЕРТ ; 67 
 1848 ; 1 рубль ; 1980 ; Олимпиада 80.Здание Моссовета ; Cu-Ni ; XF+ ; 15 ; Skit ; 53 
 1849 ; 1 рубль ; 1982 ; 60 лет образования СССР ; Cu-Ni ; AU ; 22 ; Геолог ; 304 
 1850 ; 1 рубль ; 1983 ; 400 лет со дня смерти И.Федорова 1510-1583 ; Cu-Ni ; AU ; 29 ; Bonyf ; 213 
 1851 ; 1 рубль ; 1983 ; 165 лет со дня рождения К.Маркса ; Cu-Ni ; AU ; 17 ; rel1291 ; 169 
 1852 ; 1 рубль ; 1984 ; 185 лет со дня рождения А.С.Пушкина ; Cu-Ni ; AU ; 30 ; indigo-rus ; 168 
 1853 ; 1 рубль ; 1984 ; 125 лет со дня рождения А.С.Попова ; Cu-Ni ; AU ; 44 ; jimmysu ; 142 
 1854 ; 1 рубль ; 1985 ; 115 лет со дня рождения В.И.Ленина ; Cu-Ni ; AU ; 13 ; Ник 2 ; 206 
 1855 ; 1 рубль ; 1985 ; 40 лет Победы над Германией ; Cu-Ni ; AU ; 24 ; POSHEXON ; 53 
 1856 ; 1 рубль ; 1985 ; Фестиваль молодежи и студентов в Москве ; Cu-Ni ; AU ; 27 ; LexaXa ; 50 
 1857 ; 1 рубль ; 1986 ; 275 лет со дня рождения М.В.Ломоносова ; Cu-Ni ; XF+ ; 15 ; ua0fki ; 161 
 1858 ; 1 рубль ; 1986 ; Международный год мира ; Cu-Ni ; XF+ ; 9 ; Геолог ; 57 
 1759 ; 1 рубль.Новодел.  Упаковка ; 1983 ; 165 лет со дня рождения К.Маркса ; Cu-Ni ; Proof ; 72 ; Maz ; 693 
 1760 ; 1 рубль.Новодел.  Упаковка ; 1985 ; Фестиваль молодежи и студентов в Москве ; Cu-Ni ; Proof ; 27 ; Maz ; 601 
 1761 ; 1 рубль.Новодел.  Упаковка ; 1986 ; Международный год мира ; Cu-Ni ; Proof ; 72 ; A_coin ; 614 
 1762 ; 1 рубль. Упаковка ; 1987 ; 130 лет со дня рождения К.Э.Циолковского ; Cu-Ni ; Proof ; 21 ; Ритм ; 304 
 1763 ; 1 рубль. Упаковка ; 1987 ; 175 лет Бородино (барельеф) ; Cu-Ni ; Proof ; 16 ; vrs ; 220 
 1764 ; 1 рубль. Упаковка ; 1987 ; 175 лет Бородино (обелиск) ; Cu-Ni ; Proof ; 18 ; vrs ; 204 
 1765 ; 1 рубль. Упаковка ; 1988 ; 160 лет со дня рождения А.Н.Толстого ; Cu-Ni ; Proof ; 18 ; caiman67 ; 204 
 1766 ; 1 рубль. Упаковка ; 1988 ; 120 лет со дня рождения А.М.Горького ; Cu-Ni ; Proof ; 16 ; caiman67 ; 237 
 1767 ; 1 рубль. Упаковка ; 1989 ; 100 лет со дня смерти Эминеску ; Cu-Ni ; Proof ; 4 ; Войтович ; 200 
 1768 ; 1 рубль. Упаковка ; 1989 ; 175 лет со дня рождения М.Ю.Лермонтова ; Cu-Ni ; Proof ; 12 ; Maz ; 222 
 1769 ; 1 рубль. Упаковка ; 1989 ; 100 лет со дня рождения Ниязи ; Cu-Ni ; Proof ; 11 ; terner230 ; 204 
 1770 ; 1 рубль. Упаковка ; 1989 ; 175 лет со дня рождения Т.Г.Шевченко ; Cu-Ni ; Proof ; 22 ; Ритм ; 182 
 1771 ; 1 рубль. Упаковка ; 1989 ; 150 лет со дня рождения М.П.Мусоргского ; Cu-Ni ; Proof ; 12 ; Maz ; 184 
 1772 ; 1 рубль. Упаковка ; 1990 ; 150 лет со дня рождения П.И.Чайковского ; Cu-Ni ; Proof ; 16 ; Дядя Саша ; 249 
 1773 ; 1 рубль. Упаковка ; 1990 ; 500 лет со дня рождения Ф.Скорины ; Cu-Ni ; Proof ; 12 ; Maz ; 184 
 1774 ; 1 рубль. Упаковка ; 1990 ; 125 лет со дня рождения Я.Райниса ; Cu-Ni ; Proof ; 13 ; Galina66 ; 152 
 1775 ; 1 рубль. Упаковка ; 1990 ; 130 лет со дня рождения А.П.Чехова ; Cu-Ni ; Proof ; 18 ; Maz ; 240 
 1776 ; 1 рубль. Упаковка ; 1991 ; 550 лет со дня рождения А.Навои ; Cu-Ni ; Proof ; 16 ; Войтович ; 140 
 1777 ; 1 рубль. Упаковка ; 1991 ; 125 лет со дня рождения П.Н.Лебедева ; Cu-Ni ; Proof ; 25 ; Maz ; 194 
 1778 ; 1 рубль. Упаковка ; 1991 ; 101 год со дня рождения К.В.Иванова ; Cu-Ni ; Proof ; 11 ; Maz ; 181 
 1779 ; 1 рубль. Упаковка ; 1991 ; 100 лет со дня рождения С.Прокофьева ; Cu-Ni ; Proof ; 12 ; Maz ; 181 
 1780 ; 1 рубль. Упаковка ; 1992 ; 110 лет со дня рождения Я.Купалы ; Cu-Ni ; Proof ; 11 ; Войтович ; 342 
 1781 ; 1 рубль. Упаковка ; 1992 ; 200 лет со дня рождения Н.И.Лобачевского ; Cu-Ni ; Proof ; 10 ; Войтович ; 377 
 1782 ; 3 рубля ; 1995 ; Встреча на Эльбе. ; Cu-Ni ; Proof ; 36 ; advokatx ; 1842 
 1783 ; 1 рубль ; 1965 ; 20 лет победы над Германией ; Cu-Ni ; XF- ; 10 ; LexaXa ; 31 
 1784 ; 1 рубль ; 1967 ; 50 лет Советской власти ; Cu-Ni ; XF- ; 21 ; LexaXa ; 51 
 1785 ; 1 рубль ; 1991 ; Олимпиада в Барселоне. Бег ; Cu-Ni ; Proof ; 15 ; Дядя Саша ; 918 
 1786 ; 1 рубль ; 1991 ; Олимпиада в Барселоне.Метание копья ; Cu-Ni ; Proof ; 46 ; Boryshkas ; 1660 
 1787 ; 1 рубль ; 1991 ; Олимпиада в Барселоне.Велосипед ; Cu-Ni ; Proof ; 41 ; kop ; 2040 
 1788 ; 1 рубль ; 1991 ; Олимпиада в Барселоне.Прыжки в длину ; Cu-Ni ; Proof ; 19 ; miny ; 828 
 1789 ; 1 рубль ; 1991 ; Олимпиада в Барселоне.Борьба ; Cu-Ni ; Proof ; 11 ; perepelov ; 612 
 1790 ; 1 рубль ; 1991 ; Олимпиада в Барселоне.Штанга ; Cu-Ni ; Proof ; 19 ; Angal ; 918 
 1791 ; 1 рубль ; 1991 ; 101 год со дня рождения К.В.Иванова ; Cu-Ni ; Proof ; 14 ; vrs ; 153 
 1792 ; 1 рубль. Упаковка ; 1993 ; 130 лет со дня рождения В.И.Вернадского ; Cu-Ni ; Proof ; 15 ; 845 ; 450 
 1793 ; 1 рубль ; 1965 ; 20 лет победы над Германией ; Cu-Ni ; VF+ ; 5 ; xct ; 25 
 1794 ; 1 рубль ; 1970 ; 100 лет со дня рождения В.И.Ленина ; Cu-Ni ; XF ; 9 ; LexaXa ; 61 
 1795 ; 1 рубль ; 1980 ; Олимпиада 80.Олимпийский факел ; Cu-Ni ; XF ; 14 ; АЛЬБЕРТ ; 72 
 1796 ; 1 рубль ; 1978 ; Олимпиада 80.Московский Кремль ; Cu-Ni ; XF ; 9 ; POSHEXON ; 51 
 1797 ; 1 рубль ; 1981 ; Дружба навеки ; Cu-Ni ; XF ; 27 ; rel1291 ; 216 
 1798 ; 1 рубль ; 1985 ; 115 лет со дня рождения В.И.Ленина ; Cu-Ni ; XF+ ; 14 ; jimmysu ; 185 
 1799 ; 5 рублей ; 1987 ; 70 лет Октябрьской революции ; Cu-Ni ; XF ; 36 ; jimmysu ; 793 
 1800 ; 3 рубля ; 1992 ; 750 лет победы А.Невского ; Cu-Ni ; AU ; 20 ; 19Vlad72 ; 236 
 1801 ; 3 рубля ; 1992 ; Международный год космоса ; Cu-Ni ; Proof ; 14 ; Михаил_нов ; 400 
 1802 ; 3 рубля ; 1993 ; 50 лет победы на Курской дуге ; Cu-Ni ; Proof ; 19 ; terner230 ; 500 
 1803 ; 5 рублей. Упаковка ; 1993 ; Сергиев Посад ; Cu-Ni ; Proof ; 34 ; vasek ; 510 
 1804 ; 1 рубль ; 1975 ; 30 лет Победы в войне 1941-1945 ; Cu-Ni ; AU ; 13 ; KirAnn ; 47 
 1805 ; 1 рубль ; 1977 ; Олимпиада 80.Эмблема Олимпийских игр ; Cu-Ni ; XF ; 13 ; imi ; 50 
 1806 ; 1 рубль ; 1979 ; Олимпиада 80.Здание МГУ ; Cu-Ni ; XF ; 13 ; POSHEXON ; 57 
 1807 ; 1 рубль ; 1980 ; Олимпиада 80.Здание Моссовета ; Cu-Ni ; AU ; 15 ; imi ; 62 
 1808 ; 1 рубль ; 1985 ; 40 лет Победы над Германией ; Cu-Ni ; AU ; 21 ; POSHEXON ; 51 
 1709 ; 5 рублей ; 1990 ; Успенский собор в Москве ; Cu-Ni ; AU ; 37 ; anders1971 ; 123 
 1710 ; 5 рублей ; 1990 ; Матенадаран.Ереван ; Cu-Ni ; AU ; 21 ; Bonyf ; 117 
 1711 ; 5 рублей ; 1991 ; Здание Госбанка СССР в Москве ; Cu-Ni ; AU ; 9 ; 33madmax33 ; 114 
 1712 ; 5 рублей ; 1991 ; Архангельский собор в Москве ; Cu-Ni ; AU ; 7 ; 33madmax33 ; 114 
 1713 ; 5 рублей ; 1991 ; Памятник Давиду Сасунскому в Ереване ; Cu-Ni ; AU ; 16 ; Bonyf ; 123 
 1714 ; 1 рубль. Упаковка нарушена ; 1979 ; Олимпиада 80.Здание МГУ ; Cu-Ni ; Unc ; 7 ; boksha ; 134 
 1715 ; 5 рублей. Упаковка ; 1987 ; 70 лет Октябрьской революции ; Cu-Ni ; Proof ; 20 ; volvoinblood ; 1249 
 1716 ; 3 рубля. Упаковка ; 1993 ; 50 лет победы в Сталинградской битве ; Cu-Ni ; Proof ; 16 ; Войтович ; 453 
 1717 ; 3 рубля. Упаковка ; 1987 ; 70 лет Октябрьской революции ; Cu-Ni ; Proof ; 51 ; A_coin ; 523 
 1718 ; 3 рубля. Упаковка ; 1993 ; 50 лет победы на Курской дуге ; Cu-Ni ; Proof ; 16 ; Войтович ; 510 
 1719 ; 3 рубля. Упаковка ; 1991 ; 50 лет победы под Москвой ; Cu-Ni ; Proof ; 29 ; Войтович ; 214 
 1720 ; 1 рубль. Упаковка. Новодел ; 1982 ; 60 лет образования СССР ; Cu-Ni ; Proof ; 31 ; parallel ; 602 
 1721 ; 1 рубль. Упаковка ; 1989 ; 100 лет со дня рождения Ниязи ; Cu-Ni ; Proof ; 22 ; Maz ; 203 
 1722 ; 1 рубль. Упаковка ; 1992 ; 200 лет со дня рождения Н.И.Лобачевского ; Cu-Ni ; Proof ; 17 ; max.zuzin ; 407 
 1723 ; 1 рубль. Упаковка ; 1990 ; 150 лет со дня рождения П.И.Чайковского ; Cu-Ni ; Proof ; 10 ; Войтович ; 204 
