 5647 ; Конверт со спецгашением Гренландия ;  ;  ;  ;  ; 11 ; гоша334 ; 102 
 2666 ; 1 копейка ; 1933 ;  ; Br ; VF ; 28 ; 8reales ; 135 
 2667 ; 1 копейка ; 1939 ;  ; Br ; VF+ ; 10 ; vizer ; 40 
 2668 ; 20 копеек ; 1937 ; Л/с звезда плоская, шт. 20 коп. ; Ni ; VF+ ; 7 ; салаир ; 128 
 2669 ; 20 копеек ; 1939 ;  ; Ni ; VF-XF ; 18 ; Pomnikov ; 340 
 2670 ; 20 копеек ; 1940 ; Л/с звезда плоская, шт. 20 коп. ; Ni ; VF-XF ; 13 ; suomi ; 302 
 2671 ; 20 копеек ; 1943 ; Л/с звезда плоская, шт. 20 коп. ; Ni ; XF ; 15 ; БАТЫР ; 311 
 2672 ; 15 копеек ; 1935 ;  ; Ni ; VF ; 17 ; Pomnikov ; 359 
 2673 ; 15 копеек ; 1941 ;  ; Ni ; VF-XF ; 11 ; страус ; 119 
 2674 ; 15 копеек ; 1943 ;  ; Ni ; XF- ; 11 ; CMSpb ; 129 
 2675 ; 15 копеек ; 1945 ;  ; Ni ; VF-XF ; 12 ; shknikolay ; 147 
 2676 ; 10 копеек ; 1940 ;  ; Ni ; XF ; 28 ; салаир ; 320 
 2677 ; 1 копейка ; 1941 ;  ; Br ; AU/XF ; 25 ; hanim ; 381 
 2678 ; 3 копейки ; 1926 ;  ; Br ; VF ; 13 ; СебастьянПерейро ; 210 
 2679 ; 2 копейки ; 1929 ;  ; Br ; VF-XF ; 10 ; siw03 ; 106 
 2680 ; 1 копейка ; 1933 ;  ; Br ; XF ; 41 ; CMSpb ; 159 
 2581 ; 15 копеек ; 1953 ;  ; Ni ; XF ; 15 ; салаир ; 32 
 2582 ; 5 копеек ; 1932 ;  ; Br ; VF ; 25 ; салаир ; 96 
 2583 ; 15 копеек ; 1957 ; В венке герба 15 лент ; Ni ; XF ; 5 ; prostor.71 ; 12 
 2584 ; 3 копейки ; 1936 ; Л/с звезда фигурная ; Br ; VF- ; 33 ; sibirian ; 33 
 2585 ; 3 копейки ; 1952 ;  ; Br ; VF- ; 24 ; А.А.Д ; 37 
 2586 ; 20 копеек ; 1957 ; В венке герба 15 лент ; Ni ; XF+ ; 7 ; kadgeo ; 19 
 2587 ; 2 рубля ; 1999 ; СПМД ; Cu-Ni-Zn ; AU ; 25 ; hanim ; 349 
 2588 ; 1 рубль ; 1990 ;  ; Cu-Ni ; AU ; 17 ; крлкв ; 115 
 2589 ; 1 рубль ; 1990 ;  ; Cu-Ni ; XF+ ; 13 ; ShYrik_RUS ; 112 
 2590 ; 50 копеек ; 1984 ;  ; Cu-Ni ; XF+ ; 15 ; Гаечка ; 78 
 2591 ; 50 копеек ; 1984 ;  ; Cu-Ni ; XF+ ; 7 ; rustamsp ; 97 
 2592 ; 50 копеек ; 1991 ; ЛМД ; Cu-Ni ; AU ; 21 ; крлкв ; 141 
 2593 ; 50 копеек ; 1991 ; ЛМД ; Cu-Ni ; XF+ ; 13 ; Maksss163 ; 114 
 2594 ; 50 копеек. 50 лет Советской власти ; 1967 ;  ; Cu-Ni ; XF ; 13 ; Левин А. ; 88 
 2595 ; 50 копеек. 50 лет Советской власти ; 1967 ;  ; Cu-Ni ; XF ; 9 ; сборщик ; 100 
 2596 ; 20 копеек. 50 лет Советской власти ; 1967 ;  ; Cu-Ni ; AU ; 21 ; AlexRep ; 123 
 2597 ; 20 копеек. 50 лет Советской власти ; 1967 ;  ; Cu-Ni ; AU ; 13 ; AlexRep ; 159 
 2598 ; 10 копеек ; 1956 ; В венке герба 16 лент ; Ni ; AU ; 20 ; hanim ; 184 
 2599 ; 15 копеек ; 1976 ;  ; Cu-Ni ; AU ; 11 ; крлкв ; 180 
 2600 ; 1 рубль ; 1964 ;  ; Cu-Ni ; VF ; 44 ; Skrudge ; 92 
 2601 ; 15 копеек ; 1976 ;  ; Cu-Ni ; AU ; 26 ; LEHA.LIS ; 239 
 2602 ; 50 копеек ; 1977 ;  ; Cu-Ni ; VF- ; 7 ; kadgeo ; 24 
 2603 ; 5 копеек. Упаковка нарушена ; 1988 ;  ; Cu-Zn ; AU ; 12 ; dim66 ; 130 
 2604 ; 2 копейки ; 1966 ;  ; Cu-Zn ; VF- ; 13 ; Maksss163 ; 91 
 2605 ; 3 копейки ; 1965 ;  ; Cu-Zn ; VF ; 18 ; Вязниковец ; 534 
 2606 ; 2 копейки ; 1965 ;  ; Cu-Zn ; VF ; 5 ; СебастьянПерейро ; 114 
 2607 ; 2 копейки ; 1961 ;  ; Cu-Zn ; VF ; 4 ; Maxnum ; 9 
 2608 ; 100 рублей ; 1992 ; ЛМД Биметалл ; Cu-Ni/Cu-Zn ; XF+ ; 22 ; Стеша ; 102 
 2609 ; 100 рублей ; 1992 ; ЛМД Биметалл ; Cu-Ni/Cu-Zn ; AU ; 17 ; arsenich-s ; 104 
 2610 ; 50 рублей ; 1992 ; ЛМД Биметалл ; Cu-Zn/Cu-Ni ; XF+ ; 19 ; А.А.Д ; 57 
 2611 ; 50 рублей ; 1992 ; ЛМД Биметалл ; Cu-Zn/Cu-Ni ; XF+ ; 29 ; Стеша ; 63 
 2612 ; 50 копеек. Упаковка ; 1969 ;  ; Cu-Ni ; AU ; 36 ; nivva ; 567 
 2613 ; 1 рубль ; 1980 ;  ; Cu-Ni ; AU ; 35 ; AlexRep ; 1858 
 2614 ; 50 копеек ; 1980 ;  ; Cu-Ni ; AU ; 19 ; света1973 ; 227 
 2615 ; 20 копеек ; 1980 ;  ; Cu-Ni ; AU ; 8 ; света1973 ; 104 
 2616 ; 10 копеек ; 1980 ;  ; Cu-Ni ; XF+ ; 1 ; света1973 ; 2 
 2617 ; 15 копеек ; 1980 ;  ; Cu-Ni ; AU ; 7 ; Палыч61 ; 152 
 2618 ; 5 копеек ; 1980 ;  ; Cu-Zn ; AU ; 5 ; света1973 ; 104 
 2619 ; 5 копеек ; 1951 ;  ; Br ; VF+ ; 35 ; shknikolay ; 1084 
 2620 ; 5 копеек ; 1955 ;  ; Br ; XF ; 11 ; hanim ; 77 
 2621 ; 1 рубль ; 1990 ;  ; Cu-Ni ; XF ; 15 ; xepak ; 91 
 2622 ; 1 рубль ; 1988 ;  ; Cu-Ni ; XF ; 28 ; Andre32 ; 157 
 2623 ; 1 рубль ; 1991 ; ЛМД ; Cu-Ni ; XF+ ; 23 ; Вязниковец ; 250 
 2624 ; 50 копеек ; 1982 ;  ; Cu-Ni ; XF ; 7 ; pos ; 45 
 2625 ; 15 копеек ; 1977 ;  ; Cu-Ni ; XF ; 1 ; Skrudge ; 2 
 2626 ; 50 копеек ; 1987 ;  ; Cu-Ni ; XF+ ; 9 ; rustamsp ; 32 
 2627 ; 15 копеек ; 1978 ;  ; Cu-Ni ; XF+ ; 1 ; Skrudge ; 2 
 2628 ; 5 копеек ; 1961 ;  ; Cu-Zn ; XF+ ; 31 ; G-O-R ; 54 
 2629 ; 3 копейки ; 1946 ;  ; Br ; XF ; 57 ; stasson ; 655 
 2630 ; 3 копейки ; 1930 ;  ; Br ; F ; 7 ; sibirian ; 31 
 2531 ; 3 копейки ; 1932 ;  ; Br ; VF- ; 4 ; страус ; 30 
 2532 ; 3 копейки ; 1950 ;  ; Br ; VF ; 11 ; А.А.Д ; 45 
 2533 ; 20 копеек ; 1955 ;  ; Ni ; XF ; 7 ; prostor.71 ; 16 
 2534 ; 20 копеек ; 1932 ;  ; Ni ; VF- ; 7 ; cr2952 ; 36 
 2535 ; 20 копеек ; 1933 ;  ; Ni ; F+ ; 9 ; сборщик ; 61 
 2536 ; 20 копеек ; 1952 ;  ; Ni ; VF-XF ; 7 ; prostor.71 ; 17 
 2537 ; 15 копеек ; 1946 ;  ; Ni ; VF- ; 8 ; prostor.71 ; 16 
 2538 ; 15 копеек ; 1955 ;  ; Ni ; XF ; 5 ; Holder31 ; 23 
 2539 ; 15 копеек ; 1945 ;  ; Ni ; VF ; 9 ; pos ; 117 
 2540 ; 15 копеек ; 1931 ;  ; Ni ; VF- ; 25 ; Pomnikov ; 120 
 2541 ; 3 копейки ; 1957 ; В венке герба 15 лент ; Br ; F+ ; 21 ; 8reales ; 21 
 2542 ; 20 копеек ; 1946 ; Л/с звезда плоская, шт. 20 коп. ; Ni ; VF+ ; 5 ; страус ; 30 
 2543 ; 15 копеек ; 1952 ;  ; Ni ; VF ; 7 ; салаир ; 31 
 2544 ; 20 копеек ; 1949 ;  ; Ni ; XF ; 20 ; салаир ; 181 
 2545 ; 15 копеек ; 1951 ;  ; Ni ; VF ; 21 ; салаир ; 350 
 2546 ; 15 копеек ; 1956 ;  ; Ni ; VF ; 30 ; Andre32 ; 44 
 2547 ; 15 копеек ; 1957 ; В венке герба 15 лент ; Ni ; XF+ ; 12 ; 2556 ; 72 
 2548 ; 15 копеек ; 1935 ;  ; Ni ; F+ ; 27 ; салаир ; 193 
 2549 ; 10 копеек ; 1951 ;  ; Ni ; XF- ; 17 ; gelo ; 261 
 2550 ; 50 копеек. Упаковка ; 1986 ;  ; Cu-Ni ; AU ; 30 ; AlexRep ; 210 
 2551 ; 1 рубль. Упаковка ; 1986 ;  ; Cu-Ni ; AU ; 37 ; NUMIZMAT 777 ; 329 
 2552 ; 3 копейки ; 1956 ;  ; Br ; VF+ ; 8 ; vizer ; 36 
 2553 ; 3 копейки ; 1938 ;  ; Br ; VF+ ; 17 ; страус ; 55 
 2554 ; 3 копейки ; 1953 ;  ; Br ; VF- ; 13 ; CMSpb ; 28 
 2555 ; 20 копеек ; 1957 ; В венке герба 15 лент ; Ni ; XF ; 9 ; sibirian ; 19 
 2556 ; 20 копеек ; 1954 ;  ; Ni ; XF ; 21 ; Holder31 ; 47 
 2557 ; 20 копеек ; 1953 ;  ; Ni ; XF ; 10 ; kadgeo ; 22 
 2558 ; 15 копеек ; 1932 ;  ; Ni ; VF ; 34 ; cr2952 ; 104 
 2559 ; 5 копеек ; 1930 ;  ; Br ; F ; 12 ; Rober ; 55 
 2560 ; 3 копейки ; 1932 ;  ; Br ; F+ ; 8 ; sibirian ; 46 
 2561 ; 3 копейки ; 1939 ;  ; Br ; VF- ; 26 ; vizer ; 87 
 2562 ; 2 копейки ; 1935 ;  ; Br ; F-VF ; 19 ; Rober ; 101 
 2563 ; 2 копейки ; 1946 ;  ; Br ; VF ; 18 ; Rober ; 60 
 2564 ; 1 копейка ; 1940 ;  ; Br ; VF ; 7 ; Rober ; 31 
 2565 ; 20 копеек ; 1933 ;  ; Ni ; F ; 11 ; cr2952 ; 69 
 2566 ; 2 копейки ; 1956 ;  ; Br ; XF- ; 4 ; мак-сим ; 31 
 2567 ; 1 копейка ; 1957 ; В венке герба 15 лент ; Br ; XF ; 41 ; 8reales ; 41 
 2568 ; 20 копеек ; 1991 ; ЛМД Л/с шт. 3 коп. ; Cu-Ni ; VF-XF ; 44 ; 13дим13 ; 140 
 2569 ; 1 копейка ; 1956 ;  ; Br ; XF ; 13 ; салаир ; 62 
 2570 ; 10 копеек ; 1931 ;  ; Ni ; VF- ; 25 ; Pomnikov ; 257 
 2571 ; 10 копеек ; 1957 ; В венке герба 15 лент ; Ni ; AU ; 5 ; Гаечка ; 21 
 2572 ; 1 копейка ; 1949 ;  ; Br ; AU ; 9 ; Varoh ; 97 
 2573 ; 10 копеек ; 1951 ;  ; Ni ; VF+ ; 27 ; юрий73 ; 213 
 2574 ; 1 копейка ; 1940 ;  ; Br ; VF ; 5 ; Zorg ; 31 
 2575 ; 2 копейки ; 1936 ;  ; Br ; VF- ; 17 ; Markgraf ; 36 
 2576 ; 1 копейка ; 1939 ;  ; Br ; VF+ ; 27 ; vizer ; 84 
 2577 ; 1 копейка ; 1939 ;  ; Br ; VF+ ; 11 ; vizer ; 79 
 2578 ; 20 копеек ; 1932 ;  ; Ni ; VF ; 7 ; сборщик ; 45 
 2579 ; 1 копейка ; 1977 ;  ; Cu-Zn ; AU ; 19 ; nivva ; 53 
 2580 ; 15 копеек ; 1957 ; В венке герба 15 лент ; Ni ; XF ; 31 ; 8reales ; 38 
 2481 ; 1 рубль ; 1986 ; Международный год мира ; Cu-Ni ; XF ; 17 ; Maxnum ; 59 
 2482 ; 1 рубль ; 1987 ; 130 лет со дня рождения К.Э.Циолковского ; Cu-Ni ; XF ; 9 ; Shurmon ; 72 
 2483 ; 1 рубль ; 1988 ; 160 лет со дня рождения А.Н.Толстого ; Cu-Ni ; XF ; 22 ; iustas ; 76 
 2484 ; 1 рубль ; 1983 ; 20 лет полета в космос В.Терешковой ; Cu-Ni ; AU ; 11 ; Andre32 ; 257 
 2485 ; 1 рубль ; 1980 ; Олимпиада 80.Олимпийский факел ; Cu-Ni ; XF+ ; 33 ; wwi.i ; 147 
 2486 ; 1 рубль ; 1979 ; Олимпиада 80.Здание МГУ ; Cu-Ni ; XF+ ; 19 ; wwi.i ; 71 
 2487 ; 1 рубль ; 1987 ; 175 лет Бородино (барельеф) ; Cu-Ni ; AU ; 23 ; wwi.i ; 73 
 2488 ; 1 рубль ; 1979 ; Олимпиада 80.Обелиск покорителям космоса ; Cu-Ni ; XF ; 13 ; se170661 ; 70 
 2489 ; 1 рубль ; 1983 ; 400 лет со дня смерти И.Федорова 1510-1583 ; Cu-Ni ; XF+ ; 7 ; 312 ; 226 
 2490 ; 1 рубль ; 1985 ; Фестиваль молодежи и студентов в Москве ; Cu-Ni ; XF+ ; 20 ; Shurmon ; 100 
 2491 ; 1 рубль ; 1986 ; 275 лет со дня рождения М.В.Ломоносова ; Cu-Ni ; XF+ ; 21 ; акто_то ; 234 
 2492 ; 1 рубль ; 1975 ; 30 лет Победы в войне 1941-1945 ; Cu-Ni ; XF+ ; 33 ; wwi.i ; 102 
 2493 ; 1 рубль ; 1989 ; 100 лет со дня рождения Ниязи ; Cu-Ni ; XF ; 32 ; ShYrik_RUS ; 150 
 2494 ; 5 рублей ; 1987 ; 70 лет Октябрьской революции ; Cu-Ni ; XF ; 47 ; morozenka ; 1800 
 2495 ; 5 рублей ; 1991 ; Архангельский собор в Москве ; Cu-Ni ; XF+ ; 5 ; ShYrik_RUS ; 134 
 2496 ; 3 рубля ; 1989 ; Землетрясение в Армении ; Cu-Ni ; AU ; 7 ; an17s ; 102 
 2497 ; 3 рубля ; 1987 ; 70 лет Октябрьской революции ; Cu-Ni ; AU ; 11 ; phoenix knight ; 207 
 2498 ; 1 рубль ; 1985 ; 165 лет со дня рождения Ф.Энгельса ; Cu-Ni ; AU ; 15 ; lexx9000 ; 232 
 2499 ; 3 рубля ; 1992 ; Международный год космоса ; Cu-Ni ; Proof ; 35 ; квв76 ; 397 
 2500 ; 3 рубля ; 1992 ; "Северный конвой" ; Cu-Ni ; Proof ; 20 ; квв76 ; 867 
 2501 ; 3 рубля ; 1991 ; 50 лет победы под Москвой ; Cu-Ni ; Proof ; 11 ; ialaiola ; 184 
 2502 ; 3 рубля ; 1989 ; Землетрясение в Армении ; Cu-Ni ; Proof ; 15 ; Shurmon ; 172 
 2503 ; 3 рубля ; 1992 ; "Северный конвой" ; Cu-Ni ; Proof ; 44 ; Shurmon ; 776 
 2504 ; 3 рубля ; 1993 ; 50 лет освобождения Киева ; Cu-Ni ; Proof ; 38 ; Shurmon ; 955 
 2505 ; 3 рубля ; 1995 ; Капитуляция Германии ; Cu-Ni ; Proof ; 50 ; mix69531 ; 1733 
 2506 ; 3 рубля ; 1992 ; "19-21 августа" ; Cu-Ni ; Proof ; 28 ; квв76 ; 815 
 2507 ; 3 рубля. Упаковка нарушена ; 1995 ; 50 лет освобождения Будапешта ; Cu-Ni ; Proof ; 29 ; t_v_v ; 1388 
 2508 ; 3 рубля. Упаковка нарушена ; 1993 ; 50 лет победы на Курской дуге ; Cu-Ni ; Proof ; 19 ; папашаГарпагон ; 579 
 2509 ; 5 рублей ; 1993 ; Древний Мерв ; Cu-Ni ; AU ; 60 ; MolchSer5 ; 2448 
 2510 ; 5 рублей ; 1992 ; Мавзолей-мечеть Ахмеда Ясави ; Cu-Ni ; Proof ; 16 ; pref ; 510 
 2511 ; 5 рублей ; 1992 ; Мавзолей-мечеть Ахмеда Ясави ; Cu-Ni ; Proof ; 25 ; сортам70 ; 500 
 2512 ; 5 рублей ; 1992 ; Мавзолей-мечеть Ахмеда Ясави ; Cu-Ni ; Proof ; 10 ; сортам70 ; 510 
 2513 ; 5 рублей. Упаковка ; 1992 ; Мавзолей-мечеть Ахмеда Ясави ; Cu-Ni ; Proof ; 9 ; Energo ; 612 
 2514 ; 5 рублей. Упаковка ; 1993 ; Сергиев Посад ; Cu-Ni ; Proof ; 32 ; квв76 ; 612 
 2515 ; 5 рублей ; 1993 ; Сергиев Посад ; Cu-Ni ; Proof ; 26 ; t2029 ; 509 
 2516 ; 5 рублей ; 1988 ; Памятник Петру I в Ленинграде ; Cu-Ni ; Proof ; 25 ; сортам70 ; 178 
 2517 ; 5 рублей ; 1991 ; Памятник Давиду Сасунскому в Ереване ; Cu-Ni ; Proof ; 13 ; сортам70 ; 169 
 2518 ; 5 рублей ; 1990 ; Успенский собор в Москве ; Cu-Ni ; Proof ; 18 ; сортам70 ; 120 
 2519 ; 1 рубль ; 1991 ; Олимпиада в Барселоне. Бег ; Cu-Ni ; Proof ; 63 ; WhiteMouse ; 1175 
 2520 ; 1 рубль ; 1991 ; Олимпиада в Барселоне. Бег ; Cu-Ni ; Proof ; 39 ; edelveis ; 1129 
 2521 ; 1 рубль ; 1991 ; Олимпиада в Барселоне.Прыжки в длину ; Cu-Ni ; Proof ; 53 ; WhiteMouse ; 1192 
 2522 ; 1 рубль ; 1991 ; Олимпиада в Барселоне.Прыжки в длину ; Cu-Ni ; Proof ; 42 ; Shurmon ; 1205 
 2523 ; 10 копеек ; 1956 ; В венке герба 16 лент ; Ni ; AU ; 25 ; 2250 ; 181 
 2524 ; 10 копеек ; 1957 ; В венке герба 15 лент ; Ni ; XF+ ; 5 ; prostor.71 ; 12 
 2525 ; 10 копеек ; 1940 ;  ; Ni ; VF+ ; 35 ; салаир ; 278 
 2526 ; 20 копеек ; 1936 ; Л/с звезда плоская ; Ni ; VF+ ; 8 ; cr2952 ; 79 
 2527 ; 2 копейки ; 1946 ;  ; Br ; VF+ ; 17 ; saha_2001 ; 59 
 2528 ; 20 копеек ; 1957 ; В венке герба 15 лент ; Ni ; AU ; 15 ; nivva ; 113 
 2529 ; 10 копеек ; 1954 ;  ; Ni ; AU ; 22 ; 2250 ; 123 
 2530 ; 20 копеек ; 1978 ;  ; Cu-Ni ; AU ; 11 ; dim66 ; 38 
 2431 ; 1 рубль ; 1987 ; 70 лет Октябрьской революции ; Cu-Ni ; Proof ; 16 ; сортам70 ; 157 
 2432 ; 1 рубль ; 1987 ; 70 лет Октябрьской революции ; Cu-Ni ; Proof ; 26 ; ghea ; 151 
 2433 ; 1 рубль ; 1987 ; 70 лет Октябрьской революции ; Cu-Ni ; Proof ; 24 ; ghea ; 151 
 2434 ; 1 рубль ; 1987 ; 70 лет Октябрьской революции ; Cu-Ni ; AU ; 47 ; wwi.i ; 146 
 2435 ; 1 рубль ; 1989 ; 100 лет со дня рождения Ниязи ; Cu-Ni ; AU ; 15 ; ShYrik_RUS ; 155 
 2436 ; 1 рубль ; 1989 ; 100 лет со дня рождения Ниязи ; Cu-Ni ; Proof ; 17 ; тпруф ; 148 
 2437 ; 1 рубль ; 1989 ; 100 лет со дня рождения Ниязи ; Cu-Ni ; Proof ; 11 ; ialaiola ; 141 
 2438 ; 1 рубль ; 1989 ; 100 лет со дня рождения Ниязи ; Cu-Ni ; Proof ; 10 ; ghea ; 141 
 2439 ; 1 рубль ; 1989 ; 100 лет со дня рождения Ниязи ; Cu-Ni ; Proof ; 12 ; ghea ; 147 
 2440 ; 1 рубль ; 1991 ; 100 лет со дня рождения С.Прокофьева ; Cu-Ni ; AU ; 29 ; Shurmon ; 83 
 2441 ; 1 рубль ; 1991 ; 100 лет со дня рождения С.Прокофьева ; Cu-Ni ; Proof ; 18 ; phoenix knight ; 136 
 2442 ; 1 рубль ; 1991 ; 100 лет со дня рождения С.Прокофьева ; Cu-Ni ; Proof ; 7 ; Maxnum ; 123 
 2443 ; 1 рубль ; 1991 ; 100 лет со дня рождения С.Прокофьева ; Cu-Ni ; Proof ; 9 ; Maxnum ; 123 
 2444 ; 1 рубль ; 1991 ; 100 лет со дня рождения С.Прокофьева ; Cu-Ni ; Proof ; 17 ; _Владимир_ ; 136 
 2445 ; 1 рубль ; 1991 ; 100 лет со дня рождения С.Прокофьева ; Cu-Ni ; Proof ; 14 ; Maxnum ; 123 
 2446 ; 1 рубль ; 1989 ; 175 лет со дня рождения М.Ю.Лермонтова ; Cu-Ni ; AU ; 17 ; ShYrik_RUS ; 83 
 2447 ; 1 рубль ; 1980 ; Олимпиада 80.Здание Моссовета ; Cu-Ni ; AU ; 13 ; света1973 ; 153 
 2448 ; 1 рубль ; 1979 ; Олимпиада 80.Обелиск покорителям космоса ; Cu-Ni ; XF+ ; 5 ; света1973 ; 68 
 2449 ; 1 рубль ; 1979 ; Олимпиада 80.Здание МГУ ; Cu-Ni ; XF+ ; 7 ; света1973 ; 69 
 2450 ; 1 рубль ; 1977 ; Олимпиада 80.Эмблема Олимпийских игр ; Cu-Ni ; XF ; 7 ; света1973 ; 42 
 2451 ; 1 рубль ; 1991 ; 550 лет со дня рождения А.Навои.Дата 1990 вместо 1991 ; Cu-Ni ; XF- ; 30 ; edelveis ; 4507 
 2452 ; 1 рубль ; 1980 ; Олимпиада 80.Олимпийский факел ; Cu-Ni ; VF+ ; 5 ; света1973 ; 139 
 2453 ; 1 рубль ; 1993 ; 100 лет со дня рождения В.В.Маяковского ; Cu-Ni ; Proof ; 37 ; 55tcvetkov55 ; 1226 
 2454 ; 1 рубль. Упаковка ; 1993 ; 130 лет со дня рождения В.И.Вернадского ; Cu-Ni ; Proof ; 49 ; Shurmon ; 3059 
 2455 ; 5 рублей. Упаковка ; 1990 ; Успенский собор в Москве ; Cu-Ni ; Proof ; 13 ; света1973 ; 181 
 2456 ; 5 рублей ; 1991 ; Здание Госбанка СССР в Москве ; Cu-Ni ; Proof ; 7 ; света1973 ; 184 
 2457 ; 1 рубль ; 1987 ; 130 лет со дня рождения К.Э.Циолковского ; Cu-Ni ; Proof ; 7 ; света1973 ; 179 
 2458 ; 1 рубль. Упаковка ; 1992 ; "Суверенитет, демократия, возрождение" ; Cu-Ni ; Proof ; 46 ; света1973 ; 786 
 2459 ; 3 рубля ; 1991 ; 50 лет победы под Москвой ; Cu-Ni ; XF+ ; 11 ; света1973 ; 183 
 2460 ; 1 рубль. Новодел ; 1985 ; 40 лет Победы над Германией ; Cu-Ni ; Proof ; 25 ; света1973 ; 599 
 2461 ; 1 рубль ; 1991 ; 850 лет со дня рождения Низами Гянджеви ; Cu-Ni ; Proof ; 27 ; света1973 ; 193 
 2462 ; 1 рубль ; 1988 ; 160 лет со дня рождения А.Н.Толстого ; Cu-Ni ; Proof ; 30 ; phoenix knight ; 196 
 2463 ; 1 рубль. Упаковка нарушена ; 1991 ; 550 лет со дня рождения А.Навои ; Cu-Ni ; Proof ; 17 ; квв76 ; 193 
 2464 ; 1 рубль. Упаковка ; 1991 ; Махтумкули ; Cu-Ni ; Proof ; 20 ; flash-kir ; 271 
 2465 ; 1 рубль. Новодел. Упаковка ; 1983 ; 165 лет со дня рождения К.Маркса ; Cu-Ni ; Proof ; 17 ; света1973 ; 512 
 2466 ; 1 рубль. Новодел. Упаковка ; 1975 ; 30 лет Победы в войне 1941-1945 ; Cu-Ni ; Proof ; 17 ; света1973 ; 508 
 2467 ; 1 рубль. Новодел. Упаковка ; 1986 ; 275 лет со дня рождения М.В.Ломоносова ; Cu-Ni ; Proof ; 17 ; света1973 ; 456 
 2468 ; 1 рубль. Упаковка ; 1988 ; 120 лет со дня рождения А.М.Горького ; Cu-Ni ; Proof ; 18 ; квв76 ; 206 
 2469 ; 1 рубль. Упаковка ; 1989 ; 175 лет со дня рождения М.Ю.Лермонтова ; Cu-Ni ; Proof ; 36 ; phoenix knight ; 254 
 2470 ; 1 рубль. Упаковка ; 1987 ; 175 лет Бородино (барельеф) ; Cu-Ni ; Proof ; 23 ; jek31 ; 204 
 2471 ; 1 рубль ; 1987 ; 70 лет Октябрьской революции ; Cu-Ni ; AU ; 5 ; Maxnum ; 55 
 2472 ; 1 рубль ; 1989 ; 150 лет со дня рождения М.П.Мусоргского ; Cu-Ni ; XF ; 17 ; Maxnum ; 66 
 2473 ; 1 рубль ; 1984 ; 150 лет со дня рождения Д.И.Менделеева ; Cu-Ni ; AU ; 16 ; lexx9000 ; 258 
 2474 ; 1 рубль ; 1984 ; 185 лет со дня рождения А.С.Пушкина ; Cu-Ni ; XF ; 15 ; se170661 ; 252 
 2475 ; 1 рубль ; 1983 ; 165 лет со дня рождения К.Маркса ; Cu-Ni ; XF+ ; 11 ; л842 ; 246 
 2476 ; 1 рубль ; 1985 ; 115 лет со дня рождения В.И.Ленина ; Cu-Ni ; XF+ ; 9 ; Матроскин ; 258 
 2477 ; 1 рубль ; 1978 ; Олимпиада 80.Московский Кремль ; Cu-Ni ; XF ; 5 ; Maxnum ; 45 
 2478 ; 1 рубль ; 1988 ; 120 лет со дня рождения А.М.Горького ; Cu-Ni ; XF ; 9 ; ВВЛ ; 68 
 2479 ; 1 рубль ; 1985 ; 40 лет Победы над Германией ; Cu-Ni ; XF ; 7 ; ShYrik_RUS ; 45 
 2480 ; 1 рубль ; 1984 ; 125 лет со дня рождения А.С.Попова ; Cu-Ni ; XF+ ; 26 ; ShYrik_RUS ; 202 
 2381 ; 1 рубль ; 1989 ; 150 лет со дня рождения М.П.Мусоргского ; Cu-Ni ; Proof ; 11 ; Maxnum ; 133 
 2382 ; 1 рубль ; 1989 ; 150 лет со дня рождения М.П.Мусоргского ; Cu-Ni ; Proof ; 23 ; Maxnum ; 133 
 2383 ; 1 рубль ; 1989 ; 150 лет со дня рождения М.П.Мусоргского ; Cu-Ni ; Proof ; 9 ; Maxnum ; 133 
 2384 ; 1 рубль ; 1989 ; 150 лет со дня рождения М.П.Мусоргского ; Cu-Ni ; Proof ; 11 ; Maxnum ; 133 
 2385 ; 1 рубль ; 1989 ; 150 лет со дня рождения М.П.Мусоргского ; Cu-Ni ; AU ; 11 ; ShYrik_RUS ; 75 
 2386 ; 1 рубль ; 1985 ; 40 лет Победы над Германией ; Cu-Ni ; AU ; 9 ; сборщик ; 102 
 2387 ; 1 рубль. Упаковка ; 1985 ; 40 лет Победы над Германией ; Cu-Ni ; Proof ; 28 ; Wulf ; 1019 
 2388 ; 1 рубль ; 1987 ; 175 лет Бородино (обелиск) ; Cu-Ni ; Proof ; 14 ; phoenix knight ; 126 
 2389 ; 1 рубль ; 1987 ; 175 лет Бородино (обелиск) ; Cu-Ni ; Proof ; 13 ; _Владимир_ ; 126 
 2390 ; 1 рубль ; 1987 ; 175 лет Бородино (обелиск) ; Cu-Ni ; Proof ; 14 ; Shurmon ; 124 
 2391 ; 1 рубль ; 1987 ; 175 лет Бородино (обелиск) ; Cu-Ni ; Proof ; 9 ; Shurmon ; 123 
 2392 ; 1 рубль ; 1987 ; 175 лет Бородино (обелиск) ; Cu-Ni ; AU ; 5 ; Kamsky ; 68 
 2393 ; 1 рубль ; 1987 ; 175 лет Бородино (барельеф) ; Cu-Ni ; Proof ; 17 ; _Владимир_ ; 136 
 2394 ; 1 рубль ; 1987 ; 175 лет Бородино (барельеф) ; Cu-Ni ; Proof ; 14 ; Shurmon ; 125 
 2395 ; 1 рубль ; 1990 ; 125 лет со дня рождения Я.Райниса ; Cu-Ni ; Proof ; 8 ; Shurmon ; 136 
