 5828 ; Бона иностранная. Куба ; 1896 ;  ;  ;  ; 29 ; umbrella ; 340 
 1896 ; Жетон. 10 копеек. 70 лет Советскому чекану ; ММД ;  ; Cu/Ni ; Proof ; 44 ; etalon ; 890 
 1897 ; 5 пядей. Атаман Ермак Тимофеевич. Герб РФ ; 2013ММД ;  ; Cu/Ni ; Proof ; 26 ; Xxzx ; 816 
 1898 ; 5 пядей. Атаман Ермак Тимофеевич. Герб Грозного ; 2013ММД ;  ; Cu/Ni ; Proof ; 29 ; etalon ; 1019 
 1899 ; Разменный знак 10. Шпицберген. Против терроризма. Упаковка ; 2001 ;  ; Cu/Ni ; Proof ; 11 ; Brabus ; 1926 
 1900 ; Разменный знак 10. Шпицберген. Подъем подлодки "Курск". Упаковка ; 2001 ;  ; Cu/Ni ; Proof ; 11 ; Brabus ; 1926 
 1901 ; Монетовидный жетон. 5 пядей. Первопроходцы земли русской. Ерофей Павлович Хабаров ; 2013ММД ;  ; Б/м ; Proof ; 15 ; duv ; 612 
 1902 ; Жетон. XVII Всероссийская нумизматическая конференция. D-38мм ; 2013ММД ;  ; Cu/Ni ; Proof ; 23 ; Буарон1925 ; 1428 
 1903 ; Бензиновый жетон Татарстан ;  ;  ; Ж/м ; XF+ ; 20 ; matehev ; 273 
 1904 ; Бензиновый жетон ;  ;  ; Б/м ; XF ; 14 ; matehev ; 227 
 1905 ; Жетон. Управление столовых ресторанов и кафе № 8 ;  ;  ; Ж/м ; XF ; 38 ; шев ; 4085 
 1906 ; Хлебный жетон ;  ;  ; Ж/м ; AU ; 50 ; Геолог ; 408 
 1907 ; Жетон. Министерство торговли СССР № 3 ;  ;  ; Ж/м ; VF ; 18 ; gsv0703 ; 104 
 1908 ; Жетон. Министерство торговли № 12 ;  ;  ; Ж/м ; XF- ; 15 ; gsv0703 ; 136 
 1909 ; Жетон. Министерство торговли СССР № 12 ;  ;  ; Ж/м ; XF+ ; 17 ; gsv0703 ; 157 
 1910 ; Жетон. Министерство торговли СССР № 12 ;  ;  ; Ж/м ; XF+ ; 9 ; gsv0703 ; 147 
 1911 ; Жетон. Министерство торговли СССР № 13 ;  ;  ; Ж/м ; XF- ; 15 ; gsv0703 ; 157 
 1912 ; Жетон. Министерство торговли СССР №20 ;  ;  ; Ж/м ; XF+ ; 23 ; gsv0703 ; 157 
 1913 ; Жетон. Министерство торговли СССР № 20 ;  ;  ; Ж/м ; XF- ; 11 ; gsv0703 ; 157 
 1914 ; Жетон. Министерство торговли СССР № 25 ;  ;  ; Ж/м ; VF ; 29 ; astronotus ; 483 
 1915 ; Жетон. Министерство торговли СССР № 32 ;  ;  ; Ж/м ; XF- ; 15 ; gsv0703 ; 165 
 1916 ; 1 рубль ; 1986 ; Международный год мира.В рубле Л в виде шалаша. ; Cu-Ni ; VF-XF ; 31 ; Vova1950 ; 1379 
 1917 ; 50 копеек ; 1971 ;  ; Cu-Ni ; XF ; 35 ; maxm812 ; 4794 
 1918 ; 50 копеек ; 1976 ;  ; Cu-Ni ; XF ; 38 ; Bizon6055 ; 620 
 1919 ; 20 копеек ; 1950 ;  ; Ni ; F-VF ; 23 ; лом45 ; 727 
 1920 ; 20 копеек ; 1965 ;  ; Cu-Ni ; AU ; 19 ; Геолог ; 2244 
 1921 ; 20 копеек ; 1967 ;  ; Cu-Ni ; AU ; 25 ; 462 ; 838 
 1922 ; 20 копеек. Упаковка ; 1968 ;  ; Cu-Ni ; AU ; 15 ; свинка ; 861 
 1923 ; 20 копеек ; 1968 ;  ; Cu-Ni ; XF+/AU ; 20 ; Zигмунт ; 775 
 1924 ; 15 копеек ; 1966 ;  ; Cu-Ni ; XF ; 33 ; RusScat ; 2709 
 1925 ; 15 копеек ; 1967 ;  ; Cu-Ni ; XF+/AU ; 21 ; ЧАС ; 753 
 1926 ; 15 копеек. Упаковка ; 1968 ;  ; Cu-Ni ; AU ; 45 ; Я Пересвет ; 1122 
 1927 ; 15 копеек ; 1968 ;  ; Cu-Ni ; XF+/AU ; 15 ; Я Пересвет ; 1134 
 1928 ; 10 копеек ; 1937 ;  ; Ni ; VF-XF ; 37 ; rad22 ; 1122 
 1929 ; 10 копеек ; 1965 ;  ; Cu-Ni ; AU ; 24 ; Геолог ; 2507 
 1930 ; 10 копеек ; 1966 ;  ; Cu-Ni ; AU ; 25 ; RusScat ; 2946 
 1931 ; 10 копеек ; 1967 ;  ; Cu-Ni ; XF+ ; 25 ; Геолог ; 1134 
 1932 ; 10 копеек. Упаковка ; 1968 ;  ; Cu-Ni ; AU ; 20 ; ASA19V ; 1157 
 1933 ; 10 копеек ; 1968 ;  ; Cu-Ni ; XF+/AU ; 48 ; свинка ; 1700 
 1934 ; 10 копеек ; 1991 ; Без букв ; Cu-Ni ; AU ; 23 ; bva150979 ; 2500 
 1935 ; 5 копеек ; 1951 ;  ; Br ; F ; 49 ; mart_si ; 269 
 1936 ; 5 копеек ; 1965 ;  ; Cu-Zn ; VF ; 38 ; puhetd ; 1964 
 1837 ; 15 копеек ; 1928 ;  ; Ag ; VF+ ; 13 ; март16 ; 114 
 1838 ; 15 копеек ; 1930 ;  ; Ag ; XF+ ; 26 ; kulon1 ; 612 
 1839 ; 15 копеек ; 1930 ;  ; Ag ; XF ; 55 ; Запруда ; 318 
 1840 ; 15 копеек ; 1930 ;  ; Ag ; VF-XF ; 22 ; fisher_amur ; 126 
 1841 ; 15 копеек ; 1930 ;  ; Ag ; VF- ; 17 ; qwertyh ; 73 
 1842 ; 10 копеек ; 1922 ;  ; Ag ; VF ; 27 ; DnSr ; 383 
 1843 ; 10 копеек ; 1923 ;  ; Ag ; VF-XF ; 11 ; Kirill1806 ; 102 
 1844 ; 10 копеек ; 1923 ;  ; Ag ; VF+ ; 10 ; viktor2205 ; 92 
 1845 ; 10 копеек ; 1923 ;  ; Ag ; VF ; 8 ; Bizon6055 ; 92 
 1846 ; 10 копеек ; 1923 ;  ; Ag ; F ; 7 ; qwertyh ; 63 
 1847 ; 10 копеек ; 1923 ;  ; Ag ; F ; 7 ; brat52 ; 60 
 1848 ; 10 копеек ; 1924 ;  ; Ag ; XF- ; 65 ; Я Пересвет ; 710 
 1849 ; 10 копеек ; 1925 ;  ; Ag ; XF ; 11 ; DnSr ; 102 
 1850 ; 10 копеек ; 1925 ;  ; Ag ; XF- ; 11 ; DnSr ; 104 
 1851 ; 10 копеек ; 1925 ;  ; Ag ; VF ; 14 ; qwertyh ; 77 
 1852 ; 10 копеек ; 1927 ;  ; Ag ; XF ; 11 ; Starushka ; 114 
 1853 ; 10 копеек ; 1927 ;  ; Ag ; VF+ ; 10 ; Запруда ; 129 
 1854 ; 10 копеек ; 1927 ;  ; Ag ; VF+ ; 17 ; никсер ; 123 
 1855 ; 10 копеек ; 1928 ;  ; Ag ; VF- ; 6 ; siw03 ; 100 
 1856 ; 10 копеек ; 1928 ;  ; Ag ; F+ ; 31 ; 19Vlad72 ; 82 
 1857 ; 10 копеек ; 1929 ;  ; Ag ; XF ; 13 ; kulon1 ; 400 
 1858 ; 10 копеек ; 1929 ;  ; Ag ; XF ; 23 ; fisher_amur ; 255 
 1859 ; 10 копеек ; 1929 ;  ; Ag ; XF- ; 20 ; dimon46 ; 115 
 1860 ; 10 копеек ; 1930 ;  ; Ag ; XF- ; 21 ; Запруда ; 207 
 1861 ; 10 копеек ; 1930 ;  ; Ag ; VF ; 10 ; никсер ; 105 
 1862 ; 5 копеек ; 1924 ; Гурт гладкий ; Cu ; F+ ; 12 ; gsv0703 ; 79 
 1863 ; 3 копейки ; 1924 ; Гурт гладкий ; Cu ; VF ; 23 ; Vanomah ; 793 
 1864 ; 3 копейки ; 1924 ; Гурт гладкий ; Cu ; F+ ; 13 ; khumo ; 72 
 1865 ; 2 копейки ; 1924 ; Гурт рубчатый ; Cu ; VF ; 19 ; ZAA_44 ; 213 
 1866 ; 2 копейки ; 1924 ; Гурт рубчатый ; Cu ; F-VF ; 11 ; taa ; 53 
 1867 ; 1 копейка ; 1924 ; Гурт рубчатый ; Cu ; VF ; 6 ; ZAA_44 ; 72 
 1868 ; 1 копейка ; 1925 ; Гурт рубчатый ; Cu ; F-VF ; 22 ; Con amore per sempre ; 9011 
 1869 ; 1 копейка ; 1924 ; Гурт рубчатый ; Cu ; F+ ; 11 ; космос-2004 ; 66 
 1870 ; Полкопейки ; 1925 ;  ; Cu ; AU ; 60 ; славин ; 5888 
 1871 ; Жетон. 3 марки. Калининград. "Слава Русского оружия". Вертолет К-50 "Черная акула" ; 2003СПМД ;  ; Ag925 ; Proof ; 22 ; elefant1965 ; 2001 
 1872 ; Жетон. 3 марки. Калининград. "Слава Русского оружия". Истребитель "МИГ-29" ; 2003СПМД ;  ; Ag925 ; Proof ; 14 ; Буарон1925 ; 1540 
 1873 ; Жетон. 3 марки. Калининград. "Слава Русского оружия". Танк "Т-34" ; 2003СПМД ;  ; Ag925 ; Proof ; 16 ; Vova1950 ; 1619 
 1874 ; Жетон. 3 марки. Калининград. "Слава Русского оружия". Гв миномет "Катюша" ; 2003СПМД ;  ; Ag925 ; Proof ; 20 ; Vova1950 ; 1592 
 1875 ; Жетон. 1 марка. Калининград. "Слава Русского оружия".Автомат Калашникова ; 2002СПМД ;  ; Ж/м ; Proof ; 22 ; Буарон1925 ; 740 
 1876 ; Жетон. 1 марка. Калининград. "Слава Русского оружия".  Гв миномет "Катюша" ; 2003СПМД ;  ; Ж/м ; Proof ; 13 ; Буарон1925 ; 725 
 1877 ; Жетон. 1 марка. Калининград. "Слава Русского оружия". Истребитель "МИГ-29" ; 2003СПМД ;  ; Ж/м ; Proof ; 13 ; Буарон1925 ; 740 
 1878 ; Жетон. 1 марка. Калининград. "Слава Русского оружия". Танк "Т-34" ; 2003СПМД ;  ; Ж/м ; Proof ; 11 ; Буарон1925 ; 740 
 1879 ; Жетон. 1 марка. Калининград. "Слава Русского оружия". Вертолет К-50 "Черная акула" ; 2003СПМД ;  ; Ж/м ; Proof ; 13 ; Буарон1925 ; 740 
 1880 ; Жетон. 1 марка. Калининград. "Слава Русского оружия".  Гв миномет "Катюша" ; 2003СПМД ;  ; Ж/м ; Proof ; 10 ; Буарон1925 ; 674 
 1881 ; Разменный знак 10. Шпицберген. Цунами-Юго-Восточная Азия ; 2005СПМД ;  ; Cu/Ni ; Proof ; 31 ; kop ; 816 
 1882 ; 5 червонцев. Красная книга. Жук-олень ; 2013ММД ;  ; Ag925 ; Proof ; 27 ; elefant1965 ; 3501 
 1883 ; 5 червонцев. Красная книга. Жук-олень ; 2013ММД ;  ; Би/м ; Proof ; 56 ; niko1968 ; 1020 
 1884 ; 5 червонцев. Красная книга. Белый журавль ; 2013ММД ;  ; Ag925 ; Proof ; 17 ; elefant1965 ; 3501 
 1885 ; 5 червонцев. Красная книга. Белый журавль ; 2013ММД ;  ; Би/м ; Proof ; 40 ; Krechet ; 1020 
 1886 ; 5 пядей. Семен Иванович Дежнев ; 2013ММД ;  ; Cu/Ni ; Proof ; 14 ; bonipari ; 616 
 1787 ; 20 копеек ; 1925 ;  ; Ag ; VF-XF ; 20 ; qwertyh ; 102 
 1788 ; 20 копеек ; 1925 ;  ; Ag ; VF+ ; 11 ; qwertyh ; 82 
 1789 ; 20 копеек ; 1925 ;  ; Ag ; VF+ ; 8 ; nastyam ; 84 
 1790 ; 20 копеек ; 1925 ;  ; Ag ; VF+ ; 13 ; qwertyh ; 80 
 1791 ; 20 копеек ; 1925 ;  ; Ag ; VF ; 20 ; nastyam ; 84 
 1792 ; 20 копеек ; 1925 ;  ; Ag ; VF- ; 18 ; qwertyh ; 73 
 1793 ; 20 копеек ; 1927 ;  ; Ag ; XF ; 13 ; март16 ; 113 
 1794 ; 20 копеек ; 1927 ;  ; Ag ; XF- ; 15 ; Запруда ; 161 
 1795 ; 20 копеек ; 1927 ;  ; Ag ; VF+ ; 11 ; март16 ; 102 
 1796 ; 20 копеек ; 1927 ;  ; Ag ; VF+ ; 23 ; март16 ; 108 
 1797 ; 20 копеек ; 1927 ;  ; Ag ; VF+ ; 11 ; 19Vlad72 ; 82 
 1798 ; 20 копеек ; 1928 ;  ; Ag ; AU ; 88 ; Maxwel ; 561 
 1799 ; 20 копеек ; 1928 ;  ; Ag ; XF ; 9 ; dimon46 ; 102 
 1800 ; 20 копеек ; 1928 ;  ; Ag ; XF ; 19 ; viktor2205 ; 152 
 1801 ; 20 копеек ; 1928 ;  ; Ag ; XF ; 12 ; nastyam ; 113 
 1802 ; 20 копеек ; 1928 ;  ; Ag ; XF ; 17 ; nastyam ; 123 
 1803 ; 20 копеек ; 1928 ;  ; Ag ; XF- ; 11 ; Ивпага ; 101 
 1804 ; 20 копеек ; 1928 ;  ; Ag ; VF+ ; 15 ; qwertyh ; 73 
 1805 ; 20 копеек ; 1928 ;  ; Ag ; VF ; 11 ; qwertyh ; 73 
 1806 ; 20 копеек ; 1929 ;  ; Ag ; XF+ ; 29 ; Запруда ; 255 
 1807 ; 20 копеек ; 1929 ;  ; Ag ; XF- ; 9 ; dimon46 ; 102 
 1808 ; 20 копеек ; 1929 ;  ; Ag ; XF- ; 9 ; dimon46 ; 104 
 1809 ; 20 копеек ; 1929 ;  ; Ag ; VF-XF ; 9 ; dimon46 ; 104 
 1810 ; 20 копеек ; 1929 ;  ; Ag ; VF-XF ; 8 ; Ивпага ; 101 
 1811 ; 20 копеек ; 1929 ;  ; Ag ; VF-XF ; 7 ; dimon46 ; 102 
 1812 ; 20 копеек ; 1929 ;  ; Ag ; VF+ ; 12 ; 19Vlad72 ; 75 
 1813 ; 20 копеек ; 1930 ;  ; Ag ; XF ; 11 ; Bastion ; 152 
 1814 ; 20 копеек ; 1930 ;  ; Ag ; VF-XF ; 8 ; Ивпага ; 101 
 1815 ; 20 копеек ; 1930 ;  ; Ag ; VF-XF ; 8 ; fisher_amur ; 104 
 1816 ; 20 копеек ; 1930 ;  ; Ag ; VF+ ; 7 ; nastyam ; 74 
 1817 ; 20 копеек ; 1930 ;  ; Ag ; VF ; 7 ; никсер ; 77 
 1818 ; 20 копеек ; 1930 ;  ; Ag ; VF ; 11 ; nastyam ; 113 
 1819 ; 20 копеек ; 1930 ;  ; Ag ; VF ; 16 ; 19Vlad72 ; 102 
 1820 ; 15 копеек ; 1921 ;  ; Ag ;  F-VF ; 27 ; лайк ; 942 
 1821 ; 15 копеек ; 1922 ;  ; Ag ; VF-XF ; 49 ; Запруда ; 386 
 1822 ; 15 копеек ; 1922 ;  ; Ag ; VF ; 23 ; DnSr ; 228 
 1823 ; 15 копеек ; 1923 ;  ; Ag ; XF ; 18 ; Bastion ; 153 
 1824 ; 15 копеек ; 1923 ;  ; Ag ; XF ; 27 ; dimer ; 104 
 1825 ; 15 копеек ; 1923 ;  ; Ag ; XF ; 10 ; qwertyh ; 104 
 1826 ; 15 копеек ; 1923 ;  ; Ag ; XF- ; 21 ; Jek327 ; 112 
 1827 ; 15 копеек ; 1924 ;  ; Ag ; XF/AU ; 42 ; DnSr ; 816 
 1828 ; 15 копеек ; 1924 ;  ; Ag ; XF- ; 10 ; ZAA_44 ; 357 
 1829 ; 15 копеек ; 1924 ;  ; Ag ; VF ; 12 ; viktor2205 ; 153 
 1830 ; 15 копеек ; 1924 ;  ; Ag ; VF- ; 14 ; qwertyh ; 105 
 1831 ; 15 копеек ; 1925 ;  ; Ag ; XF+ ; 16 ; DnSr ; 144 
 1832 ; 15 копеек ; 1925 ;  ; Ag ; F-VF ; 8 ; qwertyh ; 63 
 1833 ; 15 копеек ; 1927 ;  ; Ag ; AU ; 48 ; Bastion ; 1022 
 1834 ; 15 копеек ; 1927 ;  ; Ag ; XF+ ; 7 ; kulon1 ; 213 
 1835 ; 15 копеек ; 1927 ;  ; Ag ; XF ; 27 ; Запруда ; 206 
 1836 ; 15 копеек ; 1928 ;  ; Ag ; AU ; 41 ; Maxwel ; 520 
 1737 ; 50 копеек ; 1922 ; (ПЛ) ; Ag ; F+ ; 24 ; rbhbvzcjd ; 362 
 1738 ; Один полтинник ; 1924 ; (ТР 2з. 10,5 д. 9 грамм) ; Ag ; XF ; 5 ; Bastion ; 406 
 1739 ; Один полтинник ; 1924 ; (ТР 2з. 10,5 д. 9 грамм) ; Ag ; XF ; 17 ; kronprinz ; 400 
 1740 ; Один полтинник ; 1924 ; (ПЛ 2 з.10,5 д.9 грамм) ; Ag ; XF ; 3 ; ъхз ; 389 
 1741 ; Один полтинник ; 1924 ; (ПЛ 2 з.10,5 д.9 грамм) ; Ag ; XF ; 7 ; Jek327 ; 406 
 1742 ; Один полтинник ; 1924 ; (ПЛ 2 з.10,5 д.9 грамм) ; Ag ; XF- ; 9 ; апосум ; 399 
 1743 ; Один полтинник ; 1924 ; (ТР 2з. 10,5 д. 9 грамм) ; Ag ; XF- ; 15 ; kronprinz ; 406 
 1744 ; Один полтинник ; 1924 ; (ПЛ 2 з.10,5 д.9 грамм) ; Ag ; VF-XF ; 16 ; kronprinz ; 400 
 1745 ; Один полтинник ; 1924 ; (ПЛ 2 з.10,5 д.9 грамм) ; Ag ; VF-XF ; 9 ; kott ; 407 
 1746 ; Один полтинник ; 1924 ; (ПЛ 2 з.10,5 д.9 грамм) ; Ag ; VF-XF ; 12 ; kott ; 461 
 1747 ; Один полтинник ; 1924 ; (ПЛ 2 з.10,5 д.9 грамм) ; Ag ; VF+ ; 34 ; vitapool ; 367 
 1748 ; Один полтинник ; 1924 ; (ТР 2з. 10,5 д. 9 грамм) ; Ag ; VF ; 14 ; Arg ; 393 
 1749 ; Один полтинник ; 1925 ; (ПЛ 9 грамм) ; Ag ; AU/XF ; 21 ; Bastion ; 1224 
 1750 ; Один полтинник ; 1925 ; (ПЛ 9 грамм) ; Ag ; XF+ ; 16 ; Esaul M ; 484 
 1751 ; Один полтинник ; 1925 ; (ПЛ 9 грамм) ; Ag ; XF ; 3 ; 333985 ; 398 
 1752 ; Один полтинник ; 1925 ; (ПЛ 9 грамм) ; Ag ; XF ; 14 ; нырок ; 469 
 1753 ; Один полтинник ; 1925 ; (ПЛ 9 грамм) ; Ag ; XF ; 8 ; пасечник ; 429 
 1754 ; Один полтинник ; 1925 ; (ПЛ 9 грамм) ; Ag ; XF- ; 11 ; апосум ; 407 
 1755 ; Один полтинник ; 1925 ; (ПЛ 9 грамм) ; Ag ; XF- ; 3 ; ъхз ; 397 
 1756 ; Один полтинник ; 1925 ; (ПЛ 9 грамм) ; Ag ; VF-XF ; 14 ; gsv0703 ; 397 
 1757 ; Один полтинник ; 1925 ; (ПЛ 9 грамм) ; Ag ; VF-XF ; 15 ; kronprinz ; 373 
 1758 ; Один полтинник ; 1925 ; (ПЛ 9 грамм) ; Ag ; VF- ; 11 ; rbhbvzcjd ; 389 
 1759 ; Один полтинник ; 1926 ; (ПЛ 9 грамм) ; Ag ; XF ; 18 ; ga2012 ; 567 
 1760 ; Один полтинник ; 1926 ; (ПЛ 9 грамм) ; Ag ; XF- ; 12 ; wadimaks ; 536 
 1761 ; Один полтинник ; 1926 ; (ПЛ 9 грамм) ; Ag ; VF ; 41 ; апосум ; 409 
 1762 ; Один полтинник ; 1927 ; (ПЛ 9 грамм) ; Ag ; XF ; 32 ; geracon2009 ; 1785 
 1763 ; 20 копеек ; 1922 ;  ; Ag ; XF- ; 27 ; DnSr ; 357 
 1764 ; 20 копеек ; 1922 ;  ; Ag ; VF ; 21 ; qwertyh ; 124 
 1765 ; 20 копеек ; 1922 ;  ; Ag ; VF ; 30 ; март16 ; 157 
 1766 ; 20 копеек ; 1923 ;  ; Ag ; VF-XF ; 15 ; nastyam ; 104 
 1767 ; 20 копеек ; 1923 ;  ; Ag ; VF-XF ; 15 ; nastyam ; 104 
 1768 ; 20 копеек ; 1923 ;  ; Ag ; VF+ ; 6 ; nastyam ; 74 
 1769 ; 20 копеек ; 1923 ;  ; Ag ; VF+ ; 5 ; buynyi76 ; 102 
 1770 ; 20 копеек ; 1923 ;  ; Ag ; VF ; 18 ; nastyam ; 87 
 1771 ; 20 копеек ; 1923 ;  ; Ag ; VF ; 13 ; nastyam ; 113 
 1772 ; 20 копеек ; 1923 ;  ; Ag ; VF ; 10 ; nastyam ; 102 
 1773 ; 20 копеек ; 1923 ;  ; Ag ; VF- ; 11 ; nastyam ; 75 
 1774 ; 20 копеек ; 1923 ;  ; Ag ; VF- ; 10 ; nastyam ; 75 
 1775 ; 20 копеек ; 1923 ;  ; Ag ; F-VF ; 8 ; qwertyh ; 72 
 1776 ; 20 копеек ; 1923 ;  ; Ag ; F+ ; 7 ; qwertyh ; 69 
 1777 ; 20 копеек ; 1924 ;  ; Ag ; XF ; 13 ; Bastion ; 123 
 1778 ; 20 копеек ; 1924 ;  ; Ag ; VF ; 7 ; fedor880v ; 82 
 1779 ; 20 копеек ; 1924 ;  ; Ag ; VF ; 20 ; qwertyh ; 74 
 1780 ; 20 копеек ; 1924 ;  ; Ag ; VF ; 11 ; fedor880v ; 74 
 1781 ; 20 копеек ; 1924 ;  ; Ag ; VF- ; 12 ; dimer ; 73 
 1782 ; 20 копеек ; 1925 ;  ; Ag ; XF+ ; 8 ; ввп ; 113 
 1783 ; 20 копеек ; 1925 ;  ; Ag ; XF- ; 15 ; fedor880v ; 111 
 1784 ; 20 копеек ; 1925 ;  ; Ag ; XF- ; 7 ; qwertyh ; 87 
 1785 ; 20 копеек ; 1925 ;  ; Ag ; VF-XF ; 13 ; dimer ; 113 
 1786 ; 20 копеек ; 1925 ;  ; Ag ; VF-XF ; 10 ; nastyam ; 113 
 1687 ; 3 рубля. С сертификатом ; 2009 ; Витебский вокзал. СПб ; Ag ; Proof ; 15 ; Wand ; 2600 
 1688 ; 3 рубля. С сертификатом ; 2010 ; 1000 лет Ярославлю ; Ag ; Proof ; 11 ; Wand ; 2262 
 1689 ; 3 рубля. С сертификатом ; 2010 ; Церковь Пресвятой Троицы ; Ag ; Proof ; 24 ; djon.777 ; 3377 
 1690 ; 3 рубля. С сертификатом ; 2010 ; Нац. обычаи и обряды стран ЕврАзЭС ; Ag ; Proof ; 11 ; dimass70 ; 3264 
 1691 ; 3 рубля ; 2010 ; Ансамбль Круглой площади, Петрозаводск ; Ag ; Proof ; 7 ; Bastion ; 3009 
 1692 ; 3 рубля ; 2010 ; Боевая башня "Вовнушки" ; Ag ; Proof ; 9 ; AVA ; 3328 
 1693 ; 3 рубля ; 2010 ; Спасо-Преображенский собор ; Ag ; Proof ; 13 ; 439 ; 2654 
 1694 ; 2 рубля ; 1994 ; ММД Н.В.Гоголь ; Ag ; Proof ; 11 ; gri.59 ; 793 
 1695 ; 2 рубля ; 1995 ; ММД И.А.Бунин ; Ag ; Proof ; 25 ; Allegro33 ; 742 
 1696 ; 2 рубля ; 1997 ; ММД Афанасий Никитин в России ; Ag ; Proof ; 34 ; sgd ; 4034 
 1697 ; 2 рубля ; 1999 ; ММД И.П.Павлов.Портрет с собакой ; Ag ; Proof ; 36 ; Megapuzo ; 1232 
 1698 ; 2 рубля ; 1999 ; СПМД Н.К.Рерих."Дела человеческие" ; Ag ; Proof ; 20 ; igniss ; 1170 
 1699 ; 2 рубля ; 1999 ; СПМД Н.К.Рерих. Портрет ; Ag ; Proof ; 24 ; Bizon6055 ; 1113 
 1700 ; 2 рубля ; 1999 ; ММД И.П.Павлов.Портрет за столом ; Ag ; Proof ; 20 ; Megapuzo ; 933 
 1701 ; 2 рубля ; 2008 ; СПМД 100 лет со дня рождения Д.Ф. Ойстрах ; Ag ; Proof ; 19 ; pplichko ; 1111 
 1702 ; 2 рубля ; 2008 ; СПМД 100 лет со дня рождения Е.В. Вучетич ; Ag ; Proof ; 23 ; Inokesha ; 1207 
 1703 ; 2 рубля ; 2008 ; СПМД 100 лет со дня рождения И.М. Франк ; Ag ; Proof ; 15 ; igniss ; 1043 
 1704 ; 2 рубля ; 2008 ; ММД 150 лет со дня рождения В.И. Немировича-Данченко ; Ag ; Proof ; 15 ; igniss ; 1043 
 1705 ; 1 рубль ; 1997 ; ММД Хоккей на льду. Зимняя олимпиада в Нагано 1998 г. ; Ag ; Proof ; 23 ; Baikal ; 1326 
 1706 ; 1 рубль ; 1997 ; ММД Биатлон.  Зимняя олимпиада в Нагано 1998 г. ; Ag ; Proof ; 27 ; Baikal ; 1328 
 1707 ; 1 рубль ; 1998 ; ММД Всемирные юношеские игры. Волейбол ; Ag ; Proof ; 9 ; Baikal ; 1173 
 1708 ; 1 рубль ; 1998 ; ММД Всемирные юношеские игры. Акробатика ; Ag ; Proof ; 22 ; Bizon6055 ; 1163 
 1709 ; 1 рубль ; 1998 ; ММД Всемирные юношеские игры. Гимнастика ; Ag ; Proof ; 31 ; Baikal ; 1326 
 1710 ; 1 рубль ; 1998 ; ММД Всемирные юношеские игры. Метание молота ; Ag ; Proof ; 20 ; Baikal ; 1326 
 1711 ; 1 рубль ; 1998 ; ММД Всемирные юношеские игры. Фехтование ; Ag ; Proof ; 18 ; Bizon6055 ; 1163 
 1712 ; 1 рубль ; 1998 ; ММД Всемирные юношеские игры. Теннис ; Ag ; Proof ; 17 ; Baikal ; 1235 
 1713 ; 1 рубль ; 2002 ; ММД Министерство образования ; Ag ; Proof ; 29 ; олег45 ; 1842 
 1714 ; 1 рубль ; 2002 ; ММД Министерство иностранных дел ; Ag ; Proof ; 23 ; metallauto ; 1887 
 1715 ; 1 рубль ; 2002 ; ММД Вооруженные силы РФ ; Ag ; Proof ; 37 ; Agava ; 3264 
 1716 ; 1 рубль ; 2002 ; ММД Министерство юстиции ; Ag ; Proof ; 33 ; ЕВС ; 2647 
 1717 ; 1 рубль ; 2002 ; ММД Министерство финансов ; Ag ; Proof ; 133 ; imi ; 2249 
 1718 ; 1 рубль ; 2002 ; ММД Министерство внутренних дел ; Ag ; Proof ; 21 ; ОМОН10 ; 4474 
 1719 ; 1 рубль ; 2002 ; ММД Министерство экономического развития ; Ag ; Proof ; 36 ; imi ; 2810 
 1720 ; Рубль ; 1921 ; (АГ) ; Ag ; AU ; 59 ; Verygood48 ; 7431 
 1721 ; Рубль ; 1921 ; (АГ) ; Ag ; XF- ; 30 ; Я Пересвет ; 3264 
 1722 ; Рубль ; 1921 ; (АГ) ; Ag ; XF- ; 62 ; Я Пересвет ; 3514 
 1723 ; Рубль ; 1922 ; (ПЛ) ; Ag ; AU ; 56 ; Bastion ; 27065 
 1724 ; Рубль ; 1924 ; (ПЛ) ; Ag ; AU ; 17 ; Bastion ; 2244 
 1725 ; Рубль ; 1924 ; (ПЛ) ; Ag ; AU ; 10 ; Кирюха ; 1840 
 1726 ; Рубль ; 1924 ; (ПЛ) ; Ag ; XF+ ; 40 ; кузнец ; 1648 
 1727 ; Рубль ; 1924 ; (ПЛ) ; Ag ; AU ; 122 ; Кирюха ; 2244 
 1728 ; Рубль ; 1924 ; (ПЛ) ; Ag ; XF ; 25 ; Tosha ; 1600 
 1729 ; Рубль ; 1924 ; (ПЛ) ; Ag ; XF ; 52 ; fordewind ; 1632 
 1730 ; Рубль ; 1924 ; (ПЛ) ; Ag ; XF ; 19 ; Золотой хомяк ; 1547 
 1731 ; Рубль ; 1924 ; (ПЛ) ; Ag ; XF/VF-XF ; 13 ; Золотой хомяк ; 1550 
 1732 ; 50 копеек ; 1921 ; (АГ) ; Ag ; VF-XF ; 31 ; gsv0703 ; 1020 
 1733 ; 50 копеек ; 1922 ; (ПЛ) ; Ag ; XF- ; 5 ; Bastion ; 408 
 1734 ; 50 копеек ; 1922 ; (ПЛ) ; Ag ; XF- ; 3 ; (moskvich) ; 408 
 1735 ; 50 копеек ; 1922 ; (ПЛ) ; Ag ; VF-XF ; 7 ; Bizon6055 ; 420 
 1736 ; 50 копеек ; 1922 ; (ПЛ) ; Ag ; VF+ ; 5 ; wadimaks ; 420 
