 3241 ; Бона иностранная ;  ;  ;  ;  ; 38 ; кузин ; 171 
 2305 ; 10 пфеннигов. Нотгельд. Бинген ; 1918 ;  ; Fe ; VF ; 17 ; zoom30 ; 204 
 2306 ; 10 пфеннигов. Нотгельд. Дармстадт ; 1919 ;  ; Zn ; VF- ; 18 ; oks ; 142 
 2307 ; 10 пфеннигов. Нотгельд. Магдебург ; 1921 ;  ; Al ; VF-XF ; 21 ; талерс ; 204 
 2308 ; 5 пфеннигов. Нотгельд. Крефельд ; 20 век ;  ; Zn ; VF ; 14 ; oks ; 123 
 2309 ; 20 марок. ГДР. 100 лет со дня рождения Генриха Манна ; 1971 ;  ; Cu/Ni ; AU ; 53 ; salim ; 350 
 2310 ; 20 марок. ГДР. 85 лет со дня рождения Эрнста Тельманна ; 1971A ;  ; Cu/Ni ; AU ; 23 ; salim ; 344 
 2311 ; 20 марок. ГДР. Вильгельм Пик ; 1972A ;  ; Cu/Ni ; AU ; 9 ; salim ; 350 
 2312 ; 20 марок. ГДР. Фридрих фон Шиллер ; 1972A ;  ; Cu/Ni ; XF+ ; 2 ; Mike! ; 223 
 2313 ; 5 марок. ФРГ. 250 лет со дня смерти Готфрида Вильгельма Лейбница ; 1966D ;  ; Ag ; AU ; 12 ; Mike! ; 371 
 2314 ; 5 марок. ФРГ. Вильгельм и Александр фон Гумбольдт ; 1967F ;  ; Ag ; AU ; 27 ; pjero ; 500 
 2315 ; 5 марок. ГДР. 125 лет со дня рождения Роберта Коха ; 1968 ;  ; Cu/Ni ; AU ; 51 ; gary_sl ; 937 
 2316 ; 5 марок. ГДР. 20 лет ГДР ; 1969 ;  ; Ni/Br ; XF ; 20 ; Xe72 ; 62 
 2317 ; 5 марок. ГДР. 20 лет ГДР ; 1969 ;  ; Ni/Br ; XF+ ; 42 ; sandy ; 85 
 2318 ; 5 марок. ГДР. Бранденбургские ворота ; 1971A ;  ; Cu/Ni ; VF+ ; 7 ; natallli ; 44 
 2319 ; 5 марок. ГДР. Бранденбургские ворота ; 1971A ;  ; Cu/Ni ; XF+ ; 38 ; selezsi ; 113 
 2320 ; 5 марок. ГДР. Город Мейсен ; 1972A ;  ; Cu/Ni ; AU ; 10 ; Mike! ; 127 
 2321 ; 5 марок. ФРГ. 100 лет со дня рождения Густава Штреземанна ; 1978D ;  ; Ag ; XF+ ; 31 ; ez ; 211 
 2322 ; 5 марок. ФРГ. 200 лет со дня смерти Лессинга ; 1981J ;  ; Cu/Ni ; XF ; 24 ; sandy ; 246 
 2323 ; 5 марок. ФРГ. 10 конференция по защите окружающей среды ; 1982F ;  ; Cu/Ni в Ni ; AU ; 48 ; купили ; 123 
 2324 ; 5 марок. ФРГ. Европейский год музыки ; 1985F ;  ; Cu/Ni ; Proof ; 17 ; купили ; 218 
 2325 ; 2 марки. ФРГ. Теодор Хейс ; 1977D ;  ; Cu/Ni в Ni ; AU ; 37 ; 542 ; 104 
 2326 ; 2 марки. ФРГ. Курт Шумахер ; 1987J ;  ; Cu/Ni ; VF-XF ; 17 ; 542 ; 102 
 2327 ; 2 марки. ФРГ. Людвиг Эрхард ; 1989J ;  ; Cu/Ni в Ni ; AU ; 18 ; 542 ; 104 
 2328 ; 1 пфенниг. ГДР ; 1948A ;  ; Al ; XF+ ; 4 ; alex995 ; 12 
 2329 ; 1 пфенниг. ГДР ; 1950A ;  ; Al ; XF+ ; 50 ; ez ; 51 
 2330 ; 1 пфенниг. ГДР ; 1950E ;  ; Al ; XF ; 35 ; HSS ; 320 
 2331 ; 1 пфенниг. ГДР ; 1952A ;  ; Al ; AU ; 35 ; Paul68 ; 94 
 2332 ; 1 пфенниг. ГДР ; 1952E ;  ; Al ; VF-XF ; 33 ; HSS ; 320 
 2333 ; 1 пфенниг. ГДР ; 1953A ;  ; Al ; AU ; 50 ; ez ; 51 
 2334 ; 1 пфенниг. ГДР ; 1953E ;  ; Al ; XF+ ; 21 ; HSS ; 348 
 2335 ; 1 пфенниг. ГДР ; 1968A ;  ; Al ; AU ; 3 ; alex995 ; 4 
 2336 ; 1 пфенниг. ГДР ; 1984A ;  ; Al ; AU ; 4 ; alex995 ; 5 
 2337 ; 1 пфенниг. ГДР ; 1985A ;  ; Al ; AU ; 6 ; Saneck ; 6 
 2338 ; 50 франков. Саарленд ; 1954 ;  ; Al/Br ; VF+ ; 60 ; vc57 ; 557 
 2339 ; 10 франков. Саарленд ; 1954 ;  ; Al/Br ; VF-XF ; 32 ; hjk1974 ; 255 
 2340 ; 1 флорин. Австрия. Убрана подвеска 12 часов ; 1860А ;  ; Ag ; F+ ; 22 ; МИС ; 282 
 2341 ; 10 крейцеров. Австрия ; 1872 ;  ; Ag ; VF- ; 53 ; МИС ; 310 
 2342 ; 3 крейцера. Австрия ; 1800B ;  ; Cu ; F-VF ; 31 ; oks ; 115 
 2343 ; 3 крейцера. Австрия ; 1812S ;  ; Cu ; F+ ; 22 ; oks ; 105 
 2344 ; 1 крейцер. Австрия ; 1763W ;  ; Cu ; VF- ; 30 ; oks ; 136 
 2245 ; Талер. Пруссия. В честь победы над Францией ; 1871А ;  ; Ag ; VF-XF ; 110 ; МИС ; 1379 
 2246 ; Талер. Пруссия. В честь победы над Францией ; 1871 ;  ; Ag ; XF+ ; 99 ; vatom22 ; 2754 
 2247 ; Талер. Австрия. Мария Терезия. Новодел ; 1780 ;  ; Ag ; AU ; 22 ; sandy ; 838 
 2248 ; 2/3 талера. Брауншвейг-Вольфенбюттель ; 1705 ;  ; Ag ; VF ; 84 ; А_еЧъ ; 3264 
 2249 ; 1/3 талера. Саксония. На смерть короля Фридриха Августа II ; 1854 ;  ; Ag ; XF+/AU ; 57 ; Nico ; 2566 
 2250 ; 1/6 талера. Саксония. На смерть короля Фридриха Августа ; 1827S ;  ; Ag ; XF+ ; 66 ; Nico ; 2552 
 2251 ; 5 марок. Пруссия ; 1895A ;  ; Ag ; VF- ; 9 ; МИС ; 960 
 2252 ; 5 марок. Пруссия. 200 лет королевству ; 1901 ;  ; Ag ; AU ; 21 ; wagner ; 2660 
 2253 ; 5 марок. Пруссия ; 1913A ;  ; Ag ; XF ; 16 ; uin72 ; 1120 
 2254 ; 5 марок. Пруссия ; 1913A ;  ; Ag ; F-VF ; 17 ; B_D_V ; 722 
 2255 ; 5 марок. Бавария ; 1914D ;  ; Ag ; XF+ ; 41 ; lynx ; 4193 
 2256 ; 3 марки. Вюртемберг ; 1909F ;  ; Ag ; XF ; 20 ; lynx ; 1019 
 2257 ; 3 марки. Пруссия ; 1912A ;  ; Ag ; VF-XF ; 33 ; lynx ; 714 
 2258 ; 3 марки. Пруссия. 100 лет разгрома Наполеона ; 1913 ;  ; Ag ; XF+ ; 26 ; LANKA ; 832 
 2259 ; 3 марки. Пруссия. 25 лет правлению ; 1913A ;  ; Ag ; AU ; 37 ; pak1313 ; 867 
 2260 ; 3 марки. Пруссия. 100 лет разгрому Наполеона ; 1913 ;  ; Ag ; AU ; 26 ; vadimn ; 979 
 2261 ; 3 марки. Пруссия. 100 лет разгрома Наполеона ; 1913 ;  ; Ag ; AU ; 46 ; rustam ; 969 
 2262 ; 3 марки. Саксония. 100 лет битвы под Лейпцигом ; 1913E ;  ; Ag ; AU ; 5 ; kaas ; 1666 
 2263 ; 3 марки. Пруссия ; 1914A ;  ; Ag ; XF+ ; 18 ; lynx ; 895 
 2264 ; 3 марки. Анхальт-Дессау. На серебряную свадьбу ; 1914A ;  ; Ag ; AU ; 59 ; 1tomas ; 3494 
 2265 ; 3 марки. Веймар. 1000-летие освобождения Рейнланда ; 1925J ;  ; Ag ; AU ; 21 ; талерс ; 1589 
 2266 ; 3 марки. Веймар. 100 лет г. Бремерхафену ; 1927А ;  ; Ag ; XF+ ; 49 ; Nico ; 5769 
 2267 ; 3 марки. Веймар. 1000 лет Нордхаузену ; 1927A ;  ; Ag ; AU ; 47 ; vadimn ; 6120 
 2268 ; 3 марки. Веймар. Объединение Вальдек-Пруссии ; 1929 ;  ; Ag ; AU ; 46 ; Nico ; 6000 
 2269 ; 3 марки. Веймар. 10 лет Веймарской конституции ; 1929А ;  ; Ag ; VF+ ; 78 ; талерс ; 1657 
 2270 ; 3 марки. Веймар. 100 лет смерти фон Штейна ; 1931А ;  ; Ag ; AU ; 37 ; Nico ; 4162 
 2271 ; 2 марки. Бавария ; 1905D ;  ; Ag ; XF+ ; 31 ; lynx ; 2654 
 2272 ; 2 марки. Вюртемберг ; 1906F ;  ; Ag ; XF+/AU ; 22 ; lynx ; 1643 
 2273 ; 2 марки. Пруссия. 100 лет разгрома Наполеона ; 1913 ;  ; Ag ; AU ; 31 ; vadimn ; 832 
 2274 ; 2 марки. Веймар ; 1926A ;  ; Ag ; AU ; 49 ; vadimn ; 1544 
 2275 ; 2 марки. Германия. На смерть Пауля фон Гинденбурга ; 1937A ;  ; Ag ; VF+ ; 19 ; lynx ; 238 
 2276 ; 2 марки. Германия. На смерть Пауля фон Гинденбурга ; 1938A ;  ; Ag ; VF-XF ; 5 ; stronghold ; 189 
 2277 ; 2 марки. Германия. На смерть Пауля фон Гинденбурга ; 1938B ;  ; Ag ; VF+ ; 7 ; stronghold ; 189 
 2278 ; 2 марки. Германия. На смерть Пауля фон Гинденбурга ; 1939A ;  ; Ag ; VF+ ; 5 ; МИС ; 185 
 2279 ; 1 марка. Германия ; 1900G ;  ; Ag ; VF+ ; 21 ; ВМШ ; 261 
 2280 ; 1 марка. Германия ; 1905E ;  ; Ag ; F-VF ; 37 ; 542 ; 102 
 2281 ; 1/2 марки. Германия. Деформация ; 1905A ;  ; Ag ; F-VF ; 4 ; natallli ; 57 
 2282 ; 1/2 марки. Германия ; 1908J ;  ; Ag ; F ; 3 ; МИС ; 44 
 2283 ; 1/2 марки. Германия ; 1915J ;  ; Ag ; VF-XF ; 58 ; jef688 ; 73 
 2284 ; 5 пфеннигов. Германия ; 1889А ;  ; Cu/Ni ; F-VF ; 9 ; МИС ; 36 
 2285 ; 5 пфеннигов. Германия ; 1939F ;  ; Br ; VF-XF ; 30 ; талерс ; 154 
 2286 ; 2 пфеннига. Саксония ; 1869 ;  ; Br ; VF ; 21 ; lynx ; 161 
 2287 ; 2 пфеннига. Германия ; 1936A ;  ; Br ; VF+ ; 57 ; ved ; 177 
 2288 ; 1 пфенниг. Германия ; 1900E ;  ; Cu ; VF+ ; 27 ; 542 ; 27 
 2289 ; 1 пфенниг. Германия ; 1937A ;  ; Br ; VF+ ; 3 ; талерс ; 44 
 2290 ; 1 пфенниг. Германия ; 1937A ;  ; Br ; VF+ ; 2 ; l e n i n ; 46 
 2291 ; 1 пфенниг. Германия ; 1937A ;  ; Br ; VF-XF ; 4 ; Mike! ; 45 
 2292 ; 1 пфенниг. Германия ; 1938A ;  ; Br ; VF+ ; 3 ; orel66 ; 100 
 2293 ; 1 пфенниг. Германия ; 1939G ;  ; Br ; XF- ; 17 ; Mike! ; 47 
 2294 ; 1 хеллер. Франкфурт ; 1821 ;  ; Br ; VF ; 24 ; МИС ; 281 
 1687 ; 2 копейки ; 1930 ;  ; Br ; VF+ ; 6 ; alex995 ; 21 
 1688 ; 2 копейки ; 1975 ;  ; Cu-Zn ; AU ; 3 ; bh ; 16 
 1689 ; 1 копейка ; 1954 ;  ; Br ; AU ; 2 ; Инвестор ; 57 
 1690 ; 1 копейка ; 1975 ;  ; Cu-Zn ; XF+ ; 8 ; sk57 ; 16 
 1691 ; 1 копейка ; 1978 ;  ; Cu-Zn ; AU ; 7 ; lelik35 ; 8 
 1692 ; 1 копейка ; 1978 ;  ; Cu-Zn ; AU ; 3 ; bh ; 16 
 1693 ; 1 рубль. В пластиковой капсуле ; 1977 ; 60 лет Советской власти ; Cu-Ni ; AU ; 69 ; masha ; 429 
 1694 ; 1 рубль-1 доллар разоружения. С сертификатом подлинности ; 1988 ;  ; Al ; AU ; 22 ; vatom22 ; 398 
 1695 ; Набор монет СССР (9шт): 1р, 50к, 20к, 15к, 10к (1978г), 5к, 3к, 2к, 1к. Упаковка ; 1976-1978 ;  ; Cu/Ni, Cu/ ; AU ; 41 ; Snach ; 4017 
 1696 ; Набор монет СССР (10шт): 1р, 50к, 20к, 15к, 10к, 5к, 3к, 2к, 1к +Жетон. В пластиковой капсуле ; 1974 ;  ; Cu/Ni, Cu/ ; AU ; 41 ; конь ; 1817 
 1697 ; Набор монет СССР (10шт): 1р, 50к, 20к, 15к, 10к, 5к, 3к, 2к, 1к + Жетон. Упаковка ; 1983 ;  ; Cu/Ni, Cu/ ; AU ; 85 ; hjk1974 ; 4080 
 1698 ; Годовой набор монет: 1 рубль,50,20,15,10,5,3,2,1 коп + жетон (10шт). Упаковка ; 1966 ;  ; Cu-Ni,Cu-Z ; Unc ; 98 ; baikal.k ; 4138 
 1699 ; Набор монет СССР (10шт): 1р, 20к, 15к, 10к, 5к, 3к, 2к, 1к+ Жетон. Упаковка ; 1970 ;  ; Cu/Ni, Cu/ ; AU ; 50 ; borism ; 29353 
 2208 ; 5 талеров. Брауншвейг-Вольфенбюттель. M-6,60гр ; 1748 ;  ; Au ; VF+ ; 63 ; 4758 ; 15155 
 2209 ; Дукат. Нурнберг. M-3,45гр. Деформация ; 1700 ;  ; Au ; VF+ ; 66 ; 1983 ; 3609 
 2210 ; 20 марок. Пруссия. М-8,00гр ; 1899А ;  ; Au ; AU ; 33 ; muslimgauze ; 7664 
 2211 ; 20 марок. Пруссия. М-7,96гр ; 1902А ;  ; Au ; XF+ ; 53 ; nikolay ; 6697 
 2212 ; 20 марок. Пруссия. М-7,99гр ; 1902 ;  ; Au ; AU ; 40 ; nikolay ; 6446 
 2213 ; 20 марок. Пруссия. М-7,98гр ; 1906А ;  ; Au ; AU ; 30 ; nikolay ; 6474 
 2214 ; 20 марок. Пруссия. М-7,99гр ; 1908А ;  ; Au ; XF+ ; 31 ; stronghold ; 6222 
 2215 ; 20 марок. Пруссия. М-7,98гр ; 1910А ;  ; Au ; XF+/AU ; 41 ; nikolay ; 7234 
 2216 ; 20 марок. Пруссия. М-8,00гр ; 1913А ;  ; Au ; AU ; 44 ; лот мой! ; 7253 
 2217 ; Соверен. Великобритания. М-7,98гр ; 1883 ;  ; Au ; XF+ ; 19 ; лиса ; 8125 
 2218 ; Соверен. Великобритания. M-8,00гр ; 1884 ;  ; Au ; XF/XF+ ; 15 ; Михалыч ; 7362 
 2219 ; Соверен. Австралия (Британская колония) ; 1885 ;  ; Au ; VF-XF ; 11 ; лиса ; 7321 
 2220 ; Соверен. Австралия (Британская колония). M-8,01гр ; 1889 ;  ; Au ; AU ; 11 ; nikolay ; 7242 
 2221 ; Соверен. Великобритания. М-8,01гр ; 1889 ;  ; Au ; XF+/AU ; 12 ; hjk1974 ; 7699 
 2222 ; Соверен. Великобритания. М-8,01гр ; 1890 ;  ; Au ; XF+ ; 14 ; *** ; 7387 
 2223 ; Соверен. Австралия (Британская колония). М-7,98гр ; 1892S ;  ; Au ; XF+ ; 7 ; 4758 ; 7242 
 2224 ; Соверен. Австралия (Британская колония). M-8,01гр ; 1900 ;  ; Au ; AU ; 11 ; hugo ; 8364 
 2225 ; Соверен. Австралия. М-8,01гр ; 1912 ;  ; Au ; AU ; 17 ; hugo ; 7840 
 2226 ; 1/2 соверена. Великобритания ; 1901 ;  ; Au ; AU ; 29 ; hugo ; 4136 
 2227 ; 1/2 соверена. Великобритания. M-4,01гр ; 1901 ;  ; Au ; AU ; 29 ; лиса ; 4182 
 2228 ; 20 франков. Франция. M-6,45гр ; 1854А ;  ; Au ; XF- ; 14 ; nikolay ; 5610 
 2229 ; 20 франков. Франция. М-6,46гр ; 1908 ;  ; Au ; AU ; 12 ; nikolay ; 5223 
 2230 ; 20 франков. Бельгия. М-6,46гр ; 1877 ;  ; Au ; XF+ ; 77 ; nikolay ; 5109 
 2231 ; 20 лир. Италия. М-6,47гр ; 1882 ;  ; Au ; AU ; 47 ; Михалыч ; 6036 
 2232 ; 20 франков. Швейцария. М-6,46гр ; 1935 ;  ; Au ; AU ; 22 ; nikolay ; 6008 
 2233 ; 25 гульденов. Данциг. В капсуле ICG ; 1930 ;  ; Au ; MS-65 ; 167 ; KVit68 ; 73440 
 2234 ; 300 нгультрам. Бутан. Китайский календарь ; 1996 ;  ; Au ; Proof ; 80 ; лот мой! ; 3001 
 2235 ; 1 доллар. Канада ; 1997 ;  ; Au ; Proof ; 91 ; alien ; 1561 
 2236 ; 2 шу. Япония. M-1,61гр ; 19 век ;  ; Au ; VF- ; 57 ; Loko ; 3927 
 2237 ; Талер. Нурнберг ; 1757 ;  ; Ag ; VF- ; 26 ; tau ; 3609 
 2238 ; Талер. Бавария ; 1771 ;  ; Ag ; VF ; 49 ; slav_1962 ; 1758 
 2239 ; Талер. Бавария ; 1778 ;  ; Ag ; VF-XF/XF ; 21 ; lynx ; 2805 
 2240 ; Талер. Бавария. Преданность королевской семье. Реставрация ; 1830 ;  ; Ag ; F-VF ; 20 ; sherif-69 ; 3111 
 2241 ; Талер. Баден ; 1833 ;  ; Ag ; XF ; 87 ; foma71 ; 4182 
 2242 ; Талер. Саксония. Посещение монетного двора королем Иоганн ; 1855F ;  ; Ag ; VF-XF ; 39 ; sherif-69 ; 4437 
 2243 ; Талер. Саксония ; 1859F ;  ; Ag ; VF-XF ; 59 ; vatom22 ; 3627 
 2244 ; Талер. Пруссия. На коронацию Вильгельма и Августы ; 1861А ;  ; Ag ; XF+ ; 67 ; Алек ; 2039 
 1637 ; 10 копеек ; 1937 ;  ; Ni ; F ; 6 ; rrr ; 65 
 1638 ; 10 копеек ; 1939 ;  ; Ni ; F ; 15 ; o.k. ; 45 
 1639 ; 10 копеек ; 1936 ;  ; Ni ; F ; 13 ; rrr ; 12 
 1640 ; 10 копеек ; 1936 ;  ; Ni ; F+ ; 19 ; romchik_80 ; 40 
 1641 ; Набор монет ; 1967 ; 50 лет Советской власти ; Cu-Ni ; VF+/XF- ; 55 ; fpd7 ; 138 
 1642 ; Лот монет СССР: 50 копеек (10шт) ; 1964-1991 ;  ; Cu-Ni ; VF+/XF ; 49 ; fpd7 ; 114 
 1643 ; Лот монет СССР: 20,15,10 коп (22шт) ; 1931-1957 ;  ; Ni ; F/VF- ; 32 ; skia ; 199 
 1644 ; 50 копеек "50 лет Советской власти" ; 1967 ;  ; Cu-Ni ; AU ; 15 ; badiba-coin ; 92 
 1645 ; 20 копеек ; 1936 ; л/с звезда плоская ; Ni ; VF+ ; 11 ; lesnik1 ; 16 
 1646 ; 10 копеек ; 1974 ;  ; Cu-Ni ; VF+ ; 1 ; lelik35 ; 2 
 1647 ; 10 копеек ; 1980 ;  ; Cu-Ni ; AU ; 3 ; erdnaj ; 12 
 1648 ; 3 копейки ; 1956 ;  ; Br ; F+ ; 5 ; obob999 ; 5 
 1649 ; 3 копейки ; 1985 ;  ; Cu-Zn ; XF+ ; 4 ; skia ; 10 
 1650 ; 3 копейки ; 1990 ;  ; Cu-Zn ; XF+ ; 1 ; lelik35 ; 2 
 1651 ; 20 копеек ; 1932 ;  ; Ni ; VF-XF ; 3 ; lorens ; 22 
 1652 ; 20 копеек ; 1957 ; в венке герба 15 лент ; Ni ; XF ; 7 ; lelik35 ; 6 
 1653 ; 15 копеек ; 1933 ;  ; Ni ; F-VF ; 27 ; skif ; 51 
 1654 ; 15 копеек ; 1957 ; в венке герба 15 лент ; Ni ; XF+ ; 6 ; lelik35 ; 6 
 1655 ; 10 копеек ; 1943 ;  ; Ni ; AU ; 41 ; HSS ; 4749 
 1656 ; 10 копеек ; 1956 ; в венке герба 16 лент ; Ni ; XF+ ; 17 ; zhekka ; 16 
 1657 ; 5 копеек ; 1961 ;  ; Cu-Zn ; AU ; 6 ; Qersej ; 82 
 1658 ; 3 копейки ; 1930 ;  ; Br ; XF+ ; 17 ; verazal ; 300 
 1659 ; 3 копейки ; 1932 ;  ; Br ; VF-XF ; 23 ; sg1945 ; 51 
 1660 ; 3 копейки ; 1941 ;  ; Br ; VF+/XF+ ; 3 ; lorens ; 47 
 1661 ; 2 копейки ; 1956 ;  ; Br ; XF ; 13 ; Пионер ; 19 
 1662 ; 2 копейки ; 1970 ;  ; Cu-Zn ; XF ; 1 ; lelik35 ; 2 
 1663 ; 1 копейка ; 1934 ;  ; Br ; F-VF ; 6 ; Олег33 ; 68 
 1664 ; 1 копейка ; 1949 ;  ; Br ; XF+ ; 2 ; lelik35 ; 21 
 1665 ; 50 копеек ; 1969 ;  ; Cu-Ni ; AU ; 5 ; ashipko ; 102 
 1666 ; 1 рубль ; 1968 ;  ; Cu-Ni ; AU ; 5 ; Alex007 ; 71 
 1667 ; 1 рубль ; 1976 ;  ; Cu-Ni ; AU ; 27 ; nikolay3 ; 132 
 1668 ; 50 копеек ; 1961 ;  ; Cu-Ni ; AU ; 27 ; Alex007 ; 321 
 1669 ; 50 копеек ; 1975 ;  ; Cu-Ni ; AU ; 70 ; fanil ; 1215 
 1670 ; 20 копеек ; 1942 ; л/с звезда плоская ; Ni ; AU ; 29 ; skia ; 204 
 1671 ; 20 копеек ; 1975 ;  ; Cu-Ni ; AU ; 38 ; fanil ; 852 
 1672 ; 20 копеек ; 1980 ;  ; Cu-Ni ; AU ; 5 ; erdnaj ; 57 
 1673 ; 15 копеек ; 1931 ;  ; Ni ; VF-XF ; 13 ; lee ; 65 
 1674 ; 15 копеек ; 1974 ;  ; Cu-Ni ; AU ; 64 ; 123vav ; 1261 
 1675 ; 15 копеек ; 1976 ;  ; Cu-Ni ; AU ; 11 ; topotun ; 424 
 1676 ; 15 копеек ; 1979 ;  ; Cu-Ni ; AU ; 4 ; topotun ; 16 
 1677 ; 10 копеек ; 1934 ;  ; Ni ; XF- ; 75 ; boba3 ; 1006 
 1678 ; 10 копеек ; 1936 ;  ; Ni ; XF+ ; 7 ; topotun ; 102 
 1679 ; 10 копеек ; 1962 ;  ; Cu-Ni ; AU ; 20 ; sg1945 ; 200 
 1680 ; 10 копеек ; 1975 ;  ; Cu-Ni ; AU ; 6 ; bh ; 21 
 1681 ; 10 копеек ; 1978 ;  ; Cu-Ni ; AU ; 3 ; Qersej ; 16 
 1682 ; 5 копеек ; 1957 ; в венке герба 15 лент ; Br ; VF-XF ; 12 ; lelik35 ; 10 
 1683 ; 5 копеек ; 1978 ;  ; Cu-Zn ; AU ; 23 ; Qersej ; 255 
 1684 ; 3 копейки ; 1952 ;  ; Br ; VF+ ; 22 ; Qersej ; 227 
 1685 ; 3 копейки ; 1975 ;  ; Cu-Zn ; XF+ ; 6 ; suhua ; 59 
 1686 ; 3 копейки ; 1977 ;  ; Cu-Zn ; AU ; 80 ; erdnaj ; 306 
 1587 ; 20 копеек ; 1946 ; л/с звезда плоская ; Ni ; XF+ ; 16 ; orel66 ; 27 
 1588 ; 20 копеек ; 1956 ;  ; Ni ; VF+ ; 15 ; romchik_80 ; 35 
 1589 ; 20 копеек ; 1953 ;  ; Ni ; VF+ ; 19 ; romchik_80 ; 40 
 1590 ; 20 копеек ; 1948 ;  ; Ni ; VF ; 17 ; zhekka ; 18 
 1591 ; 20 копеек ; 1956 ;  ; Ni ; VF+ ; 12 ; rrr ; 10 
 1592 ; 20 копеек ; 1946 ; л/с звезда плоская ; Ni ; F-VF ; 10 ; rrr ; 10 
 1593 ; 20 копеек ; 1949 ;  ; Ni ; VF ; 31 ; asru ; 31 
 1594 ; 20 копеек ; 1952 ;  ; Ni ; VF-XF ; 10 ; rrr ; 10 
 1595 ; 20 копеек ; 1948 ;  ; Ni ; VF-XF ; 14 ; zhekka ; 22 
 1596 ; 20 копеек ; 1957 ; в венке герба 15 лент ; Ni ; AU ; 11 ; sergfokin ; 102 
 1597 ; 20 копеек ; 1943 ; л/с звезда плоская ; Ni ; VF- ; 19 ; romchik_80 ; 40 
 1598 ; 20 копеек ; 1952 ;  ; Ni ; VF-XF ; 10 ; kergudu ; 11 
 1599 ; 20 копеек ; 1953 ;  ; Ni ; XF- ; 9 ; rrr ; 10 
 1600 ; 20 копеек ; 1951 ;  ; Ni ; XF+ ; 92 ; Пионер ; 342 
 1601 ; 20 копеек ; 1957 ; в венке герба 15 лент ; Ni ; AU ; 40 ; MAYSIC ; 67 
 1602 ; 20 копеек ; 1954 ;  ; Ni ; VF-XF ; 9 ; rrr ; 10 
 1603 ; 20 копеек ; 1952 ;  ; Ni ; XF- ; 9 ; rrr ; 10 
 1604 ; 15 копеек ; 1954 ;  ; Ni ; VF+ ; 15 ; romchik_80 ; 35 
 1605 ; 15 копеек ; 1955 ;  ; Ni ; AU ; 68 ; erdnaj ; 161 
 1606 ; 15 копеек ; 1953 ;  ; Ni ; VF+ ; 15 ; romchik_80 ; 35 
 1607 ; 15 копеек ; 1956 ;  ; Ni ; VF-XF ; 5 ; romchik_80 ; 35 
 1608 ; 15 копеек ; 1956 ;  ; Ni ; VF-XF ; 9 ; rrr ; 10 
 1609 ; 15 копеек ; 1946 ;  ; Ni ; XF ; 81 ; Qersej ; 355 
 1610 ; 15 копеек ; 1954 ;  ; Ni ; VF-XF ; 10 ; rrr ; 10 
 1611 ; 15 копеек ; 1943 ;  ; Ni ; VF ; 9 ; romchik_80 ; 40 
 1612 ; 15 копеек ; 1956 ;  ; Ni ; VF+ ; 19 ; romchik_80 ; 50 
 1613 ; 15 копеек ; 1957 ; в венке герба 15 лент ; Ni ; XF+ ; 10 ; IronWill ; 11 
 1614 ; 15 копеек ; 1953 ;  ; Ni ; VF-XF ; 10 ; zhekka ; 11 
 1615 ; 15 копеек ; 1949 ;  ; Ni ; VF ; 52 ; Lotus 99 ; 164 
 1616 ; 15 копеек ; 1955 ;  ; Ni ; VF- ; 9 ; rrr ; 10 
 1617 ; 15 копеек ; 1957 ; в венке герба 15 лент ; Ni ; VF+ ; 9 ; rrr ; 10 
 1618 ; 10 копеек ; 1954 ;  ; Ni ; F-VF ; 9 ; rrr ; 10 
 1619 ; 10 копеек ; 1957 ; в венке герба 15 лент ; Ni ; AU ; 19 ; AlexWhite ; 85 
 1620 ; 10 копеек ; 1948 ;  ; Ni ; VF+ ; 15 ; sk57 ; 37 
 1621 ; 10 копеек ; 1955 ;  ; Ni ; VF ; 9 ; rrr ; 10 
 1622 ; 10 копеек ; 1953 ;  ; Ni ; VF+ ; 7 ; zhekka ; 17 
 1623 ; 10 копеек ; 1957 ; в венке герба 15 лент ; Ni ; XF+ ; 10 ; IronWill ; 11 
 1624 ; 10 копеек ; 1946 ;  ; Ni ; VF ; 38 ; skif ; 38 
 1625 ; 10 копеек ; 1953 ;  ; Ni ; VF- ; 9 ; rrr ; 10 
 1626 ; 10 копеек ; 1952 ;  ; Ni ; VF- ; 12 ; skif ; 36 
 1627 ; 10 копеек ; 1955 ;  ; Ni ; VF-XF ; 9 ; rrr ; 10 
 1628 ; 10 копеек ; 1954 ;  ; Ni ; VF ; 10 ; kergudu ; 11 
 1629 ; 10 копеек ; 1956 ; в венке герба 16 лент ; Ni ; VF ; 10 ; zhekka ; 11 
 1630 ; 20 копеек ; 1933 ;  ; Ni ; XF ; 31 ; elac ; 104 
 1631 ; 20 копеек ; 1937 ; л/с звезда плоская ; Ni ; F-VF ; 2 ; Poiuyt ; 59 
 1632 ; 20 копеек ; 1937 ; л/с звезда плоская ; Ni ; F ; 6 ; rrr ; 57 
 1633 ; 15 копеек ; 1944 ;  ; Ni ; F ; 82 ; fanis ; 459 
 1634 ; 15 копеек ; 1957 ; в венке герба 15 лент ; Ni ; F-VF ; 9 ; rrr ; 10 
 1635 ; 15 копеек ; 1940 ;  ; Ni ; F ; 30 ; rrr ; 41 
 1636 ; 15 копеек ; 1937 ;  ; Ni ; F ; 32 ; finder ; 122 
 1537 ; 10 копеек ; 1940 ;  ; Ni ; AU ; 35 ; да ; 1000 
