 5861 ; Бона иностранная Эквадор ;  ;  ;  ; AU ; 19 ; dmivanych ; 120 
 1926 ; 3 копейки ; 1936 ; Л/с звезда фигурная ; Br ; VF- ; 24 ; Конрос77 ; 255 
 1927 ; 2 копейки ; 1935 ;  ; Br ; VF ; 46 ; ASA19V ; 114 
 1928 ; 20 копеек ; 1955 ;  ; Ni ; XF ; 30 ; kuzma-1 ; 47 
 1929 ; 5 копеек ; 1930 ;  ; Br ; VF- ; 6 ; Westin ; 21 
 1930 ; 3 копейки ; 1954 ;  ; Br ; F-VF ; 10 ; ANGEL 23 ; 21 
 1931 ; 3 копейки ; 1933 ;  ; Br ; VF- ; 9 ; Valeev ; 72 
 1932 ; 3 копейки ; 1957 ; В венке герба 15 лент ; Br ; VF ; 4 ; andypod ; 20 
 1933 ; 1 копейка ; 1930 ;  ; Br ; VF- ; 9 ; Инвестор ; 163 
 1934 ; 1 копейка ; 1991 ; ММД ; Cu-Zn ; AU ; 24 ; nivva ; 161 
 1935 ; 5 копеек ; 1930 ;  ; Br ; F+ ; 4 ; Mike! ; 36 
 1936 ; 15 копеек ; 1932 ;  ; Ni ; VF ; 14 ; kkir ; 102 
 1937 ; 20 копеек ; 1936 ; Л/с звезда плоская ; Ni ; F-VF ; 9 ; Mike! ; 59 
 1938 ; 20 копеек ; 1937 ; Л/с звезда плоская, шт. 20 коп. ; Ni ; VF ; 30 ; ASA19V ; 222 
 1939 ; 15 копеек "50 лет Советской власти" ; 1967 ;  ; Cu-Ni ; XF ; 37 ; Mike! ; 120 
 1940 ; 2 копейки ; 1940 ;  ; Br ; F+ ; 5 ; Mike! ; 54 
 1941 ; 5 копеек ; 1928 ;  ; Br ; F ; 12 ; Инвестор ; 175 
 1942 ; 10 копеек ; 1948 ;  ; Ni ; VF- ; 1 ; Mike! ; 33 
 1943 ; 15 копеек ; 1943 ;  ; Ni ; F-VF ; 7 ; Mike! ; 54 
 1944 ; 2 копейки ; 1934 ;  ; Br ; F-VF ; 9 ; Mike! ; 68 
 1945 ; 20 копеек ; 1932 ;  ; Ni ; XF ; 22 ; gdrg2 ; 101 
 1946 ; 15 копеек ; 1943 ;  ; Ni ; VF ; 8 ; Maksss163 ; 31 
 1947 ; 1 рубль ; 1964 ;  ; Cu-Ni ; AU ; 55 ; Leopold36 ; 261 
 1948 ; 2 копейки ; 1964 ;  ; Cu-Zn ; XF ; 16 ; tpls ; 918 
 1949 ; 1 копейка ; 1964 ;  ; Cu-Zn ; XF ; 17 ; Irina-V ; 522 
 1950 ; 1 копейка ; 1940 ;  ; Br ; AU ; 21 ; Конрос77 ; 126 
 1951 ; 1 копейка ; 1963 ;  ; Cu-Zn ; XF ; 13 ; Конрос77 ; 54 
 1952 ; 20 копеек. "50 лет Советской власти" ; 1967 ;  ; Cu-Ni ; XF ; 15 ; vlk_ ; 67 
 1953 ; 15 копеек. "50 лет Советской власти" ; 1967 ;  ; Cu-Ni ; VF-XF ; 15 ; Maksss163 ; 52 
 1954 ; 10 копеек. "50 лет Советской власти" ; 1967 ;  ; Cu-Ni ; XF ; 15 ; тульский-лаптев ; 66 
 1955 ; 5 копеек ; 1974 ;  ; Cu-Zn ; VF ; 11 ; gdrg2 ; 54 
 1956 ; 20 копеек ; 1942 ; Л/с звезда плоская, шт. 20 коп. ; Ni ; F-VF ; 31 ; Инвестор ; 232 
 1957 ; 20 копеек ; 1944 ;  ; Ni ; VF-XF ; 36 ; Адвокат. ; 408 
 1958 ; 1 копейка ; 1931 ;  ; Br ; F+ ; 8 ; Дима Шухов ; 31 
 1959 ; 1 копейка ; 1929 ;  ; Br ; F-VF ; 26 ; Инвестор ; 227 
 1960 ; 50 копеек ; 1964 ;  ; Cu-Ni ; XF+ ; 6 ; rf47 ; 22 
 1961 ; 50 копеек ; 1966 ;  ; Cu-Ni ; XF+ ; 34 ; ivan116 ; 340 
 1962 ; 50 копеек ; 1968 ;  ; Cu-Ni ; VF-XF ; 27 ; 13 ; 56 
 1963 ; 50 копеек ; 1969 ;  ; Cu-Ni ; VF ; 28 ; akula ; 66 
 1964 ; 50 копеек ; 1972 ;  ; Cu-Ni ; XF+ ; 43 ; Rober ; 310 
 1965 ; 50 копеек ; 1973 ;  ; Cu-Ni ; XF+ ; 40 ; ASA19V ; 286 
 1966 ; 50 копеек ; 1974 ;  ; Cu-Ni ; XF ; 19 ; Maksss163 ; 51 
 1967 ; 50 копеек ; 1977 ;  ; Cu-Ni ; XF ; 11 ; ASA19V ; 54 
 1968 ; 50 копеек ; 1979 ;  ; Cu-Ni ; XF ; 12 ; ivan116 ; 58 
 1969 ; 50 копеек ; 1980 ;  ; Cu-Ni ; XF ; 9 ; Maksss163 ; 52 
 1970 ; 50 копеек ; 1981 ;  ; Cu-Ni ; XF ; 10 ; ASA19V ; 54 
 1971 ; 50 копеек ; 1982 ;  ; Cu-Ni ; XF ; 14 ; rf47 ; 38 
 1972 ; 50 копеек ; 1983 ;  ; Cu-Ni ; XF ; 22 ; ivan116 ; 57 
 1973 ; 50 копеек ; 1985 ;  ; Cu-Ni ; XF ; 32 ; akula ; 67 
 1974 ; 10 копеек ; 1936 ;  ; Ni ; VF-XF ; 26 ; avilych ; 110 
 1975 ; 10 копеек ; 1946 ;  ; Ni ; VF+ ; 34 ; av45621 ; 221 
 1876 ; 5 копеек ; 1928 ;  ; Br ; VF+ ; 19 ; mikl183 ; 102 
 1877 ; 1 рубль ; 1988 ;  ; Cu-Ni ; XF+ ; 23 ; ASA19V ; 243 
 1878 ; 1 рубль ; 1991 ; ЛМД ; Cu-Ni ; AU ; 57 ; Конрос77 ; 616 
 1879 ; 50 копеек ; 1991 ; ММД ; Cu-Ni ; AU ; 25 ; ivan116 ; 227 
 1880 ; 5 копеек ; 1974 ;  ; Cu-Zn ; AU ; 41 ; Taras58 ; 185 
 1881 ; 5 копеек ; 1975 ;  ; Cu-Zn ; AU ; 25 ; Taras58 ; 282 
 1882 ; 5 копеек ; 1976 ;  ; Cu-Zn ; AU ; 43 ; Taras58 ; 306 
 1883 ; 5 копеек ; 1983 ;  ; Cu-Zn ; AU ; 23 ; nivva ; 306 
 1884 ; 5 копеек ; 1985 ;  ; Cu-Zn ; AU ; 28 ; Taras58 ; 357 
 1885 ; 3 копейки ; 1933 ;  ; Br ; VF- ; 14 ; grytuman ; 68 
 1886 ; 5 копеек ; 1930 ;  ; Br ; F ; 9 ; zemlyk2014 ; 23 
 1887 ; 5 копеек ; 1939 ;  ; Br ; VF- ; 37 ; boroda ; 352 
 1888 ; 5 копеек ; 1949 ;  ; Br ; VF- ; 5 ; boroda ; 31 
 1889 ; 5 копеек ; 1948 ;  ; Br ; F-VF ; 34 ; av45621 ; 102 
 1890 ; 5 копеек ; 1929 ;  ; Br ; F+ ; 12 ; boroda ; 204 
 1891 ; 5 копеек ; 1937 ;  ; Br ; F+ ; 25 ; cr2952 ; 450 
 1892 ; 5 копеек ; 1931 ;  ; Br ; F-VF ; 12 ; boroda ; 54 
 1893 ; 3 копейки ; 1945 ;  ; Br ; F ; 46 ; Kama ; 984 
 1894 ; 3 копейки ; 1926 ;  ; Br ; F ; 44 ; boroda ; 131 
 1895 ; 3 копейки ; 1934 ;  ; Br ; F-VF ; 14 ; boroda ; 79 
 1896 ; 3 копейки ; 1928 ;  ; Br ; F-VF ; 24 ; boroda ; 138 
 1897 ; 3 копейки ; 1933 ;  ; Br ; VF- ; 14 ; Irina-V ; 150 
 1898 ; 2 копейки ; 1928 ;  ; Br ; F ; 7 ; boroda ; 54 
 1899 ; 2 копейки ; 1941 ;  ; Br ; F-VF ; 7 ; boroda ; 54 
 1900 ; 2 копейки ; 1951 ;  ; Br ; F-VF ; 21 ; ASA19V ; 153 
 1901 ; 1 копейка ; 1928 ;  ; Br ; F ; 29 ; boroda ; 90 
 1902 ; 1 копейка ; 1945 ;  ; Br ; F+ ; 64 ; Irina-V ; 224 
 1903 ; 20 копеек ; 1938 ; Л/с звезда плоская, шт. 20 коп. ; Ni ; VF- ; 27 ; boroda ; 113 
 1904 ; 15 копеек ; 1940 ;  ; Ni ; VF ; 22 ; boroda ; 77 
 1905 ; 1 рубль ; 1980 ;  ; Cu-Ni ; AU ; 41 ; Kama ; 2267 
 1906 ; 1 рубль ; 1973 ;  ; Cu-Ni ; XF ; 24 ; Kama ; 1224 
 1907 ; 50 копеек ; 1989 ;  ; Cu-Ni ; AU ; 43 ; omsk77 ; 1353 
 1908 ; 50 копеек ; 1973 ;  ; Cu-Ni ; AU ; 45 ; omsk77 ; 1530 
 1909 ; 5 копеек ; 1972 ;  ; Cu-Zn ; F-VF ; 65 ; Kama ; 3423 
 1910 ; 15 копеек ; 1933 ;  ; Ni ; F-VF ; 19 ; kvs ; 120 
 1911 ; 3 копейки ; 1943 ;  ; Br ; F+ ; 23 ; av45621 ; 77 
 1912 ; 3 копейки ; 1938 ;  ; Br ; F-VF ; 12 ; kvs ; 38 
 1913 ; 2 копейки ; 1935 ;  ; Br ; F+ ; 40 ; mezy1969 ; 225 
 1914 ; 2 копейки ; 1941 ;  ; Br ; F+ ; 28 ; 21011984andrei ; 123 
 1915 ; 1 копейка ; 1941 ;  ; Br ; VF+ ; 42 ; 06031983 ; 347 
 1916 ; 1 копейка ; 1951 ;  ; Br ; F-VF ; 51 ; venividivici ; 306 
 1917 ; 10 копеек ; 1949 ;  ; Ni ; F-VF ; 19 ; тульский-лаптев ; 110 
 1918 ; 3 копейки ; 1962 ;  ; Cu-Zn ; VF- ; 35 ; gdrg2 ; 340 
 1919 ; 3 копейки ; 1951 ;  ; Br ; F-VF ; 13 ; Инвестор ; 114 
 1920 ; 5 копеек ; 1952 ;  ; Br ; VF ; 16 ; Vanomah ; 57 
 1921 ; 5 копеек ; 1940 ;  ; Br ; F-VF ; 10 ; Waldemar ; 101 
 1922 ; 3 копейки ; 1974 ;  ; Cu-Zn ; AU ; 7 ; alitur ; 102 
 1923 ; 5 копеек ; 1974 ;  ; Cu-Zn ; AU ; 19 ; oleg13 ; 130 
 1924 ; 10 копеек ; 1976 ;  ; Cu-Ni ; AU ; 107 ; oleg13 ; 1041 
 1925 ; 1 копейка ; 1966 ;  ; Cu-Zn ; AU ; 35 ; Irina-V ; 271 
 1826 ; 5 рублей ; 1991 ; Архангельский собор в Москве ; Cu-Ni ; AU ; 25 ; murew ; 127 
 1827 ; 1 рубль ; 1991 ; 101 год со дня рождения К.В.Иванова ; Cu-Ni ; AU ; 17 ; Livon ; 101 
 1828 ; 1 рубль ; 1991 ; 550 лет со дня рождения А.Навои ; Cu-Ni ; XF+ ; 19 ; ardgir ; 101 
 1829 ; 1 рубль ; 1991 ; 125 лет со дня рождения П.Н.Лебедева ; Cu-Ni ; AU ; 21 ; Oleg73 ; 92 
 1830 ; 1 рубль ; 1961 ;  ; Cu-Ni ; XF ; 36 ; mezy1969 ; 800 
 1831 ; 50 копеек ; 1961 ;  ; Cu-Ni ; AU ; 34 ; sotnik ; 867 
 1832 ; 20 копеек ; 1961 ;  ; Cu-Ni ; AU ; 25 ; mezy1969 ; 400 
 1833 ; 15 копеек ; 1961 ;  ; Cu-Ni ; AU ; 14 ; oleg13 ; 408 
 1834 ; 10 копеек ; 1961 ;  ; Cu-Ni ; AU ; 14 ; verunk1 ; 408 
 1835 ; 5 копеек ; 1961 ;  ; Cu-Zn ; XF+ ; 17 ; mezy1969 ; 350 
 1836 ; 3 копейки ; 1961 ;  ; Cu-Zn ; XF ; 23 ; mezy1969 ; 350 
 1837 ; 2 копейки ; 1961 ;  ; Cu-Zn ; XF ; 19 ; mezy1969 ; 350 
 1838 ; 1 копейка ; 1961 ;  ; Cu-Zn ; XF ; 25 ; mezy1969 ; 350 
 1839 ; 5 копеек ; 1930 ;  ; Br ; F-VF ; 5 ; kuzma-1 ; 32 
 1840 ; 5 копеек ; 1932 ;  ; Br ; VF- ; 6 ; zemlyk2014 ; 57 
 1841 ; 5 копеек ; 1946 ;  ; Br ; VF- ; 9 ; alitur ; 23 
 1842 ; 5 копеек ; 1949 ;  ; Br ; VF ; 37 ; 21011984andrei ; 57 
 1843 ; 5 копеек ; 1952 ;  ; Br ; VF+ ; 41 ; vasilyi66 ; 89 
 1844 ; 5 копеек ; 1953 ;  ; Br ; VF- ; 9 ; alitur ; 34 
 1845 ; 5 копеек ; 1954 ;  ; Br ; VF+ ; 36 ; 21011984andrei ; 59 
 1846 ; 5 копеек ; 1955 ;  ; Br ; XF ; 22 ; Конрос77 ; 238 
 1847 ; 5 копеек ; 1956 ;  ; Br ; XF ; 27 ; Конрос77 ; 180 
 1848 ; 5 копеек ; 1957 ; В венке герба 15 лент ; Br ; XF+ ; 49 ; Конрос77 ; 258 
 1849 ; 10 копеек ; 1934 ;  ; Ni ; F ; 14 ; zemlyk2014 ; 340 
 1850 ; 20 копеек ; 1937 ; Л/с звезда плоская, шт. 20 коп. ; Ni ; VF ; 55 ; Piligrim ; 261 
 1851 ; 20 копеек ; 1939 ;  ; Ni ; VF ; 23 ; vasilyi66 ; 105 
 1852 ; 20 копеек ; 1942 ; Л/с звезда плоская, шт. 20 коп. ; Ni ; F-VF ; 23 ; mercatel ; 283 
 1853 ; 20 копеек ; 1944 ;  ; Ni ; VF- ; 23 ; mercatel ; 255 
 1854 ; 20 копеек ; 1950 ;  ; Ni ; VF- ; 23 ; лом45 ; 906 
 1855 ; 20 копеек ; 1951 ;  ; Ni ; VF ; 11 ; gdrg2 ; 77 
 1856 ; 15 копеек ; 1937 ;  ; Ni ; VF- ; 38 ; shknikolay ; 268 
 1857 ; 15 копеек ; 1944 ;  ; Ni ; VF- ; 17 ; Инвестор ; 408 
 1858 ; 15 копеек ; 1949 ;  ; Ni ; VF-XF ; 40 ; Irina-V ; 450 
 1859 ; 15 копеек ; 1951 ;  ; Ni ; VF-XF ; 75 ; Vanomah ; 360 
 1860 ; 10 копеек ; 1938 ;  ; Ni ; F+ ; 8 ; Инвестор ; 102 
 1861 ; 10 копеек ; 1939 ;  ; Ni ; F+ ; 13 ; zemlyk2014 ; 78 
 1862 ; 10 копеек ; 1941 ;  ; Ni ; VF-XF ; 36 ; тульский-лаптев ; 864 
 1863 ; 10 копеек ; 1951 ;  ; Ni ; F ; 9 ; тульский-лаптев ; 114 
 1864 ; 2 копейки ; 1945 ;  ; Br ; XF- ; 48 ; dimass70 ; 1592 
 1865 ; 1 копейка ; 1934 ;  ; Br ; VF- ; 19 ; mezy1969 ; 284 
 1866 ; 1 копейка ; 1941 ;  ; Br ; VF-XF ; 16 ; mezy1969 ; 408 
 1867 ; 1 копейка ; 1945 ;  ; Br ; VF+ ; 23 ; fouli ; 178 
 1868 ; 1 копейка ; 1951 ;  ; Br ; VF-XF ; 40 ; Irina-V ; 340 
 1869 ; 20 копеек. "50 лет Советской власти" ; 1967 ;  ; Cu-Ni ; XF- ; 23 ; Kolya2788 ; 62 
 1870 ; 15 копеек. "50 лет Советской власти" ; 1967 ;  ; Cu-Ni ; XF ; 19 ; vlk_ ; 56 
 1871 ; 10 копеек. "50 лет Советской власти" ; 1967 ;  ; Cu-Ni ; XF ; 26 ; Oleg73 ; 60 
 1872 ; 5 копеек ; 1953 ;  ; Br ; VF- ; 9 ; akula ; 79 
 1873 ; 50 копеек ; 1961 ;  ; Cu-Ni ; XF ; 55 ; fouli ; 357 
 1874 ; 1 копейка ; 1935 ;  ; Br ; VF-XF ; 33 ; venividivici ; 1300 
 1875 ; 5 копеек ; 1946 ;  ; Br ; VF+ ; 49 ; DIMA 57 ; 107 
 1776 ; 5 рублей ; 1991 ; Архангельский собор в Москве ; Cu-Ni ; Proof ; 29 ; сортам70 ; 174 
 1777 ; 5 рублей ; 1990 ; Большой дворец в Петродворце ; Cu-Ni ; Proof ; 32 ; Jana ; 191 
 1778 ; 3 рубля ; 1994 ; 50 лет освобождения Белграда ; Cu-Ni ; Proof ; 45 ; karden53 ; 1445 
 1779 ; 3 рубля ; 1994 ; 50 лет открытия Второго фронта ; Cu-Ni ; Proof ; 23 ; СЁМА ; 2800 
 1780 ; 5 рублей ; 1988 ; Памятник Петру I в Ленинграде ; Cu-Ni ; Proof ; 33 ; viplong ; 228 
 1781 ; 5 рублей ; 1989 ; Собор Покрова на рву в Москве ; Cu-Ni ; Proof ; 21 ; viplong ; 242 
 1782 ; 5 рублей ; 1988 ; Памятник в Новгороде "Тысячелетие России" ; Cu-Ni ; Proof ; 25 ; viplong ; 206 
 1783 ; 5 рублей ; 1990 ; Успенский собор в Москве ; Cu-Ni ; Proof ; 13 ; Инвестор ; 162 
 1784 ; 5 рублей ; 1991 ; Здание Госбанка СССР в Москве ; Cu-Ni ; Proof ; 23 ; viplong ; 197 
 1785 ; 5 рублей ; 1991 ; Памятник Давиду Сасунскому в Ереване ; Cu-Ni ; Proof ; 14 ; viplong ; 171 
 1786 ; 1 рубль ; 1991 ; 125 лет со дня рождения П.Н.Лебедева ; Cu-Ni ; Proof ; 16 ; Jana ; 147 
 1787 ; 1 рубль ; 1990 ; 125 лет со дня рождения Я.Райниса ; Cu-Ni ; Proof ; 13 ; Leopold36 ; 408 
 1788 ; 1 рубль ; 1987 ; 130 лет со дня рождения К.Э.Циолковского ; Cu-Ni ; Proof ; 15 ; viplong ; 159 
 1789 ; 1 рубль ; 1989 ; 175 лет со дня рождения Т.Г.Шевченко ; Cu-Ni ; Proof ; 21 ; viplong ; 148 
 1790 ; 1 рубль ; 1991 ; 100 лет со дня рождения С.Прокофьева ; Cu-Ni ; Proof ; 22 ; viplong ; 147 
 1791 ; 1 рубль ; 1989 ; 175 лет со дня рождения М.Ю.Лермонтова ; Cu-Ni ; Proof ; 17 ; viplong ; 147 
 1792 ; 1 рубль ; 1990 ; 130 лет со дня рождения А.П.Чехова ; Cu-Ni ; Proof ; 24 ; viplong ; 147 
 1793 ; 1 рубль ; 1991 ; 550 лет со дня рождения А.Навои ; Cu-Ni ; Proof ; 25 ; viplong ; 147 
 1794 ; 1 рубль ; 1990 ; 500 лет со дня рождения Ф.Скорины ; Cu-Ni ; Proof ; 18 ; viplong ; 150 
 1795 ; 1 рубль ; 1988 ; 120 лет со дня рождения А.М.Горького ; Cu-Ni ; Proof ; 37 ; viplong ; 150 
 1796 ; 5 рублей ; 1990 ; Успенский собор в Москве ; Cu-Ni ; XF+ ; 17 ; Калуга ; 115 
 1797 ; 5 рублей ; 1991 ; Архангельский собор в Москве ; Cu-Ni ; AU ; 28 ; murew ; 174 
 1798 ; 1 рубль ; 1987 ; 130 лет со дня рождения К.Э.Циолковского ; Cu-Ni ; AU ; 11 ; gdrg2 ; 92 
 1799 ; 1 рубль ; 1991 ; 101 год со дня рождения К.В.Иванова ; Cu-Ni ; AU ; 8 ; zemlyk2014 ; 102 
 1800 ; 1 рубль ; 1991 ; 550 лет со дня рождения А.Навои ; Cu-Ni ; XF+ ; 24 ; Oleg73 ; 106 
 1801 ; 1 рубль ; 1991 ; 125 лет со дня рождения П.Н.Лебедева ; Cu-Ni ; AU ; 18 ; spsmaalex ; 91 
 1802 ; 5 рублей ; 1990 ; Успенский собор в Москве ; Cu-Ni ; XF+ ; 11 ; Калуга ; 114 
 1803 ; 3 рубля ; 1995 ; 50 лет освобождения Кенигсберга. ; Cu-Ni ; Proof ; 22 ; aaa2009 ; 1634 
 1804 ; 3 рубля ; 1995 ; 50 лет освобождения Вены ; Cu-Ni ; Proof ; 15 ; СЁМА ; 793 
 1805 ; 3 рубля ; 1993 ; 50 лет победы в Сталинградской битве ; Cu-Ni ; Proof ; 16 ; Leopold36 ; 419 
 1806 ; 5 рублей ; 1990 ; Большой дворец в Петродворце ; Cu-Ni ; Proof ; 25 ; сортам70 ; 180 
 1807 ; 3 рубля ; 1994 ; 50 лет освобождения Белграда ; Cu-Ni ; Proof ; 35 ; stas07 ; 1227 
 1808 ; 3 рубля ; 1994 ; 50 лет открытия Второго фронта ; Cu-Ni ; Proof ; 9 ; Lenchik_2M ; 2827 
 1809 ; 5 рублей ; 1988 ; Памятник Петру I в Ленинграде ; Cu-Ni ; Proof ; 56 ; spsmaalex ; 163 
 1810 ; 5 рублей ; 1989 ; Собор Покрова на рву в Москве ; Cu-Ni ; Proof ; 41 ; сортам70 ; 242 
 1811 ; 5 рублей ; 1988 ; Памятник в Новгороде "Тысячелетие России" ; Cu-Ni ; Proof ; 28 ; spsmaalex ; 216 
 1812 ; 5 рублей ; 1990 ; Успенский собор в Москве ; Cu-Ni ; Proof ; 10 ; сортам70 ; 159 
 1813 ; 5 рублей ; 1991 ; Здание Госбанка СССР в Москве ; Cu-Ni ; Proof ; 27 ; Кoчeвниk ; 187 
 1814 ; 5 рублей ; 1991 ; Памятник Давиду Сасунскому в Ереване ; Cu-Ni ; Proof ; 26 ; iizikul ; 236 
 1815 ; 1 рубль ; 1991 ; 125 лет со дня рождения П.Н.Лебедева ; Cu-Ni ; Proof ; 22 ; viplong ; 147 
 1816 ; 1 рубль ; 1990 ; 125 лет со дня рождения Я.Райниса ; Cu-Ni ; Proof ; 21 ; viplong ; 181 
 1817 ; 1 рубль ; 1987 ; 130 лет со дня рождения К.Э.Циолковского ; Cu-Ni ; Proof ; 12 ; viplong ; 185 
 1818 ; 1 рубль ; 1989 ; 175 лет со дня рождения Т.Г.Шевченко ; Cu-Ni ; Proof ; 21 ; viplong ; 155 
 1819 ; 1 рубль ; 1991 ; 100 лет со дня рождения С.Прокофьева ; Cu-Ni ; Proof ; 19 ; viplong ; 148 
 1820 ; 1 рубль ; 1989 ; 175 лет со дня рождения М.Ю.Лермонтова ; Cu-Ni ; Proof ; 20 ; viplong ; 148 
 1821 ; 1 рубль ; 1990 ; 130 лет со дня рождения А.П.Чехова ; Cu-Ni ; Proof ; 22 ; viplong ; 148 
 1822 ; 1 рубль ; 1991 ; 550 лет со дня рождения А.Навои ; Cu-Ni ; Proof ; 21 ; viplong ; 177 
 1823 ; 1 рубль ; 1990 ; 500 лет со дня рождения Ф.Скорины ; Cu-Ni ; Proof ; 15 ; viplong ; 148 
 1824 ; 1 рубль ; 1988 ; 120 лет со дня рождения А.М.Горького ; Cu-Ni ; Proof ; 19 ; viplong ; 148 
 1825 ; 5 рублей ; 1990 ; Успенский собор в Москве ; Cu-Ni ; XF- ; 16 ; хуторянин ; 79 
 1726 ; 5 рублей ; 1990 ; Матенадаран.Ереван ; Cu-Ni ; AU ; 10 ; murew ; 126 
 1727 ; 5 рублей ; 1990 ; Успенский собор в Москве ; Cu-Ni ; XF ; 17 ; Калуга ; 95 
 1728 ; 3 рубля ; 1989 ; Землятресение в Армении ; Cu-Ni ; XF ; 15 ; Oleg73 ; 120 
 1729 ; 3 рубля ; 1989 ; Землятресение в Армении ; Cu-Ni ; XF+ ; 19 ; zemlyk2014 ; 119 
 1730 ; 1 рубль ; 1981 ; 20 лет полета в космос Ю.Гагарина ; Cu-Ni ; VF ; 19 ; Oleg73 ; 125 
 1731 ; 1 рубль ; 1987 ; 70 лет Октябрьской революции ; Cu-Ni ; AU ; 19 ; ацетон ; 106 
 1732 ; 1 рубль ; 1981 ; 20 лет полета в космос Ю.Гагарина ; Cu-Ni ; VF-XF ; 15 ; Дима Шухов ; 123 
 1733 ; 1 рубль ; 1988 ; 160 лет со дня рождения А.Н.Толстого ; Cu-Ni ; AU ; 16 ; zemlyk2014 ; 85 
 1734 ; 1 рубль ; 1988 ; 160 лет со дня рождения А.Н.Толстого ; Cu-Ni ; AU ; 19 ; ardgir ; 90 
 1735 ; 1 рубль ; 1988 ; 160 лет со дня рождения А.Н.Толстого ; Cu-Ni ; AU ; 15 ; zemlyk2014 ; 85 
 1736 ; 1 рубль ; 1988 ; 160 лет со дня рождения А.Н.Толстого ; Cu-Ni ; AU ; 15 ; zemlyk2014 ; 84 
 1737 ; 1 рубль ; 1988 ; 160 лет со дня рождения А.Н.Толстого ; Cu-Ni ; AU ; 19 ; gdrg2 ; 87 
 1738 ; 1 рубль ; 1989 ; 150 лет со дня рождения М.П.Мусоргского ; Cu-Ni ; AU ; 8 ; vovan9808 ; 114 
 1739 ; 1 рубль ; 1991 ; 100 лет со дня рождения С.Прокофьева ; Cu-Ni ; AU ; 24 ; spsmaalex ; 90 
 1740 ; 1 рубль ; 1991 ; Олимпиада в Барселоне.Борьба ; Cu-Ni ; Proof ; 31 ; Leopold36 ; 996 
 1741 ; 5 рублей. Упаковка ; 1989 ; Ансамбль Регистан в Самарканде ; Cu-Ni ; Proof ; 22 ; viplong ; 416 
 1742 ; 1 рубль ; 1984 ; 185 лет со дня рождения А.С.Пушкина ; Cu-Ni ; AU ; 28 ; Tritiy2 ; 350 
 1743 ; 1 рубль ; 1985 ; 40 лет Победы над Германией ; Cu-Ni ; AU ; 8 ; Gallery ; 60 
 1744 ; 1 рубль ; 1975 ; 30 лет Победы в войне 1941-1945 ; Cu-Ni ; XF+ ; 9 ; Maksss163 ; 52 
 1745 ; 1 рубль ; 1989 ; 150 лет со дня рождения М.П.Мусоргского ; Cu-Ni ; AU ; 15 ; ацетон ; 153 
 1746 ; 1 рубль ; 1989 ; 175 лет со дня рождения М.Ю.Лермонтова ; Cu-Ni ; AU ; 13 ; ацетон ; 104 
 1747 ; 1 рубль ; 1978 ; Олимпиада 80.Московский Кремль ; Cu-Ni ; XF+ ; 9 ; юрий73 ; 122 
 1748 ; 1 рубль ; 1988 ; 160 лет со дня рождения А.Н.Толстого ; Cu-Ni ; XF+ ; 9 ; Shera ; 98 
 1749 ; 1 рубль ; 1988 ; 120 лет со дня рождения А.М.Горького ; Cu-Ni ; AU ; 11 ; zemlyk2014 ; 101 
 1750 ; 1 рубль ; 1986 ; Международный год мира ; Cu-Ni ; AU ; 21 ; Heawen ; 92 
 1751 ; 1 рубль ; 1987 ; 175 лет Бородино (обелиск) ; Cu-Ni ; AU ; 9 ; Kolya2788 ; 113 
 1752 ; 1 рубль ; 1987 ; 175 лет Бородино (барельеф) ; Cu-Ni ; AU ; 11 ; Shera ; 91 
 1753 ; 1 рубль ; 1984 ; 125 лет со дня рождения А.С.Попова ; Cu-Ni ; AU ; 36 ; Tritiy2 ; 350 
 1754 ; 1 рубль ; 1979 ; Олимпиада 80.Обелиск покорителям космоса ; Cu-Ni ; AU ; 12 ; ацетон ; 113 
 1755 ; 1 рубль ; 1979 ; Олимпиада 80.Здание МГУ ; Cu-Ni ; AU ; 10 ; Graaf ; 99 
 1756 ; 1 рубль ; 1983 ; 20 лет полета в космос В.Терешковой ; Cu-Ni ; AU ; 26 ; Tritiy2 ; 350 
 1757 ; 1 рубль ; 1985 ; Фестиваль молодежи и студентов в Москве ; Cu-Ni ; AU ; 18 ; gdrg2 ; 91 
 1758 ; 1 рубль ; 1983 ; 400 лет со дня смерти И.Федорова 1510-1583 ; Cu-Ni ; AU ; 16 ; spsmaalex ; 249 
 1759 ; 1 рубль ; 1985 ; 165 лет со дня рождения Ф.Энгельса ; Cu-Ni ; AU ; 31 ; Дмитрий1 ; 273 
 1760 ; 1 рубль ; 1980 ; Олимпиада 80.Олимпийский факел ; Cu-Ni ; AU ; 28 ; Калуга ; 220 
 1761 ; 1 рубль ; 1980 ; Олимпиада 80.Здание Моссовета ; Cu-Ni ; XF ; 8 ; 1206 ; 100 
 1762 ; 1 рубль ; 1991 ; 125 лет со дня рождения П.Н.Лебедева ; Cu-Ni ; XF+ ; 9 ; Eilenau ; 84 
 1763 ; 1 рубль ; 1977 ; Олимпиада 80.Эмблема Олимпийских игр ; Cu-Ni ; XF ; 9 ; Heawen ; 54 
 1764 ; 1 рубль ; 1990 ; Маршал СССР Г.К.Жуков ; Cu-Ni ; XF+ ; 15 ; Leopold36 ; 332 
 1765 ; 1 рубль ; 1977 ; 60 лет Советской власти ; Cu-Ni ; XF ; 41 ; Марик ; 67 
