 151 ; Медаль "За храбрость". Новодел. D-28мм ;  ;  ; Cu ; VF-XF ; 31 ; 222211 ; 2833 
 1939 ; 1 рубль ; 1987 ; 130 лет со дня рождения К.Э.Циолковского ; Cu-Ni ; AU ; 8 ; jimmysu ; 31 
 1940 ; 1 рубль ; 1987 ; 70 лет Октябрьской революции ; Cu-Ni ; AU ; 21 ; ollu ; 100 
 1941 ; 1 рубль ; 1988 ; 120 лет со дня рождения А.М.Горького ; Cu-Ni ; XF ; 11 ; KVP1 ; 31 
 1942 ; 1 рубль ; 1988 ; 160 лет со дня рождения А.Н.Толстого ; Cu-Ni ; XF- ; 16 ; Cuff ; 32 
 1943 ; 1 рубль ; 1989 ; 100 лет со дня смерти Эминеску ; Cu-Ni ; AU ; 31 ; Downgold ; 174 
 1944 ; 1 рубль ; 1989 ; 150 лет со дня рождения М.П.Мусоргского ; Cu-Ni ; XF- ; 17 ; Cuff ; 37 
 1945 ; 1 рубль ; 1989 ; 175 лет со дня рождения М.Ю.Лермонтова ; Cu-Ni ; XF ; 30 ; lielais ; 48 
 1946 ; 1 рубль ; 1989 ; 175 лет со дня рождения Т.Г.Шевченко ; Cu-Ni ; XF+ ; 19 ; KMTKMP ; 42 
 1947 ; 1 рубль ; 1990 ; 150 лет со дня рождения П.И.Чайковского ; Cu-Ni ; AU ; 8 ; jimmysu ; 33 
 1948 ; 1 рубль ; 1990 ; 130 лет со дня рождения А.П.Чехова ; Cu-Ni ; AU ; 14 ; xct ; 31 
 1949 ; 1 рубль ; 1990 ; Маршал СССР Г.К.Жуков ; Cu-Ni ; AU ; 25 ; sibons ; 139 
 1950 ; 1 рубль ; 1990 ; 500 лет со дня рождения Ф.Скорины ; Cu-Ni ; AU ; 10 ; teemu ; 41 
 1951 ; 1 рубль ; 1990 ; 125 лет со дня рождения Я.Райниса ; Cu-Ni ; AU ; 13 ; sibons ; 34 
 1952 ; 1 рубль ; 1991 ; 850 лет со дня рождения Низами Гянджеви ; Cu-Ni ; AU ; 32 ; Downgold ; 62 
 1953 ; 1 рубль ; 1991 ; 100 лет со дня рождения С.Прокофьева ; Cu-Ni ; AU ; 28 ; Downgold ; 62 
 1954 ; 1 рубль ; 1991 ; 125 лет со дня рождения П.Н.Лебедева ; Cu-Ni ; AU ; 10 ; ollu ; 51 
 1955 ; 1 рубль ; 1991 ; 101 год со дня рождения К.В.Иванова ; Cu-Ni ; AU ; 27 ; lielais ; 62 
 1956 ; 1 рубль ; 1991 ; 550 лет со дня рождения А.Навои ; Cu-Ni ; AU ; 34 ; Downgold ; 99 
 1957 ; 5 рублей ; 1993 ; Сергиев Посад ; Cu-Ni ; Proof ; 56 ; zev ; 490 
 1958 ; 1 рубль. В конверте ; 1965 ; 20 лет победы над Германией ; Cu-Ni ; AU ; 50 ; KMTKMP ; 114 
 1959 ; 3 рубля ; 1993 ; 50 лет победы на Курской дуге ; Cu-Ni ; XF+ ; 66 ; Gorizn ; 359 
 1960 ; 5 рублей ; 1990 ; Матенадаран.Ереван ; Cu-Ni ; AU ; 15 ; ollu ; 63 
 1961 ; 3 рубля ; 1987 ; 70 лет Октябрьской революции ; Cu-Ni ; AU ; 28 ; ollu ; 95 
 1962 ; 1 рубль ; 1983 ; 20 лет полета в космос В.Терешковой ; Cu-Ni ; AU ; 27 ; ollu ; 100 
 1963 ; 1 рубль ; 1975 ; 30 лет Победы в войне 1941-1945 ; Cu-Ni ; AU ; 32 ; Cuff ; 36 
 1964 ; 5 рублей. Упаковка ; 1988 ; Памятник Петру I в Ленинграде ; Cu-Ni ; Proof ; 58 ; Следопыт ; 185 
 1965 ; 5 рублей. Упаковка ; 1988 ; Памятник в Новгороде "Тысячелетие России" ; Cu-Ni ; Proof ; 54 ; Harlock ; 204 
 1966 ; 5 рублей. Упаковка ; 1988 ; Софийский собор в Киеве ; Cu-Ni ; Proof ; 18 ; isten ; 219 
 1967 ; 5 рублей. Упаковка ; 1989 ; Собор Покрова на рву в Москве ; Cu-Ni ; Proof ; 30 ; A_coin ; 296 
 1968 ; 5 рублей. Упаковка ; 1989 ; Ансамбль Регистан в Самарканде ; Cu-Ni ; Proof ; 58 ; evgen177309 ; 204 
 1969 ; 5 рублей. Упаковка ; 1989 ; Благовещенский собор в Москве ; Cu-Ni ; Proof ; 40 ; Downgold ; 322 
 1870 ; 1 рубль ; 1981 ; 20 лет полета в космос Ю.Гагарина ; Cu-Ni ; AU ; 15 ; trigl ; 51 
 1871 ; 1 рубль ; 1981 ; 20 лет полета в космос Ю.Гагарина ; Cu-Ni ; AU ; 14 ; ollu ; 51 
 1872 ; 1 рубль ; 1983 ; 165 лет со дня рождения К.Маркса ; Cu-Ni ; XF ; 7 ; BOLMAR ; 110 
 1873 ; 1 рубль ; 1983 ; 165 лет со дня рождения К.Маркса ; Cu-Ni ; AU ; 9 ; sibons ; 143 
 1874 ; 1 рубль ; 1985 ; 165 лет со дня рождения Ф.Энгельса ; Cu-Ni ; AU ; 7 ; sibons ; 104 
 1875 ; 1 рубль ; 1985 ; 165 лет со дня рождения Ф.Энгельса ; Cu-Ni ; AU ; 14 ; Downgold ; 105 
 1876 ; 1 рубль ; 1985 ; 40 лет Победы над Германией ; Cu-Ni ; AU ; 11 ; ollu ; 35 
 1877 ; 1 рубль ; 1985 ; 40 лет Победы над Германией ; Cu-Ni ; AU ; 14 ; Рыжая_Кыся ; 33 
 1878 ; 1 рубль ; 1985 ; Фестиваль молодежи и студентов в Москве ; Cu-Ni ; AU ; 11 ; KMTKMP ; 41 
 1879 ; 1 рубль ; 1985 ; Фестиваль молодежи и студентов в Москве ; Cu-Ni ; AU ; 11 ; Harlock ; 41 
 1880 ; 1 рубль ; 1986 ; Международный год мира ; Cu-Ni ; AU ; 6 ; sibons ; 62 
 1881 ; 1 рубль ; 1986 ; Международный год мира ; Cu-Ni ; AU ; 15 ; romul ; 100 
 1882 ; 1 рубль ; 1986 ; 275 лет со дня рождения М.В.Ломоносова ; Cu-Ni ; AU ; 17 ; Downgold ; 87 
 1883 ; 1 рубль ; 1986 ; 275 лет со дня рождения М.В.Ломоносова ; Cu-Ni ; AU ; 23 ; sibons ; 90 
 1884 ; 1 рубль ; 1987 ; 130 лет со дня рождения К.Э.Циолковского ; Cu-Ni ; AU ; 12 ; lielais ; 62 
 1885 ; 1 рубль ; 1987 ; 130 лет со дня рождения К.Э.Циолковского ; Cu-Ni ; XF ; 40 ; Cuff ; 50 
 1886 ; 1 рубль ; 1987 ; 175 лет Бородино (обелиск) ; Cu-Ni ; AU ; 8 ; Ctap4e ; 53 
 1887 ; 1 рубль ; 1987 ; 175 лет Бородино (обелиск) ; Cu-Ni ; AU ; 23 ; Downgold ; 53 
 1888 ; 1 рубль ; 1987 ; 175 лет Бородино (барельеф) ; Cu-Ni ; AU ; 8 ; Ctap4e ; 50 
 1889 ; 1 рубль ; 1987 ; 70 лет Октябрьской революции ; Cu-Ni ; AU ; 24 ; Gorizn ; 101 
 1890 ; 1 рубль ; 1987 ; 70 лет Октябрьской революции ; Cu-Ni ; AU ; 31 ; Downgold ; 114 
 1891 ; 1 рубль ; 1988 ; 120 лет со дня рождения А.М.Горького ; Cu-Ni ; AU ; 17 ; sibons ; 51 
 1892 ; 1 рубль ; 1988 ; 120 лет со дня рождения А.М.Горького ; Cu-Ni ; AU ; 13 ; sibons ; 34 
 1893 ; 1 рубль ; 1989 ; 175 лет со дня рождения Т.Г.Шевченко ; Cu-Ni ; XF+ ; 26 ; KMTKMP ; 51 
 1894 ; 1 рубль ; 1989 ; 175 лет со дня рождения Т.Г.Шевченко ; Cu-Ni ; AU ; 12 ; ollu ; 60 
 1895 ; 1 рубль ; 1989 ; 150 лет со дня рождения М.П.Мусоргского ; Cu-Ni ; XF+ ; 22 ; teemu ; 42 
 1896 ; 1 рубль ; 1989 ; 150 лет со дня рождения М.П.Мусоргского ; Cu-Ni ; AU ; 12 ; ollu ; 55 
 1897 ; 1 рубль ; 1990 ; 150 лет со дня рождения П.И.Чайковского ; Cu-Ni ; AU ; 13 ; molchun ; 62 
 1898 ; 1 рубль ; 1990 ; 150 лет со дня рождения П.И.Чайковского ; Cu-Ni ; AU ; 10 ; ollu ; 37 
 1899 ; 1 рубль ; 1990 ; 130 лет со дня рождения А.П.Чехова ; Cu-Ni ; AU ; 8 ; ollu ; 33 
 1900 ; 1 рубль ; 1990 ; Маршал СССР Г.К.Жуков ; Cu-Ni ; AU ; 18 ; shneyder ; 150 
 1901 ; 1 рубль ; 1990 ; Маршал СССР Г.К.Жуков ; Cu-Ni ; AU ; 23 ; sibons ; 139 
 1902 ; 1 рубль ; 1990 ; 130 лет со дня рождения А.П.Чехова ; Cu-Ni ; AU ; 8 ; ollu ; 33 
 1903 ; 1 рубль ; 1990 ; 500 лет со дня рождения Ф.Скорины ; Cu-Ni ; AU ; 7 ; sibons ; 51 
 1904 ; 1 рубль ; 1990 ; 500 лет со дня рождения Ф.Скорины ; Cu-Ni ; AU ; 8 ; teemu ; 51 
 1905 ; 1 рубль ; 1990 ; 125 лет со дня рождения Я.Райниса ; Cu-Ni ; XF+ ; 13 ; KVP1 ; 33 
 1906 ; 1 рубль ; 1990 ; 125 лет со дня рождения Я.Райниса ; Cu-Ni ; XF+ ; 9 ; KMTKMP ; 33 
 1907 ; 1 рубль ; 1991 ; 100 лет со дня рождения С.Прокофьева ; Cu-Ni ; AU ; 47 ; molchun ; 51 
 1908 ; 1 рубль ; 1991 ; 100 лет со дня рождения С.Прокофьева ; Cu-Ni ; AU ; 8 ; sibons ; 62 
 1909 ; 1 рубль ; 1991 ; 850 лет со дня рождения Низами Гянджеви ; Cu-Ni ; AU ; 29 ; lielais ; 59 
 1910 ; 1 рубль ; 1991 ; 850 лет со дня рождения Низами Гянджеви ; Cu-Ni ; AU ; 7 ; кошак ; 70 
 1911 ; 1 рубль ; 1991 ; 125 лет со дня рождения П.Н.Лебедева ; Cu-Ni ; XF ; 3 ; sibons ; 34 
 1912 ; 1 рубль ; 1991 ; 125 лет со дня рождения П.Н.Лебедева ; Cu-Ni ; XF ; 12 ; KMTKMP ; 38 
 1913 ; 1 рубль. Ошибка на циферблате часов вместо IV часов - VI ; 1978 ; Олимпиада 80.Московский Кремль ; Cu-Ni ; AU ; 20 ; ollu ; 137 
 1914 ; 1 рубль ; 1979 ; Олимпиада 80.Обелиск покорителям космоса ; Cu-Ni ; AU ; 8 ; Syntez ; 62 
 1915 ; 1 рубль ; 1980 ; Олимпиада 80.Олимпийский факел ; Cu-Ni ; AU ; 6 ; ollu ; 55 
 1916 ; 1 рубль. Упаковка ; 1989 ; 150 лет со дня рождения М.П.Мусоргского ; Cu-Ni ; Proof ; 18 ; tank116 ; 131 
 1917 ; 1 рубль. Упаковка ; 1989 ; 175 лет со дня рождения Т.Г.Шевченко ; Cu-Ni ; Proof ; 21 ; avig67 ; 100 
 1918 ; 1 рубль. Упаковка ; 1990 ; 150 лет со дня рождения П.И.Чайковского ; Cu-Ni ; Proof ; 15 ; tank116 ; 143 
 1919 ; 5 рублей ; 1989 ; Благовещенский собор в Москве ; Cu-Ni ; AU ; 14 ; jimmysu ; 130 
 1820 ; 1 рубль ; 1991 ; Олимпиада в Барселоне.Метание копья ; Cu-Ni ; Proof ; 27 ; tank116 ; 1015 
 1821 ; 1 рубль ; 1991 ; Олимпиада в Барселоне.Велосипед ; Cu-Ni ; Proof ; 38 ; tank116 ; 2393 
 1822 ; 1 рубль ; 1991 ; Олимпиада в Барселоне.Прыжки в длину ; Cu-Ni ; Proof ; 38 ; tank116 ; 989 
 1823 ; 1 рубль ; 1991 ; Олимпиада в Барселоне.Прыжки в длину ; Cu-Ni ; Proof ; 57 ; Вяч ; 624 
 1824 ; 1 рубль ; 1991 ; Олимпиада в Барселоне. Бег ; Cu-Ni ; Proof ; 60 ; veter 9 ; 819 
 1825 ; 1 рубль ; 1991 ; Олимпиада в Барселоне.Борьба ; Cu-Ni ; Proof ; 32 ; олег45 ; 709 
 1826 ; 1 рубль ; 1991 ; Олимпиада в Барселоне.Штанга ; Cu-Ni ; Proof ; 42 ; олег45 ; 1020 
 1827 ; 1 рубль ; 1991 ; 850 лет со дня рождения Низами Гянджеви ; Cu-Ni ; Proof ; 19 ; evgen177309 ; 123 
 1828 ; 1 рубль ; 1992 ; 110 лет со дня рождения Я.Коласа ; Cu-Ni ; Proof ; 11 ; coin123 ; 267 
 1829 ; 1 рубль ; 1993 ; 250 лет со дня рождения Г.Р.Державина ; Cu-Ni ; Proof ; 27 ; Ходор ; 621 
 1830 ; 1 рубль ; 1993 ; 110 лет со дня рождения А.П.Бородина ; Cu-Ni ; Proof ; 29 ; coin123 ; 691 
 1831 ; 1 рубль ; 1993 ; 100 лет со дня рождения В.В.Маяковского ; Cu-Ni ; Proof ; 15 ; Ходор ; 1122 
 1832 ; 1 рубль ; 1993 ; 250 лет со дня рождения Г.Р.Державина ; Cu-Ni ; Proof ; 48 ; крабик ; 969 
 1833 ; 5 рублей ; 1989 ; Благовещенский собор в Москве ; Cu-Ni ; XF+ ; 15 ; Следопыт ; 141 
 1834 ; 5 рублей ; 1989 ; Собор Покрова на рву в Москве ; Cu-Ni ; AU ; 46 ; sibons ; 167 
 1835 ; 5 рублей ; 1989 ; Ансамбль Регистан в Самарканде ; Cu-Ni ; AU ; 30 ; sibons ; 137 
 1836 ; 5 рублей ; 1989 ; Благовещенский собор в Москве ; Cu-Ni ; AU ; 16 ; ollu ; 135 
 1837 ; 5 рублей ; 1990 ; Большой дворец в Петродворце ; Cu-Ni ; AU ; 39 ; Harlock ; 123 
 1838 ; 3 рубля ; 1989 ; Землятресение в Армении ; Cu-Ni ; AU ; 25 ; StanislavAK ; 82 
 1839 ; 1 рубль ; 1981 ; 20 лет полета в космос Ю.Гагарина ; Cu-Ni ; AU ; 13 ; Harlock ; 53 
 1840 ; 1 рубль ; 1985 ; 40 лет Победы над Германией ; Cu-Ni ; AU ; 26 ; KMTKMP ; 51 
 1841 ; 1 рубль ; 1986 ; Международный год мира ; Cu-Ni ; AU ; 14 ; Downgold ; 82 
 1842 ; 1 рубль ; 1989 ; 150 лет со дня рождения М.П.Мусоргского ; Cu-Ni ; AU ; 15 ; кошак ; 62 
 1843 ; 1 рубль ; 1989 ; 175 лет со дня рождения Т.Г.Шевченко ; Cu-Ni ; AU ; 6 ; ollu ; 53 
 1844 ; 1 рубль ; 1989 ; 175 лет со дня рождения М.Ю.Лермонтова ; Cu-Ni ; AU ; 31 ; piron ; 114 
 1845 ; 1 рубль ; 1990 ; 125 лет со дня рождения Я.Райниса ; Cu-Ni ; XF+ ; 9 ; sibons ; 35 
 1846 ; 1 рубль ; 1990 ; 500 лет со дня рождения Ф.Скорины ; Cu-Ni ; AU ; 3 ; кошак ; 91 
 1847 ; 1 рубль ; 1990 ; 130 лет со дня рождения А.П.Чехова ; Cu-Ni ; AU ; 5 ; sibons ; 51 
 1848 ; 5 рублей ; 1990 ; Матенадаран.Ереван ; Cu-Ni ; AU ; 12 ; ollu ; 57 
 1849 ; 5 рублей ; 1990 ; Успенский собор в Москве ; Cu-Ni ; AU ; 27 ; StanislavAK ; 102 
 1850 ; 5 рублей ; 1990 ; Успенский собор в Москве ; Cu-Ni ; AU ; 19 ; ollu ; 87 
 1851 ; 5 рублей ; 1990 ; Успенский собор в Москве ; Cu-Ni ; AU ; 24 ; StanislavAK ; 89 
 1852 ; 5 рублей ; 1991 ; Архангельский собор в Москве ; Cu-Ni ; AU ; 28 ; sibons ; 111 
 1853 ; 5 рублей ; 1991 ; Архангельский собор в Москве ; Cu-Ni ; AU ; 90 ; sibons ; 140 
 1854 ; 3 рубля ; 1987 ; 70 лет Октябрьской революции ; Cu-Ni ; AU ; 15 ; ollu ; 84 
 1855 ; 3 рубля ; 1989 ; Землятресение в Армении ; Cu-Ni ; AU ; 15 ; molchun ; 61 
 1856 ; 1 рубль ; 1965 ; 20 лет победы над Германией ; Cu-Ni ; AU ; 15 ; kurmax ; 102 
 1857 ; 1 рубль ; 1977 ; Олимпиада 80.Эмблема Олимпийских игр ; Cu-Ni ; XF+ ; 8 ; trigl ; 30 
 1858 ; 1 рубль ; 1977 ; Олимпиада 80.Эмблема Олимпийских игр ; Cu-Ni ; AU ; 9 ; ollu ; 40 
 1859 ; 1 рубль ; 1978 ; Олимпиада 80.Московский Кремль ; Cu-Ni ; XF ; 32 ; Gorizn ; 32 
 1860 ; 1 рубль ; 1978 ; Олимпиада 80.Московский Кремль ; Cu-Ni ; XF+ ; 14 ; Cuff ; 27 
 1861 ; 1 рубль ; 1978 ; Олимпиада 80.Московский Кремль ; Cu-Ni ; XF+ ; 13 ; Cuff ; 33 
 1862 ; 1 рубль ; 1978 ; Олимпиада 80.Московский Кремль ; Cu-Ni ; VF+ ; 31 ; KMTKMP ; 36 
 1863 ; 1 рубль ; 1978 ; Олимпиада 80.Московский Кремль ; Cu-Ni ; XF ; 12 ; Cuff ; 28 
 1864 ; 1 рубль ; 1979 ; Олимпиада 80.Здание МГУ ; Cu-Ni ; AU ; 68 ; Gorizn ; 158 
 1865 ; 1 рубль ; 1979 ; Олимпиада 80.Здание МГУ ; Cu-Ni ; AU ; 18 ; ollu ; 57 
 1866 ; 1 рубль ; 1979 ; Олимпиада 80.Обелиск покорителям космоса ; Cu-Ni ; AU ; 17 ; джон007 ; 62 
 1867 ; 1 рубль ; 1979 ; Олимпиада 80.Обелиск покорителям космоса ; Cu-Ni ; AU ; 20 ; ollu ; 54 
 1868 ; 1 рубль ; 1980 ; Олимпиада 80.Здание Моссовета ; Cu-Ni ; AU ; 23 ; sibons ; 62 
 1869 ; 1 рубль ; 1980 ; Олимпиада 80.Здание Моссовета ; Cu-Ni ; XF+ ; 36 ; Cuff ; 46 
 1770 ; 1 рубль. Упаковка ; 1992 ; "Суверенитет, демократия, возрождение" ; Cu-Ni ; Unc ; 43 ; zev ; 327 
 1771 ; 1 рубль. Упаковка ; 1992 ; 190 лет со дня рождения П.С.Нахимова ; Cu-Ni ; Proof ; 22 ; каламбурчик ; 334 
 1772 ; 1 рубль. Упаковка ; 1992 ; 110 лет со дня рождения Я.Коласа ; Cu-Ni ; Proof ; 23 ; каламбурчик ; 419 
 1773 ; 1 рубль. Упаковка ; 1992 ; 200 лет со дня рождения Н.И.Лобачевского ; Cu-Ni ; Proof ; 4 ; isten ; 200 
 1774 ; 1 рубль. Упаковка ; 1993 ; 130 лет со дня рождения В.И.Вернадского ; Cu-Ni ; Unc ; 26 ; asparagus ; 138 
 1775 ; 1 рубль ; 1983 ; 20 лет полета в космос В.Терешковой ; Cu-Ni ; AU ; 44 ; Harlock ; 147 
 1776 ; 1 рубль ; 1984 ; 185 лет со дня рождения А.С.Пушкина ; Cu-Ni ; AU ; 53 ; Harlock ; 255 
 1777 ; 1 рубль. Упаковка ; 1977 ; Олимпиада 80.Эмблема Олимпийских игр ; Cu-Ni ; Unc ; 13 ; Cuff ; 123 
 1778 ; 1 рубль. Упаковка ; 1978 ; Олимпиада 80.Московский Кремль ; Cu-Ni ; Unc ; 22 ; олег45 ; 104 
 1779 ; 1 рубль. Упаковка ; 1979 ; Олимпиада 80.Здание МГУ ; Cu-Ni ; Unc ; 22 ; олег45 ; 98 
 1780 ; 1 рубль. Упаковка ; 1979 ; Олимпиада 80.Обелиск покорителям космоса ; Cu-Ni ; Unc ; 10 ; Sphinx999 ; 98 
 1781 ; 1 рубль. Упаковка ; 1980 ; Олимпиада 80.Здание Моссовета ; Cu-Ni ; Unc ; 15 ; KMTKMP ; 97 
 1782 ; 1 рубль. Упаковка ; 1980 ; Олимпиада 80.Олимпийский факел ; Cu-Ni ; Unc ; 5 ; serg98 ; 92 
 1783 ; 5 рублей ; 1988 ; Памятник в Новгороде "Тысячелетие России" ; Cu-Ni ; Proof ; 31 ; Harlock ; 209 
 1784 ; 5 рублей ; 1989 ; Благовещенский собор в Москве ; Cu-Ni ; Proof ; 46 ; Harlock ; 255 
 1785 ; 5 рублей ; 1990 ; Большой дворец в Петродворце ; Cu-Ni ; Proof ; 23 ; Sphinx999 ; 146 
 1786 ; 5 рублей ; 1990 ; Успенский собор в Москве ; Cu-Ni ; Proof ; 29 ; zev ; 132 
 1787 ; 5 рублей ; 1990 ; Успенский собор в Москве ; Cu-Ni ; Proof ; 17 ; Cuff ; 88 
 1788 ; 5 рублей ; 1991 ; Архангельский собор в Москве ; Cu-Ni ; Proof ; 46 ; denis68 ; 157 
 1789 ; 5 рублей ; 1991 ; Здание Госбанка СССР в Москве ; Cu-Ni ; Proof ; 22 ; Gorizn ; 100 
 1790 ; 5 рублей ; 1992 ; Мавзолей-мечеть Ахмеда Ясави ; Cu-Ni ; Proof ; 62 ; 2262н ; 372 
 1791 ; 5 рублей ; 1993 ; Древний Мерв ; Cu-Ni ; Proof ; 35 ; Evka ; 1977 
 1792 ; 3 рубля ; 1991 ; 50 лет победы под Москвой ; Cu-Ni ; Proof ; 13 ; KMTKMP ; 120 
 1793 ; 3 рубля ; 1991 ; 50 лет победы под Москвой ; Cu-Ni ; Proof ; 11 ; Gorizn ; 118 
 1794 ; 3 рубля ; 1992 ; Международный год космоса ; Cu-Ni ; Proof ; 34 ; Harlock ; 161 
 1795 ; 3 рубля ; 1992 ; Международный год космоса ; Cu-Ni ; Proof ; 50 ; Harlock ; 165 
 1796 ; 3 рубля ; 1992 ; "Северный конвой" ; Cu-Ni ; Proof ; 46 ; каламбурчик ; 373 
 1797 ; 3 рубля ; 1993 ; 50 лет победы на Курской дуге ; Cu-Ni ; Proof ; 9 ; BarnabyRadj ; 286 
 1798 ; 3 рубля ; 1993 ; 50 лет победы в Сталинградской битве ; Cu-Ni ; Proof ; 19 ; 2262н ; 204 
 1799 ; 3 рубля ; 1993 ; 50 лет освобождения Киева ; Cu-Ni ; Proof ; 24 ; denis68 ; 361 
 1800 ; 3 рубля ; 1994 ; 50 лет освобождения Белграда ; Cu-Ni ; Proof ; 11 ; Ходор ; 633 
 1801 ; 3 рубля ; 1995 ; 50 лет освобождения Кенигсберга. ; Cu-Ni ; Proof ; 15 ; shneyder ; 693 
 1802 ; 3 рубля ; 1995 ; 50 лет освобождения Вены ; Cu-Ni ; Proof ; 33 ; Brabus ; 509 
 1803 ; 3 рубля ; 1995 ; 50 лет освобождения Праги ; Cu-Ni ; Proof ; 20 ; coin123 ; 624 
 1804 ; 3 рубля ; 1995 ; 50 лет освобождения Будапешта ; Cu-Ni ; Proof ; 52 ; coin123 ; 577 
 1805 ; 1 рубль ; 1982 ; 60 лет образования СССР ; Cu-Ni ; Proof ; 30 ; Downgold ; 573 
 1806 ; 1 рубль ; 1981 ; Дружба навеки ; Cu-Ni ; Proof ; 20 ; Roman_B ; 1579 
 1807 ; 1 рубль ; 1983 ; 20 лет полета в космос В.Терешковой ; Cu-Ni ; Proof ; 30 ; Ходор ; 1152 
 1808 ; 1 рубль ; 1985 ; 115 лет со дня рождения В.И.Ленина ; Cu-Ni ; Proof ; 22 ; ruslanrs ; 1500 
 1809 ; 1 рубль ; 1986 ; Международный год мира ; Cu-Ni ; Proof ; 52 ; Ходор ; 843 
 1810 ; 1 рубль ; 1987 ; 130 лет со дня рождения К.Э.Циолковского ; Cu-Ni ; Proof ; 56 ; denis68 ; 184 
 1811 ; 1 рубль ; 1988 ; 160 лет со дня рождения А.Н.Толстого ; Cu-Ni ; Proof ; 16 ; veter 9 ; 128 
 1812 ; 1 рубль ; 1988 ; 120 лет со дня рождения А.М.Горького ; Cu-Ni ; Proof ; 39 ; KMTKMP ; 131 
 1813 ; 1 рубль ; 1989 ; 150 лет со дня рождения М.П.Мусоргского ; Cu-Ni ; Proof ; 16 ; борисыч ; 132 
 1814 ; 1 рубль ; 1990 ; 500 лет со дня рождения Ф.Скорины ; Cu-Ni ; Proof ; 19 ; Sphinx999 ; 81 
 1815 ; 1 рубль ; 1990 ; 130 лет со дня рождения А.П.Чехова ; Cu-Ni ; Proof ; 12 ; Чук ; 123 
 1816 ; 1 рубль ; 1990 ; Маршал СССР Г.К.Жуков ; Cu-Ni ; Proof ; 42 ; Downgold ; 318 
 1817 ; 1 рубль ; 1990 ; 125 лет со дня рождения Я.Райниса ; Cu-Ni ; Proof ; 29 ; dgekson ; 101 
 1818 ; 1 рубль ; 1990 ; 150 лет со дня рождения П.И.Чайковского ; Cu-Ni ; Proof ; 28 ; Harlock ; 101 
 1819 ; 1 рубль ; 1991 ; Олимпиада в Барселоне.Метание копья ; Cu-Ni ; Proof ; 17 ; gorfil ; 976 
 1720 ; 5 рублей. Упаковка ; 1989 ; Ансамбль Регистан в Самарканде ; Cu-Ni ; Proof ; 65 ; A_coin ; 239 
 1721 ; 5 рублей. Упаковка ; 1989 ; Ансамбль Регистан в Самарканде ; Cu-Ni ; Proof ; 62 ; evgen177309 ; 214 
 1722 ; 3 рубля ; 1992 ; 750 лет победы А.Невского ; Cu-Ni ; Unc ; 56 ; Gorizn ; 337 
 1723 ; 3 рубля ; 1992 ; 750 лет победы А.Невского ; Cu-Ni ; Proof ; 17 ; Harlock ; 204 
 1724 ; 3 рубля ; 1993 ; 50 лет победы в Сталинградской битве ; Cu-Ni ; Proof ; 18 ; Harlock ; 255 
 1725 ; 5 рублей. Упаковка ; 1988 ; Памятник Петру I в Ленинграде ; Cu-Ni ; Proof ; 11 ; Cuff ; 189 
 1726 ; 5 рублей. Упаковка ; 1988 ; Памятник в Новгороде "Тысячелетие России" ; Cu-Ni ; Proof ; 28 ; A_coin ; 184 
 1727 ; 5 рублей. Упаковка ; 1988 ; Софийский собор в Киеве ; Cu-Ni ; Proof ; 36 ; evgen177309 ; 204 
 1728 ; 5 рублей. Упаковка ; 1989 ; Собор Покрова на рву в Москве ; Cu-Ni ; Proof ; 32 ; Вахтанги ; 371 
 1729 ; 5 рублей. Упаковка ; 1989 ; Ансамбль Регистан в Самарканде ; Cu-Ni ; Proof ; 36 ; Harlock ; 192 
 1730 ; 5 рублей. Упаковка ; 1989 ; Благовещенский собор в Москве ; Cu-Ni ; Proof ; 38 ; Harlock ; 192 
 1731 ; 5 рублей. Упаковка ; 1990 ; Большой дворец в Петродворце ; Cu-Ni ; Proof ; 11 ; isten ; 204 
 1732 ; 5 рублей. Упаковка ; 1990 ; Успенский собор в Москве ; Cu-Ni ; Proof ; 22 ; isten ; 141 
 1733 ; 5 рублей ; 1990 ; Успенский собор в Москве ; Cu-Ni ; Proof ; 24 ; KMTKMP ; 114 
 1734 ; 5 рублей. Упаковка ; 1991 ; Архангельский собор в Москве ; Cu-Ni ; Proof ; 18 ; DENGL ; 272 
 1735 ; 5 рублей. Упаковка ; 1991 ; Здание Госбанка СССР в Москве ; Cu-Ni ; Unc ; 34 ; KMTKMP ; 107 
 1736 ; 5 рублей ; 1991 ; Здание Госбанка СССР в Москве ; Cu-Ni ; AU ; 28 ; Smit ; 63 
 1737 ; 5 рублей. Упаковка ; 1991 ; Памятник Давиду Сасунскому в Ереване ; Cu-Ni ; Proof ; 32 ; сибиряк29 ; 220 
 1738 ; 5 рублей. Упаковка ; 1992 ; Мавзолей-мечеть Ахмеда Ясави ; Cu-Ni ; Proof ; 13 ; каламбурчик ; 373 
 1739 ; 3 рубля. Упаковка ; 1991 ; 50 лет победы под Москвой ; Cu-Ni ; Proof ; 39 ; Harlock ; 123 
 1740 ; 3 рубля. Упаковка ; 1992 ; 750 лет победы А.Невского ; Cu-Ni ; Proof ; 12 ; Harlock ; 175 
 1741 ; 3 рубля. Упаковка ; 1992 ; Международный год космоса ; Cu-Ni ; Proof ; 25 ; Ctap4e ; 206 
 1742 ; 3 рубля ; 1992 ; Международный год космоса ; Cu-Ni ; Proof ; 98 ; asparagus ; 169 
