 351 ; Медаль "За труды и храбрость при взятии Праги 24 октября 1794г" Екатерина II Новодел ;  ;  ; Br ; XF ; 38 ; Брат ; 20000 
 2400 ; Лот монет Банк России: 1 руб (4шт) ; 1992 ;  ; St/Лат ; VF+ ; 3 ; Meshok ; 10 
 2401 ; Лот монет СССР: 20,15,10 коп (3шт) ; 1962 ;  ; Cu-Ni ; XF/AU ; 27 ; cfev ; 126 
 2402 ; Лот монет СССР: 3 коп (12шт) ;  ;  ; Br ; F- ; 21 ; Чапай ; 53 
 2403 ; Лот монет Банка России: 50,10 рублей (2 шт.) ; 1993-2008 ;  ; Би/м,Cu-Zn ; XF/AU ; 5 ; Meshok ; 72 
 2404 ; Лот монет СССР: 1 коп (9шт) ; 1927-1957 ;  ; Br ; VG/F ; 6 ; dunkan2018 ; 95 
 2405 ; Лот монет СССР: 15 коп (6шт) ; 1948-1957 ;  ; Ni ; F/VF-XF ; 11 ; dunkan2018 ; 133 
 2406 ; Лот монет СССР: 20 коп (3шт) ; 1955-1957 ;  ; Ni ; VF-XF/XF+ ; 32 ; konstk2 ; 87 
 2407 ; Лот монет Банка России: 10 рублей (12 шт.) Юбилейные ; 2012-2019 ;  ; Би/м ; AU ; 37 ; Kara1982igor ; 197 
 2408 ; Лот монет Банка России: 10 рублей (5 шт.) Юбилейные ; 2005-2016 ;  ; Би/м ; XF/XF+ ; 13 ; alex7879 ; 69 
 2409 ; Лот монет СССР: 5,3,2,1 копейка (8 шт.) ; 1927-1957 ;  ; Br ; F/F+ ; 7 ; Андрей/Пермь ; 83 
 2410 ; Лот монет СССР: 3 коп (3шт) ; 1967-1969 ;  ; Cu-Zn ; VF ; 10 ; горный ; 42 
 2411 ; Лот монет СССР: 50 коп (4шт) ; 1984-1987 ;  ; Cu-Ni ; VF/VF-XF ; 33 ; konstk2 ; 83 
 2412 ; Лот монет СССР: 5,3,2,1 копейка (10 шт.) ; 1927-1955 ;  ; Br ; F ; 31 ; Мерен ; 143 
 2413 ; Лот монет СССР (Олимпиада) 1 руб (5шт) ; 1977-1979 ;  ; Cu-Ni ; VF/XF ; 8 ; Bratja Karamazovi ; 117 
 2414 ; Лот монет СССР: 50 коп (4шт) ; 1964-1979 ;  ; Cu-Ni ; VF/VF+ ; 11 ; dunkan2018 ; 111 
 2415 ; Лот монет Банка России 5,2,1 руб 50 коп (4шт) ; 2010 ;  ; Лат/St Ni/St ; AU ; 31 ; Pavel_KH ; 228 
 2416 ; Лот монет СССР: 50 коп (4шт) ; 1980-1983 ;  ; Cu-Ni ; VF/XF ; 33 ; konstk2 ; 55 
 2417 ; Лот монет СССР: 5 коп (11шт) ; 1928-1956 ;  ; Br ; VG/F ; 12 ; kultan ; 100 
 2418 ; Лот монет СССР: 2 копейки (6 шт.) ; 1928-1966 ;  ; Br,Cu-Zn ; F/VF ; 31 ; Мерен ; 169 
 2419 ; Лот монет СССР: 1 рубль (3 шт.) Юбилейные ; 1986,1988 ;  ; Cu-Ni ; XF/AU ; 32 ; Ok13 ; 123 
 2420 ; Лот монет Банк России: 10 руб (8шт) 70 лет Победы ; 2015 ;  ; Би/м ; XF/AU ; 22 ; SIEMENS_S75 ; 131 
 2421 ; Лот монет СССР (50 лет Советской власти): 50,20,15,10 коп (4шт) ; 1967 ;  ; Cu-Ni ; XF/AU ; 45 ; konstk2 ; 563 
 2422 ; Лот монет Банка России (ДГР) 10 руб (5шт) ;  ;  ; Би/м ; XF/AU ; 20 ; apach ; 261 
 2423 ; Лот монет Банка России: 25 рублей (7 шт.) Юбилейные ; 2012-2019 ;  ; Cu-Ni ; XF+/AU ; 13 ; Sberbank ; 255 
 2424 ; Лот монет СССР: 5,3,2,1 копейка (8 шт.) ; 1949-1953 ;  ; Br ; F/VF ; 5 ; Андрей/Пермь ; 80 
 2425 ; Лот монет СССР: 5,2 коп (2шт) ; 1991 ;  ; Cu-Zn ; AU ; 3 ; Meshok ; 4 
 2426 ; Лот монет СССР: 5,1 рубль (10 шт.) ;  ;  ; Cu-Ni ; XF/Proof ; 16 ; Снежный Барс ; 617 
 2327 ; Лот монет Банк России: 10 руб (14шт) ; 2013,2014 ;  ; Би/м ; XF/AU ; 5 ; Kara1982igor ; 155 
 2328 ; Лот монет СССР: 2 коп (15шт) ; 1929-1956 ;  ; Br ; VG/F ; 9 ; Сергей Александрович ; 65 
 2329 ; Лот монет СССР: 3 коп (14шт) ;  ;  ; Br ; F/VF- ; 12 ; Мерен ; 101 
 2330 ; Лот монет Банк России: 10 руб (8шт) 70 лет Победы ; 2015 ;  ; Би/м ; XF/AU ; 12 ; SIEMENS_S75 ; 99 
 2331 ; Лот монет Банка России (города и регионы) 10 руб (7шт) ;  ;  ; Би/м ; VF-XF/AU ; 9 ; тикси3 ; 132 
 2332 ; Лот монет Банк России: 100 руб (40шт) ; 1993 ;  ; Cu-Ni ; VF/XF ; 26 ; Bratja Karamazovi ; 105 
 2333 ; Лот монет СССР: 3 коп (41шт) ;  ;  ; Cu-Zn ; F/VF ; 13 ; kultan ; 32 
 2334 ; Лот монет СССР, Банк России: 10,50,100 руб (11шт) ; 1992-1993 ;  ; Би/м,Cu-Zn,St/Л ; XF-/AU ; 82 ; dunkan2018 ; 209 
 2335 ; Лот монет СССР: 3 коп (15шт) ;  ;  ; Cu-Zn ; VF ; 5 ; vl-optzakaz ; 12 
 2336 ; Лот монет Банк России: 10 руб (13шт) ГВС ; 2011-2016 ;  ; St/Лат ; VF/XF ; 11 ; Kara1982igor ; 157 
 2337 ; Лот монет СССР: 2 коп (16шт) ; 1935-1957 ;  ; Br ; F/F+ ; 58 ; Мерен ; 322 
 2338 ; Лот монет Банка России (200 лет Отечественной войне) 2,5 руб (27шт) ; 2012 ;  ; Ni/St ; AU ; 54 ; barbos ; 240 
 2339 ; Лот монет Банка России (ГВС) 10 руб (3шт) ; 2015 ;  ; Лат/St ; AU ; 12 ; Сашок 1959 ; 41 
 2340 ; Лот монет Банк России: 1 руб (79шт) Графическое изображения рубля ; 2014 ;  ; St/Ni ; AU ; 37 ; Сергей Александрович ; 135 
 2341 ; Лот монет СССР: 5 коп (10шт) ; 1924-1956 ;  ; Br Cu ; F-/F ; 35 ; nikki999 ; 251 
 2342 ; Лот монет СССР: 10 коп (4шт) ; 1987-1991 ;  ; Cu-Ni ; AU/XF ; 4 ; Сашок 1959 ; 5 
 2343 ; Лот монет Банка России (Разорванное кольцо и Крымский мост): 25,5 руб (2шт) ; 2019 ;  ; Cu-Ni Ni/St ; AU ; 21 ; nivva ; 74 
 2344 ; Лот монет Банка России: 5,2,1 руб, 50,10 коп (5шт) ; 2013 ;  ; Ni/St Лат/St ; AU ; 11 ; вольдемарW ; 50 
 2345 ; Лот монет СССР: 20 коп (4шт) ; 1981-1991 ;  ; Cu-Ni ; AU ; 6 ; Сашок 1959 ; 7 
 2346 ; Лот монет Банка России: 5,1 коп (10шт) ;  ;  ; Cu-Ni ; AU ; 17 ; Rober ; 21 
 2347 ; Лот монет СССР: 3,2,1 коп, полкопейки 9шт ;  ;  ; Cu ; G ; 17 ; rem. ; 137 
 2348 ; Лот монет Банка России 1,5 коп (2шт) ; 1997 ;  ; Cu-Ni ; AU ; 27 ; dunkan2018 ; 57 
 2349 ; Лот монет Банка России (юбилейные) 10 руб (5шт) ;  ;  ; Би/м ; AU ; 26 ; apach ; 160 
 2350 ; Лот монет Банка России (юбилейные) 10 руб (2шт) ;  ;  ; Би/м ; AU ; 47 ; Матроскин ; 327 
 2351 ; Лот монет Банка России (юбилейные) 10 руб (6шт) ;  ;  ; Би/м ; AU ; 9 ; apach ; 165 
 2352 ; Лот монет СССР: 15 коп (8шт) ; 1941-1956 ;  ; Ni ; VG/F- ; 30 ; 2уе6ш7вь08о777ав88 ; 45 
 2353 ; Лот монет СССР:3 коп (7шт) ; 1928-1957 ;  ; Br ; F/VG ; 36 ; nikki999 ; 126 
 2354 ; Лот монет СССР: 2,1 коп (9шт) ;  ;  ; Br ; F/F-VF ; 21 ; nikki999 ; 163 
 2355 ; Лот монет СССР: 1 рубль (4 шт.) ; 1964-1970 ;  ; Cu-Ni ; VF/XF ; 23 ; Сергей Александрович ; 289 
 2356 ; Лот монет СССР: 10 коп (9шт) ; 19351956 ;  ; Ni ; G/VG ; 29 ; Сергей Александрович ; 201 
 2357 ; Лот монет СССР, Банка России: 1,5,10,20 коп, 1,5,10,50,100 руб (22шт) ;  ;  ; Би/м,St/ЛатCu-N ; VF/XF+ ; 37 ; dunkan2018 ; 161 
 2358 ; Лот монет СССР: 3 коп (9шт) ; 1931-1957 ;  ; Br ; F/VF ; 7 ; Андрей/Пермь ; 85 
 2359 ; Лот монет Банка России (города и регионы) 10 руб (7шт) ;  ;  ; Би/м ; VF-XF/XF ; 5 ; тикси3 ; 95 
 2360 ; Лот монет СССР:5 коп (6шт) ; 1930-1954 ;  ; Br ; F/VG ; 7 ; Андрей/Пермь ; 61 
 2361 ; Лот монет Банка России (юбилейные) 10 руб (3шт) ;  ;  ; Би/м ; AU ; 16 ; buben ; 357 
 2362 ; Лот монет СССР: 15,10 коп (3шт) ; 1928,1929 ;  ; Ag ; VG/F- ; 23 ; dunkan2018 ; 172 
 2363 ; Лот монет Банк России: 10 руб (21шт) Воронежская область ; 2011 ;  ; Би/м ; XF/AU ; 17 ; металлург ; 246 
 2364 ; 1 рубль + Жетон Упаковка нарушена ; 1970 ;  ; Cu-Ni ; AU ; 43 ; СтасМонеты ; 1726 
 2365 ; Лот монет СССР:3 коп (5шт) ; 1932-1957 ;  ; Br ; F ; 13 ; nikki999 ; 68 
 2366 ; Лот монет СССР:20 коп (9шт) ; 1932-1955 ;  ; Ni ; VG ; 21 ; 2уе6ш7вь08о777ав88 ; 25 
 2367 ; Лот монет Банка России (юбилейные) 10 руб (6шт) ;  ;  ; Би/м ; XF ; 19 ; Meshok ; 575 
 2368 ; Лот монет СССР: 10,15,20 коп (5шт) ; 1922-1930 ;  ; Ag ; F/F+ ; 26 ; jachin ; 288 
 2369 ; Лот монет СССР (70 лет Великой Октябрьской Соц Революции) 5,3,1 руб (3шт) Упаковка ; 1987 ;  ; Cu-Ni ; Proof ; 29 ; skylink ; 2104 
 2370 ; Лот монет СССР (юбилейные) 1 руб (6шт) ; 1977-1980 ;  ; Cu-Ni ; VF-XF ; 29 ; barbos ; 221 
 2371 ; Лот монет Банка России (города и регионы) 10 руб (7шт) ;  ;  ; Би/м ; VF/XF ; 5 ; тикси3 ; 113 
 2372 ; Лот монет СССР: 3,2,1 коп (2шт) ; 1968 ;  ; Cu-Zn ; AU ; 32 ; mordvin ; 112 
 2373 ; Лот монет СССР: 15,10,5,2 копейки (5 шт.) ; 1950-1976 ;  ; Cu-Ni,Ni,Cu-Zn ; VF/XF ; 17 ; Meshok ; 138 
 2374 ; Лот монет СССР: 5,3,2 копейки (3 шт.) ; 1924-1935 ;  ; Cu,Br ; VG/F ; 5 ; Сергей 86 ; 204 
 2375 ; Лот монет Банка России: 5,2 рубля (10 шт.) 200 лет победы в Отечественной войне 1812г. ; 2012 ;  ; St/Ni ; AU ; 52 ; SIEMENS_S75 ; 124 
 2376 ; Лот монет Банк России: 1 руб (16шт) ; 1999СПМД,ММД ;  ; Cu-Ni ; VF ; 26 ; gentlemandk ; 43 
 2277 ; Набор монет СССР: 1 руб, 50,20,15,10,5,3,2,1 коп (9шт) + жетон. Упаковка ; 1988 ;  ; Cu-Ni,Cu-Zn,Al ; Unc ; 24 ; Волчек ; 934 
 2278 ; Набор монет СССР: 1 руб, 50,20,15,10,5,3,2,1 коп (9шт) + 2 жетона. Пластиковая упаковка нарушена ; 1991 ;  ; Cu-Ni,Cu-Zn,Al ; XF+/AU ; 27 ; sasas ; 709 
 2279 ; Набор разменных монет Банка России, 2009 год. 175 лет Менделееву Дмитрию Ивановичу. (8 шт.)+ Жетон. ММД. Гознак. Буклет ;  ;  ; Б/м, Ж/м ; Unc ; 29 ; kvm64 ; 1111 
 2280 ; Лот монет СССР: 10,5,3,2,1 копейка (5 шт.) + Два жетона. Пластиковая упаковка ; 1975 ;  ; Cu-Ni,Cu-Zn,Al ; AU ; 17 ; Moryak ; 487 
 2281 ; Лот монет СССР: 10 копеек (25 шт.) ; 1961-1991 ;  ; Cu-Ni ; VF/XF ; 7 ; Сhatsky ; 22 
 2282 ; Лот монет СССР 338шт ; 1961-1991 ;  ; Cu-Ni Cu-Zn ; VF/XF ; 93 ; Bratja Karamazovi ; 1600 
 2283 ; Лот монет CCCР, Банк России: 10 коп, 1,5,10,50 руб (151шт) ; 1991-1993 ;  ; St/Лат,Cu-Ni ; F/XF ; 13 ; vl-optzakaz ; 41 
 2284 ; Лот монет СССР: 20 коп (127шт) ;  ;  ; Cu-Ni ; VF/XF ; 28 ; kultan ; 77 
 2285 ; Лот монет СССР: 15 коп (6шт) ; 1946-1957 ;  ; Ni ; VF/XF ; 13 ; nikki999 ; 68 
 2286 ; Набор монет СССР: 1,3,5 руб (3шт) 70 лет Октябрьской революции. Упаковка ; 1987 ;  ; Cu-Ni ; Proof ; 27 ; seer ; 2510 
 2287 ; Лот монет СССР: 1 рубль (6шт) Олимпиада-80 в Москве. Упаковка ; 1977-1980 ;  ; Cu-Ni ; Unc ; 20 ; karhu ; 1908 
 2288 ; Лот монет СССР: 15 коп (19шт) ; 1961-1991 ;  ; Cu-Ni ; VF/XF ; 39 ; swarog ; 73 
 2289 ; Лот монет СССР: 1 коп (28шт) ; 1962-1991 ;  ; Cu-Zn ; VF/AU ; 32 ; swarog ; 79 
 2290 ; Лот монет СССР и Банка России: 100,50,20,10,5,1 руб, 50,10 коп (23шт) ; 1991-1993 ;  ; Би/м Cu/St Cu-N ; VF-XF/AU ; 33 ; dunkan2018 ; 64 
 2291 ; Лот монет СССР: 10 коп (25шт) ; 1961-1991 ;  ; Cu-Ni ; VF/AU ; 47 ; swarog ; 90 
 2292 ; Лот монет СССР: 20 коп (16шт) ; 1961-1991 ;  ; Cu-Ni ; VF/XF ; 4 ; idagaf ; 12 
 2293 ; Лот монет СССР: 10 коп (6шт) ; 1952-1957 ;  ; Ni ; VF/XF ; 23 ; Babasya ; 114 
 2294 ; Лот монет СССР: 3 коп (25шт) ; 1961-1991 ;  ; Cu-Zn ; VF/XF ; 61 ; R1971 ; 125 
 2295 ; Лот монет СССР: 2 коп (28шт) ; 1961-1991 ;  ; Cu-Zn ; VF/AU ; 28 ; R1971 ; 123 
 2296 ; Лот монет Банка России: 5 рублей (18 шт.) События ВОВ ; 2014-2016 ;  ; St/Ni ; AU ; 25 ; Meshok ; 306 
 2297 ; Лот монет СССР (Олимпиада) 1 руб (5шт) ; 1977-1979 ;  ; Cu-Ni ; VF/XF ; 7 ; Superpelmen ; 147 
 2298 ; Лот монет СССР: 20 коп (шт) ; 1981,1982,1983 ;  ; Cu-Ni ; AU ; 29 ; cfev ; 52 
 2299 ; Лот монет СССР: 1 рубль (5шт) Олимпиада-80 в Москве ; 1978,1979 ;  ; Cu-Ni ; Unc ; 30 ; Meshok ; 393 
 2300 ; Лот монет СССР: 3 коп (5шт) ; 1931-1943 ;  ; Br ; F ; 3 ; Андрей/Пермь ; 26 
 2301 ; Лот монет Банка России (юбилейные) 10 руб (7шт) ; 2006-2018 ;  ; Би/м ; VF-XF/AU ; 14 ; SupERGood ; 97 
 2302 ; Лот монет Банка России (ДГР) 10 руб (6шт) ;  ;  ; Би/м ; XF/AU ; 24 ; Pavel_KH ; 176 
 2303 ; Лот монет Банка России: 20 рублей (2шт) ; 1993 ;  ; Cu-Ni ; XF/VF-XF ; 9 ; Meshok ; 228 
 2304 ; Лот монет СССР (юбилейные) 1 руб (3шт) ; 1978-1989 ;  ; Cu-Ni ; XF/AU ; 27 ; SIEMENS_S75 ; 157 
 2305 ; Лот монет СССР: 1,2,3,5 коп (4шт) ; 1924 ;  ; Cu ; VG ; 16 ; misha_-78 ; 306 
 2306 ; Лот монет СССР: 1,2 коп (2шт) ; 1924 ;  ; Cu ; VF ; 40 ; marSal8Q ; 227 
 2307 ; Лот монет Банк России: 1 руб (15шт) ; 1999СПМД ;  ; Cu-Ni ; VF ; 26 ; dunkan2018 ; 184 
 2308 ; Лот монет Банк России: 10 руб (9шт) ; 2012-2016 ;  ; St/Лат ; XF+/AU ; 9 ; Юнга ; 112 
 2309 ; Лот монет СССР:10,15,20 коп (18шт) ;  ;  ; Ni ; VG/VF ; 37 ; Сергей Александрович ; 149 
 2310 ; Лот монет Банка России: 10 руб (6шт) ; 2000-2014 ;  ; Би/м,St/Лат ; XF/AU ; 10 ; vlad-807 ; 309 
 2311 ; Лот монет СССР: 20,15,10 копеек (10 шт.) ; 1935-1951 ;  ; Ni ; VG/F ; 14 ; Iskatel ; 310 
 2312 ; Лот монет Банк России: 25 рублей (2шт) ЧМ по футболу ; 2018 ;  ; Cu-Ni ; XF+/AU ; 18 ; SIEMENS_S75 ; 70 
 2313 ; Лот монет СССР и Банка России: 31 шт. ;  ;  ; Cu-Ni,Cu-Zn,Би/ ; VF/XF ; 29 ; кандрат ; 209 
 2314 ; Лот монет Банк России: 10 руб (12шт) ; 2011,2016 ;  ; Би/м ; XF/AU ; 13 ; Матроскин ; 147 
 2315 ; Лот монет СССР: 3 коп (71шт) ;  ;  ; Cu-Zn ; VF-/VF ; 38 ; kultan ; 42 
 2316 ; Лот монет Банка России 1,5 коп (2шт) ; 2014 ;  ; Ni/St ; AU ; 21 ; gentlemandk ; 18 
 2317 ; Лот монет Банк России: 20 руб (10шт) ; 1992,1993 ;  ; Cu-Ni,St/Ni ; VF/XF ; 23 ; Rober ; 46 
 2318 ; Лот монет Банк России: 1 руб (70шт) Графическое изображения рубля ; 2014 ;  ; St/Ni ; AU ; 42 ; Сергей Александрович ; 128 
 2319 ; Лот монет СССР: 2,3,5 коп (21шт) ;  ;  ; Br ; F ; 11 ; Сергей Александрович ; 131 
 2320 ; Лот монет Банка России: 10 рублей (25 шт.) Юбилейные. Все разные ; 2005-2019 ;  ; Би/м ; XF-/AU ; 9 ; Ant3791 ; 521 
 2321 ; Лот монет Банк России: 10 руб (11шт) Белозерск ; 2012 ;  ; Би/м ; AU ; 31 ; alex7879 ; 216 
 2322 ; Лот монет Банк России: 5 руб (3шт) ; 1992 ;  ; St/Лат ; VF+/XF ; 10 ; Ok13 ; 54 
 2323 ; Лот монет СССР: 3 коп (15шт) ;  ;  ; Cu-Zn ; VF-/VF ; 8 ; vl-optzakaz ; 15 
 2324 ; Лот монет СССР: 20 коп (72шт) ;  ;  ; Cu-Ni ; VF/XF ; 9 ; kultan ; 42 
 2325 ; Лот монет Банка России: 10 рублей (20 шт.) Юбилейные ; 2005-2019 ;  ; Би/м ; XF/AU ; 23 ; sasas ; 331 
 2326 ; Лот монет СССР: 3 коп (2шт) ; 1976,1977 ;  ; Сu-Zn ; AU ; 21 ; горный ; 53 
 2227 ; 2 копейки ; 1987 ;  ; Cu-Zn ; AU ; 7 ; Habs777 ; 48 
 2228 ; 2 копейки Без солнца ; 1991 ; ЛМД ; Cu-Zn ; AU ; 10 ; Holder31 ; 81 
 2229 ; 1 копейка Без солнца ; 1991 ; ЛМД ; Cu-Zn ; AU ; 9 ; Habs777 ; 36 
 2230 ; 1 копейка ; 1969 ;  ; Cu-Zn ; XF ; 13 ; ialaiola ; 41 
 2231 ; 3 копейки ; 1981 ;  ; Cu-Zn ; AU ; 18 ; nivva ; 101 
 2232 ; 3 копейки Герб приспущен ; 1989 ;  ; Cu-Zn ; AU ; 11 ; Habs777 ; 46 
 2233 ; 3 копейки Л/с 20 коп 1980 ; 1989 ;  ; Cu-Zn ; XF ; 21 ; Fedorovich ; 85 
 2234 ; 5 копеек ; 1977 ;  ; Cu-Zn ; AU ; 3 ; Habs777 ; 68 
 2235 ; 5 копеек ; 1986 ;  ; Cu-Zn ; AU ; 7 ; mordvin ; 80 
 2236 ; 10 копеек ; 1962 ;  ; Cu-Ni ; AU ; 26 ; assesor ; 95 
 2237 ; 10 копеек ; 1970 ;  ; Cu-Ni ; XF ; 19 ; Leprechaun79 ; 70 
 2238 ; 10 копеек С уступом ; 1980 ;  ; Cu-Ni ; AU ; 11 ; Habs777 ; 46 
 2239 ; 10 копеек ; 1982 ;  ; Cu-Ni ; AU ; 28 ; nivva ; 60 
 2240 ; 20 копеек Л/с 3 коп 1979 ; 1980 ;  ; Cu-Ni ; AU ; 28 ; Сергей Александрович ; 102 
 2241 ; 1 рубль ; 1964 ;  ; Cu-Ni ; AU ; 6 ; Habs777 ; 80 
 2242 ; 50 копеек ; 1972 ;  ; Cu-Ni ; AU ; 27 ; mordvin ; 803 
 2243 ; 50 копеек ; 1973 ;  ; Cu-Ni ; AU ; 35 ; ПДМ ; 803 
 2244 ; 50 копеек ; 1990 ;  ; Cu-Ni ; AU ; 39 ; nivva ; 803 
 2245 ; 50 копеек ; 1977 ;  ; Cu-Ni ; XF ; 3 ; fish77 ; 100 
 2246 ; 50 копеек ; 1981 ;  ; Cu-Ni ; AU ; 7 ; kultan ; 101 
 2247 ; 50 копеек ; 1991 ; ЛМД ; Cu-Ni ; AU ; 13 ; Alexdav ; 128 
 2248 ; 10 рублей Выкус ; 1992 ; ЛМД белый металл (немагнитный) ; Cu-Ni ; AU ; 13 ; psrjdf1863 ; 78 
 2249 ; 1 копейка ; 1937 ;  ; Br ; F-VF ; 11 ; yuve ; 55 
 2250 ; 2 копейки ; 1935 ;  ; Br ; VF ; 33 ; suomi ; 489 
 2251 ; 2 копейки ; 1941 ;  ; Br ; F ; 3 ; гром ; 102 
 2252 ; 1 копейка ; 1948 ;  ; Br ; VF ; 9 ; гром ; 100 
 2253 ; 1 копейка ; 1950 ;  ; Br ; VF ; 34 ; tar ; 264 
 2254 ; 2 копейки ; 1928 ;  ; Br ; VF- ; 3 ; Ok13 ; 12 
 2255 ; 2 копейки ; 1928 ;  ; Br ; VF- ; 18 ; трутень ; 98 
 2256 ; 2 копейки ; 1933 ;  ; Br ; F+ ; 15 ; kultan ; 141 
 2257 ; 1 копейка ; 1928 ;  ; Br ; F ; 8 ; drn137 ; 65 
 2258 ; 1 копейка ; 1929 ;  ; Br ; VF- ; 36 ; eugraphus ; 206 
 2259 ; 5 копеек ; 1976 ;  ; Cu-Zn ; AU ; 15 ; Fedorovich ; 75 
 2260 ; 5 копеек ; 1985 ;  ; Cu-Zn ; AU ; 22 ; kultan ; 57 
 2261 ; 25 рублей. Бременские музыканты. Буклет ; 2019 ;  ; Cu-Ni ; Unc ; 36 ; eotan ; 1762 
 2262 ; 25 рублей. ФИФА Буклет ; 2018 ;  ; Cu-Ni ; AU ; 9 ; Duke666666 ; 373 
 2263 ; Набор монет СССР (Олимпиада 80) 1 руб (6шт) Коробка ; 1977-1980 ;  ; Cu-Ni ; Proof ; 51 ; Asandr ; 17862 
 2264 ; Лот монет Банк России: 25 руб (4шт)+ бона 100 руб. Олимпиада в Сочи. Буклет ; 2014 ;  ; Cu-Ni ; XF+/AU ; 25 ; Андрей/Пермь ; 316 
 2265 ; Альбом монет Банка России (70 лет победы в ВОВ)10,5 руб (21шт) ;  ;  ; Ni/St Би/м ; AU ; 37 ; Meshok ; 407 
 2266 ; Лот монет Банк России: 10 руб (40шт). Альбом ; 2011-2015 ;  ; St/Лат ; XF+/AU ; 12 ; vl-optzakaz ; 422 
 2267 ; Альбом монет Банка России (Столицы) 5 руб (14шт) ; 2016 ;  ; Ni/St ; AU ; 39 ; alex7879 ; 251 
 2268 ; Лот монет Банка России (Казань) 10 руб (2шт) +жетон Буклет ; 2013. СПМД ;  ; Лат/St ; AU ; 37 ; maximusb ; 570 
 2269 ; Лот монет Банка России (Нерехта) 10 руб + 3 жетона Буклет ; 2014. СПМД ;  ; Би/м ; AU ; 9 ; az717 ; 373 
 2270 ; Лот монет Банка России: 5 рублей (5 шт.) События ВОВ. Буклет ; 2015 ;  ; St/Ni ; AU ; 13 ; Meshok ; 98 
 2271 ; Набор монет Банка России (РФ выпуск 10) 10 руб (3шт) + жетон Буклет ; 2016 ;  ; Би/м ; AU ; 74 ; maximusb ; 795 
 2272 ; Набор монет Банка России (РФ выпуск 9) 10 руб (5шт) + жетон Буклет ; 2014 ;  ; Би/м ; AU ; 27 ; maximusb ; 604 
 2273 ; Набор монет Банка России (РФ выпуск 9) 10 руб (5шт) + жетон Буклет ; 2014 ;  ; Би/м ; AU ; 55 ; Сергей Александрович ; 615 
 2274 ; Набор монет Банка России: (7шт)+жетон. 50 лет первого полета человека в космос. В буклете. Перепутка 10 рублей 2012г ; 2011,2012 ;  ; Ni/St,St/Лат,ж/ ; AU ; 92 ; kg234 ; 1964 
 2275 ; Набор монет Банка России: 10,50 коп,1,2,5,10 рублей (7шт)+жетон. 50 лет первого полета человека в космос. В буклете ; 2011 ;  ; Ni/St,St/Лат,ж/ ; AU ; 79 ; kg234 ; 1778 
 2276 ; Набор монет СССР: 1 руб, 50,20,15,10 коп (5шт) + жетон. 50 лет Советской власти. Упаковка ; 1967 ;  ; Cu-Ni,ж/м ; AU ; 32 ; karhu ; 1790 
 2177 ; 1 копейка ; 1945 ;  ; Br ; VF ; 54 ; sovmin ; 356 
 2178 ; 1 копейка ; 1941 ;  ; Br ; VF ; 29 ; aleks1753 ; 222 
 2179 ; 1 копейка ; 1933 ;  ; Br ; VF ; 25 ; yuve ; 125 
 2180 ; 1 копейка ; 1953 ;  ; Br ; XF+ ; 14 ; Niko750 ; 57 
 2181 ; 15 копеек ; 1932 ;  ; Ni ; VF ; 23 ; etwar55 ; 71 
 2182 ; 2 копейки ; 1935 ;  ; Br ; VF ; 68 ; 118 ; 434 
 2183 ; 20 копеек ; 1984 ;  ; Cu-Ni ; AU ; 26 ; kultan ; 46 
 2184 ; 15 копеек ; 1979 ;  ; Cu-Ni ; AU ; 18 ; kultan ; 21 
 2185 ; 1 копейка ; 1971 ;  ; Cu-Zn ; XF/AU ; 9 ; Meshok ; 10 
 2186 ; 2 копейки ; 1968 ;  ; Cu-Zn ; AU ; 31 ; mordvin ; 128 
 2187 ; 20 копеек ; 1948 ;  ; Ni ; F-VF ; 11 ; sibirian ; 24 
 2188 ; 1 рубль ; 1991 ; ММД ; Cu-Ni ; XF ; 2 ; mefodin ; 195 
 2189 ; 5 копеек ; 1977 ;  ; Cu-Zn ; AU ; 47 ; Hermes ; 235 
 2190 ; 3 копейки ; 1946 ;  ; Br ; F-VF ; 5 ; sibirian ; 29 
 2191 ; 2 копейки ; 1936 ;  ; Br ; F-VF ; 10 ; sibirian ; 41 
 2192 ; 2 копейки ; 1955 ;  ; Br ; F-VF ; 7 ; Андрей/Пермь ; 24 
 2193 ; 50 копеек ; 1977 ;  ; Cu-Ni ; XF ; 7 ; kultan ; 21 
 2194 ; 1 рубль ; 1965 ;  ; Cu-Ni ; VF ; 26 ; трутень ; 143 
 2195 ; 5 рублей Выкус ; 1991 ; ЛМД ; Cu-Ni ; AU ; 53 ; alexanaks ; 275 
 2196 ; 5 рублей Выкус ; 1991 ; ЛМД ; Cu-Ni ; AU ; 34 ; psrjdf1863 ; 221 
 2197 ; 10 копеек Раскол ; 1991 ; М ; St ; AU ; 21 ; dunkan2018 ; 216 
 2198 ; 10 копеек Раскол ; 1991 ; М ; St ; AU ; 3 ; контраст ; 14 
 2199 ; 1 рубль ; 1961 ;  ; Cu-Ni ; XF ; 13 ; rem. ; 159 
 2200 ; 1 рубль ; 1984 ;  ; Cu-Ni ; XF ; 8 ; Сhatsky ; 294 
 2201 ; 1 рубль ; 1984 ;  ; Cu-Ni ; XF ; 28 ; Сhatsky ; 317 
 2202 ; 1 рубль ; 1985 ;  ; Cu-Ni ; XF ; 14 ; Сергей11 ; 219 
 2203 ; 20 копеек ; 1933 ;  ; Ni ; VF- ; 23 ; es72 ; 74 
