 4851 ; Бона иностранная Германия ; 1919 ;  ;  ;  ; 15 ; sikachai ; 159 
 2002 ; 10 рублей. Пермский край ; 2010 ;  ; Би/м ; AU ; 34 ; Bordgia ; 1400 
 2003 ; 10 рублей ; 2010 ; Чеченская республика ; биметалл ; AU ; 20 ; Volleo ; 2561 
 2004 ; 10 рублей ; 2010 ; Пермский край ; биметалл ; AU ; 24 ; SERG55555 ; 1347 
 2005 ; 10 рублей ; 2010 ; Чеченская республика ; биметалл ; AU ; 26 ; FireFly ; 2684 
 2006 ; 10 рублей. Пермский край ; 2010 ;  ; Би/м ; AU ; 31 ; mitisson ; 1330 
 2007 ; 10 рублей ; 2010 ; Чеченская республика ; биметалл ; AU ; 43 ; Bordgia ; 2725 
 2008 ; 10 рублей. Пермский край ; 2010 ;  ; Би/м ; AU ; 30 ; Volleo ; 1399 
 2009 ; 10 рублей. Ямало-Ненецкий АО ; 2010 ;  ; Би/м ; AU ; 25 ; Bordgia ; 4760 
 2010 ; 10 рублей. Орловская область. В буклете ; 2005 ;  ; Би/м ; AU ; 24 ; fillin ; 255 
 2011 ; 10 рублей. Пермский край. В буклете ; 2010 ;  ; Би/м ; AU ; 17 ; dim152 ; 1669 
 2012 ; 25 рублей. Сочи - 2014. В буклете ; 2011СПМД ;  ; Cu-Ni ; AU ; 56 ; Хачик ; 842 
 2013 ; 25 рублей. Сочи-2014. В буклете ; 2011СПМД ;  ; Cu-Ni,краска ; Unc ; 35 ; Хачик ; 842 
 2014 ; Жетон. ЛМД ;  ;  ; Ж/м ; AU ; 15 ; Ритм ; 42 
 2015 ; Жетон. ЛМД. Упаковка ;  ;  ; Ж/м ; Unc/AU ; 21 ; parasit ; 41 
 2016 ; Набор монет "70 лет Октябрьской революции": 5,3,1 руб (3шт) ; 1987 ;  ; Cu-Ni ; Proof ; 9 ; Ходор ; 1360 
 2017 ; Годовой набор монет СССР "50 лет Советской власти": 1 рубль, 50к, 20к, 15к, 10к, жетон ЛМД (6шт). Упаковка ; 1967 ;  ; Cu-Ni,Cu-Zn ; AU ; 11 ; карат ; 1134 
 2018 ; Годовой набор монет СССР: 1 руб, 50,20,15,10,5,3,2,1 коп (9шт) + 2 жетона. Пластиковая упаковка ; 1983ЛМД ;  ; Cu-Ni,Cu-Zn ; VF-XF/AU ; 46 ; vova4244 ; 2204 
 2019 ; Годовой набор монет СССР: 1 руб, 50,20,15,10,5,3,2,1 коп (9шт) + 2 жетона. Пластиковая упаковка ; 1984ЛМД ;  ; Cu-Ni,Cu-Zn ; VF-XF/AU ; 20 ; ryber ; 980 
 2020 ; Набор монет СССР (10шт): 1р,50к,20к,15к,10к,5к,3к,2к,1к+Жетон ЛМД. Упаковка ; 1988 ;  ; Cu/Ni,Cu/Zn ; Unc ; 31 ; Ivanss ; 555 
 2021 ; Годовой набор монет СССР: 1 руб, 50,20,15,10,5,3,2,1 коп (9шт) + жетон. Упаковка ; 1988ЛМД ;  ; Cu-Ni,Cu-Zn ; AU ; 32 ; sotnik ; 534 
 2022 ; Годовой набор монет СССР: 1 руб, 50,20,15,10,5,3,2,1 коп (9шт)+ жетон ММД. Упаковка ; 1989 ;  ; Cu-Ni, Cu-Zn, ж ; Unc ; 24 ; vas12 ; 570 
 2023 ; Годовой набор монет СССР: 1 руб, 50,20,15,10,5,3,2,1 коп (9шт) + жетон. Упаковка ; 1989ММД ;  ; Cu-Ni,Cu-Zn ; AU ; 13 ; vas12 ; 561 
 2024 ; Годовой набор монет СССР: 1 руб, 50,20,15,10,5,3,2,1 коп (9шт) + жетон. Упаковка ; 1989ЛМД ;  ; Cu-Ni,Cu-Zn ; AU ; 20 ; vas12 ; 561 
 2025 ; Набор монет СССР (10шт): 1р,50,20,15,10,5,3,2,1 к. +Жетон ЛМД ; 1991 ;  ; Cu/Ni,Cu/Zn ; AU ; 30 ; danila ; 1022 
 2026 ; Коллекционный альбом (Города воинский славы): 10 руб (16шт) ; 2011,2012 ;  ; Лат/St ; AU ; 34 ; vas12 ; 405 
 2027 ; Памятный набор монет Банка России (200 лет Отечественной войне 1812г): 10,5,2 руб (28шт). В буклете ; 2012 ;  ; Ni/St,Лат/St ; AU ; 25 ; slovjnin ; 1381 
 2028 ; Набор монет в буклете "200-летие победы России в Отечественной войне 1812г": 10,5,2 руб (28шт) 2012 ; 2012 ;  ; Ni/St,Лат/st ; AU ; 49 ; Skafir ; 1421 
 2029 ; Набор монет Банка России "200 лет победы  в ОВ " (29шт): 10р, 5р-сражения, 2р-полководцы. В буклете ; 2012 ;  ; Лат/St,Ni/St ; AU ; 62 ; Lenchik_2M ; 1450 
 2030 ; Набор монет Банка России "200 лет победы  в ОВ " (28шт): 10р, 5р-сражения, 2р-полководцы. В буклете ; 2012 ;  ; Лат/St,Ni/St ; AU ; 38 ; SOKOL45 ; 1403 
 2031 ; 50 рублей. В коробке ; 1993 ; Комплект "Красная книга" ; биметалл ; AU ; 34 ; Bordgia ; 2993 
 2032 ; Лот монет СССР (юбилейные): 1 руб (10шт) ; 1965-1985 ;  ; Cu-Ni ; VF-/VF ; 25 ; jimmysu ; 207 
 2033 ; Лот монет СССР (Олимпиада): 1 руб (6шт) ; 1977-1980 ;  ; Cu-Ni ; XF/AU ; 71 ; jimmysu ; 314 
 2034 ; Лот монет СССР (Олимпиада): 1 руб (6шт) ; 1977-1980 ;  ; Cu-Ni ; VF-XF/AU ; 31 ; jimmysu ; 262 
 2035 ; Лот монет СССР (Олимпиада): 1 руб (6шт) ; 1977-1980 ;  ; Cu-Ni ; XF/AU ; 30 ; jimmysu ; 314 
 2036 ; Лот монет СССР (100 лет Ленину и 20 лет победы): 1 руб (11шт) ; 1965,1970 ;  ; Cu-Ni ; F-VF/VF ; 11 ; КОТ13 ; 102 
 2037 ; Лот монет СССР (100 лет Ленину и 20 лет победы): 1 руб (10шт) ; 1965,1970 ;  ; Cu-Ni ; VF-/XF- ; 14 ; re_re_re ; 34 
 2038 ; Лот монет СССР (100 лет Ленину и 20 лет победы): 1 руб (10шт) ; 1965,1970 ;  ; Cu-Ni ; VF ; 9 ; КОТ13 ; 34 
 2039 ; Лот монет СССР (100 лет Ленину и 20 лет победы): 1 руб (10шт) ; 1965,1970 ;  ; Cu-Ni ; F-VF/VF ; 9 ; cvetlana1 ; 33 
 2040 ; Лот монет СССР (юбилейные): 1 руб (6шт) ; 1977-1985 ;  ; Cu-Ni ; VF-XF/XF ; 30 ; jimmysu ; 552 
 2041 ; Лот монет СССР (юбилейные и регулярные): 1 руб (7шт) ; 1964-1985 ;  ; Cu-Ni ; VF-/XF- ; 22 ; POSHEXON ; 128 
 2042 ; Лот монет СССР (юбилейные): 1 руб (2шт) ; 1967,1970 ;  ; Cu-Ni ; VF-/VF ; 2 ; Mike! ; 50 
 2043 ; Лот монет СССР:  2,1,полкопейки (3шт) ; 1924,1925 ;  ; Cu ; VG/F ; 26 ; КОТ13 ; 300 
 2044 ; Лот монет СССР: 2,1 коп (15шт) ; 1930-1956 ;  ; Br ; VG/F-VF ; 24 ; WOLK ; 125 
 2045 ; Лот монет СССР: 50 копеек (5шт) ; 1964-1984 ;  ; Cu-Ni ; F-VF/VF ; 17 ; RTG063 ; 92 
 2046 ; Лот монет СССР: 20,15 коп (9шт) ; 1967-1979 ;  ; Cu-Ni ; F-VF/VF-XF ; 15 ; RTG063 ; 53 
 2047 ; Лот монет СССР: 10 коп (10шт) ; 1961-1977 ;  ; Cu-Ni ; VF/VF-XF ; 25 ; kostas ; 165 
 2048 ; Лот монет СССР: 5 коп (8шт) ; 1961-1979 ;  ; Cu-Zn ; F-VF/VF- ; 18 ; Ник 2 ; 317 
 2049 ; Лот монет СССР: 2 коп (7шт) ; 1961-1969 ;  ; Cu-Zn ; F/F-VF ; 19 ; Олег33 ; 368 
 2050 ; Лот монет СССР: 1 коп (8шт) ; 1961-1966 ;  ; Cu-Zn ; F+/VF- ; 22 ; сортам70 ; 159 
 1951 ; 20 копеек ; 1943 ; Л/с звезда плоская, шт. 20 коп. ; Ni ; XF- ; 29 ; celer2 ; 53 
 1952 ; 15 копеек ; 1943 ;  ; Ni ; XF- ; 51 ; SemNikNik ; 251 
 1953 ; 15 копеек ; 1952 ;  ; Ni ; XF+ ; 23 ; terner230 ; 102 
 1954 ; 5 копеек ; 1946 ;  ; Br ; XF ; 17 ; alehandr ; 760 
 1955 ; 5 копеек ; 1948 ;  ; Br ; XF ; 33 ; kott ; 1546 
 1956 ; 5 копеек ; 1953 ;  ; Br ; XF ; 17 ; Uncle ; 680 
 1957 ; 3 копейки ; 1941 ;  ; Br ; VF-XF ; 61 ; koriakvs ; 163 
 1958 ; 1 копейка ; 1941 ;  ; Br ; XF- ; 32 ; Алексей11 ; 258 
 1959 ; 50 копеек. 50 лет Советской власти ; 1967 ;  ; Cu-Ni ; AU ; 19 ; спарта ; 82 
 1960 ; 20 копеек ; 1936 ; Л/с звезда плоская ; Ni ; VF ; 11 ; vas12 ; 53 
 1961 ; 20 копеек ; 1957 ; В венке герба 15 лент ; Ni ; AU ; 18 ; FireFly ; 214 
 1962 ; 10 копеек ; 1955 ;  ; Ni ; VF-XF ; 9 ; vas12 ; 41 
 1963 ; 1 копейка ; 1952 ;  ; Br ; VF ; 13 ; klop123 ; 40 
 1964 ; 5 копеек ; 1940 ;  ; Br ; VF ; 13 ; Ник 2 ; 102 
 1965 ; 5 копеек ; 1943 ;  ; Br ; F-VF ; 25 ; Smit ; 101 
 1966 ; 5 копеек ; 1948 ;  ; Br ; F-VF ; 11 ; Repz ; 222 
 1967 ; 5 копеек ; 1948 ;  ; Br ; F-VF ; 10 ; П.А.Н. ; 41 
 1968 ; 1 копейка ; 1952 ;  ; Br ; AU ; 10 ; Roman24 ; 153 
 1969 ; 5 копеек ; 1973 ;  ; Cu-Zn ; VF+ ; 22 ; Олег33 ; 315 
 1970 ; 10 копеек ; 1979 ;  ; Cu-Ni ; AU ; 1 ; kodas ; 2 
 1971 ; 1 рубль ; 1970 ;  ; Cu-Ni ; AU ; 29 ; suba ; 714 
 1972 ; 1 рубль ; 1978 ;  ; Cu-Ni ; AU ; 7 ; azar111 ; 378 
 1973 ; 5 копеек ; 1930 ;  ; Br ; VF ; 7 ; Ник 2 ; 51 
 1974 ; 3 копейки ; 1926 ;  ; Br ; VF+ ; 21 ; Repz ; 153 
 1975 ; 3 копейки ; 1937 ;  ; Br ; VF+ ; 16 ; vova4244 ; 92 
 1976 ; 3 копейки ; 1932 ;  ; Br ; VF-XF ; 53 ; terner230 ; 340 
 1977 ; 3 копейки ; 1943 ;  ; Br ; VF+ ; 27 ; Araks ; 273 
 1978 ; 2 копейки ; 1929 ;  ; Br ; VF ; 30 ; REC ; 211 
 1979 ; 1 рубль ; 1967 ;  ; Cu-Ni ; AU ; 37 ; лисица ; 453 
 1980 ; 50 копеек ; 1967 ;  ; Cu-Ni ; AU ; 15 ; celer2 ; 680 
 1981 ; 20 копеек ; 1967 ;  ; Cu-Ni ; AU ; 33 ; lgvspb ; 559 
 1982 ; 15 копеек ; 1967 ;  ; Cu-Ni ; AU ; 47 ; lgvspb ; 559 
 1983 ; 10 копеек ; 1967 ;  ; Cu-Ni ; AU ; 22 ; parasit ; 721 
 1984 ; 5 копеек ; 1967 ;  ; Cu-Zn ; AU ; 39 ; 3051234 ; 782 
 1985 ; 3 копейки ; 1967 ;  ; Cu-Zn ; AU ; 12 ; novikoff12006 ; 151 
 1986 ; 2 копейки ; 1967 ;  ; Cu-Zn ; AU ; 8 ; novikoff12006 ; 9 
 1987 ; 1 копейка ; 1967 ;  ; Cu-Zn ; AU ; 5 ; cvetlana1 ; 16 
 1988 ; 5 копеек ; 1949 ;  ; Br ; XF ; 9 ; Vanomah ; 179 
 1989 ; 2 копейки ; 1933 ;  ; Br ; VF-XF ; 99 ; пятак ; 725 
 1990 ; 2 копейки ; 1946 ;  ; Br ; XF- ; 29 ; terner230 ; 153 
 1991 ; 2 копейки ; 1951 ;  ; Br ; XF- ; 70 ; koriakvs ; 305 
 1992 ; 1 копейка ; 1937 ;  ; Br ; XF ; 68 ; Repz ; 500 
 1993 ; 20 копеек ; 1932 ;  ; Ni ; XF ; 25 ; westof ; 110 
 1994 ; 20 копеек ; 1933 ;  ; Ni ; XF ; 11 ; westof ; 82 
 1995 ; 20 копеек ; 1936 ; Л/с звезда плоская ; Ni ; VF- ; 2 ; Mike! ; 77 
 1996 ; 1 копейка ; 1927 ;  ; Br ; VF ; 28 ; Олег33 ; 255 
 1997 ; 10 копеек ; 1940 ;  ; Ni ; AU ; 42 ; безик ; 1089 
 1998 ; 100 рублей ; 1992 ; ЛМД Биметалл ; Cu-Ni/Cu-Zn ; AU ; 11 ; ВалеН ; 28 
 1999 ; 5 рублей ; 1991 ; ММД ; Cu-Ni ; XF+ ; 30 ; 439 ; 170 
 2000 ; 1 рубль ; 1992 ; ММД ; Cu-Ni ; XF ; 3 ; niko1968 ; 13 
 1901 ; 1 копейка ; 1975 ;  ; Cu-Zn ; AU ; 11 ; novikoff12006 ; 138 
 1902 ; 1 копейка ; 1976 ;  ; Cu-Zn ; AU ; 6 ; Михаил_нов ; 19 
 1903 ; 1 копейка ; 1976 ;  ; Cu-Zn ; AU ; 9 ; novikoff12006 ; 114 
 1904 ; 1 копейка ; 1977 ;  ; Cu-Zn ; AU ; 6 ; Darhik ; 22 
 1905 ; 1 копейка ; 1977 ;  ; Cu-Zn ; AU ; 7 ; cond ; 32 
 1906 ; 1 копейка ; 1978 ;  ; Cu-Zn ; AU ; 6 ; Ритм ; 21 
 1907 ; 1 копейка ; 1980 ;  ; Cu-Zn ; AU ; 6 ; Darhik ; 19 
 1908 ; 1 копейка ; 1980 ;  ; Cu-Zn ; AU ; 4 ; Wasabi ; 92 
 1909 ; 1 копейка ; 1982 ;  ; Cu-Zn ; AU ; 11 ; Алек ; 340 
 1910 ; 1 копейка ; 1985 ;  ; Cu-Zn ; AU ; 7 ; novikoff12006 ; 153 
 1911 ; 1 копейка ; 1987 ;  ; Cu-Zn ; AU ; 5 ; matehev ; 6 
 1912 ; 1 копейка. Деформация ; 1932 ;  ; Br ; VF ; 19 ; Олег33 ; 45 
 1913 ; 1 копейка ; 1939 ;  ; Br ; VF+ ; 15 ; Repz ; 153 
 1914 ; 1 копейка ; 1941 ;  ; Br ; VF ; 21 ; REC ; 306 
 1915 ; 1 копейка ; 1946 ;  ; Br ; VF ; 9 ; lsp25 ; 41 
 1916 ; 1 копейка ; 1948 ;  ; Br ; VF+ ; 17 ; Алексей11 ; 102 
 1917 ; 1 копейка ; 1949 ;  ; Br ; VF ; 5 ; lsp25 ; 41 
 1918 ; 1 копейка ; 1950 ;  ; Br ; VF ; 35 ; Олег33 ; 306 
 1919 ; 1 копейка ; 1951 ;  ; Br ; VF+ ; 45 ; Олег33 ; 163 
 1920 ; 1 копейка ; 1952 ;  ; Br ; VF ; 9 ; cvetlana1 ; 41 
 1921 ; 1 копейка ; 1953 ;  ; Br ; VF ; 10 ; lsp25 ; 42 
 1922 ; 1 копейка ; 1954 ;  ; Br ; VF+ ; 18 ; eniy5 ; 102 
 1923 ; 1 копейка ; 1955 ;  ; Br ; VF+ ; 23 ; лисица ; 150 
 1924 ; 1 копейка ; 1956 ;  ; Br ; VF+ ; 11 ; лисица ; 102 
 1925 ; 1 копейка ; 1957 ; В венке герба 15 лент ; Br ; VF+ ; 13 ; лисица ; 108 
 1926 ; 1 рубль ; 1985 ;  ; Cu-Ni ; AU ; 21 ; 3051234 ; 227 
 1927 ; 5 копеек ; 1928 ;  ; Br ; VF ; 21 ; REC ; 159 
 1928 ; 5 копеек ; 1928 ;  ; Br ; F ; 6 ; Ник 2 ; 51 
 1929 ; 5 копеек ; 1926 ;  ; Br ; F-VF ; 29 ; Repz ; 567 
 1930 ; 5 копеек ; 1929 ;  ; Br ; F-VF ; 33 ; Стрепет ; 1019 
 1931 ; 5 копеек ; 1930 ;  ; Br ; F+ ; 7 ; klop123 ; 40 
 1932 ; 5 копеек ; 1931 ;  ; Br ; F-VF ; 23 ; филимон ; 204 
 1933 ; 5 копеек ; 1932 ;  ; Br ; F ; 31 ; REC ; 354 
 1934 ; 5 копеек ; 1938 ;  ; Br ; F ; 24 ; Ник 2 ; 168 
 1935 ; 5 копеек ; 1939 ;  ; Br ; F ; 23 ; REC ; 216 
 1936 ; 5 копеек ; 1940 ;  ; Br ; F-VF ; 19 ; Ник 2 ; 153 
 1937 ; 5 копеек ; 1941 ;  ; Br ; F ; 18 ; REC ; 368 
 1938 ; 5 копеек ; 1943 ;  ; Br ; F-VF ; 32 ; Алексей11 ; 227 
 1939 ; 5 копеек ; 1946 ;  ; Br ; VF- ; 24 ; terner230 ; 153 
 1940 ; 5 копеек ; 1948 ;  ; Br ; F-VF ; 36 ; eniy5 ; 227 
 1941 ; 5 копеек ; 1949 ;  ; Br ; F-VF ; 5 ; филимон ; 101 
 1942 ; 5 копеек ; 1950 ;  ; Br ; F-VF ; 41 ; Олег33 ; 567 
 1943 ; 5 копеек ; 1952 ;  ; Br ; VF- ; 7 ; puhetd ; 122 
 1944 ; 5 копеек ; 1953 ;  ; Br ; VF- ; 12 ; филимон ; 153 
 1945 ; 5 копеек ; 1954 ;  ; Br ; F-VF ; 23 ; филимон ; 153 
 1946 ; 5 копеек ; 1955 ;  ; Br ; VF-XF ; 14 ; westof ; 99 
 1947 ; 5 копеек ; 1956 ;  ; Br ; VF-XF ; 5 ; westof ; 50 
 1948 ; 5 копеек ; 1957 ; В венке герба 15 лент ; Br ; VF- ; 14 ; puhetd ; 151 
 1949 ; 50 копеек ; 1961 ;  ; Cu-Ni ; XF- ; 22 ; ВалеН ; 296 
 1950 ; 50 копеек ; 1964 ;  ; Cu-Ni ; XF- ; 7 ; ASlab ; 15 
 1851 ; 10 копеек ; 1989 ;  ; Cu-Ni ; AU ; 2 ; RTG063 ; 3 
 1852 ; 10 копеек ; 1989 ;  ; Cu-Ni ; AU ; 4 ; matehev ; 18 
 1853 ; 10 копеек ; 1990 ;  ; Cu-Ni ; AU ; 9 ; danila ; 53 
 1854 ; 10 копеек ; 1991 ; ММД ; Cu-Ni ; XF ; 4 ; Darhik ; 19 
 1855 ; 5 копеек ; 1975 ;  ; Cu-Zn ; AU ; 14 ; novikoff12006 ; 153 
 1856 ; 5 копеек ; 1977 ;  ; Cu-Zn ; AU ; 10 ; Masik ; 123 
 1857 ; 5 копеек ; 1978 ;  ; Cu-Zn ; XF ; 6 ; Олег33 ; 104 
 1858 ; 5 копеек ; 1979 ;  ; Cu-Zn ; AU ; 13 ; Олег33 ; 102 
 1859 ; 5 копеек ; 1980 ;  ; Cu-Zn ; AU ; 7 ; Ритм ; 37 
 1860 ; 5 копеек ; 1980 ;  ; Cu-Zn ; AU ; 5 ; Wasabi ; 37 
 1861 ; 5 копеек ; 1981 ;  ; Cu-Zn ; AU ; 12 ; Uncle ; 177 
 1862 ; 5 копеек ; 1982 ;  ; Cu-Zn ; AU ; 14 ; hugo ; 306 
 1863 ; 5 копеек ; 1983 ;  ; Cu-Zn ; AU ; 31 ; novikoff12006 ; 561 
 1864 ; 5 копеек ; 1984 ;  ; Cu-Zn ; AU ; 19 ; novikoff12006 ; 510 
 1865 ; 5 копеек ; 1985 ;  ; Cu-Zn ; AU ; 11 ; Алек ; 102 
 1866 ; 5 копеек ; 1985 ;  ; Cu-Zn ; AU ; 9 ; RAF ; 53 
 1867 ; 5 копеек ; 1986 ;  ; Cu-Zn ; AU ; 6 ; Darhik ; 41 
 1868 ; 5 копеек ; 1986 ;  ; Cu-Zn ; AU ; 6 ; Masik ; 72 
 1869 ; 5 копеек ; 1987 ;  ; Cu-Zn ; XF ; 7 ; danila ; 12 
 1870 ; 5 копеек ; 1988 ;  ; Cu-Zn ; AU ; 3 ; danila ; 12 
 1871 ; 5 копеек ; 1988 ;  ; Cu-Zn ; AU ; 1 ; klop123 ; 2 
 1872 ; 5 копеек ; 1988 ;  ; Cu-Zn ; AU ; 7 ; terner230 ; 41 
 1873 ; 5 копеек ; 1989 ;  ; Cu-Zn ; AU ; 6 ; Darhik ; 41 
 1874 ; 5 копеек ; 1989 ;  ; Cu-Zn ; AU ; 12 ; FireFly ; 51 
 1875 ; 1 копейка ; 1926 ;  ; Br ; XF ; 86 ; koriakvs ; 558 
 1876 ; 1 копейка ; 1927 ;  ; Br ; VF-XF ; 32 ; danila ; 453 
 1877 ; 1 копейка ; 1929 ;  ; Br ; VF-XF ; 7 ; СЁМА ; 119 
 1878 ; 1 копейка ; 1931 ;  ; Br ; XF ; 17 ; Олег33 ; 102 
 1879 ; 1 копейка ; 1933 ;  ; Br ; XF ; 17 ; лисица ; 133 
 1880 ; 1 копейка ; 1934 ;  ; Br ; XF ; 23 ; REC ; 425 
 1881 ; 1 копейка ; 1936 ;  ; Br ; XF ; 21 ; maksimus71 ; 340 
 1882 ; 1 копейка ; 1938 ;  ; Br ; XF ; 9 ; лисица ; 102 
 1883 ; 1 копейка ; 1939 ;  ; Br ; XF ; 8 ; lsp25 ; 100 
 1884 ; 1 копейка ; 1940 ;  ; Br ; XF ; 26 ; zlobniy ; 123 
 1885 ; 1 копейка ; 1945 ;  ; Br ; XF ; 36 ; lsp25 ; 408 
 1886 ; 1 копейка ; 1948 ;  ; Br ; XF ; 23 ; zlobniy ; 153 
 1887 ; 1 копейка ; 1950 ;  ; Br ; XF ; 19 ; REC ; 317 
 1888 ; 1 копейка ; 1951 ;  ; Br ; XF ; 17 ; REC ; 317 
 1889 ; 1 копейка ; 1952 ;  ; Br ; XF ; 20 ; lsp25 ; 100 
 1890 ; 1 копейка ; 1952 ;  ; Br ; XF ; 15 ; westof ; 72 
 1891 ; 1 копейка ; 1967 ;  ; Cu-Zn ; XF+ ; 7 ; azar111 ; 15 
 1892 ; 1 копейка ; 1969 ;  ; Cu-Zn ; AU ; 17 ; novikoff12006 ; 113 
 1893 ; 1 копейка ; 1971 ;  ; Cu-Zn ; AU ; 19 ; novikoff12006 ; 82 
 1894 ; 1 копейка ; 1971 ;  ; Cu-Zn ; AU ; 6 ; Uncle ; 204 
 1895 ; 1 копейка ; 1972 ;  ; Cu-Zn ; AU ; 11 ; Uncle ; 81 
 1896 ; 1 копейка ; 1972 ;  ; Cu-Zn ; AU ; 4 ; Ритм ; 19 
 1897 ; 1 копейка ; 1973 ;  ; Cu-Zn ; AU ; 3 ; ASA19V ; 21 
 1898 ; 1 копейка ; 1973 ;  ; Cu-Zn ; AU ; 19 ; Uncle ; 216 
 1899 ; 1 копейка ; 1973 ;  ; Cu-Zn ; AU ; 5 ; ASA19V ; 22 
 1900 ; 1 копейка ; 1974 ;  ; Cu-Zn ; AU ; 15 ; novikoff12006 ; 204 
 1801 ; 15 копеек ; 1982 ;  ; Cu-Ni ; AU ; 7 ; novikoff12006 ; 38 
 1802 ; 15 копеек ; 1983 ;  ; Cu-Ni ; AU ; 4 ; RTG063 ; 6 
 1803 ; 15 копеек ; 1983 ;  ; Cu-Ni ; AU ; 5 ; novikoff12006 ; 36 
 1804 ; 15 копеек ; 1984 ;  ; Cu-Ni ; AU ; 8 ; bonipari ; 16 
 1805 ; 15 копеек ; 1984 ;  ; Cu-Ni ; AU ; 13 ; Алек ; 510 
 1806 ; 15 копеек ; 1985 ;  ; Cu-Ni ; AU ; 49 ; boroda-273 ; 407 
 1807 ; 15 копеек ; 1985 ;  ; Cu-Ni ; AU ; 10 ; novikoff12006 ; 72 
 1808 ; 15 копеек ; 1986 ;  ; Cu-Ni ; AU ; 5 ; ASA19V ; 14 
 1809 ; 15 копеек ; 1986 ;  ; Cu-Ni ; AU ; 6 ; novikoff12006 ; 51 
 1810 ; 15 копеек ; 1987 ;  ; Cu-Ni ; AU ; 3 ; boroda-273 ; 153 
 1811 ; 15 копеек ; 1987 ;  ; Cu-Ni ; AU ; 13 ; novikoff12006 ; 72 
 1812 ; 15 копеек ; 1988 ;  ; Cu-Ni ; AU ; 7 ; valeron ; 21 
 1813 ; 15 копеек ; 1988 ;  ; Cu-Ni ; XF+ ; 5 ; RTG063 ; 21 
 1814 ; 15 копеек ; 1989 ;  ; Cu-Ni ; AU ; 6 ; ASA19V ; 22 
 1815 ; 15 копеек ; 1989 ;  ; Cu-Ni ; AU ; 6 ; Wasabi ; 36 
 1816 ; 10 копеек ; 1961 ;  ; Cu-Ni ; AU ; 17 ; novikoff12006 ; 510 
 1817 ; 10 копеек ; 1962 ;  ; Cu-Ni ; AU ; 13 ; novikoff12006 ; 510 
 1818 ; 10 копеек ; 1962 ;  ; Cu-Ni ; AU ; 5 ; Repz ; 26 
 1819 ; 10 копеек ; 1970 ;  ; Cu-Ni ; AU ; 9 ; bonipari ; 76 
 1820 ; 10 копеек ; 1970 ;  ; Cu-Ni ; AU ; 3 ; ASA19V ; 25 
 1821 ; 10 копеек ; 1970 ;  ; Cu-Ni ; AU ; 15 ; Wasabi ; 500 
 1822 ; 10 копеек ; 1970 ;  ; Cu-Ni ; AU ; 7 ; ASA19V ; 31 
 1823 ; 10 копеек ; 1971 ;  ; Cu-Ni ; XF ; 9 ; kostas ; 206 
 1824 ; 10 копеек ; 1972 ;  ; Cu-Ni ; XF ; 6 ; kostas ; 68 
 1825 ; 10 копеек ; 1973 ;  ; Cu-Ni ; XF ; 5 ; Ритм ; 36 
 1826 ; 10 копеек ; 1974 ;  ; Cu-Ni ; XF ; 1 ; RTG063 ; 2 
 1827 ; 10 копеек ; 1975 ;  ; Cu-Ni ; AU ; 19 ; novikoff12006 ; 357 
 1828 ; 10 копеек ; 1976 ;  ; Cu-Ni ; AU ; 9 ; shknikolay ; 51 
 1829 ; 10 копеек ; 1976 ;  ; Cu-Ni ; AU ; 5 ; Uncle ; 19 
 1830 ; 10 копеек ; 1977 ;  ; Cu-Ni ; AU ; 8 ; hugo ; 102 
 1831 ; 10 копеек ; 1977 ;  ; Cu-Ni ; AU ; 8 ; Ритм ; 36 
 1832 ; 10 копеек ; 1978 ;  ; Cu-Ni ; AU ; 5 ; valeron ; 37 
 1833 ; 10 копеек ; 1978 ;  ; Cu-Ni ; AU ; 21 ; hugo ; 465 
 1834 ; 10 копеек ; 1979 ;  ; Cu-Ni ; AU ; 7 ; shknikolay ; 22 
 1835 ; 10 копеек ; 1979 ;  ; Cu-Ni ; AU ; 3 ; valeron ; 26 
 1836 ; 10 копеек ; 1980 ;  ; Cu-Ni ; AU ; 7 ; hugo ; 138 
 1837 ; 10 копеек ; 1980 ;  ; Cu-Ni ; AU ; 5 ; Antromis ; 17 
 1838 ; 10 копеек ; 1981 ;  ; Cu-Ni ; AU ; 5 ; hugo ; 26 
 1839 ; 10 копеек ; 1981 ;  ; Cu-Ni ; AU ; 5 ; novikoff12006 ; 19 
 1840 ; 10 копеек ; 1982 ;  ; Cu-Ni ; AU ; 5 ; RTG063 ; 19 
 1841 ; 10 копеек ; 1982 ;  ; Cu-Ni ; AU ; 21 ; Uncle ; 239 
 1842 ; 10 копеек ; 1983 ;  ; Cu-Ni ; AU ; 5 ; novikoff12006 ; 23 
 1843 ; 10 копеек ; 1984 ;  ; Cu-Ni ; AU ; 12 ; hugo ; 357 
 1844 ; 10 копеек ; 1985 ;  ; Cu-Ni ; AU ; 7 ; hugo ; 56 
 1845 ; 10 копеек ; 1985 ;  ; Cu-Ni ; AU ; 7 ; Uncle ; 218 
 1846 ; 10 копеек ; 1986 ;  ; Cu-Ni ; AU ; 5 ; novikoff12006 ; 21 
 1847 ; 10 копеек ; 1987 ;  ; Cu-Ni ; AU ; 5 ; hugo ; 138 
 1848 ; 10 копеек ; 1987 ;  ; Cu-Ni ; AU ; 29 ; danila ; 414 
 1849 ; 10 копеек ; 1988 ;  ; Cu-Ni ; AU ; 3 ; kostas ; 21 
