 5496 ; Бона иностранная. Югославия ;  ;  ;  ;  ; 10 ; 3ТЭП75 ; 38 
 2164 ; 1 рубль. Упаковка ; 1989 ; 150 лет со дня рождения М.П.Мусоргского ; Cu-Ni ; Proof ; 10 ; Wulf ; 193 
 2165 ; 1 рубль. Упаковка ; 1987 ; 175 лет Бородино (барельеф) ; Cu-Ni ; Proof ; 7 ; Wulf ; 190 
 2166 ; 1 рубль. Упаковка ; 1987 ; 70 лет Октябрьской революции ; Cu-Ni ; Proof ; 12 ; Boroddd ; 207 
 2167 ; 1 рубль. Упаковка нарушена ; 1990 ; 150 лет со дня рождения П.И.Чайковского ; Cu-Ni ; Proof ; 9 ; света1973 ; 175 
 2168 ; 1 рубль. Упаковка нарушена ; 1987 ; 175 лет Бородино (обелиск) ; Cu-Ni ; Proof ; 21 ; Boroddd ; 190 
 2169 ; 1 рубль. Новодел. Упаковка ; 1983 ; 400 лет со дня смерти И.Федорова 1510-1583 ; Cu-Ni ; Proof ; 12 ; света1973 ; 533 
 2170 ; 1 рубль. Новодел. Упаковка ; 1985 ; Фестиваль молодежи и студентов в Москве ; Cu-Ni ; Proof ; 15 ; goro-vovka ; 714 
 2171 ; 1 рубль. Упаковка ; 1989 ; 100 лет со дня смерти Эминеску ; Cu-Ni ; Proof ; 9 ; Kamsky ; 244 
 2172 ; 1 рубль. Новодел. Упаковка ; 1975 ; 30 лет Победы в войне 1941-1945 ; Cu-Ni ; Proof ; 11 ; света1973 ; 614 
 2173 ; 1 рубль. Упаковка нарушена ; 1990 ; Маршал СССР Г.К.Жуков ; Cu-Ni ; Proof ; 11 ; света1973 ; 298 
 2174 ; 1 рубль. Новодел. Упаковка ; 1985 ; 115 лет со дня рождения В.И.Ленина ; Cu-Ni ; Proof ; 45 ; Fa1Con13 ; 852 
 2175 ; 1 рубль. Новодел. Упаковка ; 1983 ; 20 лет полета в космос В.Терешковой ; Cu-Ni ; Proof ; 14 ; goro-vovka ; 764 
 2176 ; 1 рубль. Новодел. Упаковка ; 1981 ; Дружба навеки ; Cu-Ni ; Proof ; 29 ; 1969 ; 757 
 2177 ; 5 рублей ; 1990 ; Матенадаран.Ереван ; Cu-Ni ; Proof ; 12 ; korzh ; 250 
 2178 ; 5 рублей. Упаковка ; 1989 ; Благовещенский собор в Москве ; Cu-Ni ; Proof ; 29 ; Kamsky ; 406 
 2179 ; 1 рубль. Упаковка нарушена ; 1990 ; 500 лет со дня рождения Ф.Скорины ; Cu-Ni ; Proof ; 11 ; MolchSer5 ; 193 
 2180 ; 5 рублей ; 1987 ; 70 лет Октябрьской революции ; Cu-Ni ; AU ; 23 ; BSG ; 2414 
 2181 ; 5 рублей. Упаковка ; 1989 ; Благовещенский собор в Москве ; Cu-Ni ; Proof ; 11 ; 4WD ; 338 
 2182 ; 5 рублей. Упаковка ; 1991 ; Памятник Давиду Сасунскому в Ереване ; Cu-Ni ; Proof ; 4 ; Kamsky ; 345 
 2183 ; 5 рублей. Упаковка ; 1990 ; Успенский собор в Москве ; Cu-Ni ; Proof ; 16 ; korzh ; 219 
 2184 ; 5 рублей. Упаковка ; 1992 ; Мавзолей-мечеть Ахмеда Ясави ; Cu-Ni ; Proof ; 26 ; SuperLex ; 781 
 2185 ; 1 рубль. Новодел. Упаковка ; 1986 ; Международный год мира ; Cu-Ni ; Proof ; 9 ; goro-vovka ; 711 
 2186 ; 5 рублей ; 1991 ; Здание Госбанка СССР в Москве ; Cu-Ni ; Proof ; 27 ; mx75 ; 208 
 2187 ; 5 рублей. Упаковка ; 1989 ; Ансамбль Регистан в Самарканде ; Cu-Ni ; Proof ; 24 ; пипер ; 370 
 2188 ; 5 рублей. Упаковка ; 1988 ; Памятник Петру I в Ленинграде ; Cu-Ni ; AU ; 25 ; Гарыныч ; 421 
 2189 ; 5 рублей. Упаковка ; 1989 ; Собор Покрова на рву в Москве ; Cu-Ni ; Proof ; 20 ; se170661 ; 338 
 2190 ; 3 рубля. Упаковка ; 1987 ; 70 лет Октябрьской революции ; Cu-Ni ; Proof ; 21 ; korzh ; 318 
 2191 ; 3 рубля. Упаковка ; 1987 ; 70 лет Октябрьской революции ; Cu-Ni ; Proof ; 15 ; Boroddd ; 303 
 2192 ; 3 рубля. Упаковка ; 1992 ; "Северный конвой" ; Cu-Ni ; Proof ; 26 ; grisha 37 ; 1195 
 2193 ; 3 рубля. Упаковка ; 1994 ; 50 лет освобождения Белграда ; Cu-Ni ; Proof ; 10 ; пипер ; 1873 
 2194 ; 3 рубля. Упаковка ; 1995 ; Капитуляция Германии ; Cu-Ni ; Proof ; 53 ; тихасец ; 2532 
 2195 ; 3 рубля. Упаковка ; 1995 ; 50 лет освобождения Кенигсберга. ; Cu-Ni ; Proof ; 8 ; pol75 ; 2074 
 2196 ; 3 рубля. Упаковка ; 1995 ; Встреча на Эльбе. ; Cu-Ni ; Proof ; 44 ; klinza ; 2998 
 2197 ; 3 рубля. Упаковка ; 1994 ; Партизаны в ВОВ ; Cu-Ni ; Proof ; 49 ; serenki ; 1309 
 2198 ; 3 рубля. Упаковка ; 1993 ; 50 лет победы в Сталинградской битве ; Cu-Ni ; Proof ; 19 ; SANGOLD1 ; 521 
 2199 ; 3 рубля. Упаковка ; 1995 ; 50 лет освобождения Вены ; Cu-Ni ; Proof ; 23 ; пипер ; 2127 
 2200 ; 1 рубль. Упаковка нарушена ; 1970 ; 100 лет со дня рождения В.И.Ленина ; Cu-Ni ; XF+ ; 35 ; daress ; 373 
 2201 ; 3 рубля. Упаковка ; 1992 ; 750 лет победы А.Невского ; Cu-Ni ; Proof ; 9 ; дитрих11 ; 344 
 2202 ; 3 рубля. Упаковка ; 1994 ; 50 лет прорыва блокады Ленинграда ; Cu-Ni ; Proof ; 28 ; igorka2006 ; 781 
 2203 ; 3 рубля. Упаковка ; 1994 ; 50 лет открытия Второго фронта ; Cu-Ni ; Proof ; 19 ; ShYrik_RUS ; 2599 
 2204 ; 3 рубля. Упаковка ; 1993 ; 50 лет победы на Курской дуге ; Cu-Ni ; Proof ; 7 ; Saarus ; 668 
 2105 ; 1 рубль ; 1986 ; 275 лет со дня рождения М.В.Ломоносова ; Cu-Ni ; AU ; 42 ; sergeimost ; 740 
 2106 ; 1 рубль ; 1984 ; 125 лет со дня рождения А.С.Попова ; Cu-Ni ; AU ; 32 ; Wulf ; 261 
 2107 ; 1 рубль ; 1985 ; Фестиваль молодежи и студентов в Москве ; Cu-Ni ; AU ; 5 ; 4WD ; 59 
 2108 ; 1 рубль ; 1987 ; 130 лет со дня рождения К.Э.Циолковского ; Cu-Ni ; AU ; 15 ; klimvita ; 69 
 2109 ; 1 рубль ; 1982 ; 60 лет образования СССР ; Cu-Ni ; XF ; 24 ; sergeimost ; 510 
 2110 ; 1 рубль ; 1979 ; Олимпиада 80.Обелиск покорителям космоса ; Cu-Ni ; VF-XF ; 21 ; 557799 ; 88 
 2111 ; 1 рубль ; 1965 ; 20 лет победы над Германией ; Cu-Ni ; VF ; 10 ; Max1976 ; 11 
 2112 ; 1 рубль ; 1987 ; 175 лет Бородино (барельеф) ; Cu-Ni ; XF- ; 16 ; 3ТЭП75 ; 57 
 2113 ; 1 рубль ; 1990 ; 130 лет со дня рождения А.П.Чехова ; Cu-Ni ; AU ; 9 ; Mitrandir19 ; 150 
 2114 ; 1 рубль ; 1984 ; 150 лет со дня рождения Д.И.Менделеева ; Cu-Ni ; AU ; 39 ; Wulf ; 321 
 2115 ; 1 рубль ; 1981 ; Дружба навеки ; Cu-Ni ; XF+ ; 44 ; romka.n21 ; 328 
 2116 ; 1 рубль ; 1980 ; Олимпиада 80.Олимпийский факел ; Cu-Ni ; XF- ; 29 ; Матроскин ; 134 
 2117 ; 1 рубль ; 1977 ; Олимпиада 80.Эмблема Олимпийских игр ; Cu-Ni ; VF-XF ; 7 ; валери ; 45 
 2118 ; 1 рубль ; 1981 ; 20 лет полета в космос Ю.Гагарина ; Cu-Ni ; AU ; 30 ; Banderas ; 159 
 2119 ; 1 рубль ; 1984 ; 185 лет со дня рождения А.С.Пушкина ; Cu-Ni ; AU ; 37 ; Wulf ; 339 
 2120 ; 1 рубль ; 1987 ; 175 лет Бородино (обелиск) ; Cu-Ni ; AU ; 18 ; Вини-Пруф ; 83 
 2121 ; 1 рубль ; 1975 ; 30 лет Победы в войне 1941-1945 ; Cu-Ni ; VF ; 16 ; Max1976 ; 16 
 2122 ; 1 рубль ; 1979 ; Олимпиада 80.Здание МГУ ; Cu-Ni ; VF-XF ; 11 ; целина57 ; 73 
 2123 ; 3 рубля ; 1987 ; 70 лет Октябрьской революции ; Cu-Ni ; AU ; 21 ; 4WD ; 217 
 2124 ; 1 рубль ; 1983 ; 400 лет со дня смерти И.Федорова 1510-1583 ; Cu-Ni ; AU ; 22 ; Banderas ; 346 
 2125 ; 1 рубль ; 1985 ; 165 лет со дня рождения Ф.Энгельса ; Cu-Ni ; AU ; 59 ; chks69 ; 365 
 2126 ; 1 рубль ; 1983 ; 165 лет со дня рождения К.Маркса ; Cu-Ni ; ASU ; 52 ; xkjr ; 381 
 2127 ; 1 рубль ; 1978 ; Олимпиада 80.Московский Кремль ; Cu-Ni ; XF- ; 12 ; 4WD ; 57 
 2128 ; 1 рубль. Новодел. Упаковка ; 1984 ; 125 лет со дня рождения А.С.Попова ; Cu-Ni ; Proof ; 15 ; света1973 ; 533 
 2129 ; 1 рубль. Упаковка ; 1982 ; 60 лет образования СССР ; Cu-Ni ; Proof ; 18 ; X3.96rus ; 731 
 2130 ; 1 рубль ; 1986 ; Международный год мира ; Cu-Ni ; AU ; 17 ; smvvms ; 123 
 2131 ; 1 рубль. Упаковка нарушена ; 1991 ; 850 лет со дня рождения Низами Гянджеви ; Cu-Ni ; Proof ; 19 ; света1973 ; 207 
 2132 ; 1 рубль. Упаковка нарушена ; 1991 ; 100 лет со дня рождения С.Прокофьева ; Cu-Ni ; Proof ; 17 ; rendom9 ; 193 
 2133 ; 1 рубль. Упаковка нарушена ; 1991 ; 125 лет со дня рождения П.Н.Лебедева ; Cu-Ni ; Proof ; 9 ; rendom9 ; 193 
 2134 ; 1 рубль. Новодел. Упаковка ; 1983 ; 400 лет со дня смерти И.Федорова 1510-1583 ; Cu-Ni ; Proof ; 22 ; света1973 ; 579 
 2135 ; 1 рубль. Упаковка ; 1993 ; 250 лет со дня рождения Г.Р.Державина ; Cu-Ni ; Unc ; 14 ; igorka2006 ; 1018 
 2136 ; 1 рубль. Упаковка ; 1991 ; Олимпиада в Барселоне.Метание копья ; Cu-Ni ; Proof ; 51 ; gdrg2 ; 2550 
 2137 ; 1 рубль. Упаковка ; 1991 ; Махтумкули ; Cu-Ni ; Proof ; 14 ; света1973 ; 248 
 2138 ; 1 рубль. Упаковка нарушена ; 1988 ; 120 лет со дня рождения А.М.Горького ; Cu-Ni ; Proof ; 9 ; ASD013 ; 193 
 2139 ; 3 рубля. Упаковка ; 1991 ; 50 лет победы под Москвой ; Cu-Ni ; Proof ; 8 ; Saarus ; 304 
 2140 ; 3 рубля. Упаковка ; 1994 ; 50 лет прорыва блокады Ленинграда ; Cu-Ni ; Proof ; 10 ; света1973 ; 818 
 2141 ; 1 рубль. Упаковка нарушена ; 1991 ; 550 лет со дня рождения А.Навои ; Cu-Ni ; Proof ; 7 ; света1973 ; 175 
 2142 ; 1 рубль. Упаковка нарушена ; 1988 ; 160 лет со дня рождения А.Н.Толстого ; Cu-Ni ; Proof ; 8 ; света1973 ; 173 
 2143 ; 1 рубль. Упаковка нарушена ; 1990 ; 130 лет со дня рождения А.П.Чехова ; Cu-Ni ; Proof ; 5 ; света1973 ; 175 
 2144 ; 1 рубль. Упаковка ; 1992 ; 110 лет со дня рождения Я.Коласа ; Cu-Ni ; Proof ; 14 ; ShYrik_RUS ; 560 
 2145 ; 1 рубль. Упаковка нарушена ; 1989 ; 175 лет со дня рождения М.Ю.Лермонтова ; Cu-Ni ; Proof ; 11 ; света1973 ; 194 
 2146 ; 1 рубль. Упаковка ; 1993 ; 100 лет со дня рождения В.В.Маяковского ; Cu-Ni ; Unc ; 14 ; lelik13821 ; 1226 
 2147 ; 1 рубль. Новодел. Упаковка ; 1984 ; 185 лет со дня рождения А.С.Пушкина ; Cu-Ni ; Proof ; 13 ; Для души ; 731 
 2148 ; 1 рубль. Новодел. Упаковка ; 1965 ; 20 лет победы над Германией ; Cu-Ni ; Proof ; 23 ; goro-vovka ; 765 
 2149 ; 1 рубль ; 1991 ; Олимпиада в Барселоне.Штанга ; Cu-Ni ; Proof ; 23 ; пипер ; 1434 
 2150 ; 3 рубля. Упаковка ; 1994 ; Партизаны в ВОВ ; Cu-Ni ; Proof ; 18 ; сортам70 ; 1122 
 2151 ; 1 рубль. Новодел. Упаковка нарушена ; 1983 ; 165 лет со дня рождения К.Маркса ; Cu-Ni ; Proof ; 19 ; rendom9 ; 560 
 2152 ; 1 рубль. Новодел. Упаковка нарушена ; 1986 ; 275 лет со дня рождения М.В.Ломоносова ; Cu-Ni ; Proof ; 5 ; света1973 ; 453 
 2153 ; 1 рубль. Новодел. Упаковка ; 1984 ; 150 лет со дня рождения Д.И.Менделеева ; Cu-Ni ; Proof ; 13 ; света1973 ; 533 
 2154 ; 1 рубль. Новодел. Упаковка нарушена ; 1986 ; 275 лет со дня рождения М.В.Ломоносова ; Cu-Ni ; Proof ; 11 ; света1973 ; 453 
 2055 ; 1 рубль. Новодел. Упаковка ; 1967 ; 50 лет Советской власти ; Cu-Ni ; Proof ; 11 ; света1973 ; 727 
 2056 ; 1 рубль. Новодел. Упаковка ; 1986 ; Международный год мира ; Cu-Ni ; Proof ; 11 ; white964 ; 611 
 2057 ; 1 рубль. Новодел. Упаковка ; 1985 ; Фестиваль молодежи и студентов в Москве ; Cu-Ni ; Proof ; 16 ; Boroddd ; 760 
 2058 ; 1 рубль. Новодел. Упаковка ; 1982 ; 60 лет образования СССР ; Cu-Ni ; Proof ; 13 ; white964 ; 700 
 2059 ; 1 рубль. Новодел. Упаковка ; 1983 ; 400 лет со дня смерти И.Федорова 1510-1583 ; Cu-Ni ; Proof ; 14 ; света1973 ; 561 
 2060 ; 1 рубль. Новодел. Упаковка ; 1984 ; 125 лет со дня рождения А.С.Попова ; Cu-Ni ; Proof ; 11 ; white964 ; 662 
 2061 ; 1 рубль. Новодел. Упаковка ; 1975 ; 30 лет Победы в войне 1941-1945 ; Cu-Ni ; Proof ; 21 ; ТРОЛ ; 713 
 2062 ; 1 рубль. Новодел. Упаковка ; 1986 ; 275 лет со дня рождения М.В.Ломоносова ; Cu-Ni ; Proof ; 18 ; ТРОЛ ; 713 
 2063 ; 1 рубль. Упаковка ; 1985 ; 115 лет со дня рождения В.И.Ленина ; Cu-Ni ; Proof ; 21 ; gkl63 ; 2093 
 2064 ; 1 рубль. Упаковка ; 1984 ; 185 лет со дня рождения А.С.Пушкина ; Cu-Ni ; Proof ; 44 ; K.Viktor ; 2150 
 2065 ; 1 рубль. Новодел. Упаковка ; 1984 ; 150 лет со дня рождения Д.И.Менделеева ; Cu-Ni ; Proof ; 9 ; света1973 ; 563 
 2066 ; 1 рубль. Новодел. Упаковка ; 1981 ; 20 лет полета в космос Ю.Гагарина ; Cu-Ni ; Proof ; 12 ; Wulf ; 761 
 2067 ; 1 рубль. Новодел. Упаковка ; 1985 ; 40 лет Победы над Германией ; Cu-Ni ; Proof ; 24 ; ssss ; 802 
 2068 ; 1 рубль. Упаковка ; 1985 ; 165 лет со дня рождения Ф.Энгельса ; Cu-Ni ; Proof ; 19 ; Wulf ; 1040 
 2069 ; 1 рубль. Упаковка ; 1992 ; 190 лет со дня рождения П.С.Нахимова ; Cu-Ni ; Proof ; 13 ; света1973 ; 665 
 2070 ; 3 рубля ; 1993 ; 50 лет освобождения Киева ; Cu-Ni ; Proof ; 22 ; SuperLex ; 1345 
 2071 ; 1 рубль. Упаковка ; 1983 ; 165 лет со дня рождения К.Маркса ; Cu-Ni ; Proof ; 17 ; X3.96rus ; 726 
 2072 ; 1 рубль. Новодел. Упаковка ; 1977 ; 60 лет Советской власти ; Cu-Ni ; Proof ; 16 ; rendom9 ; 727 
 2073 ; 1 рубль. Новодел. Упаковка ; 1965 ; 20 лет победы над Германией ; Cu-Ni ; Proof ; 19 ; goro-vovka ; 744 
 2074 ; 1 рубль. Новодел. Упаковка ; 1981 ; Дружба навеки ; Cu-Ni ; Proof ; 12 ; goro-vovka ; 712 
 2075 ; 1 рубль ; 1991 ; 125 лет со дня рождения П.Н.Лебедева ; Cu-Ni ; Proof ; 14 ; Dmitrii0000 ; 163 
 2076 ; 1 рубль ; 1991 ; 850 лет со дня рождения Низами Гянджеви ; Cu-Ni ; Proof ; 13 ; Boroddd ; 140 
 2077 ; 1 рубль ; 1991 ; 850 лет со дня рождения Низами Гянджеви ; Cu-Ni ; Proof ; 31 ; ASD013 ; 216 
 2078 ; 1 рубль ; 1991 ; Махтумкули ; Cu-Ni ; Proof ; 26 ; ASD013 ; 241 
 2079 ; 1 рубль ; 1991 ; 850 лет со дня рождения Низами Гянджеви ; Cu-Ni ; AU ; 20 ; partanen ; 97 
 2080 ; 1 рубль ; 1991 ; 550 лет со дня рождения А.Навои ; Cu-Ni ; AU ; 20 ; portugal77 ; 165 
 2081 ; 1 рубль ; 1991 ; Махтумкули ; Cu-Ni ; AU ; 20 ; Dmitrii0000 ; 157 
 2082 ; 1 рубль ; 1991 ; 101 год со дня рождения К.В.Иванова ; Cu-Ni ; AU ; 25 ; Dmitrii0000 ; 100 
 2083 ; 1 рубль ; 1991 ; 100 лет со дня рождения С.Прокофьева ; Cu-Ni ; AU ; 23 ; Dmitrii0000 ; 99 
 2084 ; 1 рубль ; 1991 ; 101 год со дня рождения К.В.Иванова ; Cu-Ni ; Proof ; 16 ; mountblade ; 181 
 2085 ; 1 рубль ; 1989 ; 150 лет со дня рождения М.П.Мусоргского ; Cu-Ni ; AU ; 16 ; Mitrandir19 ; 100 
 2086 ; 1 рубль ; 1991 ; Махтумкули ; Cu-Ni ; Proof ; 28 ; сортам70 ; 204 
 2087 ; 1 рубль ; 1990 ; 150 лет со дня рождения П.И.Чайковского ; Cu-Ni ; AU ; 12 ; Dmitrii0000 ; 138 
 2088 ; 1 рубль ; 1991 ; 125 лет со дня рождения П.Н.Лебедева ; Cu-Ni ; XF+ ; 15 ; 557799 ; 73 
 2089 ; 1 рубль ; 1989 ; 100 лет со дня смерти Эминеску ; Cu-Ni ; AU ; 26 ; CMSpb ; 159 
 2090 ; 1 рубль ; 1990 ; 500 лет со дня рождения Ф.Скорины ; Cu-Ni ; AU ; 7 ; star54 ; 72 
 2091 ; 1 рубль ; 1989 ; 100 лет со дня рождения Ниязи ; Cu-Ni ; AU ; 22 ; Yhoo ; 165 
 2092 ; 1 рубль ; 1987 ; 70 лет Октябрьской революции ; Cu-Ni ; AU ; 7 ; целина57 ; 73 
 2093 ; 1 рубль ; 1988 ; 120 лет со дня рождения А.М.Горького ; Cu-Ni ; XF+ ; 16 ; sibirian ; 73 
 2094 ; 1 рубль ; 1985 ; 40 лет Победы над Германией ; Cu-Ni ; AU ; 13 ; HOLD ; 63 
 2095 ; 1 рубль ; 1989 ; 175 лет со дня рождения Т.Г.Шевченко ; Cu-Ni ; XF+ ; 17 ; Я2016 ; 75 
 2096 ; 1 рубль ; 1989 ; 175 лет со дня рождения М.Ю.Лермонтова ; Cu-Ni ; XF+ ; 29 ; sibirian ; 92 
 2097 ; 1 рубль ; 1990 ; 125 лет со дня рождения Я.Райниса ; Cu-Ni ; XF+ ; 13 ; валери ; 88 
 2098 ; 1 рубль ; 1990 ; Маршал СССР Г.К.Жуков ; Cu-Ni ; AU ; 16 ; smapd ; 323 
 2099 ; 1 рубль ; 1977 ; 60 лет Советской власти ; Cu-Ni ; XF- ; 14 ; collector64 ; 55 
 2100 ; 1 рубль ; 1980 ; Олимпиада 80.Здание Моссовета ; Cu-Ni ; XF- ; 17 ; 4WD ; 71 
 2101 ; 1 рубль ; 1967 ; 50 лет Советской власти ; Cu-Ni ; VF ; 5 ; Max1976 ; 28 
 2102 ; 1 рубль ; 1983 ; 20 лет полета в космос В.Терешковой ; Cu-Ni ; AU ; 24 ; igni1021 ; 289 
 2103 ; 1 рубль ; 1970 ; 100 лет со дня рождения В.И.Ленина ; Cu-Ni ; VF+ ; 3 ; целина57 ; 34 
 2104 ; 1 рубль ; 1988 ; 160 лет со дня рождения А.Н.Толстого ; Cu-Ni ; AU ; 11 ; 4WD ; 69 
 2005 ; 1 рубль. Упаковка нарушена ; 1991 ; 101 год со дня рождения К.В.Иванова ; Cu-Ni ; Proof ; 23 ; света1973 ; 213 
 2006 ; 1 рубль. Упаковка нарушена ; 1990 ; 130 лет со дня рождения А.П.Чехова ; Cu-Ni ; Proof ; 13 ; света1973 ; 145 
 2007 ; 1 рубль. Упаковка ; 1987 ; 175 лет Бородино (обелиск) ; Cu-Ni ; Proof ; 3 ; grisha 37 ; 193 
 2008 ; 1 рубль ; 1975 ; 30 лет Победы в войне 1941-1945 ; Cu-Ni ; VF+ ; 19 ; HOLD ; 31 
 2009 ; 1 рубль ; 1985 ; 40 лет Победы над Германией ; Cu-Ni ; AU ; 12 ; RustyNail ; 61 
 2010 ; 1 рубль ; 1985 ; 40 лет Победы над Германией ; Cu-Ni ; AU ; 26 ; 4WD ; 51 
 2011 ; 1 рубль ; 1985 ; Фестиваль молодежи и студентов в Москве ; Cu-Ni ; AU ; 9 ; Вини-Пруф ; 67 
 2012 ; 1 рубль ; 1985 ; Фестиваль молодежи и студентов в Москве ; Cu-Ni ; XF+ ; 8 ; Max1976 ; 68 
 2013 ; 1 рубль ; 1985 ; Фестиваль молодежи и студентов в Москве ; Cu-Ni ; AU ; 10 ; RustyNail ; 61 
 2014 ; 1 рубль ; 1985 ; 40 лет Победы над Германией ; Cu-Ni ; AU ; 22 ; MolchSer5 ; 61 
 2015 ; 1 рубль ; 1985 ; Фестиваль молодежи и студентов в Москве ; Cu-Ni ; AU ; 10 ; 557799 ; 61 
 2016 ; 1 рубль ; 1985 ; Фестиваль молодежи и студентов в Москве ; Cu-Ni ; AU ; 21 ; Banderas ; 62 
 2017 ; 50 копеек. 50 лет Советской власти ; 1967 ;  ; Cu-Ni ; VF+ ; 17 ; 9515555 ; 102 
 2018 ; 1 рубль ; 1975 ; 30 лет Победы в войне 1941-1945 ; Cu-Ni ; VF+ ; 11 ; walken ; 22 
 2019 ; 1 рубль ; 1991 ; 125 лет со дня рождения П.Н.Лебедева ; Cu-Ni ; Proof ; 21 ; mx75 ; 171 
 2020 ; 1 рубль ; 1989 ; 175 лет со дня рождения Т.Г.Шевченко ; Cu-Ni ; Proof ; 25 ; Boroddd ; 124 
 2021 ; 1 рубль. Упаковка нарушена ; 1988 ; 120 лет со дня рождения А.М.Горького ; Cu-Ni ; Proof ; 12 ; mx75 ; 175 
 2022 ; 1 рубль ; 1987 ; 70 лет Октябрьской революции ; Cu-Ni ; XF+ ; 17 ; Yhoo ; 77 
 2023 ; 1 рубль ; 1990 ; 150 лет со дня рождения П.И.Чайковского ; Cu-Ni ; XF+ ; 11 ; 4WD ; 71 
 2024 ; 1 рубль ; 1992 ; 190 лет со дня рождения П.С.Нахимова ; Cu-Ni ; Proof ; 43 ; xxxl ; 572 
 2025 ; 5 рублей ; 1987 ; 70 лет Октябрьской революции ; Cu-Ni ; AU ; 25 ; Вини-Пруф ; 2231 
 2026 ; 5 рублей ; 1991 ; Здание Госбанка СССР в Москве ; Cu-Ni ; Proof ; 18 ; сортам70 ; 173 
 2027 ; 5 рублей ; 1991 ; Памятник Давиду Сасунскому в Ереване ; Cu-Ni ; Proof ; 26 ; mx75 ; 261 
 2028 ; 5 рублей ; 1991 ; Памятник Давиду Сасунскому в Ереване ; Cu-Ni ; Proof ; 28 ; 4WD ; 203 
 2029 ; 5 рублей ; 1991 ; Здание Госбанка СССР в Москве ; Cu-Ni ; Proof ; 31 ; сортам70 ; 204 
 2030 ; 5 рублей ; 1990 ; Матенадаран.Ереван ; Cu-Ni ; AU ; 13 ; SuperLex ; 155 
 2031 ; 5 рублей ; 1988 ; Памятник Петру I в Ленинграде ; Cu-Ni ; AU ; 29 ; grisha 37 ; 329 
 2032 ; 5 рублей ; 1991 ; Архангельский собор в Москве ; Cu-Ni ; AU ; 11 ; 4WD ; 164 
 2033 ; 5 рублей ; 1991 ; Памятник Давиду Сасунскому в Ереване ; Cu-Ni ; XF+ ; 10 ; romka.n21 ; 174 
 2034 ; 5 рублей ; 1990 ; Успенский собор в Москве ; Cu-Ni ; AU ; 13 ; partanen ; 142 
 2035 ; 5 рублей ; 1991 ; Здание Госбанка СССР в Москве ; Cu-Ni ; XF ; 23 ; igni1021 ; 200 
 2036 ; 5 рублей ; 1989 ; Ансамбль Регистан в Самарканде ; Cu-Ni ; AU ; 42 ; SuperLex ; 385 
 2037 ; 5 рублей ; 1988 ; Памятник в Новгороде "Тысячелетие России" ; Cu-Ni ; AU ; 30 ; Dmitrii0000 ; 265 
 2038 ; 5 рублей ; 1988 ; Софийский собор в Киеве ; Cu-Ni ; XF+ ; 35 ; прохожий ; 319 
 2039 ; 5 рублей ; 1989 ; Собор Покрова на рву в Москве ; Cu-Ni ; AU ; 30 ; Yhoo ; 291 
 2040 ; 5 рублей ; 1990 ; Большой дворец в Петродворце ; Cu-Ni ; AU ; 9 ; 4WD ; 139 
 2041 ; 5 рублей ; 1989 ; Благовещенский собор в Москве ; Cu-Ni ; AU ; 12 ; smapd ; 338 
 2042 ; 3 рубля ; 1991 ; 50 лет победы под Москвой ; Cu-Ni ; Proof ; 19 ; ASD013 ; 208 
 2043 ; 3 рубля ; 1991 ; 50 лет победы под Москвой ; Cu-Ni ; Proof ; 24 ; ASD013 ; 250 
 2044 ; 3 рубля ; 1991 ; 50 лет победы под Москвой ; Cu-Ni ; AU ; 16 ; 4WD ; 174 
 2045 ; 3 рубля ; 1989 ; Землетрясение в Армении ; Cu-Ni ; AU ; 12 ; madgestic ; 163 
 2046 ; 5 рублей. Упаковка ; 1992 ; Мавзолей-мечеть Ахмеда Ясави ; Cu-Ni ; Unc ; 9 ; света1973 ; 767 
 2047 ; 5 рублей. Упаковка ; 1991 ; Здание Госбанка СССР в Москве ; Cu-Ni ; Proof ; 16 ; ASD013 ; 253 
 2048 ; 3 рубля ; 1995 ; Капитуляция Германии ; Cu-Ni ; Proof ; 18 ; z_andy ; 2297 
 2049 ; 3 рубля. Упаковка ; 1992 ; Международный год космоса ; Cu-Ni ; Proof ; 32 ; grisha 37 ; 426 
 2050 ; 3 рубля. Упаковка ; 1992 ; 750 лет победы А.Невского ; Cu-Ni ; Proof ; 11 ; 4WD ; 368 
 2051 ; 5 рублей. Упаковка ; 1990 ; Успенский собор в Москве ; Cu-Ni ; Proof ; 11 ; Парарам ; 232 
 2052 ; 1 рубль. Новодел. Упаковка ; 1983 ; 20 лет полета в космос В.Терешковой ; Cu-Ni ; Proof ; 25 ; goro-vovka ; 712 
 2053 ; 1 рубль. Новодел. Упаковка ; 1983 ; 165 лет со дня рождения К.Маркса ; Cu-Ni ; Proof ; 15 ; goro-vovka ; 614 
 2054 ; 1 рубль. Упаковка ; 1985 ; 115 лет со дня рождения В.И.Ленина ; Cu-Ni ; Proof ; 25 ; Wulf ; 1785 
 1955 ; 1 рубль ; 1991 ; 100 лет со дня рождения С.Прокофьева ; Cu-Ni ; AU ; 17 ; ASD013 ; 101 
 1956 ; 1 рубль ; 1991 ; 101 год со дня рождения К.В.Иванова ; Cu-Ni ; AU ; 7 ; Матроскин ; 73 
 1957 ; 50 копеек. 50 лет Советской власти. Упаковка ; 1967 ;  ; Cu-Ni ; AU ; 36 ; LeftRight ; 352 
