 251 ; Полушка ; 1850 ; ЕМ ; Cu ; XF ; 27 ; sax ; 3400 
 1777 ; 1 рубль ; 1965 ;  ; Cu-Ni ; AU ; 52 ; lekso ; 374 
 1778 ; 1 рубль ; 1968 ;  ; Cu-Ni ; AU ; 96 ; кошак ; 368 
 1779 ; 1 рубль ; 1970 ;  ; Cu-Ni ; AU ; 75 ; михич ; 765 
 1780 ; 1 рубль ; 1971 ;  ; Cu-Ni ; AU ; 75 ; verunk1 ; 624 
 1781 ; 1 рубль ; 1972 ;  ; Cu-Ni ; AU ; 158 ; михич ; 663 
 1782 ; 1 рубль ; 1973 ;  ; Cu-Ni ; AU ; 186 ; михич ; 992 
 1783 ; 1 рубль ; 1974 ;  ; Cu-Ni ; AU ; 44 ; lielais ; 470 
 1784 ; 1 рубль ; 1975 ;  ; Cu-Ni ; AU ; 33 ; 1dima_s ; 616 
 1785 ; 1 рубль ; 1976 ;  ; Cu-Ni ; AU ; 32 ; lielais ; 510 
 1786 ; 1 рубль ; 1977 ;  ; Cu-Ni ; AU ; 64 ; verunk1 ; 566 
 1787 ; 1 рубль ; 1978 ;  ; Cu-Ni ; AU ; 89 ; lielais ; 510 
 1788 ; 1 рубль ; 1979 ;  ; Cu-Ni ; AU ; 43 ; лаботряс ; 457 
 1789 ; 1 рубль ; 1980 ;  ; Cu-Ni ; AU ; 55 ; лаботряс ; 552 
 1790 ; 1 рубль ; 1981 ;  ; Cu-Ni ; AU ; 69 ; lielais ; 371 
 1791 ; 1 рубль ; 1982 ;  ; Cu-Ni ; AU ; 65 ; lielais ; 510 
 1792 ; 1 рубль ; 1983 ;  ; Cu-Ni ; AU ; 125 ; lielais ; 611 
 1793 ; 1 рубль ; 1984 ;  ; Cu-Ni ; AU ; 71 ; lekso ; 374 
 1794 ; 1 рубль ; 1985 ;  ; Cu-Ni ; AU ; 95 ; михич ; 470 
 1795 ; 1 рубль ; 1986 ;  ; Cu-Ni ; AU ; 119 ; klusha ; 313 
 1796 ; 1 рубль ; 1987 ;  ; Cu-Ni ; AU ; 37 ; masterovoi ; 402 
 1797 ; 1 рубль ; 1988 ;  ; Cu-Ni ; AU ; 45 ; ask ; 230 
 1798 ; 1 рубль ; 1989 ;  ; Cu-Ni ; AU ; 21 ; ask ; 230 
 1799 ; 1 рубль ; 1990 ;  ; Cu-Ni ; AU ; 6 ; крабик ; 230 
 1800 ; 1 рубль ; 1991 ; ММД ; Cu-Ni ; XF+ ; 28 ; klusha ; 110 
 1801 ; 1 рубль ; 1991 ; ЛМД ; Cu-Ni ; AU ; 38 ; крабик ; 624 
 1802 ; 1 рубль ; 1965 ;  ; Cu-Ni ; AU ; 61 ; fokin ; 466 
 1803 ; 50 копеек ; 1965 ;  ; Cu-Ni ; AU ; 43 ; Ходор ; 522 
 1704 ; 1 рубль ; 1977 ; Олимпиада 80.Эмблема Олимпийских игр ; Cu-Ni ; VF+ ; 8 ; Затон ; 38 
 1705 ; 1 рубль ; 1978 ; Олимпиада 80.Московский Кремль ; Cu-Ni ; XF- ; 9 ; Затон ; 34 
 1706 ; 1 рубль ; 1984 ; 185 лет со дня рождения А.С.Пушкина ; Cu-Ni ; XF ; 20 ; никсер ; 125 
 1707 ; 1 рубль ; 1985 ; 115 лет со дня рождения В.И.Ленина ; Cu-Ni ; XF+ ; 25 ; jimmysu ; 146 
 1708 ; 1 рубль ; 1987 ; 130 лет со дня рождения К.Э.Циолковского ; Cu-Ni ; AU ; 47 ; lubopitnaja ; 57 
 1709 ; 1 рубль ; 1987 ; 175 лет Бородино (барельеф) ; Cu-Ni ; AU ; 45 ; 1dima_s ; 80 
 1710 ; 1 рубль ; 1988 ; 160 лет со дня рождения А.Н.Толстого ; Cu-Ni ; AU ; 43 ; military ; 42 
 1711 ; 1 рубль ; 1988 ; 160 лет со дня рождения А.Н.Толстого ; Cu-Ni ; AU ; 32 ; aleksius ; 43 
 1712 ; 1 рубль ; 1989 ; 175 лет со дня рождения М.Ю.Лермонтова ; Cu-Ni ; XF+ ; 47 ; Олеся3211 ; 113 
 1713 ; 1 рубль ; 1990 ; 130 лет со дня рождения А.П.Чехова ; Cu-Ni ; AU ; 49 ; Andron79 ; 48 
 1714 ; 1 рубль ; 1990 ; 150 лет со дня рождения П.И.Чайковского ; Cu-Ni ; AU ; 38 ; teemu ; 48 
 1715 ; 1 рубль. Упаковка ; 1989 ; 150 лет со дня рождения М.П.Мусоргского ; Cu-Ni ; Proof ; 10 ; Олеся3211 ; 143 
 1716 ; 1 рубль. Упаковка ; 1990 ; 150 лет со дня рождения П.И.Чайковского ; Cu-Ni ; Proof ; 8 ; Олеся3211 ; 128 
 1717 ; 1 рубль ; 1979 ; Олимпиада 80.Обелиск покорителям космоса ; Cu-Ni ; AU ; 22 ; 1dima_s ; 100 
 1718 ; 3 рубля. Упаковка ; 1992 ; Международный год космоса ; Cu-Ni ; Proof ; 27 ; joper69 ; 291 
 1719 ; 1 рубль ; 1990 ; 125 лет со дня рождения Я.Райниса ; Cu-Ni ; XF- ; 36 ; military ; 37 
 1720 ; 1 рубль. В конверте ; 1965 ; 20 лет победы над Германией ; Cu-Ni ; AU ; 22 ; yuri.gruzdev ; 193 
 1721 ; 1 рубль. Упаковка ; 1982 ; 60 лет образования СССР ; Cu-Ni ; Proof ; 48 ; tank116 ; 628 
 1722 ; 1 рубль. Упаковка ; 1983 ; 165 лет со дня рождения К.Маркса ; Cu-Ni ; Proof ; 39 ; tank116 ; 716 
 1723 ; 1 рубль. Упаковка ; 1985 ; 165 лет со дня рождения Ф.Энгельса ; Cu-Ni ; Proof ; 143 ; 104 кг ; 1007 
 1724 ; 1 рубль. Упаковка ; 1985 ; 115 лет со дня рождения В.И.Ленина ; Cu-Ni ; Proof ; 49 ; dimass70 ; 1726 
 1725 ; 3 рубля. Упаковка ; 1992 ; Международный год космоса ; Cu-Ni ; Proof ; 44 ; kol78 ; 329 
 1726 ; 1 рубль ; 1979 ; Олимпиада 80.Обелиск покорителям космоса ; Cu-Ni ; AU ; 40 ; ф-а-и ; 102 
 1727 ; 1 рубль ; 1987 ; 130 лет со дня рождения К.Э.Циолковского ; Cu-Ni ; XF ; 47 ; o.k. ; 45 
 1728 ; 1 рубль ; 1988 ; 120 лет со дня рождения А.М.Горького ; Cu-Ni ; XF ; 17 ; military ; 36 
 1729 ; 1 рубль ; 1989 ; 175 лет со дня рождения Т.Г.Шевченко ; Cu-Ni ; XF ; 16 ; military ; 35 
 1730 ; 1 рубль ; 1989 ; 100 лет со дня рождения Ниязи ; Cu-Ni ; XF+ ; 57 ; Gorizn ; 108 
 1731 ; 1 рубль ; 1965 ; 20 лет победы над Германией ; Cu-Ni ; VF ; 41 ; ф-а-и ; 43 
 1732 ; 1 рубль ; 1970 ; 100 лет со дня рождения В.И.Ленина ; Cu-Ni ; VF ; 16 ; С Урала ; 16 
 1733 ; 3 рубля. Упаковка ; 1992 ; Международный год космоса ; Cu-Ni ; Proof ; 15 ; Олеся3211 ; 257 
 1734 ; 1 рубль ; 1979 ; Олимпиада 80.Обелиск покорителям космоса ; Cu-Ni ; AU ; 31 ; military ; 67 
 1735 ; 3 рубля ; 1994 ; 50 лет освобождения Белграда ; Cu-Ni ; Proof ; 57 ; кошак ; 635 
 1736 ; 3 рубля. Упаковка ; 1995 ; Разгром Квантунской армии в Маньчжурии ; Cu-Ni ; Proof ; 15 ; denis68 ; 750 
 1737 ; 3 рубля ; 1995 ; 50 лет освобождения Кенигсберга. ; Cu-Ni ; Proof ; 20 ; zarnord ; 663 
 1738 ; 1 рубль. Упаковка ; 1993 ; 100 лет со дня рождения К.Л.Тимирязева ; Cu-Ni ; Proof ; 30 ; joper69 ; 750 
 1739 ; 1 рубль ; 1977 ; Олимпиада 80.Эмблема Олимпийских игр ; Cu-Ni ; VF+ ; 42 ; military ; 49 
 1740 ; 1 рубль ; 1978 ; Олимпиада 80.Московский Кремль ; Cu-Ni ; AU ; 62 ; ф-а-и ; 200 
 1741 ; 1 рубль ; 1979 ; Олимпиада 80.Здание МГУ ; Cu-Ni ; XF ; 66 ; ф-а-и ; 123 
 1742 ; 1 рубль ; 1979 ; Олимпиада 80.Обелиск покорителям космоса ; Cu-Ni ; AU ; 46 ; Затон ; 49 
 1743 ; 1 рубль ; 1980 ; Олимпиада 80.Здание Моссовета ; Cu-Ni ; XF+ ; 42 ; ф-а-и ; 59 
 1744 ; 1 рубль ; 1980 ; Олимпиада 80.Олимпийский факел ; Cu-Ni ; AU ; 43 ; ф-а-и ; 57 
 1745 ; 3 рубля. Упаковка ; 1992 ; "19-21 августа" ; Cu-Ni ; Proof ; 13 ; joper69 ; 397 
 1746 ; 3 рубля. Упаковка ; 1992 ; Международный год космоса ; Cu-Ni ; Proof ; 38 ; купидон ; 246 
 1747 ; 3 рубля. Упаковка ; 1993 ; 50 лет победы на Курской дуге ; Cu-Ni ; Proof ; 34 ; карат ; 306 
 1748 ; 3 рубля. Упаковка ; 1993 ; 50 лет победы в Сталинградской битве ; Cu-Ni ; Proof ; 49 ; elefant1965 ; 255 
 1749 ; 3 рубля. Упаковка ; 1994 ; 50 лет прорыва блокады Ленинграда ; Cu-Ni ; Proof ; 43 ; kent01 ; 357 
 1750 ; 3 рубля. Упаковка ; 1994 ; Партизаны в ВОВ ; Cu-Ni ; Proof ; 56 ; o.k. ; 373 
 1751 ; 3 рубля. Упаковка ; 1995 ; Капитуляция Германии ; Cu-Ni ; Proof ; 29 ; sks11801 ; 627 
 1752 ; 3 рубля. Упаковка ; 1995 ; Капитуляция Японии ; Cu-Ni ; Proof ; 23 ; denis68 ; 882 
 1753 ; 3 рубля. Упаковка ; 1995 ; Разгром Квантунской армии в Маньчжурии ; Cu-Ni ; Proof ; 21 ; пот78 ; 729 
 1654 ; 1 рубль ; 1987 ; 175 лет Бородино (барельеф) ; Cu-Ni ; AU ; 14 ; KVP1 ; 62 
 1655 ; 5 рублей ; 1989 ; Собор Покрова на рву в Москве ; Cu-Ni ; AU ; 47 ; o.k. ; 131 
 1656 ; 5 рублей ; 1991 ; Памятник Давиду Сасунскому в Ереване ; Cu-Ni ; AU ; 32 ; teemu ; 65 
 1657 ; 1 рубль ; 1990 ; 150 лет со дня рождения П.И.Чайковского ; Cu-Ni ; AU ; 22 ; teemu ; 43 
 1658 ; 1 рубль ; 1990 ; Маршал СССР Г.К.Жуков ; Cu-Ni ; AU ; 37 ; 1dima_s ; 250 
 1659 ; 1 рубль ; 1967 ; 50 лет Советской власти ; Cu-Ni ; VF+ ; 25 ; dec9 ; 38 
 1660 ; 1 рубль ; 1970 ; 100 лет со дня рождения В.И.Ленина ; Cu-Ni ; VF+ ; 9 ; dec9 ; 26 
 1661 ; 1 рубль ; 1983 ; 165 лет со дня рождения К.Маркса ; Cu-Ni ; XF ; 49 ; jimmysu ; 141 
 1662 ; 1 рубль ; 1985 ; 165 лет со дня рождения Ф.Энгельса ; Cu-Ni ; XF+ ; 20 ; никсер ; 125 
 1663 ; 1 рубль ; 1985 ; 115 лет со дня рождения В.И.Ленина ; Cu-Ni ; AU ; 38 ; jimmysu ; 156 
 1664 ; 1 рубль ; 1987 ; 130 лет со дня рождения К.Э.Циолковского ; Cu-Ni ; AU ; 44 ; Олеся3211 ; 56 
 1665 ; 1 рубль ; 1975 ; 30 лет Победы в войне 1941-1945 ; Cu-Ni ; XF ; 27 ; Andron79 ; 25 
 1666 ; 1 рубль ; 1975 ; 30 лет Победы в войне 1941-1945 ; Cu-Ni ; XF- ; 18 ; xct ; 16 
 1667 ; 1 рубль ; 1977 ; 60 лет Советской власти ; Cu-Ni ; XF ; 40 ; military ; 43 
 1668 ; 1 рубль ; 1977 ; Олимпиада 80.Эмблема Олимпийских игр ; Cu-Ni ; VF+ ; 8 ; Затон ; 40 
 1669 ; 1 рубль ; 1978 ; Олимпиада 80.Московский Кремль ; Cu-Ni ; VF+ ; 23 ; С Урала ; 24 
 1670 ; 1 рубль ; 1980 ; Олимпиада 80.Здание Моссовета ; Cu-Ni ; AU ; 39 ; krft ; 38 
 1671 ; 1 рубль ; 1982 ; 60 лет образования СССР ; Cu-Ni ; AU ; 52 ; ss13 ; 183 
 1672 ; 1 рубль ; 1983 ; 165 лет со дня рождения К.Маркса ; Cu-Ni ; AU ; 13 ; jimmysu ; 137 
 1673 ; 1 рубль ; 1984 ; 185 лет со дня рождения А.С.Пушкина ; Cu-Ni ; AU ; 39 ; jimmysu ; 128 
 1674 ; 1 рубль ; 1984 ; 125 лет со дня рождения А.С.Попова ; Cu-Ni ; AU ; 79 ; никсер ; 130 
 1675 ; 1 рубль ; 1985 ; 115 лет со дня рождения В.И.Ленина ; Cu-Ni ; AU ; 52 ; jimmysu ; 159 
 1676 ; 1 рубль ; 1985 ; 165 лет со дня рождения Ф.Энгельса ; Cu-Ni ; AU ; 29 ; jimmysu ; 125 
 1677 ; 1 рубль ; 1985 ; 40 лет Победы над Германией ; Cu-Ni ; AU ; 41 ; ф-а-и ; 102 
 1678 ; 1 рубль ; 1985 ; Фестиваль молодежи и студентов в Москве ; Cu-Ni ; AU ; 34 ; Gorizn ; 34 
 1679 ; 1 рубль ; 1986 ; 275 лет со дня рождения М.В.Ломоносова ; Cu-Ni ; AU ; 14 ; vadsob ; 151 
 1680 ; 1 рубль ; 1986 ; Международный год мира ; Cu-Ni ; AU ; 44 ; фёкла ; 44 
 1681 ; 1 рубль ; 1991 ; 101 год со дня рождения К.В.Иванова ; Cu-Ni ; AU ; 17 ; military ; 53 
 1682 ; 3 рубля ; 1993 ; 50 лет победы в Сталинградской битве ; Cu-Ni ; Proof ; 32 ; Gorizn ; 255 
 1683 ; 1 рубль ; 1965 ; 20 лет победы над Германией ; Cu-Ni ; AU ; 54 ; klusha ; 76 
 1684 ; 1 рубль ; 1967 ; 50 лет Советской власти ; Cu-Ni ; VF+ ; 23 ; Limbus ; 21 
 1685 ; 1 рубль ; 1970 ; 100 лет со дня рождения В.И.Ленина ; Cu-Ni ; XF+ ; 26 ; krft ; 31 
 1686 ; 5 рублей ; 1990 ; Матенадаран.Ереван ; Cu-Ni ; AU ; 74 ; Andron79 ; 102 
 1687 ; 5 рублей ; 1990 ; Успенский собор в Москве ; Cu-Ni ; AU ; 66 ; Andron79 ; 102 
 1688 ; 1 рубль ; 1975 ; 30 лет Победы в войне 1941-1945 ; Cu-Ni ; XF+ ; 25 ; Andron79 ; 25 
 1689 ; 1 рубль ; 1985 ; Фестиваль молодежи и студентов в Москве ; Cu-Ni ; XF+ ; 34 ; lesnik1 ; 33 
 1690 ; 1 рубль ; 1985 ; 40 лет Победы над Германией ; Cu-Ni ; XF+ ; 36 ; krft ; 34 
 1691 ; 1 рубль ; 1987 ; 130 лет со дня рождения К.Э.Циолковского ; Cu-Ni ; AU ; 37 ; drn137 ; 55 
 1692 ; 1 рубль ; 1987 ; 175 лет Бородино (барельеф) ; Cu-Ni ; AU ; 26 ; seaman1987 ; 45 
 1693 ; 1 рубль ; 1987 ; 175 лет Бородино (обелиск) ; Cu-Ni ; AU ; 19 ; teemu ; 46 
 1694 ; 1 рубль ; 1989 ; 150 лет со дня рождения М.П.Мусоргского ; Cu-Ni ; AU ; 37 ; military ; 51 
 1695 ; 1 рубль ; 1990 ; 130 лет со дня рождения А.П.Чехова ; Cu-Ni ; AU ; 46 ; Andron79 ; 46 
 1696 ; 1 рубль ; 1990 ; 150 лет со дня рождения П.И.Чайковского ; Cu-Ni ; AU ; 36 ; Олеся3211 ; 56 
 1697 ; 1 рубль ; 1990 ; 125 лет со дня рождения Я.Райниса ; Cu-Ni ; XF ; 14 ; docentatk ; 34 
 1698 ; 1 рубль ; 1990 ; 500 лет со дня рождения Ф.Скорины ; Cu-Ni ; AU ; 36 ; KVP1 ; 43 
 1699 ; 1 рубль ; 1991 ; 100 лет со дня рождения С.Прокофьева ; Cu-Ni ; AU ; 52 ; lubopitnaja ; 57 
 1700 ; 5 рублей ; 1990 ; Матенадаран.Ереван ; Cu-Ni ; AU ; 24 ; Олеся3211 ; 67 
 1701 ; 5 рублей ; 1991 ; Архангельский собор в Москве ; Cu-Ni ; AU ; 60 ; 1dima_s ; 69 
 1702 ; 5 рублей ; 1991 ; Памятник Давиду Сасунскому в Ереване ; Cu-Ni ; AU ; 7 ; teemu ; 67 
 1703 ; 5 рублей ; 1991 ; Архангельский собор в Москве ; Cu-Ni ; AU ; 25 ; military ; 83 
 1604 ; 5 рублей ; 1991 ; Архангельский собор в Москве ; Cu-Ni ; AU ; 21 ; Andron79 ; 79 
 1605 ; 5 рублей ; 1989 ; Собор Покрова на рву в Москве ; Cu-Ni ; AU ; 50 ; zarnord ; 165 
 1606 ; 5 рублей ; 1990 ; Успенский собор в Москве ; Cu-Ni ; AU ; 7 ; teemu ; 64 
 1607 ; 5 рублей ; 1990 ; Большой дворец в Петродворце ; Cu-Ni ; AU ; 14 ; military ; 67 
 1608 ; 5 рублей ; 1990 ; Матенадаран.Ереван ; Cu-Ni ; AU ; 30 ; kol78 ; 64 
 1609 ; 5 рублей ; 1988 ; Софийский собор в Киеве ; Cu-Ni ; AU ; 49 ; jimmysu ; 112 
 1610 ; 5 рублей ; 1988 ; Памятник в Новгороде "Тысячелетие России" ; Cu-Ni ; XF ; 94 ; Gorizn ; 157 
 1611 ; 5 рублей ; 1988 ; Памятник в Новгороде "Тысячелетие России" ; Cu-Ni ; AU ; 54 ; vadsob ; 137 
 1612 ; 5 рублей ; 1991 ; Здание Госбанка СССР в Москве ; Cu-Ni ; XF ; 37 ; АРШИН ; 144 
 1613 ; 5 рублей ; 1989 ; Благовещенский собор в Москве ; Cu-Ni ; XF+ ; 30 ; jimmysu ; 143 
 1614 ; 5 рублей ; 1988 ; Памятник Петру I в Ленинграде ; Cu-Ni ; XF ; 33 ; kol78 ; 120 
 1615 ; 5 рублей ; 1988 ; Памятник Петру I в Ленинграде ; Cu-Ni ; AU ; 75 ; Andron79 ; 115 
 1616 ; 3 рубля ; 1987 ; 70 лет Октябрьской революции ; Cu-Ni ; AU ; 69 ; military ; 97 
 1617 ; 3 рубля ; 1991 ; 50 лет победы под Москвой ; Cu-Ni ; AU ; 37 ; Andron79 ; 87 
 1618 ; 1 рубль ; 1988 ; 120 лет со дня рождения А.М.Горького ; Cu-Ni ; AU ; 66 ; zarnord ; 102 
 1619 ; 1 рубль ; 1991 ; 101 год со дня рождения К.В.Иванова ; Cu-Ni ; AU ; 50 ; Andron79 ; 49 
 1620 ; 1 рубль ; 1987 ; 130 лет со дня рождения К.Э.Циолковского ; Cu-Ni ; AU ; 15 ; kol78 ; 61 
 1621 ; 1 рубль ; 1987 ; 130 лет со дня рождения К.Э.Циолковского ; Cu-Ni ; XF ; 11 ; drn137 ; 42 
 1622 ; 1 рубль ; 1990 ; Маршал СССР Г.К.Жуков ; Cu-Ni ; AU ; 13 ; фёкла ; 153 
 1623 ; 1 рубль ; 1990 ; Маршал СССР Г.К.Жуков ; Cu-Ni ; AU ; 50 ; SSS200 ; 157 
 1624 ; 1 рубль ; 1984 ; 185 лет со дня рождения А.С.Пушкина ; Cu-Ni ; XF ; 54 ; kol78 ; 140 
 1625 ; 1 рубль ; 1989 ; 150 лет со дня рождения М.П.Мусоргского ; Cu-Ni ; AU ; 74 ; kol78 ; 91 
 1626 ; 1 рубль ; 1978 ; Олимпиада 80.Московский Кремль ; Cu-Ni ; VF-XF ; 16 ; Затон ; 55 
 1627 ; 1 рубль ; 1977 ; Олимпиада 80.Эмблема Олимпийских игр ; Cu-Ni ; VF+ ; 9 ; Затон ; 39 
 1628 ; 1 рубль ; 1987 ; 175 лет Бородино (обелиск) ; Cu-Ni ; AU ; 28 ; 1dima_s ; 120 
 1629 ; 1 рубль ; 1986 ; Международный год мира ; Cu-Ni ; AU ; 83 ; kol78 ; 108 
 1630 ; 1 рубль ; 1989 ; 175 лет со дня рождения М.Ю.Лермонтова ; Cu-Ni ; AU ; 85 ; Gorizn ; 123 
 1631 ; 1 рубль ; 1990 ; 130 лет со дня рождения А.П.Чехова ; Cu-Ni ; AU ; 3 ; jimmysu ; 39 
 1632 ; 1 рубль ; 1990 ; 150 лет со дня рождения П.И.Чайковского ; Cu-Ni ; AU ; 9 ; yuri.gruzdev ; 57 
 1633 ; 1 рубль ; 1989 ; 100 лет со дня рождения Ниязи ; Cu-Ni ; AU ; 42 ; military ; 95 
 1634 ; 1 рубль ; 1989 ; 100 лет со дня смерти Эминеску ; Cu-Ni ; AU ; 50 ; Gorizn ; 136 
 1635 ; 1 рубль ; 1988 ; 160 лет со дня рождения А.Н.Толстого ; Cu-Ni ; XF ; 8 ; С Урала ; 39 
 1636 ; 1 рубль ; 1991 ; 100 лет со дня рождения С.Прокофьева ; Cu-Ni ; AU ; 9 ; val40 ; 61 
 1637 ; 1 рубль ; 1990 ; 125 лет со дня рождения Я.Райниса ; Cu-Ni ; XF+ ; 23 ; kol78 ; 46 
 1638 ; 1 рубль ; 1990 ; 500 лет со дня рождения Ф.Скорины ; Cu-Ni ; AU ; 42 ; kol78 ; 43 
 1639 ; 1 рубль ; 1983 ; 400 лет со дня смерти И.Федорова 1510-1583 ; Cu-Ni ; AU ; 16 ; military ; 122 
 1640 ; 1 рубль ; 1985 ; 40 лет Победы над Германией ; Cu-Ni ; AU ; 25 ; ф-а-и ; 45 
 1641 ; 1 рубль ; 1987 ; 70 лет Октябрьской революции ; Cu-Ni ; XF+ ; 7 ; jimmysu ; 43 
 1642 ; 1 рубль ; 1987 ; 175 лет Бородино (барельеф) ; Cu-Ni ; AU ; 51 ; kol78 ; 122 
 1643 ; 1 рубль ; 1985 ; 165 лет со дня рождения Ф.Энгельса ; Cu-Ni ; AU ; 12 ; vadsob ; 151 
 1644 ; 1 рубль ; 1986 ; 275 лет со дня рождения М.В.Ломоносова ; Cu-Ni ; AU ; 70 ; Antromis ; 211 
 1645 ; 1 рубль ; 1984 ; 150 лет со дня рождения Д.И.Менделеева ; Cu-Ni ; AU ; 61 ; Antromis ; 131 
 1646 ; 1 рубль ; 1990 ; 500 лет со дня рождения Ф.Скорины ; Cu-Ni ; AU ; 40 ; Олеся3211 ; 43 
 1647 ; 1 рубль ; 1991 ; 550 лет со дня рождения А.Навои ; Cu-Ni ; XF ; 38 ; KVP1 ; 105 
 1648 ; 1 рубль ; 1991 ; 125 лет со дня рождения П.Н.Лебедева ; Cu-Ni ; XF ; 20 ; KVP1 ; 73 
 1649 ; 1 рубль ; 1991 ; 125 лет со дня рождения П.Н.Лебедева ; Cu-Ni ; XF ; 18 ; Олеся3211 ; 72 
 1650 ; 1 рубль ; 1987 ; 175 лет Бородино (обелиск) ; Cu-Ni ; AU ; 21 ; teemu ; 43 
 1651 ; 1 рубль ; 1989 ; 175 лет со дня рождения Т.Г.Шевченко ; Cu-Ni ; AU ; 44 ; Олеся3211 ; 43 
 1652 ; 1 рубль ; 1991 ; 100 лет со дня рождения С.Прокофьева ; Cu-Ni ; AU ; 53 ; Олеся3211 ; 57 
 1653 ; 1 рубль ; 1990 ; 150 лет со дня рождения П.И.Чайковского ; Cu-Ni ; AU ; 21 ; teemu ; 43 
 1554 ; Жетон. Министерство торговли СССР № 12 ;  ;  ; Ж/м ; AU ; 26 ; Rober ; 108 
 1555 ; Жетон. Министерство торговли СССР. 11. Цифры прямоугольной формы, оборотная сторона ребристая ;  ;  ; Ж/м ; XF- ; 6 ; koga ; 126 
 1556 ; Жетон. Министерство торговли СССР. 10. Цифры округлой формы, оборотная сторона плоская ;  ;  ; Ж/м ; VF ; 22 ; benc ; 714 
 1557 ; Жетон. Министерство торговли СССР. 10. Цифры прямоугольной формы, оборотная сторона плоская ;  ;  ; Ж/м ; XF ; 15 ; alek99 ; 155 
 1558 ; Жетон. Министерство торговли СССР № 5 ;  ;  ; Ж/м ; VF ; 14 ; alek99 ; 326 
 1559 ; Жетон. Министерство торговли СССР. 4. Цифры прямоугольной формы, оборотная сторона ребристая ;  ;  ; Ж/м ; XF+ ; 19 ; madgestic ; 108 
 1560 ; Жетон. Министерство торговли СССР № 4 ;  ;  ; Ж/м ; VF- ; 20 ; stas007 ; 55 
 1561 ; Жетон. Министерство торговли СССР. 3. Цифры прямоугольной формы, оборотная сторона плоская ;  ;  ; Ж/м ; VF ; 20 ; Vb[fksx ; 211 
 1562 ; Жетон. Министерство торговли СССР. 3. Цифры прямоугольной формы, оборотная сторона ребристая ;  ;  ; Ж/м ; XF- ; 8 ; kuznecov88 ; 153 
 1563 ; Жетон. Министерство торговли СССР. 2. Цифры прямоугольной формы, оборотная сторона плоская ;  ;  ; Ж/м ; XF- ; 22 ; benc ; 1009 
 1564 ; 1 рубль ; 1986 ; Международный год мира.В рубле Л в виде шалаша. ; Cu-Ni ; XF ; 68 ; ААФ ; 774 
 1565 ; 1 рубль ; 1991 ; 550 лет со дня рождения А.Навои.Дата 1990 вместо 1991 ; Cu-Ni ; XF+ ; 28 ; kma1296svu ; 2452 
 1566 ; 20 копеек ; 1950 ;  ; Ni ; XF- ; 87 ; ввп ; 755 
 1567 ; 20 копеек ; 1977 ; Л/с шт. 3 коп. ; Cu-Ni ; AU ; 65 ; KolobovS ; 623 
 1568 ; 20 копеек ; 1977 ; Л/с шт. 3 коп. ; Cu-Ni ; AU ; 52 ; Glen ; 542 
 1569 ; 20 копеек ; 1977 ; Л/с шт. 3 коп. ; Cu-Ni ; AU ; 33 ; hugo ; 573 
 1570 ; 20 копеек ; 1979 ; Л/с шт. 3 коп. ; Cu-Ni ; AU ; 63 ; KolobovS ; 432 
 1571 ; 20 копеек ; 1979 ; Л/с шт. 3 коп. ; Cu-Ni ; AU ; 13 ; кошак ; 620 
 1572 ; 20 копеек ; 1979 ; Л/с шт. 3 коп. ; Cu-Ni ; AU ; 44 ; hugo ; 662 
 1573 ; 20 копеек ; 1989 ; Л/с шт. 3 коп. ; Cu-Ni ; AU ; 42 ; za-via ; 722 
 1574 ; 10 копеек ; 1944 ;  ; Ni ; VF-XF ; 29 ; AIK60 ; 2601 
 1575 ; 5 копеек. Деформация ; 1927 ;  ; Br ; VG ; 93 ; Vov ; 870 
 1576 ; 5 копеек ; 1934 ;  ; Br ; VF+ ; 81 ; klimvita ; 5508 
 1577 ; 3 копейки ; 1979 ; Л/с шт.20 коп.1973 ; Cu-Zn ; AU ; 50 ; dali ; 630 
 1578 ; 3 копейки ; 1979 ; Л/с шт.20 коп.1973 ; Cu-Zn ; AU ; 97 ; KolobovS ; 585 
 1579 ; 1 копейка ; 1930 ;  ; Br ; VF- ; 39 ; alex2209 ; 305 
 1580 ; 20 копеек. Аверс/Реверс 30 градусов ; 1931 ;  ; Ni ; VF ; 78 ; Lasto4kaSPB ; 173 
 1581 ; 1 рубль. Аверс/Реверс  90 градусов ; 1997 ;  ; Cu/Ni/Zn ; VF+ ; 56 ; Lasto4kaSPB ; 165 
 1582 ; 5 рублей. В конверте ; 1990 ; Успенский собор в Москве ; Cu-Ni ; Proof ; 54 ; Georgiy ; 473 
 1583 ; 1 рубль. В конверте ; 1975 ; 30 лет Победы в войне 1941-1945 ; Cu-Ni ; AU ; 7 ; vborisevich1 ; 111 
 1584 ; 1 рубль. Новодел. В конверте ; 1981 ; 20 лет полета в космос Ю.Гагарина ; Cu-Ni ; Proof ; 45 ; Harlock ; 513 
 1585 ; 1 рубль. В конверте ; 1983 ; 20 лет полета в космос В.Терешковой ; Cu-Ni ; Proof ; 45 ; lesnik1 ; 932 
 1586 ; 1 рубль. В конверте ; 1986 ; 275 лет со дня рождения М.В.Ломоносова ; Cu-Ni ; Proof ; 67 ; Harlock ; 1013 
 1587 ; 1 рубль. В конверте ; 1988 ; 160 лет со дня рождения А.Н.Толстого ; Cu-Ni ; Proof ; 58 ; Lasto4kaSPB ; 361 
