 251 ; Медаль. Майя Плисецкая. " D - 40mm ;  ;  ; Ag ; AU ; 35 ; Karhu ; 9000 
 2072 ; 20 копеек ; 1948 ;  ; Ni ; XF- ; 6 ; westof ; 26 
 2073 ; 20 копеек ; 1952 ;  ; Ni ; VF+ ; 15 ; madgestic ; 26 
 2074 ; 20 копеек ; 1953 ;  ; Ni ; VF+ ; 6 ; Юрий ; 24 
 2075 ; 20 копеек ; 1954 ;  ; Ni ; XF+ ; 26 ; каламбурчик ; 112 
 2076 ; 20 копеек ; 1954 ;  ; Ni ; VF+ ; 6 ; Юрий ; 24 
 2077 ; 15 копеек ; 1936 ;  ; Ni ; F-VF ; 34 ; r52andrey ; 53 
 2078 ; 15 копеек ; 1943 ;  ; Ni ; VF-XF ; 48 ; antiquar ; 104 
 2079 ; 15 копеек ; 1943 ;  ; Ni ; VF-XF ; 18 ; revun ; 83 
 2080 ; 15 копеек ; 1943 ;  ; Ni ; VF-XF ; 36 ; прыгун ; 104 
 2081 ; 15 копеек ; 1944 ;  ; Ni ; VF+ ; 45 ; застава ; 428 
 2082 ; 15 копеек ; 1944 ;  ; Ni ; VF+ ; 44 ; застава ; 411 
 2083 ; 15 копеек ; 1945 ;  ; Ni ; XF ; 35 ; Hada ; 157 
 2084 ; 15 копеек ; 1945 ;  ; Ni ; VF-XF ; 33 ; revun ; 133 
 2085 ; 15 копеек ; 1945 ;  ; Ni ; XF+ ; 15 ; Синица ; 184 
 2086 ; 15 копеек ; 1946 ;  ; Ni ; AU ; 47 ; 439 ; 215 
 2087 ; 15 копеек ; 1946 ;  ; Ni ; AU ; 39 ; Antromis ; 333 
 2088 ; 15 копеек ; 1946 ;  ; Ni ; XF+ ; 58 ; westof ; 67 
 1989 ; 1 копейка ; 1936 ;  ; Br ; F ; 23 ; don-juras ; 34 
 1990 ; 1 копейка ; 1936 ;  ; Br ; VF ; 24 ; das12 ; 81 
 1991 ; 1 копейка. Деформация ; 1941 ;  ; Br ; VF- ; 77 ; 2262н ; 104 
 1992 ; 1 копейка ; 1949 ;  ; Br ; F ; 4 ; С Урала ; 22 
 1993 ; 1 копейка ; 1952 ;  ; Br ; F-VF ; 11 ; das12 ; 39 
 1994 ; 1 копейка ; 1953 ;  ; Br ; AU ; 25 ; hugo ; 211 
 1995 ; 1 копейка ; 1954 ;  ; Br ; VF ; 6 ; das12 ; 27 
 1996 ; 1 копейка ; 1956 ;  ; Br ; VF+ ; 17 ; Ronald ; 101 
 1997 ; 1 копейка. Деформация ; 1957 ; В венке герба 15 лент ; Br ; VF ; 12 ; das12 ; 34 
 1998 ; 10 копеек ; 1956 ; В венке герба 16 лент ; Ni ; VF+ ; 11 ; westof ; 28 
 1999 ; 5 копеек ; 1952 ;  ; Br ; VF- ; 17 ; svo6oda ; 28 
 2000 ; 5 копеек ; 1973 ;  ; Cu-Zn ; VF ; 41 ; evgen177309 ; 221 
 2001 ; 2 копейки ; 1928 ;  ; Br ; VF- ; 28 ; SSS200 ; 38 
 2002 ; 1 копейка ; 1927 ;  ; Br ; VF+ ; 70 ; SSS200 ; 83 
 2003 ; 1 копейка ; 1951 ;  ; Br ; VF- ; 16 ; albar ; 72 
 2004 ; 1 копейка ; 1956 ;  ; Br ; VF+ ; 9 ; Ronald ; 32 
 2005 ; 20 копеек ; 1939 ;  ; Ni ; XF ; 10 ; termin111 ; 205 
 2006 ; 1 копейка ; 1939 ;  ; Br ; AU ; 95 ; hugo ; 208 
 2007 ; 50 копеек "50 лет Советской власти" ; 1967 ;  ; Cu/Ni ; VF ; 50 ; HristS ; 82 
 2008 ; 20 копеек ; 1939 ;  ; Ni ; XF+ ; 15 ; evgen177309 ; 206 
 2009 ; 1 копейка ; 1939 ;  ; Br ; XF+ ; 40 ; lgvspb ; 101 
 2010 ; 1 рубль ; 1991 ; ММД ; Cu-Ni ; XF ; 89 ; coins77 ; 175 
 2011 ; 1 рубль ; 1990 ;  ; Cu-Ni ; AU ; 62 ; карат ; 255 
 2012 ; 20 копеек ; 1939 ;  ; Ni ; XF ; 2 ; eugraphus ; 102 
 2013 ; 1 копейка ; 1939 ;  ; Br ; AU ; 30 ; veter 9 ; 94 
 2014 ; 20 копеек ; 1936 ; Л/с звезда плоская ; Ni ; VF- ; 20 ; eugraphus ; 31 
 2015 ; 20 копеек ; 1936 ; Л/с звезда плоская ; Ni ; VF- ; 28 ; Юрий ; 28 
 2016 ; 20 копеек ; 1954 ;  ; Ni ; VF ; 22 ; westof ; 40 
 2017 ; 10 копеек ; 1936 ;  ; Ni ; VF- ; 6 ; vladimir-sirke ; 59 
 2018 ; 5 копеек ; 1928 ;  ; Br ; VF ; 33 ; Ходор ; 290 
 2019 ; 5 копеек ; 1939 ;  ; Br ; VF ; 17 ; Ходор ; 365 
 2020 ; 3 копейки ; 1940 ;  ; Br ; VF+ ; 30 ; olga42 ; 55 
 2021 ; 3 копейки ; 1953 ;  ; Br ; F+ ; 8 ; С Урала ; 24 
 2022 ; 2 копейки ; 1940 ;  ; Br ; VF+ ; 8 ; HristS ; 51 
 2023 ; 5 копеек ; 1928 ;  ; Br ; F-VF ; 63 ; 2262н ; 150 
 2024 ; 5 копеек ; 1930 ;  ; Br ; VF- ; 36 ; nаtallli ; 53 
 2025 ; 5 копеек ; 1931 ;  ; Br ; F+ ; 36 ; nаtallli ; 36 
 2026 ; 5 копеек ; 1932 ;  ; Br ; F-VF ; 34 ; SSS200 ; 77 
 2027 ; 5 копеек ; 1939 ;  ; Br ; F ; 40 ; zid200 ; 129 
 2028 ; 5 копеек ; 1940 ;  ; Br ; F-VF ; 23 ; nаtallli ; 24 
 2029 ; 5 копеек ; 1943 ;  ; Br ; F ; 32 ; каспер ; 155 
 2030 ; 5 копеек ; 1946 ;  ; Br ; VF- ; 10 ; westof ; 41 
 2031 ; 5 копеек ; 1948 ;  ; Br ; F ; 34 ; nаtallli ; 119 
 2032 ; 5 копеек ; 1952 ;  ; Br ; F ; 17 ; nаtallli ; 36 
 2033 ; 5 копеек ; 1953 ;  ; Br ; F-VF ; 26 ; svo6oda ; 27 
 2034 ; 5 копеек ; 1954 ;  ; Br ; VF- ; 40 ; evgen177309 ; 41 
 2035 ; 3 копейки ; 1935 ; Л/с звезда фигурная ; Br ; F+ ; 29 ; Олег33 ; 216 
 2036 ; 3 копейки ; 1935 ;  ; Br ; F-VF ; 30 ; 1117 ; 193 
 2037 ; 3 копейки ; 1939 ;  ; Br ; VF- ; 35 ; termin111 ; 100 
 2038 ; 3 копейки ; 1940 ;  ; Br ; F-VF ; 76 ; olga42 ; 100 
 1939 ; 10 копеек ; 1946 ;  ; Ni ; VF ; 38 ; Ronald ; 101 
 1940 ; 10 копеек ; 1955 ;  ; Ni ; AU ; 49 ; joper69 ; 369 
 1941 ; 5 копеек ; 1946 ;  ; Br ; VF+ ; 5 ; westof ; 32 
 1942 ; 5 копеек ; 1953 ;  ; Br ; VF- ; 10 ; svo6oda ; 33 
 1943 ; 5 копеек ; 1954 ;  ; Br ; VF-XF ; 21 ; TMakc ; 51 
 1944 ; 5 копеек ; 1955 ;  ; Br ; VF+ ; 30 ; madgestic ; 39 
 1945 ; 5 копеек ; 1956 ;  ; Br ; VF+ ; 16 ; westof ; 51 
 1946 ; 5 копеек ; 1957 ; В венке герба 15 лент ; Br ; AU ; 42 ; joper69 ; 120 
 1947 ; 3 копейки ; 1929 ;  ; Br ; F-VF ; 25 ; kent01 ; 55 
 1948 ; 3 копейки ; 1952 ;  ; Br ; VF ; 56 ; Ronald ; 77 
 1949 ; 3 копейки ; 1954 ;  ; Br ; VF ; 56 ; Masik ; 77 
 1950 ; 3 копейки ; 1957 ; В венке герба 15 лент ; Br ; VF ; 15 ; Masik ; 32 
 1951 ; 2 копейки ; 1926 ;  ; Br ; VF- ; 12 ; Ronald ; 51 
 1952 ; 2 копейки ; 1930 ;  ; Br ; F-VF ; 45 ; 2262н ; 46 
 1953 ; 2 копейки ; 1932 ;  ; Br ; VF ; 13 ; termin111 ; 102 
 1954 ; 2 копейки ; 1934 ;  ; Br ; VF- ; 5 ; Юрий ; 40 
 1955 ; 2 копейки ; 1936 ;  ; Br ; VF- ; 3 ; westof ; 31 
 1956 ; 2 копейки ; 1946 ;  ; Br ; VF ; 7 ; olga42 ; 34 
 1957 ; 1 рубль ; 1961 ;  ; Cu-Ni ; XF- ; 18 ; 2262н ; 123 
 1958 ; 1 рубль ; 1961 ;  ; Cu-Ni ; XF ; 37 ; Ronald ; 128 
 1959 ; 1 рубль ; 1964 ;  ; Cu-Ni ; AU ; 23 ; TMakc ; 36 
 1960 ; 1 рубль ; 1966 ;  ; Cu-Ni ; AU ; 41 ; Egorka ; 468 
 1961 ; 1 рубль ; 1966 ;  ; Cu-Ni ; VF-XF ; 39 ; кошак ; 407 
 1962 ; 1 рубль ; 1969 ;  ; Cu-Ni ; XF- ; 15 ; карат ; 171 
 1963 ; 1 рубль ; 1969 ;  ; Cu-Ni ; AU ; 24 ; Вяч ; 229 
 1964 ; 1 рубль ; 1971 ;  ; Cu-Ni ; AU ; 57 ; Antromis ; 535 
 1965 ; 1 рубль ; 1972 ;  ; Cu-Ni ; XF- ; 22 ; Моряк-собиратель ; 404 
 1966 ; 1 рубль ; 1973 ;  ; Cu-Ni ; VF+ ; 19 ; Ходор ; 325 
 1967 ; 1 рубль ; 1974 ;  ; Cu-Ni ; XF ; 50 ; Вяч ; 334 
 1968 ; 1 рубль ; 1975 ;  ; Cu-Ni ; VF ; 35 ; termin111 ; 237 
 1969 ; 1 рубль ; 1976 ;  ; Cu-Ni ; VF+ ; 25 ; kent01 ; 254 
 1970 ; 1 рубль ; 1977 ;  ; Cu-Ni ; XF ; 24 ; cvet71 ; 285 
 1971 ; 1 рубль ; 1978 ;  ; Cu-Ni ; VF-XF ; 105 ; kent01 ; 317 
 1972 ; 1 рубль ; 1979 ;  ; Cu-Ni ; XF ; 18 ; сибиряк29 ; 371 
 1973 ; 1 рубль ; 1980 ;  ; Cu-Ni ; VF+ ; 98 ; kent01 ; 344 
 1974 ; 1 рубль ; 1981 ;  ; Cu-Ni ; AU ; 63 ; кошак ; 408 
 1975 ; 1 рубль ; 1981 ;  ; Cu-Ni ; XF+ ; 5 ; кошак ; 357 
 1976 ; 1 рубль ; 1982 ;  ; Cu-Ni ; AU ; 28 ; albar ; 420 
 1977 ; 1 рубль ; 1983 ;  ; Cu-Ni ; AU ; 65 ; orel ; 741 
 1978 ; 1 рубль ; 1985 ;  ; Cu-Ni ; XF ; 82 ; прыгун ; 184 
 1979 ; 1 рубль ; 1986 ;  ; Cu-Ni ; XF- ; 3 ; кошак ; 204 
 1980 ; 1 рубль ; 1987 ;  ; Cu-Ni ; AU ; 32 ; карат ; 497 
 1981 ; 1 рубль ; 1988 ;  ; Cu-Ni ; XF ; 19 ; крабик ; 179 
 1982 ; 1 рубль ; 1990 ;  ; Cu-Ni ; AU ; 106 ; 199z ; 204 
 1983 ; 5 копеек ; 1991 ; ММД ; Cu-Zn ; XF+ ; 19 ; orel ; 102 
 1984 ; 2 копейки. Упаковка ; 1986 ;  ; Cu-Zn ; AU ; 35 ; bonipari ; 33 
 1985 ; 20 копеек ; 1931 ;  ; Ni ; F-VF ; 32 ; Юрий ; 44 
 1986 ; 20 копеек. 50 лет Советской власти ; 1967 ;  ; Cu/Ni ; VF ; 44 ; HristS ; 65 
 1987 ; 15 копеек ; 1933 ;  ; Ni ; F-VF ; 35 ; СЁМА ; 46 
 1988 ; 10 копеек ; 1954 ;  ; Ni ; VF- ; 12 ; svo6oda ; 28 
 1889 ; 3 копейки ; 1935 ;  ; Br ; VF ; 35 ; прыгун ; 301 
 1890 ; 1 копейка ; 1951 ;  ; Br ; VF+ ; 2 ; 2262н ; 102 
 1891 ; 1 копейка ; 1936 ;  ; Br ; VF-XF ; 35 ; TMakc ; 36 
 1892 ; 20 копеек ; 1943 ; Л/с звезда плоская, шт. 20 коп. ; Ni ; VF ; 28 ; kott ; 77 
 1893 ; 15 копеек ; 1932 ;  ; Ni ; F ; 33 ; 224000 ; 46 
 1894 ; 3 копейки ; 1928 ;  ; Br ; VF ; 52 ; прыгун ; 146 
 1895 ; 3 копейки ; 1931 ;  ; Br ; VF- ; 32 ; off ; 45 
 1896 ; 1 рубль ; 1989 ;  ; Cu-Ni ; AU ; 36 ; 2262н ; 131 
 1897 ; 20 копеек ; 1931 ;  ; Ni ; VF-XF ; 41 ; westof ; 92 
 1898 ; 20 копеек ; 1932 ;  ; Ni ; VF-XF ; 21 ; 1117 ; 117 
 1899 ; 20 копеек ; 1933 ;  ; Ni ; XF-/AU ; 12 ; 1117 ; 172 
 1900 ; 20 копеек ; 1935 ; Л/с звезда плоская ; Ni ; XF ; 7 ; termin111 ; 169 
 1901 ; 20 копеек ; 1937 ; Л/с звезда плоская, шт. 20 коп. ; Ni ; VF- ; 93 ; СЁМА ; 152 
 1902 ; 20 копеек ; 1942 ; Л/с звезда плоская, шт. 20 коп. ; Ni ; VF+ ; 109 ; revun ; 266 
 1903 ; 20 копеек ; 1944 ;  ; Ni ; VF+ ; 93 ; termin111 ; 203 
 1904 ; 20 копеек ; 1952 ;  ; Ni ; AU ; 94 ; verunk1 ; 385 
 1905 ; 15 копеек ; 1943 ;  ; Ni ; VF ; 77 ; kol78 ; 105 
 1906 ; 15 копеек ; 1951 ;  ; Ni ; VF ; 25 ; Masik ; 189 
 1907 ; 15 копеек ; 1955 ;  ; Ni ; AU ; 68 ; каламбурчик ; 255 
 1908 ; 10 копеек ; 1934 ;  ; Ni ; VF ; 128 ; Синица ; 437 
 1909 ; 10 копеек ; 1936 ;  ; Ni ; VF ; 4 ; kim64 ; 183 
 1910 ; 10 копеек ; 1939 ;  ; Ni ; VF+ ; 36 ; antiquar ; 261 
 1911 ; 10 копеек ; 1950 ;  ; Ni ; VF-XF ; 41 ; Hada ; 102 
 1912 ; 10 копеек ; 1952 ;  ; Ni ; XF+ ; 26 ; dimass70 ; 80 
 1913 ; 10 копеек ; 1957 ; В венке герба 15 лент ; Ni ; XF ; 15 ; каламбурчик ; 32 
 1914 ; 10 копеек ; 1962 ;  ; Cu-Ni ; AU ; 58 ; verunk1 ; 132 
 1915 ; 5 копеек ; 1930 ;  ; Br ; VF- ; 11 ; krft ; 31 
 1916 ; 5 копеек ; 1931 ;  ; Br ; VF ; 39 ; madgestic ; 46 
 1917 ; 5 копеек ; 1936 ;  ; Br ; VF ; 35 ; peck ; 816 
 1918 ; 5 копеек ; 1938 ;  ; Br ; VF ; 93 ; peck ; 336 
 1919 ; 5 копеек ; 1949 ;  ; Br ; VF ; 55 ; termin111 ; 61 
 1920 ; 5 копеек. Деформация ; 1952 ;  ; Br ; VF- ; 2 ; С Урала ; 21 
 1921 ; 5 копеек ; 1953 ;  ; Br ; VF ; 18 ; termin111 ; 59 
 1922 ; 5 копеек ; 1954 ;  ; Br ; VF ; 20 ; 27 ; 21 
 1923 ; 5 копеек ; 1955 ;  ; Br ; VF ; 49 ; termin111 ; 50 
 1924 ; 5 копеек ; 1956 ;  ; Br ; XF- ; 46 ; Ronald ; 47 
 1925 ; 5 копеек ; 1957 ; В венке герба 15 лент ; Br ; XF- ; 18 ; Юбер ; 34 
 1926 ; 3 копейки ; 1943 ;  ; Br ; VF- ; 49 ; прыгун ; 57 
 1927 ; 1 копейка ; 1928 ;  ; Br ; XF ; 74 ; Vanomah ; 510 
 1928 ; 1 копейка ; 1929 ;  ; Br ; VF ; 57 ; grot ; 327 
 1929 ; 1 копейка ; 1934 ;  ; Br ; XF ; 99 ; каламбурчик ; 266 
 1930 ; 20 копеек ; 1933 ;  ; Ni ; XF ; 12 ; opaque ; 153 
 1931 ; 15 копеек ; 1952 ;  ; Ni ; XF+ ; 9 ; каламбурчик ; 102 
 1932 ; 15 копеек ; 1956 ;  ; Ni ; AU ; 14 ; каламбурчик ; 123 
 1933 ; 15 копеек ; 1979 ;  ; Cu-Ni ; XF+ ; 18 ; olga42 ; 38 
 1934 ; 15 копеек ; 1982 ;  ; Cu-Ni ; AU ; 6 ; сократ ; 28 
 1935 ; 15 копеек ; 1983 ;  ; Cu-Ni ; AU ; 5 ; сократ ; 28 
 1936 ; 10 копеек ; 1931 ;  ; Ni ; VF+ ; 52 ; dimass70 ; 344 
 1937 ; 10 копеек ; 1932 ;  ; Ni ; XF- ; 48 ; 2262н ; 102 
 1938 ; 10 копеек ; 1936 ;  ; Ni ; VF ; 30 ; kim64 ; 200 
 1839 ; 1 рубль ; 1979 ; Олимпиада 80.Обелиск покорителям космоса ; Cu-Ni ; AU ; 55 ; CVV68 ; 51 
 1840 ; 5 рублей ; 1989 ; Ансамбль Регистан в Самарканде ; Cu-Ni ; AU ; 54 ; Gorizn ; 248 
 1841 ; 1 рубль ; 1965 ; 20 лет победы над Германией ; Cu-Ni ; AU ; 42 ; aaa2009 ; 206 
 1842 ; 1 рубль ; 1967 ; 50 лет Советской власти ; Cu-Ni ; XF- ; 18 ; svo6oda ; 29 
 1843 ; 1 рубль ; 1975 ; 30 лет Победы в войне 1941-1945 ; Cu-Ni ; XF ; 29 ; svo6oda ; 26 
 1844 ; 1 рубль ; 1978 ; Олимпиада 80.Московский Кремль ; Cu-Ni ; XF- ; 46 ; CVV68 ; 61 
 1845 ; 1 рубль ; 1979 ; Олимпиада 80.Здание МГУ ; Cu-Ni ; XF- ; 55 ; HristS ; 80 
 1846 ; 1 рубль ; 1979 ; Олимпиада 80.Здание МГУ ; Cu-Ni ; XF- ; 37 ; купидон ; 34 
 1847 ; 1 рубль ; 1980 ; Олимпиада 80.Здание Моссовета ; Cu-Ni ; XF- ; 19 ; С Урала ; 34 
 1848 ; 1 рубль ; 1980 ; Олимпиада 80.Олимпийский факел ; Cu-Ni ; XF+ ; 37 ; TMakc ; 46 
 1849 ; 1 рубль ; 1982 ; 60 лет образования СССР ; Cu-Ni ; XF+ ; 18 ; sibons ; 210 
 1850 ; 1 рубль ; 1987 ; 175 лет Бородино (барельеф) ; Cu-Ni ; AU ; 29 ; HristS ; 84 
 1851 ; 1 рубль ; 1986 ; 275 лет со дня рождения М.В.Ломоносова ; Cu-Ni ; AU ; 32 ; Nikolay75 ; 117 
 1852 ; 1 рубль ; 1986 ; Международный год мира ; Cu-Ni ; XF- ; 24 ; Cuff ; 43 
 1853 ; 1 рубль ; 1965 ; 20 лет победы над Германией ; Cu-Ni ; Proof ; 53 ; SirTem ; 5000 
 1854 ; 1 рубль ; 1977 ; 60 лет Советской власти ; Cu-Ni ; Proof ; 51 ; ruslanrs ; 3060 
 1855 ; 1 рубль ; 1977 ; Олимпиада 80.Эмблема Олимпийских игр ; Cu-Ni ; Proof ; 46 ; Mikle777 ; 2348 
 1856 ; 1 рубль ; 1978 ; Олимпиада 80.Московский Кремль ; Cu-Ni ; Proof ; 31 ; kma1296svu ; 8670 
 1857 ; 1 рубль ; 1979 ; Олимпиада 80.Здание МГУ ; Cu-Ni ; Proof ; 29 ; Mikle777 ; 1321 
 1858 ; 1 рубль ; 1979 ; Олимпиада 80.Обелиск покорителям космоса ; Cu-Ni ; Proof ; 19 ; kma1296svu ; 1122 
 1859 ; 1 рубль ; 1980 ; Олимпиада 80.Здание Моссовета ; Cu-Ni ; Proof ; 37 ; fillin ; 1134 
 1860 ; 1 рубль ; 1980 ; Олимпиада 80.Олимпийский факел ; Cu-Ni ; Proof ; 35 ; fillin ; 1104 
 1861 ; 1 рубль. Новодел ; 1981 ; Дружба навеки ; Cu-Ni ; Proof ; 71 ; Harlock ; 913 
 1862 ; 1 рубль ; 1988 ; 160 лет со дня рождения А.Н.Толстого ; Cu-Ni ; Proof ; 80 ; Georgiy ; 123 
 1863 ; 1 рубль ; 1981 ; Дружба навеки ; Cu-Ni ; XF ; 51 ; molchun ; 147 
 1864 ; 3 рубля. Упаковка ; 1992 ; 750 лет победы А.Невского ; Cu-Ni ; Proof ; 14 ; купидон ; 225 
 1865 ; 1 рубль. Упаковка ; 1990 ; 150 лет со дня рождения П.И.Чайковского ; Cu-Ni ; Proof ; 96 ; kma1296svu ; 168 
 1866 ; 1 рубль ; 1981 ; 20 лет полета в космос Ю.Гагарина ; Cu-Ni ; Proof ; 87 ; stanla ; 1351 
 1867 ; 1 рубль ; 1985 ; 40 лет Победы над Германией ; Cu-Ni ; Proof ; 78 ; kma1296svu ; 1164 
 1868 ; 1 рубль ; 1993 ; 100 лет со дня рождения В.В.Маяковского ; Cu-Ni ; Proof ; 37 ; Mikle777 ; 1746 
 1869 ; 1 рубль ; 1970 ; 100 лет со дня рождения В.И.Ленина ; Cu-Ni ; XF ; 18 ; Gorizn ; 18 
 1870 ; 3 рубля. Упаковка ; 1992 ; 750 лет победы А.Невского ; Cu-Ni ; Proof ; 43 ; д166 ; 234 
 1871 ; 1 рубль. Упаковка ; 1990 ; 150 лет со дня рождения П.И.Чайковского ; Cu-Ni ; Proof ; 85 ; elefant1965 ; 129 
 1872 ; 1 рубль ; 1977 ;  ; Cu-Ni ; AU ; 37 ; verunk1 ; 416 
 1873 ; 1 рубль ; 1979 ;  ; Cu-Ni ; AU ; 13 ; Ходор ; 555 
 1874 ; 1 рубль ; 1980 ;  ; Cu-Ni ; AU ; 44 ; Ходор ; 558 
 1875 ; 50 копеек ; 1979 ;  ; Cu-Ni ; VF ; 17 ; svo6oda ; 16 
 1876 ; 50 копеек ; 1981 ;  ; Cu-Ni ; VF ; 28 ; polisaharid ; 32 
 1877 ; 50 копеек ; 1982 ;  ; Cu-Ni ; VF ; 18 ; TMakc ; 16 
 1878 ; 50 копеек ; 1985 ;  ; Cu-Ni ; VF ; 14 ; С Урала ; 32 
 1879 ; 50 копеек ; 1986 ;  ; Cu-Ni ; VF-XF ; 6 ; Harlock ; 36 
 1880 ; 50 копеек ; 1967 ;  ; Cu-Ni ; XF ; 75 ; Egorka ; 357 
 1881 ; 5 копеек ; 1932 ;  ; Br ; VF ; 13 ; Doca ; 227 
 1882 ; 5 копеек ; 1938 ;  ; Br ; VF- ; 13 ; карат ; 255 
 1883 ; 20 копеек ; 1943 ; Л/с звезда плоская, шт. 20 коп. ; Ni ; VF ; 39 ; Vanomah ; 69 
 1884 ; 15 копеек ; 1945 ;  ; Ni ; VF- ; 45 ; olga42 ; 77 
 1885 ; 15 копеек ; 1946 ;  ; Ni ; VF ; 28 ; westof ; 46 
 1886 ; 15 копеек ; 1952 ;  ; Ni ; VF+ ; 55 ; Masik ; 57 
 1887 ; 3 копейки ; 1932 ;  ; Br ; F-VF ; 22 ; svo6oda ; 31 
 1888 ; 3 копейки ; 1934 ;  ; Br ; VF ; 36 ; antiquar ; 242 
 1789 ; 1 рубль ; 1985 ; 165 лет со дня рождения Ф.Энгельса ; Cu-Ni ; Proof ; 95 ; evgen177309 ; 1029 
 1790 ; 1 рубль ; 1986 ; Международный год мира ; Cu-Ni ; Proof ; 38 ; 104 кг ; 1102 
 1791 ; 3 рубля ; 1993 ; 50 лет победы на Курской дуге ; Cu-Ni ; Proof ; 15 ; karnishon1 ; 300 
 1792 ; 5 рублей. Упаковка ; 1990 ; Большой дворец в Петродворце ; Cu-Ni ; Proof ; 8 ; myx ; 204 
 1793 ; 1 рубль ; 1967 ; 50 лет Советской власти ; Cu-Ni ; AU ; 36 ; rsmmm ; 69 
 1794 ; 1 рубль ; 1975 ; 30 лет Победы в войне 1941-1945 ; Cu-Ni ; AU ; 48 ; TMakc ; 46 
 1795 ; 1 рубль ; 1975 ; 30 лет Победы в войне 1941-1945 ; Cu-Ni ; AU ; 57 ; Papa Smurf ; 120 
 1796 ; 1 рубль ; 1977 ; 60 лет Советской власти ; Cu-Ni ; AU ; 18 ; С Урала ; 43 
 1797 ; 1 рубль ; 1978 ; Олимпиада 80.Московский Кремль ; Cu-Ni ; AU ; 61 ; Foreigner ; 89 
 1798 ; 1 рубль ; 1985 ; 40 лет Победы над Германией ; Cu-Ni ; Proof ; 30 ; evgen177309 ; 934 
 1799 ; 1 рубль ; 1985 ; 115 лет со дня рождения В.И.Ленина ; Cu-Ni ; Proof ; 89 ; Mikle777 ; 1181 
 1800 ; 1 рубль ; 1987 ; 175 лет Бородино (обелиск) ; Cu-Ni ; AU ; 24 ; HristS ; 116 
 1801 ; 1 рубль ; 1987 ; 175 лет Бородино (барельеф) ; Cu-Ni ; AU ; 18 ; Harlock ; 102 
 1802 ; 5 рублей. В капсуле ; 1992 ; Мавзолей-мечеть Ахмеда Ясави ; Cu-Ni ; Proof ; 28 ; Gorizn ; 393 
 1803 ; 3 рубля ; 1989 ; Землятресение в Армении ; Cu-Ni ; XF ; 45 ; CVV68 ; 96 
 1804 ; 1 рубль ; 1977 ; 60 лет Советской власти ; Cu-Ni ; XF- ; 10 ; С Урала ; 37 
 1805 ; 1 рубль ; 1979 ; Олимпиада 80.Здание МГУ ; Cu-Ni ; XF- ; 43 ; CVV68 ; 77 
 1806 ; 1 рубль ; 1980 ; Олимпиада 80.Олимпийский факел ; Cu-Ni ; XF- ; 19 ; купидон ; 34 
 1807 ; 1 рубль ; 1981 ; Дружба навеки ; Cu-Ni ; XF- ; 67 ; jimmysu ; 119 
 1808 ; 1 рубль ; 1981 ; 20 лет полета в космос Ю.Гагарина ; Cu-Ni ; XF ; 14 ; SSS200 ; 58 
 1809 ; 1 рубль ; 1985 ; 40 лет Победы над Германией ; Cu-Ni ; AU ; 26 ; svo6oda ; 53 
 1810 ; 1 рубль ; 1985 ; Фестиваль молодежи и студентов в Москве ; Cu-Ni ; XF ; 19 ; С Урала ; 35 
 1811 ; 1 рубль ; 1986 ; Международный год мира ; Cu-Ni ; AU ; 10 ; CVV68 ; 43 
 1812 ; 1 рубль ; 1987 ; 175 лет Бородино (обелиск) ; Cu-Ni ; XF+ ; 42 ; Harlock ; 50 
 1813 ; 1 рубль ; 1987 ; 175 лет Бородино (барельеф) ; Cu-Ni ; AU ; 32 ; Harlock ; 53 
 1814 ; 1 рубль ; 1989 ; 100 лет со дня рождения Ниязи ; Cu-Ni ; XF ; 57 ; sibons ; 219 
 1815 ; 1 рубль ; 1990 ; Маршал СССР Г.К.Жуков ; Cu-Ni ; AU ; 24 ; Nikolay75 ; 248 
 1816 ; 1 рубль ; 1991 ; 100 лет со дня рождения С.Прокофьева ; Cu-Ni ; XF+ ; 14 ; docentatk ; 55 
 1817 ; 1 рубль ; 1991 ; 550 лет со дня рождения А.Навои ; Cu-Ni ; XF ; 28 ; Gorizn ; 107 
 1818 ; 5 рублей. Упаковка ; 1990 ; Успенский собор в Москве ; Cu-Ni ; Proof ; 81 ; jimmysu ; 111 
 1819 ; 3 рубля. Упаковка ; 1992 ; 750 лет победы А.Невского ; Cu-Ni ; Proof ; 100 ; joper69 ; 273 
 1820 ; 3 рубля. Упаковка ; 1994 ; Партизаны в ВОВ ; Cu-Ni ; Proof ; 83 ; molchun ; 363 
 1821 ; 1 рубль. Упаковка ; 1989 ; 175 лет со дня рождения Т.Г.Шевченко ; Cu-Ni ; Proof ; 45 ; vladm804 ; 153 
 1822 ; 1 рубль. Упаковка ; 1990 ; 150 лет со дня рождения П.И.Чайковского ; Cu-Ni ; Proof ; 15 ; Дядя Саша ; 131 
 1823 ; 1 рубль. Упаковка ; 1991 ; 550 лет со дня рождения А.Навои ; Cu-Ni ; Proof ; 16 ; myx ; 119 
 1824 ; 1 рубль ; 1984 ; 185 лет со дня рождения А.С.Пушкина ; Cu-Ni ; AU ; 33 ; CVV68 ; 111 
 1825 ; 1 рубль ; 1991 ; Махтумкули ; Cu-Ni ; AU ; 95 ; Nikolay75 ; 209 
 1826 ; 1 рубль ; 1975 ; 30 лет Победы в войне 1941-1945 ; Cu-Ni ; XF ; 10 ; svo6oda ; 29 
