 5644 ; Бона иностранная. Греция ;  ;  ;  ;  ; 7 ; sifirot ; 35 
 2630 ; Набор монет Банка России:5, 2,1 руб 50,10,5,1 коп (7шт). Буклет ; 2008ММД ;  ; Cu-Ni,Cu-Ni-St ; AU ; 25 ; sotnik ; 673 
 2631 ; Набор монет Банка России:5, 2,1 руб 50,10,5,1 коп (7шт). Буклет ; 2008ММД ;  ; Cu-Ni,Cu-Ni-St ; AU ; 23 ; Mikl2015 ; 793 
 2632 ; Набор монет Банка России:5, 2,1 руб 50,10,5,1 коп (7шт). Буклет ; 2008ММД ;  ; Cu-Ni,Cu-Ni-St ; AU ; 25 ; sotnik ; 738 
 2633 ; Набор монет Банка России (6шт): 5р,2р,1р, 50к,10к+Жетон. В буклете ; 2010СПМД ;  ; Cu/Ni,Cu/Zn ; AU ; 15 ; sotnik ; 839 
 2634 ; Набор разменных монет России (6шт): 10,5,2,1руб,50,10коп + жетон. Буклет ; 2011 ;  ; б/м,ж/м ; AU ; 37 ; sotnik ; 1001 
 2635 ; Набор монет Банка России: 10,5, 2,1 руб 50,10 коп (6шт)+ жетон. Буклет ; 2012 ;  ; Ni/St,Лат/St ; AU ; 26 ; кабан2001 ; 1389 
 2536 ; 10 копеек ; 1956 ; В венке герба 16 лент ; Ni ; VF-XF ; 6 ; Nastrom ; 27 
 2537 ; 10 копеек ; 1946 ;  ; Ni ; VF-XF ; 17 ; pos ; 27 
 2538 ; 20 копеек ; 1935 ; Л/с звезда плоская ; Ni ; VF ; 8 ; л842 ; 100 
 2539 ; 20 копеек ; 1940 ; Л/с звезда плоская, шт. 20 коп. ; Ni ; VF+ ; 7 ; KonstantinK ; 55 
 2540 ; 20 копеек ; 1939 ;  ; Ni ; VF+ ; 9 ; karrus ; 153 
 2541 ; 20 копеек ; 1932 ;  ; Ni ; F-VF ; 9 ; .dowjik ; 87 
 2542 ; 20 копеек ; 1946 ; Л/с звезда плоская, шт. 20 коп. ; Ni ; VF+ ; 7 ; alexkz2010 ; 29 
 2543 ; 20 копеек ; 1949 ;  ; Ni ; VF+ ; 7 ; Враг ; 30 
 2544 ; 20 копеек ; 1949 ;  ; Ni ; XF ; 23 ; alexeyre ; 79 
 2545 ; 20 копеек ; 1954 ;  ; Ni ; VF- ; 27 ; veektor ; 26 
 2546 ; 20 копеек ; 1952 ;  ; Ni ; XF ; 19 ; Westin ; 40 
 2547 ; 15 копеек ; 1933 ;  ; Ni ; VF ; 22 ; murman ; 128 
 2548 ; 15 копеек ; 1957 ; В венке герба 15 лент ; Ni ; VF-XF ; 12 ; buben ; 12 
 2549 ; 15 копеек ; 1939 ;  ; Ni ; VF- ; 7 ; murman ; 55 
 2550 ; 10 копеек ; 1955 ;  ; Ni ; XF- ; 38 ; veektor ; 44 
 2551 ; 10 копеек ; 1954 ;  ; Ni ; XF ; 7 ; Shera ; 26 
 2552 ; 10 копеек ; 1931 ;  ; Ni ; VF ; 16 ; KonstantinK ; 301 
 2553 ; 10 копеек ; 1950 ;  ; Ni ; VF+ ; 11 ; alexkz2010 ; 59 
 2554 ; 10 копеек ; 1953 ;  ; Ni ; VF+ ; 10 ; ДУНКАН МАКЛАУД ; 51 
 2555 ; 10 копеек ; 1935 ;  ; Сu-Ni ; VF-XF ; 16 ; Дмитрий475 ; 194 
 2556 ; 10 копеек ; 1932 ;  ; Ni ; VF+ ; 5 ; nik2678 ; 71 
 2557 ; 10 копеек ; 1939 ;  ; Ni ; VF+ ; 16 ; karrus ; 308 
 2558 ; 10 копеек ; 1957 ; В венке герба 15 лент ; Ni ; XF ; 19 ; sub215 ; 36 
 2559 ; 10 копеек ; 1946 ;  ; Ni ; VF ; 6 ; pos ; 31 
 2560 ; 10 копеек ; 1933 ;  ; Ni ; F+ ; 4 ; nik2678 ; 31 
 2561 ; 15 копеек ; 1954 ;  ; Ni ; VF-XF ; 14 ; pos ; 28 
 2562 ; 15 копеек ; 1933 ;  ; Ni ; VF ; 9 ; murman ; 77 
 2563 ; 15 копеек ; 1938 ;  ; Ni ; VF ; 17 ; pos ; 128 
 2564 ; 15 копеек ; 1943 ;  ; Ni ; VF-XF ; 23 ; Mikl2015 ; 101 
 2565 ; 15 копеек ; 1952 ;  ; Ni ; XF- ; 25 ; AntonOm ; 42 
 2566 ; 15 копеек ; 1935 ;  ; Ni ; VF ; 13 ; murman ; 123 
 2567 ; 15 копеек ; 1936 ;  ; Ni ; VF ; 15 ; Александр974 ; 54 
 2568 ; 15 копеек ; 1950 ;  ; Ni ; VF+ ; 10 ; veektor ; 32 
 2569 ; 15 копеек ; 1932 ;  ; Ni ; XF- ; 15 ; maner73 ; 255 
 2570 ; 15 копеек ; 1941 ;  ; Ni ; VF ; 9 ; AntonOm ; 101 
 2571 ; 15 копеек ; 1940 ;  ; Ni ; VF+ ; 12 ; AntonOm ; 72 
 2572 ; Альбом монет "Памятные десятирублевые монеты России" (15шт) ; 2005-2015 ;  ; би/м ; AU ; 36 ; se170661 ; 371 
 2573 ; Альбом монет "200-летие победы России в Отечественной войне 1812года" (27шт): 10руб,5руб,2руб ; 2012 ;  ; б/м,Жм ; AU ; 40 ; se170661 ; 411 
 2574 ; Альбом монет "70 лет Победы" (21шт): 10руб,5руб ; 2015 ;  ; би/м,б/м ; XF/AU ; 43 ; se170661 ; 749 
 2575 ; Альбом памятных монет "Города воинской славы" (47шт): 10 рублей ; 2010-2015 ;  ; ж/м ; AU ; 49 ; Гарыныч ; 909 
 2576 ; Альбом памятных монет "Города воинской славы" (21шт): 10 рублей ; 2011-2014 ;  ; жм ; AU ; 43 ; elka ; 510 
 2577 ; Набор монет СССР (Олимпиада): 1 руб (6шт). Коробка ; 1977-1980 ;  ; Cu-Ni ; AU ; 31 ; ♂ ; 1700 
 2578 ; Набор жетонов Шпицберген " 80 лет арктикуголь" (5шт): 50к,20к,15к,10к+Жетон. В буклете ; СПМД ;  ; Ж/м,Б/м ; XF+/AU ; 20 ; cond ; 3625 
 2579 ; Лот монет Банка России: 1,5 копеек (52шт). В буклете ; 1997-2014 ;  ; Ni/St ; VF+/AU ; 32 ; electra ; 770 
 2580 ; Альбом монет "Монеты современной России" (52шт): 5коп,1коп ; 1997-2009 ;  ; б/м ; VF/AU ; 70 ; ooooo1961 ; 572 
 2581 ; Альбом монет России "Современные копейки" (68шт): 10коп,50коп ; 1997-2014 ;  ; жм ; VF-/XF ; 20 ; electra ; 476 
 2582 ; Набор монет Банка России: 10, 2 рубля (2шт). 40 лет первого полета человека в космос. В буклете ; 2001 ;  ; Cu-Ni,Би/м ; AU ; 25 ; sotnik ; 1473 
 2583 ; 25 рублей. Олимпиада в Сочи. Упаковка ; 2014 ;  ; Cu-Ni ; Unc ; 40 ; asus ; 1020 
 2584 ; Набор монет Банка России (города герои и 55 лет Победы): 10,2 руб (8шт). Пластиковая упаковка ; 2000 ;  ; Cu-Ni,Би/м ; AU ; 11 ; Alex3331 ; 1500 
 2585 ; 5 рублей. Русское географическое общество ; 2015 ;  ; лат/St ; AU ; 19 ; asus ; 93 
 2486 ; 1 копейка ; 1950 ;  ; Br ; VF ; 28 ; karrus ; 298 
 2487 ; 1 копейка ; 1975 ;  ; Cu-Zn ; XF+ ; 5 ; avilych ; 16 
 2488 ; 1 копейка ; 1977 ;  ; Cu-Zn ; XF+ ; 5 ; avilych ; 36 
 2489 ; 3 копейки ; 1941 ;  ; Br ; VF+ ; 38 ; AntonOm ; 84 
 2490 ; 2 копейки ; 1977 ;  ; Cu-Zn ; AU ; 23 ; alexeyre ; 257 
 2491 ; 5 рублей ; 1991 ; ММД ; Cu-Ni ; VF ; 23 ; Kostet2008 ; 132 
 2492 ; 1 рубль ; 1992 ; ММД ; Fe в Cu-Zn ; XF- ; 31 ; alexeyre ; 172 
 2493 ; 5 рублей ; 1992 ; ММД ; Fe в Cu-Zn ; XF- ; 28 ; murman ; 174 
 2494 ; 3 копейки ; 1977 ;  ; Cu-Zn ; AU ; 26 ; avilych ; 157 
 2495 ; 3 копейки ; 1975 ;  ; Cu-Zn ; AU ; 26 ; Alex821 ; 147 
 2496 ; 2 копейки ; 1975 ;  ; Cu-Zn ; AU ; 26 ; rolan1 ; 100 
 2497 ; 2 копейки ; 1957 ; В венке герба 15 лент ; Br ; VF+ ; 15 ; kornum ; 84 
 2498 ; 2 копейки ; 1989 ;  ; Cu-Zn ; AU ; 26 ; Alex821 ; 72 
 2499 ; 2 копейки ; 1945 ;  ; Br ; VF ; 9 ; ZEN ; 255 
 2500 ; 2 копейки ; 1941 ;  ; Br ; VF ; 27 ; 234 ; 327 
 2501 ; 2 копейки ; 1940 ;  ; Br ; VF ; 5 ; ZEN ; 27 
 2502 ; 1 копейка ; 1952 ;  ; Br ; XF+ ; 7 ; ZEN ; 82 
 2503 ; 1 копейка ; 1933 ;  ; Br ; F-VF ; 5 ; ZEN ; 71 
 2504 ; 10 копеек ; 1932 ;  ; Ni ; XF- ; 42 ; Pionier ; 206 
 2505 ; 10 копеек ; 1949 ;  ; Ni ; VF ; 35 ; Александр974 ; 53 
 2506 ; 3 копейки ; 1928 ;  ; Br ; VF ; 28 ; AntonOm ; 126 
 2507 ; 3 копейки ; 1941 ;  ; Br ; VF ; 39 ; dali ; 59 
 2508 ; 2 копейки ; 1941 ;  ; Br ; XF ; 23 ; 234 ; 317 
 2509 ; 1 рубль. Упаковка ; 1988 ;  ; Cu-Ni ; AU ; 10 ; USS ; 214 
 2510 ; 3 копейки ; 1962 ;  ; Cu-Zn ; VF- ; 19 ; мотыль ; 206 
 2511 ; 50 копеек ; 1991 ; ММД ; Cu-Ni ; XF+ ; 18 ; sub215 ; 114 
 2512 ; 5 копеек ; 1991 ; ММД ; Cu-Zn ; XF+ ; 4 ; avilych ; 23 
 2513 ; 3 копейки ; 1966 ;  ; Cu-Zn ; VF- ; 32 ; murman ; 253 
 2514 ; 3 копейки ; 1975 ;  ; Cu-Zn ; VF- ; 7 ; EAL34 ; 68 
 2515 ; 20 копеек. 50 лет Советской власти ; 1967 ;  ; Cu-Ni ; XF ; 36 ; nik2678 ; 75 
 2516 ; 1 копейка ; 1929 ;  ; Br ; F+ ; 25 ; murman ; 159 
 2517 ; 20 копеек ; 1931 ;  ; Ni ; F+ ; 14 ; кузяка ; 30 
 2518 ; 1 копейка ; 1930 ;  ; Br ; F+ ; 24 ; n550rk ; 225 
 2519 ; 10 копеек ; 1931 ;  ; Ni ; VF- ; 13 ; Skilfulsun ; 182 
 2520 ; 5 рублей ; 1991 ; ММД ; Cu-Ni ; VF+ ; 24 ; сортам70 ; 134 
 2521 ; 10 копеек. 50 лет Советской власти ; 1967 ;  ; Cu-Ni ; XF ; 29 ; Antares ; 156 
 2522 ; 5 копеек ; 1930 ;  ; Br ; VF- ; 10 ; 312 ; 11 
 2523 ; 3 копейки ; 1931 ;  ; Br ; VF ; 16 ; veektor ; 40 
 2524 ; 2 копейки ; 1928 ;  ; Br ; VF+ ; 40 ; 234 ; 84 
 2525 ; 1 копейка ; 1926 ;  ; Br ; F-VF ; 11 ; ewgen ; 118 
 2526 ; 1 копейка ; 1928 ;  ; Br ; VF+ ; 40 ; 234 ; 363 
 2527 ; 1 копейка ; 1927 ;  ; Br ; F+ ; 19 ; AntonOm ; 72 
 2528 ; 10 копеек ; 1952 ;  ; Ni ; VF+ ; 12 ; alexkz2010 ; 32 
 2529 ; 10 копеек ; 1957 ; В венке герба 15 лент ; Ni ; XF ; 46 ; sub215 ; 115 
 2530 ; 10 копеек ; 1953 ;  ; Ni ; XF ; 11 ; pos ; 36 
 2531 ; 10 копеек ; 1955 ;  ; Ni ; XF ; 22 ; gremlyn ; 29 
 2532 ; 10 копеек ; 1949 ;  ; Ni ; VF+ ; 13 ; Kostet2008 ; 53 
 2533 ; 10 копеек ; 1952 ;  ; Ni ; VF-XF ; 6 ; dali ; 53 
 2534 ; 10 копеек ; 1951 ;  ; Ni ; VF+ ; 39 ; karrus ; 363 
 2535 ; 10 копеек ; 1954 ;  ; Ni ; XF ; 11 ; murman ; 49 
 2436 ; 3 копейки ; 1956 ;  ; Br ; VF+ ; 19 ; avilych ; 41 
 2437 ; 3 копейки ; 1957 ; В венке герба 15 лент ; Br ; VF+ ; 32 ; electra ; 115 
 2438 ; 3 копейки ; 1961 ;  ; Cu-Zn ; VF-XF ; 2 ; Аристон ; 3 
 2439 ; 3 копейки ; 1962 ;  ; Cu-Zn ; VF ; 19 ; Snikers ; 197 
 2440 ; 3 копейки ; 1965 ;  ; Cu-Zn ; XF+ ; 49 ; taa ; 687 
 2441 ; 3 копейки ; 1966 ;  ; Cu-Zn ; VF ; 13 ; murman ; 124 
 2442 ; 3 копейки ; 1967 ;  ; Cu-Zn ; XF+ ; 32 ; EAL34 ; 126 
 2443 ; 3 копейки ; 1968 ;  ; Cu-Zn ; XF+ ; 45 ; avilych ; 153 
 2444 ; 3 копейки ; 1969 ;  ; Cu-Zn ; XF+ ; 29 ; EAL34 ; 115 
 2445 ; 3 копейки ; 1970 ;  ; Cu-Zn ; AU ; 25 ; dali ; 203 
 2446 ; 3 копейки ; 1972 ;  ; Cu-Zn ; AU ; 29 ; agent 007 ; 114 
 2447 ; 3 копейки ; 1973 ;  ; Cu-Zn ; AU ; 25 ; djham ; 132 
 2448 ; 3 копейки ; 1971 ;  ; Cu-Zn ; AU ; 62 ; anders1971 ; 135 
 2449 ; 3 копейки ; 1974 ;  ; Cu-Zn ; AU ; 31 ; avilych ; 142 
 2450 ; 3 копейки ; 1975 ;  ; Cu-Zn ; XF ; 10 ; rolan1 ; 18 
 2451 ; 15 копеек ; 1943 ;  ; Ni ; F ; 55 ; alexkz2010 ; 68 
 2452 ; 15 копеек ; 1945 ;  ; Ni ; VF+ ; 13 ; agent 007 ; 115 
 2453 ; 15 копеек ; 1946 ;  ; Ni ; VF+ ; 22 ; alexkz2010 ; 35 
 2454 ; 10 копеек ; 1936 ;  ; Сu-Ni ; F-VF ; 11 ; л842 ; 89 
 2455 ; 10 копеек ; 1935 ;  ; Сu-Ni ; VF-XF ; 25 ; Rober ; 425 
 2456 ; 15 копеек ; 1948 ;  ; Ni ; XF ; 23 ; .dowjik ; 41 
 2457 ; 5 копеек ; 1940 ;  ; Br ; VF+ ; 21 ; AntonOm ; 118 
 2458 ; 10 копеек ; 1946 ;  ; Ni ; VF ; 7 ; puhetv ; 27 
 2459 ; 5 копеек ; 1946 ;  ; Br ; VF ; 7 ; сopnoк ; 27 
 2460 ; 5 копеек ; 1949 ;  ; Br ; F ; 5 ; avilych ; 27 
 2461 ; 5 копеек ; 1955 ;  ; Br ; VF ; 16 ; Александр974 ; 59 
 2462 ; 5 копеек ; 1955 ;  ; Br ; VF- ; 11 ; sergeyklimoff ; 50 
 2463 ; 3 копейки ; 1932 ;  ; Br ; F ; 6 ; alexkz2010 ; 28 
 2464 ; 3 копейки ; 1943 ;  ; Br ; VF ; 10 ; avilych ; 45 
 2465 ; 2 копейки ; 1931 ;  ; Br ; F+ ; 17 ; avilych ; 37 
 2466 ; 2 копейки ; 1932 ;  ; Br ; F ; 5 ; Олег 22 ; 27 
 2467 ; 2 копейки ; 1936 ;  ; Br ; F ; 20 ; avilych ; 38 
 2468 ; 2 копейки ; 1937 ;  ; Br ; F ; 13 ; veektor ; 34 
 2469 ; 1 копейка ; 1928 ;  ; Br ; VF- ; 7 ; alexkz2010 ; 57 
 2470 ; 1 копейка ; 1932 ;  ; Br ; F+ ; 19 ; nik2678 ; 68 
 2471 ; 2 копейки ; 1949 ;  ; Br ; F ; 7 ; avilych ; 33 
 2472 ; 1 копейка ; 1936 ;  ; Br ; F+ ; 12 ; stabs ; 27 
 2473 ; 1 копейка ; 1937 ;  ; Br ; VF-XF ; 15 ; KonstantinK ; 95 
 2474 ; 1 копейка ; 1933 ;  ; Br ; F ; 20 ; alexkz2010 ; 57 
 2475 ; 1 копейка ; 1964 ;  ; Cu-Zn ; VF+ ; 19 ; Ser_doh ; 209 
 2476 ; 1 копейка ; 1951 ;  ; Br ; VF+ ; 39 ; Oleg73 ; 172 
 2477 ; 1 копейка ; 1945 ;  ; Br ; F-VF ; 46 ; AntonOm ; 300 
 2478 ; 10 копеек ; 1941 ;  ; Ni ; F- ; 53 ; безик ; 189 
 2479 ; 1 рубль ; 1990 ;  ; Cu-Ni ; VF-XF ; 28 ; Oleg73 ; 165 
 2480 ; 1 рубль ; 1991 ; ЛМД ; Cu-Ni ; XF ; 34 ; murman ; 192 
 2481 ; 1 рубль ; 1975 ;  ; Cu-Ni ; VF+ ; 54 ; KonstantinK ; 1200 
 2482 ; 5 копеек ; 1986 ;  ; Cu-Zn ; XF+ ; 7 ; mechanik ; 22 
 2483 ; Жетон ЛМД ;  ;  ; Al ; XF+ ; 18 ; nik2678 ; 55 
 2484 ; 15 копеек ; 1932 ;  ; Ni ; VF-XF ; 24 ; maner73 ; 183 
 2485 ; 1 копейка ; 1941 ;  ; Br ; VF+ ; 43 ; AntonOm ; 383 
 2386 ; 1 копейка ; 1939 ;  ; Br ; VF+ ; 32 ; 234 ; 77 
 2387 ; 1 копейка ; 1940 ;  ; Br ; VF-XF ; 13 ; gelo ; 88 
 2388 ; 1 копейка ; 1941 ;  ; Br ; VF+ ; 50 ; karrus ; 367 
 2389 ; 1 копейка ; 1946 ;  ; Br ; XF- ; 13 ; KonstantinK ; 84 
 2390 ; 1 копейка ; 1948 ;  ; Br ; VF-XF ; 25 ; KonstantinK ; 113 
 2391 ; 1 копейка ; 1949 ;  ; Br ; XF ; 15 ; avilych ; 41 
 2392 ; 3 копейки ; 1957 ; В венке герба 15 лент ; Br ; VF ; 6 ; sub215 ; 29 
 2393 ; 3 копейки ; 1940 ;  ; Br ; VF- ; 7 ; alexkz2010 ; 29 
 2394 ; 3 копейки ; 1929 ;  ; Br ; VF ; 6 ; gelo ; 40 
 2395 ; 3 копейки ; 1954 ;  ; Br ; VF+ ; 15 ; Гарыныч ; 306 
 2396 ; 3 копейки ; 1950 ;  ; Br ; F-VF ; 5 ; avilych ; 41 
 2397 ; 3 копейки ; 1936 ; Л/с звезда фигурная ; Br ; F-VF ; 7 ; collector64 ; 29 
 2398 ; 3 копейки ; 1935 ;  ; Br ; VF+ ; 9 ; avilych ; 118 
 2399 ; 3 копейки ; 1956 ;  ; Br ; VF+ ; 3 ; avilych ; 31 
 2400 ; 3 копейки ; 1938 ;  ; Br ; VF+ ; 8 ; collector64 ; 30 
 2401 ; 3 копейки ; 1943 ;  ; Br ; VF- ; 3 ; avilych ; 51 
 2402 ; 2 копейки ; 1939 ;  ; Br ; F+ ; 54 ; alexkz2010 ; 59 
 2403 ; 2 копейки ; 1935 ;  ; Br ; VF- ; 8 ; rolan1 ; 128 
 2404 ; 2 копейки ; 1955 ;  ; Br ; XF- ; 45 ; taa ; 84 
 2405 ; 2 копейки ; 1936 ;  ; Br ; VF ; 14 ; avilych ; 102 
 2406 ; 2 копейки ; 1953 ;  ; Br ; VF- ; 9 ; alexkz2010 ; 31 
 2407 ; 2 копейки ; 1937 ;  ; Br ; VF- ; 7 ; Vanomah ; 27 
 2408 ; 2 копейки ; 1926 ;  ; Br ; VF ; 7 ; alexkz2010 ; 27 
 2409 ; 2 копейки ; 1940 ;  ; Br ; VF+ ; 22 ; 234 ; 115 
 2410 ; 2 копейки ; 1963 ;  ; Cu-Zn ; VF ; 5 ; Shera ; 42 
 2411 ; 2 копейки ; 1957 ; В венке герба 15 лент ; Br ; VF ; 4 ; Враг ; 27 
 2412 ; 1 копейка ; 1928 ;  ; Br ; VF+ ; 26 ; 234 ; 138 
 2413 ; 1 копейка ; 1948 ;  ; Br ; F+ ; 37 ; alexkz2010 ; 61 
 2414 ; 1 копейка ; 1932 ;  ; Br ; VF ; 20 ; AntonOm ; 357 
 2415 ; 1 копейка ; 1939 ;  ; Br ; F ; 17 ; alexkz2010 ; 38 
 2416 ; 1 копейка ; 1941 ;  ; Br ; VF ; 24 ; Jiamer57rus ; 261 
 2417 ; 1 копейка ; 1957 ; В венке герба 15 лент ; Br ; AU ; 52 ; rolan1 ; 435 
 2418 ; 1 копейка ; 1948 ;  ; Br ; VF+ ; 26 ; alexkz2010 ; 59 
 2419 ; 1 копейка ; 1955 ;  ; Br ; VF+ ; 4 ; Враг ; 27 
 2420 ; 1 копейка ; 1940 ;  ; Br ; VF ; 4 ; Враг ; 27 
 2421 ; 1 копейка ; 1950 ;  ; Br ; XF ; 53 ; agent 007 ; 337 
 2422 ; 3 копейки ; 1939 ;  ; Br ; VF+ ; 18 ; л842 ; 41 
 2423 ; 3 копейки ; 1940 ;  ; Br ; VF ; 6 ; XF ; 28 
 2424 ; 3 копейки ; 1943 ;  ; Br ; VF ; 13 ; pos ; 41 
 2425 ; 3 копейки ; 1941 ;  ; Br ; VF+ ; 18 ; XF ; 39 
 2426 ; 3 копейки ; 1946 ;  ; Br ; VF- ; 12 ; 312 ; 26 
 2427 ; 3 копейки ; 1948 ;  ; Br ; F-VF ; 10 ; 312 ; 26 
 2428 ; 3 копейки ; 1952 ;  ; Br ; VF ; 8 ; agent 007 ; 27 
 2429 ; 3 копейки ; 1949 ;  ; Br ; VF+ ; 9 ; avilych ; 31 
 2430 ; 3 копейки ; 1953 ;  ; Br ; VF ; 13 ; Uri ; 27 
 2431 ; 3 копейки ; 1954 ;  ; Br ; VF+ ; 20 ; Гарыныч ; 105 
 2432 ; 3 копейки ; 1950 ;  ; Br ; VF+ ; 9 ; avilych ; 30 
 2433 ; 3 копейки ; 1945 ;  ; Br ; VF ; 72 ; geracon2009 ; 1338 
 2434 ; 3 копейки ; 1955 ;  ; Br ; VF+ ; 9 ; 312 ; 26 
 2435 ; 3 копейки ; 1951 ;  ; Br ; VF ; 12 ; Гарыныч ; 161 
 2336 ; 5 копеек ; 1939 ;  ; Br ; F ; 20 ; сега ; 459 
 2337 ; 5 копеек ; 1940 ;  ; Br ; VF ; 34 ; alehandr ; 255 
 2338 ; 3 копейки ; 1931 ;  ; Br ; VF ; 13 ; alehandr ; 102 
 2339 ; 50 рублей ; 1993 ; ЛМД Желтый металл ;  ; XF ; 14 ; Benony ; 90 
 2340 ; 1 рубль ; 1991 ; ММД ; Cu-Ni ; AU ; 34 ; Nastrom ; 188 
 2341 ; 2 копейки ; 1936 ;  ; Br ; VF ; 11 ; ksun ; 90 
 2342 ; 2 копейки ; 1939 ;  ; Br ; XF- ; 36 ; rad22 ; 399 
 2343 ; 20 копеек ; 1932 ;  ; Ni ; VF ; 10 ; Pionier ; 128 
 2344 ; 20 копеек ; 1933 ;  ; Ni ; VF ; 15 ; .dowjik ; 128 
 2345 ; 20 копеек ; 1936 ; Л/с звезда плоская ; Ni ; VF- ; 14 ; XF ; 54 
 2346 ; 20 копеек ; 1935 ; Л/с звезда плоская ; Ni ; VF ; 12 ; nik2678 ; 105 
 2347 ; 15 копеек ; 1939 ;  ; Ni ; F- ; 9 ; murman ; 102 
 2348 ; 20 копеек ; 1952 ;  ; Ni ; XF ; 1 ; Donald ; 55 
 2349 ; 15 копеек ; 1948 ;  ; Ni ; XF ; 13 ; maler ; 102 
 2350 ; 15 копеек ; 1934 ;  ; Ni ; F+ ; 9 ; tamerlan56 ; 510 
 2351 ; 10 копеек ; 1939 ;  ; Ni ; F- ; 11 ; collector64 ; 77 
 2352 ; 10 копеек ; 1934 ;  ; Ni ; VG/F ; 7 ; tamerlan56 ; 510 
 2353 ; 5 копеек ; 1948 ;  ; Br ; VF ; 36 ; сега ; 453 
 2354 ; 20 копеек ; 1931 ;  ; Ni ; XF- ; 31 ; paul196262 ; 273 
 2355 ; 20 копеек ; 1932 ;  ; Ni ; XF- ; 37 ; elac ; 275 
 2356 ; 20 копеек ; 1933 ;  ; Ni ; XF+ ; 38 ; Запруда ; 2215 
 2357 ; 20 копеек ; 1935 ; Л/с звезда плоская ; Ni ; XF ; 26 ; paul196262 ; 117 
 2358 ; 20 копеек ; 1936 ; Л/с звезда плоская ; Ni ; VF ; 31 ; collector64 ; 37 
 2359 ; 20 копеек ; 1937 ; Л/с звезда плоская, шт. 20 коп. ; Ni ; VF+ ; 8 ; paul196262 ; 104 
 2360 ; 20 копеек ; 1938 ; Л/с звезда плоская, шт. 20 коп. ; Ni ; VF+ ; 55 ; bagsy ; 515 
 2361 ; 20 копеек ; 1939 ;  ; Ni ; VF-XF ; 48 ; vitab ; 612 
 2362 ; 20 копеек ; 1940 ; Л/с звезда плоская, шт. 20 коп. ; Ni ; VF ; 28 ; paul196262 ; 138 
 2363 ; 20 копеек ; 1941 ; Л/с звезда плоская, шт. 20 коп. ; Ni ; VF ; 66 ; chapay1959 ; 319 
 2364 ; 20 копеек ; 1942 ; Л/с звезда плоская, шт. 20 коп. ; Ni ; VF+ ; 40 ; vitab ; 793 
 2365 ; 20 копеек ; 1944 ;  ; Ni ; VF-XF ; 59 ; lva08 ; 563 
 2366 ; 20 копеек ; 1943 ; Л/с звезда плоская, шт. 20 коп. ; Ni ; VF-XF ; 52 ; Vanomah ; 303 
 2367 ; 20 копеек ; 1945 ;  ; Ni ; VF ; 18 ; KonstantinK ; 107 
 2368 ; 20 копеек ; 1946 ; Л/с звезда плоская, шт. 20 коп. ; Ni ; VF+ ; 13 ; paul196262 ; 38 
 2369 ; 20 копеек ; 1950 ;  ; Ni ; XF- ; 36 ; advokatovl5 ; 1255 
 2370 ; 20 копеек ; 1951 ;  ; Ni ; XF ; 24 ; chapay1959 ; 319 
 2371 ; 20 копеек ; 1948 ;  ; Ni ; VF-XF ; 29 ; Pionier ; 77 
 2372 ; 20 копеек ; 1949 ;  ; Ni ; VF-XF ; 20 ; Аристон ; 81 
 2373 ; 20 копеек ; 1952 ;  ; Ni ; XF ; 32 ; 234 ; 51 
 2374 ; 20 копеек ; 1955 ;  ; Ni ; XF ; 6 ; 312 ; 25 
 2375 ; 20 копеек ; 1953 ;  ; Ni ; XF ; 7 ; gremlyn ; 27 
 2376 ; 10 копеек ; 1950 ;  ; Ni ; XF ; 7 ; dali ; 102 
 2377 ; 10 копеек ; 1951 ;  ; Ni ; XF ; 44 ; Копатель 972 ; 465 
 2378 ; 5 копеек ; 1952 ;  ; Br ; VF+ ; 29 ; Vanomah ; 245 
 2379 ; 5 копеек ; 1953 ;  ; Br ; XF ; 34 ; Vanomah ; 253 
 2380 ; 3 копейки ; 1950 ;  ; Br ; VF+ ; 44 ; agent 007 ; 184 
 2381 ; 3 копейки ; 1955 ;  ; Br ; XF- ; 26 ; AntonOm ; 95 
 2382 ; 2 копейки ; 1950 ;  ; Br ; XF- ; 19 ; avilych ; 76 
 2383 ; 2 копейки ; 1957 ; В венке герба 15 лент ; Br ; XF ; 41 ; sub215 ; 63 
 2384 ; 1 копейка ; 1933 ;  ; Br ; VF-XF ; 30 ; AntonOm ; 184 
 2385 ; 1 копейка ; 1936 ;  ; Br ; VF-XF ; 28 ; electra ; 129 
 2286 ; 2 копейки ; 1951 ;  ; Br ; F- ; 39 ; vasilyi66 ; 257 
 2287 ; 1 копейка ; 1949 ;  ; Br ; VF+ ; 37 ; paul196262 ; 137 
 2288 ; 1 копейка ; 1929 ;  ; Br ; VF ; 89 ; bagsy ; 700 
 2289 ; 10 копеек ; 1952 ;  ; Ni ; XF ; 33 ; paul196262 ; 122 
 2290 ; 1 копейка ; 1937 ;  ; Br ; VF+ ; 14 ; avilych ; 92 
 2291 ; 2 копейки ; 1929 ;  ; Br ; VF+ ; 15 ; lelik13821 ; 150 
 2292 ; 10 копеек ; 1956 ; В венке герба 16 лент ; Ni ; XF ; 6 ; mechanik ; 27 
 2293 ; 10 копеек ; 1941 ;  ; Ni ; XF- ; 54 ; vitab ; 1249 
 2294 ; 20 копеек ; 1937 ; Л/с звезда плоская, шт. 20 коп. ; Ni ; XF ; 30 ; chapay1959 ; 500 
