 4816 ; 2 доллара. США ; 1917 ;  ;  ;  ; 53 ; lamazo ; 2521 
 1996 ; 3 рубля. Упаковка ; 1992 ; 750 лет победы А.Невского ; Cu-Ni ; Proof ; 96 ; shurikkk ; 232 
 1997 ; 1 рубль. Упаковка ; 1991 ; Олимпиада в Барселоне.Борьба ; Cu-Ni ; Proof ; 65 ; veter 9 ; 950 
 1998 ; 5 рублей ; 1990 ; Матенадаран.Ереван ; Cu-Ni ; AU ; 20 ; Sergant ; 44 
 1999 ; 5 рублей ; 1991 ; Архангельский собор в Москве ; Cu-Ni ; AU ; 20 ; Sergant ; 62 
 2000 ; 5 рублей ; 1991 ; Памятник Давиду Сасунскому в Ереване ; Cu-Ni ; AU ; 12 ; ZOLTAN333 ; 62 
 2001 ; 1 рубль ; 1967 ; 50 лет Советской власти ; Cu-Ni ; VF-XF ; 12 ; десант ; 31 
 2002 ; 1 рубль ; 1967 ; 50 лет Советской власти ; Cu-Ni ; VF+ ; 19 ; BIgor81 ; 30 
 2003 ; 1 рубль ; 1970 ; 100 лет со дня рождения В.И.Ленина ; Cu-Ni ; XF- ; 3 ; BIgor81 ; 3 
 2004 ; 1 рубль ; 1970 ; 100 лет со дня рождения В.И.Ленина ; Cu-Ni ; XF ; 13 ; BIgor81 ; 13 
 2005 ; 1 рубль ; 1975 ; 30 лет Победы в войне 1941-1945 ; Cu-Ni ; XF- ; 27 ; BIgor81 ; 27 
 2006 ; 1 рубль ; 1985 ; Фестиваль молодежи и студентов в Москве ; Cu-Ni ; XF ; 20 ; Sergant ; 42 
 2007 ; 1 рубль ; 1990 ; 500 лет со дня рождения Ф.Скорины ; Cu-Ni ; XF+ ; 8 ; Enter ; 32 
 2008 ; 1 рубль ; 1991 ; 101 год со дня рождения К.В.Иванова ; Cu-Ni ; AU ; 26 ; Enter ; 55 
 2009 ; 1 рубль ; 1984 ; 185 лет со дня рождения А.С.Пушкина ; Cu-Ni ; AU ; 70 ; Enter ; 94 
 2010 ; 1 рубль ; 1983 ; 400 лет со дня смерти И.Федорова 1510-1583 ; Cu-Ni ; AU ; 28 ; ААФ ; 90 
 1911 ; 1 рубль ; 1986 ; 275 лет со дня рождения М.В.Ломоносова ; Cu-Ni ; AU ; 55 ; veter 9 ; 137 
 1912 ; 1 рубль ; 1987 ; 130 лет со дня рождения К.Э.Циолковского ; Cu-Ni ; VF-XF ; 31 ; Enter ; 42 
 1913 ; 1 рубль ; 1987 ; 175 лет Бородино (барельеф) ; Cu-Ni ; XF+ ; 12 ; Sergant ; 35 
 1914 ; 1 рубль ; 1987 ; 175 лет Бородино (обелиск) ; Cu-Ni ; AU ; 17 ; Sergant ; 37 
 1915 ; 1 рубль ; 1987 ; 130 лет со дня рождения К.Э.Циолковского ; Cu-Ni ; AU ; 20 ; Sergant ; 38 
 1916 ; 1 рубль ; 1987 ; 70 лет Октябрьской революции ; Cu-Ni ; AU ; 21 ; Sergant ; 31 
 1917 ; 1 рубль ; 1988 ; 120 лет со дня рождения А.М.Горького ; Cu-Ni ; AU ; 11 ; don-juras ; 34 
 1918 ; 1 рубль ; 1988 ; 160 лет со дня рождения А.Н.Толстого ; Cu-Ni ; AU ; 24 ; Sergant ; 32 
 1919 ; 1 рубль ; 1989 ; 175 лет со дня рождения Т.Г.Шевченко ; Cu-Ni ; AU ; 12 ; Smit ; 37 
 1920 ; 1 рубль ; 1989 ; 175 лет со дня рождения М.Ю.Лермонтова ; Cu-Ni ; AU ; 26 ; барабашка ; 62 
 1921 ; 1 рубль ; 1989 ; 100 лет со дня рождения Ниязи ; Cu-Ni ; AU ; 43 ; jimmysu ; 42 
 1922 ; 1 рубль ; 1989 ; 100 лет со дня смерти Эминеску ; Cu-Ni ; AU ; 17 ; Man 11 ; 52 
 1923 ; 1 рубль ; 1989 ; 150 лет со дня рождения М.П.Мусоргского ; Cu-Ni ; AU ; 24 ; AlesyaPerova ; 42 
 1924 ; 1 рубль ; 1990 ; 125 лет со дня рождения Я.Райниса ; Cu-Ni ; AU ; 10 ; don-juras ; 34 
 1925 ; 1 рубль ; 1990 ; 130 лет со дня рождения А.П.Чехова ; Cu-Ni ; AU ; 2 ; alegorbunov ; 41 
 1926 ; 1 рубль ; 1990 ; 500 лет со дня рождения Ф.Скорины ; Cu-Ni ; AU ; 1 ; djekson ; 45 
 1927 ; 1 рубль ; 1990 ; Маршал СССР Г.К.Жуков ; Cu-Ni ; XF ; 28 ; veter 9 ; 173 
 1928 ; 1 рубль ; 1990 ; 130 лет со дня рождения А.П.Чехова ; Cu-Ni ; AU ; 19 ; Sergant ; 50 
 1929 ; 1 рубль ; 1990 ; 150 лет со дня рождения П.И.Чайковского ; Cu-Ni ; AU ; 8 ; Sergant ; 41 
 1930 ; 1 рубль ; 1990 ; Маршал СССР Г.К.Жуков ; Cu-Ni ; AU ; 73 ; veter 9 ; 201 
 1931 ; 1 рубль ; 1990 ; 150 лет со дня рождения П.И.Чайковского ; Cu-Ni ; AU ; 1 ; djekson ; 45 
 1932 ; 1 рубль ; 1991 ; 550 лет со дня рождения А.Навои ; Cu-Ni ; AU ; 1 ; djekson ; 45 
 1933 ; 1 рубль ; 1991 ; 100 лет со дня рождения С.Прокофьева ; Cu-Ni ; AU ; 22 ; Sergant ; 41 
 1934 ; 5 рублей ; 1988 ; Памятник Петру I в Ленинграде ; Cu-Ni ; XF+ ; 28 ; десант ; 126 
 1935 ; 5 рублей ; 1988 ; Памятник в Новгороде "Тысячелетие России" ; Cu-Ni ; XF ; 16 ; o.k. ; 104 
 1936 ; 5 рублей ; 1988 ; Софийский собор в Киеве ; Cu-Ni ; XF+ ; 19 ; десант ; 117 
 1937 ; 5 рублей ; 1989 ; Собор Покрова на рву в Москве ; Cu-Ni ; AU ; 41 ; ААФ ; 104 
 1938 ; 5 рублей ; 1990 ; Успенский собор в Москве ; Cu-Ni ; AU ; 14 ; Sergant ; 62 
 1939 ; 5 рублей ; 1990 ; Матенадаран.Ереван ; Cu-Ni ; AU ; 7 ; кузнецов ; 51 
 1940 ; 5 рублей ; 1990 ; Большой дворец в Петродворце ; Cu-Ni ; AU ; 10 ; volodia1953 ; 60 
 1941 ; 5 рублей ; 1991 ; Архангельский собор в Москве ; Cu-Ni ; AU ; 16 ; Sergant ; 62 
 1942 ; 3 рубля ; 1989 ; Землятресение в Армении ; Cu-Ni ; AU ; 24 ; Sergant ; 49 
 1943 ; 1 рубль ; 1965 ; 20 лет победы над Германией ; Cu-Ni ; AU ; 40 ; pavlova-92 ; 94 
 1944 ; 1 рубль ; 1975 ; 30 лет Победы в войне 1941-1945 ; Cu-Ni ; AU ; 36 ; rahmn ; 53 
 1945 ; 1 рубль ; 1983 ; 20 лет полета в космос В.Терешковой ; Cu-Ni ; XF- ; 55 ; kalan ; 73 
 1946 ; 1 рубль ; 1984 ; 185 лет со дня рождения А.С.Пушкина ; Cu-Ni ; XF ; 23 ; NSN ; 90 
 1947 ; 1 рубль ; 1984 ; 150 лет со дня рождения Д.И.Менделеева ; Cu-Ni ; AU ; 29 ; o.k. ; 95 
 1948 ; 1 рубль ; 1985 ; 165 лет со дня рождения Ф.Энгельса ; Cu-Ni ; VF-XF ; 67 ; NSN ; 102 
 1949 ; 1 рубль ; 1987 ; 130 лет со дня рождения К.Э.Циолковского ; Cu-Ni ; AU ; 10 ; Sergant ; 41 
 1950 ; 1 рубль ; 1987 ; 175 лет Бородино (барельеф) ; Cu-Ni ; AU ; 13 ; BIgor81 ; 34 
 1951 ; 1 рубль ; 1988 ; 120 лет со дня рождения А.М.Горького ; Cu-Ni ; AU ; 22 ; Smit ; 34 
 1952 ; 1 рубль ; 1988 ; 160 лет со дня рождения А.Н.Толстого ; Cu-Ni ; XF ; 27 ; опричник ; 31 
 1953 ; 1 рубль ; 1989 ; 175 лет со дня рождения М.Ю.Лермонтова ; Cu-Ni ; XF+ ; 21 ; барабашка ; 39 
 1954 ; 1 рубль ; 1989 ; 100 лет со дня рождения Ниязи ; Cu-Ni ; AU ; 39 ; yuri.gruzdev ; 78 
 1955 ; 1 рубль ; 1990 ; 125 лет со дня рождения Я.Райниса ; Cu-Ni ; AU ; 34 ; Sergant ; 42 
 1956 ; 1 рубль ; 1990 ; 500 лет со дня рождения Ф.Скорины ; Cu-Ni ; AU ; 22 ; don-juras ; 34 
 1957 ; 1 рубль ; 1991 ; 100 лет со дня рождения С.Прокофьева ; Cu-Ni ; AU ; 13 ; Smit ; 40 
 1958 ; 1 рубль ; 1965 ; 20 лет победы над Германией ; Cu-Ni ; XF ; 28 ; Vd 123 ; 29 
 1959 ; 1 рубль ; 1970 ; 100 лет со дня рождения В.И.Ленина ; Cu-Ni ; XF ; 19 ; BIgor81 ; 30 
 1960 ; 1 рубль ; 1975 ; 30 лет Победы в войне 1941-1945 ; Cu-Ni ; XF ; 9 ; BIgor81 ; 30 
 1861 ; 1 рубль ; 1988 ; 120 лет со дня рождения А.М.Горького ; Cu-Ni ; AU ; 16 ; Sergant ; 33 
 1862 ; 1 рубль ; 1988 ; 160 лет со дня рождения А.Н.Толстого ; Cu-Ni ; XF ; 10 ; Sergant ; 31 
 1863 ; 1 рубль ; 1989 ; 100 лет со дня смерти Эминеску ; Cu-Ni ; AU ; 32 ; asdtyu ; 74 
 1864 ; 1 рубль ; 1989 ; 175 лет со дня рождения М.Ю.Лермонтова ; Cu-Ni ; AU ; 9 ; барабашка ; 42 
 1865 ; 1 рубль ; 1989 ; 175 лет со дня рождения Т.Г.Шевченко ; Cu-Ni ; AU ; 25 ; Velton ; 33 
 1866 ; 1 рубль ; 1989 ; 150 лет со дня рождения М.П.Мусоргского ; Cu-Ni ; AU ; 35 ; Velton ; 35 
 1867 ; 1 рубль ; 1989 ; 100 лет со дня рождения Ниязи ; Cu-Ni ; AU ; 4 ; ran976 ; 60 
 1868 ; 1 рубль ; 1990 ; 130 лет со дня рождения А.П.Чехова ; Cu-Ni ; AU ; 33 ; Sergant ; 51 
 1869 ; 1 рубль ; 1990 ; 125 лет со дня рождения Я.Райниса ; Cu-Ni ; AU ; 30 ; Sergant ; 51 
 1870 ; 1 рубль ; 1990 ; Маршал СССР Г.К.Жуков ; Cu-Ni ; AU ; 29 ; veter 9 ; 187 
 1871 ; 1 рубль ; 1990 ; 500 лет со дня рождения Ф.Скорины ; Cu-Ni ; AU ; 18 ; BIgor81 ; 34 
 1872 ; 1 рубль ; 1990 ; 150 лет со дня рождения П.И.Чайковского ; Cu-Ni ; AU ; 18 ; Sergant ; 51 
 1873 ; 1 рубль ; 1991 ; 101 год со дня рождения К.В.Иванова ; Cu-Ni ; AU ; 36 ; ААФ ; 51 
 1874 ; 1 рубль ; 1991 ; 100 лет со дня рождения С.Прокофьева. ; Cu-Ni ; AU ; 14 ; опричник ; 36 
 1875 ; 1 рубль ; 1991 ; Махтумкули ; Cu-Ni ; AU ; 21 ; yuri.gruzdev ; 301 
 1876 ; 1 рубль ; 1991 ; 550 лет со дня рождения А.Навои ; Cu-Ni ; AU ; 9 ; Sergant ; 51 
 1877 ; 1 рубль ; 1991 ; 850 лет со дня рождения Низами Гянджеви ; Cu-Ni ; AU ; 21 ; Enter ; 51 
 1878 ; 1 рубль ; 1991 ; 125 лет со дня рождения П.Н.Лебедева ; Cu-Ni ; AU ; 9 ; Sergant ; 51 
 1879 ; 1 рубль ; 1981 ; Дружба на веки ; Cu-Ni ; Proof ; 109 ; Masik ; 803 
 1880 ; 1 рубль. Новодел ; 1982 ; 60 лет образования СССР ; Cu-Ni ; Proof ; 45 ; Вяч ; 216 
 1881 ; 5 рублей ; 1988 ; Софийский собор в Киеве ; Cu-Ni ; AU ; 16 ; NSN ; 113 
 1882 ; 5 рублей ; 1988 ; Памятник в Новгороде "Тысячелетие России" ; Cu-Ni ; AU ; 39 ; Sergant ; 114 
 1883 ; 5 рублей ; 1988 ; Памятник Петру I в Ленинграде ; Cu-Ni ; AU ; 35 ; o.k. ; 104 
 1884 ; 5 рублей ; 1989 ; Ансамбль Регистан в Самарканде ; Cu-Ni ; AU ; 9 ; фёкла ; 111 
 1885 ; 5 рублей ; 1989 ; Собор Покрова на рву в Москве ; Cu-Ni ; AU ; 52 ; atenom ; 169 
 1886 ; 5 рублей ; 1989 ; Ансамбль Регистан в Самарканде ; Cu-Ni ; AU ; 5 ; фёкла ; 115 
 1887 ; 5 рублей ; 1989 ; Собор Покрова на рву в Москве ; Cu-Ni ; AU ; 11 ; serg98 ; 123 
 1888 ; 5 рублей ; 1989 ; Благовещенский собор в Москве ; Cu-Ni ; AU ; 33 ; барабашка ; 114 
 1889 ; 5 рублей ; 1990 ; Большой дворец в Петродворце ; Cu-Ni ; AU ; 12 ; Enter ; 72 
 1890 ; 5 рублей ; 1990 ; Матенадаран.Ереван ; Cu-Ni ; AU ; 36 ; Enter ; 63 
 1891 ; 5 рублей ; 1990 ; Матенадаран.Ереван ; Cu-Ni ; AU ; 36 ; Sergant ; 62 
 1892 ; 5 рублей ; 1990 ; Большой дворец в Петродворце ; Cu-Ni ; AU ; 13 ; кузнецов ; 70 
 1893 ; 5 рублей ; 1991 ; Архангельский собор в Москве ; Cu-Ni ; AU ; 20 ; Sergant ; 64 
 1894 ; 5 рублей ; 1991 ; Здание Госбанка СССР в Москве ; Cu-Ni ; AU ; 12 ; ZOLTAN333 ; 104 
 1895 ; 3 рубля ; 1989 ; Землятресение в Армении ; Cu-Ni ; AU ; 36 ; AlesyaPerova ; 57 
 1896 ; 1 рубль ; 1977 ; 60 лет Советской власти ; Cu-Ni ; XF+ ; 18 ; Sergant ; 31 
 1897 ; 1 рубль ; 1977 ; Олимпиада 80.Эмблема Олимпийских игр ; Cu-Ni ; VF-XF ; 34 ; piron ; 67 
 1898 ; 1 рубль ; 1978 ; Олимпиада 80.Московский Кремль ; Cu-Ni ; XF+ ; 14 ; барабашка ; 36 
 1899 ; 1 рубль ; 1979 ; Олимпиада 80.Здание МГУ ; Cu-Ni ; VF-XF ; 23 ; Batya.Manowar ; 41 
 1900 ; 1 рубль ; 1979 ; Олимпиада 80.Обелиск покорителям космоса ; Cu-Ni ; AU ; 13 ; aleksey-m2 ; 38 
 1901 ; 1 рубль ; 1980 ; Олимпиада 80.Здание Моссовета ; Cu-Ni ; XF ; 12 ; AlesyaPerova ; 37 
 1902 ; 1 рубль ; 1980 ; Олимпиада 80.Олимпийский факел ; Cu-Ni ; XF+ ; 15 ; барабашка ; 39 
 1903 ; 1 рубль ; 1981 ; Дружба на веки ; Cu-Ni ; XF+ ; 10 ; барабашка ; 124 
 1904 ; 1 рубль ; 1981 ; 20 лет полета в космос Ю.Гагарина ; Cu-Ni ; AU ; 24 ; Sergant ; 58 
 1905 ; 1 рубль ; 1982 ; 60 лет образования СССР ; Cu-Ni ; AU ; 7 ; барабашка ; 134 
 1906 ; 1 рубль ; 1983 ; 400 лет со дня смерти И.Федорова 1510-1583 ; Cu-Ni ; XF ; 31 ; o.k. ; 77 
 1907 ; 1 рубль ; 1984 ; 150 лет со дня рождения Д.И.Менделеева ; Cu-Ni ; AU ; 30 ; o.k. ; 97 
 1908 ; 1 рубль ; 1985 ; 40 лет Победы над Германией ; Cu-Ni ; AU ; 16 ; AlesyaPerova ; 33 
 1909 ; 1 рубль ; 1985 ; 40 лет Победы над Германией ; Cu-Ni ; AU ; 10 ; Sergant ; 41 
 1910 ; 1 рубль ; 1985 ; Фестиваль молодежи и студентов в Москве ; Cu-Ni ; AU ; 17 ; Sergant ; 41 
 1811 ; 3 рубля. Упаковка ; 1993 ; 50 лет победы в Сталинградской битве ; Cu-Ni ; Proof ; 77 ; taigist ; 241 
 1812 ; 3 рубля. Упаковка ; 1993 ; 50 лет победы на Курской дуге ; Cu-Ni ; Unc ; 61 ; avig67 ; 279 
 1813 ; 3 рубля. Упаковка ; 1993 ; 50 лет победы на Курской дуге ; Cu-Ni ; Proof ; 77 ; donskoy77 ; 263 
 1814 ; 3 рубля. Упаковка ; 1993 ; 50 лет освобождения Киева ; Cu-Ni ; Proof ; 94 ; Antromis ; 359 
 1815 ; 3 рубля. Упаковка ; 1992 ; 750 лет победы А.Невского ; Cu-Ni ; Proof ; 55 ; Антон-15 ; 305 
 1816 ; 3 рубля. Упаковка ; 1992 ; "Северный конвой" ; Cu-Ni ; Proof ; 17 ; Антон-15 ; 431 
 1817 ; 3 рубля. Упаковка ; 1992 ; Международный год космоса ; Cu-Ni ; Proof ; 117 ; Антон-15 ; 263 
 1818 ; 3 рубля. Упаковка ; 1992 ; 750 лет победы А.Невского ; Cu-Ni ; Proof ; 56 ; donskoy77 ; 230 
 1819 ; 3 рубля. Пластиковая упаковка ; 1992 ; "Северный конвой" ; Cu-Ni ; Proof ; 90 ; NSN ; 402 
 1820 ; 3 рубля. Пластиковая упаковка ; 1992 ; "19-21 августа" ; Cu-Ni ; AU ; 125 ; evgen 66 ; 419 
 1821 ; 5 рублей ; 1987 ; 70 лет Октябрьской революции ; Cu-Ni ; AU ; 29 ; atenom ; 667 
 1822 ; 5 рублей ; 1988 ; Памятник Петру I в Ленинграде ; Cu-Ni ; AU ; 76 ; Enter ; 99 
 1823 ; 5 рублей ; 1988 ; Софийский собор в Киеве ; Cu-Ni ; AU ; 73 ; o.k. ; 95 
 1824 ; 5 рублей ; 1988 ; Памятник в Новгороде "Тысячелетие России" ; Cu-Ni ; AU ; 66 ; o.k. ; 94 
 1825 ; 5 рублей ; 1988 ; Софийский собор в Киеве ; Cu-Ni ; AU ; 35 ; NSN ; 93 
 1826 ; 5 рублей ; 1989 ; Благовещенский собор в Москве ; Cu-Ni ; AU ; 82 ; десант ; 115 
 1827 ; 5 рублей ; 1989 ; Ансамбль Регистан в Самарканде ; Cu-Ni ; AU ; 23 ; Enter ; 123 
 1828 ; 5 рублей ; 1989 ; Собор Покрова на рву в Москве ; Cu-Ni ; AU ; 46 ; ААФ ; 121 
 1829 ; 5 рублей ; 1990 ; Матенадаран.Ереван ; Cu-Ni ; AU ; 59 ; Sergant ; 64 
 1830 ; 5 рублей ; 1990 ; Большой дворец в Петродворце ; Cu-Ni ; AU ; 16 ; Sergant ; 72 
 1831 ; 5 рублей ; 1990 ; Успенский собор в Москве ; Cu-Ni ; AU ; 51 ; NSN ; 90 
 1832 ; 5 рублей ; 1991 ; Памятник Давиду Сасунскому в Ереване ; Cu-Ni ; AU ; 29 ; Sergant ; 85 
 1833 ; 5 рублей ; 1991 ; Здание Госбанка СССР в Москве ; Cu-Ni ; AU ; 22 ; ZOLTAN333 ; 93 
 1834 ; 5 рублей ; 1991 ; Архангельский собор в Москве ; Cu-Ni ; AU ; 18 ; Sergant ; 77 
 1835 ; 3 рубля ; 1987 ; 70 лет Октябрьской революции ; Cu-Ni ; AU ; 73 ; kalan ; 86 
 1836 ; 3 рубля ; 1989 ; Землятресение в Армении ; Cu-Ni ; AU ; 48 ; kalan ; 92 
 1837 ; 3 рубля ; 1991 ; 50 лет победы под Москвой ; Cu-Ni ; AU ; 37 ; Sergant ; 102 
 1838 ; 1 рубль ; 1977 ; 60 лет Советской власти ; Cu-Ni ; AU ; 12 ; aleksey-m2 ; 43 
 1839 ; 1 рубль ; 1978 ; Олимпиада 80.Московский Кремль ; Cu-Ni ; AU ; 10 ; dim152 ; 111 
 1840 ; 1 рубль ; 1979 ; Олимпиада 80.Здание МГУ ; Cu-Ni ; AU ; 8 ; aleksey-m2 ; 31 
 1841 ; 1 рубль ; 1979 ; Олимпиада 80.Обелиск покорителям космоса ; Cu-Ni ; XF ; 10 ; барабашка ; 31 
 1842 ; 1 рубль ; 1980 ; Олимпиада 80.Здание Моссовета ; Cu-Ni ; XF+ ; 9 ; барабашка ; 33 
 1843 ; 1 рубль ; 1980 ; Олимпиада 80.Олимпийский факел ; Cu-Ni ; XF ; 10 ; барабашка ; 35 
 1844 ; 1 рубль ; 1981 ; 20 лет полета в космос Ю.Гагарина ; Cu-Ni ; AU ; 51 ; kalan ; 50 
 1845 ; 1 рубль ; 1983 ; 20 лет полета в космос В.Терешковой ; Cu-Ni ; AU ; 82 ; o.k. ; 114 
 1846 ; 1 рубль ; 1983 ; 165 лет со дня рождения К.Маркса ; Cu-Ni ; XF ; 57 ; десант ; 161 
 1847 ; 1 рубль ; 1983 ; 400 лет со дня смерти И.Федорова 1510-1583 ; Cu-Ni ; AU ; 9 ; NSN ; 111 
 1848 ; 1 рубль ; 1984 ; 125 лет со дня рождения А.С.Попова ; Cu-Ni ; AU ; 51 ; kalan ; 117 
 1849 ; 1 рубль ; 1984 ; 150 лет со дня рождения Д.И.Менделеева ; Cu-Ni ; AU ; 6 ; NSN ; 102 
 1850 ; 1 рубль ; 1984 ; 185 лет со дня рождения А.С.Пушкина ; Cu-Ni ; AU ; 35 ; veter 9 ; 197 
 1851 ; 1 рубль ; 1985 ; 115 лет со дня рождения В.И.Ленина ; Cu-Ni ; AU ; 16 ; pavlova-92 ; 159 
 1852 ; 1 рубль ; 1985 ; 165 лет со дня рождения Ф.Энгельса ; Cu-Ni ; AU ; 12 ; samurai 969 ; 108 
 1853 ; 1 рубль ; 1985 ; Фестиваль молодежи и студентов в Москве ; Cu-Ni ; XF ; 9 ; Sergant ; 31 
 1854 ; 1 рубль ; 1985 ; 40 лет Победы над Германией ; Cu-Ni ; AU ; 20 ; Sergant ; 41 
 1855 ; 1 рубль ; 1986 ; Международный год мира ; Cu-Ni ; XF ; 15 ; Sergant ; 31 
 1856 ; 1 рубль ; 1986 ; 275 лет со дня рождения М.В.Ломоносова ; Cu-Ni ; XF ; 8 ; samurai 969 ; 108 
 1857 ; 1 рубль ; 1987 ; 70 лет Октябрьской революции ; Cu-Ni ; AU ; 25 ; Enter ; 47 
 1858 ; 1 рубль ; 1987 ; 175 лет Бородино (барельеф) ; Cu-Ni ; AU ; 11 ; LAB-A ; 34 
 1859 ; 1 рубль ; 1987 ; 175 лет Бородино (обелиск) ; Cu-Ni ; AU ; 8 ; Sergant ; 31 
 1860 ; 1 рубль ; 1987 ; 130 лет со дня рождения К.Э.Циолковского ; Cu-Ni ; AU ; 2 ; опричник ; 60 
 1761 ; 15 копеек ; 1966 ;  ; Cu-Ni ; AU ; 24 ; Андрей Т 81000 ; 1739 
 1762 ; 15 копеек. Упаковка нарушена ; 1967 ;  ; Cu-Ni ; AU ; 25 ; юденич ; 602 
 1763 ; 15 копеек ; 1966 ;  ; Cu-Ni ; AU ; 28 ; Опятор ; 1179 
 1764 ; 15 копеек ; 1969 ;  ; Cu-Ni ; AU ; 38 ; hugo ; 1313 
 1765 ; 15 копеек ; 1970 ;  ; Cu-Ni ; VF+ ; 51 ; shneyder ; 6670 
 1766 ; 15 копеек ; 1971 ;  ; Cu-Ni ; VF+ ; 46 ; ryber ; 3060 
 1767 ; 15 копеек ; 1972 ;  ; Cu-Ni ; VF+ ; 31 ; ryber ; 2392 
 1768 ; 15 копеек ; 1973 ;  ; Cu-Ni ; VF+ ; 26 ; konstk2 ; 2552 
 1769 ; 15 копеек ; 1974 ;  ; Cu-Ni ; VF+ ; 25 ; СЁМА ; 908 
 1770 ; 15 копеек ; 1975 ;  ; Cu-Ni ; VF ; 9 ; ryber ; 1439 
 1771 ; 10 копеек ; 1938 ;  ; Ni ; VF- ; 74 ; denis1977 ; 187 
 1772 ; 10 копеек ; 1943 ;  ; Ni ; VF+ ; 75 ; Сухов ; 271 
 1773 ; 10 копеек ; 1944 ;  ; Ni ; VF- ; 30 ; VINS ; 1558 
 1774 ; 10 копеек ; 1965 ;  ; Cu-Ni ; AU ; 36 ; orel ; 2002 
 1775 ; 10 копеек ; 1966 ;  ; Cu-Ni ; AU ; 27 ; o.k. ; 1330 
 1776 ; 10 копеек. Упаковка нарушена ; 1967 ;  ; Cu-Ni ; AU ; 148 ; hugo ; 510 
 1777 ; 10 копеек ; 1968 ;  ; Cu-Ni ; AU ; 27 ; coiner ; 728 
 1778 ; 10 копеек ; 1990 ; М ; Cu-Ni ; VF-XF ; 47 ; orel ; 3700 
 1779 ; 5 копеек ; 1929 ;  ; Br ; VF- ; 66 ; novikoff12006 ; 166 
 1780 ; 5 копеек ; 1932 ;  ; Br ; VF ; 47 ; AVGUST ; 356 
 1781 ; 5 копеек ; 1937 ;  ; Br ; VF- ; 76 ; СЁМА ; 396 
 1782 ; 5 копеек ; 1938 ;  ; Br ; VF- ; 47 ; СЁМА ; 371 
 1783 ; 5 копеек ; 1945 ;  ; Br ; F+ ; 90 ; AVGUST ; 887 
 1784 ; 5 копеек ; 1950 ;  ; Br ; F+ ; 29 ; denis1977 ; 306 
 1785 ; 5 копеек ; 1951 ;  ; Br ; F+ ; 123 ; AVGUST ; 722 
 1786 ; 5 копеек ; 1965 ;  ; Cu-Zn ; AU ; 14 ; krft ; 1274 
 1787 ; 5 копеек ; 1965 ;  ; Cu-Zn ; VF ; 11 ; ryber ; 1377 
 1788 ; 5 копеек ; 1966 ;  ; Cu-Zn ; VF ; 25 ; ryber ; 1479 
 1789 ; 5 копеек.  Упаковка нарушена ; 1967 ;  ; Cu-Zn ; AU ; 57 ; grisha2401 ; 408 
 1790 ; 5 копеек ; 1968 ;  ; Cu-Zn ; AU ; 150 ; hugo ; 622 
 1791 ; 5 копеек ; 1969 ;  ; Cu-Zn ; AU ; 106 ; ziko ; 1239 
 1792 ; 5 копеек ; 1970 ;  ; Cu-Zn ; VF ; 40 ; kgu ; 3033 
 1793 ; 5 копеек ; 1971 ;  ; Cu-Zn ; VF ; 68 ; serg07_67 ; 1134 
 1794 ; 5 копеек ; 1972 ;  ; Cu-Zn ; VF ; 17 ; Опятор ; 1175 
 1795 ; 3 копейки ; 1965 ;  ; Cu-Zn ; VF+ ; 19 ; AVGUST ; 386 
 1796 ; 3 копейки ; 1927 ;  ; Br ; VF+ ; 68 ; VINS ; 5102 
 1797 ; 3 копейки ; 1930 ; В СССР С вытянуты, шт.20 коп.1924 ; Br ; F-VF ; 9 ; KolobovS ; 1001 
 1798 ; 2 копейки ; 1935 ;  ; Br ; F-VF ; 29 ; Сухов ; 272 
 1799 ; 2 копейки ; 1964 ;  ; Cu-Zn ; VF ; 22 ; сиротка ; 165 
 1800 ; 1 копейка ; 1926 ;  ; Br ; VF ; 52 ; denis1977 ; 203 
 1801 ; 1 копейка ; 1928 ;  ; Br ; VF ; 25 ; Сакович ; 115 
 1802 ; 1 копейка ; 1929 ;  ; Br ; VF- ; 34 ; serg07_67 ; 319 
 1803 ; 1 копейка ; 1931 ;  ; Br ; VF- ; 7 ; denis1977 ; 108 
 1804 ; 1 копейка ; 1932 ;  ; Br ; VF- ; 5 ; denis1977 ; 129 
 1805 ; 1 копейка ; 1950 ;  ; Br ; VF+ ; 6 ; Сакович ; 123 
 1806 ; 1 копейка ; 1941 ;  ; Br ; XF ; 49 ; denis1977 ; 306 
 1807 ; 10 рублей ; 1992 ; ЛМД Биметалл ; Cu-Zn/Cu-Ni ; XF- ; 61 ; ZOLTAN333 ; 4655 
 1808 ; 3 рубля. Упаковка ; 1995 ; Капитуляция Германии ; Cu-Ni ; Proof ; 40 ; verunk1 ; 534 
 1809 ; 3 рубля. Упаковка ; 1993 ; 50 лет освобождения Киева ; Cu-Ni ; Proof ; 54 ; ААФ ; 333 
 1810 ; 3 рубля. Упаковка ; 1994 ; Партизаны в ВОВ ; Cu-Ni ; Proof ; 29 ; Чук ; 396 
 1711 ; 15 копеек. Аверс/Реверс 10 градусов ; 1928 ;  ; Ag ; AU ; 73 ; atenom ; 276 
 1712 ; 15 копеек ; 1928 ;  ; Ag ; AU ; 58 ; alexblack_97t1 ; 250 
 1713 ; 15 копеек ; 1930 ;  ; Ag ; AU/XF ; 95 ; DmA ; 221 
 1714 ; 15 копеек ; 1930 ;  ; Ag ; VF ; 39 ; denis1977 ; 125 
