 6620 ; Пуговица ;  ;  ; Б/м ;  ; 22 ; stilsb ; 249 
 2324 ; 25 рублей. ФИФА Буклет ; 2018 ;  ; Cu-Ni ; AU ; 25 ; Duke666666 ; 303 
 2325 ; 25 рублей. Буклет ; 2011 ; СПМД Сочи 2014. Эмблема игр цветная ; Cu-Ni ; Unc ; 14 ; SIEMENS_S75 ; 296 
 2326 ; 25 рублей. Буклет ; 2013 ; СПМД Сочи 2014. Талисманы XI Парал. игр. цвет. ; Cu-Ni ; Unc ; 15 ; $KoKoS$ ; 315 
 2327 ; 25 рублей. Буклет ; 2012 ; СПМД Сочи 2014. Эмблемы и талисманы. цвет. ; Cu-Ni ; Unc ; 20 ; axelhartman ; 370 
 2328 ; 25 рублей. Буклет ; 2014 ; СПМД Сочи 2014. Эстафета Олимп. огня. цвет. ; Cu-Ni ; Unc ; 21 ; axelhartman ; 339 
 2329 ; 25 рублей. Буклет ; 2011 ; СПМД Сочи 2014. Эмблема игр цветная ; Cu-Ni ; Unc ; 26 ; prostor.71 ; 296 
 2330 ; 25 рублей. Бременские музыканты. Буклет ; 2019 ;  ; Cu-Ni ; Unc ; 26 ; Vol4en0k ; 1381 
 2331 ; 25 рублей. Буклет ; 2013 ; СПМД Сочи 2014. Талисманы XI Парал. игр. цвет. ; Cu-Ni ; Unc ; 20 ; $KoKoS$ ; 310 
 2332 ; Лот монет Банка России: 10 рублей (2 шт.) Крым, Севастополь. Буклет ; 2014 ;  ; St/Лат ; AU ; 24 ; zubek ; 34 
 2333 ; Лот монет Банка России: 10 рублей (2 шт.) Крым, Севастополь. Буклет ; 2014 ;  ; St/Лат ; AU ; 10 ; silverbob ; 28 
 2234 ; 10 копеек ; 1978 ;  ; Cu-Ni ; AU ; 5 ; tpls ; 21 
 2235 ; 15 копеек ; 1932 ;  ; Ni ; VF ; 7 ; ВЕС ; 20 
 2236 ; 20 копеек ; 1940 ; Л/с звезда плоская, шт. 20 коп. ; Ni ; VF-XF ; 24 ; revarg ; 599 
 2237 ; 20 копеек ; 1940 ; Л/с звезда плоская, шт. 20 коп. ; Ni ; VF-XF ; 29 ; kultan ; 224 
 2238 ; 20 копеек ; 1938 ; Л/с звезда плоская, шт. 20 коп. ; Ni ; VF-XF ; 15 ; Mikе! ; 317 
 2239 ; 20 копеек ; 1939 ;  ; Ni ; VF-XF ; 13 ; Moryak ; 408 
 2240 ; 15 копеек ; 1937 ;  ; Ni ; VF-XF ; 22 ; revarg ; 1259 
 2241 ; 15 копеек ; 1935 ;  ; Ni ; VF-XF ; 19 ; ВЕС ; 255 
 2242 ; 15 копеек ; 1940 ;  ; Ni ; VF-XF ; 33 ; ВЕС ; 275 
 2243 ; 15 копеек ; 1945 ;  ; Ni ; VF-XF ; 30 ; vtf ; 355 
 2244 ; 3 копейки ; 1938 ;  ; Br ; VF-XF ; 24 ; ЖИГУЛЬ ; 82 
 2245 ; 5 копеек ; 1940 ;  ; Br ; VF-XF ; 36 ; Y.V.B. ; 225 
 2246 ; 10 копеек ; 1952 ;  ; Ni ; XF ; 9 ; ГраF ; 45 
 2247 ; 2 копейки ; 1970 ;  ; Cu-Zn ; AU ; 13 ; Habs777 ; 53 
 2248 ; 2 копейки ; 1984 ;  ; Cu-Zn ; AU ; 7 ; loguten ; 50 
 2249 ; 2 копейки ; 1987 ;  ; Cu-Zn ; AU ; 14 ; Logistik ; 99 
 2250 ; 1 копейка. Солнце без лучей. ; 1991 ; ЛМД ; Cu-Zn ; AU ; 11 ; nika17.94 ; 49 
 2251 ; 3 копейки Герб приспущен ; 1989 ;  ; Cu-Zn ; AU ; 17 ; Виталий74 ; 101 
 2252 ; 5 копеек ; 1977 ;  ; Cu-Zn ; AU ; 11 ; ГраF ; 82 
 2253 ; 10 копеек С уступом ; 1980 ;  ; Cu-Ni ; AU ; 19 ; Виталий74 ; 101 
 2254 ; 1 рубль ; 1964 ;  ; Cu-Ni ; AU ; 9 ; U2 ; 82 
 2255 ; 20 копеек ; 1979 ;  ; Cu-Ni ; XF ; 9 ; ialaiola ; 35 
 2256 ; 15 копеек ; 1978 ;  ; Cu-Ni ; XF ; 9 ; ialaiola ; 35 
 2257 ; 2 копейки ; 1980 ;  ; Cu-Zn ; AU ; 35 ; Виталий74 ; 101 
 2258 ; 10 копеек ; 1974 ;  ; Cu-Ni ; AU ; 11 ; Рой ; 185 
 2259 ; 1 рубль ; 1988 ;  ; Cu-Ni ; VF ; 28 ; Rjn ; 155 
 2260 ; 1 рубль ; 1965 ;  ; Cu-Ni ; VF ; 23 ; семь ; 206 
 2261 ; 1 рубль ; 1985 ; 40 лет Победы над Германией ; Cu-Ni ; AU ; 5 ; Тульма ; 51 
 2262 ; 1 рубль ; 1961 ;  ; Cu-Ni ; VF ; 18 ; Сhatsky ; 131 
 2263 ; 1 рубль ; 1964 ;  ; Cu-Ni ; VF ; 11 ; Serglob ; 25 
 2264 ; 1 рубль ; 1986 ;  ; Cu-Ni ; XF ; 51 ; семь ; 363 
 2265 ; 50 копеек ; 1991 ; ЛМД ; Cu-Ni ; AU ; 13 ; ВЕС ; 100 
 2266 ; 3 копейки Л/с 20 коп 1980г ; 1989 ;  ; Cu-Zn ; AU ; 5 ; Habs777 ; 26 
 2267 ; 1 копейка ; 1975 ;  ; Cu-Zn ; AU ; 19 ; assesor ; 59 
 2268 ; 2 копейки ; 1978 ;  ; Cu-Zn ; AU ; 16 ; 462 ; 51 
 2269 ; 20 копеек Вторые колосья с остями ; 1980 ;  ; Cu-Ni ; AU ; 11 ; LIS80 ; 78 
 2270 ; 10 копеек ; 1982 ;  ; Cu-Ni ; AU ; 35 ; Виталий74 ; 101 
 2271 ; 5 копеек ; 1986 ;  ; Cu-Zn ; AU ; 6 ; kultan ; 49 
 2272 ; 20 копеек ; 1981 ;  ; Cu-Ni ; AU ; 25 ; maximus8404 ; 78 
 2273 ; 3 копейки Герб приспущен ; 1987 ;  ; Cu-Zn ; AU ; 39 ; ATF72 ; 131 
 2274 ; 1 копейка Без солнца ; 1991 ; ЛМД ; Cu-Zn ; AU ; 9 ; Habs777 ; 31 
 2275 ; 5 копеек ; 1984 ;  ; Cu-Zn ; XF+ ; 18 ; ATF72 ; 49 
 2276 ; 50 копеек ; 1991 ; ЛМД ; Cu-Ni ; AU ; 13 ; ГраF ; 141 
 2277 ; 15 копеек ; 1981 ;  ; Cu-Ni ; AU ; 35 ; Виталий74 ; 99 
 2278 ; 5 копеек ; 1982 ;  ; Cu-Zn ; AU ; 28 ; Виталий74 ; 104 
 2279 ; 10 копеек С уступом ; 1980 ;  ; Cu-Ni ; AU ; 9 ; assesor ; 49 
 2280 ; 1 рубль ; 1961 ;  ; Cu-Ni ; VF+ ; 26 ; rem. ; 131 
 2281 ; 1 рубль ; 1965 ;  ; Cu-Ni ; VF+ ; 20 ; Rjn ; 206 
 2282 ; 1 рубль ; 1966 ;  ; Cu-Ni ; VF-XF ; 64 ; arevera ; 2845 
 2283 ; 1 рубль ; 1967 ;  ; Cu-Ni ; AU ; 37 ; Рой ; 1255 
 2184 ; 5 копеек ; 1939 ;  ; Br ; F ; 18 ; ВЕС ; 138 
 2185 ; 5 копеек ; 1943 ;  ; Br ; F-VF ; 27 ; ВЕС ; 165 
 2186 ; 5 копеек ; 1953 ;  ; Br ; F-VF ; 40 ; Barsergei ; 165 
 2187 ; 3 копейки ; 1931 ;  ; Br ; VF ; 5 ; CMSpb ; 51 
 2188 ; 3 копейки ; 1941 ;  ; Br ; VF- ; 4 ; vic2 ; 50 
 2189 ; 2 копейки ; 1935 ;  ; Br ; F ; 6 ; vic2 ; 50 
 2190 ; 3 копейки ; 1977 ;  ; Cu-Zn ; AU ; 35 ; tpls ; 147 
 2191 ; 2 копейки ; 1935 ;  ; Br ; F ; 11 ; koler ; 294 
 2192 ; 3 копейки ; 1971 ;  ; Cu-Zn ; XF ; 3 ; vic2 ; 30 
 2193 ; 3 копейки ; 1979 ;  ; Cu-Zn ; AU ; 26 ; Lammo ; 153 
 2194 ; 3 копейки ; 1980 ;  ; Cu-Zn ; AU ; 22 ; Виталий74 ; 89 
 2195 ; 1 рубль ; 1991 ; ММД ; Cu-Ni ; XF ; 38 ; семь ; 212 
 2196 ; 5 рублей ; 1992 ; ММД ; Fe в Cu-Zn ; AU ; 40 ; gelo ; 101 
 2197 ; 1 рубль ; 1990 ;  ; Cu-Ni ; XF- ; 39 ; семь ; 220 
 2198 ; 50 копеек ; 1991 ; Л ; Cu-Ni ; XF ; 1 ; ialaiola ; 2 
 2199 ; 10 копеек ; 1933 ;  ; Ni ; F ; 1 ; Чапай ; 2 
 2200 ; 5 копеек ; 1956 ;  ; Br ; F-VF ; 2 ; Чапай ; 3 
 2201 ; 15 копеек ; 1932 ;  ; Ni ; VF+ ; 9 ; ГраF ; 105 
 2202 ; 100 рублей ; 1993 ; ММД Белый металл ; Cu-Ni ; AU ; 27 ; dimam_kz ; 222 
 2203 ; 1 копейка ; 1937 ;  ; Br ; F+ ; 31 ; ЖИГУЛЬ ; 83 
 2204 ; 1 копейка ; 1940 ;  ; Br ; F-VF ; 15 ; Spanish.archer ; 50 
 2205 ; 1 копейка ; 1952 ;  ; Br ; VF ; 9 ; Barin13 ; 30 
 2206 ; 1 копейка ; 1938 ;  ; Br ; VF- ; 4 ; Barin13 ; 30 
 2207 ; 1 копейка ; 1940 ;  ; Br ; VF- ; 4 ; Barin13 ; 25 
 2208 ; 10 копеек ; 1935 ;  ; Ni ; VF ; 20 ; ГраF ; 196 
 2209 ; 10 копеек ; 1936 ;  ; Ni ; VF ; 17 ; nikki999 ; 80 
 2210 ; 10 копеек ; 1936 ;  ; Ni ; VF ; 11 ; Spanish.archer ; 71 
 2211 ; 10 копеек ; 1937 ;  ; Ni ; VF ; 18 ; Markgraf ; 243 
 2212 ; 10 копеек ; 1938 ;  ; Ni ; VF+ ; 21 ; Holder31 ; 264 
 2213 ; 10 копеек ; 1939 ;  ; Ni ; VF ; 27 ; koler ; 510 
 2214 ; 10 копеек ; 1940 ;  ; Ni ; VF ; 12 ; ВЕС ; 82 
 2215 ; 15 копеек ; 1936 ;  ; Ni ; VF- ; 22 ; ГраF ; 209 
 2216 ; 15 копеек ; 1937 ;  ; Ni ; F-VF ; 53 ; sovmin ; 635 
 2217 ; 15 копеек ; 1939 ;  ; Ni ; VF ; 35 ; ВЕС ; 181 
 2218 ; 15 копеек ; 1939 ;  ; Ni ; VF- ; 24 ; koler ; 408 
 2219 ; 15 копеек ; 1940 ;  ; Ni ; VF+ ; 9 ; Holder31 ; 162 
 2220 ; 20 копеек ; 1938 ; Л/с звезда плоская, шт. 20 коп. ; Ni ; VF ; 7 ; Jhondo ; 67 
 2221 ; 20 копеек ; 1936 ; Л/с звезда плоская ; Ni ; VF+ ; 6 ; Jhondo ; 22 
 2222 ; 20 копеек ; 1939 ;  ; Ni ; VF ; 47 ; горный ; 246 
 2223 ; 20 копеек ; 1938 ; Л/с звезда плоская, шт. 20 коп. ; Ni ; VF ; 12 ; Spanish.archer ; 90 
 2224 ; 5 копеек ; 1931 ;  ; Br ; F-VF ; 18 ; goro-vovka ; 67 
 2225 ; 5 копеек ; 1940 ;  ; Br ; VF ; 21 ; Чапай ; 57 
 2226 ; 5 копеек ; 1937 ;  ; Br ; VF ; 58 ; Запруда ; 2122 
 2227 ; 5 копеек ; 1951 ;  ; Br ; VF ; 81 ; рихтеб ; 1432 
 2228 ; 5 копеек ; 1941 ;  ; Br ; F-VF ; 50 ; Holder31 ; 390 
 2229 ; 2 копейки ; 1935 ;  ; Br ; VF ; 34 ; Продавeц ; 164 
 2230 ; 1 копейка ; 1937 ;  ; Br ; XF ; 64 ; vtf ; 466 
 2231 ; 2 копейки ; 1955 ;  ; Br ; XF ; 54 ; ЖИГУЛЬ ; 87 
 2232 ; 15 копеек ; 1977 ;  ; Cu-Ni ; AU ; 35 ; Виталий74 ; 69 
 2233 ; 2 копейки ; 1978 ;  ; Cu-Zn ; AU ; 21 ; tpls ; 159 
 2134 ; 20 копеек ; 1936 ; Л/с звезда плоская ; Ni ; VF+ ; 7 ; Spanish.archer ; 100 
 2135 ; 10 копеек ; 1938 ;  ; Ni ; VF- ; 18 ; ВЕС ; 306 
 2136 ; 10 копеек ; 1939 ;  ; Ni ; VF ; 32 ; Коллекционер СНГ ; 301 
 2137 ; 10 копеек ; 1940 ;  ; Ni ; VF+ ; 10 ; ГраF ; 204 
 2138 ; 2 копейки ; 1930 ;  ; Br ; F ; 3 ; гром ; 82 
 2139 ; 1 копейка ; 1940 ;  ; Br ; VF- ; 18 ; psrjdf1863 ; 153 
 2140 ; 1 рубль ; 1989 ;  ; Cu-Ni ; XF ; 5 ; семь ; 126 
 2141 ; 5 копеек ; 1929 ;  ; Br ; F- ; 34 ; nikki999 ; 111 
 2142 ; 3 копейки ; 1948 ;  ; Br ; VF ; 6 ; Niknik67 ; 31 
 2143 ; 3 копейки ; 1949 ;  ; Br ; VF+ ; 4 ; Сhatsky ; 16 
 2144 ; 2 копейки ; 1933 ;  ; Br ; F-VF ; 10 ; drn137 ; 114 
 2145 ; 2 копейки ; 1941 ;  ; Br ; F-VF ; 27 ; psrjdf1863 ; 276 
 2146 ; 2 рубля ; 1999 ; ММД ; Cu-Ni-Zn ; VF- ; 16 ; Сhatsky ; 254 
 2147 ; 2 копейки ; 1926 ;  ; Br ; VF- ; 16 ; Barin13 ; 45 
 2148 ; 2 копейки ; 1930 ;  ; Br ; VF- ; 40 ; ЖИГУЛЬ ; 113 
 2149 ; 1 рубль ; 1991 ; ММД ; Cu-Ni ; XF ; 41 ; ЗаНевский ; 181 
 2150 ; 5 рублей ; 1991 ; ММД ; Cu-Ni ; XF ; 51 ; трутень ; 146 
 2151 ; 5 рублей ; 1992 ; ММД ; Fe в Cu-Zn ; XF ; 9 ; gelo ; 76 
 2152 ; 5 копеек ; 1928 ;  ; Br ; VF ; 27 ; sovmin ; 357 
 2153 ; 5 копеек ; 1929 ;  ; Br ; VF ; 46 ; ГраF ; 271 
 2154 ; 3 копейки ; 1935 ;  ; Br ; VF ; 12 ; Markgraf ; 49 
 2155 ; 5 копеек ; 1941 ;  ; Br ; F-VF ; 27 ; koler ; 417 
 2156 ; 3 копейки ; 1939 ;  ; Br ; F-VF ; 9 ; nikki999 ; 25 
 2157 ; 1 копейка ; 1930 ;  ; Br ; F-VF ; 10 ; drn137 ; 77 
 2158 ; 1 копейка ; 1931 ;  ; Br ; F-VF ; 7 ; nikki999 ; 25 
 2159 ; 1 рубль ; 1980 ;  ; Cu-Ni ; AU ; 37 ; gelo ; 2624 
 2160 ; 3 копейки ; 1975 ;  ; Cu-Zn ; XF ; 5 ; трутень ; 46 
 2161 ; 15 копеек. Выкус штемпеля ; 1991 ; ЛМД ; Cu-Ni ; XF ; 11 ; каррр ; 59 
 2162 ; 1 рубль ; 1961 ;  ; Cu-Ni ; VF-XF ; 9 ; Rjn ; 159 
 2163 ; 50 копеек ; 1973 ;  ; Cu-Ni ; VF+ ; 46 ; Terem ; 241 
 2164 ; 50 копеек ; 1991 ; ММД ; Cu-Ni ; AU ; 48 ; 13 ; 152 
 2165 ; 50 копеек ; 1990 ;  ; Cu-Ni ; XF ; 22 ; ГраF ; 230 
 2166 ; 50 копеек ; 1965 ;  ; Cu-Ni ; VF- ; 46 ; ГраF ; 117 
 2167 ; 50 копеек ; 1972 ;  ; Cu-Ni ; VF- ; 54 ; Kudma ; 250 
 2168 ; 50 копеек ; 1961 ;  ; Cu-Ni ; VF ; 15 ; ГраF ; 148 
 2169 ; 50 копеек ; 1989 ;  ; Cu-Ni ; AU ; 27 ; Moryak ; 357 
 2170 ; 5 копеек ; 1929 ;  ; Br ; F- ; 60 ; cotangens ; 69 
 2171 ; 5 копеек ; 1950 ;  ; Br ; VF+ ; 61 ; sovmin ; 1082 
 2172 ; 5 копеек ; 1951 ;  ; Br ; F+ ; 48 ; 13 ; 336 
 2173 ; 3 копейки ; 1938 ;  ; Br ; F ; 15 ; sarspas ; 111 
 2174 ; 1 копейка ; 1928 ;  ; Br ; F ; 45 ; cotangens ; 57 
 2175 ; 1 копейка ; 1931 ;  ; Br ; F ; 8 ; cotangens ; 19 
 2176 ; 1 копейка ; 1938 ;  ; Br ; VF ; 14 ; ГраF ; 87 
 2177 ; 1 копейка ; 1940 ;  ; Br ; VF-XF ; 18 ; cotangens ; 40 
 2178 ; 1 копейка ; 1945 ;  ; Br ; VF ; 58 ; ГраF ; 465 
 2179 ; 1 копейка ; 1945 ;  ; Br ; VF ; 40 ; ВЕС ; 216 
 2180 ; 2 копейки ; 1964 ;  ; Cu-Zn ; VF ; 28 ; kalita ; 323 
 2181 ; 1 копейка ; 1964 ;  ; Cu-Zn ; VF- ; 29 ; рихтеб ; 161 
 2182 ; 5 копеек ; 1930 ;  ; Br ; VF- ; 7 ; vic2 ; 30 
 2183 ; 5 копеек ; 1931 ;  ; Br ; VF- ; 33 ; Spanish.archer ; 189 
 2084 ; 2 копейки ; 1935 ;  ; Br ; F-VF ; 31 ; старлей ; 313 
 2085 ; 3 копейки ; 1932 ;  ; Br ; F-VF ; 4 ; konstk2 ; 108 
 2086 ; 3 копейки ; 1933 ;  ; Br ; F-VF ; 22 ; koler ; 310 
 2087 ; 3 копейки ; 1938 ;  ; Br ; VF-XF ; 6 ; konstk2 ; 114 
 2088 ; 3 копейки ; 1940 ;  ; Br ; VF-XF ; 22 ; konstk2 ; 55 
 2089 ; 5 копеек ; 1938 ;  ; Br ; VF+ ; 25 ; CMSpb ; 813 
 2090 ; 5 копеек ; 1940 ;  ; Br ; VF+ ; 24 ; konstk2 ; 408 
 2091 ; 5 копеек ; 1943 ;  ; Br ; F-VF ; 18 ; Spanish.archer ; 102 
 2092 ; 3 копейки ; 1926 ;  ; Br ; F+ ; 27 ; ГраF ; 98 
 2093 ; 2 копейки ; 1941 ;  ; Br ; VF ; 52 ; старлей ; 389 
 2094 ; 2 копейки ; 1926 ;  ; Br ; VF+ ; 25 ; 1968ac ; 170 
 2095 ; 1 рубль ; 1991 ; ЛМД ; Cu-Ni ; AU ; 21 ; Moryak ; 235 
 2096 ; 1 рубль ; 1961 ;  ; Cu-Ni ; AU ; 38 ; семь ; 308 
 2097 ; 1 рубль ; 1989 ;  ; Cu-Ni ; AU ; 20 ; семь ; 220 
 2098 ; 1 рубль ; 1964 ;  ; Cu-Ni ; AU ; 17 ; Рой ; 153 
 2099 ; 1 рубль ; 1984 ;  ; Cu-Ni ; AU ; 47 ; MaxA ; 502 
 2100 ; 5 рублей ; 1991 ; ММД ; Cu-Ni ; VF-XF ; 39 ; NNN ; 143 
 2101 ; 50 копеек ; 1968 ;  ; Cu-Ni ; VF ; 31 ; kvs ; 59 
 2102 ; 50 копеек ; 1977 ;  ; Cu-Ni ; VF+ ; 27 ; лисёнок ; 100 
 2103 ; 20 копеек ; 1936 ; Л/с звезда плоская ; Ni ; F-VF ; 7 ; ГраF ; 21 
 2104 ; 20 копеек ; 1953 ;  ; Ni ; XF ; 15 ; ГраF ; 34 
 2105 ; 3 копейки ; 1984 ;  ; Cu-Zn ; AU ; 7 ; горный ; 36 
 2106 ; 3 копейки ; 1989 ;  ; Cu-Zn ; AU ; 2 ; горный ; 31 
 2107 ; 3 копейки ; 1991 ; ММД ; Cu-Zn ; AU ; 4 ; Тульма ; 31 
 2108 ; 2 копейки ; 1961 ;  ; Cu-Zn ; AU ; 41 ; Рой ; 201 
 2109 ; 2 копейки ; 1963 ;  ; Cu-Zn ; AU ; 41 ; nivva ; 512 
 2110 ; 2 копейки ; 1972 ;  ; Cu-Zn ; AU ; 11 ; Logistik ; 59 
 2111 ; 2 копейки ; 1973 ;  ; Cu-Zn ; XF/AU ; 1 ; vic2 ; 30 
 2112 ; 2 копейки ; 1974 ;  ; Cu-Zn ; AU ; 7 ; psrjdf1863 ; 101 
 2113 ; 2 копейки ; 1985 ;  ; Cu-Zn ; AU ; 10 ; 462 ; 100 
 2114 ; 2 копейки ; 1986 ;  ; Cu-Zn ; AU ; 4 ; psrjdf1863 ; 101 
 2115 ; 2 копейки ; 1988 ;  ; Cu-Zn ; AU ; 1 ; vic2 ; 30 
 2116 ; 2 копейки ; 1991 ; ММД ; Cu-Zn ; AU ; 21 ; Holder31 ; 67 
 2117 ; 2 копейки ; 1991 ; ЛМД ; Cu-Zn ; AU ; 9 ; 462 ; 37 
 2118 ; 1 копейка ; 1969 ;  ; Cu-Zn ; AU ; 61 ; Bonifaci ; 137 
 2119 ; 1 копейка ; 1975 ;  ; Cu-Zn ; AU ; 30 ; Ты надоел уже ; 104 
 2120 ; 1 рубль ; 1969 ;  ; Cu-Ni ; VF ; 66 ; Продавeц ; 1152 
 2121 ; 1 рубль ; 1964 ;  ; Cu-Ni ; XF ; 21 ; спарта ; 30 
 2122 ; 1 рубль ; 1967 ;  ; Cu-Ni ; VF ; 67 ; Сhatsky ; 1074 
 2123 ; 1 рубль ; 1988 ;  ; Cu-Ni ; VF ; 15 ; семь ; 177 
 2124 ; 5 копеек ; 1929 ;  ; Br ; F-VF ; 27 ; Spanish.archer ; 181 
 2125 ; 1 рубль ; 1987 ;  ; Cu-Ni ; VF-XF ; 21 ; Barsergei ; 510 
 2126 ; 15 копеек ; 1940 ;  ; Ni ; XF- ; 32 ; Мерен ; 240 
 2127 ; 2 копейки ; 1935 ;  ; Br ; VF ; 28 ; Сhatsky ; 116 
 2128 ; 1 копейка ; 1933 ;  ; Br ; VF ; 33 ; Spanish.archer ; 204 
 2129 ; 15 копеек ; 1939 ;  ; Ni ; XF ; 20 ; revarg ; 623 
 2130 ; 20 копеек ; 1932 ;  ; Ni ; VF+ ; 15 ; goro-vovka ; 131 
 2131 ; 20 копеек ; 1931 ;  ; Ni ; VF- ; 14 ; ГраF ; 190 
 2132 ; 20 копеек ; 1933 ;  ; Ni ; VF+ ; 11 ; гром ; 126 
 2133 ; 20 копеек ; 1935 ; Л/с звезда плоская ; Ni ; VF+ ; 29 ; ГраF ; 317 
 2034 ; 1 рубль ; 1988 ; 160 лет со дня рождения Л.Н.Толстого ; Cu-Ni ; AU ; 11 ; aleks1753 ; 65 
 2035 ; 1 рубль ; 1991 ; 125 лет со дня рождения П.Н.Лебедева ; Cu-Ni ; XF ; 3 ; Egor19041994 ; 51 
 2036 ; 1 рубль ; 1985 ; Фестиваль молодежи и студентов в Москве ; Cu-Ni ; XF ; 8 ; barbos ; 51 
 2037 ; 1 рубль ; 1985 ; 165 лет со дня рождения Ф.Энгельса ; Cu-Ni ; XF ; 9 ; keryn67 ; 216 
 2038 ; 1 рубль ; 1988 ; 120 лет со дня рождения А.М.Горького ; Cu-Ni ; AU ; 14 ; Рой ; 92 
 2039 ; 1 рубль ; 1989 ; 175 лет со дня рождения Т.Г.Шевченко ; Cu-Ni ; XF ; 6 ; barbos ; 59 
 2040 ; 1 рубль ; 1991 ; 550 лет со дня рождения А.Навои ; Cu-Ni ; AU ; 13 ; ACDC ; 79 
 2041 ; 1 рубль ; 1986 ; 275 лет со дня рождения М.В.Ломоносова ; Cu-Ni ; AU ; 43 ; горный ; 261 
 2042 ; 5 рублей ; 1988 ; Памятник Петру I в Ленинграде ; Cu-Ni ; Proof ; 9 ; didisister ; 259 
 2043 ; 5 рублей ; 1991 ; Здание Госбанка СССР в Москве ; Cu-Ni ; Proof ; 9 ; Лик 143 ; 170 
 2044 ; 5 рублей ; 1990 ; Успенский собор в Москве ; Cu-Ni ; Proof ; 17 ; Лик 143 ; 153 
 2045 ; 5 рублей ; 1988 ; Памятник в Новгороде "Тысячелетие России" ; Cu-Ni ; Proof ; 7 ; didisister ; 291 
 2046 ; 5 рублей ; 1991 ; Архангельский собор в Москве ; Cu-Ni ; Proof ; 11 ; Лик 143 ; 150 
 2047 ; 5 рублей ; 1989 ; Благовещенский собор в Москве ; Cu-Ni ; Proof ; 3 ; didisister ; 255 
 2048 ; 5 рублей ; 1989 ; Собор Покрова на рву в Москве ; Cu-Ni ; Proof ; 9 ; didisister ; 249 
 2049 ; 5 рублей ; 1990 ; Большой дворец в Петродворце ; Cu-Ni ; Proof ; 9 ; didisister ; 247 
 2050 ; 5 рублей ; 1989 ; Ансамбль Регистан в Самарканде ; Cu-Ni ; Proof ; 13 ; Лик 143 ; 252 
 2051 ; 5 рублей ; 1991 ; Памятник Давиду Сасунскому в Ереване ; Cu-Ni ; Proof ; 5 ; Лик 143 ; 171 
 2052 ; 5 рублей ; 1988 ; Софийский собор в Киеве ; Cu-Ni ; Proof ; 7 ; didisister ; 249 
 2053 ; 5 рублей ; 1990 ; Матенадаран.Ереван ; Cu-Ni ; Proof ; 17 ; Лик 143 ; 168 
 2054 ; 3 рубля ; 1992 ; 750 лет победы А.Невского ; Cu-Ni ; Proof ; 13 ; didisister ; 308 
 2055 ; 3 рубля ; 1992 ; 750 лет победы А.Невского ; Cu-Ni ; Proof ; 30 ; DmirtiyM ; 295 
 2056 ; 3 рубля ; 1992 ; Международный год космоса ; Cu-Ni ; Proof ; 17 ; didisister ; 343 
 2057 ; 3 рубля ; 1992 ; Международный год космоса ; Cu-Ni ; Proof ; 17 ; SupERGood ; 322 
 2058 ; 1 рубль ; 1987 ; 175 лет Бородино (барельеф) ; Cu-Ni ; Proof ; 3 ; Лик 143 ; 104 
 2059 ; 1 рубль ; 1987 ; 175 лет Бородино (барельеф) ; Cu-Ni ; Proof ; 7 ; семь ; 124 
 2060 ; 1 рубль ; 1987 ; 175 лет Бородино (барельеф) ; Cu-Ni ; Proof ; 7 ; Лик 143 ; 114 
 2061 ; 1 рубль ; 1987 ; 175 лет Бородино (барельеф) ; Cu-Ni ; Proof ; 7 ; Лик 143 ; 113 
 2062 ; 1 рубль ; 1987 ; 175 лет Бородино (обелиск) ; Cu-Ni ; Proof ; 10 ; alex7879 ; 124 
 2063 ; 1 рубль ; 1987 ; 175 лет Бородино (обелиск) ; Cu-Ni ; Proof ; 13 ; семь ; 133 
 2064 ; 1 рубль ; 1991 ; 125 лет со дня рождения П.Н.Лебедева ; Cu-Ni ; Proof ; 11 ; alex7879 ; 123 
 2065 ; 1 рубль ; 1989 ; 175 лет со дня рождения М.Ю.Лермонтова ; Cu-Ni ; Proof ; 14 ; Holder31 ; 225 
 2066 ; 1 рубль ; 1990 ; Маршал СССР Г.К.Жуков ; Cu-Ni ; Proof ; 33 ; Spanish.archer ; 359 
 2067 ; 1 рубль ; 1989 ; 100 лет со дня рождения Ниязи ; Cu-Ni ; Proof ; 16 ; DVD67 ; 169 
 2068 ; 1 рубль ; 1991 ; 550 лет со дня рождения А.Навои ; Cu-Ni ; Proof ; 9 ; Лик 143 ; 114 
 2069 ; 1 рубль ; 1990 ; 500 лет со дня рождения Ф.Скорины ; Cu-Ni ; Proof ; 13 ; borshik ; 123 
 2070 ; 1 рубль. Упаковка ; 1993 ; 130 лет со дня рождения В.И.Вернадского."пруф", без знака МД ; Cu-Ni ; Proof ; 26 ; an78gg ; 2350 
 2071 ; 15 копеек ; 1957 ; В венке герба 15 лент ; Ni ; AU ; 44 ; Женя50 ; 75 
 2072 ; 10 копеек ; 1953 ;  ; Ni ; F ; 6 ; kvs ; 7 
 2073 ; 10 копеек ; 1973 ;  ; Cu-Ni ; VF ; 10 ; ATF72 ; 25 
 2074 ; 5 копеек ; 1955 ;  ; Br ; VF-XF ; 57 ; ГраF ; 169 
 2075 ; 5 копеек ; 1957 ; В венке герба 15 лент ; Br ; XF ; 61 ; ГраF ; 211 
 2076 ; 5 копеек ; 1975 ;  ; Cu-Zn ; VF ; 9 ; Тульма ; 51 
 2077 ; 3 копейки ; 1952 ;  ; Br ; VF ; 13 ; kvs ; 37 
 2078 ; 3 копейки ; 1949 ;  ; Br ; VF ; 18 ; CMSpb ; 31 
