 5865 ; Бона иностранная. Перу ;  ;  ;  ; AU ; 63 ; mart_si ; 223 
 1672 ; 1 рубль ; 1991 ; 550 лет со дня рождения А.Навои ; Cu-Ni ; XF+ ; 14 ; arsenich-s ; 83 
 1673 ; 1 рубль ; 1989 ; 175 лет со дня рождения М.Ю.Лермонтова ; Cu-Ni ; AU ; 9 ; arsenich-s ; 74 
 1674 ; 1 рубль ; 1991 ; 100 лет со дня рождения С.Прокофьева ; Cu-Ni ; AU ; 13 ; arsenich-s ; 79 
 1675 ; 1 рубль ; 1991 ; 125 лет со дня рождения П.Н.Лебедева ; Cu-Ni ; AU ; 25 ; ацетон ; 114 
 1676 ; 3 рубля ; 1995 ; 50 лет освобождения Кенигсберга. ; Cu-Ni ; Proof ; 48 ; u10257 ; 1540 
 1677 ; 3 рубля ; 1995 ; 50 лет освобождения Вены ; Cu-Ni ; Proof ; 18 ; dic79 ; 357 
 1678 ; 3 рубля ; 1994 ; 50 лет освобождения Белграда ; Cu-Ni ; Proof ; 23 ; ввп ; 1330 
 1679 ; 3 рубля ; 1994 ; 50 лет открытия Второго фронта ; Cu-Ni ; Proof ; 19 ; u10257 ; 2719 
 1680 ; 3 рубля ; 1993 ; 50 лет победы в Сталинградской битве ; Cu-Ni ; Proof ; 28 ; persep ; 602 
 1681 ; 3 рубля ; 1994 ; Партизаны в ВОВ ; Cu-Ni ; Proof ; 5 ; Avid ; 1500 
 1682 ; 5 рублей ; 1991 ; Архангельский собор в Москве ; Cu-Ni ; Proof ; 17 ; Carbon ; 159 
 1683 ; 5 рублей ; 1990 ; Большой дворец в Петродворце ; Cu-Ni ; Proof ; 17 ; saturn ; 163 
 1684 ; 5 рублей ; 1988 ; Памятник Петру I в Ленинграде ; Cu-Ni ; Proof ; 22 ; stark-2006 ; 169 
 1685 ; 5 рублей ; 1989 ; Собор Покрова на рву в Москве ; Cu-Ni ; Proof ; 34 ; Volleo ; 260 
 1686 ; 5 рублей ; 1988 ; Памятник в Новгороде "Тысячелетие России" ; Cu-Ni ; Proof ; 15 ; ter ; 235 
 1687 ; 5 рублей ; 1990 ; Успенский собор в Москве ; Cu-Ni ; Proof ; 17 ; Rober ; 178 
 1688 ; 5 рублей ; 1991 ; Здание Госбанка СССР в Москве ; Cu-Ni ; Proof ; 35 ; arsenich-s ; 203 
 1689 ; 5 рублей ; 1991 ; Памятник Давиду Сасунскому в Ереване ; Cu-Ni ; Proof ; 15 ; Volleo ; 209 
 1690 ; 5 рублей ; 1990 ; Матенадаран.Ереван ; Cu-Ni ; Proof ; 16 ; Oleg73 ; 163 
 1691 ; 1 рубль ; 1992 ; 110 лет со дня рождения Я.Купалы ; Cu-Ni ; Proof ; 53 ; goram ; 505 
 1692 ; 1 рубль ; 1991 ; 850 лет со дня рождения Низами Гянджеви ; Cu-Ni ; Proof ; 15 ; arsenich-s ; 159 
 1693 ; 1 рубль ; 1991 ; 125 лет со дня рождения П.Н.Лебедева ; Cu-Ni ; Proof ; 14 ; arsenich-s ; 135 
 1694 ; 1 рубль ; 1990 ; 125 лет со дня рождения Я.Райниса ; Cu-Ni ; Proof ; 16 ; arsenich-s ; 136 
 1695 ; 1 рубль ; 1987 ; 130 лет со дня рождения К.Э.Циолковского ; Cu-Ni ; Proof ; 38 ; iizikul ; 206 
 1696 ; 1 рубль ; 1989 ; 175 лет со дня рождения Т.Г.Шевченко ; Cu-Ni ; Proof ; 14 ; arsenich-s ; 135 
 1697 ; 1 рубль ; 1991 ; 100 лет со дня рождения С.Прокофьева ; Cu-Ni ; Proof ; 21 ; arsenich-s ; 133 
 1698 ; 1 рубль ; 1989 ; 175 лет со дня рождения М.Ю.Лермонтова ; Cu-Ni ; Proof ; 20 ; arsenich-s ; 135 
 1699 ; 1 рубль ; 1990 ; 130 лет со дня рождения А.П.Чехова ; Cu-Ni ; Proof ; 19 ; iizikul ; 170 
 1700 ; 1 рубль ; 1991 ; 550 лет со дня рождения А.Навои ; Cu-Ni ; Proof ; 16 ; arsenich-s ; 135 
 1701 ; 1 рубль ; 1990 ; 500 лет со дня рождения Ф.Скорины ; Cu-Ni ; Proof ; 18 ; arsenich-s ; 148 
 1702 ; 1 рубль ; 1988 ; 120 лет со дня рождения А.М.Горького ; Cu-Ni ; Proof ; 16 ; arsenich-s ; 153 
 1703 ; 1 рубль. Упаковка ; 1968 ;  ; Cu-Ni ; AU ; 31 ; Al1964 ; 969 
 1704 ; 50 копеек. Упаковка ; 1968 ;  ; Cu-Ni ; AU ; 71 ; Vol4en0k ; 816 
 1705 ; 20 копеек. Упаковка ; 1968 ;  ; Cu-Ni ; AU ; 34 ; юденич ; 1438 
 1706 ; 15 копеек. Упаковка ; 1968 ;  ; Cu-Ni ; AU ; 18 ; юденич ; 1381 
 1707 ; 10 копеек. Упаковка ; 1968 ;  ; Cu-Ni ; AU ; 34 ; Новик ; 1353 
 1708 ; 5 копеек. Упаковка ; 1968 ;  ; Cu-Zn ; AU ; 22 ; strutikut ; 1154 
 1709 ; 3 копейки. Упаковка ; 1968 ;  ; Cu-Zn ; AU ; 40 ; Vol4en0k ; 453 
 1710 ; 2 копейки. Упаковка ; 1968 ;  ; Cu-Zn ; AU ; 9 ; Vol4en0k ; 83 
 1711 ; 1 копейка. Упаковка ; 1968 ;  ; Cu-Zn ; AU ; 11 ; Vol4en0k ; 83 
 1712 ; 1 рубль ; 1970 ;  ; Cu-Ni ; AU ; 64 ; ЦЕЛКОВЫЙ ; 1841 
 1713 ; 15 копеек. 50 лет Советской власти ; 1967 ;  ; Cu-Ni ; AU ; 14 ; igm77 ; 109 
 1714 ; 10 копеек. 50 лет Советской власти ; 1967 ;  ; Cu-Ni ; AU ; 6 ; BillBerri ; 100 
 1715 ; 1 копейка ; 1940 ;  ; Br ; AU ; 34 ; igm77 ; 271 
 1616 ; 3 рубля ; 1987 ; 70 лет Октябрьской революции ; Cu-Ni ; AU ; 11 ; хуторянин ; 161 
 1617 ; 3 рубля ; 1989 ; Землятресение в Армении ; Cu-Ni ; AU ; 17 ; uz ; 120 
 1618 ; 3 рубля ; 1991 ; 50 лет победы под Москвой ; Cu-Ni ; XF+ ; 22 ; Vasilyi9 ; 306 
 1619 ; 1 рубль ; 1975 ; 30 лет Победы в войне 1941-1945 ; Cu-Ni ; XF+ ; 6 ; юрий73 ; 59 
 1620 ; 1 рубль ; 1977 ; 60 лет Советской власти ; Cu-Ni ; XF ; 21 ; ацетон ; 87 
 1621 ; 1 рубль ; 1977 ; Олимпиада 80.Эмблема Олимпийских игр ; Cu-Ni ; XF ; 10 ; Djek ; 67 
 1622 ; 1 рубль. Ошибка на циферблате ; 1978 ; Олимпиада 80.Московский Кремль ; Cu-Ni ; AU ; 7 ; fouli ; 327 
 1623 ; 1 рубль ; 1979 ; Олимпиада 80.Здание МГУ ; Cu-Ni ; AU ; 16 ; imi ; 90 
 1624 ; 1 рубль ; 1979 ; Олимпиада 80.Обелиск покорителям космоса ; Cu-Ni ; XF+ ; 15 ; юрий73 ; 123 
 1625 ; 1 рубль ; 1980 ; Олимпиада 80.Здание Моссовета ; Cu-Ni ; AU ; 14 ; ацетон ; 99 
 1626 ; 1 рубль ; 1980 ; Олимпиада 80.Олимпийский факел ; Cu-Ni ; AU ; 15 ; drn137 ; 204 
 1627 ; 1 рубль ; 1981 ; 20 лет полета в космос Ю.Гагарина ; Cu-Ni ; XF ; 13 ; gdrg2 ; 117 
 1628 ; 1 рубль ; 1981 ; Дружба навеки ; Cu-Ni ; XF+ ; 23 ; ANGEL 23 ; 355 
 1629 ; 1 рубль ; 1982 ; 60 лет образования СССР ; Cu-Ni ; AU ; 16 ; ANGEL 23 ; 319 
 1630 ; 1 рубль ; 1983 ; 165 лет со дня рождения К.Маркса ; Cu-Ni ; AU ; 16 ; кс ; 270 
 1631 ; 1 рубль ; 1983 ; 400 лет со дня смерти И.Федорова 1510-1583 ; Cu-Ni ; AU ; 15 ; Закрыт ; 247 
 1632 ; 1 рубль ; 1984 ; 150 лет со дня рождения Д.И.Менделеева ; Cu-Ni ; AU ; 13 ; Praetorians ; 275 
 1633 ; 1 рубль ; 1984 ; 125 лет со дня рождения А.С.Попова ; Cu-Ni ; AU ; 22 ; klimvita ; 268 
 1634 ; 1 рубль ; 1984 ; 185 лет со дня рождения А.С.Пушкина ; Cu-Ni ; AU ; 2 ; stark-2006 ; 306 
 1635 ; 1 рубль ; 1985 ; 40 лет Победы над Германией ; Cu-Ni ; AU ; 12 ; gdrg2 ; 91 
 1636 ; 1 рубль ; 1985 ; 40 лет Победы над Германией ; Cu-Ni ; AU ; 6 ; юрий73 ; 57 
 1637 ; 1 рубль ; 1985 ; Фестиваль молодежи и студентов в Москве ; Cu-Ni ; XF+ ; 8 ; юрий73 ; 72 
 1638 ; 1 рубль ; 1985 ; 165 лет со дня рождения Ф.Энгельса ; Cu-Ni ; AU ; 10 ; Praetorians ; 285 
 1639 ; 1 рубль ; 1986 ; 275 лет со дня рождения М.В.Ломоносова ; Cu-Ni ; XF+ ; 15 ; paranoy ; 239 
 1640 ; 1 рубль ; 1986 ; Международный год мира ; Cu-Ni ; AU ; 13 ; majkl ; 94 
 1641 ; 1 рубль ; 1987 ; 70 лет Октябрьской революции ; Cu-Ni ; AU ; 17 ; majkl ; 95 
 1642 ; 1 рубль ; 1987 ; 175 лет Бородино (барельеф) ; Cu-Ni ; AU ; 24 ; gdrg2 ; 100 
 1643 ; 1 рубль ; 1987 ; 175 лет Бородино (обелиск) ; Cu-Ni ; AU ; 15 ; BillBerri ; 100 
 1644 ; 1 рубль ; 1987 ; 130 лет со дня рождения К.Э.Циолковского ; Cu-Ni ; AU ; 13 ; ацетон ; 92 
 1645 ; 1 рубль ; 1988 ; 160 лет со дня рождения А.Н.Толстого ; Cu-Ni ; XF ; 10 ; arsenich-s ; 82 
 1646 ; 1 рубль ; 1988 ; 120 лет со дня рождения А.М.Горького ; Cu-Ni ; AU ; 18 ; klimvita ; 122 
 1647 ; 1 рубль ; 1989 ; 175 лет со дня рождения М.Ю.Лермонтова ; Cu-Ni ; XF+ ; 8 ; arsenich-s ; 82 
 1648 ; 1 рубль ; 1989 ; 100 лет со дня смерти Эминеску ; Cu-Ni ; AU ; 15 ; coins77 ; 150 
 1649 ; 1 рубль ; 1989 ; 150 лет со дня рождения М.П.Мусоргского ; Cu-Ni ; XF ; 14 ; провизор ; 92 
 1650 ; 1 рубль ; 1990 ; 125 лет со дня рождения Я.Райниса ; Cu-Ni ; XF ; 15 ; провизор ; 92 
 1651 ; 1 рубль ; 1990 ; 500 лет со дня рождения Ф.Скорины ; Cu-Ni ; AU ; 13 ; ацетон ; 100 
 1652 ; 1 рубль ; 1991 ; 125 лет со дня рождения П.Н.Лебедева ; Cu-Ni ; AU ; 13 ; arsenich-s ; 82 
 1653 ; 1 рубль ; 1991 ; 850 лет со дня рождения Низами Гянджеви ; Cu-Ni ; AU ; 8 ; BillBerri ; 100 
 1654 ; 1 рубль ; 1991 ; 550 лет со дня рождения А.Навои ; Cu-Ni ; AU ; 5 ; Vasilyi9 ; 102 
 1655 ; 1 рубль ; 1987 ; 175 лет Бородино (барельеф) ; Cu-Ni ; AU ; 17 ; gdrg2 ; 101 
 1656 ; 1 рубль ; 1987 ; 175 лет Бородино (обелиск) ; Cu-Ni ; AU ; 22 ; arsenich-s ; 92 
 1657 ; 1 рубль ; 1979 ; Олимпиада 80.Здание МГУ ; Cu-Ni ; AU ; 18 ; arsenich-s ; 90 
 1658 ; 1 рубль ; 1980 ; Олимпиада 80.Здание Моссовета ; Cu-Ni ; XF ; 10 ; arsenich-s ; 91 
 1659 ; 5 рублей ; 1991 ; Здание Госбанка СССР в Москве ; Cu-Ni ; XF+ ; 10 ; хуторянин ; 124 
 1660 ; 1 рубль ; 1970 ; 100 лет со дня рождения В.И.Ленина ; Cu-Ni ; XF+ ; 6 ; TiBuL ; 53 
 1661 ; 1 рубль ; 1979 ; Олимпиада 80.Здание МГУ ; Cu-Ni ; AU ; 10 ; Westin ; 88 
 1662 ; 1 рубль. Конверт ; 1965 ; 20 лет победы над Германией ; Cu-Ni ; AU ; 22 ; vvt ; 408 
 1663 ; 1 рубль. Упаковка ; 1977 ; Олимпиада 80.Эмблема Олимпийских игр ; Cu-Ni ; Unc ; 36 ; опохмелов ; 216 
 1664 ; 1 рубль. Упаковка ; 1979 ; Олимпиада 80.Обелиск покорителям космоса ; Cu-Ni ; Unc ; 33 ; sla ; 305 
 1665 ; 5 рублей. Упаковка ; 1990 ; Успенский собор в Москве ; Cu-Ni ; Proof ; 22 ; трынь трынь 3 ; 211 
 1566 ; 1 рубль ; 1991 ; 850 лет со дня рождения Низами Гянджеви ; Cu-Ni ; Proof ; 21 ; iizikul ; 174 
 1567 ; 1 рубль ; 1991 ; 125 лет со дня рождения П.Н.Лебедева ; Cu-Ni ; Proof ; 43 ; iizikul ; 189 
 1568 ; 1 рубль ; 1990 ; 125 лет со дня рождения Я.Райниса ; Cu-Ni ; Proof ; 11 ; arsenich-s ; 136 
 1569 ; 1 рубль ; 1987 ; 130 лет со дня рождения К.Э.Циолковского ; Cu-Ni ; Proof ; 17 ; arsenich-s ; 227 
 1570 ; 1 рубль ; 1989 ; 175 лет со дня рождения Т.Г.Шевченко ; Cu-Ni ; Proof ; 11 ; arsenich-s ; 155 
 1571 ; 1 рубль ; 1991 ; 100 лет со дня рождения С.Прокофьева ; Cu-Ni ; Proof ; 19 ; iizikul ; 164 
 1572 ; 1 рубль ; 1989 ; 175 лет со дня рождения М.Ю.Лермонтова ; Cu-Ni ; Proof ; 21 ; gdrg2 ; 164 
 1573 ; 1 рубль ; 1990 ; 130 лет со дня рождения А.П.Чехова ; Cu-Ni ; Proof ; 20 ; iizikul ; 164 
 1574 ; 1 рубль ; 1991 ; 550 лет со дня рождения А.Навои ; Cu-Ni ; Proof ; 13 ; arsenich-s ; 143 
 1575 ; 1 рубль ; 1990 ; 500 лет со дня рождения Ф.Скорины ; Cu-Ni ; Proof ; 14 ; arsenich-s ; 126 
 1576 ; 1 рубль ; 1988 ; 120 лет со дня рождения А.М.Горького ; Cu-Ni ; Proof ; 16 ; saturn ; 164 
 1577 ; 1 рубль. Конверт ; 1965 ; 20 лет победы над Германией ; Cu-Ni ; AU ; 11 ; трынь трынь 3 ; 204 
 1578 ; 1 рубль. Упаковка ; 1977 ; Олимпиада 80.Эмблема Олимпийских игр ; Cu-Ni ; Unc ; 17 ; трейдер2 ; 232 
 1579 ; 1 рубль. Упаковка ; 1979 ; Олимпиада 80.Здание МГУ ; Cu-Ni ; Unc ; 34 ; сортам70 ; 231 
 1580 ; 1 рубль. Упаковка ; 1979 ; Олимпиада 80.Обелиск покорителям космоса ; Cu-Ni ; Unc ; 41 ; Sairam ; 292 
 1581 ; 1 рубль. Упаковка ; 1980 ; Олимпиада 80.Здание Моссовета ; Cu-Ni ; Unc ; 37 ; сортам70 ; 233 
 1582 ; 1 рубль. Упаковка ; 1979 ; Олимпиада 80.Здание МГУ ; Cu-Ni ; Unc ; 33 ; Bonyf ; 222 
 1583 ; 5 рублей ; 1990 ; Большой дворец в Петродворце ; Cu-Ni ; AU ; 19 ; юрий73 ; 155 
 1584 ; 5 рублей ; 1990 ; Матенадаран.Ереван ; Cu-Ni ; AU ; 13 ; murew ; 171 
 1585 ; 5 рублей ; 1991 ; Здание Госбанка СССР в Москве ; Cu-Ni ; AU ; 30 ; murew ; 193 
 1586 ; 1 рубль ; 1987 ; 70 лет Октябрьской революции ; Cu-Ni ; XF+ ; 14 ; юрий73 ; 108 
 1587 ; 1 рубль ; 1988 ; 120 лет со дня рождения А.М.Горького ; Cu-Ni ; XF+ ; 12 ; провизор ; 92 
 1588 ; 1 рубль ; 1988 ; 160 лет со дня рождения А.Н.Толстого ; Cu-Ni ; XF+ ; 16 ; юрий73 ; 99 
 1589 ; 1 рубль ; 1989 ; 100 лет со дня рождения Ниязи ; Cu-Ni ; AU ; 31 ; arsenich-s ; 216 
 1590 ; 1 рубль ; 1989 ; 175 лет со дня рождения М.Ю.Лермонтова ; Cu-Ni ; AU ; 5 ; провизор ; 100 
 1591 ; 1 рубль ; 1981 ; 20 лет полета в космос Ю.Гагарина ; Cu-Ni ; XF ; 9 ; uz ; 114 
 1592 ; 1 рубль ; 1981 ; Дружба навеки ; Cu-Ni ; AU ; 17 ; conrad ; 404 
 1593 ; 1 рубль ; 1984 ; 150 лет со дня рождения Д.И.Менделеева ; Cu-Ni ; AU ; 12 ; Zakinf ; 270 
 1594 ; 1 рубль ; 1980 ; Олимпиада 80.Здание Моссовета ; Cu-Ni ; XF ; 9 ; юрий73 ; 111 
 1595 ; 1 рубль ; 1987 ; 175 лет Бородино (обелиск) ; Cu-Ni ; XF+ ; 15 ; Oleg73 ; 89 
 1596 ; 1 рубль ; 1979 ; Олимпиада 80.Обелиск покорителям космоса ; Cu-Ni ; XF ; 11 ; юрий73 ; 111 
 1597 ; 1 рубль ; 1975 ; 30 лет Победы в войне 1941-1945 ; Cu-Ni ; XF ; 3 ; Frant ; 82 
 1598 ; 1 рубль ; 1987 ; 175 лет Бородино (барельеф) ; Cu-Ni ; XF ; 3 ; Frant ; 82 
 1599 ; 1 рубль ; 1985 ; 115 лет со дня рождения В.И.Ленина ; Cu-Ni ; XF ; 21 ; conrad ; 404 
 1600 ; 1 рубль ; 1985 ; 165 лет со дня рождения Ф.Энгельса ; Cu-Ni ; XF+ ; 17 ; conrad ; 340 
 1601 ; 1 рубль ; 1979 ; Олимпиада 80.Здание МГУ ; Cu-Ni ; XF ; 9 ; arsenich-s ; 90 
 1602 ; 1 рубль ; 1989 ; 175 лет со дня рождения М.Ю.Лермонтова ; Cu-Ni ; XF+ ; 8 ; Zakinf ; 92 
 1603 ; 1 рубль ; 1991 ; 100 лет со дня рождения С.Прокофьева ; Cu-Ni ; AU ; 5 ; Дима Шухов ; 102 
 1604 ; 1 рубль ; 1980 ; Олимпиада 80.Олимпийский факел ; Cu-Ni ; XF ; 11 ; drn137 ; 204 
 1605 ; 3 рубля ; 1992 ; 750 лет победы А.Невского ; Cu-Ni ; Proof ; 26 ; CASABLANCA ; 435 
 1606 ; 5 рублей ; 1988 ; Софийский собор в Киеве ; Cu-Ni ; AU ; 31 ; nast33 ; 239 
 1607 ; 3 рубля ; 1989 ; Землятресение в Армении ; Cu-Ni ; AU ; 15 ; arsenich-s ; 121 
 1608 ; 1 рубль ; 1985 ; Фестиваль молодежи и студентов в Москве ; Cu-Ni ; AU ; 8 ; юрий73 ; 82 
 1609 ; 1 рубль ; 1989 ; 150 лет со дня рождения М.П.Мусоргского ; Cu-Ni ; Proof ; 9 ; arsenich-s ; 102 
 1610 ; 5 рублей ; 1989 ; Ансамбль Регистан в Самарканде ; Cu-Ni ; AU ; 14 ; nast33 ; 330 
 1611 ; 5 рублей ; 1989 ; Собор Покрова на рву в Москве ; Cu-Ni ; AU ; 11 ; nast33 ; 264 
 1612 ; 5 рублей ; 1990 ; Матенадаран.Ереван ; Cu-Ni ; AU ; 23 ; murew ; 181 
 1613 ; 5 рублей ; 1990 ; Большой дворец в Петродворце ; Cu-Ni ; AU ; 30 ; buben ; 163 
 1614 ; 5 рублей ; 1991 ; Архангельский собор в Москве ; Cu-Ni ; AU ; 16 ; murew ; 177 
 1615 ; 5 рублей ; 1991 ; Памятник Давиду Сасунскому в Ереване ; Cu-Ni ; AU ; 13 ; Vasilyi9 ; 204 
 1516 ; 1 рубль ; 1977 ; 60 лет Советской власти ; Cu-Ni ; AU ; 26 ; юрий73 ; 327 
 1517 ; 1 рубль. Упаковка ; 1992 ; 110 лет со дня рождения Я.Купалы ; Cu-Ni ; AU ; 34 ; Ксения ; 469 
 1518 ; 1 рубль. Упаковка ; 1977 ; Олимпиада 80.Эмблема Олимпийских игр ; Cu-Ni ; Unc ; 31 ; coins77 ; 330 
 1519 ; 1 рубль. Упаковка ; 1978 ; Олимпиада 80.Московский Кремль ; Cu-Ni ; Unc ; 37 ; sla ; 267 
 1520 ; 1 рубль. Упаковка ; 1980 ; Олимпиада 80.Олимпийский факел ; Cu-Ni ; Unc ; 37 ; coins77 ; 319 
 1521 ; 1 рубль. Упаковка ; 1979 ; Олимпиада 80.Здание МГУ ; Cu-Ni ; Unc ; 22 ; sla ; 250 
 1522 ; 1 рубль. Упаковка нарушена ; 1979 ; Олимпиада 80.Обелиск покорителям космоса ; Cu-Ni ; Unc ; 21 ; evRoman7 ; 184 
 1523 ; 1 рубль. Упаковка ; 1980 ; Олимпиада 80.Здание Моссовета ; Cu-Ni ; Unc ; 15 ; Мак Дак ; 270 
 1524 ; 1 рубль. Упаковка ; 1990 ; 125 лет со дня рождения Я.Райниса ; Cu-Ni ; Proof ; 27 ; трейдер2 ; 174 
 1525 ; 1 рубль. Новодел. Упаковка ; 1977 ; 60 лет Советской власти ; Cu-Ni ; Proof ; 34 ; Vol4en0k ; 1413 
 1526 ; 1 рубль. Новодел. Упаковка ; 1967 ; 50 лет Советской власти ; Cu-Ni ; Proof ; 36 ; Vol4en0k ; 767 
 1527 ; 1 рубль. Новодел. Упаковка ; 1986 ; Международный год мира ; Cu-Ni ; Proof ; 51 ; Vol4en0k ; 1020 
 1528 ; 1 рубль. Упаковка ; 1988 ; 120 лет со дня рождения А.М.Горького ; Cu-Ni ; Proof ; 13 ; трынь трынь 3 ; 171 
 1529 ; 1 рубль. Упаковка ; 1990 ; Маршал СССР Г.К.Жуков ; Cu-Ni ; Proof ; 27 ; TECHNO ; 351 
 1530 ; 1 рубль. Упаковка ; 1991 ; 550 лет со дня рождения А.Навои ; Cu-Ni ; Proof ; 35 ; iizikul ; 164 
 1531 ; 5 рублей. Упаковка ; 1989 ; Ансамбль Регистан в Самарканде ; Cu-Ni ; Proof ; 19 ; hero ; 272 
 1532 ; 1 рубль ; 1975 ; 30 лет Победы в войне 1941-1945 ; Cu-Ni ; AU ; 5 ; опохмелов ; 105 
 1533 ; 1 рубль ; 1991 ; 101 год со дня рождения К.В.Иванова ; Cu-Ni ; AU ; 6 ; sergey35 ; 102 
 1534 ; 1 рубль ; 1991 ; 100 лет со дня рождения С.Прокофьева ; Cu-Ni ; AU ; 22 ; юрий73 ; 102 
 1535 ; 1 рубль ; 1991 ; 550 лет со дня рождения А.Навои ; Cu-Ni ; XF+ ; 11 ; юрий73 ; 116 
 1536 ; 1 рубль ; 1991 ; 125 лет со дня рождения П.Н.Лебедева ; Cu-Ni ; AU ; 21 ; gdrg2 ; 125 
 1537 ; 1 рубль. Упаковка ; 1990 ; 150 лет со дня рождения П.И.Чайковского ; Cu-Ni ; Proof ; 26 ; трынь трынь 3 ; 213 
 1538 ; 1 рубль ; 1989 ; 175 лет со дня рождения М.Ю.Лермонтова ; Cu-Ni ; AU ; 19 ; gdrg2 ; 136 
 1539 ; 1 рубль ; 1990 ; 500 лет со дня рождения Ф.Скорины ; Cu-Ni ; AU ; 6 ; юрий73 ; 102 
 1540 ; 1 рубль ; 1991 ; 101 год со дня рождения К.В.Иванова ; Cu-Ni ; Proof ; 16 ; iizikul ; 153 
 1541 ; 1 рубль ; 1991 ; 101 год со дня рождения К.В.Иванова ; Cu-Ni ; AU ; 6 ; Дима Шухов ; 102 
 1542 ; 5 рублей ; 1991 ; Архангельский собор в Москве ; Cu-Ni ; AU ; 19 ; юрий73 ; 159 
 1543 ; 1 рубль ; 1987 ; 130 лет со дня рождения К.Э.Циолковского ; Cu-Ni ; AU ; 9 ; юрий73 ; 92 
 1544 ; 1 рубль ; 1989 ; 175 лет со дня рождения М.Ю.Лермонтова ; Cu-Ni ; Proof ; 18 ; arsenich-s ; 134 
 1545 ; 5 рублей. Упаковка ; 1990 ; Успенский собор в Москве ; Cu-Ni ; Proof ; 29 ; трынь трынь 3 ; 313 
 1546 ; 5 рублей ; 1991 ; Архангельский собор в Москве ; Cu-Ni ; AU ; 7 ; хуторянин ; 126 
 1547 ; 3 рубля ; 1995 ; 50 лет освобождения Кенигсберга. ; Cu-Ni ; Proof ; 31 ; hero ; 1485 
 1548 ; 3 рубля ; 1995 ; 50 лет освобождения Вены ; Cu-Ni ; Proof ; 33 ; persep ; 612 
 1549 ; 3 рубля ; 1994 ; 50 лет освобождения Белграда ; Cu-Ni ; Proof ; 44 ; tanmar86 ; 1530 
 1550 ; 3 рубля ; 1994 ; 50 лет открытия Второго фронта ; Cu-Ni ; Proof ; 31 ; maks169 ; 2665 
 1551 ; 3 рубля ; 1993 ; 50 лет победы в Сталинградской битве ; Cu-Ni ; Proof ; 46 ; goram ; 609 
 1552 ; 3 рубля ; 1994 ; Партизаны в ВОВ ; Cu-Ni ; Proof ; 23 ; Carbon ; 1022 
 1553 ; 5 рублей ; 1991 ; Архангельский собор в Москве ; Cu-Ni ; Proof ; 14 ; iizikul ; 179 
 1554 ; 5 рублей ; 1990 ; Большой дворец в Петродворце ; Cu-Ni ; Proof ; 11 ; iizikul ; 179 
 1555 ; 5 рублей ; 1990 ; Большой дворец в Петродворце ; Cu-Ni ; Proof ; 9 ; Carbon ; 140 
 1556 ; 5 рублей ; 1988 ; Памятник Петру I в Ленинграде ; Cu-Ni ; Proof ; 15 ; Oleg73 ; 105 
 1557 ; 5 рублей ; 1989 ; Собор Покрова на рву в Москве ; Cu-Ni ; Proof ; 29 ; stark-2006 ; 267 
 1558 ; 5 рублей ; 1988 ; Памятник в Новгороде "Тысячелетие России" ; Cu-Ni ; Proof ; 21 ; Carbon ; 235 
 1559 ; 5 рублей ; 1990 ; Успенский собор в Москве ; Cu-Ni ; Proof ; 21 ; iizikul ; 179 
 1560 ; 5 рублей ; 1991 ; Здание Госбанка СССР в Москве ; Cu-Ni ; Proof ; 30 ; olorotitan ; 245 
 1561 ; 5 рублей ; 1991 ; Памятник Давиду Сасунскому в Ереване ; Cu-Ni ; Proof ; 15 ; Volleo ; 235 
 1562 ; 5 рублей ; 1990 ; Матенадаран.Ереван ; Cu-Ni ; Proof ; 11 ; сортам70 ; 155 
 1563 ; 1 рубль ; 1992 ; 110 лет со дня рождения Я.Купалы ; Cu-Ni ; Proof ; 20 ; Androgard ; 510 
 1564 ; 1 рубль ; 1987 ; 175 лет Бородино (обелиск) ; Cu-Ni ; Proof ; 15 ; saturn ; 157 
 1565 ; 1 рубль ; 1991 ; 850 лет со дня рождения Низами Гянджеви ; Cu-Ni ; Unc ; 16 ; хуторянин ; 97 
 1466 ; 10 рублей ; 1993 ; ММД белый металл (немагнитный) ; Fe in Br ; XF- ; 40 ; orel ; 4729 
 1467 ; 10 рублей. Магнитное кольцо ; 2013 ; Республика Северная Осетия-Алания ; биметалл ; AU ; 29 ; capitosha ; 8162 
 1468 ; 10 копеек. Брак чеканки ; 2008 ; СП ; Br ; XF+ ; 44 ; СВл ; 2267 
 1469 ; 3 рубля. Упаковка ; 1992 ; 750 лет победы А.Невского ; Cu-Ni ; Proof ; 49 ; Volleo ; 471 
 1470 ; 5 рублей. Упаковка ; 1989 ; Ансамбль Регистан в Самарканде ; Cu-Ni ; Proof ; 24 ; трынь трынь 3 ; 360 
 1471 ; 5 рублей ; 1989 ; Благовещенский собор в Москве ; Cu-Ni ; Proof ; 17 ; юрий73 ; 340 
 1472 ; 5 рублей ; 1990 ; Успенский собор в Москве ; Cu-Ni ; Proof ; 21 ; юрий73 ; 203 
 1473 ; 5 рублей ; 1990 ; Большой дворец в Петродворце ; Cu-Ni ; Proof ; 22 ; Praetorians ; 200 
 1474 ; 5 рублей. Упаковка ; 1991 ; Здание Госбанка СССР в Москве ; Cu-Ni ; Proof ; 29 ; трынь трынь 3 ; 306 
 1475 ; 1 рубль ; 1987 ; 130 лет со дня рождения К.Э.Циолковского ; Cu-Ni ; Proof ; 39 ; denzelovic ; 200 
