 5644 ; Акция. США ;  ;  ;  ;  ; 6 ; магаз ; 69 
 2344 ; 1 рубль.  Упаковка ; 1989 ; 175 лет со дня рождения Т.Г.Шевченко ; Cu-Ni ; Proof ; 13 ; Andre2007 ; 132 
 2345 ; 1 рубль. Новодел. Упаковка нарушена ; 1983 ; 165 лет со дня рождения К.Маркса ; Cu-Ni ; Proof ; 17 ; Andre2007 ; 419 
 2346 ; 1 рубль. Новодел. Упаковка нарушена ; 1984 ; 150 лет со дня рождения Д.И.Менделеева ; Cu-Ni ; Proof ; 10 ; Andre2007 ; 428 
 2347 ; 1 рубль. Новодел. Упаковка нарушена ; 1965 ; 20 лет победы над Германией ; Cu-Ni ; Proof ; 14 ; Wulf ; 701 
 2348 ; 1 рубль. Новодел. Упаковка ; 1986 ; 275 лет со дня рождения М.В.Ломоносова ; Cu-Ni ; Proof ; 22 ; Andre2007 ; 510 
 2349 ; 1 рубль. Новодел. Упаковка нарушена ; 1985 ; 165 лет со дня рождения Ф.Энгельса ; Cu-Ni ; Proof ; 16 ; Andre2007 ; 513 
 2350 ; 1 рубль. Новодел. Упаковка нарушена ; 1977 ; 60 лет Советской власти ; Cu-Ni ; Proof ; 8 ; VladimirZ ; 609 
 2351 ; 1 рубль. Новодел. Упаковка ; 1967 ; 50 лет Советской власти ; Cu-Ni ; Proof ; 13 ; Andre2007 ; 513 
 2352 ; 1 рубль. Новодел. Упаковка ; 1983 ; 20 лет полета в космос В.Терешковой ; Cu-Ni ; Proof ; 12 ; vad52 ; 610 
 2353 ; 1 рубль. Новодел. Упаковка нарушена ; 1985 ; Фестиваль молодежи и студентов в Москве ; Cu-Ni ; Proof ; 9 ; Wulf ; 457 
 2354 ; 20 копеек ; 1943 ; Л/с звезда плоская, шт. 20 коп. ; Ni ; VF-XF ; 15 ; ATF72 ; 115 
 2355 ; 20 копеек ; 1945 ;  ; Ni ; XF ; 23 ; Moryak ; 310 
 2356 ; 20 копеек ; 1946 ; Л/с звезда плоская, шт. 20 коп. ; Ni ; VF-XF ; 34 ; ATF72 ; 69 
 2357 ; 20 копеек ; 1948 ;  ; Ni ; XF ; 16 ; Moryak ; 160 
 2358 ; 20 копеек ; 1952 ;  ; Ni ; XF ; 16 ; arcadymer ; 77 
 2359 ; 20 копеек ; 1949 ;  ; Ni ; XF ; 18 ; an78gg ; 97 
 2260 ; 1 рубль ; 1990 ; 500 лет со дня рождения Ф.Скорины ; Cu-Ni ; Proof ; 4 ; сортам70 ; 101 
 2261 ; 1 рубль ; 1990 ; 500 лет со дня рождения Ф.Скорины ; Cu-Ni ; Proof ; 4 ; сортам70 ; 101 
 2262 ; 1 рубль ; 1990 ; 500 лет со дня рождения Ф.Скорины ; Cu-Ni ; Proof ; 4 ; сортам70 ; 101 
 2263 ; 1 рубль ; 1990 ; 500 лет со дня рождения Ф.Скорины ; Cu-Ni ; Proof ; 3 ; Чуйкин ; 99 
 2264 ; 1 рубль ; 1990 ; 125 лет со дня рождения Я.Райниса ; Cu-Ni ; Proof ; 4 ; сортам70 ; 101 
 2265 ; 5 рублей ; 1988 ; Памятник Петру I в Ленинграде ; Cu-Ni ; Proof ; 13 ; jek31 ; 257 
 2266 ; 1 рубль ; 1990 ; 500 лет со дня рождения Ф.Скорины ; Cu-Ni ; Proof ; 7 ; TDV ; 101 
 2267 ; 5 рублей ; 1993 ; Сергиев Посад ; Cu-Ni ; Proof ; 27 ; spektr ; 550 
 2268 ; 5 рублей ; 1993 ; Сергиев Посад ; Cu-Ni ; Proof ; 10 ; se170661 ; 550 
 2269 ; 1 рубль ; 1990 ; 125 лет со дня рождения Я.Райниса ; Cu-Ni ; Proof ; 3 ; Чуйкин ; 99 
 2270 ; 1 рубль ; 1990 ; 125 лет со дня рождения Я.Райниса ; Cu-Ni ; Proof ; 4 ; сортам70 ; 101 
 2271 ; 1 рубль ; 1990 ; 500 лет со дня рождения Ф.Скорины ; Cu-Ni ; Proof ; 4 ; сортам70 ; 101 
 2272 ; 1 рубль ; 1991 ; 850 лет со дня рождения Низами Гянджеви ; Cu-Ni ; XF+ ; 5 ; Матроскин ; 68 
 2273 ; 5 рублей ; 1993 ; Сергиев Посад ; Cu-Ni ; Proof ; 9 ; цуца ; 510 
 2274 ; 1 рубль ; 1991 ; 101 год со дня рождения К.В.Иванова ; Cu-Ni ; Proof ; 5 ; Чуйкин ; 114 
 2275 ; 5 рублей ; 1992 ; Мавзолей-мечеть Ахмеда Ясави ; Cu-Ni ; Proof ; 12 ; Wulf ; 793 
 2276 ; 1 рубль ; 1990 ; 125 лет со дня рождения Я.Райниса ; Cu-Ni ; Proof ; 4 ; сортам70 ; 101 
 2277 ; 1 рубль ; 1990 ; 125 лет со дня рождения Я.Райниса ; Cu-Ni ; Proof ; 3 ; Чуйкин ; 99 
 2278 ; 1 рубль ; 1990 ; 125 лет со дня рождения Я.Райниса ; Cu-Ni ; Proof ; 3 ; Чуйкин ; 99 
 2279 ; 1 рубль ; 1991 ; 101 год со дня рождения К.В.Иванова ; Cu-Ni ; Proof ; 5 ; Чуйкин ; 114 
 2280 ; 3 рубля ; 1992 ; "Северный конвой" ; Cu-Ni ; Proof ; 15 ; Wulf ; 714 
 2281 ; 5 рублей ; 1989 ; Ансамбль Регистан в Самарканде ; Cu-Ni ; Proof ; 9 ; цуца ; 318 
 2282 ; 5 рублей ; 1989 ; Благовещенский собор в Москве ; Cu-Ni ; Proof ; 19 ; se170661 ; 281 
 2283 ; 1 рубль. В капсуле PCGS ; 1977 ; 60 лет Советской власти ; Cu-Ni ; MS63 ; 5 ; уютный ; 320 
 2284 ; 1 рубль. В капсуле PCGS ; 1985 ; 165 лет со дня рождения Ф.Энгельса ; Cu-Ni ; MS63 ; 7 ; уютный ; 308 
 2285 ; 5 рублей ; 1989 ; Ансамбль Регистан в Самарканде ; Cu-Ni ; Proof ; 11 ; цуца ; 318 
 2286 ; 5 рублей ; 1988 ; Софийский собор в Киеве ; Cu-Ni ; Proof ; 15 ; jek31 ; 279 
 2287 ; 5 рублей ; 1989 ; Благовещенский собор в Москве ; Cu-Ni ; Proof ; 11 ; Tchourine ; 308 
 2288 ; 5 рублей ; 1989 ; Благовещенский собор в Москве ; Cu-Ni ; Proof ; 11 ; flutter ; 308 
 2289 ; 1 рубль. В капсуле PCGS ; 1986 ; 275 лет со дня рождения М.В.Ломоносова ; Cu-Ni ; MS63 ; 19 ; il468 ; 657 
 2290 ; 1 рубль. В капсуле PCGS ; 1987 ; 175 лет Бородино (барельеф) ; Cu-Ni ; MS64 ; 11 ; Ыра ; 257 
 2291 ; 3 рубля ; 1992 ; 750 лет победы А.Невского ; Cu-Ni ; Proof ; 21 ; Andre2007 ; 241 
 2292 ; 5 рублей ; 1990 ; Успенский собор в Москве ; Cu-Ni ; Proof ; 10 ; сортам70 ; 123 
 2293 ; 5 рублей ; 1990 ; Успенский собор в Москве ; Cu-Ni ; Proof ; 8 ; сортам70 ; 123 
 2294 ; 5 рублей ; 1993 ; Сергиев Посад ; Cu-Ni ; Proof ; 7 ; цуца ; 510 
 2295 ; 1 рубль ; 1986 ; 275 лет со дня рождения М.В.Ломоносова ; Cu-Ni ; Proof ; 41 ; Andre2007 ; 975 
 2296 ; 1 рубль ; 1991 ; Махтумкули ; Cu-Ni ; Proof ; 11 ; Tchourine ; 202 
 2297 ; 1 рубль. Упаковка ; 1990 ; 130 лет со дня рождения А.П.Чехова ; Cu-Ni ; Proof ; 13 ; Andre2007 ; 120 
 2298 ; 5 рублей ; 1990 ; Успенский собор в Москве ; Cu-Ni ; Proof ; 3 ; тяга ; 120 
 2299 ; 3 рубля ; 1992 ; Международный год космоса ; Cu-Ni ; AU ; 8 ; Wulf ; 293 
 2300 ; 1 рубль. Упаковка ; 1990 ; 125 лет со дня рождения Я.Райниса ; Cu-Ni ; Proof ; 5 ; jek31 ; 173 
 2301 ; 1 рубль. Упаковка ; 1990 ; 500 лет со дня рождения Ф.Скорины ; Cu-Ni ; Proof ; 63 ; Andre2007 ; 93 
 2302 ; 1 рубль. Упаковка ; 1988 ; 160 лет со дня рождения А.Н.Толстого ; Cu-Ni ; Proof ; 6 ; Andre2007 ; 89 
 2303 ; 1 рубль. Упаковка ; 1991 ; 100 лет со дня рождения С.Прокофьева ; Cu-Ni ; Proof ; 5 ; Andre2007 ; 91 
 2304 ; 1 рубль. Упаковка нарушена ; 1988 ; 120 лет со дня рождения А.М.Горького ; Cu-Ni ; Proof ; 3 ; Andre2007 ; 84 
 2305 ; 5 рублей ; 1990 ; Успенский собор в Москве ; Cu-Ni ; Proof ; 3 ; тяга ; 120 
 2306 ; 1 рубль. Упаковка нарушена ; 1991 ; 101 год со дня рождения К.В.Иванова ; Cu-Ni ; Proof ; 6 ; Andre2007 ; 93 
 2307 ; 1 рубль. Упаковка ; 1989 ; 175 лет со дня рождения М.Ю.Лермонтова ; Cu-Ni ; Proof ; 8 ; Andre2007 ; 123 
 2308 ; 1 рубль. Упаковка ; 1989 ; 100 лет со дня рождения Ниязи ; Cu-Ni ; Proof ; 17 ; jek31 ; 203 
 2309 ; 1 рубль. Упаковка ; 1989 ; 175 лет со дня рождения Т.Г.Шевченко ; Cu-Ni ; Proof ; 10 ; jek31 ; 173 
 2210 ; 3 рубля ; 1992 ; Международный год космоса ; Cu-Ni ; Proof ; 6 ; нехочуха ; 221 
 2211 ; 3 рубля ; 1992 ; Международный год космоса ; Cu-Ni ; Proof ; 12 ; редкая ; 220 
 2212 ; 3 рубля ; 1992 ; Международный год космоса ; Cu-Ni ; Proof ; 10 ; andrei71 ; 221 
 2213 ; 3 рубля ; 1992 ; Международный год космоса ; Cu-Ni ; Proof ; 11 ; hhmm ; 225 
 2214 ; 3 рубля ; 1992 ; 750 лет победы А.Невского ; Cu-Ni ; Proof ; 8 ; редкая ; 220 
 2215 ; 1 рубль. Новодел ; 1983 ; 400 лет со дня смерти И.Федорова 1510-1583 ; Cu-Ni ; Proof ; 19 ; Зощев ; 363 
 2216 ; 1 рубль. Новодел ; 1983 ; 400 лет со дня смерти И.Федорова 1510-1583 ; Cu-Ni ; Proof ; 21 ; Зощев ; 362 
 2217 ; 1 рубль. Новодел ; 1983 ; 400 лет со дня смерти И.Федорова 1510-1583 ; Cu-Ni ; Proof ; 11 ; Зощев ; 359 
 2218 ; 3 рубля ; 1992 ; 750 лет победы А.Невского ; Cu-Ni ; Proof ; 8 ; редкая ; 220 
 2219 ; 3 рубля ; 1992 ; 750 лет победы А.Невского ; Cu-Ni ; Proof ; 8 ; редкая ; 220 
 2220 ; 1 рубль ; 1988 ; 120 лет со дня рождения А.М.Горького ; Cu-Ni ; Proof ; 4 ; сортам70 ; 101 
 2221 ; 3 рубля ; 1992 ; Международный год космоса ; Cu-Ni ; Proof ; 8 ; редкая ; 220 
 2222 ; 3 рубля ; 1992 ; Международный год космоса ; Cu-Ni ; Proof ; 14 ; an78gg ; 230 
 2223 ; 3 рубля ; 1993 ; 50 лет победы в Сталинградской битве ; Cu-Ni ; Proof ; 12 ; редкая ; 290 
 2224 ; 3 рубля ; 1993 ; 50 лет победы в Сталинградской битве ; Cu-Ni ; Proof ; 14 ; редкая ; 310 
 2225 ; 3 рубля ; 1993 ; 50 лет победы в Сталинградской битве ; Cu-Ni ; Proof ; 14 ; редкая ; 298 
 2226 ; 1 рубль. Упаковка ; 1981 ; 20 лет полета в космос Ю.Гагарина ; Cu-Ni ; AU ; 9 ; Зощев ; 137 
 2227 ; 1 рубль. Упаковка ; 1983 ; 165 лет со дня рождения К.Маркса ; Cu-Ni ; Proof ; 18 ; Wulf ; 636 
 2228 ; 1 рубль. Упаковка нарушена ; 1984 ; 150 лет со дня рождения Д.И.Менделеева ; Cu-Ni ; AU ; 5 ; iustas ; 384 
 2229 ; 1 рубль. Упаковка ; 1993 ; 110 лет со дня смерти И.С.Тургенева ; Cu-Ni ; AU ; 16 ; Ыра ; 1041 
 2230 ; 1 рубль. Упаковка ; 1985 ; Фестиваль молодежи и студентов в Москве ; Cu-Ni ; Proof ; 7 ; apach ; 235 
 2231 ; 1 рубль. Упаковка нарушена ; 1990 ; 150 лет со дня рождения П.И.Чайковского ; Cu-Ni ; AU ; 3 ; ВВЛ ; 144 
 2232 ; 1 рубль. Упаковка ; 1985 ; Фестиваль молодежи и студентов в Москве ; Cu-Ni ; Proof ; 6 ; apach ; 155 
 2233 ; 1 рубль. Упаковка ; 1985 ; 165 лет со дня рождения Ф.Энгельса ; Cu-Ni ; Proof ; 27 ; Гномр ; 718 
 2234 ; 3 рубля ; 1994 ; 50 лет прорыва блокады Ленинграда ; Cu-Ni ; Proof ; 11 ; редкая ; 635 
 2235 ; 1 рубль. Упаковка ; 1990 ; 150 лет со дня рождения П.И.Чайковского ; Cu-Ni ; Proof ; 3 ; Чуйкин ; 100 
 2236 ; 1 рубль. Упаковка ; 1990 ; 150 лет со дня рождения П.И.Чайковского ; Cu-Ni ; Proof ; 5 ; an78gg ; 124 
 2237 ; 3 рубля ; 1994 ; Партизаны в ВОВ ; Cu-Ni ; Proof ; 17 ; Гномр ; 881 
 2238 ; 3 рубля ; 1994 ; Партизаны в ВОВ ; Cu-Ni ; Proof ; 23 ; chingizhan ; 899 
 2239 ; 3 рубля ; 1993 ; 50 лет победы в Сталинградской битве ; Cu-Ni ; Proof ; 12 ; редкая ; 261 
 2240 ; 3 рубля ; 1993 ; 50 лет победы в Сталинградской битве ; Cu-Ni ; Proof ; 6 ; редкая ; 278 
 2241 ; 1 рубль. Упаковка нарушена ; 1991 ; 850 лет со дня рождения Низами Гянджеви ; Cu-Ni ; AU ; 5 ; Зощев ; 94 
 2242 ; 3 рубля ; 1994 ; Партизаны в ВОВ ; Cu-Ni ; Proof ; 19 ; Гномр ; 881 
 2243 ; 1 рубль. Упаковка ; 1991 ; 125 лет со дня рождения П.Н.Лебедева ; Cu-Ni ; Unc ; 6 ; Maksss163 ; 144 
 2244 ; 1 рубль. Упаковка ; 1993 ; 130 лет со дня рождения В.И.Вернадского ; Cu-Ni ; Proof ; 7 ; an17s ; 401 
 2245 ; 1 рубль. Упаковка ; 1983 ; 165 лет со дня рождения К.Маркса ; Cu-Ni ; Proof ; 19 ; Ыра ; 630 
 2246 ; 1 рубль. Упаковка ; 1993 ; 130 лет со дня рождения В.И.Вернадского ; Cu-Ni ; Proof ; 9 ; an17s ; 410 
 2247 ; 1 рубль. Упаковка ; 1993 ; 130 лет со дня рождения В.И.Вернадского ; Cu-Ni ; Proof ; 9 ; spektr ; 411 
 2248 ; 1 рубль. Новодел. Упаковка ; 1967 ; 50 лет Советской власти ; Cu-Ni ; Proof ; 12 ; Wulf ; 651 
 2249 ; 1 рубль. Новодел. Упаковка ; 1975 ; 30 лет Победы в войне 1941-1945 ; Cu-Ni ; Proof ; 14 ; kop ; 715 
 2250 ; 1 рубль. Упаковка ; 1993 ; 130 лет со дня рождения В.И.Вернадского ; Cu-Ni ; Proof ; 7 ; an17s ; 401 
 2251 ; 1 рубль. Новодел. Упаковка ; 1975 ; 30 лет Победы в войне 1941-1945 ; Cu-Ni ; Proof ; 15 ; kop ; 716 
 2252 ; 1 рубль. Упаковка ; 1975 ; 30 лет Победы в войне 1941-1945 ; Cu-Ni ; AU ; 9 ; тяга ; 102 
 2253 ; 1 рубль. Упаковка ; 1975 ; 30 лет Победы в войне 1941-1945 ; Cu-Ni ; AU ; 7 ; тяга ; 67 
 2254 ; 1 рубль. Упаковка ; 1975 ; 30 лет Победы в войне 1941-1945 ; Cu-Ni ; XF+ ; 9 ; тяга ; 48 
 2255 ; 3 рубля. Упаковка ; 1991 ; 50 лет победы под Москвой ; Cu-Ni ; Unc ; 24 ; jek31 ; 403 
 2256 ; 5 рублей ; 1988 ; Памятник в Новгороде "Тысячелетие России" ; Cu-Ni ; Proof ; 20 ; Wulf ; 251 
 2257 ; 5 рублей ; 1989 ; Ансамбль Регистан в Самарканде ; Cu-Ni ; Proof ; 10 ; jek31 ; 328 
 2258 ; 1 рубль ; 1990 ; 500 лет со дня рождения Ф.Скорины ; Cu-Ni ; Proof ; 5 ; Чуйкин ; 99 
 2259 ; 1 рубль ; 1991 ; 101 год со дня рождения К.В.Иванова ; Cu-Ni ; Proof ; 7 ; Чуйкин ; 119 
 2160 ; 1 рубль ; 1991 ; 850 лет со дня рождения Низами Гянджеви ; Cu-Ni ; Proof ; 3 ; Чуйкин ; 101 
 2161 ; 1 рубль ; 1990 ; 500 лет со дня рождения Ф.Скорины ; Cu-Ni ; Proof ; 3 ; Чуйкин ; 99 
 2162 ; 1 рубль ; 1991 ; 101 год со дня рождения К.В.Иванова ; Cu-Ni ; Proof ; 9 ; Чуйкин ; 114 
 2163 ; 1 рубль ; 1991 ; 101 год со дня рождения К.В.Иванова ; Cu-Ni ; Proof ; 5 ; Чуйкин ; 114 
 2164 ; 1 рубль ; 1989 ; 175 лет со дня рождения Т.Г.Шевченко ; Cu-Ni ; Proof ; 3 ; Чуйкин ; 100 
 2165 ; 1 рубль ; 1987 ; 175 лет Бородино (обелиск) ; Cu-Ni ; Proof ; 6 ; Чуйкин ; 100 
 2166 ; 1 рубль ; 1989 ; 175 лет со дня рождения Т.Г.Шевченко ; Cu-Ni ; Proof ; 28 ; Чуйкин ; 108 
 2167 ; 1 рубль ; 1991 ; 101 год со дня рождения К.В.Иванова ; Cu-Ni ; Proof ; 3 ; Чуйкин ; 101 
 2168 ; 1 рубль ; 1989 ; 175 лет со дня рождения Т.Г.Шевченко ; Cu-Ni ; Proof ; 14 ; Чуйкин ; 100 
 2169 ; 1 рубль ; 1987 ; 70 лет Октябрьской революции ; Cu-Ni ; Proof ; 20 ; Чуйкин ; 131 
 2170 ; 1 рубль ; 1989 ; 150 лет со дня рождения М.П.Мусоргского ; Cu-Ni ; Proof ; 7 ; Чуйкин ; 99 
 2171 ; 1 рубль ; 1987 ; 70 лет Октябрьской революции ; Cu-Ni ; Proof ; 8 ; sibirian ; 133 
 2172 ; 1 рубль ; 1989 ; 100 лет со дня рождения Ниязи ; Cu-Ni ; Proof ; 7 ; Чуйкин ; 141 
 2173 ; 1 рубль ; 1987 ; 130 лет со дня рождения К.Э.Циолковского ; Cu-Ni ; Proof ; 5 ; Чуйкин ; 161 
 2174 ; 1 рубль ; 1988 ; 160 лет со дня рождения А.Н.Толстого ; Cu-Ni ; Proof ; 4 ; сортам70 ; 101 
 2175 ; 1 рубль ; 1985 ; Фестиваль молодежи и студентов в Москве ; Cu-Ni ; XF+ ; 5 ; t_v_v ; 68 
 2176 ; 1 рубль ; 1985 ; Фестиваль молодежи и студентов в Москве ; Cu-Ni ; Proof ; 14 ; vasek ; 483 
 2177 ; 1 рубль ; 1986 ; Международный год мира.В рубле Л в виде шалаша. ; Cu-Ni ; AU ; 19 ; wwi.i ; 859 
 2178 ; 1 рубль ; 1990 ; 150 лет со дня рождения П.И.Чайковского ; Cu-Ni ; Proof ; 10 ; Чуйкин ; 100 
 2179 ; 1 рубль ; 1987 ; 70 лет Октябрьской революции ; Cu-Ni ; Proof ; 10 ; Чуйкин ; 124 
 2180 ; 1 рубль ; 1990 ; 150 лет со дня рождения П.И.Чайковского ; Cu-Ni ; Proof ; 3 ; Чуйкин ; 101 
 2181 ; 1 рубль ; 1989 ; 175 лет со дня рождения Т.Г.Шевченко ; Cu-Ni ; Proof ; 13 ; Чуйкин ; 114 
 2182 ; 1 рубль ; 1988 ; 120 лет со дня рождения А.М.Горького ; Cu-Ni ; Proof ; 4 ; сортам70 ; 101 
 2183 ; 1 рубль ; 1987 ; 130 лет со дня рождения К.Э.Циолковского ; Cu-Ni ; Proof ; 21 ; Зощев ; 165 
 2184 ; 1 рубль ; 1989 ; 175 лет со дня рождения М.Ю.Лермонтова ; Cu-Ni ; Proof ; 11 ; Чуйкин ; 126 
 2185 ; 1 рубль ; 1991 ; Махтумкули ; Cu-Ni ; Proof ; 23 ; an78gg ; 150 
 2186 ; 1 рубль ; 1985 ; Фестиваль молодежи и студентов в Москве ; Cu-Ni ; Proof ; 19 ; vasek ; 419 
 2187 ; 1 рубль ; 1990 ; 150 лет со дня рождения П.И.Чайковского ; Cu-Ni ; Proof ; 3 ; Чуйкин ; 100 
 2188 ; 1 рубль ; 1988 ; 120 лет со дня рождения А.М.Горького ; Cu-Ni ; Proof ; 4 ; 11nn ; 101 
 2189 ; 1 рубль ; 1991 ; Махтумкули ; Cu-Ni ; Proof ; 26 ; Зощев ; 146 
 2190 ; 1 рубль ; 1991 ; Махтумкули ; Cu-Ni ; Proof ; 8 ; Зощев ; 149 
 2191 ; 1 рубль ; 1987 ; 130 лет со дня рождения К.Э.Циолковского ; Cu-Ni ; Proof ; 7 ; Чуйкин ; 161 
 2192 ; 3 рубля ; 1992 ; 750 лет победы А.Невского ; Cu-Ni ; Proof ; 11 ; нехочуха ; 225 
 2193 ; 1 рубль ; 1990 ; 125 лет со дня рождения Я.Райниса ; Cu-Ni ; Proof ; 4 ; 11nn ; 101 
 2194 ; 1 рубль ; 1990 ; 125 лет со дня рождения Я.Райниса ; Cu-Ni ; Proof ; 4 ; 11nn ; 101 
 2195 ; 1 рубль ; 1990 ; 500 лет со дня рождения Ф.Скорины ; Cu-Ni ; Proof ; 6 ; 11nn ; 101 
 2196 ; 1 рубль ; 1987 ; 175 лет Бородино (барельеф) ; Cu-Ni ; Proof ; 4 ; 11nn ; 101 
 2197 ; 3 рубля ; 1992 ; 750 лет победы А.Невского ; Cu-Ni ; Proof ; 11 ; andrei71 ; 225 
 2198 ; 3 рубля ; 1992 ; 750 лет победы А.Невского ; Cu-Ni ; AU ; 10 ; редкая ; 220 
 2199 ; 1 рубль ; 1990 ; 125 лет со дня рождения Я.Райниса ; Cu-Ni ; Proof ; 4 ; 11nn ; 101 
 2200 ; 1 рубль ; 1991 ; Махтумкули ; Cu-Ni ; Proof ; 11 ; Зощев ; 150 
 2201 ; 3 рубля ; 1992 ; 750 лет победы А.Невского ; Cu-Ni ; AU ; 7 ; редкая ; 220 
 2202 ; 1 рубль ; 1990 ; 125 лет со дня рождения Я.Райниса ; Cu-Ni ; Proof ; 5 ; an78gg ; 101 
 2203 ; 3 рубля ; 1992 ; 750 лет победы А.Невского ; Cu-Ni ; Proof ; 8 ; редкая ; 220 
 2204 ; 3 рубля ; 1992 ; 750 лет победы А.Невского ; Cu-Ni ; AU ; 9 ; редкая ; 220 
 2205 ; 3 рубля ; 1992 ; Международный год космоса ; Cu-Ni ; Proof ; 7 ; rem ; 226 
 2206 ; 3 рубля ; 1992 ; 750 лет победы А.Невского ; Cu-Ni ; AU ; 15 ; страус ; 225 
 2207 ; 3 рубля ; 1992 ; 750 лет победы А.Невского ; Cu-Ni ; AU ; 23 ; страус ; 220 
 2208 ; 1 рубль ; 1989 ; 175 лет со дня рождения М.Ю.Лермонтова ; Cu-Ni ; Proof ; 7 ; Чуйкин ; 122 
 2209 ; 3 рубля ; 1992 ; 750 лет победы А.Невского ; Cu-Ni ; Proof ; 8 ; нехочуха ; 221 
 2110 ; 3 рубля ; 1992 ; 750 лет победы А.Невского ; Cu-Ni ; Proof ; 13 ; an78gg ; 228 
 2111 ; 3 рубля ; 1992 ; Международный год космоса ; Cu-Ni ; AU ; 12 ; hhmm ; 303 
 2112 ; 5 рублей ; 1990 ; Успенский собор в Москве ; Cu-Ni ; Proof ; 11 ; TDV ; 123 
 2113 ; 3 рубля ; 1992 ; Международный год космоса ; Cu-Ni ; AU ; 10 ; Wulf ; 296 
 2114 ; 3 рубля ; 1992 ; Международный год космоса ; Cu-Ni ; Proof ; 14 ; andrei71 ; 255 
 2115 ; 3 рубля ; 1992 ; Международный год космоса ; Cu-Ni ; Proof ; 16 ; hhmm ; 261 
 2116 ; 3 рубля ; 1992 ; 750 лет победы А.Невского ; Cu-Ni ; AU ; 6 ; страус ; 225 
 2117 ; 3 рубля ; 1994 ; 50 лет прорыва блокады Ленинграда ; Cu-Ni ; Proof ; 31 ; gola78 ; 651 
 2118 ; 3 рубля ; 1994 ; 50 лет прорыва блокады Ленинграда ; Cu-Ni ; Proof ; 21 ; редкая ; 639 
 2119 ; 3 рубля ; 1994 ; 50 лет прорыва блокады Ленинграда ; Cu-Ni ; Proof ; 26 ; se170661 ; 654 
 2120 ; 3 рубля ; 1993 ; 50 лет победы в Сталинградской битве ; Cu-Ni ; Proof ; 11 ; редкая ; 273 
 2121 ; 3 рубля ; 1993 ; 50 лет победы в Сталинградской битве ; Cu-Ni ; Proof ; 7 ; редкая ; 263 
 2122 ; 3 рубля ; 1993 ; 50 лет победы в Сталинградской битве ; Cu-Ni ; Proof ; 11 ; редкая ; 263 
 2123 ; 3 рубля ; 1994 ; Партизаны в ВОВ ; Cu-Ni ; Proof ; 20 ; andrei71 ; 888 
 2124 ; 3 рубля ; 1994 ; Партизаны в ВОВ ; Cu-Ni ; Proof ; 19 ; Russel ; 899 
 2125 ; 5 рублей ; 1990 ; Успенский собор в Москве ; Cu-Ni ; Proof ; 9 ; тяга ; 120 
 2126 ; 5 рублей ; 1990 ; Успенский собор в Москве ; Cu-Ni ; Proof ; 11 ; TDV ; 114 
 2127 ; 3 рубля ; 1992 ; Международный год космоса ; Cu-Ni ; Proof ; 9 ; pref ; 225 
 2128 ; 3 рубля ; 1992 ; Международный год космоса ; Cu-Ni ; AU ; 15 ; страус ; 299 
 2129 ; 5 рублей ; 1990 ; Успенский собор в Москве ; Cu-Ni ; Proof ; 16 ; Матроскин ; 94 
 2130 ; 5 рублей ; 1990 ; Успенский собор в Москве ; Cu-Ni ; Proof ; 13 ; star54 ; 100 
 2131 ; 3 рубля ; 1992 ; Международный год космоса ; Cu-Ni ; Proof ; 13 ; hhmm ; 225 
 2132 ; 3 рубля ; 1992 ; Международный год космоса ; Cu-Ni ; AU ; 10 ; Wulf ; 296 
 2133 ; 3 рубля ; 1994 ; Партизаны в ВОВ ; Cu-Ni ; Proof ; 12 ; Black Cat ; 899 
 2134 ; 3 рубля ; 1994 ; Партизаны в ВОВ ; Cu-Ni ; Proof ; 19 ; Гномр ; 881 
 2135 ; 3 рубля ; 1993 ; 50 лет победы в Сталинградской битве ; Cu-Ni ; Proof ; 8 ; muk 111 ; 337 
 2136 ; 1 рубль ; 1988 ; 120 лет со дня рождения А.М.Горького ; Cu-Ni ; Proof ; 4 ; сортам70 ; 101 
 2137 ; 1 рубль ; 1988 ; 120 лет со дня рождения А.М.Горького ; Cu-Ni ; Proof ; 4 ; сортам70 ; 101 
 2138 ; 1 рубль ; 1987 ; 175 лет Бородино (обелиск) ; Cu-Ni ; Proof ; 12 ; сортам70 ; 123 
 2139 ; 1 рубль ; 1988 ; 120 лет со дня рождения А.М.Горького ; Cu-Ni ; Proof ; 3 ; Чуйкин ; 99 
 2140 ; 1 рубль ; 1987 ; 175 лет Бородино (обелиск) ; Cu-Ni ; Proof ; 5 ; Чуйкин ; 82 
 2141 ; 1 рубль ; 1991 ; 100 лет со дня рождения С.Прокофьева ; Cu-Ni ; Proof ; 7 ; Чуйкин ; 101 
 2142 ; 1 рубль ; 1989 ; 100 лет со дня рождения Ниязи ; Cu-Ni ; Proof ; 9 ; Чуйкин ; 141 
 2143 ; 1 рубль ; 1991 ; 100 лет со дня рождения С.Прокофьева ; Cu-Ni ; Proof ; 3 ; Чуйкин ; 100 
 2144 ; 1 рубль ; 1987 ; 175 лет Бородино (обелиск) ; Cu-Ni ; Proof ; 5 ; Чуйкин ; 92 
 2145 ; 1 рубль ; 1987 ; 175 лет Бородино (обелиск) ; Cu-Ni ; Proof ; 7 ; Чуйкин ; 90 
 2146 ; 1 рубль ; 1989 ; 150 лет со дня рождения М.П.Мусоргского ; Cu-Ni ; Proof ; 3 ; Чуйкин ; 99 
