 5879 ; Бона иностранная ;  ;  ;  ;  ; 13 ; ewgen ; 18 
 2235 ; 10 копеек ; 1951 ;  ; Ni ; XF- ; 28 ; svv ; 614 
 2236 ; 1 копейка ; 1946 ;  ; Br ; VF+ ; 18 ; vor0niko ; 61 
 2237 ; 1 копейка ; 1948 ;  ; Br ; VF+ ; 14 ; vor0niko ; 53 
 2238 ; 1 копейка ; 1949 ;  ; Br ; VF-XF ; 21 ; локомотив ; 42 
 2239 ; 1 копейка ; 1953 ;  ; Br ; VF-XF ; 9 ; локомотив ; 31 
 2240 ; 1 копейка ; 1954 ;  ; Br ; VF+ ; 22 ; локомотив ; 46 
 2241 ; 1 копейка ; 1955 ;  ; Br ; VF ; 8 ; kalash79 ; 51 
 2242 ; 1 копейка ; 1956 ;  ; Br ; VF+ ; 21 ; ОМОН10 ; 36 
 2243 ; 1 копейка ; 1957 ; В венке герба 15 лент ; Br ; VF+ ; 8 ; indigo-rus ; 31 
 2244 ; 20 копеек ; 1931 ;  ; Ni ; F-VF ; 30 ; локомотив ; 79 
 2245 ; 20 копеек ; 1936 ; Л/с звезда плоская ; Ni ; VF ; 30 ; dron0506 ; 98 
 2246 ; 15 копеек ; 1933 ;  ; Ni ; VF- ; 7 ; Lizig1 ; 73 
 2247 ; 15 копеек ; 1952 ;  ; Ni ; VF ; 12 ; express ; 38 
 2248 ; 10 копеек ; 1932 ;  ; Ni ; F-VF ; 17 ; xandexoxa ; 72 
 2249 ; 10 копеек ; 1954 ;  ; Ni ; VF ; 20 ; Ravin ; 42 
 2250 ; 5 копеек ; 1946 ;  ; Br ; F-VF ; 13 ; локомотив ; 55 
 2251 ; 5 копеек ; 1949 ;  ; Br ; VF ; 16 ; indigo-rus ; 47 
 2252 ; 5 копеек ; 1953 ;  ; Br ; VF ; 10 ; лис777 ; 57 
 2153 ; 15 копеек ; 1938 ;  ; Ni ; XF ; 26 ; gri.59 ; 567 
 2154 ; 15 копеек ; 1939 ;  ; Ni ; XF ; 58 ; gri.59 ; 697 
 2155 ; 15 копеек ; 1940 ;  ; Ni ; XF- ; 28 ; gri.59 ; 561 
 2156 ; 15 копеек ; 1941 ;  ; Ni ; VF-XF ; 20 ; strutikut ; 408 
 2157 ; 15 копеек ; 1943 ;  ; Ni ; VF-XF ; 21 ; gri.59 ; 561 
 2158 ; 15 копеек ; 1944 ;  ; Ni ; XF- ; 41 ; gri.59 ; 1020 
 2159 ; 15 копеек ; 1945 ;  ; Ni ; XF- ; 9 ; messerer ; 239 
 2160 ; 15 копеек ; 1950 ;  ; Ni ; XF- ; 25 ; messerer ; 214 
 2161 ; 15 копеек ; 1951 ;  ; Ni ; VF ; 24 ; Ник 2 ; 225 
 2162 ; 15 копеек ; 1953 ;  ; Ni ; XF ; 25 ; ввп ; 128 
 2163 ; 15 копеек ; 1954 ;  ; Ni ; XF ; 29 ; urraf ; 261 
 2164 ; 15 копеек ; 1955 ;  ; Ni ; XF ; 12 ; alexnn ; 67 
 2165 ; 15 копеек ; 1956 ;  ; Ni ; XF ; 21 ; alexnn ; 82 
 2166 ; 10 копеек ; 1932 ;  ; Ni ; XF ; 17 ; alehandr ; 351 
 2167 ; 10 копеек ; 1933 ;  ; Ni ; XF- ; 22 ; gri.59 ; 459 
 2168 ; 10 копеек ; 1935 ;  ; Ni ; XF ; 41 ; StarinaHenk ; 522 
 2169 ; 10 копеек ; 1936 ;  ; Ni ; XF ; 58 ; strutikut ; 368 
 2170 ; 10 копеек ; 1937 ;  ; Ni ; XF ; 28 ; gri.59 ; 1401 
 2171 ; 10 копеек ; 1938 ;  ; Ni ; XF ; 27 ; svv ; 920 
 2172 ; 10 копеек ; 1939 ;  ; Ni ; XF- ; 23 ; spstudio ; 439 
 2173 ; 10 копеек ; 1940 ;  ; Ni ; VF-XF ; 28 ; Lizig1 ; 818 
 2174 ; 10 копеек ; 1943 ;  ; Ni ; VF-XF ; 21 ; urraf ; 495 
 2175 ; 10 копеек ; 1944 ;  ; Ni ; VF-XF ; 25 ; dixi ; 4500 
 2176 ; 10 копеек ; 1945 ;  ; Ni ; XF ; 32 ; gri.59 ; 1020 
 2177 ; 10 копеек ; 1949 ;  ; Ni ; XF- ; 21 ; ахвен ; 239 
 2178 ; 10 копеек ; 1950 ;  ; Ni ; XF ; 19 ; tdp ; 295 
 2179 ; 10 копеек ; 1952 ;  ; Ni ; XF- ; 21 ; Legio ; 42 
 2180 ; 10 копеек ; 1953 ;  ; Ni ; AU ; 33 ; novikoff12006 ; 420 
 2181 ; 10 копеек ; 1954 ;  ; Ni ; XF+ ; 14 ; Taras58 ; 204 
 2182 ; 10 копеек ; 1955 ;  ; Ni ; XF+ ; 22 ; strutikut ; 72 
 2183 ; 10 копеек ; 1956 ; В венке герба 16 лент ; Ni ; AU ; 20 ; dron0506 ; 155 
 2184 ; 5 копеек ; 1931 ;  ; Br ; VF+ ; 12 ; messerer ; 308 
 2185 ; 5 копеек ; 1938 ;  ; Br ; VF+ ; 24 ; QSL ; 712 
 2186 ; 5 копеек ; 1939 ;  ; Br ; VF ; 15 ; QSL ; 444 
 2187 ; 5 копеек ; 1940 ;  ; Br ; VF ; 15 ; alexnn ; 159 
 2188 ; 5 копеек ; 1948 ;  ; Br ; VF+ ; 16 ; Мать ; 308 
 2189 ; 1 копейка ; 1933 ;  ; Br ; VF ; 6 ; Мать ; 159 
 2190 ; 5 копеек ; 1949 ;  ; Br ; VF+ ; 10 ; alexnn ; 101 
 2191 ; 5 копеек ; 1956 ;  ; Br ; XF ; 25 ; geracon2009 ; 101 
 2192 ; 2 копейки ; 1938 ;  ; Br ; F ; 3 ; vor0niko ; 62 
 2193 ; 20 копеек ; 1940 ; Л/с звезда плоская, шт. 20 коп. ; Ni ; VF-XF ; 36 ; Repz ; 148 
 2194 ; 5 копеек ; 1935 ;  ; Br ; F+ ; 38 ; volvoinblood ; 4080 
 2195 ; 5 копеек ; 1980 ;  ; Cu-Zn ; AU ; 20 ; StarinaHenk ; 79 
 2196 ; 5 копеек ; 1943 ;  ; Br ; XF ; 56 ; gri.59 ; 1134 
 2197 ; 5 копеек ; 1948 ;  ; Br ; VF+ ; 44 ; Ритм ; 364 
 2198 ; 5 копеек ; 1953 ;  ; Br ; VF-XF ; 7 ; gri.59 ; 204 
 2199 ; 3 копейки ; 1937 ;  ; Br ; VF-XF ; 43 ; StarinaHenk ; 410 
 2200 ; 2 копейки ; 1937 ;  ; Br ; VF-XF ; 28 ; Repz ; 206 
 2201 ; 2 копейки ; 1970 ;  ; Cu-Zn ; VF-XF ; 13 ; sks11801 ; 16 
 2202 ; 1 копейка ; 1936 ;  ; Br ; VF-XF ; 14 ; gri.59 ; 306 
 2103 ; 50 копеек ; 1967 ;  ; Cu-Ni ; AU ; 46 ; сербос1975 ; 930 
 2104 ; 50 копеек ; 1968 ;  ; Cu-Ni ; AU ; 19 ; Isay ; 318 
 2105 ; 50 копеек ; 1968 ;  ; Cu-Ni ; AU ; 26 ; messerer ; 215 
 2106 ; 50 копеек ; 1969 ;  ; Cu-Ni ; AU ; 29 ; messerer ; 378 
 2107 ; 50 копеек ; 1969 ;  ; Cu-Ni ; AU ; 61 ; spblvv ; 340 
 2108 ; 50 копеек ; 1969 ;  ; Cu-Ni ; AU ; 16 ; messerer ; 225 
 2109 ; 20 копеек ; 1961 ;  ; Cu-Ni ; AU ; 12 ; tdp ; 123 
 2110 ; 20 копеек ; 1967 ;  ; Cu-Ni ; AU ; 32 ; RUS 78 ; 969 
 2111 ; 20 копеек ; 1968 ;  ; Cu-Ni ; AU ; 51 ; canissp ; 1111 
 2112 ; 15 копеек ; 1961 ;  ; Cu-Ni ; AU ; 10 ; messerer ; 220 
 2113 ; 15 копеек ; 1962 ;  ; Cu-Ni ; AU ; 11 ; sibons ; 276 
 2114 ; 10 копеек ; 1967 ;  ; Cu-Ni ; AU ; 35 ; gri.59 ; 1064 
 2115 ; 10 копеек ; 1968 ;  ; Cu-Ni ; AU ; 27 ; сербос1975 ; 1134 
 2116 ; 10 копеек ; 1969 ;  ; Cu-Ni ; AU ; 26 ; Taras58 ; 153 
 2117 ; 1 копейка ; 1940 ;  ; Br ; XF ; 22 ; alexnn ; 153 
 2118 ; 50 копеек ; 1966 ;  ; Cu-Ni ; XF+ ; 13 ; konstk2 ; 63 
 2119 ; 50 копеек ; 1981 ;  ; Cu-Ni ; AU ; 17 ; avs ; 357 
 2120 ; 50 копеек ; 1983 ;  ; Cu-Ni ; XF+ ; 8 ; alexnn ; 57 
 2121 ; 1 рубль ; 1966 ;  ; Cu-Ni ; AU ; 61 ; Lizig1 ; 816 
 2122 ; 1 рубль ; 1979 ;  ; Cu-Ni ; AU/XF+ ; 32 ; asdtyu ; 684 
 2123 ; 1 рубль ; 1981 ;  ; Cu-Ni ; AU ; 26 ; asdtyu ; 765 
 2124 ; 1 рубль ; 1982 ;  ; Cu-Ni ; AU ; 40 ; spstudio ; 1020 
 2125 ; 1 рубль ; 1983 ;  ; Cu-Ni ; AU ; 31 ; spstudio ; 920 
 2126 ; 5 копеек ; 1936 ;  ; Br ; F-VF ; 41 ; krft ; 505 
 2127 ; 3 копейки. В конверте, с маркой ; 1987 ;  ; Cu-Zn ; AU ; 36 ; Harlock ; 420 
 2128 ; 20 копеек ; 1933 ;  ; Ni ; XF ; 22 ; Schwer ; 399 
 2129 ; 20 копеек ; 1935 ; Л/с звезда плоская ; Ni ; XF ; 34 ; strutikut ; 291 
 2130 ; 20 копеек ; 1936 ; Л/с звезда плоская ; Ni ; XF+ ; 24 ; gri.59 ; 257 
 2131 ; 20 копеек ; 1937 ; Л/с звезда плоская, шт. 20 коп. ; Ni ; XF+ ; 30 ; strutikut ; 399 
 2132 ; 20 копеек ; 1938 ; Л/с звезда плоская, шт. 20 коп. ; Ni ; XF ; 48 ; messerer ; 411 
 2133 ; 20 копеек ; 1939 ;  ; Ni ; XF ; 33 ; Александр007 ; 532 
 2134 ; 20 копеек ; 1940 ; Л/с звезда плоская, шт. 20 коп. ; Ni ; XF ; 32 ; messerer ; 567 
 2135 ; 20 копеек ; 1941 ; Л/с звезда плоская, шт. 20 коп. ; Ni ; XF ; 17 ; свинка ; 579 
 2136 ; 20 копеек ; 1942 ; Л/с звезда плоская, шт. 20 коп. ; Ni ; XF ; 34 ; messerer ; 583 
 2137 ; 20 копеек ; 1943 ; Л/с звезда плоская, шт. 20 коп. ; Ni ; XF ; 15 ; strutikut ; 408 
 2138 ; 20 копеек ; 1944 ;  ; Ni ; XF ; 19 ; свинка ; 442 
 2139 ; 20 копеек ; 1945 ;  ; Ni ; XF ; 16 ; messerer ; 522 
 2140 ; 20 копеек ; 1949 ;  ; Ni ; XF ; 45 ; tdp ; 408 
 2141 ; 20 копеек ; 1950 ;  ; Ni ; XF ; 28 ; кит50 ; 3569 
 2142 ; 20 копеек ; 1951 ;  ; Ni ; XF+ ; 29 ; gri.59 ; 318 
 2143 ; 20 копеек ; 1952 ;  ; Ni ; XF+ ; 8 ; Taras58 ; 123 
 2144 ; 20 копеек ; 1953 ;  ; Ni ; XF+ ; 18 ; gri.59 ; 257 
 2145 ; 20 копеек ; 1954 ;  ; Ni ; XF+ ; 18 ; alexnn ; 148 
 2146 ; 20 копеек ; 1955 ;  ; Ni ; XF+ ; 15 ; ввп ; 104 
 2147 ; 20 копеек ; 1956 ;  ; Ni ; AU ; 17 ; asadovoy ; 294 
 2148 ; 15 копеек ; 1932 ;  ; Ni ; XF ; 43 ; gri.59 ; 612 
 2149 ; 15 копеек ; 1933 ;  ; Ni ; XF ; 37 ; Геолог ; 663 
 2150 ; 15 копеек ; 1935 ;  ; Ni ; XF- ; 36 ; Ритм ; 378 
 2151 ; 15 копеек ; 1936 ;  ; Ni ; XF ; 24 ; gri.59 ; 420 
 2152 ; 15 копеек ; 1937 ;  ; Ni ; XF ; 24 ; gri.59 ; 1071 
 2053 ; 1 рубль ; 1987 ; 175 лет Бородино (барельеф) ; Cu-Ni ; XF ; 12 ; yunonik ; 64 
 2054 ; 1 рубль ; 1988 ; 120 лет со дня рождения А.М.Горького ; Cu-Ni ; AU ; 16 ; ALEX150 ; 84 
 2055 ; 1 рубль ; 1988 ; 160 лет со дня рождения А.Н.Толстого ; Cu-Ni ; AU ; 18 ; ALEX150 ; 90 
 2056 ; 1 рубль ; 1989 ; 150 лет со дня рождения М.П.Мусоргского ; Cu-Ni ; AU ; 16 ; ardgir ; 89 
 2057 ; 1 рубль ; 1989 ; 175 лет со дня рождения М.Ю.Лермонтова ; Cu-Ni ; AU ; 16 ; Mahfey ; 107 
 2058 ; 1 рубль ; 1989 ; 100 лет со дня рождения Ниязи ; Cu-Ni ; AU ; 19 ; локомотив ; 174 
 2059 ; 1 рубль ; 1990 ; 130 лет со дня рождения А.П.Чехова ; Cu-Ni ; AU ; 15 ; Mahfey ; 95 
 2060 ; 1 рубль ; 1990 ; 150 лет со дня рождения П.И.Чайковского ; Cu-Ni ; AU ; 18 ; fant ; 99 
 2061 ; 1 рубль ; 1990 ; Маршал СССР Г.К.Жуков ; Cu-Ni ; AU ; 39 ; лис777 ; 354 
 2062 ; 1 рубль ; 1990 ; 500 лет со дня рождения Ф.Скорины ; Cu-Ni ; AU ; 10 ; Ravin ; 89 
 2063 ; 1 рубль ; 1991 ; 100 лет со дня рождения С.Прокофьева ; Cu-Ni ; AU ; 12 ; Vovian ; 89 
 2064 ; 1 рубль. Новодел. Упаковка нарушена ; 1965 ; 20 лет победы над Германией ; Cu-Ni ; Proof ; 35 ; ArCan ; 513 
 2065 ; 1 рубль. Новодел. Упаковка ; 1975 ; 30 лет Победы в войне 1941-1945 ; Cu-Ni ; Proof ; 39 ; ArCan ; 535 
 2066 ; 1 рубль. Новодел. Упаковка ; 1965 ; 20 лет победы над Германией ; Cu-Ni ; Proof ; 38 ; likerkka ; 1045 
 2067 ; 1 рубль ; 1976 ;  ; Cu-Ni ; AU ; 37 ; asdtyu ; 906 
 2068 ; 50 копеек ; 1976 ;  ; Cu-Ni ; AU ; 28 ; сербос1975 ; 729 
 2069 ; 20 копеек ; 1976 ;  ; Cu-Ni ; AU ; 25 ; sibons ; 3050 
 2070 ; 15 копеек ; 1976 ;  ; Cu-Ni ; AU ; 25 ; tdp ; 408 
 2071 ; 10 копеек ; 1976 ;  ; Cu-Ni ; AU ; 18 ; messerer ; 155 
 2072 ; 5 копеек ; 1976 ;  ; Cu-Zn ; AU ; 21 ; messerer ; 260 
 2073 ; 3 копейки ; 1976 ;  ; Cu-Zn ; AU ; 12 ; messerer ; 200 
 2074 ; 2 копейки ; 1976 ;  ; Cu-Zn ; AU ; 30 ; messerer ; 216 
 2075 ; 1 копейка ; 1976 ;  ; Cu-Zn ; AU ; 12 ; StarinaHenk ; 102 
 2076 ; 1 рубль ; 1980 ;  ; Cu-Ni ; AU ; 34 ; asdtyu ; 908 
 2077 ; 50 копеек ; 1980 ;  ; Cu-Ni ; AU ; 20 ; strutikut ; 104 
 2078 ; 20 копеек ; 1980 ;  ; Cu-Ni ; AU ; 17 ; messerer ; 207 
 2079 ; 15 копеек ; 1980 ;  ; Cu-Ni ; AU ; 7 ; messerer ; 46 
 2080 ; 10 копеек ; 1980 ;  ; Cu-Ni ; AU ; 3 ; messerer ; 31 
 2081 ; 5 копеек ; 1980 ;  ; Cu-Zn ; AU ; 10 ; messerer ; 200 
 2082 ; 3 копейки ; 1980 ;  ; Cu-Zn ; AU ; 20 ; messerer ; 100 
 2083 ; 2 копейки ; 1980 ;  ; Cu-Zn ; AU ; 13 ; 462 ; 102 
 2084 ; 1 копейка ; 1980 ;  ; Cu-Zn ; AU ; 13 ; 462 ; 51 
 2085 ; 50 копеек ; 1991 ; ММД ; Cu-Ni ; AU ; 15 ; messerer ; 247 
 2086 ; 1 рубль ; 1961 ;  ; Cu-Ni ; AU ; 18 ; strutikut ; 255 
 2087 ; 1 рубль ; 1964 ;  ; Cu-Ni ; AU ; 17 ; messerer ; 136 
 2088 ; 1 рубль ; 1966 ;  ; Cu-Ni ; AU ; 41 ; asdtyu ; 1530 
 2089 ; 1 рубль ; 1967 ;  ; Cu-Ni ; AU ; 41 ; asdtyu ; 663 
 2090 ; 1 рубль ; 1968 ;  ; Cu-Ni ; AU ; 25 ; messerer ; 1000 
 2091 ; 1 рубль ; 1968 ;  ; Cu-Ni ; AU ; 24 ; messerer ; 944 
 2092 ; 1 рубль ; 1969 ;  ; Cu-Ni ; AU ; 48 ; messerer ; 1000 
 2093 ; 1 рубль ; 1969 ;  ; Cu-Ni ; AU ; 38 ; strutikut ; 561 
 2094 ; 50 копеек ; 1961 ;  ; Cu-Ni ; AU ; 28 ; messerer ; 386 
 2095 ; 50 копеек ; 1964 ;  ; Cu-Ni ; AU ; 12 ; sibons ; 102 
 2096 ; 50 копеек ; 1964 ;  ; Cu-Ni ; AU ; 11 ; kott ; 51 
 2097 ; 50 копеек ; 1964 ;  ; Cu-Ni ; AU ; 32 ; Taras58 ; 255 
 2098 ; 50 копеек ; 1965 ;  ; Cu-Ni ; AU ; 20 ; spstudio ; 600 
 2099 ; 50 копеек ; 1966 ;  ; Cu-Ni ; AU ; 15 ; valeron ; 459 
 2100 ; 50 копеек ; 1966 ;  ; Cu-Ni ; XF ; 12 ; локомотив ; 60 
 2101 ; 50 копеек ; 1966 ;  ; Cu-Ni ; AU ; 25 ; messerer ; 340 
 2102 ; 50 копеек ; 1967 ;  ; Cu-Ni ; AU ; 53 ; strutikut ; 1012 
 2003 ; 5 рублей. Упаковка ; 1989 ; Собор Покрова на рву в Москве ; Cu-Ni ; Proof ; 23 ; tamsimun ; 323 
 2004 ; 3 рубля. Упаковка ; 1989 ; Землятресение в Армении ; Cu-Ni ; Proof ; 9 ; прима ; 153 
 2005 ; 5 рублей. Упаковка ; 1991 ; Архангельский собор в Москве ; Cu-Ni ; Proof ; 39 ; StarinaHenk ; 228 
 2006 ; 5 рублей. Упаковка ; 1991 ; Архангельский собор в Москве ; Cu-Ni ; Proof ; 14 ; ewgen ; 191 
 2007 ; 1 рубль. Упаковка ; 1992 ; 200 лет со дня рождения Н.И.Лобачевского ; Cu-Ni ; Proof ; 35 ; alexadm ; 351 
 2008 ; 1 рубль ; 1977 ; Олимпиада 80.Эмблема Олимпийских игр ; Cu-Ni ; AU ; 19 ; Ravin ; 102 
 2009 ; 1 рубль ; 1991 ; 100 лет со дня рождения С.Прокофьева ; Cu-Ni ; AU ; 12 ; o.k. ; 81 
 2010 ; 1 рубль ; 1987 ; 130 лет со дня рождения К.Э.Циолковского ; Cu-Ni ; AU ; 13 ; RUS 78 ; 95 
 2011 ; 1 рубль ; 1985 ; Фестиваль молодежи и студентов в Москве ; Cu-Ni ; AU ; 13 ; ALEX150 ; 100 
 2012 ; 3 рубля. Упаковка ; 1992 ; 750 лет победы А.Невского ; Cu-Ni ; Proof ; 20 ; shev8 ; 340 
 2013 ; 3 рубля ; 1992 ; Международный год космоса ; Cu-Ni ; XF ; 17 ; indigo-rus ; 276 
 2014 ; 1 рубль. Упаковка ; 1992 ; 110 лет со дня рождения Я.Купалы ; Cu-Ni ; Proof ; 34 ; alishas ; 594 
 2015 ; 1 рубль. Упаковка ; 1992 ; 110 лет со дня рождения Я.Купалы ; Cu-Ni ; Unc ; 31 ; ArCan ; 561 
 2016 ; 3 рубля. Упаковка ; 1992 ; Международный год космоса ; Cu-Ni ; Proof ; 25 ; shev8 ; 324 
 2017 ; 3 рубля ; 1993 ; 50 лет победы в Сталинградской битве ; Cu-Ni ; Proof ; 12 ; ASA19V ; 320 
 2018 ; 3 рубля ; 1993 ; 50 лет победы на Курской дуге ; Cu-Ni ; Proof ; 40 ; alexadm ; 381 
 2019 ; 1 рубль ; 1992 ; 110 лет со дня рождения Я.Купалы ; Cu-Ni ; Proof ; 21 ; igniss ; 497 
 2020 ; 3 рубля. Упаковка ; 1992 ; 750 лет победы А.Невского ; Cu-Ni ; Proof ; 20 ; Northman ; 347 
 2021 ; 3 рубля. Упаковка ; 1992 ; Международный год космоса ; Cu-Ni ; Proof ; 19 ; Юбер ; 296 
 2022 ; 3 рубля. Упаковка ; 1992 ; 750 лет победы А.Невского ; Cu-Ni ; Proof ; 23 ; said ; 319 
 2023 ; 3 рубля. Упаковка ; 1992 ; 750 лет победы А.Невского ; Cu-Ni ; Proof ; 27 ; niko1968 ; 336 
 2024 ; 1 рубль ; 1977 ; 60 лет Советской власти ; Cu-Ni ; XF- ; 7 ; o.k. ; 62 
 2025 ; 1 рубль. Упаковка ; 1984 ; 125 лет со дня рождения А.С.Попова ; Cu-Ni ; Proof ; 35 ; white-2000 ; 1646 
 2026 ; 5 рублей ; 1989 ; Ансамбль Регистан в Самарканде ; Cu-Ni ; AU ; 26 ; tetAtet ; 305 
 2027 ; 5 рублей ; 1990 ; Успенский собор в Москве ; Cu-Ni ; AU ; 12 ; RUS 78 ; 105 
 2028 ; 5 рублей ; 1990 ; Большой дворец в Петродворце ; Cu-Ni ; AU ; 20 ; gola78 ; 128 
 2029 ; 1 рубль ; 1977 ; 60 лет Советской власти ; Cu-Ni ; AU ; 22 ; RUS 78 ; 136 
 2030 ; 1 рубль ; 1979 ; Олимпиада 80.Обелиск покорителям космоса ; Cu-Ni ; AU ; 19 ; ALEX150 ; 93 
 2031 ; 1 рубль ; 1981 ; 20 лет полета в космос Ю.Гагарина ; Cu-Ni ; XF+ ; 15 ; лис777 ; 135 
 2032 ; 1 рубль ; 1988 ; 160 лет со дня рождения А.Н.Толстого ; Cu-Ni ; AU ; 18 ; лис777 ; 85 
 2033 ; 1 рубль ; 1990 ; 150 лет со дня рождения П.И.Чайковского ; Cu-Ni ; AU ; 14 ; Mahfey ; 97 
 2034 ; 5 рублей ; 1988 ; Памятник в Новгороде "Тысячелетие России" ; Cu-Ni ; AU ; 22 ; tetAtet ; 206 
 2035 ; 5 рублей ; 1988 ; Памятник в Новгороде "Тысячелетие России" ; Cu-Ni ; AU ; 16 ; Jek327 ; 201 
 2036 ; 5 рублей ; 1988 ; Софийский собор в Киеве ; Cu-Ni ; AU ; 28 ; сербос1975 ; 246 
 2037 ; 5 рублей ; 1989 ; Собор Покрова на рву в Москве ; Cu-Ni ; AU ; 15 ; jimmysu ; 235 
 2038 ; 5 рублей ; 1989 ; Ансамбль Регистан в Самарканде ; Cu-Ni ; AU ; 23 ; сербос1975 ; 306 
 2039 ; 5 рублей ; 1990 ; Большой дворец в Петродворце ; Cu-Ni ; AU ; 17 ; geracon2009 ; 148 
 2040 ; 5 рублей ; 1990 ; Успенский собор в Москве ; Cu-Ni ; AU ; 20 ; RUS 78 ; 141 
 2041 ; 3 рубля ; 1989 ; Землятресение в Армении ; Cu-Ni ; AU ; 16 ; RUS 78 ; 141 
 2042 ; 1 рубль ; 1977 ; 60 лет Советской власти ; Cu-Ni ; XF- ; 12 ; gola78 ; 75 
 2043 ; 1 рубль ; 1979 ; Олимпиада 80.Обелиск покорителям космоса ; Cu-Ni ; AU ; 20 ; Mahfey ; 76 
 2044 ; 1 рубль ; 1980 ; Олимпиада 80.Здание Моссовета ; Cu-Ni ; XF+ ; 15 ; Mahfey ; 75 
 2045 ; 1 рубль ; 1980 ; Олимпиада 80.Олимпийский факел ; Cu-Ni ; AU ; 16 ; Ravin ; 104 
 2046 ; 1 рубль ; 1981 ; 20 лет полета в космос Ю.Гагарина ; Cu-Ni ; AU ; 27 ; piv3 ; 176 
 2047 ; 1 рубль ; 1982 ; 60 лет образования СССР ; Cu-Ni ; XF+ ; 23 ; лис777 ; 355 
 2048 ; 1 рубль ; 1983 ; 20 лет полета в космос В.Терешковой ; Cu-Ni ; AU ; 24 ; лис777 ; 316 
 2049 ; 1 рубль ; 1983 ; 400 лет со дня смерти И.Федорова 1510-1583 ; Cu-Ni ; AU ; 19 ; tetAtet ; 258 
 2050 ; 1 рубль ; 1985 ; 40 лет Победы над Германией ; Cu-Ni ; AU ; 10 ; RUS 78 ; 81 
 2051 ; 1 рубль ; 1986 ; 275 лет со дня рождения М.В.Ломоносова ; Cu-Ni ; AU ; 16 ; piv3 ; 247 
 2052 ; 1 рубль ; 1986 ; Международный год мира ; Cu-Ni ; AU ; 17 ; Ravin ; 95 
 1953 ; 1 рубль. Новодел ; 1984 ; 125 лет со дня рождения А.С.Попова ; Cu-Ni ; Proof ; 40 ; gola78 ; 367 
 1954 ; 1 рубль. Новодел ; 1983 ; 165 лет со дня рождения К.Маркса ; Cu-Ni ; Proof ; 27 ; Paradox76 ; 263 
 1955 ; 1 рубль. Новодел ; 1984 ; 150 лет со дня рождения Д.И.Менделеева ; Cu-Ni ; Proof ; 35 ; gola78 ; 352 
 1956 ; 1 рубль ; 1984 ; 185 лет со дня рождения А.С.Пушкина ; Cu-Ni ; Proof ; 68 ; gola78 ; 852 
 1957 ; 1 рубль ; 1987 ; 175 лет Бородино (барельеф) ; Cu-Ni ; Proof ; 20 ; gola78 ; 138 
 1958 ; 1 рубль ; 1987 ; 175 лет Бородино (обелиск) ; Cu-Ni ; Proof ; 20 ; Ravin ; 135 
 1959 ; 1 рубль ; 1987 ; 70 лет Октябрьской революции ; Cu-Ni ; Proof ; 22 ; ☆texas-dv☆ ; 135 
 1960 ; 1 рубль ; 1989 ; 100 лет со дня смерти Эминеску ; Cu-Ni ; Proof ; 26 ; локомотив ; 165 
 1961 ; 1 рубль ; 1989 ; 150 лет со дня рождения М.П.Мусоргского ; Cu-Ni ; Proof ; 24 ; gola78 ; 135 
 1962 ; 1 рубль ; 1989 ; 100 лет со дня рождения Ниязи ; Cu-Ni ; Proof ; 15 ; Чук ; 169 
 1963 ; 1 рубль ; 1989 ; 175 лет со дня рождения Т.Г.Шевченко ; Cu-Ni ; Proof ; 24 ; ☆texas-dv☆ ; 144 
 1964 ; 1 рубль ; 1988 ; 120 лет со дня рождения А.М.Горького ; Cu-Ni ; Proof ; 24 ; ☆texas-dv☆ ; 144 
 1965 ; 1 рубль ; 1990 ; 125 лет со дня рождения Я.Райниса ; Cu-Ni ; Proof ; 23 ; ☆texas-dv☆ ; 150 
 1966 ; 1 рубль ; 1990 ; 500 лет со дня рождения Ф.Скорины ; Cu-Ni ; Proof ; 20 ; ☆texas-dv☆ ; 144 
 1967 ; 1 рубль ; 1990 ; 150 лет со дня рождения П.И.Чайковского ; Cu-Ni ; Proof ; 17 ; gola78 ; 116 
 1968 ; 1 рубль ; 1989 ; 175 лет со дня рождения М.Ю.Лермонтова ; Cu-Ni ; Proof ; 23 ; gola78 ; 130 
 1969 ; 1 рубль ; 1988 ; 160 лет со дня рождения А.Н.Толстого ; Cu-Ni ; Proof ; 15 ; AK-47 ; 135 
 1970 ; 1 рубль ; 1991 ; 550 лет со дня рождения А.Навои ; Cu-Ni ; Proof ; 13 ; gola78 ; 122 
 1971 ; 1 рубль ; 1991 ; 101 год со дня рождения К.В.Иванова ; Cu-Ni ; Proof ; 15 ; Ravin ; 125 
 1972 ; 1 рубль ; 1991 ; 850 лет со дня рождения Низами Гянджеви ; Cu-Ni ; Proof ; 27 ; gola78 ; 138 
 1973 ; 1 рубль ; 1991 ; 100 лет со дня рождения С.Прокофьева ; Cu-Ni ; Proof ; 11 ; gola78 ; 122 
 1974 ; 1 рубль ; 1991 ; Махтумкули ; Cu-Ni ; Proof ; 12 ; Jek327 ; 279 
 1975 ; 1 рубль ; 1990 ; 130 лет со дня рождения А.П.Чехова ; Cu-Ni ; Proof ; 32 ; gola78 ; 141 
 1976 ; 1 рубль ; 1991 ; 125 лет со дня рождения П.Н.Лебедева ; Cu-Ni ; Proof ; 25 ; gola78 ; 125 
 1977 ; 1 рубль ; 1991 ; Олимпиада в Барселоне.Штанга ; Cu-Ni ; Proof ; 18 ; slovjnin ; 1253 
