 5814 ; Бона иностранная. Бельгия ; 1942 ;  ;  ;  ; 61 ; Первый Самураец ; 2550 
 1861 ; 1 рубль. Упаковка ; 1980 ; Олимпиада 80.Здание Моссовета ; Cu-Ni ; Unc ; 15 ; boltyshov ; 286 
 1862 ; 1 рубль ; 1980 ; Олимпиада 80.Олимпийский факел ; Cu-Ni ; Unc ; 11 ; ardgir ; 214 
 1863 ; 1 рубль ; 1981 ; Дружба навеки ; Cu-Ni ; AU ; 18 ; JanPol ; 286 
 1864 ; 1 рубль ; 1981 ; 20 лет полета в космос Ю.Гагарина ; Cu-Ni ; Proof ; 21 ; Sasha25 ; 1361 
 1865 ; 1 рубль. Новодел ; 1982 ; 60 лет образования СССР ; Cu-Ni ; Proof ; 21 ; mixey ; 363 
 1866 ; 1 рубль ; 1983 ; 165 лет со дня рождения К.Маркса ; Cu-Ni ; Proof ; 15 ; kop ; 444 
 1867 ; 1 рубль. Новодел ; 1983 ; 20 лет полета в космос В.Терешковой ; Cu-Ni ; Proof ; 13 ; Димон777 ; 396 
 1868 ; 1 рубль ; 1983 ; 400 лет со дня смерти И.Федорова 1510-1583 ; Cu-Ni ; Proof ; 13 ; JanPol ; 1122 
 1869 ; 1 рубль. Новодел ; 1984 ; 185 лет со дня рождения А.С.Пушкина ; Cu-Ni ; Proof ; 26 ; Zh5555 ; 297 
 1870 ; 1 рубль. Новодел ; 1984 ; 125 лет со дня рождения А.С.Попова ; Cu-Ni ; Proof ; 12 ; Fray ; 261 
 1871 ; 1 рубль ; 1984 ; 150 лет со дня рождения Д.И.Менделеева ; Cu-Ni ; Proof ; 46 ; михалычъ ; 1008 
 1872 ; 1 рубль. Новодел ; 1985 ; 40 лет Победы над Германией ; Cu-Ni ; Proof ; 17 ; Инвестор ; 250 
 1873 ; 1 рубль. Новодел ; 1985 ; 115 лет со дня рождения В.И.Ленина ; Cu-Ni ; Proof ; 11 ; mixey ; 356 
 1874 ; 1 рубль. Новодел ; 1985 ; 165 лет со дня рождения Ф.Энгельса ; Cu-Ni ; Proof ; 12 ; Fray ; 230 
 1875 ; 1 рубль. Новодел ; 1986 ; 275 лет со дня рождения М.В.Ломоносова ; Cu-Ni ; Proof ; 15 ; koppolo ; 276 
 1876 ; 1 рубль ; 1987 ; 175 лет Бородино (барельеф) ; Cu-Ni ; Proof ; 13 ; JanPol ; 200 
 1877 ; 1 рубль ; 1987 ; 175 лет Бородино (обелиск) ; Cu-Ni ; Proof ; 16 ; AKS1364 ; 276 
 1878 ; 1 рубль ; 1988 ; 160 лет со дня рождения А.Н.Толстого ; Cu-Ni ; Proof ; 10 ; boltyshov ; 200 
 1879 ; 1 рубль ; 1989 ; 175 лет со дня рождения Т.Г.Шевченко ; Cu-Ni ; Proof ; 5 ; Maxwel ; 200 
 1880 ; 1 рубль ; 1989 ; 175 лет со дня рождения М.Ю.Лермонтова ; Cu-Ni ; Proof ; 8 ; aaa2009 ; 255 
 1881 ; 1 рубль ; 1989 ; 100 лет со дня смерти Эминеску ; Cu-Ni ; Proof ; 28 ; pichenka ; 235 
 1882 ; 1 рубль ; 1990 ; 150 лет со дня рождения П.И.Чайковского ; Cu-Ni ; Proof ; 23 ; Postevoy78 ; 165 
 1883 ; 1 рубль ; 1990 ; 500 лет со дня рождения Ф.Скорины ; Cu-Ni ; Proof ; 42 ; лаботряс ; 153 
 1884 ; 1 рубль ; 1990 ; 130 лет со дня рождения А.П.Чехова ; Cu-Ni ; Proof ; 31 ; JanPol ; 181 
 1885 ; 1 рубль ; 1990 ; Маршал СССР Г.К.Жуков ; Cu-Ni ; Proof ; 9 ; Zh5555 ; 317 
 1886 ; 1 рубль ; 1991 ; 125 лет со дня рождения П.Н.Лебедева ; Cu-Ni ; Proof ; 21 ; koppolo ; 163 
 1887 ; 1 рубль ; 1991 ; Махтумкули ; Cu-Ni ; Proof ; 14 ; seva777 ; 612 
 1888 ; 1 рубль ; 1991 ; 850 лет со дня рождения Низами Гянджеви ; Cu-Ni ; Proof ; 33 ; vovan13130629 ; 177 
 1889 ; 1 рубль ; 1991 ; 100 лет со дня рождения С.Прокофьева ; Cu-Ni ; Proof ; 16 ; koppolo ; 148 
 1890 ; 1 рубль ; 1991 ; 550 лет со дня рождения А.Навои ; Cu-Ni ; Proof ; 13 ; лаботряс ; 130 
 1891 ; 1 рубль ; 1991 ; 101 год со дня рождения К.В.Иванова ; Cu-Ni ; Proof ; 14 ; Maxwel ; 150 
 1792 ; 1 рубль. Упаковка ; 1991 ; Махтумкули ; Cu-Ni ; Proof ; 23 ; rustamsp ; 408 
 1793 ; 1 рубль. Упаковка ; 1991 ; 850 лет со дня рождения Низами Гянджеви ; Cu-Ni ; Proof ; 20 ; shaker1980 ; 197 
 1794 ; 1 рубль. Упаковка ; 1993 ; 130 лет со дня рождения В.И.Вернадского ; Cu-Ni ; AU ; 34 ; chebeer ; 453 
 1795 ; 1 рубль ; 1991 ; 101 год со дня рождения К.В.Иванова ; Cu-Ni ; Proof ; 10 ; MishkinVF ; 306 
 1796 ; 1 рубль ; 1991 ; 100 лет со дня рождения С.Прокофьева ; Cu-Ni ; Proof ; 7 ; AKS1364 ; 283 
 1797 ; 1 рубль ; 1991 ; 550 лет со дня рождения А.Навои ; Cu-Ni ; Proof ; 15 ; AKS1364 ; 241 
 1798 ; 1 рубль ; 1989 ; 175 лет со дня рождения М.Ю.Лермонтова ; Cu-Ni ; Proof ; 9 ; JanPol ; 255 
 1799 ; 1 рубль ; 1983 ; 165 лет со дня рождения К.Маркса ; Cu-Ni ; Proof ; 34 ; alexgp ; 567 
 1800 ; 5 рублей ; 1988 ; Памятник Петру I в Ленинграде ; Cu-Ni ; Proof ; 27 ; koppolo ; 295 
 1801 ; 5 рублей ; 1988 ; Памятник в Новгороде "Тысячелетие России" ; Cu-Ni ; Proof ; 25 ; Геолог ; 328 
 1802 ; 5 рублей ; 1988 ; Софийский собор в Киеве ; Cu-Ni ; Proof ; 24 ; koppolo ; 308 
 1803 ; 5 рублей ; 1988 ; Памятник в Новгороде "Тысячелетие России" ; Cu-Ni ; AU ; 18 ; koppolo ; 257 
 1804 ; 5 рублей ; 1989 ; Собор Покрова на рву в Москве ; Cu-Ni ; AU ; 20 ; solder13 ; 306 
 1805 ; 1 рубль ; 1975 ; 30 лет Победы в войне 1941-1945 ; Cu-Ni ; AU ; 25 ; boltyshov ; 331 
 1806 ; 1 рубль ; 1970 ; 100 лет со дня рождения В.И.Ленина ; Cu-Ni ; XF ; 11 ; boltyshov ; 255 
 1807 ; 1 рубль. Упаковка ; 1977 ; Олимпиада 80.Эмблема Олимпийских игр ; Cu-Ni ; Unc ; 23 ; boltyshov ; 448 
 1808 ; 1 рубль. Упаковка ; 1989 ; 100 лет со дня рождения Ниязи ; Cu-Ni ; Proof ; 37 ; skrudz ; 277 
 1809 ; 1 рубль. Новодел. Упаковка ; 1985 ; 40 лет Победы над Германией ; Cu-Ni ; Proof ; 19 ; Al1964 ; 320 
 1810 ; 1 рубль. Новодел. Упаковка ; 1981 ; Дружба навеки ; Cu-Ni ; Proof ; 15 ; klimvita ; 380 
 1811 ; 1 рубль. Новодел. Упаковка ; 1975 ; 30 лет Победы в войне 1941-1945 ; Cu-Ni ; Proof ; 15 ; генерал222 ; 466 
 1812 ; 1 рубль. Новодел. Упаковка ; 1965 ; 20 лет победы над Германией ; Cu-Ni ; Proof ; 19 ; Blixa37 ; 541 
 1813 ; 1 рубль. Новодел. Упаковка ; 1983 ; 165 лет со дня рождения К.Маркса ; Cu-Ni ; Proof ; 12 ; xorek016 ; 306 
 1814 ; 1 рубль. Новодел. Упаковка ; 1985 ; Фестиваль молодежи и студентов в Москве ; Cu-Ni ; Proof ; 20 ; верталет ; 280 
 1815 ; 1 рубль. Новодел. Упаковка ; 1985 ; 115 лет со дня рождения В.И.Ленина ; Cu-Ni ; Proof ; 11 ; ardgir ; 453 
 1816 ; 1 рубль. Новодел. Упаковка ; 1985 ; 165 лет со дня рождения Ф.Энгельса ; Cu-Ni ; Proof ; 24 ; ardgir ; 314 
 1817 ; 1 рубль. Новодел. Упаковка ; 1983 ; 20 лет полета в космос В.Терешковой ; Cu-Ni ; Proof ; 5 ; Blixa37 ; 658 
 1818 ; 1 рубль. Новодел. Упаковка ; 1983 ; 400 лет со дня смерти И.Федорова 1510-1583 ; Cu-Ni ; Proof ; 13 ; 01020304 ; 357 
 1819 ; 1 рубль. Новодел. Упаковка ; 1981 ; 20 лет полета в космос Ю.Гагарина ; Cu-Ni ; Proof ; 15 ; генерал222 ; 511 
 1820 ; 1 рубль. Новодел. Упаковка ; 1984 ; 185 лет со дня рождения А.С.Пушкина ; Cu-Ni ; Proof ; 15 ; ardgir ; 465 
 1821 ; 1 рубль. Новодел. Упаковка ; 1983 ; 165 лет со дня рождения К.Маркса ; Cu-Ni ; Proof ; 12 ; Zh5555 ; 363 
 1822 ; 1 рубль. Новодел. Упаковка ; 1985 ; 165 лет со дня рождения Ф.Энгельса ; Cu-Ni ; Proof ; 12 ; koppolo ; 273 
 1823 ; 1 рубль. Новодел. Упаковка ; 1986 ; Международный год мира ; Cu-Ni ; Proof ; 25 ; ardgir ; 318 
 1824 ; 1 рубль. Новодел. Упаковка ; 1985 ; 115 лет со дня рождения В.И.Ленина ; Cu-Ni ; Proof ; 11 ; Димон777 ; 410 
 1825 ; 1 рубль. Новодел. Упаковка ; 1984 ; 150 лет со дня рождения Д.И.Менделеева ; Cu-Ni ; Proof ; 10 ; koppolo ; 267 
 1826 ; 1 рубль. Новодел. Упаковка ; 1984 ; 125 лет со дня рождения А.С.Попова ; Cu-Ni ; Proof ; 16 ; ввп ; 306 
 1827 ; 1 рубль. Новодел. Упаковка ; 1986 ; 275 лет со дня рождения М.В.Ломоносова ; Cu-Ni ; Proof ; 23 ; Al1964 ; 363 
 1828 ; 1 рубль ; 1977 ; 60 лет Советской власти ; Cu-Ni ; XF ; 14 ; boltyshov ; 92 
 1829 ; 3 рубля. Упаковка ; 1995 ; 50 лет освобождения Будапешта ; Cu-Ni ; Proof ; 47 ; miranda ; 1687 
 1830 ; 5 рублей ; 1987 ; 70 лет Октябрьской революции ; Cu-Ni ; Proof ; 14 ; enkidu888 ; 1926 
 1831 ; 5 рублей. Упаковка ; 1988 ; Памятник в Новгороде "Тысячелетие России" ; Cu-Ni ; Proof ; 24 ; koppolo ; 264 
 1832 ; 5 рублей. Упаковка ; 1988 ; Памятник Петру I в Ленинграде ; Cu-Ni ; Proof ; 15 ; tarasov023 ; 320 
 1833 ; 5 рублей ; 1989 ; Собор Покрова на рву в Москве ; Cu-Ni ; Proof ; 11 ; tarasov023 ; 276 
 1834 ; 5 рублей ; 1990 ; Успенский собор в Москве ; Cu-Ni ; Proof ; 19 ; MishkinVF ; 276 
 1835 ; 5 рублей. Упаковка ; 1989 ; Благовещенский собор в Москве ; Cu-Ni ; Proof ; 15 ; user16537 ; 400 
 1836 ; 5 рублей ; 1990 ; Большой дворец в Петродворце ; Cu-Ni ; Proof ; 30 ; vovan13130629 ; 222 
 1837 ; 5 рублей ; 1990 ; Матенадаран.Ереван ; Cu-Ni ; Proof ; 11 ; boltyshov ; 203 
 1838 ; 5 рублей. Упаковка ; 1991 ; Архангельский собор в Москве ; Cu-Ni ; Proof ; 10 ; Новик ; 203 
 1839 ; 5 рублей ; 1991 ; Здание Госбанка СССР в Москве ; Cu-Ni ; Proof ; 25 ; лаботряс ; 220 
 1840 ; 5 рублей. Упаковка ; 1991 ; Памятник Давиду Сасунскому в Ереване ; Cu-Ni ; Proof ; 16 ; Agava ; 313 
 1841 ; 5 рублей. Упаковка ; 1992 ; Мавзолей-мечеть Ахмеда Ясави ; Cu-Ni ; Proof ; 42 ; Nikolay75 ; 853 
 1742 ; 15 копеек. Упаковка ; 1966 ;  ; Cu-Ni ; XF ; 136 ; ryber ; 2266 
 1743 ; 15 копеек ; 1967 ;  ; Cu-Ni ; XF+ ; 30 ; Антон-15 ; 859 
 1744 ; 10 копеек ; 1944 ;  ; Ni ; AU ; 65 ; Zam ; 11334 
 1745 ; 10 копеек ; 1966 ;  ; Cu-Ni ; VF+ ; 173 ; ryber ; 1587 
 1746 ; 10 копеек ; 1967 ;  ; Cu-Ni ; AU ; 32 ; Антон-15 ; 924 
 1747 ; 10 копеек ; 1991 ; Без букв ; Cu-Ni ; XF+ ; 28 ; kim64 ; 1530 
 1748 ; 5 копеек ; 1945 ;  ; Br ; F-VF ; 27 ; kalash79 ; 999 
 1749 ; 5 копеек ; 1951 ;  ; Br ; XF ; 30 ; valeron ; 3570 
 1750 ; 5 копеек ; 1965 ;  ; Cu-Zn ; XF+ ; 135 ; anton-monet ; 2427 
 1751 ; 5 копеек ; 1966 ;  ; Cu-Zn ; XF+ ; 106 ; anton-monet ; 2550 
 1752 ; 5 копеек ; 1971 ;  ; Cu-Zn ; VF ; 26 ; RusScat ; 1836 
 1753 ; 5 копеек ; 1972 ;  ; Cu-Zn ; F+ ; 50 ; cboker ; 1438 
 1754 ; 3 копейки ; 1927 ;  ; Br ; F ; 45 ; ДИСЫЧ ; 933 
 1755 ; 5 рублей ; 2003СПМД ;  ; Cu-Ni ; VF-XF ; 39 ; maxm812 ; 8262 
 1756 ; 10 рублей ; 1993 ; ММД белый металл (немагнитный) ; Fe in Br ; XF ; 40 ; maxm812 ; 5610 
 1757 ; 5 рублей. Брак монетного двора (двойной удар) ; 2009 ;  ; Ж/м ; AU ; 36 ; пмт79 ; 9248 
 1758 ; 5 копеек. Аверс/Реверс 30 градусов ; 1931 ;  ; Br ; VF-XF ; 49 ; Georgy ; 499 
 1759 ; 5 рублей. Упаковка ; 1989 ; Ансамбль Регистан в Самарканде ; Cu-Ni ; Proof ; 26 ; dim78 ; 373 
 1760 ; 5 рублей. Упаковка ; 1989 ; Собор Покрова на рву в Москве ; Cu-Ni ; Proof ; 30 ; vasilyi66 ; 364 
 1761 ; 5 рублей. Упаковка ; 1990 ; Матенадаран.Ереван ; Cu-Ni ; Proof ; 20 ; boltyshov ; 187 
 1762 ; 5 рублей. Упаковка ; 1988 ; Софийский собор в Киеве ; Cu-Ni ; Proof ; 23 ; Agava ; 322 
 1763 ; 5 рублей. Упаковка ; 1990 ; Успенский собор в Москве ; Cu-Ni ; Proof ; 17 ; AKS1364 ; 327 
 1764 ; 5 рублей. Упаковка ; 1992 ; Мавзолей-мечеть Ахмеда Ясави ; Cu-Ni ; Proof ; 29 ; sibirian ; 510 
 1765 ; 5 рублей. Упаковка ; 1993 ; Древний Мерв ; Cu-Ni ; Proof ; 31 ; JanPol ; 2666 
 1766 ; 3 рубля. Упаковка ; 1989 ; Землятресение в Армении ; Cu-Ni ; Proof ; 26 ; Serg3368 ; 320 
 1767 ; 3 рубля. Упаковка ; 1994 ; 50 лет освобождения Белграда ; Cu-Ni ; Proof ; 17 ; Serg3368 ; 1700 
 1768 ; 3 рубля. Упаковка ; 1992 ; 750 лет победы А.Невского ; Cu-Ni ; Proof ; 27 ; Нум24 ; 328 
 1769 ; 3 рубля. Упаковка ; 1994 ; Партизаны в ВОВ ; Cu-Ni ; Proof ; 42 ; kozerog ; 987 
 1770 ; 3 рубля. Упаковка ; 1991 ; 50 лет победы под Москвой ; Cu-Ni ; Proof ; 22 ; П.А.Н. ; 341 
 1771 ; 3 рубля. Упаковка ; 1993 ; 50 лет победы в Сталинградской битве ; Cu-Ni ; Proof ; 22 ; pichenka ; 357 
 1772 ; 3 рубля. Упаковка ; 1992 ; Международный год космоса ; Cu-Ni ; Proof ; 27 ; John16 ; 316 
 1773 ; 3 рубля. Упаковка ; 1994 ; 50 лет прорыва блокады Ленинграда ; Cu-Ni ; Proof ; 38 ; kozerog ; 633 
 1774 ; 3 рубля. Упаковка ; 1992 ; "Северный конвой" ; Cu-Ni ; Proof ; 22 ; sibirian ; 615 
 1775 ; 1 рубль. Упаковка ; 1990 ; 500 лет со дня рождения Ф.Скорины ; Cu-Ni ; Proof ; 26 ; сортам70 ; 131 
 1776 ; 1 рубль. Упаковка ; 1989 ; 150 лет со дня рождения М.П.Мусоргского ; Cu-Ni ; Proof ; 13 ; AKS1364 ; 306 
 1777 ; 1 рубль. Упаковка ; 1987 ; 130 лет со дня рождения К.Э.Циолковского ; Cu-Ni ; Proof ; 17 ; лесной ; 320 
 1778 ; 1 рубль. Упаковка ; 1987 ; 70 лет Октябрьской революции ; Cu-Ni ; Proof ; 15 ; Agava ; 276 
 1779 ; 1 рубль. Упаковка ; 1987 ; 175 лет Бородино (барельеф) ; Cu-Ni ; Proof ; 15 ; igorpuzir ; 187 
 1780 ; 1 рубль. Упаковка ; 1990 ; 150 лет со дня рождения П.И.Чайковского ; Cu-Ni ; Proof ; 17 ; Agava ; 284 
 1781 ; 1 рубль. Упаковка ; 1990 ; Маршал СССР Г.К.Жуков ; Cu-Ni ; Proof ; 17 ; tarasov023 ; 350 
 1782 ; 1 рубль. Упаковка ; 1990 ; 130 лет со дня рождения А.П.Чехова ; Cu-Ni ; Proof ; 16 ; AKS1364 ; 255 
 1783 ; 1 рубль. Упаковка ; 1989 ; 100 лет со дня смерти Эминеску ; Cu-Ni ; Proof ; 14 ; Agava ; 313 
 1784 ; 1 рубль. Упаковка ; 1987 ; 175 лет Бородино (обелиск) ; Cu-Ni ; Proof ; 13 ; AKS1364 ; 320 
 1785 ; 1 рубль. Упаковка ; 1989 ; 175 лет со дня рождения Т.Г.Шевченко ; Cu-Ni ; Proof ; 13 ; AKS1364 ; 255 
 1786 ; 1 рубль. Упаковка ; 1990 ; 125 лет со дня рождения Я.Райниса ; Cu-Ni ; Unc ; 27 ; Во все тяжкие ; 487 
 1787 ; 1 рубль. Упаковка ; 1990 ; 125 лет со дня рождения Я.Райниса ; Cu-Ni ; Proof ; 19 ; AKS1364 ; 200 
 1788 ; 1 рубль. Упаковка ; 1988 ; 160 лет со дня рождения А.Н.Толстого ; Cu-Ni ; Proof ; 22 ; AKS1364 ; 257 
 1789 ; 1 рубль. Упаковка ; 1988 ; 120 лет со дня рождения А.М.Горького ; Cu-Ni ; Proof ; 15 ; Agava ; 283 
 1790 ; 1 рубль. Упаковка ; 1982 ; 60 лет образования СССР ; Cu-Ni ; Proof ; 35 ; 01020304 ; 663 
 1791 ; 1 рубль. Упаковка ; 1991 ; 125 лет со дня рождения П.Н.Лебедева ; Cu-Ni ; Proof ; 11 ; AKS1364 ; 204 
 1692 ; 10 копеек ; 1927 ;  ; Ag ; XF+ ; 17 ; Trien ; 294 
 1693 ; 10 копеек ; 1927 ;  ; Ag ; XF ; 16 ; ksw ; 104 
 1694 ; 10 копеек ; 1927 ;  ; Ag ; XF- ; 14 ; Horta ; 227 
 1695 ; 10 копеек ; 1928 ;  ; Ag ; XF ; 16 ; Zam ; 85 
 1696 ; 10 копеек ; 1928 ;  ; Ag ; XF ; 14 ; Ferros ; 122 
 1697 ; 10 копеек ; 1928 ;  ; Ag ; XF ; 7 ; jimmysu ; 63 
 1698 ; 10 копеек ; 1928 ;  ; Ag ; XF ; 20 ; jimmysu ; 69 
 1699 ; 10 копеек ; 1928 ;  ; Ag ; XF ; 19 ; мон ; 80 
 1700 ; 10 копеек ; 1928 ;  ; Ag ; VF+ ; 17 ; jimmysu ; 79 
 1701 ; 10 копеек ; 1928 ;  ; Ag ; F ; 17 ; VLCH ; 104 
 1702 ; 10 копеек ; 1929 ;  ; Ag ; XF ; 6 ; ksw ; 83 
 1703 ; 10 копеек ; 1929 ;  ; Ag ; VF-XF ; 5 ; Roman1976 ; 181 
 1704 ; 10 копеек ; 1930 ;  ; Ag ; VF-XF ; 13 ; JanPol ; 317 
 1705 ; 5 копеек ; 1924 ; Гурт гладкий ; Cu ; F-VF ; 9 ; siw03 ; 408 
 1706 ; 5 копеек ; 1924 ; Гурт гладкий ; Cu ; F+ ; 13 ; akula ; 261 
 1707 ; 3 копейки ; 1924 ; Гурт гладкий ; Cu ; F ; 4 ; boltyshov ; 206 
 1708 ; 2 копейки ; 1924 ; Гурт рубчатый ; Cu ; VF- ; 9 ; siw03 ; 174 
 1709 ; 2 копейки ; 1924 ; Гурт рубчатый ; Cu ; F ; 15 ; верталет ; 72 
 1710 ; 1 копейка ; 1924 ; Гурт рубчатый ; Cu ; VF ; 9 ; Лёхыч ; 97 
 1711 ; 1 копейка ; 1924 ; Гурт рубчатый ; Cu ; F+ ; 17 ; верталет ; 72 
 1712 ; 1 копейка ; 1924 ; Гурт рубчатый ; Cu ; F+ ; 6 ; верталет ; 102 
 1713 ; 1 копейка ; 1925 ; Гурт рубчатый ; Cu ; F ; 27 ; никсер ; 2380 
 1714 ; Полкопейки ; 1925 ;  ; Cu ; VF ; 31 ; Georgy ; 1001 
 1715 ; Полкопейки ; 1925 ;  ; Cu ; F+ ; 30 ; Georgy ; 357 
 1716 ; Полкопейки ; 1927 ;  ; Cu ; VF ; 33 ; Georgy ; 857 
 1717 ; 50 копеек ; 1946 ; о.Шпицберген ; б.м. ; XF- ; 48 ; kvm64 ; 4004 
 1718 ; 15 копеек ; 1946 ; о.Шпицберген ; Вr ; XF- ; 47 ; ZOLTAN333 ; 3625 
 1719 ; Жетон Министерство торговли СССР № 12 ;  ;  ; Ж/м ; AU ; 9 ; Ferros ; 83 
 1720 ; Жетон. 3 марки.  Слава Русского оружия. Вертолет К-50 "Черная акула" ; 2003СПМД ;  ; Ag925 ; Proof ; 8 ; Vova1950 ; 1636 
 1721 ; Жетон. 3 марки.  Слава Русского оружия. Гв миномет "Катюша" ; 2003СПМД ;  ; Ag925 ; Proof ; 11 ; Молот ; 1665 
 1722 ; Жетон. 3 марки.  Слава Русского оружия. Истребитель "МИГ-29" ; 2003СПМД ;  ; Ag925 ; Proof ; 12 ; Молот ; 1487 
 1723 ; Жетон. 3 марки.  Слава Русского оружия. Танк "Т-34" ; 2003СПМД ;  ; Ag925 ; Proof ; 7 ; Молот ; 1603 
 1724 ; Жетон. 1 марка. Слава Русского оружия. Автомат Калашникова ; 2002СПМД ;  ; Ж/м ; Proof ; 18 ; Молот ; 735 
 1725 ; Жетон. 1 марка. Слава Русского оружия. Истребитель "МИГ-29" ; 2003СПМД ;  ; Ж/м ; Proof ; 31 ; talamus ; 769 
 1726 ; Жетон. 1 марка. Слава Русского оружия. Танк "Т-34" ; 2003СПМД ;  ; Ж/м ; Proof ; 23 ; Молот ; 735 
 1727 ; Жетон. 1 марка. Слава Русского оружия.  Вертолет К-50 "Черная акула" ; 2003СПМД ;  ; Ж/м ; Proof ; 19 ; Молот ; 735 
 1728 ; Жетон. 1 марка. Слава Русского оружия. 45-мм противотанковая пушка ; 2004СПМД ;  ; Ж/м ; Proof ; 18 ; talamus ; 765 
 1729 ; Жетон. 1 марка. Слава Русского оружия. Гв миномет "Катюша" ; 2003СПМД ;  ; Ж/м ; Proof ; 15 ; Молот ; 735 
 1730 ; Разменный знак 10. Шпицберген. Цунами-Юго-Восточная Азия ; 2005СПМД ;  ; Cu/Ni ; Proof ; 45 ; kop ; 859 
 1731 ; Разменный знак 10. Шпицберген. Цунами-Юго-Восточная Азия ; 2005СПМД ;  ; Cu/Ni ; Proof ; 31 ; kop ; 825 
 1732 ; Жетон. 5 червонцев. Европейский хариус ; 2013ММД ;  ; Би/м ; Proof ; 15 ; etalon ; 1082 
 1733 ; Бензиновый жетон. Татарстан ;  ;  ; Б/м ; VF+ ; 8 ; Harlock ; 153 
 1734 ; Бензиновый жетон. Татарстан ;  ;  ; Ж/м ; VF+ ; 8 ; Harlock ; 153 
 1735 ; Хлебный жетон. Татарстан ;  ;  ; Ж/м ; XF ; 8 ; Harlock ; 153 
 1736 ; Транспортный жетон г. Ташкент ;  ;  ; Al ; VF+ ; 13 ; Harlock ; 153 
 1737 ; 1 рубль - 1 доллар Разоружения. Сертификат ; 1988 ;  ; Al ; AU ; 29 ; user16537 ; 900 
 1738 ; 1 рубль ; 1986 ; Международный год мира.В рубле Л в виде шалаша. ; Cu-Ni ; AU ; 35 ; JanPol ; 3570 
 1739 ; 1 рубль ; 1991 ; 550 лет со дня рождения А.Навои.Дата 1990 вместо 1991 ; Cu-Ni ; XF- ; 19 ; ser-slava ; 3570 
 1740 ; 50 копеек ; 1976 ;  ; Cu-Ni ; AU ; 30 ; RUS 78 ; 714 
 1741 ; 20 копеек ; 1965 ;  ; Cu-Ni ; AU ; 61 ; Mahfey ; 2107 
 1642 ; 20 копеек ; 1930 ;  ; Ag ; XF ; 32 ; Trien ; 367 
 1643 ; 20 копеек ; 1930 ;  ; Ag ; XF- ; 12 ; март16 ; 131 
 1644 ; 20 копеек ; 1930 ;  ; Ag ; VF ; 16 ; март16 ; 123 
 1645 ; 15 копеек ; 1921 ;  ; Ag ; VF+ ; 38 ; fouli ; 1432 
 1646 ; 15 копеек ; 1921 ;  ; Ag ; VF- ; 38 ; kent01 ; 1416 
 1647 ; 15 копеек ; 1922 ;  ; Ag ; XF- ; 20 ; fisher_amur ; 357 
 1648 ; 15 копеек ; 1923 ;  ; Ag ; XF+ ; 26 ; vvt ; 306 
 1649 ; 15 копеек ; 1923 ;  ; Ag ; XF ; 11 ; hugo ; 104 
 1650 ; 15 копеек ; 1923 ;  ; Ag ; XF ; 11 ; Roman1976 ; 102 
 1651 ; 15 копеек ; 1923 ;  ; Ag ; VF+ ; 13 ; апосум ; 69 
 1652 ; 15 копеек ; 1923 ;  ; Ag ; VF+ ; 11 ; jimmysu ; 72 
 1653 ; 15 копеек ; 1923 ;  ; Ag ; VF+ ; 23 ; Kazan16rus ; 94 
 1654 ; 15 копеек ; 1923 ;  ; Ag ; VF- ; 21 ; Ганс ; 79 
 1655 ; 15 копеек ; 1924 ;  ; Ag ; XF ; 26 ; Zam ; 419 
 1656 ; 15 копеек ; 1924 ;  ; Ag ; XF ; 10 ; Запруда ; 363 
 1657 ; 15 копеек ; 1925 ;  ; Ag ; XF ; 5 ; Roman1976 ; 153 
 1658 ; 15 копеек ; 1925 ;  ; Ag ; XF ; 17 ; сортам70 ; 58 
 1659 ; 15 копеек ; 1925 ;  ; Ag ; XF ; 11 ; RemTro ; 64 
 1660 ; 15 копеек ; 1925 ;  ; Ag ; XF ; 14 ; jimmysu ; 73 
 1661 ; 15 копеек ; 1925 ;  ; Ag ; XF ; 9 ; сортам70 ; 54 
 1662 ; 15 копеек ; 1927 ;  ; Ag ; XF+ ; 11 ; hugo ; 123 
 1663 ; 15 копеек ; 1927 ;  ; Ag ; XF+ ; 6 ; Karhu ; 174 
 1664 ; 15 копеек ; 1927 ;  ; Ag ; XF- ; 5 ; zarnord ; 93 
 1665 ; 15 копеек ; 1927 ;  ; Ag ; F ; 11 ; onedima ; 58 
 1666 ; 15 копеек ; 1928 ;  ; Ag ; XF+ ; 13 ; Trien ; 206 
 1667 ; 15 копеек ; 1928 ;  ; Ag ; XF ; 15 ; Roman1976 ; 102 
 1668 ; 15 копеек ; 1928 ;  ; Ag ; XF+ ; 9 ; spasatel2012 ; 133 
 1669 ; 15 копеек ; 1928 ;  ; Ag ; XF ; 14 ; jimmysu ; 81 
 1670 ; 15 копеек ; 1928 ;  ; Ag ; XF ; 15 ; spasatel2012 ; 108 
 1671 ; 15 копеек ; 1928 ;  ; Ag ; XF ; 11 ; spasatel2012 ; 102 
 1672 ; 15 копеек ; 1928 ;  ; Ag ; XF- ; 11 ; zarnord ; 122 
 1673 ; 15 копеек ; 1929 ;  ; Ag ; XF+ ; 16 ; fisher_amur ; 357 
 1674 ; 15 копеек ; 1930 ;  ; Ag ; XF+ ; 18 ; ввп ; 306 
 1675 ; 15 копеек ; 1930 ;  ; Ag ; XF ; 15 ; Taras58 ; 255 
 1676 ; 15 копеек ; 1930 ;  ; Ag ; XF- ; 16 ; Ferros ; 193 
