 5979 ; 1000000 злотых Польша ; 1991 ;  ; AU ;  ; 45 ; Бармалей ; 1707 
 2329 ; Лот монет СССР: 20,15,10 копеек (10шт) ; 1932-1962 ;  ; Cu-Ni,Ni ; VF-AU ; 31 ; umbum ; 184 
 2330 ; Лот монет Банка России: 5,2,1 руб, 50,10 коп (5шт) ; 2013 ;  ; Ni/St,Cu/St ; AU ; 21 ; judge ; 131 
 2331 ; Лот монет Банка России (юбилейные): 10 руб (4шт) ; 2014 ;  ; Би/м ; AU ; 21 ; Ратамахатта ; 102 
 2332 ; Лот монет Банка России: 10,2 руб (4шт) ; 1999-2005 ;  ; Cu-Ni,Би/м ; VF+ ; 49 ; vasilyi66 ; 250 
 2333 ; Лот монет СССР: 5 коп (8шт) ; 1929-1956 ;  ; Br ; F/F+ ; 24 ; G7 ; 171 
 2334 ; Лот монет СССР: 5 коп (11шт) ; 1930-1957 ;  ; Br ; F/F+ ; 37 ; kostyuksa ; 561 
 2335 ; Лот монет СССР: 5 копеек (16шт) ; 1977-1991 ;  ; Cu-Zn ; VF-AU ; 29 ; лили ; 84 
 2336 ; Лот монет СССР: 5 копеек (6шт) ; 1931-1957 ;  ; Br ; F-XF ; 33 ; kostyuksa ; 178 
 2337 ; Лот монет СССР: 5 коп (9шт) ; 1982-1990 ;  ; Cu-Zn ; XF-/XF+ ; 13 ; nemeshika ; 24 
 2338 ; Лот монет СССР: 20 коп (6шт) ; 1951-1957 ;  ; Ni ; VF/XF- ; 26 ; XF ; 102 
 2339 ; Лот монет СССР (3шт+жетон): 3копейки +жетон шведского казино Кнуттсон ; 1932-1940 ;  ; Br ; F-VF ; 11 ; Gera_K ; 36 
 2240 ; 1 рубль. Графическое изображение рубля. Альбом ; 2014 ;  ; Ni/St ; AU ; 7 ; Gera_K ; 54 
 2241 ; Альбом монет Банка России (Крым, Севастополь): 10 руб (2шт) ; 2014 ;  ; Лат/St ; AU ; 13 ; Claster ; 100 
 2242 ; Альбом монет Банка России (Севастополь и Крым): 10 руб, 5,1 коп (4шт) ; 2014 ;  ; Лат/St,Ni/St ; AU ; 39 ; vborisevich1 ; 120 
 2243 ; Альбом монет Банка России (70 лет победы): 10 руб (3шт) ; 2015 ;  ; Би/м ; AU ; 21 ; dessert46 ; 155 
 2244 ; Лот монет Банка России: 10 рублей (Республика Крым, Севастополь) 2 шт. Буклет ; 2014 ;  ; St/Лат ; AU ; 24 ; THE_MAN ; 100 
 2245 ; Лот монет Банка России: 10 рублей (3шт) 70-летие победы в Великой Отечественной войне. Освобождения мира от фашизма, окончание Второй мировой войны, эмблема празднования. Буклет ; 2015 ;  ; Би/м ; AU ; 43 ; v_bond ; 145 
 2246 ; Лот монет Банка России: 10 рублей (3шт) 70-летие победы в Великой Отечественной войне. Освобождения мира от фашизма, окончание Второй мировой войны, эмблема празднования. Буклет ; 2015 ;  ; Би/м ; AU ; 41 ; THE_MAN ; 144 
 2247 ; 1 рубль. Графическое изображение рубля. Альбом ; 2014 ;  ; Ni/St ; AU ; 5 ; Ксюша ; 32 
 2248 ; Альбом монет Банка России (Сочи-2014): 25 руб (4шт) ; 2011-2014 ;  ; Cu-Ni ; AU ; 18 ; Звездолёты ; 227 
 2249 ; Альбом монет Банка России: 5,1 коп (52шт) ; 1997-2014 ;  ; Cu-Ni ; VF/XF ; 25 ; chapay1959 ; 628 
 2250 ; Альбом монет Банка России (Сочи-2014): 25 руб (4шт) + банкнота ;  ;  ; Cu-Ni ; AU ; 19 ; ЦИ ; 304 
 2251 ; Альбом монет Банка России (Сочи-2014): 25 руб (4шт) + банкнота ;  ;  ; Cu-Ni ; AU ; 26 ; Ксюша ; 300 
 2252 ; Альбом монет Банка России (200 лет Отечественной войне): 2,5,10 руб (28шт) ; 2012 ;  ; Ni/St ; AU ; 37 ; TiBuL ; 419 
 2253 ; Альбом монет Банка России (ГВС):10 руб (40шт) ; 2010-2014 ;  ; Лат/St ; AU/VF-XF ; 28 ; Claster ; 818 
 2254 ; Альбом монет Банка России 70 лет победы):10,5 руб (21шт) ; 2014,2015 ;  ; Ni/St,Лат/St ; Лат/St ; 30 ; dessert46 ; 910 
 2255 ; Набор монет Банка России. 300 лет Россиийского Флота: (6шт+жетон): 100руб, 50руб, 20руб, 10руб, 5руб, 1руб +жетон ; 1996СПМД ;  ;  ; AU ; 43 ; Skilfulsun ; 20504 
 2256 ; Набор памятных монет  Банка России. 200-летие образования в России министерств (7шт+жетон): 10 рублей +жетон ; 2002СПМД ;  ;  ; AU ; 91 ; sotnik ; 7656 
 2257 ; Набор Памятных монет Банка России (6шт+жетон): 100руб, 50руб, 20руб, 10руб, 5руб, 1руб +жетон ; 1995СПМД ;  ;  ; AU ; 45 ; Alex77 ; 12767 
 2258 ; Лот монет Банка России: 10 рублей Севастополь+ жетон. Буклет ; 2014 ;  ; Лат/St ; AU ; 26 ; sbsb777 ; 403 
 2259 ; Лот монет Банка России: 10 рублей Республика Крым+ жетон. Буклет ; 2014 ;  ; Лат/St ; AU ; 23 ; sbsb777 ; 410 
 2260 ; Набор монет Банка России: 10,50,1,2,5,10 рублей (7шт)+жетон. 50 лет первого полета человека в космос. В буклете ; 2011 ;  ; Ni/St,St/Лат,ж/ ; AU ; 37 ; dimass70 ; 1838 
 2261 ; Лот монет Банка России "Города-герои" 10, 2 рубля (8шт). В пластиковой упаковке ; 2000 ;  ; Cu-Ni,Би/м ; AU ; 30 ; blacksea ; 2393 
 2262 ; Набор монет Шпицбергена: 100,50,25,10 рублей (4шт) ; 1993 ;  ;  ; XF ; 36 ; Alef1 ; 2046 
 2263 ; Набор монет Банка России (Сочи-2014): 25 руб (4шт) + банкнота ; 2014 ;  ; Cu-Ni ; Unc ; 15 ; ГАСС ; 325 
 2264 ; Альбом монет Банка России (Сочи-2014): 25 руб (7шт) ; 2011-2014 ;  ; Cu-Ni ; AU ; 15 ; страус ; 423 
 2265 ; Альбом монет Банка России (Сочи-2014): 25 руб (4шт) + банкнота ; 2014 ;  ; Cu-Ni ; AU ; 17 ; vborisevich1 ; 339 
 2266 ; Набор монет Банка России: 100,50,20,10,5,1 руб (6шт) + жетон. Буклет ; 1995 ;  ; Cu-Ni,Лат ; AU ; 17 ; TaraskaPeter ; 12240 
 2267 ; Набор монет СССР: 1 рубль (6шт). Олимпиада в Москве. В коробке ; 1977-1980 ;  ; Cu-Ni ; AU ; 45 ; Rober ; 866 
 2268 ; Набор монет СССР (6шт): 1 рубль. С сертификатом. В оригинальной красной коробке ; 1977-1980 ;  ; Cu-Ni ; AU ; 42 ; Drusa80 ; 1634 
 2269 ; Альбом монет Банка России (Сочи-2014): 25 руб (7шт) + банкнота ;  ;  ; Cu-Ni ; AU ; 9 ; cr2952 ; 453 
 2270 ; Альбом монет Банка России: 5,1 коп (52шт) ; 1997-2014 ;  ; Ni/St ; VF/XF ; 38 ; Ctap4e ; 507 
 2271 ; Альбом монет Банка России (70 лет победы в ВОВ): 5 руб (18шт) ; 2014 ;  ; Cu-Ni ; AU ; 46 ; mefody73 ; 801 
 2272 ; Набор монет СССР. 50 лет Великой Октябрьской революции (5шт+жетон): 1руб, 50коп, 20коп, 15коп, 10коп. Упаковка нарушена ; 1967ЛМД ;  ; Cu-Ni ; AU ; 16 ; Mikl2015 ; 1136 
 2273 ; Набор монет СССР (50 лет Советской власти 1967г): 1 руб, 50,20,15,10 коп (5шт) + жетон. Упаковка ; 1967 ;  ; Cu-Zn,Сu-Ni ; AU ; 18 ; TzarJohn ; 2040 
 2274 ; Годовой набор монет СССР: 1 руб, 50,20,15,10,5,3,2,1 коп (9шт) + 2 жетона ; 1974ЛМД ;  ; Cu-Ni,Cu-Zn ; XF/AU ; 31 ; sibons ; 4650 
 2275 ; Годовой набор монет СССР: 1 руб, 50,20,15,10,5,3,2,1 коп (9шт) + жетон.Упаковка ; 1988ЛМД ;  ; Cu-Zn,Cu-Ni ; AU ; 16 ; master_kka ; 818 
 2276 ; Набор монет СССР: 1 руб, 50,20,15,10,5,3,2,1 коп (9шт) + жетон. Упаковка ; 1989ММД ;  ; Cu-Zn,Сu-Ni ; Unc/AU ; 20 ; master_kka ; 819 
 2277 ; Набор монет СССР: 1 руб, 50,20,15,10,5,3,2,1 коп (9шт) + жетон. Упаковка ; 1989 ;  ; Cu-Ni,Cu-Zn ; AU ; 16 ; master_kka ; 567 
 2278 ; Годовой набор монет Банка России: 100, 50,20,10,5,1 рубль (6шт)+ жетон. Упаковка ; 1992 ;  ; Cu-Ni,Би/м,Ж/м ; AU ; 12 ; master_kka ; 1372 
 2279 ; Набор монет Банка России (7шт): 5 руб, 2руб, 1руб, 50коп, 10коп, 5коп, 1коп ; 2002ММД ;  ;  ; AU ; 60 ; blacksea ; 25000 
 2280 ; Набор монет Банка России (7шт+жетон): 5 руб, 2руб, 1руб, 50коп, 10коп, 5коп, 1коп +жетон ; 2002СПМД ;  ;  ; AU ; 46 ; TaraskaPeter ; 23460 
 2281 ; Набор монет Банка России: 2,1 руб,50,10,5,1 коп (6шт) + жетон. Буклет ; 2007СПМД ;  ; Cu-Ni,Cu-Zn ; AU ; 18 ; blacksea ; 918 
 2282 ; Набор монет Банка России: 5,2,1 руб,50,10,5,1 коп (7шт) + жетон. Буклет ; 2008СПМД ;  ; Cu-Ni,Cu-Zn ; AU ; 79 ; sotnik ; 1224 
 2283 ; Набор монет Банка России: 5,2,1 руб,50,10,5,1 коп (7шт) + жетон. Буклет ; 2008СПМД ;  ; Cu-Ni,Cu-Zn ; AU ; 50 ; dimass70 ; 1227 
 2284 ; Набор монет Банка России: 5,2,1 руб, 50,10,5,1 коп (7шт) + жетон. Буклет ; 2009СПМД ;  ; Cu-Ni,Cu-Zn ; AU ; 32 ; arkadii ; 2267 
 2285 ; Набор разменнывх монет (6шт+жетон): 10руб, 5руб, 2руб, 1руб, 50коп, 10коп +жетон ; 2012ММД ;  ;  ; AU ; 39 ; blacksea ; 918 
 2286 ; р монет Банка России: 5,2,1 руб, 50,10 коп(5шт) + жетон. Буклет ; 2013СПМД ;  ; Ni/St,Cu-Zn/St ; AU ; 40 ; sotnik ; 1111 
 2287 ; Набор монет Банка России: 10,5,2,1 руб, 50,10,5,1 коп (8шт) ; 2014 ;  ; Ni/St,Лат/St ; AU ; 13 ; Skilfulsun ; 459 
 2288 ; Лот монет СССР: 20,15,10,5,3,2,1 коп (27шт) ; 1931-1979 ;  ; Cu-Ni,BrCu-ZnNi ; VF/XF+ ; 70 ; Repz ; 1111 
 2289 ; Лот монет СССР: 2 коп (21шт) ; 1926-1957 ;  ; Br ; F/F-VF ; 44 ; kostyuksa ; 746 
 2190 ; 10 копеек ; 1988 ;  ; Cu-Ni ; AU ; 12 ; John16 ; 93 
 2191 ; 1 копейка ; 1935 ;  ; Br ; F-VF ; 41 ; диман ; 533 
 2192 ; 1 копейка ; 1929 ;  ; Br ; F-VF ; 9 ; Ser_doh ; 48 
 2193 ; 1 копейка ; 1941 ;  ; Br ; VF ; 66 ; AnvlaSar6216 ; 820 
 2194 ; 1 копейка ; 1935 ;  ; Br ; F ; 27 ; t_v_v ; 187 
 2195 ; 1 копейка ; 1933 ;  ; Br ; F-VF ; 7 ; Ser_doh ; 39 
 2196 ; 1 копейка ; 1930 ;  ; Br ; F-VF ; 7 ; Alex1012 ; 102 
 2197 ; 1 копейка ; 1936 ;  ; Br ; VF ; 9 ; RusScat ; 81 
 2198 ; 1 копейка ; 1937 ;  ; Br ; F-VF ; 9 ; IO ; 100 
 2199 ; 1 копейка ; 1945 ;  ; Br ; F-VF ; 19 ; Ser_doh ; 143 
 2200 ; 1 копейка ; 1932 ;  ; Br ; F-VF ; 7 ; Ser_doh ; 60 
 2201 ; 1 копейка ; 1927 ;  ; Br ; F-VF ; 16 ; MAMON ; 46 
 2202 ; 1 копейка ; 1926 ;  ; Br ; F-VF ; 7 ; Ser_doh ; 80 
 2203 ; 1 копейка ; 1931 ;  ; Br ; F-VF ; 5 ; Gera_K ; 21 
 2204 ; 1 копейка ; 1934 ;  ; Br ; F-VF ; 19 ; Jiamer57rus ; 126 
 2205 ; 5 копеек ; 1941 ;  ; Br ; VF+ ; 38 ; ooooo1961 ; 405 
 2206 ; 5 копеек ; 1949 ;  ; Br ; XF ; 29 ; ZET ; 555 
 2207 ; 5 копеек ; 1952 ;  ; Br ; XF ; 13 ; ZET ; 171 
 2208 ; 5 копеек ; 1954 ;  ; Br ; XF ; 15 ; dim66 ; 153 
 2209 ; 5 копеек ; 1962 ;  ; Cu-Zn ; XF ; 25 ; AnvlaSar6216 ; 175 
 2210 ; 5 копеек ; 1985 ;  ; Cu-Zn ; AU ; 25 ; диман ; 805 
 2211 ; 1 копейка ; 1941 ;  ; Br ; VF+ ; 27 ; ZOLTAN333 ; 306 
 2212 ; 20 копеек. Аверс/Реверс 40 градусов ; 1939 ;  ; Ni ; VF+ ; 24 ; Drusa80 ; 228 
 2213 ; 20 копеек ; 1937 ; Л/с звезда плоская, шт. 20 коп. ; Ni ; VF ; 9 ; Hleborezka ; 65 
 2214 ; 20 копеек ; 1943 ; Л/с звезда плоская, шт. 20 коп. ; Ni ; VF+ ; 17 ; heavy_fly ; 125 
 2215 ; 20 копеек ; 1940 ; Л/с звезда плоская, шт. 20 коп. ; Ni ; VF- ; 16 ; Hleborezka ; 153 
 2216 ; 20 копеек ; 1935 ; Л/с звезда плоская ; Ni ; F-VF ; 6 ; kostyuksa ; 39 
 2217 ; 15 копеек ; 1940 ;  ; Ni ; VF+ ; 8 ; Hleborezka ; 123 
 2218 ; 15 копеек ; 1939 ;  ; Ni ; VF- ; 10 ; chapay1959 ; 114 
 2219 ; 15 копеек ; 1941 ;  ; Ni ; VF- ; 26 ; dim66 ; 204 
 2220 ; 10 копеек ; 1938 ;  ; Ni ; VF ; 29 ; heavy_fly ; 408 
 2221 ; 10 копеек ; 1937 ;  ; Ni ; VF- ; 43 ; Ustin ; 788 
 2222 ; 10 копеек ; 1940 ;  ; Ni ; VF ; 15 ; rendom9 ; 176 
 2223 ; 10 копеек ; 1939 ;  ; Ni ; VF ; 21 ; heavy_fly ; 278 
 2224 ; 25 рублей. Олимпиада в Сочи. Лучик и снежинка. Упаковка ; 2013 ;  ; Cu-Ni ; Unc ; 9 ; bcs ; 43 
 2225 ; 25 рублей. Олимпиада в Сочи. Талисманы. Упаковка ; 2012 ;  ; Cu-Ni ; Unc ; 8 ; CASH ; 41 
 2226 ; 25 рублей ; 2014 ; СПМД Сочи 2014. Три талисмана ; Cu-Ni ; Unc ; 11 ; judge ; 41 
 2227 ; 25 рублей ; 2011 ; СПМД Сочи 2014. Эмблема игр ; Cu-Ni ; Unc ; 11 ; mask ; 45 
 2228 ; 25 рублей ; 2012 ; СПМД Сочи 2014. Эмблемы и талисманы ; Cu-Ni ; Unc ; 9 ; святослав35 ; 42 
 2229 ; 25 рублей ; 2014 ; СПМД Сочи 2014. Эстафета Олимп. огня ; Cu-Ni ; Unc ; 14 ; mask ; 53 
 2230 ; 25 рублей. Сочи-2014. Упаковка ; 2014 ;  ; Cu-Ni ; Unc ; 12 ; kostyuksa ; 51 
 2231 ; 25 рублей. Сочи-2014. Буклет. Лучик и Снежинка ; 2013 ;  ; Cu-Ni ; Unc ; 43 ; judge ; 361 
 2232 ; 25 рублей. Сочи-2014. Буклет ; 2013 ;  ; Cu-Ni ; Unc ; 16 ; TiBuL ; 350 
 2233 ; 25 рублей. Сочи-2014. Буклет ; 2013 ;  ; Cu-Ni ; Unc ; 48 ; TiBuL ; 350 
 2234 ; 25 рублей. Сочи-2014. Буклет ; 2013 ;  ; Cu-Ni ; Unc ; 9 ; макдак ; 334 
 2235 ; Лот монет Банка России: 10 рублей (Республика Крым, Севастополь) 2 шт. Буклет ; 2014 ;  ; St/Лат ; AU ; 23 ; жулик ; 182 
 2236 ; Альбом монет Банка России (70 лет победы): 10 руб (3шт) ; 2015 ;  ; Би/м ; AU ; 31 ; Mukoved ; 153 
 2237 ; Альбом монет Банка России (70 лет победы): 10 руб (3шт) ; 2015 ;  ; Би/м ; AU ; 13 ; maymuse ; 137 
 2238 ; Альбом монет Банка России (70 лет победы): 10 руб (3шт) ; 2015 ;  ; Би/м ; AU ; 13 ; nivva ; 137 
 2239 ; Альбом монет Банка России (Крым, Севастополь): 10 руб (2шт) ; 2014 ;  ; Лат/St ; AU ; 13 ; THE_MAN ; 92 
 2140 ; 1 копейка ; 1938 ;  ; Br ; XF- ; 9 ; Lizig1 ; 38 
 2141 ; 15 копеек ; 1950 ;  ; Ni ; VF ; 23 ; G7 ; 35 
 2142 ; 15 копеек ; 1953 ;  ; Ni ; VF-XF ; 27 ; 565 ; 45 
 2143 ; 15 копеек ; 1955 ;  ; Ni ; XF- ; 14 ; R-Evolve ; 32 
 2144 ; 15 копеек ; 1952 ;  ; Ni ; VF ; 12 ; G7 ; 28 
 2145 ; 15 копеек ; 1956 ;  ; Ni ; XF ; 28 ; werespider ; 62 
 2146 ; 15 копеек ; 1957 ; В венке герба 15 лент ; Ni ; XF+ ; 24 ; kai77 ; 227 
 2147 ; 3 копейки ; 1928 ;  ; Br ; VF ; 11 ; moneta34 ; 39 
 2148 ; 3 копейки ; 1930 ;  ; Br ; VF+ ; 14 ; Beliy86 ; 38 
 2149 ; 3 копейки ; 1930 ;  ; Br ; F ; 3 ; G7 ; 4 
 2150 ; 3 копейки ; 1945 ;  ; Br ; F+ ; 18 ; ziko ; 306 
 2151 ; 3 копейки. Аверс/Реверс 90 градусов ; 1946 ;  ; Br ; VF-XF ; 29 ; Drusa80 ; 444 
 2152 ; 3 копейки ; 1949 ;  ; Br ; VF+ ; 8 ; Beliy86 ; 37 
 2153 ; 2 копейки ; 1926 ;  ; Br ; VF- ; 21 ; murman ; 55 
 2154 ; 2 копейки ; 1931 ;  ; Br ; F-VF ; 12 ; 565 ; 48 
 2155 ; 2 копейки ; 1936 ;  ; Br ; F-VF ; 4 ; YG2013 ; 5 
 2156 ; 10 копеек ; 1957 ; В венке герба 15 лент ; Ni ; XF ; 10 ; G7 ; 14 
 2157 ; 10 рублей ; 1991 ; ЛМД Биметалл ; Cu-Zn/Cu-Ni ; AU ; 14 ; G7 ; 32 
 2158 ; 1 рубль ; 1988 ;  ; Cu-Ni ; XF+ ; 57 ; Rober ; 189 
 2159 ; 1 рубль ; 1991 ; ЛМД ; Cu-Ni ; XF ; 45 ; елец ; 320 
 2160 ; 1 рубль ; 1991 ; ЛМД ; Cu-Ni ; XF ; 20 ; елец ; 357 
 2161 ; 2 копейки ; 1926 ;  ; Br ; F+ ; 4 ; YG2013 ; 5 
 2162 ; 2 копейки ; 1930 ;  ; Br ; F-VF ; 6 ; Ser_doh ; 16 
 2163 ; 50 копеек ; 1976 ;  ; Cu-Ni ; VF+ ; 34 ; бонифаций ; 850 
 2164 ; 5 копеек ; 1948 ;  ; Br ; F+ ; 9 ; iizikul ; 105 
 2165 ; 5 копеек ; 1926 ;  ; Br ; F ; 19 ; Ser_doh ; 140 
 2166 ; 5 копеек ; 1943 ;  ; Br ; VF- ; 14 ; zemlyk2014 ; 105 
 2167 ; 5 копеек ; 1939 ;  ; Br ; VF- ; 21 ; Мурзик ; 273 
 2168 ; 5 копеек ; 1932 ;  ; Br ; F ; 9 ; Ser_doh ; 105 
 2169 ; 3 копейки ; 1935 ;  ; Br ; F- ; 5 ; wwtar ; 23 
 2170 ; 2 копейки ; 1936 ;  ; Br ; F ; 7 ; святослав35 ; 11 
 2171 ; 2 копейки ; 1932 ;  ; Br ; F- ; 20 ; MAMON ; 58 
 2172 ; 1 копейка ; 1939 ;  ; Br ; VF+ ; 12 ; Hleborezka ; 68 
 2173 ; 1 копейка ; 1940 ;  ; Br ; VF-XF ; 30 ; miranda ; 97 
 2174 ; 20 копеек ; 1980 ;  ; Cu-Ni ; AU ; 7 ; Hleborezka ; 41 
 2175 ; 20 копеек ; 1982 ;  ; Cu-Ni ; AU ; 7 ; Алекс61 ; 57 
 2176 ; 20 копеек ; 1986 ;  ; Cu-Ni ; AU ; 11 ; Masik ; 100 
 2177 ; 20 копеек ; 1988 ;  ; Cu-Ni ; AU ; 15 ; John16 ; 155 
 2178 ; 15 копеек ; 1980 ;  ; Cu-Ni ; AU ; 13 ; Hleborezka ; 41 
 2179 ; 15 копеек ; 1982 ;  ; Cu-Ni ; AU ; 21 ; ZET ; 222 
 2180 ; 10 копеек ; 1956 ; В венке герба 16 лент ; Ni ; AU ; 25 ; шмель23 ; 340 
 2181 ; 10 копеек ; 1957 ; В венке герба 15 лент ; Ni ; AU ; 13 ; valery ; 255 
 2182 ; 10 копеек ; 1976 ;  ; Cu-Ni ; AU ; 21 ; John16 ; 93 
 2183 ; 10 копеек ; 1977 ;  ; Cu-Ni ; AU ; 13 ; dim66 ; 45 
 2184 ; 10 копеек ; 1978 ;  ; Cu-Ni ; AU ; 9 ; dim66 ; 45 
 2185 ; 10 копеек ; 1979 ;  ; Cu-Ni ; AU ; 9 ; диман ; 51 
 2186 ; 10 копеек ; 1980 ;  ; Cu-Ni ; AU ; 7 ; Hleborezka ; 41 
 2187 ; 10 копеек ; 1981 ;  ; Cu-Ni ; AU ; 15 ; heavy_fly ; 93 
 2188 ; 10 копеек ; 1982 ;  ; Cu-Ni ; AU ; 7 ; Hleborezka ; 41 
 2189 ; 10 копеек ; 1983 ;  ; Cu-Ni ; AU ; 15 ; John16 ; 171 
 2090 ; 1 копейка ; 1939 ;  ; Br ; AU ; 34 ; Sporti84 ; 288 
 2091 ; 1 копейка ; 1936 ;  ; Br ; XF+ ; 60 ; Masik ; 344 
 2092 ; 1 рубль ; 1961 ;  ; Cu-Ni ; VF ; 15 ; Jek327 ; 152 
 2093 ; 1 рубль ; 1989 ;  ; Cu-Ni ; XF ; 17 ; cr2952 ; 175 
 2094 ; 20 рублей. Аверс/реверс 110 градусов ; 1992 ; ЛМД ; Cu-Ni ; VF ; 27 ; cr2952 ; 255 
 2095 ; 15 копеек ; 1931 ;  ; Ni ; F+ ; 11 ; murman ; 28 
 2096 ; 10 копеек ; 1932 ;  ; Ni ; VF ; 39 ; serow1975 ; 144 
 2097 ; 20 копеек ; 1931 ;  ; Ni ; VF ; 17 ; brigadir ; 153 
 2098 ; 20 копеек ; 1932 ;  ; Ni ; VF- ; 14 ; murman ; 37 
 2099 ; 10 копеек. Упаковка ; 1988 ;  ; Cu-Ni ; Unc ; 52 ; Masik ; 255 
 2100 ; 10 рублей. Аверс/реверс 90 градусов ; 2012 ;  ; Лат/St ; XF ; 64 ; CASH ; 328 
 2101 ; 1 рубль ; 1978 ;  ; Cu-Ni ; VF+ ; 21 ; Мурзик ; 1043 
 2102 ; 1 рубль ; 1984 ;  ; Cu-Ni ; VF-XF ; 19 ; Prus. ; 288 
 2103 ; 1 рубль ; 1986 ;  ; Cu-Ni ; XF ; 35 ; акто_то ; 285 
 2104 ; 1 рубль ; 1987 ;  ; Cu-Ni ; XF- ; 52 ; RAMA ; 512 
 2105 ; 50 копеек ; 1965 ;  ; Cu-Ni ; VF+ ; 11 ; акто_то ; 159 
 2106 ; 50 копеек ; 1969 ;  ; Cu-Ni ; VF-XF ; 17 ; 13 ; 79 
 2107 ; 50 копеек ; 1973 ;  ; Cu-Ni ; XF- ; 17 ; iizikul ; 197 
 2108 ; 50 копеек ; 1974 ;  ; Cu-Ni ; VF+ ; 19 ; vlk_ ; 23 
 2109 ; 50 копеек ; 1977 ;  ; Cu-Ni ; VF-XF ; 7 ; Новик ; 26 
 2110 ; 20 копеек ; 1935 ; Л/с звезда плоская ; Ni ; F ; 5 ; Ser_doh ; 12 
 2111 ; 3 копейки ; 1935 ;  ; Br ; F+ ; 9 ; vitalik2020 ; 14 
 2112 ; 1 рубль ; 1984 ;  ; Cu-Ni ; XF ; 24 ; макдак ; 278 
 2113 ; 1 копейка ; 1939 ;  ; Br ; XF+ ; 18 ; IO ; 181 
 2114 ; 1 копейка ; 1937 ;  ; Br ; AU ; 46 ; IO ; 435 
 2115 ; 1 копейка ; 1934 ;  ; Br ; XF- ; 17 ; heavy_fly ; 250 
 2116 ; 1 копейка ; 1936 ;  ; Br ; XF+ ; 81 ; Sporti84 ; 575 
 2117 ; 1 копейка ; 1935 ;  ; Br ; XF+ ; 45 ; AnvlaSar6216 ; 1416 
 2118 ; 1 копейка ; 1935 ;  ; Br ; F+ ; 31 ; ziko ; 752 
 2119 ; 1 копейка ; 1929 ;  ; Br ; F ; 14 ; wwtar ; 160 
 2120 ; 1 копейка ; 1926 ;  ; Br ; VF ; 38 ; judge ; 462 
 2121 ; 2 копейки ; 1946 ;  ; Br ; VF- ; 16 ; viv1957 ; 139 
 2122 ; 2 копейки ; 1938 ;  ; Br ; VF- ; 9 ; miranda ; 51 
 2123 ; 2 копейки ; 1939 ;  ; Br ; VF- ; 12 ; MAMON ; 102 
 2124 ; 2 копейки ; 1936 ;  ; Br ; VF ; 15 ; miranda ; 79 
 2125 ; 2 копейки ; 1935 ;  ; Br ; VF- ; 44 ; СОВ ; 221 
 2126 ; 2 копейки ; 1934 ;  ; Br ; F-VF ; 10 ; Lizig1 ; 79 
 2127 ; 2 копейки ; 1929 ;  ; Br ; F-VF ; 7 ; Beliy86 ; 60 
 2128 ; 2 копейки ; 1932 ;  ; Br ; F ; 7 ; MAMON ; 21 
 2129 ; 15 копеек ; 1940 ;  ; Ni ; VF-XF ; 49 ; Masik ; 417 
 2130 ; 10 копеек ; 1939 ;  ; Ni ; VF-XF ; 39 ; Masik ; 681 
 2131 ; 2 копейки ; 1945 ;  ; Br ; F-VF ; 23 ; _Владимир_ ; 182 
 2132 ; 2 копейки ; 1933 ;  ; Br ; F ; 14 ; iizikul ; 104 
 2133 ; 2 копейки ; 1935 ;  ; Br ; F-VF ; 60 ; СОВ ; 259 
 2134 ; 2 копейки ; 1935 ;  ; Br ; VG ; 13 ; Jiamer57rus ; 102 
 2135 ; 2 копейки ; 1941 ;  ; Br ; F+ ; 21 ; ziko ; 72 
 2136 ; 2 копейки ; 1951 ;  ; Br ; F-VF ; 18 ; iizikul ; 117 
 2137 ; 1 рубль ; 1990 ;  ; Cu-Ni ; XF ; 45 ; Rober ; 171 
 2138 ; 1 рубль ; 1989 ;  ; Cu-Ni ; VF-XF ; 40 ; gola78 ; 148 
 2139 ; 50 копеек ; 1991 ; ЛМД ; Cu-Ni ; XF+ ; 17 ; Ustin ; 82 
 2040 ; 50 копеек ; 1966 ;  ; Cu-Ni ; VF-XF ; 9 ; акто_то ; 57 
 2041 ; 3 копейки ; 1935 ;  ; Br ; F ; 45 ; vitalik2020 ; 46 
 2042 ; 3 копейки ; 1934 ;  ; Br ; F ; 9 ; MAMON ; 72 
 2043 ; 3 копейки ; 1931 ;  ; Br ; F ; 31 ; AnvlaSar6216 ; 82 
 2044 ; 3 копейки ; 1936 ; Л/с звезда фигурная ; Br ; F+ ; 12 ; Rober ; 26 
 2045 ; 2 копейки ; 1940 ;  ; Br ; VF- ; 18 ; R-Evolve ; 23 
 2046 ; 2 копейки ; 1931 ;  ; Br ; F+ ; 5 ; vitalik2020 ; 21 
 2047 ; 2 копейки ; 1934 ;  ; Br ; VF ; 32 ; rendom9 ; 53 
 2048 ; 5 копеек ; 1932 ;  ; Br ; F+ ; 11 ; лили ; 67 
 2049 ; 20 копеек ; 1932 ;  ; Ni ; F-VF ; 5 ; Gera_K ; 26 
 2050 ; 2 копейки ; 1949 ;  ; Br ; VF+ ; 21 ; miranda ; 224 
 2051 ; 1 копейка ; 1939 ;  ; Br ; F-VF ; 9 ; vitalik2020 ; 34 
 2052 ; 10 копеек ; 1949 ;  ; Ni ; VF ; 29 ; ss13 ; 100 
 2053 ; 10 копеек ; 1951 ;  ; Ni ; VF- ; 51 ; solder13 ; 144 
