 5619 ; Лот бон 100 штук Китай ;  ;  ;  ; AU ; 22 ; USS ; 558 
 1862 ; 1 рубль. Упаковка ; 1993 ; 250 лет со дня рождения Г.Р.Державина ; Cu-Ni ; Unc ; 35 ; aaa2009 ; 1155 
 1863 ; 1 рубль. Упаковка ; 1991 ; 550 лет со дня рождения А.Навои ; Cu-Ni ; Proof ; 9 ; Вовчик22 ; 204 
 1864 ; 1 рубль. Упаковка ; 1991 ; 550 лет со дня рождения А.Навои ; Cu-Ni ; Proof ; 12 ; Данила ; 226 
 1865 ; 1 рубль. Упаковка ; 1992 ; 200 лет со дня рождения Н.И.Лобачевского ; Cu-Ni ; Proof ; 19 ; aidih ; 600 
 1866 ; 1 рубль. Упаковка ; 1993 ; 130 лет со дня рождения В.И.Вернадского ; Cu-Ni ; Proof ; 23 ; Кремний ; 759 
 1867 ; 1 рубль. Упаковка ; 1993 ; 130 лет со дня рождения В.И.Вернадского ; Cu-Ni ; Proof ; 37 ; shiraliv ; 1593 
 1868 ; 1 рубль. Упаковка ; 1991 ; Махтумкули ; Cu-Ni ; Proof ; 20 ; Вовчик22 ; 310 
 1869 ; 1 рубль. Упаковка ; 1991 ; Махтумкули ; Cu-Ni ; Proof ; 53 ; Кремний ; 394 
 1870 ; 1 рубль. Упаковка ; 1991 ; Махтумкули ; Cu-Ni ; Proof ; 14 ; Вовчик22 ; 322 
 1871 ; 1 рубль. Упаковка ; 1991 ; Махтумкули ; Cu-Ni ; Unc ; 11 ; Denss_s ; 362 
 1772 ; 20 копеек ; 1982 ; Л/с шт. 3 коп. ; Cu-Ni ; XF ; 9 ; spblvv ; 203 
 1773 ; 20 копеек ; 1991 ; ЛМД Л/с шт. 3 коп. ; Cu-Ni ; XF ; 61 ; dragun ; 459 
 1774 ; 20 копеек ; 1991 ; ЛМД Л/с шт. 3 коп. ; Cu-Ni ; VF-XF ; 26 ; cr2952 ; 390 
 1775 ; 20 копеек ; 1942 ; Л/с звезда плоская, шт. 20 коп. ; Ni ; VF- ; 27 ; paul196262 ; 371 
 1776 ; 15 копеек ; 1942 ;  ; Ni ; VF ; 83 ; strutikut ; 18155 
 1777 ; 5 копеек ; 1929 ;  ; Br ; VF-XF ; 55 ; gdrg2 ; 521 
 1778 ; 5 копеек ; 1945 ;  ; Br ; F ; 96 ; paul196262 ; 1247 
 1779 ; 3 копейки ; 1927 ;  ; Br ; F ; 118 ; paul196262 ; 1840 
 1780 ; 3 копейки ; 1945 ;  ; Br ; F- ; 38 ; paul196262 ; 1224 
 1781 ; 3 копейки ; 1945 ;  ; Br ; F ; 41 ; yourius ; 555 
 1782 ; 1 рубль ; 1988 ; 120 лет со дня рождения А.М.Горького ; Cu-Ni ; XF+ ; 22 ; Light_Surf ; 79 
 1783 ; 1 рубль ; 1985 ; 165 лет со дня рождения Ф.Энгельса ; Cu-Ni ; XF ; 25 ; serega16041979 ; 267 
 1784 ; 1 рубль ; 1988 ; 120 лет со дня рождения А.М.Горького ; Cu-Ni ; AU ; 9 ; sergeimost ; 79 
 1785 ; 1 рубль ; 1986 ; Международный год мира.В рубле Л в виде шалаша. ; Cu-Ni ; XF+ ; 9 ; Гарыныч ; 1034 
 1786 ; 1 рубль ; 1991 ; Махтумкули ; Cu-Ni ; XF+ ; 28 ; Коллекционер СНГ ; 240 
 1787 ; 1 рубль ; 1991 ; 850 лет со дня рождения Низами Гянджеви ; Cu-Ni ; AU ; 29 ; killer777 ; 173 
 1788 ; 1 рубль ; 1991 ; Махтумкули ; Cu-Ni ; XF ; 40 ; borzota ; 233 
 1789 ; 50 копеек. 50 лет Советской власти ; 1967 ;  ; Cu-Ni ; AU ; 11 ; уютный ; 126 
 1790 ; 20 копеек. 50 лет Советской власти ; 1967 ;  ; Cu-Ni ; AU ; 23 ; Tche ; 306 
 1791 ; 15 копеек. 50 лет Советской власти ; 1967 ;  ; Cu-Ni ; XF+ ; 13 ; alfredo ; 126 
 1792 ; 3 рубля ; 1994 ; Партизаны в ВОВ ; Cu-Ni ; Proof ; 24 ; Ной ; 976 
 1793 ; 3 рубля ; 1993 ; 50 лет освобождения Киева ; Cu-Ni ; Proof ; 44 ; Yar42 ; 1320 
 1794 ; 1 рубль ; 1985 ; Фестиваль молодежи и студентов в Москве ; Cu-Ni ; Proof ; 17 ; kost ; 767 
 1795 ; 1 рубль ; 1985 ; 165 лет со дня рождения Ф.Энгельса ; Cu-Ni ; AU ; 23 ; detonator ; 272 
 1796 ; 1 рубль Новодел ; 1975 ; 30 лет Победы в войне 1941-1945 ; Cu-Ni ; Proof ; 30 ; Геолог ; 713 
 1797 ; 1 рубль ; 1983 ; 165 лет со дня рождения К.Маркса ; Cu-Ni ; Proof ; 30 ; Bogrus89 ; 459 
 1798 ; 1 рубль Новодел ; 1967 ; 50 лет Советской власти ; Cu-Ni ; Proof ; 15 ; star54 ; 591 
 1799 ; 1 рубль Новодел ; 1965 ; 20 лет победы над Германией ; Cu-Ni ; Proof ; 17 ; vlad32 ; 713 
 1800 ; 5 рублей. Упаковка ; 1987 ; 70 лет Октябрьской революции ; Cu-Ni ; Proof ; 38 ; il468 ; 3897 
 1801 ; 5 рублей. Упаковка ; 1988 ; Памятник Петру I в Ленинграде ; Cu-Ni ; Proof ; 11 ; serega16041979 ; 383 
 1802 ; 5 рублей. Упаковка ; 1988 ; Памятник Петру I в Ленинграде ; Cu-Ni ; Proof ; 7 ; Den_Zaozersk ; 390 
 1803 ; 5 рублей. Упаковка ; 1988 ; Памятник в Новгороде "Тысячелетие России" ; Cu-Ni ; Proof ; 5 ; dnjhybr33 ; 247 
 1804 ; 5 рублей. Упаковка ; 1988 ; Памятник в Новгороде "Тысячелетие России" ; Cu-Ni ; Proof ; 11 ; numser ; 264 
 1805 ; 5 рублей. Упаковка ; 1988 ; Памятник в Новгороде "Тысячелетие России" ; Cu-Ni ; Proof ; 7 ; dnjhybr33 ; 258 
 1806 ; 5 рублей. Упаковка ; 1989 ; Ансамбль Регистан в Самарканде ; Cu-Ni ; Proof ; 10 ; serega16041979 ; 390 
 1807 ; 5 рублей. Упаковка ; 1989 ; Ансамбль Регистан в Самарканде ; Cu-Ni ; Unc ; 19 ; Bonifaciy ; 670 
 1808 ; 5 рублей. Упаковка ; 1992 ; Мавзолей-мечеть Ахмеда Ясави ; Cu-Ni ; Proof ; 12 ; sharapov.s21 ; 1020 
 1809 ; 5 рублей. Упаковка нарушена ; 1991 ; Здание Госбанка СССР в Москве ; Cu-Ni ; Proof ; 5 ; Ser_doh ; 227 
 1810 ; 5 рублей. Упаковка ; 1990 ; Матенадаран.Ереван ; Cu-Ni ; Proof ; 3 ; офф Фрида ; 204 
 1811 ; 5 рублей. Упаковка ; 1990 ; Матенадаран.Ереван ; Cu-Ni ; Proof ; 3 ; офф Фрида ; 204 
 1812 ; 5 рублей. Упаковка ; 1990 ; Матенадаран.Ереван ; Cu-Ni ; Unc ; 11 ; Bonifaciy ; 339 
 1813 ; 5 рублей. Упаковка ; 1990 ; Матенадаран.Ереван ; Cu-Ni ; Proof ; 5 ; Paradox76 ; 227 
 1814 ; 5 рублей. Упаковка ; 1993 ; Сергиев Посад ; Cu-Ni ; Unc ; 16 ; aidih ; 912 
 1815 ; 5 рублей. Упаковка ; 1989 ; Собор Покрова на рву в Москве ; Cu-Ni ; AU ; 19 ; Левин А. ; 291 
 1816 ; 5 рублей. Упаковка ; 1989 ; Собор Покрова на рву в Москве ; Cu-Ni ; Proof ; 12 ; serenki ; 390 
 1817 ; 5 рублей. Упаковка ; 1989 ; Благовещенский собор в Москве ; Cu-Ni ; Unc ; 27 ; Bonifaciy ; 670 
 1818 ; 5 рублей. Упаковка ; 1989 ; Благовещенский собор в Москве ; Cu-Ni ; Proof ; 9 ; Bonifaciy ; 516 
 1819 ; 1 рубль. Упаковка ; 1987 ; 175 лет Бородино (барельеф) ; Cu-Ni ; Proof ; 5 ; Вовчик22 ; 181 
 1820 ; 1 рубль. Упаковка ; 1967 ; 50 лет Советской власти ; Cu-Ni ; AU ; 16 ; cond ; 510 
 1821 ; 1 рубль. Упаковка ; 1989 ; 100 лет со дня рождения Ниязи ; Cu-Ni ; Proof ; 38 ; Кремний ; 293 
 1722 ; Жетон. 1 полтинник. Л.И.Брежнев ; 2014ММД ;  ; Ж/м ; Proof ; 19 ; 🇷🇺 ; 796 
 1723 ; Жетон. 1 полтинник. А.А.Леонов ; 2015ММД ;  ; Cu-Ni ; Proof ; 32 ; 🇷🇺 ; 857 
 1724 ; Жетон. 5 червонцев. Красная книга. Мандаринка ; 2015ММД ;  ; Би/м ; Proof ; 34 ; cr2375 ; 1428 
 1725 ; Жетон. 5 червонцев. Красная книга. Наврал ; 2015ММД ;  ; Би/м ; Proof ; 23 ; cr2375 ; 1246 
 1726 ; Жетон. 5 червонцев. Красная книга. Наврал ; 2015ММД ;  ; Би/м ; Proof ; 26 ; gda ; 1428 
 1727 ; Жетон. 5 червонцев. Красная книга. Сахалинская кабарга ; 2014ММД ;  ; Би/м ; Proof ; 28 ; 🇷🇺 ; 1146 
 1728 ; Жетон. 5 червонцев. Красная книга. Перевязка ; 2015ММД ;  ; Би/м ; Proof ; 32 ; cr2375 ; 1229 
 1729 ; Жетон. 5 червонцев. Красная книга. Шмель спорадикус ; 2015ММД ;  ; Би/м ; Proof ; 20 ; cr2375 ; 1326 
 1730 ; Жетон. 1 червонец ; ММД ;  ; Ж/м ; Proof ; 18 ; 🇷🇺 ; 514 
 1731 ; Разменный знак 10. Остров Шпицберген. Авария на АЭС Фукусима ; 2011СПМД ;  ; Cu-Ni ; Proof ; 34 ; Dмитрий ; 5484 
 1732 ; Разменный знак 10. Остров Шпицберген. Извержение вулкана Эйяфьядлайекудль ; 2010СПМД ;  ; Cu-Ni ; Proof ; 39 ; ooooo1961 ; 5722 
 1733 ; Разменный знак 10. Остров Шпицберген. Памяти Нельсона Манделы ; 2014СПМД ;  ; Cu-Ni ; Proof ; 27 ; горбатый ; 1813 
 1734 ; Разменный знак 10. Остров Шпицберген. "Конец света"-по календарю майя ; 2012СПМД ;  ; Cu-Ni ; Proof ; 12 ; svoistinov ; 1825 
 1735 ; Разменный знак 10. Остров Шпицберген. Против терроризма. В память жертв теракта А. Брейвика ; 2011СПМД ;  ; Cu-Ni ; Proof ; 36 ; svoistinov ; 1712 
 1736 ; Разменный знак 10. Остров Шпицберген. Борьба с эпидемией лихорадки эбола ; 2015СПМД ;  ; Cu-Ni ; Proof ; 9 ; ooooo1961 ; 1918 
 1737 ; Разменный знак 10. Остров Шпицберген. Взрыв метеорита над Челябинском ; 2013СПМД ;  ; Cu-Ni ; Proof ; 31 ; svoistinov ; 1825 
 1738 ; Разменный знак 10. Остров Шпицберген. "Конец света"-по календарю майя ; 2012СПМД ;  ; Ag925 ; Proof ; 27 ; vsl_t ; 25506 
 1739 ; Разменный знак 10. Остров Шпицберген. Арктикуголь. С надписью "разменный знак". Наводнение - Юг России ; 2002СПМД ;  ; Cu-Ni ; Proof ; 31 ; валенок ; 802 
 1740 ; Разменный знак 10. Остров Шпицберген. Арктикуголь. С надписью "разменный знак". Наводнение - центр Европы ; 2002СПМД ;  ; Cu-Ni ; Proof ; 10 ; валенок ; 802 
 1741 ; Разменный знак 10. Остров Шпицберген. Арктикуголь. С надписью "разменный знак". Сход ледника -  трагедия в Кармадонском ущелье ; 2002СПМД ;  ; Cu-Ni ; Proof ; 39 ; ooooo1961 ; 969 
 1742 ; Разменный знак 10. Остров Шпицберген. Арктикуголь. С надписью "разменный знак". Против терроризма. Норд-Ост ; 2002СПМД ;  ; Cu-Ni ; Proof ; 41 ; dubidov ; 801 
 1743 ; 50 рублей. Красная книга. Кавказский тетерев ; 1993 ;  ; Би/м ; AU ; 15 ; aidih ; 1000 
 1744 ; 50 рублей. Красная книга. Песчаный слепыш ; 1994 ;  ; Би/м ; XF ; 20 ; лопата ; 1450 
 1745 ; 5 рублей. Винторогий козел. Красная книга ; 1991 ;  ; Би/м ; AU ; 24 ; BSG ; 695 
 1746 ; 10 рублей. Северная Осетия-Алания. Редкий гурт ; 2013 ;  ; Би/м ; AU ; 47 ; ЗАБРАЛО ; 338 
 1747 ; 10 рублей. Северная Осетия-Алания. Редкий гурт ; 2013 ;  ; Би/м ; AU ; 41 ; ЗАБРАЛО ; 339 
 1748 ; 10 рублей. Северная Осетия-Алания. Редкий гурт ; 2013 ;  ; Би/м ; AU ; 37 ; прыгун ; 329 
 1749 ; 10 рублей. Северная Осетия-Алания. Редкий гурт ; 2013 ;  ; Би/м ; AU ; 32 ; vor0niko ; 327 
 1750 ; 10 рублей. Северная Осетия-Алания. Редкий гурт ; 2013 ;  ; Би/м ; AU ; 40 ; spartak9583 ; 346 
 1751 ; 10 рублей. Республика Северная Осетия-Алания. Частый гурт ; 2013 ;  ; Би/м ; AU ; 5 ; semennurspb ; 59 
 1752 ; 10 рублей ; 2010 ; Чеченская республика ; биметалл ; AU ; 11 ; Varoh ; 7170 
 1753 ; 1 рубль ; 1997 ; ММД широкий кант ; Cu-Ni-Zn ; VF ; 44 ; Хаа ; 4556 
 1754 ; 50 рублей ; 1993 ; о.Шпицберген ; Cu/Ni ; XF ; 14 ; vor0niko ; 363 
 1755 ; 50 рублей ; 1992 ; ММД Биметалл ; Cu-Zn/Cu-Ni ; XF ; 26 ; Ной ; 600 
 1756 ; 50 рублей ; 1992 ; ММД Биметалл ; Cu-Zn/Cu-Ni ; XF ; 44 ; Ной ; 600 
 1757 ; 50 рублей ; 1992 ; ММД Биметалл ; Cu-Zn/Cu-Ni ; XF ; 31 ; Ной ; 600 
 1758 ; 50 рублей ; 1992 ; ММД Биметалл ; Cu-Zn/Cu-Ni ; XF ; 24 ; vor0niko ; 612 
 1759 ; 50 рублей ; 1992 ; ММД Биметалл ; Cu-Zn/Cu-Ni ; XF ; 59 ; Ной ; 600 
 1760 ; 50 рублей ; 1992 ; ММД Биметалл ; Cu-Zn/Cu-Ni ; VF ; 40 ; Rober ; 563 
 1761 ; 100 рублей ; 1992 ; ММД Биметалл ; Cu-Ni/Cu-Zn ; XF ; 46 ; sts ; 828 
 1762 ; 1 рубль. Упаковка ; 1968 ;  ; Cu-Ni ; XF/AU ; 38 ; кузяка ; 1677 
 1763 ; 50 копеек Упаковка ; 1968 ;  ; Cu-Ni ; AU ; 11 ; viktorius ; 306 
 1764 ; 20 копеек Упаковка ; 1968 ;  ; Cu-Ni ; AU ; 43 ; кузяка ; 1921 
 1765 ; 15 копеек Упаковка ; 1968 ;  ; Cu-Ni ; AU ; 9 ; KonstantinK ; 1940 
 1766 ; 10 копеек Упаковка ; 1968 ;  ; Cu-Ni ; AU ; 51 ; мон ; 2042 
 1767 ; 5 копеек Упаковка ; 1968 ;  ; Cu-Zn ; AU ; 28 ; KonstantinK ; 2000 
 1768 ; 3 копейки Упаковка ; 1968 ;  ; Cu-Zn ; AU ; 49 ; alfredo ; 204 
 1769 ; 2 копейки Упаковка ; 1968 ;  ; Cu-Zn ; AU ; 32 ; murman ; 100 
 1770 ; 1 копейка Упаковка ; 1968 ;  ; Cu-Zn ; AU ; 11 ; spikerson ; 141 
 1771 ; Жетон ЛМД Упаковка ;  ;  ; Cu-Zn ; AU ; 26 ; Inokesha ; 114 
 1672 ; 15 копеек ; 1922 ;  ; Ag ; VF+ ; 53 ; krass ; 656 
 1673 ; 15 копеек ; 1923 ;  ; Ag ; VF- ; 12 ; mandalay ; 148 
 1674 ; 15 копеек ; 1923 ;  ; Ag ; VF- ; 10 ; mandalay ; 114 
 1675 ; 15 копеек ; 1923 ;  ; Ag ; VF- ; 22 ; mandalay ; 143 
 1676 ; 15 копеек ; 1923 ;  ; Ag ; XF ; 16 ; b197312 ; 153 
 1677 ; 15 копеек ; 1923 ;  ; Ag ; VF+ ; 12 ; Big-Ol ; 261 
 1678 ; 15 копеек ; 1923 ;  ; Ag ; VF-XF ; 15 ; veektor ; 108 
 1679 ; 15 копеек ; 1925 ;  ; Ag ; XF+ ; 53 ; Allex 73 ; 300 
 1680 ; 15 копеек ; 1925 ;  ; Ag ; VF- ; 22 ; mandalay ; 125 
 1681 ; 15 копеек ; 1925 ;  ; Ag ; XF- ; 16 ; mandalay ; 130 
 1682 ; 15 копеек ; 1925 ;  ; Ag ; AU/XF ; 47 ; GAVR ; 300 
 1683 ; 15 копеек ; 1925 ;  ; Ag ; VF- ; 14 ; Vbuzik ; 115 
 1684 ; 15 копеек ; 1927 ;  ; Ag ; AU/XF ; 62 ; кузяка ; 309 
 1685 ; 15 копеек ; 1927 ;  ; Ag ; XF+ ; 35 ; alfredo ; 283 
 1686 ; 15 копеек ; 1928 ;  ; Ag ; AU ; 60 ; shav959 ; 310 
 1687 ; 15 копеек ; 1929 ;  ; Ag ; AU/XF ; 18 ; кузяка ; 240 
 1688 ; 15 копеек ; 1930 ;  ; Ag ; AU/XF ; 45 ; кузяка ; 357 
 1689 ; 15 копеек. В капсуле ННР ; 1930 ;  ; Ag ; MS61 ; 95 ; alfvolkov ; 937 
 1690 ; 10 копеек ; 1921 ;  ; Ag ; F ; 45 ; иржик86 ; 2009 
 1691 ; 10 копеек. В капсуле ННР ; 1922 ;  ; Ag ; AU58 ; 53 ; verunk1 ; 1022 
 1692 ; 10 копеек ; 1923 ;  ; Ag ; XF+ ; 34 ; b197312 ; 516 
 1693 ; 10 копеек ; 1923 ;  ; Ag ; F+ ; 12 ; mandalay ; 114 
 1694 ; 10 копеек ; 1924 ;  ; Ag ; VF- ; 20 ; alfredo ; 306 
 1695 ; 10 копеек ; 1924 ;  ; Ag ; VF-XF ; 22 ; SSS200 ; 407 
 1696 ; 10 копеек ; 1924 ;  ; Ag ; VF+ ; 36 ; paul196262 ; 453 
 1697 ; 10 копеек ; 1925 ;  ; Ag ; VF- ; 29 ; mandalay ; 105 
 1698 ; 10 копеек. В капсуле ННР ; 1928 ;  ; Ag ; MS62 ; 70 ; Vanomah ; 1016 
 1699 ; 5 копеек ; 1924 ; Гурт гладкий ; Cu ; VG ; 14 ; Звездолёты ; 203 
 1700 ; 3 копейки ; 1924 ; Гурт гладкий ; Cu ; F+ ; 21 ; SSK ; 273 
 1701 ; 3 копейки ; 1924 ; Гурт гладкий ; Cu ; VG ; 12 ; кот баюн ; 39 
 1702 ; 2 копейки ; 1924 ; Гурт рубчатый ; Cu ; VG ; 7 ; Звездолёты ; 35 
 1703 ; 2 копейки ; 1924 ; Гурт рубчатый ; Cu ; F-VF ; 22 ; Семен ; 102 
 1704 ; 2 копейки ; 1924 ; Гурт рубчатый ; Cu ; F- ; 24 ; Tche ; 62 
 1705 ; 1 копейка ; 1924 ; Гурт рубчатый ; Cu ; VG ; 12 ; mandalay ; 39 
 1706 ; 1 копейка ; 1924 ; Гурт рубчатый ; Cu ; F-VF ; 29 ; Tche ; 261 
 1707 ; Жетон Министерства Торговли СССР № 13 ;  ;  ; Ж/м ; XF- ; 25 ; nays ; 441 
 1708 ; Жетон Министерства Торговли СССР № 19 ;  ;  ; Ж/м ; XF ; 21 ; nays ; 433 
 1709 ; Один полтинник 70 лет Советскому чекану ; ММД ;  ; Ag ; AU ; 94 ; Claster ; 4248 
 1710 ; Жетон. 70 лет Советскому чекану 1 рубль ; ММД ;  ; Cu-Ni ; AU ; 24 ; dubidov ; 466 
 1711 ; Жетон. 70 лет Советскому чекану  Гривенник ;  ;  ; Cu-Ni ; Proof ; 31 ; dubidov ; 579 
 1712 ; Жетон. 70 лет Советскому чекану  Полтинник ;  ;  ; Cu-Ni ; Proof ; 40 ; dubidov ; 579 
 1713 ; Жетон. 70 лет Советскому чекану  Краснокамский монетный двор ;  ;  ; Ag ; Proof ; 44 ; bonipari ; 3937 
 1714 ; Жетон 15 копеек ;  ;  ; Br ; VG ; 23 ; 🇷🇺 ; 357 
 1715 ; 100 рублей ; 1993 ; о.Шпицберген ;  ; XF+ ; 25 ; vor0niko ; 663 
 1716 ; 50 рублей ; 1993 ; о.Шпицберген ;  ; XF ; 21 ; gdrg2 ; 356 
 1717 ; 1 рубль - 1 доллар. Разоружения. Сертифкат ;  ;  ; Al ; XF ; 36 ; GAVR ; 1281 
 1718 ; Жетон. 2 коп. 70 лет Советскому чекану "Детка и братишка". Национальная серия "Украина" ; 2006ММД ;  ; Ж/м ; AU ; 16 ; собиратель471 ; 400 
 1719 ; Жетон. 2 коп. 70 лет Советскому чекану "Три квадрата". Национальная серия "Украина" ; 2007ММД ;  ; Ж/м ; AU ; 8 ; собиратель471 ; 453 
 1720 ; Жетон. 5 пядей. Князь Григорий Потемкин-Таврический ; 2014ММД ;  ; Cu-Ni ; Proof ; 21 ; 🇷🇺 ; 1122 
 1721 ; Жетон. 5 пядей. Атаман Ермак Тимофеевич ; 2013ММД ;  ; Cu-Ni ; Proof ; 10 ; 🇷🇺 ; 692 
 1622 ; 50 копеек ; 1922 ; (АГ) ; Ag ; XF ; 41 ; k212 ; 2244 
 1623 ; 50 копеек ; 1922 ; (ПЛ) ; Ag ; XF ; 26 ; mask ; 623 
 1624 ; 50 копеек ; 1922 ; (ПЛ) ; Ag ; VF-XF ; 18 ; vadim.l ; 536 
 1625 ; Один полтинник ; 1924 ; (ПЛ 2 з.10,5 д.9 грамм) ; Ag ; XF ; 24 ; Bogrus89 ; 462 
 1626 ; Один полтинник ; 1924 ; (ТР 2з. 10,5 д. 9 грамм) ; Ag ; VF-XF ; 23 ; aidih ; 415 
 1627 ; Один полтинник ; 1924 ; (ПЛ 2 з.10,5 д.9 грамм) ; Ag ; XF- ; 9 ; Serg78 ; 444 
 1628 ; Один полтинник ; 1924 ; (ТР 2з. 10,5 д. 9 грамм) ; Ag ; VF ; 17 ; 3ТЭП75 ; 406 
 1629 ; Один полтинник ; 1924 ; (ТР 2з. 10,5 д. 9 грамм) ; Ag ; VF-XF ; 9 ; akilov ; 434 
 1630 ; Один полтинник ; 1924 ; (ПЛ 2 з.10,5 д.9 грамм) ; Ag ; XF- ; 11 ; akilov ; 425 
 1631 ; Один полтинник ; 1924 ; (ТР 2з. 10,5 д. 9 грамм) ; Ag ; VF+ ; 32 ; 3ТЭП75 ; 408 
 1632 ; Один полтинник ; 1924 ; (ТР 2з. 10,5 д. 9 грамм) ; Ag ; XF/AU ; 9 ; oops ; 612 
 1633 ; Один полтинник ; 1924 ; (ПЛ 2 з.10,5 д.9 грамм) ; Ag ; XF/AU ; 31 ; dial_rides ; 1555 
 1634 ; Один полтинник ; 1924 ; (ПЛ 2 з.10,5 д.9 грамм) ; Ag ; VF ; 9 ; ssr ; 431 
 1635 ; Один полтинник ; 1924 ; (ПЛ 2 з.10,5 д.9 грамм) ; Ag ; VF-XF ; 12 ; vadim.l ; 441 
 1636 ; Один полтинник ; 1924 ; (ПЛ 2 з.10,5 д.9 грамм) ; Ag ; VF-XF ; 22 ; vadim.l ; 449 
 1637 ; Один полтинник ; 1924 ; (ТР 2з. 10,5 д. 9 грамм) ; Ag ; VF+ ; 15 ; Mozart ; 443 
 1638 ; Один полтинник ; 1924 ; (ТР 2з. 10,5 д. 9 грамм) ; Ag ; VF+ ; 13 ; ssr ; 426 
 1639 ; Один полтинник ; 1925 ; (ПЛ 9 грамм) ; Ag ; VF+ ; 11 ; Mozart ; 453 
 1640 ; Один полтинник ; 1925 ; (ПЛ 9 грамм) ; Ag ; AU ; 39 ; Т-34 ; 1530 
 1641 ; Один полтинник ; 1925 ; (ПЛ 9 грамм) ; Ag ; XF- ; 7 ; ANGEL 23 ; 422 
 1642 ; Один полтинник ; 1925 ; (ПЛ 9 грамм) ; Ag ; XF ; 12 ; vadim.l ; 561 
 1643 ; Один полтинник ; 1925 ; (ПЛ 9 грамм) ; Ag ; AU ; 44 ; Т-34 ; 1333 
 1644 ; Один полтинник ; 1926 ; (ПЛ 9 грамм) ; Ag ; AU ; 21 ; Sky2 ; 826 
 1645 ; Один полтинник ; 1926 ; (ПЛ 9 грамм) ; Ag ; XF ; 28 ; Sky2 ; 722 
 1646 ; Один полтинник ; 1926 ; (ПЛ 9 грамм) ; Ag ; AU ; 55 ; urffin ; 1800 
 1647 ; Один полтинник ; 1926 ; (ПЛ 9 грамм) ; Ag ; AU ; 29 ; Т-34 ; 1326 
 1648 ; Один полтинник ; 1926 ; (ПЛ 9 грамм) ; Ag ; XF/AU ; 45 ; oops ; 1274 
 1649 ; Один полтинник ; 1927 ; (ПЛ 9 грамм) ; Ag ; XF- ; 60 ; ВЕДЬМАК ; 1829 
 1650 ; Один полтинник ; 1927 ; (ПЛ 9 грамм) ; Ag ; XF- ; 37 ; slovjnin ; 1383 
 1651 ; Один полтинник ; 1927 ; (ПЛ 9 грамм) ; Ag ; XF ; 37 ; Ратамахатта ; 1485 
 1652 ; 20 копеек ; 1922 ;  ; Ag ; VF-XF ; 34 ; кузяка ; 318 
 1653 ; 20 копеек ; 1923 ;  ; Ag ; VF+ ; 25 ; rus desant ; 147 
 1654 ; 20 копеек ; 1923 ;  ; Ag ; AU/XF ; 11 ; спрайт ; 230 
 1655 ; 20 копеек ; 1923 ;  ; Ag ; VF+ ; 16 ; m1940 ; 147 
 1656 ; 20 копеек ; 1923 ;  ; Ag ; VF- ; 22 ; 3ТЭП75 ; 138 
 1657 ; 20 копеек ; 1923 ;  ; Ag ; XF+ ; 22 ; b197312 ; 306 
 1658 ; 20 копеек ; 1923 ;  ; Ag ; XF/AU ; 17 ; Big-Ol ; 250 
 1659 ; 20 копеек. В капсуле NGC ; 1923 ;  ; Ag ; MS64 ; 40 ; Sporti84 ; 2430 
 1660 ; 20 копеек ; 1924 ;  ; Ag ; VF- ; 29 ; mandalay ; 408 
 1661 ; 20 копеек ; 1925 ;  ; Ag ; AU ; 49 ; sergius ; 1281 
 1662 ; 20 копеек ; 1925 ;  ; Ag ; XF+ ; 14 ; GAVR ; 192 
 1663 ; 20 копеек ; 1925 ;  ; Ag ; VF-XF ; 23 ; serega16041979 ; 147 
 1664 ; 20 копеек ; 1925 ;  ; Ag ; XF ; 28 ; akilov ; 272 
 1665 ; 20 копеек ; 1927 ;  ; Ag ; XF ; 45 ; кузяка ; 302 
 1666 ; 20 копеек ; 1928 ;  ; Ag ; XF+ ; 23 ; m1940 ; 212 
 1667 ; 20 копеек ; 1928 ;  ; Ag ; AU ; 13 ; Ravalnath ; 306 
 1668 ; 20 копеек ; 1928 ;  ; Ag ; AU ; 43 ; sergius ; 698 
 1669 ; 20 копеек ; 1929 ;  ; Ag ; AU ; 34 ; sergius ; 453 
 1670 ; 20 копеек ; 1929 ;  ; Ag ; XF+ ; 26 ; LIV ; 188 
 1671 ; 20 копеек ; 1930 ;  ; Ag ; XF ; 15 ; кузяка ; 160 
 1572 ; 2 рубля ; 2001 ; ММД В.И.Даль - 200 лет ; Ag ; Proof ; 58 ; прима ; 2739 
 1573 ; 2 рубля ; 2002 ; ММД 100 лет со дня рождения Л.Орловой ; Ag ; Proof ; 66 ; se170661 ; 2276 
 1574 ; 2 рубля ; 2002 ; ММД Лев ; Ag ; Proof ; 26 ; себер ; 2783 
 1575 ; 2 рубля ; 2002 ; СПМД Дева ; Ag ; Proof ; 32 ; TaraskaPeter ; 2267 
 1576 ; 2 рубля ; 2002 ; ММД Весы ; Ag ; Proof ; 52 ; СВТ69 ; 2084 
 1577 ; 2 рубля ; 2002 ; ММД Скорпион ; Ag ; Proof ; 29 ; СВТ69 ; 2193 
 1578 ; 2 рубля ; 2002 ; СПМД Стрелец ; Ag ; Proof ; 19 ; СВТ69 ; 2040 
 1579 ; 2 рубля ; 2002 ; ММД Козерог ; Ag ; Proof ; 24 ; TaraskaPeter ; 2040 
 1580 ; 2 рубля ; 2003 ; СПМД Водолей ; Ag ; Proof ; 22 ; KonstantinK ; 2000 
