 5988 ; Бона иностранная Бразилия ;  ;  ;  ; AU ; 9 ; USS ; 41 
 2931 ; 1 песо. Мексика ; 1899 ;  ; Ag ; VF+ ; 40 ; Gyron ; 1296 
 2357 ; Лот монет "70 лет Победы": 10руб, 5руб (21шт) ; 2014-2015 ;  ; Би/м,Ni/St ; AU ; 30 ; kvm64 ; 807 
 2358 ; Лот монет Банка России (70 лет победы): 10 руб (3шт) ; 2015 ;  ; Би/м ; AU ; 7 ; grim1981 ; 101 
 2359 ; Лот монет Банка России: 1,5 копеек (2шт) ; 2014 М ;  ; Ni/St ; AU ; 21 ; vahka ; 69 
 2360 ; Лот монет СССР: 6шт ; 1972 ;  ; Cu-Ni,Cu-Zn ; VF-XF ; 74 ; RAMA ; 1734 
 2361 ; Лот монет Банка России: 1,5 копеек (2шт) ; 2014 М ;  ; Ni/St ; AU ; 15 ; ooooo1961 ; 64 
 2362 ; Лот монет Банка России (70 лет победы): 10 руб (3шт) ; 2015 ;  ; Би/м ; AU ; 12 ; Horta ; 82 
 2363 ; Лот монет Банка России (70 лет победы): 10 руб (3шт) ; 2015 ;  ; Би/м ; AU ; 16 ; rbc ; 87 
 2364 ; Лот монет СССР (26шт) 5,3,2,1коп ; 1928-1957 ;  ; Br ; F-VF/VF ; 88 ; DAndy-2003 ; 1292 
 2365 ; Лот монет Банка России: 1,5 копеек (2шт) ; 2014 М ;  ; Ni/St ; AU ; 8 ; Zarik ; 69 
 2366 ; Лот монет Банка России: 1,5 копеек (2шт) ; 2014 М ;  ; Ni/St ; AU ; 6 ; SadKo ; 71 
 2367 ; Лот монет Банка России: 5 рублей (2шт). 170 лет Русскому Географическому обществу ; 2015 ;  ; Ni/St ; AU ; 76 ; sv13 ; 473 
 2368 ; Лот монет СССР: 1 коп (4шт) ; 1965-1990 ;  ; Cu-Zn ; XF/AU ; 11 ; veselkov ; 38 
 2369 ; Лот монет Банка России: 25 рублей (2шт) Олимпиада в Сочи ; 2014 ;  ; Cu-Ni ; Unc ; 24 ; jidai40 ; 150 
 2370 ; Лот монет Банка России (Пензенская область): 10 руб (5шт) ; 2014 ;  ; Би/м ; AU ; 23 ; vad52 ; 101 
 2371 ; Лот монет СССР (юбилейные): 1 руб (3шт) ; 1977-1988 ;  ; Cu-Ni ; XF+ ; 32 ; НУРИ ; 169 
 2372 ; Лот из 2-х монет: 5 рублей. Русское географическое общество ; 2015 ;  ; Ni/St ; AU ; 46 ; Inokesha ; 466 
 2373 ; Лот монет Банка России и СССР: 100,50,20,10,5 руб, 15,10 коп (10шт) ; 1943-1993 ;  ; Ni,Br,Би/м ; VF/XF ; 22 ; кент ; 306 
 2374 ; Лот монет СССР (юбилейка): 1 руб (5шт) ; 1965-1975 ;  ; Cu-Ni ; F-VF/VF- ; 14 ; nov6362 ; 102 
 2375 ; Лот монет СССР: 2 копейки (100шт) ;  ;  ; Cu-Zn ; VF/XF ; 28 ; StanislavAK ; 87 
 2376 ; Лот монет СССР: 20,15,10,5,3,2,1 коп (23шт) ; 1961-1991 ;  ; Cu-Ni,Cu-Zn ; VF+/AU ; 23 ; bagsy ; 201 
 2377 ; Лот монет СССР: 15 копеек (18шт) ; 1961-1991 ;  ; Cu-Ni ; VF+/XF+ ; 5 ; StanislavAK ; 45 
 2378 ; Лот монет СССР (3шт) ;  ;  ;  ; VF+ ; 31 ; nov6362 ; 150 
 2854 ; 10 долларов. США. М -3,17г ; 1997 ;  ; Pt ; AU ; 22 ; von_Schwarz ; 7893 
 2855 ; 500 куруш. Турция. М-35,08г ; 1966 ;  ; Au ; XF ; 41 ; TaraskaPeter ; 66101 
 2856 ; 2 фунта. Великобритания. М - 15,95г ; 1988 ;  ; Au ; Proof ; 24 ; а1945 ; 31762 
 2857 ; 10 фунтов. Великобритания. М - 3,4г ; 2011 ;  ; Au ; Proof ; 14 ; Хаа ; 7548 
 2858 ; 50 франков. Франция. М-16,18г ; 1858A ;  ; Au ; AU ; 31 ; а1945 ; 32691 
 2859 ; 40 франков. Франция, Луи Филипп. М-12,91гр ; 1837А ;  ; Au ; VF-XF ; 23 ; а1945 ; 27000 
 2860 ; 20 марок. Пруссия. М-7,96г ; 1914A ;  ; Au ; XF+ ; 15 ; paranoy ; 17177 
 2861 ; 20 крон. Дания. М-8,96г ; 1873 ;  ; Au ; AU ; 11 ; логопед ; 18884 
 2862 ; Соверен. Великобритания. М-7,99г ; 1872 ;  ; Au ; XF+ ; 29 ; kornum ; 18253 
 2863 ; Соверен. Великобритания. М-7,93г ; 1889 ;  ; Au ; VF+ ; 11 ; zelya ; 16185 
 2864 ; Соверен. Южная Африка. М-8,01г ; 1925SA ;  ; Au ; AU ; 11 ; Affliction ; 16335 
 2865 ; 2 эскудо. Испания. Карл IV. М-6,77г ; 1789 ;  ; Au ; VF-XF ; 26 ; olegp ; 18835 
 2866 ; 20 лир. Италия. М-6,46г ; 1882 ;  ; Au ; XF+ ; 15 ; zelya ; 13518 
 2867 ; 5 долларов. Канада. М-8,39г ; 1913 ;  ; Au ; AU ; 17 ; kvp2318 ; 19380 
 2868 ; 2 ранда. ЮАР. М-8,02г ; 1967 ;  ; Au ; AU ; 11 ; wwn ; 16238 
 2869 ; 20 франков. Монако. М-6,44г ; 1878 ;  ; Au ; VF ; 13 ; kvp2318 ; 16014 
 2870 ; 10 гульденов. Нидерланды. М-6,72г ; 1877 ;  ; Au ; AU ; 17 ; oprst ; 13808 
 2871 ; 10 гульденов. Нидерланды. М-6,7г ; 1899 ;  ; Au ; AU ; 15 ; Хаа ; 13550 
 2872 ; 10 гульденов. Нидерланды. М-6,7г ; 1917 ;  ; Au ; AU ; 16 ; TaraskaPeter ; 13514 
 2873 ; 10 гульденов. Нидерланды. М-6,74г ; 1933 ;  ; Au ; AU ; 16 ; АКМ ; 13740 
 2874 ; 100 лир. Израиль. 25-годовщина независимости. М-13,48г ; 1973 ;  ; Au ; Proof ; 24 ; TaraskaPeter ; 27225 
 2875 ; 10 франков. Швейцария. М-3,23г ; 1922 ;  ; Au ; XF+ ; 13 ; логопед ; 7050 
 2876 ; 10 фунтов. Великобритания. М - 3,4г ; 2011 ;  ; Au ; Proof ; 22 ; раритет ; 7560 
 2877 ; Монетовидный жетон. Германия. С сертификатом. М-0,5г ; 2001 ;  ; Au ; Proof ; 27 ; Shedu ; 1157 
 2878 ; Талер. Бавария ; 1764 ;  ; Ag ; VF ; 29 ; vitapool ; 2527 
 2879 ; Талер. Германия. Тюрингия ; 1765 ;  ; Ag ; VF+ ; 84 ; Хаа ; 10107 
 2880 ; Талет Бавария ; 1779 ;  ; Ag ; XF- ; 27 ; aleksss ; 3574 
 2881 ; Талер. Пруссия ; 1794 ;  ; Ag ; VF ; 35 ; krass ; 5870 
 2307 ; Лот монет Банка России (юбилейные): 10 руб (4шт) ; 2001-2012 ;  ; Лат/St,Би/м ; VF/XF ; 17 ; karal ; 71 
 2308 ; Лот монет Банка России (Министерства): 10 руб (5шт) ; 2002 ;  ; Би/м ; XF ; 28 ; AlexMartSpb ; 584 
 2309 ; Лот монет СССР: 50  коп (18шт) ; 1961-1991 ;  ; Cu-Ni ; VF/VF+ ; 38 ; veselkov ; 600 
 2310 ; Лот монет СССР:20,15,10 коп (100шт) ;  ;  ; Cu-Ni ; F-VF/XF ; 26 ; мон ; 200 
 2311 ; Лот монет России (10шт): 10 рублей. Дмитров ; 2004 ;  ; би/м ; AU ; 28 ; alehandr ; 835 
 2312 ; Лот монет России (10шт): 10 рублей. Воронежская область ; 2011 ;  ; би/м ; AU ; 15 ; yas ; 247 
 2313 ; Лот монет СССР (6шт): 20,15,10,5,3,2коп ; 1980 ;  ; б/м,ж/м ; VF/VF-XF ; 7 ; viv1957 ; 8 
 2314 ; Лот монет СССР (8шт): 1 коп ; 1924-1956 ;  ; жм ; VF/VF-XF ; 22 ; xxxl ; 395 
 2315 ; Лот монет России (10шт): 10 рублей. Соликамск ; 2011 ;  ; би/м ; AU ; 32 ; vlk_ ; 340 
 2316 ; Лот монет СССР: 50,15,5 коп (4шт) ;  ;  ; Ag,Br,Cu-Ni ; F/VF ; 18 ; Инспектор ; 153 
 2317 ; Лот монет СССР (12шт): 3коп, 1коп ; 1986-1991 ;  ; ж/м ; AU ; 11 ; Wulf ; 51 
 2318 ; Лот монет СССР, Банка России: 10,50 коп, 1,5,10,20,50 рублей (11) ; 1991-1993 ;  ; Cu-Ni ; XF/AU ; 17 ; AlexMartSpb ; 57 
 2319 ; Лот монет России (5шт): 10 рублей. Министерство юстиции ; 2002 ;  ; би/м ; VF-XF ; 50 ; se170661 ; 640 
 2320 ; Лот монет СССР: 15,10,5,2,1 коп (10шт) ; 1929-1954 ;  ; Ni,Br ; F/VF ; 32 ; кент ; 1181 
 2321 ; Лот монет СССР: 50 коп (4шт) ; 1964-1990 ;  ; Cu-Ni ; VF/XF ; 49 ; veselkov ; 414 
 2322 ; Лот монет Банка России: 1,5 копеек (2шт) ; 2014 М ;  ; Ni/St ; AU ; 25 ; dali ; 71 
 2323 ; Лот монет России (10шт):10 рублей. Гагарин ; 2001 ;  ; би/м ; VF/XF ; 21 ; AlexMartSpb ; 359 
 2324 ; Лот монет России (3шт): 5 рублей. Русское географическое общество ; 2015 ;  ; б/м ; AU ; 49 ; dali ; 510 
 2325 ; Лот монет СССР (23шт): 2 коп ; 1961-1991 ;  ; ж/м ; VF/VF-XF ; 22 ; veselkov ; 181 
 2326 ; Лот монет СССР (6шт): 20,15,10,5,3,2коп ; 1978 ;  ; б/м,ж/м ; VF/VF-XF ; 24 ; veselkov ; 102 
 2327 ; Лот монет России (10шт): 10 рублей. Елец ; 2011 ;  ; би/м ; AU ; 29 ; AlexMartSpb ; 282 
 2328 ; Лот монет России (10шт): 10 рублей. Саратовская область ; 2014 ;  ; би/м ; AU ; 13 ; aidih ; 121 
 2329 ; Лот монет СССР: 20 коп (11шт) ; 1981-1990 ;  ; Cu-Ni ; VF-XF ; 28 ; Kapitan_Serega ; 51 
 2330 ; Лот монет СССР: 15 коп (10шт) ; 1982-1991 ;  ; Cu-Ni ; VF-XF ; 28 ; диман ; 45 
 2331 ; Лот монет Банка России (юбилейные): 10 руб (7шт) ; 2014 ;  ; Лат/St ; XF/AU ; 23 ; jidai40 ; 111 
 2332 ; Лот монет Банка России (юбилейные): 10 руб (3шт) ; 2014 ;  ; Би/м ; XF+ ; 11 ; Монетный ; 70 
 2333 ; Лот монет Банка России (юбилейные): 10 руб (3шт) ; 2014 ;  ; Би/м ; XF+ ; 22 ; panteras ; 91 
 2334 ; Лот монет Банка России (юбилейные): 10 руб (5шт) ; 2014 ;  ; Лат/St ; XF/AU ; 19 ; veselkov ; 84 
 2335 ; Лот монет Банка России (юбилейные): 10 руб (7шт) ; 2014 ;  ; Лат/St ; XF/AU ; 5 ; antonekb08 ; 82 
 2336 ; Лот монет СССР: 10,1 руб (3шт) ; 1964-1991 ;  ; Би/м,Cu-Ni ; VF+ ; 9 ; nov6362 ; 42 
 2337 ; Лот монет Банка России (Министерства): 10 руб (7шт) ; 2002 ;  ; Би/м ; XF ; 48 ; torbey ; 899 
 2338 ; Набор монет Банка России (Министерства): 10 руб (6шт) ; 2002 ;  ; Би/м ; VF/XF ; 38 ; lelik13821 ; 717 
 2339 ; Лот монет СССР (3шт): 20 копеек ; 1931-1933 ;  ; Cu-Ni ; VF ; 51 ; СОВ ; 251 
 2340 ; Лот монет Банка России (Саратовская обл): 10 руб (15шт) ; 2014 ;  ; Би/м ; AU ; 13 ; Монетный ; 206 
 2341 ; Лот монет СССР и Банка России: 50,10 руб (5шт) ; 1991-2004 ;  ; Би/м ; AU/VF-XF ; 20 ; AlexMartSpb ; 228 
 2342 ; Лот монет СССР (4шт): 3,2,1коп, полкопейки ; 1924-1925 ;  ; Br ; F-VF ; 59 ; xxxl ; 428 
 2343 ; Лот монет Банка России: 1 коп (6шт) ; 2014 ;  ; Ni/St ; AU ; 15 ; ooooo1961 ; 113 
 2344 ; Лот монет СССР (30шт): 20,15,10коп ; 20в ;  ;  ; F/VF ; 55 ; DAndy-2003 ; 2216 
 2345 ; Лот монет СССР: 20,15,5,3,2,1 коп (20шт) ; 1928-1957 ;  ; Ni,Br ; F/VF+ ; 70 ; bagsy ; 706 
 2346 ; Лот монет Банка России (Челябинская область): 10 руб (5шт) ; 2014 ;  ; Би/м ; AU ; 24 ; vad52 ; 101 
 2347 ; Лот монет СССР: 50 коп (3шт) ; 1990-1991 ;  ; Cu-Ni ; XF/AU ; 72 ; XF ; 381 
 2348 ; Лот монет Банка России: 5 рублей (2шт). 170 лет Русскому Географическому обществу ; 2015 ;  ; Ni/St ; AU ; 41 ; igorkadan ; 411 
 2349 ; Лот монет Банка России (70 лет победы): 10 руб (3шт) ; 2015 ;  ; Би/м ; AU ; 23 ; Wulf ; 101 
 2350 ; Лот монет Банка России (70 лет победы): 10 руб (3шт) ; 2015 ;  ; Би/м ; AU ; 10 ; zivan28 ; 93 
 2351 ; Лот монет Банка России (200 лет Отечественной войны 1812): 10,5,2 руб (28шт) ; 2012 ;  ; Ni/St,St/Лат ; AU ; 34 ; jidai40 ; 469 
 2352 ; Лот юбилейных монет СССР: 1 рубль (6шт) ; 1977,1981 ;  ; Cu-Ni ; VF-XF ; 43 ; rbc ; 319 
 2353 ; Лот монет Банка России (70 лет победы): 10 руб (3шт) ; 2015 ;  ; Би/м ; AU ; 17 ; sub215 ; 93 
 2354 ; Лот монет Банка России (70 лет победы): 10 руб (3шт) ; 2015 ;  ; Би/м ; AU ; 10 ; 462 ; 93 
 2355 ; Лот монет Банка России (70 лет победы): 10 руб (3шт) ; 2015 ;  ; Би/м ; AU ; 10 ; Ивпага ; 91 
 2356 ; Лот монет Банка России (70 лет победы): 10 руб (3шт) ; 2015 ;  ; Би/м ; AU ; 9 ; rbc ; 78 
 2257 ; 5 рублей. 170 лет Русскому Географическому обществу. Буклет ; 2015 ;  ; Ni/St ; AU ; 9 ; rbc ; 442 
 2258 ; 5 рублей. 170 лет Русскому Географическому обществу. Буклет ; 2015 ;  ; Ni/St ; AU ; 10 ; igorkadan ; 451 
 2259 ; 5 рублей. 170 лет Русскому Географическому обществу. Буклет ; 2015 ;  ; Ni/St ; AU ; 3 ; spartak9583 ; 408 
 2260 ; 5 рублей. 170 лет Русскому Географическому обществу. Буклет ; 2015 ;  ; Ni/St ; AU ; 3 ; spartak9583 ; 408 
 2261 ; 5 рублей. 170 лет Русскому Географическому обществу. Буклет ; 2015 ;  ; Ni/St ; AU ; 4 ; spartak9583 ; 408 
 2262 ; Набор монет Банка России (Российская Федерация Выпуск 7): 10 руб (2шт) + жетон. Буклет. 1 вариант жетона ; 2011 ;  ; Би/м ; AU ; 37 ; Тормоз ; 667 
 2263 ; Набор монет Банка России (Российская Федерация Выпуск 7): 10 руб (2шт) + жетон. Буклет. 1 вариант жетона ; 2011 ;  ; Би/м ; AU ; 39 ; dali ; 681 
 2264 ; Набор монет Банка России (РВ. Выпуск 4): 10 руб (4шт) + жетон. Буклет ; 2008 ;  ; Би/м ; AU ; 48 ; Тормоз ; 1383 
 2265 ; Альбом монет "Российская Федерация". Выпуск 5 (5шт+жетон): 10 рублей +жетон СПМД ; 2009 ;  ;  ; AU ; 30 ; Тормоз ; 2750 
 2266 ; Годовой набор монет СССР: 1 руб, 50,20,15,10,5,3,2,1 коп (9шт) + 2 жетона. Пластиковая упаковка ; 1974ЛМД ;  ; Cu-Ni,Cu-Zn ; AU ; 31 ; Тормоз ; 6702 
 2267 ; Набор монет СССР (9шт+жетон): 1 руб, 50,20,15,10,5,3,2,1коп + жетон ЛМД. Упаковка нарушена ; 1975 ;  ;  ; AU ; 57 ; штрафбат ; 8444 
 2268 ; Годовой набор монет СССР: 1 рубль, 50,20,15,10,5,3,2,1 коп (9шт) + жетон. Пластиковая упаковка ; 1977ЛМД ;  ; Cu-Ni,Cu-Zn ; AU ; 65 ; sax ; 1920 
 2269 ; Годовой набор монет СССР: 1 рубль, 50,20,15,10,5,3,2,1 коп (9шт) + жетон. Пластиковая упаковка ; 1979ЛМД ;  ; Cu-Ni,Cu-Zn ; AU ; 53 ; Тормоз ; 2116 
 2270 ; Набор монет СССР (9шт+жетон): 1руб, 50,20,15,10,5,3,2,1коп. В упаковке. 20 копеек - л/с 3 коп ; 1988 ;  ; Cu-Ni,Cu-Zn ; AU ; 63 ; 462 ; 1397 
 2271 ; Годовой набор монет СССР: 1 руб, 50,20,15,10,5,3,2,1 коп (9шт) + жетона. Упаковка ; 1989ЛМД ;  ; Cu-Ni,Cu-Zn ; AU ; 9 ; циркус ; 719 
 2272 ; Набор монет "Москвоский монетный двор. 60 лет" (7шт+жетон): 5,2,1руб, 50,10,5,1коп + жетон копейка-денга. В буклете ; 2002ММД ;  ; б/м,ж/м ; AU ; 19 ; моятачка909 ; 31111 
 2273 ; Лот монет Банка России: 5,2,1 рубль, 50,10,5,1 коп (8шт)+ жетон. Буклет ; 2008СПМД ;  ; Cu-NiSt/ЛатNi/S ; AU ; 32 ; spartak9583 ; 1134 
 2274 ; Годовой набор монет Банка России: 5,2,1 руб, 50,10,5,1 коп (7шт). Буклет ; 2008ММД ;  ; Cu-Ni,Cu/Zn ; AU ; 15 ; saha_2001 ; 968 
 2275 ; Годовой набор монет Банка России: 5,2,1 руб, 50,10,5,1 коп (7шт). Буклет ; 2008СПМД ;  ; Cu-Ni,Cu/Zn ; AU ; 30 ; Новик ; 993 
 2276 ; Лот монет Банка России: 5,2,1 рубль, 50,10 коп (5шт)+ жетон. Буклет ; 2010СПМД ;  ; Ni/St,St/Лат ; AU ; 13 ; tanker1975 ; 950 
 2277 ; Лот монет Банка России: 5,2,1 рубль, 50,10,5,1 коп (8шт)+ жетон. Буклет ; 2014ММД ;  ; Ni/St,St/Лат ; AU ; 51 ; o_ruslan ; 2993 
 2278 ; Лот юбилейных монет СССР: 1 рубль (15шт) ; 1991 ;  ; Cu-Ni ; XF/AU ; 27 ; Grinch ; 2950 
 2279 ; Лот монет Банка России: 10 руб (7шт) ; 2002 ;  ; Би/м ; AU ; 49 ; AlexMartSpb ; 1324 
 2280 ; Лот юбилейных монет СССР: 1 рубль (15шт) ; 1967-1991 ;  ; Cu-Ni ; XF/AU ; 34 ; buben ; 972 
 2281 ; Лот юбилейных монет СССР: 1 рубль (15шт) ; 1985 ;  ; Cu-Ni ; VF-XF ; 56 ; Mike! ; 3456 
 2282 ; Лот юбилейных монет СССР: 1 рубль (15шт) ; 1985 ;  ; Cu-Ni ; XF ; 46 ; Mike! ; 3319 
 2283 ; Лот юбилейных монет СССР: 1 рубль (20шт) ; 1987-1991 ;  ; Cu-Ni ; Proof ; 20 ; сортам70 ; 3002 
 2284 ; Лот монет СССР: 2 копейки (14шт) ; 1984 ;  ; Cu-Zn ; AU ; 18 ; Wulf ; 101 
 2285 ; Лот юбилейных монет СССР: 5 рублей (12шт) ; 1988 ;  ; Cu-Ni ; AU ; 31 ; Mike! ; 2563 
 2286 ; Лот жетонов. 70 лет Советскому чекану. 1 рубль (2шт) ; ММД ;  ; Ag925 ; Proof/AU ; 27 ; KVVR ; 14732 
 2287 ; Лот монет Банка России (юбилейные) 10 руб (8шт) ; 2005-2007 ;  ; Би/м ; VF/XF+ ; 21 ; panteras ; 279 
 2288 ; Лот монет Банка России (юбилейные) 10 руб (10шт) ; 2003-2005 ;  ; Би/м ; XF/AU ; 24 ; AlexMartSpb ; 421 
 2289 ; Лист монет Банка России (Сочи-2014): 25 руб (25шт). Упаковка ; 2014 ;  ; Cu-Ni ; Unc ; 17 ; yas ; 1102 
 2290 ; Лист монет Банка России (Сочи-2014): 25 руб (25шт). Упаковка ; 2014 ;  ; Cu-Ni ; Unc ; 17 ; yas ; 1061 
 2291 ; Лист монет СССР 1 руб (8шт). Чехов. Упаковка ; 1990 ;  ; Cu-Ni ; Unc ; 20 ; KVVR ; 1909 
 2292 ; Набор монет СССР (6шт): 1 рубль. Олимпиада-80. В коробке ; 1977-1980 ;  ; Cu-Ni ; Unc ; 53 ; cvb ; 2325 
 2293 ; Лот юбилейных монет СССР: 1 рубль (6шт). В коробке ; 1977-1991 ;  ; Cu-Ni ; XF/AU ; 21 ; vadim.l ; 805 
 2294 ; Лот монет СССР: 10 копеек (18шт) ; 1961-1988 ;  ; Cu-Ni ; VF+/XF+ ; 10 ; sub215 ; 34 
 2295 ; Лот монет Банка России (юбилейные): 10,2,1 руб (5шт) ; 2000-2002 ;  ; Cu-Ni,Би/м ; XF/AU ; 28 ; васёк ; 426 
 2296 ; Лот монет Банка России (200 лет Отечественной войны 1812): 10,5,2 руб (28шт) ; 2012 ;  ; Ni/St,St/Лат ; AU ; 36 ; Rusik ; 531 
 2297 ; Лот монет СССР: 20,15,10 коп (19шт) ; 1946-1957 ;  ; Ni ; VF/XF ; 35 ; циркус ; 203 
 2298 ; Лот монет СССР: 20 копеек (18шт) ; 1961-1991 ;  ; Cu-Ni ; VF+/XF+ ; 11 ; bagsy ; 45 
 2299 ; Лот монет России (10шт):10 рублей. Пензенская область ; 2014 ;  ; би/м ; AU ; 10 ; aidih ; 137 
 2300 ; Лот монет СССР (8шт): 20,15,10,5,3,2,1коп ; 1985-1991 ;  ;  ; AU ; 14 ; Дима Шухов ; 20 
 2301 ; Лот монет Банка России (70 лет победы): 10,2 руб (21шт) ; 2014-2015 ;  ; Би/м,Ni/St ; AU ; 35 ; мон ; 856 
 2302 ; Лот монет Банка России: 1 коп 100шт ;  ;  ; Сu-Ni ; AU/XF ; 38 ; TEMNIK ; 216 
 2303 ; Лот монет Банка России: 10,2,1 руб (3шт) ; 1998-2002 ;  ; Cu-Ni-Zn,Би/м ; XF/AU ; 13 ; AlexMartSpb ; 120 
 2304 ; Лот монет Банка России (70 лет победы): 10 руб (3шт) ; 2015 ;  ; Би/м ; AU ; 16 ; dima-sml ; 100 
 2305 ; Лот монет Банка России (Министерства): 10 руб (6шт) ; 2002 ;  ; Би/м ; XF ; 38 ; AlexMartSpb ; 838 
 2306 ; Лот монет Банка России (города-герои): 2 руб (5шт) ; 2000 ;  ; Cu-Ni ; AU ; 29 ; мон ; 297 
 2207 ; Жетон. ЛМД. Упаковка ;  ;  ; Ж/м ; AU ; 10 ; Дима Шухов ; 67 
 2208 ; Жетон. СПМД ;  ;  ; Ж/м ; AU ; 60 ; Zarik ; 331 
 2209 ; 15 копеек ; 1932 ;  ; Ni ; XF ; 23 ; бонифаций ; 71 
 2210 ; 10 копеек ; 1931 ;  ; Ni ; VF+ ; 54 ; rolan1 ; 2040 
 2211 ; 5 копеек ; 1940 ;  ; Br ; XF- ; 11 ; ШИЮВ ; 77 
 2212 ; 1 копейка ; 1937 ;  ; Br ; XF+ ; 26 ; ШИЮВ ; 500 
 2213 ; 1 копейка ; 1938 ;  ; Br ; AU/XF ; 18 ; karrus ; 100 
 2214 ; 20 копеек ; 1937 ; Л/с звезда плоская, шт. 20 коп. ; Ni ; XF ; 32 ; Форт11 ; 305 
 2215 ; 20 копеек ; 1938 ; Л/с звезда плоская, шт. 20 коп. ; Ni ; XF ; 49 ; Vanomah ; 448 
 2216 ; 20 копеек ; 1941 ; Л/с звезда плоская, шт. 20 коп. ; Ni ; XF ; 44 ; vitab ; 417 
 2217 ; 20 копеек ; 1943 ; Л/с звезда плоская, шт. 20 коп. ; Ni ; XF ; 45 ; Vanomah ; 453 
 2218 ; 20 копеек ; 1946 ; Л/с звезда плоская, шт. 20 коп. ; Ni ; XF+ ; 19 ; Глеб ; 51 
 2219 ; 20 копеек ; 1948 ;  ; Ni ; XF+ ; 7 ; Alex1012 ; 122 
 2220 ; 20 копеек ; 1955 ;  ; Ni ; AU ; 15 ; Гарыныч ; 114 
 2221 ; 20 копеек ; 1956 ;  ; Ni ; AU ; 14 ; Tche ; 159 
 2222 ; 20 копеек ; 1957 ; В венке герба 15 лент ; Ni ; AU ; 19 ; Гарыныч ; 228 
 2223 ; 15 копеек ; 1936 ;  ; Ni ; XF+ ; 35 ; Копатель 972 ; 360 
 2224 ; 15 копеек ; 1938 ;  ; Ni ; XF+ ; 56 ; Копатель 972 ; 466 
 2225 ; 15 копеек ; 1940 ;  ; Ni ; XF+ ; 33 ; Форт11 ; 357 
 2226 ; 15 копеек ; 1944 ;  ; Ni ; XF ; 64 ; Запруда ; 2142 
 2227 ; 15 копеек ; 1945 ;  ; Ni ; XF+ ; 19 ; Alekss_27 ; 579 
 2228 ; 15 копеек ; 1946 ;  ; Ni ; XF+ ; 13 ; Глеб ; 117 
 2229 ; 15 копеек ; 1948 ;  ; Ni ; XF+ ; 47 ; Данила ; 1620 
 2230 ; 5 рублей. Русское географическое общество. Буклет ; 2015 ;  ; Ni/St ; AU ; 35 ; dali ; 357 
 2231 ; 5 рублей. Русское географическое общество. Буклет ; 2015 ;  ; Ni/St ; AU ; 38 ; vlk_ ; 402 
 2232 ; Набор монет Банка России (Министерства): 10 руб (7шт) + жетон. Буклет ; 2002 ;  ; Би/м ; AU ; 27 ; spartak9583 ; 10203 
 2233 ; Набор монет Банка России (Гагарин): 10,2 руб (2шт) ; 2001 ;  ; Би/м,Cu-Ni ; AU ; 64 ; vad52 ; 2142 
 2234 ; Набор монет России "65 лет Победы в ВОВ" (6шт): 10руб,5руб,2руб,1руб,50коп,10коп +жетон с бантиком. В буклете ; 2010СПМД ;  ;  ; AU ; 28 ; vlk_ ; 2223 
 2235 ; Набор монет России  "Города воинской славы". Выпуск 3. (8шт): 10 рублей + жетон Госзнака. В буклете ; 2013ММД ;  ;  ; AU ; 33 ; dali ; 2756 
 2236 ; Набор монет "Древние города России". Выпуск 9: 10 рублей (2шт) + жетон. В буклете ; 2010 ;  ;  ; AU ; 96 ; o_ruslan ; 2568 
 2237 ; Набор монет "Древние города России". Выпуск 10: 10 рублей (2шт) + жетон. В буклете ; 2011 ;  ;  ; AU ; 37 ; Тормоз ; 1000 
 2238 ; Набор монет "Древние города России". Выпуск 11: 10 рублей + 3 жетона. В буклете ; 2012СПМД ;  ;  ; AU ; 43 ; dali ; 1020 
 2239 ; Набор монет "Древние города России". Выпуск 12: 10 рублей + 3 жетона. В буклете ; 2014СПМД ;  ;  ; AU ; 42 ; o_ruslan ; 1469 
 2240 ; Набор монет "Древние города России". Выпуск 6: 10 рублей (3шт) + жетон. В буклете ; 2007 ;  ;  ; AU ; 36 ; vania1981 ; 1532 
 2241 ; Набор монет "Древние города России". Выпуск 8: 10 рублей (4шт) + жетон. В буклете ; 2009 ;  ;  ; AU ; 43 ; Тормоз ; 2142 
 2242 ; Набор монет Банка России (ГВС): 10 руб (8шт) + жетон. Буклет ; 2011 ;  ; Лат/St ; AU ; 64 ; o_ruslan ; 1573 
 2243 ; 25 рублей. Сочи-2014. Буклет ; 2013 ;  ; Cu-Ni ; Unc ; 35 ; vadim.l ; 610 
 2244 ; 25 рублей. Сочи-2014. Буклет ; 2013 ;  ; Cu-Ni ; Unc ; 41 ; vadim.l ; 610 
 2245 ; Лот монет Банка России: 1,5 копеек (52шт). В буклете ; 1997-2014 ;  ; Ni/St ; VF/AU ; 15 ; se170661 ; 701 
 2246 ; 5 рублей. 170 лет Русскому Географическому обществу. Буклет ; 2015 ;  ; Ni/St ; AU ; 9 ; spartak9583 ; 440 
 2247 ; Альбом монет Банка России (70 лет победы): 10,5 руб (21шт) ; 2014,2015 ;  ; Ni/St,Би/м ; AU ; 51 ; murzik20 ; 1000 
 2248 ; Лот монет Банка России: 1,5 копеек (52шт). В буклете ; 1997-2014 ;  ; Ni/St ; VF/AU ; 15 ; ashep ; 716 
 2249 ; 5 рублей. 170 лет Русскому Географическому обществу. Буклет ; 2015 ;  ; Ni/St ; AU ; 11 ; Salett ; 491 
