 1161 ; 200 рублей. М-31,1г ; 1994 ; ММД Сохраним наш мир. Соболя ; Au999 ; Proof ; 0 ; Участник № 44 ; 60000 
 1854 ; 1 рубль ; 1984 ; 150 лет со дня рождения Д.И.Ме ; Cu-Ni ; AU ; 8 ; ira7774 ; 204 
 1855 ; 1 рубль ; 1991 ; 100 лет со дня рождения С.Прок ; Cu-Ni ; AU ; 10 ; Aless ; 59 
 1856 ; 1 рубль ; 1993 ; 110 лет со дня смерти И.С.Тург ; Cu-Ni ; AU ; 26 ; VR62 ; 317 
 1857 ; 1 рубль. Новодел ; 1967 ; 50 лет Советской власти ; Cu-Ni ; Proof ; 33 ; tdp ; 377 
 1858 ; 3 рубля ; 1993 ; 50 лет победы в Сталинградской ; Cu-Ni ; Proof ; 34 ; yrik ; 201 
 1859 ; 3 рубля ; 1993 ; 50 лет победы на Курской дуге ; Cu-Ni ; Proof ; 28 ; Dom Perignon ; 204 
 1860 ; 3 рубля ; 1992 ; "Северный конвой" ; Cu-Ni ; Proof ; 36 ; kvm64 ; 365 
 1861 ; 3 рубля ; 1993 ; 50 лет освобождения Киева ; Cu-Ni ; Unc ; 13 ; volkov ; 204 
 1862 ; 1 рубль ; 1987 ; 130 лет со дня рождения К.Э.Ци ; Cu-Ni ; AU ; 60 ; ira7774 ; 150 
 1863 ; 1 рубль ; 1993 ; 250 лет со дня рождения Г.Р.Де ; Cu-Ni ; AU ; 31 ; VR62 ; 261 
 1864 ; 5 рублей ; 1993 ; Древний Мерв ; Cu-Ni ; Proof ; 93 ; macedon ; 1530 
 1865 ; 3 рубля ; 1994 ; 50 лет открытия Второго фронта ; Cu-Ni ; Proof ; 39 ; 13 ; 902 
 1866 ; 1 рубль ; 1993 ; 100 лет со дня рождения В.В.Ма ; Cu-Ni ; Proof ; 36 ; Ksandor ; 794 
 1867 ; 1 рубль ; 1982 ; 60 лет образования СССР ; Cu-Ni ; Proof ; 71 ; ira7774 ; 714 
 1868 ; 1 рубль. Упаковка ; 1983 ; 165 лет со дня рождения К.Марк ; Cu-Ni ; Proof ; 83 ; ВВС ; 653 
 1869 ; 3 рубля. Упаковка ; 1993 ; 50 лет победы в Сталинградской ; Cu-Ni ; Proof ; 13 ; volkov ; 157 
 1870 ; 5 рублей. Упаковка ; 1993 ; Сергиев Пасад ; Cu-Ni ; Proof ; 68 ; kkait ; 932 
 1871 ; 1 рубль ; 1977 ; Олимпиада 80.Эмблема Олимпийск ; Cu-Ni ; AU ; 25 ; kkait ; 57 
 1872 ; 1 рубль. Ошибка на циферблате часов вместо IV часов VI ; 1978 ; Олимпиада 80.Московский Кремль ; Cu-Ni ; AU ; 27 ; solder13 ; 102 
 1873 ; 1 рубль. Упаковка ; 1983 ; 165 лет со дня рождения К.Марк ; Cu-Ni ; Proof ; 50 ; zuuz ; 635 
 1874 ; 1 рубль ; 1988 ; 160 лет со дня рождения А.Н.То ; Cu-Ni ; AU ; 5 ; ira7774 ; 100 
 1875 ; 1 рубль. Упаковка ; 1992 ; 110 лет со дня рождения Я.Кола ; Cu-Ni ; Proof ; 33 ; gorfil ; 257 
 1876 ; 3 рубля ; 1995 ; 50 лет освобождения Кенигсберг ; Cu-Ni ; Proof ; 42 ; macedon ; 756 
 1877 ; 1 рубль ; 1984 ; 185 лет со дня рождения А.С.Пу ; Cu-Ni ; AU ; 18 ; ira7774 ; 100 
 1878 ; 3 рубля. Упаковка ; 1991 ; 50 лет победы под Москвой ; Cu-Ni ; Proof ; 17 ; max-(666) ; 93 
 1879 ; 1 рубль. В пластиковой капсуле ; 1975 ; 30 лет Победы в войне 1941-194 ; Cu-Ni ; AU ; 15 ; ira7774 ; 250 
 1880 ; 1 рубль. В пластиковой капсуле ; 1978 ; Олимпиада 80.Московский Кремль ; Cu-Ni ; AU ; 56 ; Batya.Manowar ; 157 
 1881 ; 1 рубль ; 1984 ; 185 лет со дня рождения А.С.Пу ; Cu-Ni ; AU ; 21 ; max-(666) ; 102 
 1882 ; 50 копеек. 50 лет Советской власти ; 1967 ;  ; Cu-Ni ; AU ; 2 ; crazybober ; 102 
 1883 ; 20 копеек. 50 лет Советской власти ; 1967 ;  ; Cu-Ni ; AU ; 37 ; Майкл ; 357 
 1884 ; 15 копеек. 50 лет Советской власти ; 1967 ;  ; Cu-Ni ; AU ; 35 ; Майкл ; 357 
 1885 ; 10 копеек. 50 лет Советской власти ; 1967 ;  ; Cu-Ni ; AU ; 39 ; gjyd ; 404 
 1886 ; 1 рубль ; 1976 ;  ; Cu-Ni ; AU ; 7 ; Masik ; 163 
 1887 ; 50 копеек ; 1976 ;  ; Cu-Ni ; AU ; 12 ; volkov ; 459 
 1788 ; 1 рубль. Упаковка ; 1991 ; Олимпиада в Барселоне.Штанга ; Cu-Ni ; Proof ; 28 ; Masik ; 663 
 1789 ; 1 рубль. Упаковка ; 1991 ; Олимпиада в Барселоне.Метание  ; Cu-Ni ; Proof ; 50 ; Masik ; 1224 
 1790 ; 1 рубль. Упаковка ; 1991 ; Олимпиада в Барселоне.Борьба ; Cu-Ni ; Proof ; 16 ; Masik ; 651 
 1791 ; 1 рубль. Упаковка ; 1991 ; Олимпиада в Барселоне.Прыжки в ; Cu-Ni ; Proof ; 38 ; Masik ; 720 
 1792 ; 1 рубль. Упаковка ; 1979 ; Олимпиада 80.Здание МГУ ; Cu-Ni ; Unc ; 19 ; nivas ; 116 
 1793 ; 1 рубль. Упаковка ; 1979 ; Олимпиада 80.Обелиск покорител ; Cu-Ni ; Unc ; 28 ; ask ; 147 
 1794 ; 1 рубль. Упаковка ; 1980 ; Олимпиада 80.Здание Моссовета ; Cu-Ni ; Unc ; 13 ; ask ; 140 
 1795 ; 1 рубль. Упаковка ; 1987 ; 70 лет Октябрьской революции ; Cu-Ni ; Proof ; 61 ; strestas ; 147 
 1796 ; 1 рубль. Упаковка ; 1975 ; 30 лет Победы в войне 1941-194 ; Cu-Ni ; Unc ; 20 ; piron ; 267 
 1797 ; 1 рубль ; 1977 ; Олимпиада 80.Эмблема Олимпийск ; Cu-Ni ; AU ; 32 ; Batya.Manowar ; 4590 
 1798 ; 1 рубль ; 1975 ; 30 лет Победы в войне 1941-194 ; Cu-Ni ; AU ; 30 ; ira7774 ; 194 
 1799 ; 1 рубль. В пластиковой капсуле ; 1978 ; Олимпиада 80.Московский Кремль ; Cu-Ni ; AU ; 18 ; Al0851 ; 82 
 1800 ; 1 рубль. В пластиковой капсуле ; 1980 ; Олимпиада 80.Здание Моссовета ; Cu-Ni ; Unc/AU ; 14 ; Al0851 ; 72 
 1801 ; 3 рубля ; 1991 ; 50 лет победы под Москвой ; Cu-Ni ; AU ; 18 ; max-(666) ; 65 
 1802 ; 1 рубль ; 1980 ; Олимпиада 80.Олимпийский факел ; Cu-Ni ; AU ; 18 ; kraizer ; 60 
 1803 ; 1 рубль ; 1981 ; 20 лет полета в космос Ю.Гагар ; Cu-Ni ; AU ; 22 ; ira7774 ; 150 
 1804 ; 1 рубль ; 1981 ; Дружба на веки ; Cu-Ni ; AU ; 42 ; ira7774 ; 257 
 1805 ; 1 рубль ; 1984 ; 125 лет со дня рождения А.С.По ; Cu-Ni ; AU ; 12 ; ira7774 ; 208 
 1806 ; 1 рубль ; 1980 ; Олимпиада 80.Здание Моссовета ; Cu-Ni ; AU ; 31 ; evgen33 ; 32 
 1807 ; 1 рубль ; 1982 ; 60 лет образования СССР ; Cu-Ni ; AU ; 18 ; Идеал ; 133 
 1808 ; 1 рубль ; 1983 ; 165 лет со дня рождения К.Марк ; Cu-Ni ; AU ; 30 ; Идеал ; 180 
 1809 ; 1 рубль ; 1983 ; 20 лет полета в космос В.Тереш ; Cu-Ni ; AU ; 10 ; ira7774 ; 208 
 1810 ; 1 рубль ; 1983 ; 400 лет со дня смерти И.Федоро ; Cu-Ni ; AU ; 5 ; Идеал ; 108 
 1811 ; 5 рублей ; 1989 ; Ансамбль Регистан в Самарканде ; Cu-Ni ; AU ; 21 ; max-(666) ; 108 
 1812 ; 1 рубль ; 1978 ; Олимпиада 80.Московский Кремль ; Cu-Ni ; AU ; 11 ; scop ; 68 
 1813 ; 1 рубль ; 1978 ; Олимпиада 80.Московский Кремль ; Cu-Ni ; AU ; 7 ; ask ; 23 
 1814 ; 1 рубль ; 1978 ; Олимпиада 80.Московский Кремль ; Cu-Ni ; AU ; 21 ; scop ; 32 
 1815 ; 1 рубль. Ошибка на циферблате часов, вместо IV часов VI ; 1978 ; Олимпиада 80.Московский Кремль ; Cu-Ni ; AU ; 11 ; Al0851 ; 90 
 1816 ; 1 рубль ; 1978 ; Олимпиада 80.Московский Кремль ; Cu-Ni ; AU ; 8 ; rmiller ; 23 
 1817 ; 1 рубль ; 1980 ; Олимпиада 80.Здание Моссовета ; Cu-Ni ; AU ; 11 ; scop ; 25 
 1818 ; 1 рубль ; 1987 ; 70 лет Октябрьской революции ; Cu-Ni ; AU ; 13 ; kraizer ; 55 
 1819 ; 1 рубль ; 1987 ; 175 лет Бородино (барельеф) ; Cu-Ni ; AU ; 44 ; scop ; 59 
 1820 ; 1 рубль ; 1988 ; 160 лет со дня рождения А.Н.То ; Cu-Ni ; AU ; 49 ; Al0851 ; 62 
 1821 ; 1 рубль ; 1988 ; 120 лет со дня рождения А.М.Го ; Cu-Ni ; AU ; 12 ; max-(666) ; 30 
 1822 ; 1 рубль ; 1988 ; 120 лет со дня рождения А.М.Го ; Cu-Ni ; AU ; 32 ; scop ; 32 
 1823 ; 1 рубль ; 1990 ; 130 лет со дня рождения А.П.Че ; Cu-Ni ; AU ; 18 ; scop ; 57 
 1824 ; 1 рубль ; 1991 ; 550 лет со дня рождения А.Наво ; Cu-Ni ; AU ; 15 ; piron ; 58 
 1825 ; 5 рублей ; 1988 ; Памятник в Новгороде "Тысячеле ; Cu-Ni ; AU ; 27 ; Идеал ; 138 
 1826 ; 5 рублей ; 1988 ; Памятник Петру I в Ленинграде ; Cu-Ni ; AU ; 10 ; ira7774 ; 125 
 1827 ; 5 рублей ; 1989 ; Ансамбль Регистан в Самарканде ; Cu-Ni ; AU ; 33 ; max-(666) ; 106 
 1828 ; 5 рублей ; 1990 ; Успенский собор в Москве ; Cu-Ni ; AU ; 21 ; max-(666) ; 64 
 1829 ; 5 рублей ; 1991 ; Архангельский собор в Москве ; Cu-Ni ; AU ; 28 ; kkait ; 102 
 1830 ; 3 рубля ; 1989 ; Землятресение в Армении ; Cu-Ni ; AU ; 26 ; ira7774 ; 100 
 1831 ; 1 рубль ; 1970 ; 100 лет со дня рождения В.И.Ле ; Cu-Ni ; VF+ ; 12 ; scop ; 20 
 1832 ; 1 рубль ; 1980 ; Олимпиада 80.Олимпийский факел ; Cu-Ni ; AU ; 3 ; scop ; 41 
 1833 ; 1 рубль ; 1980 ; Олимпиада 80.Здание Моссовета ; Cu-Ni ; AU ; 21 ; piron ; 561 
 1834 ; 1 рубль ; 1985 ; 115 лет со дня рождения В.И.Ле ; Cu-Ni ; AU ; 18 ; ira7774 ; 204 
 1835 ; 1 рубль ; 1991 ; 125 лет со дня рождения П.Н.Ле ; Cu-Ni ; AU ; 51 ; piron ; 102 
 1836 ; 1 рубль ; 1990 ; 500 лет со дня рождения Ф.Скор ; Cu-Ni ; AU ; 47 ; ira7774 ; 79 
 1837 ; 1 рубль ; 1988 ; 120 лет со дня рождения А.М.Го ; Cu-Ni ; AU ; 21 ; scop ; 40 
 1738 ; 3 рубля. Упаковка ; 1993 ; 50 лет победы в Сталинградской ; Cu-Ni ; Unc ; 10 ; Dave ; 161 
 1739 ; 3 рубля. Упаковка ; 1994 ; 50 лет прорыва блокады Ленингр ; Cu-Ni ; Proof ; 45 ; hugo ; 510 
 1740 ; 3 рубля ; 1993 ; 50 лет освобождения Киева ; Cu-Ni ; Proof ; 28 ; AIK60 ; 211 
 1741 ; 3 рубля. Упаковка ; 1993 ; 50 лет победы на Курской дуге ; Cu-Ni ; Proof ; 13 ; Dave ; 201 
 1742 ; 3 рубля. Упаковка ; 1993 ; 50 лет победы на Курской дуге ; Cu-Ni ; Unc ; 15 ; crazybober ; 204 
 1743 ; 3 рубля ; 1995 ; Капитуляция Германии ; Cu-Ni ; Proof ; 12 ; kvm64 ; 332 
 1744 ; 3 рубля. Упаковка ; 1987 ; 70 лет Октябрьской революции ; Cu-Ni ; Proof ; 25 ; Танзан ; 141 
 1745 ; 3 рубля ; 1992 ; 750 лет победы А.Невского ; Cu-Ni ; Proof ; 28 ; Dave ; 208 
 1746 ; 3 рубля. Упаковка ; 1992 ; 750 лет победы А.Невского ; Cu-Ni ; Unc ; 36 ; solder13 ; 204 
 1747 ; 3 рубля. Упаковка ; 1992 ; Международный год космоса ; Cu-Ni ; Proof ; 27 ; kkait ; 208 
 1748 ; 3 рубля. Упаковка ; 1992 ; "19-21 августа" ; Cu-Ni ; Unc ; 14 ; hellraiser ; 212 
 1749 ; 3 рубля. Упаковка ; 1994 ; Партизаны в ВОВ ; Cu-Ni ; Proof ; 47 ; kvm64 ; 357 
 1750 ; 3 рубля. Упаковка ; 1992 ; "Северный конвой" ; Cu-Ni ; Proof ; 23 ; zuuz ; 381 
 1751 ; 3 рубля. Упаковка ; 1991 ; 50 лет победы под Москвой ; Cu-Ni ; Unc ; 24 ; max-(666) ; 104 
 1752 ; 3 рубля. Упаковка ; 1989 ; Землятресение в Армении ; Cu-Ni ; Proof ; 24 ; zenith_ka ; 116 
 1753 ; 1 рубль. Упаковка ; 1990 ; 500 лет со дня рождения Ф.Скор ; Cu-Ni ; Proof ; 34 ; kkait ; 110 
 1754 ; 1 рубль ; 1989 ; 175 лет со дня рождения Т.Г.Ше ; Cu-Ni ; Proof ; 35 ; vova4244 ; 102 
 1755 ; 1 рубль. Упаковка ; 1991 ; 101 год со дня рождения К.В.Ив ; Cu-Ni ; Proof ; 36 ; ira7774 ; 250 
 1756 ; 1 рубль. Упаковка ; 1991 ; 101 год со дня рождения К.В.Ив ; Cu-Ni ; Unc ; 25 ; solder13 ; 128 
 1757 ; 1 рубль. Упаковка ; 1990 ; 130 лет со дня рождения А.П.Че ; Cu-Ni ; Proof ; 29 ; ira7774 ; 57 
 1758 ; 1 рубль. Упаковка ; 1988 ; 120 лет со дня рождения А.М.Го ; Cu-Ni ; Proof ; 42 ; bcs ; 158 
 1759 ; 1 рубль. Упаковка ; 1991 ; 550 лет со дня рождения А.Наво ; Cu-Ni ; Proof ; 49 ; Oficer 91 ; 100 
 1760 ; 1 рубль. Упаковка ; 1991 ; Махтумкули ; Cu-Ni ; Proof ; 32 ; ira7774 ; 250 
 1761 ; 1 рубль. Упаковка ; 1989 ; 100 лет со дня смерти Эминеску ; Cu-Ni ; Proof ; 17 ; Oficer 91 ; 765 
 1762 ; 1 рубль. Упаковка ; 1991 ; 125 лет со дня рождения П.Н.Ле ; Cu-Ni ; Proof ; 7 ; piron ; 102 
 1763 ; 1 рубль. Упаковка ; 1989 ; 175 лет со дня рождения М.Ю.Ле ; Cu-Ni ; Proof ; 17 ; ask ; 102 
 1764 ; 1 рубль. Упаковка ; 1991 ; 100 лет со дня рождения С.Прок ; Cu-Ni ; Proof ; 11 ; ira7774 ; 203 
 1765 ; 1 рубль. Упаковка ; 1991 ; 850 лет со дня рождения Низами ; Cu-Ni ; Proof ; 64 ; ira7774 ; 204 
 1766 ; 1 рубль. Упаковка ; 1989 ; 175 лет со дня рождения М.Ю.Ле ; Cu-Ni ; Proof ; 63 ; vladzory ; 146 
 1767 ; 1 рубль. Упаковка ; 1989 ; 150 лет со дня рождения М.П.Му ; Cu-Ni ; Proof ; 7 ; ira7774 ; 108 
 1768 ; 1 рубль. Упаковка ; 1990 ; 150 лет со дня рождения П.И.Ча ; Cu-Ni ; Proof ; 45 ; vova4244 ; 110 
 1769 ; 1 рубль. Упаковка ; 1989 ; 100 лет со дня рождения Ниязи ; Cu-Ni ; Proof ; 10 ; ira7774 ; 200 
 1770 ; 1 рубль. Упаковка ; 1990 ; Маршал СССР Г.К.Жуков ; Cu-Ni ; Proof ; 27 ; dimass70 ; 194 
 1771 ; 1 рубль. Упаковка ; 1990 ; Маршал СССР Г.К.Жуков ; Cu-Ni ; Proof ; 32 ; bcs ; 193 
 1772 ; 1 рубль. Упаковка ; 1993 ; 130 лет со дня рождения В.И.Ве ; Cu-Ni ; Proof ; 13 ; dimass70 ; 205 
 1773 ; 1 рубль. Упаковка ; 1993 ; 130 лет со дня рождения В.И.Ве ; Cu-Ni ; Unc ; 19 ; shiraliv ; 204 
 1774 ; 1 рубль. Упаковка ; 1991 ; 125 лет со дня рождения П.Н.Ле ; Cu-Ni ; Proof ; 81 ; Танзан ; 152 
 1775 ; 1 рубль. Упаковка ; 1990 ; 125 лет со дня рождения Я.Райн ; Cu-Ni ; Proof ; 30 ; zenith_ka ; 123 
 1776 ; 1 рубль. Упаковка ; 1992 ; "Суверенитет, демократия, возр ; Cu-Ni ; Proof ; 26 ; Borix ; 296 
 1777 ; 1 рубль. Упаковка ; 1992 ; 110 лет со дня рождения Я.Купа ; Cu-Ni ; Proof ; 31 ; AIK60 ; 212 
 1778 ; 1 рубль. Упаковка ; 1987 ; 175 лет Бородино (обелиск) ; Cu-Ni ; Proof ; 49 ; Oficer 91 ; 153 
 1779 ; 1 рубль. Упаковка ; 1987 ; 175 лет Бородино (барельеф) ; Cu-Ni ; Proof ; 20 ; klimvita ; 99 
 1780 ; 1 рубль. Упаковка ; 1992 ; 200 лет со дня рождения Н.И.Ло ; Cu-Ni ; Proof ; 13 ; kvm64 ; 259 
 1781 ; 1 рубль. Упаковка ; 1993 ; 100 лет со дня рождения В.В.Ма ; Cu-Ni ; Unc ; 75 ; Ю42 ; 517 
 1782 ; 1 рубль. Упаковка ; 1992 ; 110 лет со дня рождения Я.Кола ; Cu-Ni ; Proof ; 23 ; strestas ; 265 
 1783 ; 1 рубль ; 1992 ; 110 лет со дня рождения Я.Кола ; Cu-Ni ; AU ; 7 ; hugo ; 259 
 1784 ; 1 рубль. Упаковка ; 1993 ; 250 лет со дня рождения Г.Р.Де ; Cu-Ni ; Unc ; 39 ; igor_r65 ; 347 
 1785 ; 1 рубль. Упаковка ; 1993 ; 100 лет со дня рождения К.Л.Ти ; Cu-Ni ; Unc ; 14 ; hellraiser ; 500 
 1786 ; 1 рубль. Упаковка ; 1991 ; Олимпиада в Барселоне. Бег ; Cu-Ni ; Proof ; 36 ; Masik ; 663 
 1787 ; 1 рубль. Упаковка ; 1991 ; Олимпиада в Барселоне.Велосипе ; Cu-Ni ; Proof ; 56 ; vova4244 ; 1249 
 1688 ; 10 копеек ; 1927 ;  ; Ag ; AU ; 54 ; ВВС ; 153 
 1689 ; 10 копеек ; 1927 ;  ; Ag ; XF ; 73 ; МОЁ ; 108 
 1690 ; 10 копеек ; 1928 ;  ; Ag ; XF+ ; 37 ; Javad ; 123 
 1691 ; 10 копеек ; 1929 ;  ; Ag ; XF ; 36 ; 13 ; 71 
 1692 ; 10 копеек ; 1930 ;  ; Ag ; AU ; 33 ; shyryp... ; 150 
 1693 ; 10 копеек ; 1930 ;  ; Ag ; VF-XF ; 43 ; faga2003 ; 58 
 1694 ; 10 копеек ; 1930 ;  ; Ag ; VF-XF ; 16 ; Dom Perignon ; 51 
 1695 ; 5 копеек ; 1924 ; Гурт гладкий ; Cu ; VF-XF ; 33 ; sk57 ; 1019 
 1696 ; 3 копейки ; 1924 ; Гурт гладкий ; Cu ; VF+ ; 47 ; coin17 ; 638 
 1697 ; 3 копейки ; 1924 ; Гурт гладкий ; Cu ; F+ ; 27 ; Dom Perignon ; 46 
 1698 ; 3 копейки ; 1924 ; Гурт гладкий ; Cu ; F ; 25 ; valsv ; 46 
 1699 ; 2 копейки ; 1924 ; Гурт рубчатый ; Cu ; VF-XF ; 31 ; sk57 ; 800 
 1700 ; 2 копейки ; 1924 ; Гурт рубчатый ; Cu ; F+ ; 9 ; valsv ; 21 
 1701 ; 2 копейки ; 1924 ; Гурт рубчатый ; Cu ; F+ ; 22 ; valsv ; 33 
 1702 ; 1 копейка ; 1924 ; Гурт рубчатый ; Cu ; XF+ ; 41 ; Идеал ; 1122 
 1703 ; 1 копейка ; 1924 ; Гурт рубчатый ; Cu ; VF-XF ; 28 ; Танзан ; 630 
 1704 ; 1 копейка ; 1924 ; Гурт рубчатый ; Cu ; F-VF ; 21 ; Rober ; 21 
 1705 ; 1 копейка ; 1924 ; Гурт рубчатый ; Cu ; F-VF ; 23 ; Rober ; 21 
 1706 ; 1 копейка ; 1924 ; Гурт рубчатый ; Cu ; F-VF ; 12 ; solder13 ; 25 
 1707 ; 1 копейка ; 1924 ; Гурт рубчатый ; Cu ; F+ ; 29 ; valsv ; 41 
 1708 ; Полкопейки ; 1925 ;  ; Cu ; VF+ ; 18 ; Танзан ; 623 
 1709 ; Полкопейки ; 1925 ;  ; Cu ; VF- ; 52 ; @@@ ; 179 
 1710 ; Полкопейки ; 1925 ;  ; Cu ; F+ ; 15 ; Dom Perignon ; 183 
 1711 ; Полкопейки ; 1927 ;  ; Cu ; XF+ ; 36 ; ZOLTAN333 ; 663 
 1712 ; 1 рубль ; 1986 ; Международный год мира.В рубле ; Cu-Ni ; AU ; 53 ; baa18 ; 512 
 1713 ; 5 копеек ; 1934 ; Тувинская Народная Республика ;  ; VF ; 100 ; МОЁ ; 6637 
 1714 ; 5 копеек ; 1929 ;  ; Br ; VF ; 22 ; pixel ; 550 
 1715 ; 5 копеек ; 1934 ;  ; Br ; F-VF ; 83 ; 13 ; 4162 
 1716 ; 5 копеек ; 1969 ;  ; Cu-Zn ; VF+ ; 48 ; yrik ; 1020 
 1717 ; 5 копеек ; 1972 ;  ; Cu-Zn ; AU ; 71 ; yrik ; 2372 
 1718 ; 1 копейка ; 1930 ;  ; Br ; VF-XF ; 15 ; mic61 ; 513 
 1719 ; 5 рублей. Упаковка ; 1991 ; Здание Госбанка СССР в Москве ; Cu-Ni ; Proof ; 12 ; zuuz ; 141 
 1720 ; 5 рублей. Упаковка ; 1989 ; Ансамбль Регистан в Самарканде ; Cu-Ni ; Proof ; 18 ; Dave ; 203 
 1721 ; 5 рублей. Упаковка ; 1990 ; Большой дворец в Петродворце ; Cu-Ni ; Proof ; 21 ; ira7774 ; 373 
 1722 ; 5 рублей. Упаковка ; 1991 ; Архангельский собор в Москве ; Cu-Ni ; Proof ; 13 ; ira7774 ; 296 
 1723 ; 5 рублей. Упаковка ; 1990 ; Успенский собор в Москве ; Cu-Ni ; Proof ; 33 ; sveta6369 ; 122 
 1724 ; 5 рублей. Упаковка ; 1988 ; Памятник Петру I в Ленинграде ; Cu-Ni ; Proof ; 14 ; bau-bai ; 255 
 1725 ; 5 рублей. Упаковка ; 1989 ; Собор Покрова на рву в Москве ; Cu-Ni ; Proof ; 21 ; ira7774 ; 388 
 1726 ; 5 рублей. Упаковка ; 1989 ; Благовещенский собор в Москве ; Cu-Ni ; Proof ; 14 ; ira7774 ; 296 
 1727 ; 5 рублей. Упаковка ; 1993 ; Сергиев Пасад ; Cu-Ni ; Proof ; 47 ; Oficer 91 ; 399 
 1728 ; 5 рублей. Упаковка ; 1991 ; Архангельский собор в Москве ; Cu-Ni ; Proof ; 18 ; sveta6369 ; 156 
 1729 ; 5 рублей. Упаковка ; 1988 ; Памятник в Новгороде "Тысячеле ; Cu-Ni ; Proof ; 16 ; kkait ; 209 
 1730 ; 5 рублей. Упаковка ; 1988 ; Софийский собор в Киеве ; Cu-Ni ; Proof ; 18 ; bau-bai ; 255 
 1731 ; 5 рублей. Упаковка ; 1988 ; Памятник в Новгороде "Тысячеле ; Cu-Ni ; Proof ; 18 ; zuuz ; 230 
 1732 ; 5 рублей. Упаковка ; 1991 ; Памятник Давиду Сасунскому в Е ; Cu-Ni ; Proof ; 22 ; bau-bai ; 297 
 1733 ; 5 рублей. Упаковка ; 1991 ; Памятник Давиду Сасунскому в Е ; Cu-Ni ; Unc ; 32 ; ira7774 ; 219 
 1734 ; 5 рублей. Упаковка ; 1990 ; Матенадаран.Ереван ; Cu-Ni ; Proof ; 26 ; bcs ; 138 
 1735 ; 3 рубля. Упаковка ; 1991 ; 50 лет победы под Москвой ; Cu-Ni ; Proof ; 8 ; chekist ; 118 
 1736 ; 3 рубля. Упаковка ; 1991 ; 50 лет победы под Москвой ; Cu-Ni ; Proof ; 24 ; Oficer 91 ; 120 
 1737 ; 3 рубля. Упаковка ; 1993 ; 50 лет победы в Сталинградской ; Cu-Ni ; Proof ; 11 ; Идеал ; 157 
 1638 ; Один полтинник ; 1925 ; (ПЛ 9 грамм) ; Ag ; VF+ ; 8 ; evgen33 ; 285 
 1639 ; Один полтинник ; 1925 ; (ПЛ 9 грамм) ; Ag ; F-VF ; 16 ; motorist68 ; 191 
 1640 ; Один полтинник ; 1926 ; (ПЛ 9 грамм) ; Ag ; XF ; 97 ; mic61 ; 290 
 1641 ; Один полтинник ; 1926 ; (ПЛ 9 грамм) ; Ag ; VF+ ; 39 ; Zaratus ; 352 
 1642 ; Один полтинник ; 1926 ; (ПЛ 9 грамм) ; Ag ; VF ; 36 ; Юджин ; 278 
 1643 ; 20 копеек ; 1923 ;  ; Ag ; XF+ ; 69 ; dimass70 ; 113 
 1644 ; 20 копеек ; 1923 ;  ; Ag ; XF- ; 59 ; Bur11 ; 65 
 1645 ; 20 копеек ; 1923 ;  ; Ag ; VF- ; 27 ; Dom Perignon ; 49 
 1646 ; 20 копеек ; 1923 ;  ; Ag ; VF- ; 51 ; Dom Perignon ; 50 
 1647 ; 20 копеек ; 1924 ;  ; Ag ; XF+ ; 45 ; mic61 ; 116 
 1648 ; 20 копеек ; 1925 ;  ; Ag ; AU ; 43 ; shyryp... ; 205 
 1649 ; 20 копеек ; 1925 ;  ; Ag ; VF-XF ; 19 ; Dom Perignon ; 54 
 1650 ; 20 копеек ; 1925 ;  ; Ag ; VF- ; 16 ; asternox ; 35 
 1651 ; 20 копеек ; 1927 ;  ; Ag ; AU ; 30 ; mic61 ; 163 
 1652 ; 20 копеек ; 1927 ;  ; Ag ; XF+ ; 43 ; mic61 ; 123 
 1653 ; 20 копеек ; 1928 ;  ; Ag ; AU ; 30 ; E68 ; 108 
 1654 ; 20 копеек ; 1928 ;  ; Ag ; XF ; 32 ; alexey_s ; 71 
 1655 ; 20 копеек ; 1928 ;  ; Ag ; VF+ ; 37 ; Dom Perignon ; 55 
 1656 ; 20 копеек ; 1929 ;  ; Ag ; AU ; 37 ; en_ssw ; 153 
 1657 ; 20 копеек ; 1929 ;  ; Ag ; XF- ; 32 ; faga2003 ; 57 
 1658 ; 20 копеек ; 1929 ;  ; Ag ; VF-XF ; 26 ; Dom Perignon ; 43 
 1659 ; 20 копеек ; 1930 ;  ; Ag ; AU ; 55 ; Кувалдо ; 104 
 1660 ; 20 копеек ; 1930 ;  ; Ag ; AU ; 51 ; ZOLTAN333 ; 104 
 1661 ; 20 копеек ; 1930 ;  ; Ag ; XF+ ; 11 ; Dom Perignon ; 49 
 1662 ; 20 копеек ; 1930 ;  ; Ag ; XF+ ; 30 ; faga2003 ; 48 
 1663 ; 20 копеек ; 1930 ;  ; Ag ; XF+ ; 40 ; Dom Perignon ; 49 
 1664 ; 20 копеек ; 1930 ;  ; Ag ; VF+ ; 25 ; Al0851 ; 53 
 1665 ; 15 копеек ; 1923 ;  ; Ag ; VF+ ; 76 ; егерь ; 517 
 1666 ; 15 копеек ; 1923 ;  ; Ag ; VF+ ; 29 ; Танзан ; 123 
 1667 ; 15 копеек ; 1924 ;  ; Ag ; VF+ ; 40 ; МОЁ ; 93 
 1668 ; 15 копеек ; 1925 ;  ; Ag ; XF ; 24 ; mic61 ; 71 
 1669 ; 15 копеек ; 1925 ;  ; Ag ; XF ; 58 ; mic61 ; 82 
