 5909 ; Бона иностранная Бразилия ;  ;  ;  ;  ; 5 ; aleksander2015 ; 36 
 1689 ; 10 копеек ; 1956 ; В венке герба 16 лент ; Ni ; XF+ ; 19 ; ZET ; 102 
 1690 ; 10 копеек ; 1957 ; В венке герба 15 лент ; Ni ; AU ; 29 ; Zubrstroy ; 313 
 1691 ; 5 копеек ; 1957 ; В венке герба 15 лент ; Br ; VF-XF ; 17 ; ТираН ; 151 
 1692 ; 5 копеек ; 1930 ;  ; Br ; VF ; 12 ; killer777 ; 53 
 1693 ; 5 копеек ; 1949 ;  ; Br ; VF ; 19 ; ТираН ; 311 
 1694 ; 3 копейки ; 1962 ;  ; Cu-Zn ; F-VF ; 48 ; kica ; 397 
 1695 ; 2 копейки ; 1957 ; В венке герба 15 лент ; Br ; XF ; 17 ; ТираН ; 216 
 1696 ; Жетон Вагон тип "И" ("Идеальный"). Буклет ;  ;  ; Ж/м ; AU ; 23 ; fantastika ; 2346 
 1697 ; Жетон Вагон тип "А". Буклет ;  ;  ; Ж/м ; AU ; 35 ; fantastika ; 2267 
 1698 ; Жетон Вагон тип "НеВа". Буклет ;  ;  ; Ж/м ; AU ; 24 ; sotnik ; 2300 
 1699 ; Жетон Вагон тип "A". Буклет ;  ;  ; Ж/м ; AU ; 27 ; sotnik ; 2300 
 1700 ; Жетон Вагон тип "B". Буклет ;  ;  ; Ж/м ; AU ; 43 ; sotnik ; 2400 
 1701 ; Набор монет России "70 лет Победы" (3шт): 10 рублей. В буклете ; 2015 ;  ; би/м ; AU ; 21 ; Ev_geniy ; 150 
 1702 ; Набор монет России "Вхождение в состав РФ респ.Крым и Севастополя" (4шт): 10 рублей, 5,1коп. В буклете ; 2014 ;  ; St/Ni,St/Лат ; AU ; 39 ; Ustin ; 234 
 1703 ; 1 рубль. Графическое изображение рубля. Альбом ; 2014 ;  ; St/Ni ; AU ; 15 ; POUL ; 51 
 1704 ; 1 рубль. Графическое изображение рубля. Альбом ; 2014 ;  ; St/Ni ; AU ; 7 ; POUL ; 51 
 1705 ; Набор монет "Вхождение в состав РФ республики Крым и города Севастополя" (2шт): 10 рублей ; 2014 ;  ; Лат/St ; AU ; 28 ; POUL ; 69 
 1706 ; Набор монет "Вхождение в состав РФ республики Крым и города Севастополя" (2шт): 10 рублей ; 2014 ;  ; Лат/St ; AU ; 22 ; POUL ; 70 
 1707 ; Набор монет "Вхождение в состав РФ республики Крым и города Севастополя" (2шт): 10 рублей ; 2014 ;  ; Лат/St ; AU ; 25 ; Звездолёты ; 187 
 1708 ; Альбом монет Банка России (Крым, Севастополь): 10 руб (2шт) ; 2014 ;  ; Лат/St ; AU ; 9 ; cr2952 ; 90 
 1709 ; Альбом монет Банка России (Крым, Севастополь): 10 руб (2шт) ; 2014 ;  ; Лат/St ; AU ; 9 ; cr2952 ; 90 
 1710 ; Альбом монет Банка России (Крым, Севастополь): 10 руб (2шт) ; 2014 ;  ; Лат/St ; AU ; 9 ; cr2952 ; 90 
 1711 ; Альбом монет Банка России (70 лет победы): 10 руб (3шт) ; 2015 ;  ; Би/м ; AU ; 12 ; zsefvg ; 133 
 1712 ; Альбом монет Банка России (70 лет победы): 10 руб (3шт) ; 2015 ;  ; Би/м ; AU ; 11 ; cr2952 ; 130 
 1713 ; Альбом монет Банка России (70 лет победы): 10 руб (3шт) ; 2015 ;  ; Би/м ; AU ; 11 ; cr2952 ; 130 
 1714 ; Набор монет Банка России: 10,50,1,2,5,10 рублей (7шт)+жетон. 50 лет первого полета человека в космос. В буклете ; 2011 ;  ; Ni/St,St/Лат,ж/ ; AU ; 22 ; molodes ; 1590 
 1715 ; Альбом монет Банка России (Сочи-2014): 25 руб (7шт) + банкнота ; 2011-2014 ;  ; Cu-Ni ; AU ; 26 ; kostyuksa ; 648 
 1716 ; Юбилейный набор монетовидных жетонов Арктикуголь. Шпицберген. : 50,20,15,10 копеек (4шт) + жетон. Буклет ; СПМД ;  ; Б/м,ж/м ; AU ; 44 ; suite46 ; 4331 
 1717 ; Набор монет Арктикуголь. Шпицберген. : 100,50,25,10 рублей (4шт). Буклет ; 1993 ;  ;  ; VF-XF ; 77 ; Mikl2015 ; 1587 
 1718 ; Альбом монет Банка России (200 лет Отечественной войне 1812г): 10,5,2 руб (28шт) ; 2012 ;  ; Ni/St,Лат/St ; AU ; 39 ; B612 ; 509 
 1719 ; Альбом монет Банка России (200 лет Отечественной войне 1812г): 10,5,2 руб (28шт) ; 2012 ;  ; Ni/St,Лат/St ; AU ; 29 ; TiBuL ; 408 
 1720 ; Альбом монет Банка России (Cочи-2014): 25 руб (4шт). Буклет ;  ;  ; Cu-Ni ; AU ; 23 ; sonegr ; 355 
 1721 ; Альбом монет Банка России: 25 руб (4шт) + бона ;  ;  ; Cu-Ni ; AU ; 22 ; Вини- ; 368 
 1722 ; Альбом монет Банка России (70 лет победы): 5 руб (18шт). Буклет ; 2014 ;  ; Ni/St ; AU ; 47 ; POUL ; 912 
 1623 ; 2 копейки ; 1970 ;  ; Cu-Zn ; AU ; 60 ; fantastika ; 347 
 1624 ; 2 копейки ; 1968 ;  ; Cu-Zn ; VF-XF ; 8 ; konstk2 ; 53 
 1625 ; 1 копейка ; 1927 ;  ; Br ; VF ; 28 ; atchaikovski ; 400 
 1626 ; 1 копейка ; 1931 ;  ; Br ; VF ; 66 ; pissimist ; 612 
 1627 ; 1 копейка ; 1934 ;  ; Br ; XF ; 33 ; atchaikovski ; 578 
 1628 ; 1 копейка ; 1937 ;  ; Br ; VF-XF ; 29 ; lva08 ; 408 
 1629 ; 1 копейка ; 1938 ;  ; Br ; XF ; 38 ; ТираН ; 408 
 1630 ; 1 копейка ; 1940 ;  ; Br ; XF ; 32 ; ТираН ; 408 
 1631 ; 1 копейка ; 1949 ;  ; Br ; VF+ ; 8 ; konstk2 ; 53 
 1632 ; 1 копейка ; 1952 ;  ; Br ; AU ; 25 ; kostyuksa ; 284 
 1633 ; 1 копейка ; 1957 ; В венке герба 15 лент ; Br ; AU ; 27 ; kostyuksa ; 227 
 1634 ; 1 копейка ; 1965 ;  ; Cu-Zn ; AU ; 19 ; fantastika ; 159 
 1635 ; 1 рубль ; 1984 ;  ; Cu-Ni ; AU ; 40 ; rolan1 ; 447 
 1636 ; 1 рубль ; 1985 ;  ; Cu-Ni ; AU ; 46 ; ОСА ; 525 
 1637 ; 1 рубль ; 1991 ; ММД ; Cu-Ni ; AU ; 42 ; Nic26 ; 469 
 1638 ; 1 рубль ; 1991 ; ЛМД ; Cu-Ni ; AU ; 43 ; rolan1 ; 450 
 1639 ; 50 копеек ; 1965 ;  ; Cu-Ni ; AU ; 87 ; rolan1 ; 2557 
 1640 ; 50 копеек ; 1966 ;  ; Cu-Ni ; AU ; 70 ; rolan1 ; 380 
 1641 ; 50 копеек ; 1968 ;  ; Cu-Ni ; AU ; 51 ; fantastika ; 347 
 1642 ; 50 копеек ; 1969 ;  ; Cu-Ni ; AU ; 78 ; slavenius ; 625 
 1643 ; 50 копеек ; 1973 ;  ; Cu-Ni ; VF ; 28 ; trio ; 514 
 1644 ; 50 копеек ; 1982 ;  ; Cu-Ni ; XF ; 3 ; konstk2 ; 102 
 1645 ; 50 копеек ; 1985 ;  ; Cu-Ni ; XF ; 7 ; konstk2 ; 102 
 1646 ; 50 копеек ; 1978 ;  ; Cu-Ni ; VF+ ; 21 ; konstk2 ; 255 
 1647 ; 50 копеек ; 1979 ;  ; Cu-Ni ; VF ; 46 ; konstk2 ; 770 
 1648 ; 20 копеек ; 1952 ;  ; Ni ; VF-XF ; 18 ; cr2952 ; 65 
 1649 ; 15 копеек ; 1936 ;  ; Ni ; XF ; 22 ; мон ; 374 
 1650 ; 15 копеек ; 1956 ;  ; Ni ; XF ; 42 ; spyder2000 ; 135 
 1651 ; 15 копеек ; 1957 ; В венке герба 15 лент ; Ni ; XF ; 24 ; slavenius ; 215 
 1652 ; 10 копеек ; 1931 ;  ; Ni ; VF-XF ; 99 ; Александр007 ; 931 
 1653 ; 10 копеек ; 1934 ;  ; Ni ; F-VF ; 83 ; atchaikovski ; 2766 
 1654 ; 10 копеек ; 1941 ;  ; Ni ; XF ; 58 ; Алекс61 ; 775 
 1655 ; 10 копеек ; 1950 ;  ; Ni ; VF-XF ; 26 ; kostyuksa ; 348 
 1656 ; 50 копеек ; 1977 ;  ; Cu-Ni ; XF ; 14 ; cr2952 ; 290 
 1657 ; 15 копеек ; 1977 ;  ; Cu-Ni ; AU ; 17 ; rolan1 ; 297 
 1658 ; 10 копеек ; 1977 ;  ; Cu-Ni ; AU ; 12 ; cr2952 ; 170 
 1659 ; 20 копеек ; 1991 ; ММД ; Cu-Ni ; XF ; 11 ; akula ; 296 
 1660 ; 1 рубль ; 1989 ;  ; Cu-Ni ; AU ; 15 ; fotograf ; 309 
 1661 ; 20 копеек. Упаковка ; 1989 ;  ; Cu-Ni ; AU ; 20 ; cr2952 ; 190 
 1662 ; 10 копеек. Упаковка ; 1989 ;  ; Cu-Ni ; AU ; 12 ; cr2952 ; 180 
 1663 ; 1 копейка. Упаковка ; 1989 ;  ; Cu-Zn ; AU ; 11 ; cr2952 ; 170 
 1664 ; 3 копейки ; 1991 ; ММД ; Cu-Zn ; AU ; 11 ; cr2952 ; 340 
 1665 ; 5 копеек ; 1977 ;  ; Cu-Zn ; XF ; 12 ; cr2952 ; 222 
 1666 ; 3 копейки ; 1969 ;  ; Cu-Zn ; VF ; 22 ; suite46 ; 226 
 1667 ; 100 рублей ; 1993 ; ЛМД Белый металл ; Cu-Ni ; AU ; 14 ; cr2952 ; 120 
 1668 ; 1 рубль ; 1985 ;  ; Cu-Ni ; XF+ ; 26 ; rolan1 ; 439 
 1669 ; 20 копеек ; 1954 ;  ; Ni ; XF ; 28 ; EAL34 ; 211 
 1670 ; 20 копеек ; 1936 ; Л/с звезда плоская ; Ni ; XF- ; 18 ; Yar42 ; 100 
 1671 ; 15 копеек ; 1936 ;  ; Ni ; XF ; 31 ; ТираН ; 792 
 1672 ; 15 копеек ; 1951 ;  ; Ni ; XF ; 27 ; strutikut ; 678 
 1573 ; 2 копейки ; 1931 ;  ; Br ; VF ; 13 ; EAL34 ; 57 
 1574 ; 1 копейка ; 1949 ;  ; Br ; VF+ ; 15 ; Rober ; 61 
 1575 ; 15 копеек ; 1955 ;  ; Ni ; XF ; 36 ; kostyuksa ; 168 
 1576 ; 15 копеек ; 1956 ;  ; Ni ; XF ; 19 ; spyder2000 ; 72 
 1577 ; 15 копеек ; 1957 ; В венке герба 15 лент ; Ni ; XF ; 28 ; TDV ; 90 
 1578 ; 15 копеек ; 1957 ; В венке герба 15 лент ; Ni ; XF ; 19 ; killer777 ; 58 
 1579 ; 50 рублей ; 1993 ; ЛМД Плакир.сталь ;  ; XF+ ; 3 ; sрb ; 33 
 1580 ; 2 копейки ; 1938 ;  ; Br ; F-VF ; 12 ; мон ; 33 
 1581 ; 5 копеек ; 1955 ;  ; Br ; F ; 13 ; antikarlo ; 32 
 1582 ; 15 копеек ; 1957 ; В венке герба 15 лент ; Ni ; XF ; 10 ; sрb ; 33 
 1583 ; 50 рублей ; 1993 ; ММД Плакир.сталь ;  ; AU ; 39 ; RAMA ; 258 
 1584 ; 100 рублей ; 1993 ; ММД Белый металл ; Cu-Ni ; XF ; 16 ; antikarlo ; 39 
 1585 ; 1 рубль ; 1974 ;  ; Cu-Ni ; XF+ ; 36 ; ОСА ; 1503 
 1586 ; 1 рубль ; 1976 ;  ; Cu-Ni ; XF ; 55 ; sgd ; 1497 
 1587 ; 1 рубль ; 1979 ;  ; Cu-Ni ; VF+ ; 78 ; Контрактник ; 1533 
 1588 ; 1 рубль ; 1980 ;  ; Cu-Ni ; VF+ ; 61 ; ooooo1961 ; 2230 
 1589 ; 1 рубль ; 1982 ;  ; Cu-Ni ; XF+ ; 51 ; Ustin ; 1869 
 1590 ; 1 рубль ; 1984 ;  ; Cu-Ni ; XF+ ; 34 ; rom11 ; 410 
 1591 ; 1 рубль ; 1985 ;  ; Cu-Ni ; XF+ ; 50 ; slavenius ; 639 
 1592 ; 50 копеек ; 1990 ;  ; Cu-Ni ; XF+ ; 61 ; rolan1 ; 415 
 1593 ; 20 копеек ; 1936 ; Л/с звезда плоская ; Ni ; VF ; 30 ; TDV ; 116 
 1594 ; 2 копейки ; 1936 ;  ; Br ; VF ; 13 ; ОСА ; 77 
 1595 ; 1 копейка ; 1955 ;  ; Br ; AU ; 24 ; spyder2000 ; 301 
 1596 ; 1 копейка ; 1951 ;  ; Br ; VF ; 67 ; ТираН ; 479 
 1597 ; 1 копейка ; 1940 ;  ; Br ; XF ; 38 ; kostyuksa ; 233 
 1598 ; 20 копеек ; 1957 ; В венке герба 15 лент ; Ni ; XF ; 18 ; wwn ; 138 
 1599 ; 15 копеек ; 1952 ;  ; Ni ; XF- ; 17 ; miranda ; 72 
 1600 ; 15 копеек ; 1957 ; В венке герба 15 лент ; Ni ; XF ; 24 ; killer777 ; 57 
 1601 ; 5 копеек ; 1930 ;  ; Br ; F- ; 11 ; Hromoy ; 70 
 1602 ; 5 копеек ; 1946 ;  ; Br ; VF ; 33 ; geracon2009 ; 70 
 1603 ; 1 копейка ; 1954 ;  ; Br ; VF-XF ; 16 ; fregat ; 69 
 1604 ; 1 копейка ; 1933 ;  ; Br ; F ; 13 ; lva08 ; 152 
 1605 ; 10 копеек ; 1956 ; В венке герба 16 лент ; Ni ; AU ; 18 ; TDV ; 126 
 1606 ; 10 копеек ; 1957 ; В венке герба 15 лент ; Ni ; XF ; 26 ; cr2952 ; 113 
 1607 ; 10 копеек ; 1962 ;  ; Cu-Ni ; AU ; 28 ; диман ; 716 
 1608 ; 5 копеек ; 1940 ;  ; Br ; VF ; 31 ; konstk2 ; 240 
 1609 ; 5 копеек ; 1957 ; В венке герба 15 лент ; Br ; XF ; 17 ; ОСА ; 459 
 1610 ; 5 копеек ; 1955 ;  ; Br ; VF-XF ; 15 ; ОСА ; 227 
 1611 ; 5 копеек ; 1978 ;  ; Cu-Zn ; XF ; 45 ; диман ; 683 
 1612 ; 3 копейки ; 1926 ;  ; Br ; VF ; 28 ; Turist33 ; 510 
 1613 ; 3 копейки ; 1932 ;  ; Br ; VF ; 26 ; atchaikovski ; 227 
 1614 ; 3 копейки ; 1929 ;  ; Br ; VF ; 18 ; lva08 ; 227 
 1615 ; 3 копейки ; 1967 ;  ; Cu-Zn ; AU ; 29 ; fantastika ; 306 
 1616 ; 3 копейки ; 1945 ;  ; Br ; VF- ; 40 ; trio ; 900 
 1617 ; 3 копейки ; 1982 ;  ; Cu-Zn ; AU ; 28 ; диман ; 330 
 1618 ; 3 копейки ; 1983 ;  ; Cu-Zn ; XF ; 9 ; диман ; 53 
 1619 ; 2 копейки ; 1938 ;  ; Br ; VF ; 15 ; tactic ; 120 
 1620 ; 2 копейки ; 1926 ;  ; Br ; VF ; 13 ; ТираН ; 301 
 1621 ; 2 копейки ; 1940 ;  ; Br ; VF ; 20 ; 222211 ; 206 
 1622 ; 2 копейки ; 1949 ;  ; Br ; VF ; 17 ; юрий73 ; 114 
 1523 ; 1 рубль ; 1990 ; 500 лет со дня рождения Ф.Скорины ; Cu-Ni ; Proof ; 27 ; didisister ; 193 
 1524 ; 5 рублей ; 1990 ; Матенадаран.Ереван ; Cu-Ni ; AU ; 13 ; arsenich-s ; 145 
 1525 ; 5 рублей ; 1991 ; Памятник Давиду Сасунскому в Ереване ; Cu-Ni ; AU ; 15 ; 312 ; 148 
 1526 ; 1 рубль ; 1981 ;  ; Cu-Ni ; XF ; 56 ; Запруда ; 2538 
 1527 ; 1 рубль ; 1982 ;  ; Cu-Ni ; XF ; 51 ; ОСА ; 1838 
 1528 ; 1 рубль ; 1983 ;  ; Cu-Ni ; VF-XF ; 47 ; Anykey ; 1700 
 1529 ; 20 копеек ; 1954 ;  ; Ni ; XF- ; 22 ; EAL34 ; 90 
 1530 ; 20 копеек ; 1951 ;  ; Ni ; VF-XF ; 27 ; ТираН ; 252 
 1531 ; 20 копеек ; 1953 ;  ; Ni ; F-VF ; 14 ; апосум ; 62 
 1532 ; 15 копеек ; 1932 ;  ; Ni ; VF- ; 15 ; petrserebr ; 81 
 1533 ; 3 копейки ; 1957 ; В венке герба 15 лент ; Br ; VF- ; 8 ; юрий73 ; 61 
 1534 ; 3 копейки ; 1952 ;  ; Br ; F-VF ; 17 ; shknikolay ; 340 
 1535 ; 3 копейки ; 1936 ; Л/с звезда фигурная ; Br ; F+ ; 10 ; TDV ; 53 
 1536 ; 2 копейки ; 1950 ;  ; Br ; VF- ; 12 ; lva08 ; 53 
 1537 ; 1 копейка ; 1936 ;  ; Br ; F ; 19 ; юрий73 ; 91 
 1538 ; 3 копейки ; 1950 ;  ; Br ; VF- ; 19 ; kostyuksa ; 144 
 1539 ; 1 копейка ; 1936 ;  ; Br ; XF ; 27 ; ТираН ; 463 
 1540 ; 5 копеек ; 1974 ;  ; Cu-Zn ; VF ; 21 ; TDV ; 50 
 1541 ; 5 копеек ; 1946 ;  ; Br ; F-VF ; 14 ; kvs ; 53 
 1542 ; 2 копейки ; 1950 ;  ; Br ; F-VF ; 33 ; kostyuksa ; 119 
 1543 ; 3 копейки ; 1966 ;  ; Cu-Zn ; VF- ; 70 ; lva08 ; 512 
 1544 ; 3 копейки ; 1950 ;  ; Br ; F-VF ; 35 ; kostyuksa ; 150 
 1545 ; 1 копейка ; 1940 ;  ; Br ; F-VF ; 32 ; kostyuksa ; 100 
 1546 ; 2 копейки ; 1963 ;  ; Cu-Zn ; F-VF ; 48 ; lva08 ; 155 
 1547 ; 10 копеек ; 1969 ;  ; Cu-Ni ; F-VF ; 74 ; lva08 ; 340 
 1548 ; 1 копейка ; 1964 ;  ; Cu-Zn ; F-VF ; 28 ; lva08 ; 373 
 1549 ; 20 копеек ; 1932 ;  ; Ni ; VF- ; 18 ; killer777 ; 70 
 1550 ; 1 копейка ; 1957 ; В венке герба 15 лент ; Br ; XF+ ; 32 ; ТираН ; 252 
 1551 ; 10 копеек ; 1933 ;  ; Ni ; VF- ; 41 ; CASABLANCA ; 334 
 1552 ; 1 рубль ; 1984 ;  ; Cu-Ni ; XF+ ; 18 ; ОСА ; 375 
 1553 ; 1 рубль ; 1982 ;  ; Cu-Ni ; AU ; 64 ; ZET ; 3400 
 1554 ; 100 рублей ; 1993 ; ММД Белый металл ; Cu-Ni ; XF+ ; 26 ; lva08 ; 255 
 1555 ; 1 рубль ; 1976 ;  ; Cu-Ni ; AU ; 48 ; rolan1 ; 2594 
 1556 ; 1 рубль ; 1983 ;  ; Cu-Ni ; AU ; 47 ; torbey ; 2520 
 1557 ; 1 рубль ; 1977 ;  ; Cu-Ni ; AU ; 95 ; ОСА ; 2184 
 1558 ; 1 рубль ; 1968 ;  ; Cu-Ni ; AU ; 27 ; marvic ; 1304 
 1559 ; 1 рубль ; 1982 ;  ; Cu-Ni ; AU ; 47 ; torbey ; 2652 
 1560 ; 1 рубль ; 1990 ;  ; Cu-Ni ; XF- ; 14 ; ТираН ; 193 
 1561 ; 1 рубль ; 1991 ; ММД ; Cu-Ni ; XF+ ; 30 ; samos ; 255 
 1562 ; 1 рубль ; 1989 ;  ; Cu-Ni ; XF+ ; 20 ; marvic ; 227 
 1563 ; 1 рубль ; 1988 ;  ; Cu-Ni ; XF ; 8 ; fotograf ; 250 
 1564 ; 50 копеек ; 1991 ; ММД ; Cu-Ni ; XF+ ; 72 ; Nic26 ; 540 
 1565 ; 1 рубль ; 1988 ;  ; Cu-Ni ; XF ; 6 ; fotograf ; 206 
 1566 ; 1 рубль ; 1989 ;  ; Cu-Ni ; XF ; 10 ; fotograf ; 206 
 1567 ; 50 копеек ; 1968 ;  ; Cu-Ni ; VF+ ; 8 ; ТираН ; 90 
 1568 ; 15 копеек ; 1945 ;  ; Ni ; F+ ; 37 ; lva08 ; 305 
 1569 ; 2 копейки ; 1946 ;  ; Br ; VF ; 16 ; miranda ; 73 
 1570 ; 20 копеек ; 1936 ; Л/с звезда плоская ; Ni ; VF+ ; 19 ; TDV ; 104 
 1571 ; 5 копеек ; 1954 ;  ; Br ; F-VF ; 26 ; Sam ; 61 
 1572 ; 3 копейки ; 1940 ;  ; Br ; F-VF ; 21 ; killer777 ; 51 
 1473 ; 1 рубль ; 1990 ; 125 лет со дня рождения Я.Райниса ; Cu-Ni ; XF ; 11 ; ga2012 ; 108 
 1474 ; 1 рубль ; 1987 ; 70 лет Октябрьской революции ; Cu-Ni ; XF ; 25 ; didisister ; 169 
 1475 ; 1 рубль ; 1984 ; 185 лет со дня рождения А.С.Пушкина ; Cu-Ni ; XF ; 33 ; 000SABik ; 357 
 1476 ; 1 рубль ; 1990 ; 130 лет со дня рождения А.П.Чехова ; Cu-Ni ; XF ; 19 ; elist ; 102 
 1477 ; 1 рубль ; 1989 ; 100 лет со дня смерти Эминеску ; Cu-Ni ; XF ; 20 ; klinza ; 169 
 1478 ; 1 рубль ; 1991 ; 100 лет со дня рождения С.Прокофьева ; Cu-Ni ; XF ; 21 ; Magger ; 133 
 1479 ; 1 рубль ; 1989 ; 175 лет со дня рождения Т.Г.Шевченко ; Cu-Ni ; XF ; 13 ; sergey35 ; 108 
 1480 ; 1 рубль ; 1980 ; Олимпиада 80.Олимпийский факел ; Cu-Ni ; VF-XF ; 22 ; Siringa ; 179 
 1481 ; 1 рубль ; 1982 ; 60 лет образования СССР ; Cu-Ni ; XF ; 19 ; 000SABik ; 408 
 1482 ; 1 рубль ; 1987 ; 175 лет Бородино (барельеф) ; Cu-Ni ; XF ; 11 ; ga2012 ; 72 
 1483 ; 1 рубль ; 1980 ; Олимпиада 80.Здание Моссовета ; Cu-Ni ; VF-XF ; 14 ; челкаш ; 81 
 1484 ; 1 рубль ; 1990 ; 500 лет со дня рождения Ф.Скорины ; Cu-Ni ; AU ; 17 ; ga2012 ; 120 
 1485 ; 5 рублей ; 1990 ; Матенадаран.Ереван ; Cu-Ni ; AU ; 33 ; arsenich-s ; 178 
 1486 ; 5 рублей ; 1991 ; Памятник Давиду Сасунскому в Ереване ; Cu-Ni ; AU ; 17 ; 312 ; 150 
 1487 ; 1 рубль ; 1988 ; 160 лет со дня рождения А.Н.Толстого ; Cu-Ni ; AU ; 9 ; sotonn ; 102 
 1488 ; 1 рубль ; 1989 ; 175 лет со дня рождения Т.Г.Шевченко ; Cu-Ni ; AU ; 17 ; Alexsandr ; 133 
 1489 ; 1 рубль ; 1985 ; Фестиваль молодежи и студентов в Москве ; Cu-Ni ; AU ; 14 ; killer777 ; 56 
 1490 ; 1 рубль ; 1990 ; 125 лет со дня рождения Я.Райниса ; Cu-Ni ; AU ; 17 ; miranda ; 123 
 1491 ; 3 рубля ; 1989 ; Землятресение в Армении ; Cu-Ni ; AU ; 16 ; didisister ; 139 
 1492 ; 5 рублей ; 1991 ; Памятник Давиду Сасунскому в Ереване ; Cu-Ni ; AU ; 29 ; 312 ; 152 
 1493 ; 5 рублей ; 1990 ; Матенадаран.Ереван ; Cu-Ni ; AU ; 15 ; arsenich-s ; 178 
 1494 ; 5 рублей ; 1990 ; Успенский собор в Москве ; Cu-Ni ; AU ; 21 ; sergey35 ; 145 
 1495 ; 5 рублей ; 1990 ; Матенадаран.Ереван ; Cu-Ni ; AU ; 15 ; Magger ; 170 
 1496 ; 1 рубль ; 1988 ; 120 лет со дня рождения А.М.Горького ; Cu-Ni ; AU ; 11 ; Onoda ; 100 
 1497 ; 1 рубль ; 1987 ; 175 лет Бородино (барельеф) ; Cu-Ni ; AU ; 9 ; Mikl2015 ; 87 
 1498 ; 1 рубль ; 1989 ; 100 лет со дня рождения Ниязи ; Cu-Ni ; AU ; 26 ; B612 ; 194 
 1499 ; 1 рубль ; 1991 ; Махтумкули ; Cu-Ni ; XF ; 18 ; sotonn ; 255 
 1500 ; 5 рублей ; 1990 ; Матенадаран.Ереван ; Cu-Ni ; XF ; 12 ; arsenich-s ; 153 
 1501 ; 5 рублей ; 1990 ; Матенадаран.Ереван ; Cu-Ni ; AU ; 18 ; gfgf50 ; 192 
 1502 ; 5 рублей ; 1991 ; Памятник Давиду Сасунскому в Ереване ; Cu-Ni ; AU ; 15 ; 312 ; 148 
 1503 ; 5 рублей ; 1989 ; Собор Покрова на рву в Москве ; Cu-Ni ; XF- ; 23 ; Magger ; 296 
 1504 ; 1 рубль ; 1991 ; 550 лет со дня рождения А.Навои ; Cu-Ni ; XF+ ; 20 ; elist ; 129 
 1505 ; 1 рубль ; 1991 ; Махтумкули ; Cu-Ni ; XF+ ; 21 ; Magger ; 263 
 1506 ; 1 рубль ; 1979 ; Олимпиада 80.Здание МГУ ; Cu-Ni ; XF+ ; 11 ; se170661 ; 90 
 1507 ; 1 рубль ; 1980 ; Олимпиада 80.Олимпийский факел ; Cu-Ni ; XF+ ; 18 ; Djozeff ; 183 
 1508 ; 1 рубль ; 1980 ; Олимпиада 80.Здание Моссовета ; Cu-Ni ; XF ; 11 ; se170661 ; 100 
 1509 ; 1 рубль ; 1990 ; 125 лет со дня рождения Я.Райниса ; Cu-Ni ; Proof ; 13 ; rem ; 157 
 1510 ; 1 рубль ; 1991 ; 550 лет со дня рождения А.Навои ; Cu-Ni ; Proof ; 56 ; LoG85 ; 239 
 1511 ; 1 рубль ; 1991 ; 850 лет со дня рождения Низами Гянджеви ; Cu-Ni ; Proof ; 31 ; Onoda ; 300 
 1512 ; 1 рубль ; 1991 ; 125 лет со дня рождения П.Н.Лебедева ; Cu-Ni ; Proof ; 24 ; LoG85 ; 155 
 1513 ; 1 рубль ; 1991 ; Махтумкули ; Cu-Ni ; Proof ; 30 ; Onoda ; 325 
 1514 ; 5 рублей ; 1991 ; Памятник Давиду Сасунскому в Ереване ; Cu-Ni ; AU ; 18 ; 312 ; 148 
 1515 ; 5 рублей ; 1990 ; Матенадаран.Ереван ; Cu-Ni ; AU ; 15 ; arsenich-s ; 145 
 1516 ; 3 рубля ; 1992 ; 750 лет победы А.Невского ; Cu-Ni ; Proof ; 25 ; bliznetz ; 459 
 1517 ; 1 рубль. Упаковка ; 1991 ; 125 лет со дня рождения П.Н.Лебедева ; Cu-Ni ; Unc ; 11 ; нехорошо ; 261 
 1518 ; 3 рубля ; 1989 ; Землятресение в Армении ; Cu-Ni ; Proof ; 26 ; lelik13821 ; 217 
 1519 ; 1 рубль. Новодел ; 1965 ; 20 лет победы над Германией ; Cu-Ni ; Proof ; 35 ; ssман ; 2100 
 1520 ; 1 рубль. Новодел ; 1975 ; 30 лет Победы в войне 1941-1945 ; Cu-Ni ; Proof ; 35 ; VictorVico ; 1224 
 1521 ; 1 рубль. Упаковка ; 1992 ; 110 лет со дня рождения Я.Купалы ; Cu-Ni ; Proof ; 52 ; lelik13821 ; 510 
 1522 ; 1 рубль ; 1991 ; Махтумкули ; Cu-Ni ; XF+ ; 44 ; Hromoy ; 261 
 1423 ; 1 рубль ; 1991 ; 850 лет со дня рождения Низами Гянджеви ; Cu-Ni ; AU ; 11 ; didisister ; 123 
 1424 ; 5 рублей ; 1991 ; Архангельский собор в Москве ; Cu-Ni ; AU ; 13 ; gfgf50 ; 143 
 1425 ; 1 рубль ; 1991 ; 550 лет со дня рождения А.Навои ; Cu-Ni ; VF-XF ; 18 ; ga2012 ; 108 
 1426 ; 1 рубль ; 1991 ; 125 лет со дня рождения П.Н.Лебедева ; Cu-Ni ; AU ; 17 ; Magger ; 102 
 1427 ; 5 рублей ; 1991 ; Памятник Давиду Сасунскому в Ереване ; Cu-Ni ; AU ; 18 ; gfgf50 ; 160 
 1428 ; 1 рубль ; 1991 ; 850 лет со дня рождения Низами Гянджеви ; Cu-Ni ; AU ; 19 ; Magger ; 123 
