 3283 ; Бона иностранная ;  ;  ;  ;  ; 33 ; jj ; 34 
 1406 ; 3 рубля. Упаковка ; 1995 ; 50 лет освобождения Будапешта  ; Cu-Ni ; Proof ; 98 ; 4nuts ; 493 
 1407 ; 3 рубля. Упаковка ; 1993 ; 50 лет победы в Сталинградской ; Cu-Ni ; Proof ; 45 ; Гермес 8  ; 150 
 1408 ; 3 рубля. Упаковка ; 1992 ; """19-21 августа"" " ; Cu-Ni ; Proof ; 54 ; Гермес 8  ; 364 
 1409 ; 3 рубля. Упаковка ; 1995 ; 50 лет освобождения Вены  ; Cu-Ni ; Proof ; 89 ; 4nuts ; 417 
 1410 ; 3 рубля. Упаковка ; 1995 ; Капитуляция Германии  ; Cu-Ni ; Proof ; 99 ; ABlack ; 359 
 1411 ; 20 копеек ; 1923 ;  ; Ag ; VF+ ; 35 ; holder ; 57 
 1412 ; 10 копеек ; 1982 ;  ; Cu-Ni ; XF+ ; 1 ; ton2519 ; 2 
 1413 ; 5 копеек ; 1987 ;  ; Cu-Zn ; VF+ ; 1 ; ton2519 ; 2 
 1414 ; 3 копейки ; 1957 ; в венке герба 15 лент  ; Br ; VF- ; 2 ; tyresmsk ; 3 
 1415 ; 1 копейка ; 2001 ; СП  ; St in Ni ; AU ; 43 ; Epsilon ; 41 
 1416 ; 10 рублей ; 2002 ; СПМД МинЮст  ; биметалл ; AU ; 3 ; alexandervolkov ; 51 
 1417 ; 10 рублей ; 2005 ; СПМД 60 лет Победы в ВОВ  ; биметалл ; AU ; 13 ; tyresmsk ; 14 
 1418 ; 5 рублей ; 1990 ; Успенский собор в Москве  ; Cu-Ni ; AU ; 31 ; Poiuyt ; 38 
 1419 ; 5 рублей ; 1990 ; Успенский собор в Москве  ; Cu-Ni ; AU ; 22 ; Lumen81 ; 38 
 1420 ; 5 рублей ; 1990 ; Успенский собор в Москве  ; Cu-Ni ; AU ; 35 ; Lumen81 ; 40 
 1421 ; 5 рублей ; 1990 ; Успенский собор в Москве  ; Cu-Ni ; AU ; 28 ; Simpaga ; 36 
 1422 ; 5 рублей ; 1990 ; Большой дворец в Петродворце  ; Cu-Ni ; AU ; 16 ; Poiuyt ; 26 
 1423 ; 5 рублей ; 1988 ; Софийский собор в Киеве  ; Cu-Ni ; AU ; 15 ; rbcrf ; 57 
 1424 ; 5 рублей ; 1990 ; Большой дворец в Петродворце  ; Cu-Ni ; AU ; 25 ; erdnaj ; 47 
 1425 ; 5 рублей ; 1990 ; Большой дворец в Петродворце  ; Cu-Ni ; AU ; 23 ; jef688 ; 38 
 1426 ; 5 рублей ; 1990 ; Большой дворец в Петродворце  ; Cu-Ni ; AU ; 15 ; Poiuyt ; 26 
 1427 ; 5 рублей ; 1988 ; Софийский собор в Киеве  ; Cu-Ni ; AU ; 38 ; Poiuyt ; 57 
 1428 ; 5 рублей ; 1988 ; Софийский собор в Киеве  ; Cu-Ni ; AU ; 14 ; papa3 ; 55 
 1429 ; 5 рублей ; 1988 ; Софийский собор в Киеве  ; Cu-Ni ; AU ; 34 ; jef688 ; 55 
 1430 ; 3 рубля. Упаковка ; 1991 ; 50 лет победы под Москвой  ; Cu-Ni ; Proof ; 44 ; habenti ; 71 
 1431 ; 3 рубля. Упаковка ; 1991 ; 50 лет победы под Москвой  ; Cu-Ni ; Proof ; 57 ; kenik_q ; 71 
 1432 ; 3 рубля. Упаковка ; 1991 ; 50 лет победы под Москвой  ; Cu-Ni ; Proof ; 8 ; Конрос бид 32 ; 63 
 1433 ; 3 рубля. Упаковка ; 1991 ; 50 лет победы под Москвой  ; Cu-Ni ; Proof ; 50 ; dobro ; 73 
 1434 ; 3 рубля. Упаковка ; 1991 ; 50 лет победы под Москвой  ; Cu-Ni ; Proof ; 41 ; Qersej ; 50 
 1435 ; 3 рубля. Упаковка ; 1991 ; 50 лет победы под Москвой  ; Cu-Ni ; Proof ; 61 ; holder ; 71 
 1436 ; 3 рубля. Упаковка ; 1991 ; 50 лет победы под Москвой  ; Cu-Ni ; Proof ; 4 ; KORNEJ ; 102 
 1437 ; 3 рубля. Упаковка ; 1991 ; 50 лет победы под Москвой  ; Cu-Ni ; Proof ; 48 ; джон007 ; 55 
 1438 ; 3 рубля. Упаковка ; 1991 ; 50 лет победы под Москвой  ; Cu-Ni ; Proof ; 50 ; levsha ; 57 
 1439 ; 3 рубля. Упаковка ; 1991 ; 50 лет победы под Москвой  ; Cu-Ni ; Proof ; 26 ; Mike! ; 102 
 1440 ; 1 рубль ; 1984 ; 185 лет со дня рождения А.С.Пу ; Cu-Ni ; AU ; 21 ; focus-nik2006 ; 28 
 1441 ; 1 рубль ; 1985 ; Фестиваль молодежи и студентов ; Cu-Ni ; AU ; 23 ; Seishel ; 36 
 1442 ; 1 рубль ; 1985 ; Фестиваль молодежи и студентов ; Cu-Ni ; AU ; 9 ; holder ; 18 
 1443 ; 1 рубль ; 1985 ; Фестиваль молодежи и студентов ; Cu-Ni ; AU ; 10 ; Захар ; 18 
 1444 ; 1 рубль ; 1985 ; Фестиваль молодежи и студентов ; Cu-Ni ; AU ; 17 ; Simpaga ; 32 
 1445 ; 1 рубль ; 1984 ; 185 лет со дня рождения А.С.Пу ; Cu-Ni ; AU ; 21 ; Grod ; 20 
 1346 ; 20 копеек ; 1932 ;  ; Ni ; VF ; 3 ; RVK ; 31 
 1347 ; Лот монет СССР (3 шт): 15 коп ; 1924-1928 ;  ; Ag ; XF ; 12 ; Epsilon ; 171 
 1348 ; Лот монет СССР (3 шт): 15 коп ; 1927-1930 ;  ; Ag ; XF+ ; 16 ; Epsilon ; 196 
 1349 ; 20 копеек ; 1923 ;  ; Ag ; VF+ ; 25 ; Epsilon ; 65 
 1350 ; 15 копеек ; 1923 ;  ; Ag ; VF-XF ; 19 ; akula ; 59 
 1351 ; 15 копеек ; 1927 ;  ; Ag ; AU ; 41 ; erdnaj ; 114 
 1352 ; 15 копеек ; 1928 ;  ; Ag ; AU ; 29 ; rizovtpl ; 82 
 1353 ; 15 копеек ; 1929 ;  ; Ag ; AU ; 53 ; smv ; 320 
 1354 ; 15 копеек ; 1930 ;  ; Ag ; AU ; 30 ; niva ; 104 
 1355 ; 10 копеек ; 1928 ;  ; Ag ; AU ; 18 ; pixel ; 70 
 1356 ; 10 копеек ; 1930 ;  ; Ag ; AU ; 37 ; rizovtpl ; 157 
 1357 ; 5 ; 1998 ; о.Шпицберген  ;  ; AU ; 67 ; astronotus ; 941 
 1358 ; 2 ; 1998 ; о.Шпицберген  ;  ; AU ; 113 ; astronotus ; 932 
 1359 ; 0,5 ; 1998 ; о.Шпицберген  ;  ; AU ; 45 ; astronotus ; 632 
 1360 ; 0,25 ; 1998 ; о.Шпицберген  ;  ; AU ; 85 ; astronotus ; 932 
 1361 ; 0,1 ; 1998 ; о.Шпицберген  ;  ; AU ; 74 ; verazal ; 473 
 1362 ; 1 рубль ; 1986 ; Международный год мира.В рубле ; Cu-Ni ; AU ; 72 ; erdnaj ; 561 
 1363 ; 1 рубль. Малая звезда в гербе ; 1980 ;  ; Cu-Ni ; AU ; 23 ; dobro ; 157 
 1364 ; 1 рубль. Большая звезда в гербе ; 1980 ;  ; Cu-Ni ; AU ; 93 ; fanil ; 1296 
 1365 ; 1 рубль. Большая звезда в гербе ; 1981 ;  ; Cu-Ni ; AU ; 50 ; fanil ; 623 
 1366 ; 1 рубль. Малая звезда в гербе ; 1981 ;  ; Cu-Ni ; AU ; 66 ; khigor ; 400 
 1367 ; 1 рубль ; 1961 ;  ; Cu-Ni ; AU ; 27 ; del ; 123 
 1368 ; 1 рубль ; 1964 ;  ; Cu-Ni ; AU ; 4 ; holder ; 41 
 1369 ; 1 рубль ; 1966 ;  ; Cu-Ni ; AU ; 51 ; jagerV ; 196 
 1370 ; 1 рубль ; 1967 ;  ; Cu-Ni ; AU ; 63 ; Eugen ; 81 
 1371 ; 1 рубль ; 1968 ;  ; Cu-Ni ; AU ; 83 ; PIT ; 113 
 1372 ; 1 рубль ; 1969 ;  ; Cu-Ni ; AU ; 39 ; В1951 ; 123 
 1373 ; 1 рубль ; 1970 ;  ; Cu-Ni ; AU ; 31 ; jagerV ; 251 
 1374 ; 1 рубль ; 1971 ;  ; Cu-Ni ; AU ; 29 ; jagerV ; 231 
 1375 ; 1 рубль ; 1972 ;  ; Cu-Ni ; AU ; 28 ; alisa ; 161 
 1376 ; 1 рубль ; 1974 ;  ; Cu-Ni ; AU ; 40 ; jagerV ; 201 
 1377 ; 1 рубль ; 1973 ;  ; Cu-Ni ; AU ; 95 ; alisa ; 429 
 1378 ; 1 рубль ; 1975 ;  ; Cu-Ni ; AU ; 29 ; alisa ; 152 
 1379 ; 1 рубль ; 1976 ;  ; Cu-Ni ; AU ; 27 ; alisa ; 281 
 1380 ; 1 рубль ; 1978 ;  ; Cu-Ni ; AU ; 30 ; alisa ; 155 
 1381 ; 1 рубль ; 1977 ;  ; Cu-Ni ; AU ; 57 ; alisa ; 116 
 1382 ; 1 рубль ; 1982 ;  ; Cu-Ni ; AU ; 52 ; alisa ; 157 
 1383 ; 1 рубль ; 1984 ;  ; Cu-Ni ; AU ; 23 ; alisa ; 179 
 1384 ; 1 рубль ; 1985 ;  ; Cu-Ni ; AU ; 23 ; solder13 ; 112 
 1385 ; 1 рубль ; 1986 ;  ; Cu-Ni ; AU ; 20 ; aleksius ; 82 
 1386 ; 1 рубль ; 1987 ;  ; Cu-Ni ; AU ; 36 ; alisa ; 113 
 1387 ; 1 рубль ; 1983 ;  ; Cu-Ni ; AU ; 19 ; alnov ; 255 
 1388 ; 1 рубль ; 1988 ;  ; Cu-Ni ; AU ; 25 ; smv ; 96 
 1389 ; 1 рубль ; 1989 ;  ; Cu-Ni ; AU ; 33 ; swr ; 95 
 1390 ; 1 рубль ; 1990 ;  ; Cu-Ni ; AU ; 27 ; Eugen ; 51 
 1391 ; 1 рубль ; 1991 ; ЛМД  ; Cu-Ni ; AU ; 28 ; andreyka80 ; 171 
 1392 ; 1 рубль ; 1991 ; ММД  ; Cu-Ni ; AU ; 50 ; andreyka80 ; 128 
 1393 ; Разменный знак 10 о-ва Шпицберген. Сход ледника - трагедия в Кармадонском ущелье ; 2002 ;  ; Б/м ; Proof ; 14 ; lesnik1 ; 567 
 1394 ; Разменный знак 10 о-ва Шпицберген. Против терроризма. Нью-Йорк 11 сентября. Упаковка ; 2001 ;  ; Б/м ; Proof ; 43 ; 4nuts ; 1905 
 1395 ; Разменный знак 10 о-ва Шпицберген. Кончина Папы Иоанна Павла II ; 2005 ;  ; Б/м ; Proof ; 11 ; 4nuts ; 1162 
 1296 ; 2 рубля ; 1995 ; ЛМД Нюрнбергский процесс  ; Ag ; Proof ; 17 ; ABlack ; 722 
 1297 ; 2 рубля ; 1995 ; ЛМД Парад Победы (флаги), на а ; Ag ; Proof ; 15 ; А25 ; 724 
 1298 ; 2 рубля ; 1995 ; ММД Парад Победы (Жуков на кон ; Ag ; Proof ; 13 ; А25 ; 695 
 1299 ; 1 рубль ; 1997 ; ЛМД Футболисты. Чемпионы Олимп ; Ag ; Proof ; 9 ; Valeriy ; 507 
 1300 ; 1 рубль ; 1997 ; ЛМД Вратарь. Турне по Великобр ; Ag ; Proof ; 9 ; Valeriy ; 509 
 1301 ; 1 рубль ; 1997 ; ЛМД Футболисты. Кубок Европы.  ; Ag ; Proof ; 16 ; Copirchik ; 602 
 1302 ; 1 рубль ; 1997 ; ЛМД Футболисты. Чемпионы Олимп ; Ag ; Proof ; 16 ; Valeriy ; 1026 
 1303 ; 1 рубль ; 1997 ; ЛМД Первый футбольный матч. Са ; Ag ; Proof ; 8 ; fontanka ; 348 
 1304 ; 1 рубль ; 1998 ; ММД Всемирные юношеские игры.  ; Ag ; Proof ; 8 ; andreyka80 ; 389 
 1305 ; Рубль ; 1921 ; (АГ)  ; Ag ; AU ; 125 ; varant ; 8100 
 1306 ; Рубль ; 1921 ; (АГ)  ; Ag ; VF+/VF ; 81 ; Dмитрий ; 1613 
 1307 ; Рубль ; 1921 ; (АГ)  ; Ag ; VF-XF ; 46 ; Максимус 1 ; 1836 
 1308 ; Рубль ; 1924 ; (ПЛ)  ; Ag ; AU ; 49 ; Максимус 1 ; 1517 
 1309 ; Рубль ; 1924 ; (ПЛ)  ;  ; AU ; 21 ; alyans-met ; 1382 
 1310 ; 50 копеек ; 1922 ; (ПЛ)  ; Ag ; VF-XF ; 19 ; propolis ; 224 
 1311 ; 50 копеек ; 1922 ; (ПЛ)  ; Ag ; VF+ ; 15 ; dfgh ; 306 
 1312 ; 50 копеек ; 1922 ; (ПЛ)  ; Ag ; VF- ; 15 ; akula ; 223 
 1313 ; Один полтинник ; 1924 ; (ТР 2з. 10,5 д. 9 грамм)  ; Ag ; VF+ ; 19 ; propolis ; 239 
 1314 ; Один полтинник ; 1927 ; (ПЛ 9 грамм)  ; Ag ; VF- ; 28 ; dfgh ; 260 
 1315 ; 5 рублей ; 1991 ; Памятник Давиду Сасунскому в Е ; Cu-Ni ; AU ; 29 ; Seishel ; 135 
 1316 ; 5 рублей ; 1990 ; Успенский собор в Москве  ; Cu-Ni ; AU ; 24 ; erdnaj ; 59 
 1317 ; 5 рублей ; 1990 ; Матенадаран.Ереван  ; Cu-Ni ; AU ; 38 ; nmvbnm ; 105 
 1318 ; 5 рублей ; 1991 ; Архангельский собор в Москве  ; Cu-Ni ; AU ; 43 ; nmvbnm ; 204 
 1319 ; 3 рубля ; 1989 ; Землятресение в Армении  ; Cu-Ni ; AU ; 17 ; erdnaj ; 32 
 1320 ; 1 рубль ; 1979 ; Олимпиада 80.Обелиск покорител ; Cu-Ni ; AU ; 15 ; mda7 ; 20 
 1321 ; 1 рубль ; 1987 ; 175 лет Бородино (барельеф)  ; Cu-Ni ; AU ; 15 ; erfahren ; 15 
 1322 ; 1 рубль ; 1987 ; 175 лет Бородино (обелиск)  ; Cu-Ni ; AU ; 13 ; Shurlamp ; 29 
 1323 ; 1 рубль ; 1964 ;  ; Cu-Ni ; AU ; 24 ; del ; 44 
 1324 ; 1 рубль ; 1988 ;  ; Cu-Ni ; AU ; 34 ; KORNEJ ; 53 
 1325 ; Лот монет СССР: 20,15,10 коп. (5шт) ; 1952-1957гг ;  ; Ni ; VF+ ; 36 ; holder ; 50 
 1326 ; 5 копеек ; 1940 ;  ; Br ; VF- ; 2 ; bh ; 30 
 1327 ; 5 копеек ; 1946 ;  ; Br ; VF- ; 6 ; akula ; 7 
 1328 ; 5 копеек ; 1949 ;  ; Br ; VF ; 3 ; natallli ; 4 
 1329 ; 5 копеек ; 1952 ;  ; Br ; VF- ; 3 ; natallli ; 4 
 1330 ; 5 копеек ; 1954 ;  ; Br ; VF+ ; 7 ; MICMAC ; 26 
 1331 ; 5 копеек ; 1955 ;  ; Br ; VF+ ; 10 ; akula ; 11 
 1332 ; 5 копеек ; 1956 ;  ; Br ; VF ; 4 ; KORNEJ ; 16 
 1333 ; 5 копеек ; 1957 ; в венке герба 15 лент  ; Br ; VF-XF ; 8 ; akula ; 9 
 1334 ; 5 копеек ; 1982 ;  ; Cu-Zn ; AU ; 35 ; Epsilon ; 35 
 1335 ; 5 копеек ; 1984 ;  ; Cu-Zn ; VF+ ; 8 ; KORNEJ ; 36 
 1336 ; 5 копеек ; 1985 ;  ; Cu-Zn ; AU ; 9 ; shknikolay ; 40 
 1337 ; 5 копеек ; 1987 ;  ; Cu-Zn ; VF-XF ; 2 ; surf2k5 ; 3 
 1338 ; 5 копеек ; 1988 ;  ; Cu-Zn ; AU ; 3 ; holder ; 4 
 1339 ; 5 копеек ; 1991 ; ЛМД  ; Cu-Zn ; AU ; 2 ; KORNEJ ; 3 
 1340 ; 5 копеек ; 1924 ; Гурт гладкий  ; Cu ; F-VF ; 11 ; holder ; 120 
 1341 ; 1 рубль ; 1992 ; 110 лет со дня рождения Я.Кола ; Cu-Ni ; Proof ; 41 ; Гермес 8  ; 302 
 1342 ; 20 копеек ; 1931 ;  ; Ni ; XF+ ; 12 ; dragonfly ; 89 
 1343 ; 20 копеек ; 1931 ;  ; Ni ; VF-XF ; 16 ; Dj ; 82 
 1344 ; 15 копеек ; 1932 ;  ; Ni ; XF ; 25 ; dragonfly ; 91 
 1345 ; 15 копеек ; 1944 ;  ; Ni ; VF+ ; 38 ; tatarin66 ; 531 
 1179 ; Знак. Общество Локомотив II место. Велосипед ;  ;  ; Ж/м, эмаль ; VF-XF ; 42 ; korovan67 ; 286 
 1180 ; Знак. Общество Локомотив III место. Велосипед ;  ;  ; Ж/м, эмаль ; VF-XF ; 42 ; korovan67 ; 286 
 1181 ; Знак. Облостной  совет Буревестник. Чемпион ;  ;  ; Ж/м, эмаль ; VF-XF ; 13 ; korovan67 ; 192 
 1182 ; Знак. Облостной  совет Буревестник. III место ;  ;  ; Ж/м, эмаль ; VF+ ; 9 ; korovan67 ; 188 
 1183 ; Знак. Облостной  совет Буревестник. II место ;  ;  ; Ж/м, эмаль ; VF+ ; 11 ; korovan67 ; 184 
 1184 ; Знак. Москва. Гимнастика ; 1957 ;  ; Ж/м, эмаль ; VF ; 29 ; zmv1981 ; 30 
 1185 ; Знак. III Всесоюзная спартакиада ; 1957 ;  ; Ж/м, эмаль ; VF+ ; 48 ; korovan67 ; 510 
 1186 ; Жетон для междугородней связи на территории СССР ; 90-х гг ;  ; Ж/м ; AU ; 22 ; Simpaga ; 22 
 1187 ; "Жетон ""Министерство торговли"". 11. СССР" ;  ;  ;  ; VF+ ; 8 ; Zill79 ; 50 
 1188 ; "Жетон ""Министерство торговли"". 11. СССР" ;  ;  ;  ; XF ; 25 ; tati1545 ; 77 
 1189 ; "Жетон ""Министерство торговли"". 3. СССР" ;  ;  ;  ; AU ; 15 ; KKK ; 31 
 1190 ; "Жетон ""Министерство торговли"". 3. СССР" ;  ;  ;  ; AU ; 17 ; Zill79 ; 45 
 1191 ; "Жетон ""Министерство торговли"". 3. СССР" ;  ;  ;  ; AU ; 6 ; Simpaga ; 24 
 1192 ; "Жетон ""Министерство торговли"". 3. СССР" ;  ;  ;  ; AU ; 2 ; obob999 ; 11 
 1193 ; Жетон. Дублин. Великобритания. Королева Виктория. Отверстие 12 ч ;  ;  ;  ; VF ; 16 ; KKK ; 67 
 1261 ; 100 рублей ; 1988 ; ММД 1000-летие монетной чеканк ; Au ; Proof ; 14 ; Jet_Dee ; 22724 
 1262 ; 100 рублей ; 1989 ; ММД 500-лет.Русского един.гос. ; Au ; Proof ; 25 ; Конрос бид 32 ; 26201 
 1263 ; 100 рублей ; 1990 ; ММД 500-лет.Русского един.гос. ; Au ; Proof ; 27 ; alexiy2 ; 28574 
 1264 ; Один червонец ; 1981 ; ММД  ; Au ; XF/AU ; 15 ; vasily ; 7048 
 1265 ; 25 рублей ; 1991 ; ЛМД Отмена крепостного права в ; Pd ; Proof ; 19 ; xey ; 16494 
 1266 ; 10 рублей ; 1977 ; ЛМД Карта СССР. Игры XXII Олим ; Ag ; Proof ; 156 ; dragonfly ; 980 
 1267 ; 10 рублей ; 1980 ; ЛМД Перетягивание каната.Игры  ; Ag ; Proof ; 30 ; dragonfly ; 832 
 1268 ; 5 рублей ; 1977 ; ЛМД Ленинград.Игры XXII Олимпи ; Ag ; Proof ; 43 ; dragonfly ; 614 
 1269 ; 5 рублей ; 1978 ; ЛМД Плавание.Игры XXII Олимпиа ; Ag ; Proof ; 10 ; dragonfly ; 579 
 1270 ; 3 рубля ; 2002 ; СПМД Зимн.Олимпиада, Солт-Лейк ; Ag ; Proof ; 24 ; fontanka ; 891 
 1271 ; 3 рубля ; 1995 ; "ЛМД ""Сохраним наш мир"". Рыс ; Ag ; Proof ; 16 ; Конрос бид 32 ; 1223 
 1272 ; 3 рубля ; 1996 ; "ЛМД Ледокол ""Ермак"" " ; Ag ; Proof ; 16 ; Jet_Dee ; 2879 
 1273 ; 3 рубля ; 2000 ; ММД Нижегородский Кремль  ; Ag ; Proof ; 29 ; Valeriy ; 6382 
 1274 ; 3 рубля ; 1992 ; ЛМД Троицкий собор  ; Ag ; Proof ; 26 ; Jet_Dee ; 1472 
 1275 ; 3 рубля ; 1997 ; ММД 850 лет Москве. Древние зо ; Ag ; Proof ; 9 ; ААФ ; 1913 
 1276 ; 3 рубля ; 1995 ; ММД Спасо-Преобр.собор в Перес ; Ag ; Proof ; 33 ; petrserebr ; 1399 
 1277 ; 3 рубля ; 1997 ; ММД Портрет  С.Ю.Витте  ; Ag ; Proof ; 36 ; Copirchik ; 1674 
 1278 ; 3 рубля ; 2001 ; СПМД 10 лет СНГ  ; Ag ; Proof ; 28 ; ААФ ; 1274 
 1279 ; 3 рубля ; 1994 ; ЛМД Мост через Обь  ; Ag ; Proof ; 44 ; Copirchik ; 1321 
 1280 ; 3 рубля ; 1994 ; ЛМД Русский балет. Танцующая п ; Ag ; Proof ; 7 ; Valeriy ; 1530 
 1281 ; 3 рубля ; 1995 ; "ЛМД ""Сохраним наш мир"". Рыс ; Ag ; Proof ; 41 ; xff ; 1268 
 1282 ; 3 рубля ; 1991 ; ЛМД Большой театр  ; Ag ; Proof ; 5 ; Конрос бид 32 ; 1009 
 1283 ; 3 рубля ; 1994 ; ЛМД Рязанский Кремль  ; Ag ; Proof ; 15 ; Slava-2 ; 1249 
 1284 ; 3 рубля ; 1995 ; ЛМД Экспедиция Челюскина  ; Ag ; Proof ; 16 ; Copirchik ; 975 
 1285 ; 3 рубля ; 1994 ; ЛМД Россия и мировая культура. ; Ag ; Proof ; 17 ; Copirchik ; 1151 
 1286 ; 3 рубля ; 1995 ; "ММД ""Сохраним наш мир"". Соб ; Ag ; AU ; 143 ; fontanka ; 641 
 1287 ; 2 рубля ; 2000 ; ММД 150 лет со дня рождения Ф. ; Ag ; Proof ; 34 ; Valeriy ; 3828 
 1288 ; 2 рубля ; 1998 ; "ММД С.Эйзенштейн. Броненосец  ; Ag ; Proof ; 10 ; Valeriy ; 1409 
 1289 ; 2 рубля ; 1998 ; ММД С.Эйзенштейн. Портрет  ; Ag ; Proof ; 13 ; Copirchik ; 992 
 1290 ; 2 рубля ; 1998 ; "СПМД К.С.Станиславский.Сцена  ; Ag ; Proof ; 2 ; Copirchik ; 765 
 1291 ; 2 рубля ; 1998 ; СПМД К.С.Станиславский. Портре ; Ag ; Proof ; 17 ; Джуниор ; 1029 
 1292 ; 2 рубля ; 1995 ; ММД М.И.Кутузов  ; Ag ; Proof ; 4 ; xff ; 561 
 1293 ; 2 рубля ; 2002 ; СПМД Стрелец  ; Ag ; Proof ; 30 ; KORNEJ ; 639 
 1294 ; 2 рубля ; 1998 ; "СПМД В.М.Васнецов.Картина ""Т ; Ag ; Proof ; 22 ; Valeriy ; 2042 
 1295 ; 2 рубля ; 1998 ; "СПМД В.М.Васнецов.Картина ""А ; Ag ; Proof ; 21 ; ЕВС ; 1337 
 1129 ; Жетон. Швеция. Карл XIV Иоган (1818-1844) ;  ;  ; Б/м ; XF+ ; 83 ; rnv_64 ; 608 
 1130 ; Жетон. Франция. Министерство образования ;  ;  ; Ag ; XF ; 75 ; RAPAN ; 524 
 1131 ; Жетон. Франция. Общество земледельцев Лиона ; 1761 ;  ; Б/м ; VF+ ; 33 ; canis ; 357 
 1132 ; Жетон. Франция. Торговая палата Ла Рошели. Людовик XV (1715-1774) ;  ;  ; Ag ; XF ; 21 ; lawyer ; 2301 
 1133 ; Жетон. Франция. Академия искусств и литературы. Людовик XV (1715-1774) ;  ;  ; Ag ; VF+ ; 37 ; canis ; 816 
 1134 ; Жетон. Франция. Национальная гуманитарная страховая компания. Луи Филипп. Убраны напайки 6 ч и 12 ч ; 1830 ;  ; Ag ; VF+ ; 30 ; canis ; 260 
 1135 ; Жетон. Франция. Коммерческий трибунал Нанта. 3-я республика ;  ;  ; Ag ; XF ; 64 ; priorat13 ; 2080 
 1136 ; Медаль. Великобритания. Визит Эдуарда VII и Александра в Кардиф ; 1907 ;  ; Br ; VF-XF ; 21 ; rnv_64 ; 758 
 1137 ; Медаль. Франция. Конвент-Директория-Консулат ; XIXв ;  ; Br ; XF+ ; 52 ; canis ; 1510 
 1138 ; Жетон. Серебрянный юбилей королевы ; 1977 ;  ; Б/м ; AU ; 30 ; KKK ; 83 
 1139 ; Жетон. Мексика. Чемпионат мира по футболу ; 1986 ;  ; Б/м ; AU ; 38 ; rnv_64 ; 168 
 1140 ; Монетовидный жетон. Германия, г. Саарбрюккен ; 1975 ;  ; Ag ; AU ; 26 ; petrserebr ; 255 
 1141 ; "Жетон ""Банк"" г. Бремерхафен. Германия" ;  ;  ; Br ; VF-XF ; 27 ; priorat13 ; 300 
 1142 ; Медаль Виктор Ридберг Швеция ; 1947 ;  ; Br ; XF- ; 14 ; wwii-soldat ; 50 
 1143 ; Медаль С.А. Хедлунд Швеция ; 1951 ;  ; Br ; XF- ; 3 ; wwii-soldat ; 50 
 1144 ; Знак. Отличник здравоохранения ;  ;  ; Ж/м ; XF ; 16 ; Sezon ; 155 
 1145 ; Знак за отличную службу в МВД ;  ;  ; Ж/м ; VF+ ; 20 ; korovan67 ; 745 
 1146 ; "Знак ""Почетный донор"". СССР" ;  ;  ; Ж/м, эмаль ; VF ; 34 ; korovan67 ; 255 
 1147 ; Знак. Тренеру за подготовку призера на пятой спартакиаде народов СССР ; 1971 ;  ; Ж/м ; VF-XF ; 1 ; Mike! ; 222 
 1148 ; Знак. I женская спартакиада ; 1961 ;  ; Б/м ; VF- ; 10 ; korovan67 ; 224 
 1149 ; Знак. Управление военных сообщений на О и РБ. Тюмень ; 1993 ;  ; Ж/м ; XF+ ; 1 ; Mike! ; 112 
 1150 ; Знак. Балтийская Государственная Академия Рыбопромыслового флота ЛМД ;  ;  ; Al ; AU ; 5 ; AAE2006 ; 255 
 1151 ; Знак. За освоение новых земель. ЦК ВЛКСМ ;  ;  ; Ж/м, эмаль ; VF-XF ; 59 ; rnv_64 ; 496 
 1152 ; Знак. Всесоюзные студенческие соревнования ; 1953 ;  ; Ж/м, эмаль ; VF-XF ; 12 ; korovan67 ; 489 
 1153 ; Знак. I республиканский фестиваль молодежи ; 1957 ;  ; Ж/м ; XF- ; 2 ; obob999 ; 54 
 1154 ; Знак. Всесоюзный смотр художественной самодеятельности. ММД ; 1956 ;  ; Ж/м ; VF+ ; 29 ; zmv1981 ; 270 
 1155 ; Знак. Спартакиада школьников Туркменистанского ССР ; 1959 ;  ; Ж/м ; VF ; 39 ; korovan67 ; 259 
 1156 ; Знак. Юный техник СССР ;  ;  ; Ж/м, эмаль ; VF+ ; 33 ; elac ; 111 
 1157 ; Знак. Трудовые резервы. Место III. Баскектбол ;  ;  ; Ж/м, эмаль ; VF-XF ; 13 ; korovan67 ; 204 
 1158 ; Знак. Трудовые резервы. Место III. Футбол ;  ;  ; Ж/м, эмаль ; VF-XF ; 11 ; korovan67 ; 388 
 1159 ; Знак. Трудовые резервы. Место III. Бокс ;  ;  ; Ж/м, эмаль ; VF-XF ; 30 ; RAPAN ; 255 
 1160 ; Знак. Первые Зимние Студенческие Игры ; 1956 ;  ; Ж/м ; VF+ ; 17 ; RAPAN ; 216 
 1161 ; Польский спортивный знак ;  ;  ; Ж/м ; VF ; 10 ; obob999 ; 13 
 1162 ; Немецкий знак на закрутке ;  ;  ; Ж/м, эмаль ; VF+ ; 26 ; obob999 ; 31 
 1163 ; Знак. ГОЛИФК ;  ;  ; Ж/м ; VF ; 91 ; korovan67 ; 318 
 1164 ; Знак. Турист СССР (на закрутке) ;  ;  ; Ж/м, эмаль ; VF+ ; 40 ; RAPAN ; 158 
 1165 ; Знак. Турист СССР (на заколке) ;  ;  ; Ж/м, эмаль ; VF+ ; 10 ; setoff ; 32 
 1166 ; Знак. 800 лет Москве ;  ;  ; Ж/м, эмаль ; VF+ ; 24 ; RAPAN ; 255 
