 5577 ; Акция ; 1923 ;  ;  ;  ; 9 ; denis.davydov ; 120 
 1986 ; 1 рубль ; 1990 ; 125 лет со дня рождения Я.Райниса ; Cu-Ni ; AU ; 20 ; AC/DC ; 92 
 1987 ; 5 рублей ; 1988 ; Софийский собор в Киеве ; Cu-Ni ; AU ; 10 ; AC/DC ; 195 
 1988 ; 5 рублей ; 1989 ; Собор Покрова на рву в Москве ; Cu-Ni ; AU ; 11 ; 2pok ; 327 
 1989 ; 5 рублей ; 1990 ; Матенадаран.Ереван ; Cu-Ni ; AU ; 23 ; 2pok ; 180 
 1990 ; 1 рубль ; 1987 ; 130 лет со дня рождения К.Э.Циолковского ; Cu-Ni ; AU ; 10 ; viv007 ; 57 
 1991 ; 1 рубль ; 1990 ; 500 лет со дня рождения Ф.Скорины ; Cu-Ni ; AU ; 10 ; Агат ; 72 
 1992 ; 3 рубля ; 1994 ; 50 лет освобождения Белграда ; Cu-Ni ; Proof ; 60 ; Black Cat ; 968 
 1993 ; 5 рублей ; 1988 ; Памятник Петру I в Ленинграде ; Cu-Ni ; AU ; 9 ; iustas ; 235 
 1994 ; 5 рублей ; 1989 ; Ансамбль Регистан в Самарканде ; Cu-Ni ; AU ; 11 ; MolchSer5 ; 357 
 1995 ; 1 рубль ; 1983 ; 20 лет полета в космос В.Терешковой ; Cu-Ni ; AU ; 24 ; $KoKoS$ ; 276 
 1996 ; 1 рубль ; 1987 ; 175 лет Бородино (обелиск) ; Cu-Ni ; XF+ ; 9 ; Zlyouka ; 51 
 1997 ; 1 рубль ; 1975 ; 30 лет Победы в войне 1941-1945 ; Cu-Ni ; XF ; 20 ; viv007 ; 21 
 1998 ; 1 рубль ; 1977 ; Олимпиада 80.Эмблема Олимпийских игр ; Cu-Ni ; XF- ; 10 ; 1alexs111 ; 23 
 1999 ; 3 рубля ; 1989 ; Землетрясение в Армении ; Cu-Ni ; AU ; 7 ; AC/DC ; 111 
 1900 ; 1 рубль ; 1991 ; 850 лет со дня рождения Низами Гянджеви ; Cu-Ni ; Proof ; 13 ; @fol m ; 120 
 1901 ; 1 рубль ; 1991 ; 850 лет со дня рождения Низами Гянджеви ; Cu-Ni ; Proof ; 13 ; @fol m ; 111 
 1902 ; 1 рубль ; 1991 ; 101 год со дня рождения К.В.Иванова ; Cu-Ni ; Proof ; 7 ; @fol m ; 114 
 1903 ; 1 рубль ; 1991 ; 850 лет со дня рождения Низами Гянджеви ; Cu-Ni ; AU ; 7 ; Матроскин ; 59 
 1904 ; 1 рубль ; 1991 ; 850 лет со дня рождения Низами Гянджеви ; Cu-Ni ; AU ; 41 ; 1alexs111 ; 128 
 1905 ; 1 рубль. Новодел. Упаковка ; 1967 ; 50 лет Советской власти ; Cu-Ni ; Proof ; 15 ; Цхамо-Дынза ; 653 
 1906 ; 1 рубль. Упаковка нарушена ; 1991 ; 850 лет со дня рождения Низами Гянджеви ; Cu-Ni ; AU ; 28 ; 7 на 8 ; 123 
 1907 ; 1 рубль ; 1991 ; 101 год со дня рождения К.В.Иванова ; Cu-Ni ; Proof ; 15 ; @fol m ; 125 
 1908 ; 1 рубль ; 1991 ; 101 год со дня рождения К.В.Иванова ; Cu-Ni ; Proof ; 11 ; @fol m ; 110 
 1909 ; 1 рубль. Упаковка ; 1975 ; 30 лет Победы в войне 1941-1945 ; Cu-Ni ; AU ; 5 ; @fol m ; 82 
 1910 ; 5 рублей. Упаковка нарушена ; 1987 ; 70 лет Октябрьской революции ; Cu-Ni ; Proof ; 24 ; AC/DC ; 1915 
 1911 ; 1 рубль ; 1991 ; 850 лет со дня рождения Низами Гянджеви ; Cu-Ni ; AU ; 3 ; se170661 ; 67 
 1912 ; 1 рубль ; 1991 ; 850 лет со дня рождения Низами Гянджеви ; Cu-Ni ; Proof ; 11 ; @fol m ; 120 
 1913 ; 1 рубль ; 1991 ; 850 лет со дня рождения Низами Гянджеви ; Cu-Ni ; Proof ; 9 ; @fol m ; 114 
 1914 ; 1 рубль ; 1989 ; 175 лет со дня рождения Т.Г.Шевченко ; Cu-Ni ; Proof ; 11 ; AC/DC ; 121 
 1915 ; 1 рубль. Упаковка нарушена ; 1975 ; 30 лет Победы в войне 1941-1945 ; Cu-Ni ; AU ; 10 ; @fol m ; 101 
 1916 ; 1 рубль. Упаковка ; 1993 ; 130 лет со дня рождения В.И.Вернадского ; Cu-Ni ; Proof ; 9 ; an17s ; 405 
 1917 ; 1 рубль. Упаковка ; 1993 ; 130 лет со дня рождения В.И.Вернадского ; Cu-Ni ; Proof ; 9 ; an17s ; 405 
 1918 ; 1 рубль ; 1991 ; 850 лет со дня рождения Низами Гянджеви ; Cu-Ni ; AU ; 8 ; 1alexs111 ; 77 
 1919 ; 1 рубль ; 1991 ; 101 год со дня рождения К.В.Иванова ; Cu-Ni ; Proof ; 14 ; @fol m ; 111 
 1920 ; 1 рубль ; 1991 ; 101 год со дня рождения К.В.Иванова ; Cu-Ni ; Proof ; 10 ; @fol m ; 108 
 1921 ; 1 рубль ; 1989 ; 175 лет со дня рождения Т.Г.Шевченко ; Cu-Ni ; Proof ; 11 ; @fol m ; 108 
 1922 ; 1 рубль ; 1989 ; 175 лет со дня рождения Т.Г.Шевченко ; Cu-Ni ; Proof ; 14 ; @fol m ; 107 
 1923 ; 1 рубль ; 1990 ; 125 лет со дня рождения Я.Райниса ; Cu-Ni ; Proof ; 10 ; AC/DC ; 101 
 1924 ; 1 рубль ; 1991 ; 850 лет со дня рождения Низами Гянджеви ; Cu-Ni ; Proof ; 9 ; iShurik ; 118 
 1925 ; 1 рубль ; 1989 ; 100 лет со дня рождения Ниязи ; Cu-Ni ; Proof ; 21 ; doiu33 ; 157 
 1926 ; 1 рубль ; 1983 ; 165 лет со дня рождения К.Маркса ; Cu-Ni ; Proof ; 22 ; apach ; 411 
 1927 ; 1 рубль ; 1989 ; 175 лет со дня рождения Т.Г.Шевченко ; Cu-Ni ; Proof ; 9 ; @fol m ; 100 
 1928 ; 1 рубль ; 1990 ; 500 лет со дня рождения Ф.Скорины ; Cu-Ni ; Proof ; 11 ; AC/DC ; 100 
 1929 ; 3 рубля ; 1992 ; Международный год космоса ; Cu-Ni ; AU ; 19 ; judge ; 288 
 1930 ; 1 рубль ; 1991 ; 550 лет со дня рождения А.Навои ; Cu-Ni ; Proof ; 7 ; AC/DC ; 108 
 1931 ; 1 рубль ; 1990 ; 125 лет со дня рождения Я.Райниса ; Cu-Ni ; Proof ; 13 ; AC/DC ; 111 
 1932 ; 1 рубль ; 1984 ; 185 лет со дня рождения А.С.Пушкина ; Cu-Ni ; AU ; 19 ; iustas ; 318 
 1933 ; 1 рубль ; 1990 ; 125 лет со дня рождения Я.Райниса ; Cu-Ni ; Proof ; 11 ; AC/DC ; 105 
 1934 ; 1 рубль ; 1990 ; 500 лет со дня рождения Ф.Скорины ; Cu-Ni ; Proof ; 11 ; AC/DC ; 105 
 1935 ; 1 рубль ; 1990 ; 500 лет со дня рождения Ф.Скорины ; Cu-Ni ; Proof ; 27 ; AC/DC ; 153 
 1936 ; 1 рубль ; 1982 ; 60 лет образования СССР ; Cu-Ni ; Proof ; 44 ; apach ; 651 
 1937 ; 1 рубль ; 1989 ; 100 лет со дня смерти Эминеску ; Cu-Ni ; Proof ; 9 ; se170661 ; 142 
 1938 ; 1 рубль ; 1986 ; 275 лет со дня рождения М.В.Ломоносова ; Cu-Ni ; AU ; 7 ; doiu33 ; 269 
 1939 ; 1 рубль ; 1990 ; 125 лет со дня рождения Я.Райниса ; Cu-Ni ; Proof ; 7 ; AC/DC ; 108 
 1940 ; 1 рубль ; 1990 ; 500 лет со дня рождения Ф.Скорины ; Cu-Ni ; Proof ; 9 ; AC/DC ; 101 
 1941 ; 1 рубль ; 1984 ; 185 лет со дня рождения А.С.Пушкина ; Cu-Ni ; Proof ; 23 ; Wulf ; 740 
 1942 ; 1 рубль ; 1984 ; 150 лет со дня рождения Д.И.Менделеева ; Cu-Ni ; Proof ; 30 ; Wulf ; 969 
 1943 ; 1 рубль ; 1983 ; 165 лет со дня рождения К.Маркса ; Cu-Ni ; AU ; 14 ; iustas ; 315 
 1944 ; 25 рублей. Сочи-2014. Большой знак СПМД. Упаковка ; 2012 ;  ; Cu-Ni ; Unc ; 27 ; 2104 ; 797 
 1945 ; 1 рубль ; 1990 ; 500 лет со дня рождения Ф.Скорины ; Cu-Ni ; Proof ; 14 ; ETI ; 113 
 1946 ; 1 рубль ; 1989 ; 175 лет со дня рождения Т.Г.Шевченко ; Cu-Ni ; Proof ; 7 ; AC/DC ; 121 
 1947 ; 1 рубль ; 1991 ; 101 год со дня рождения К.В.Иванова ; Cu-Ni ; Proof ; 19 ; iShurik ; 116 
 1948 ; 5 рублей ; 1993 ; Сергиев Посад ; Cu-Ni ; Proof ; 30 ; se170661 ; 451 
 1949 ; 5 рублей ; 1990 ; Успенский собор в Москве ; Cu-Ni ; AU ; 13 ; AC/DC ; 110 
 1850 ; 5 рублей. Брак чеканки. Аверс/реверс ; 1998 ; СПМД ; Cu in Cu-Ni ; VF+ ; 48 ; strigi ; 105 
 1851 ; 2 рубля. Брак чеканки. Аверс/реверс ; 2007 ; ММД ; Cu-Ni-Zn ; VF ; 17 ; контраст ; 78 
 1852 ; 2 рубля. Брак чеканки. Аверс/реверс ; 1997 ; ММД ; Cu-Ni-Zn ; VF ; 8 ; контраст ; 83 
 1853 ; 2 рубля. Брак чеканки. Аверс/реверс ; 1998 ; СПМД ; Cu-Ni-Zn ; VF ; 19 ; контраст ; 135 
 1854 ; 1 рубль. Брак чеканки. Аверс/реверс ; 2007 ; ММД ; Cu-Ni-Zn ; XF- ; 2 ; контраст ; 3 
 1855 ; 1 рубль-1доллар. Программа разоружения ; 1988 ;  ; Al ; XF+ ; 40 ; lesnik1 ; 920 
 1856 ; 5 ; 1998 ; о.Шпицберген ;  ; XF+ ; 27 ; amigoka ; 1538 
 1857 ; 2 ; 1998 ; о.Шпицберген ;  ; AU ; 35 ; amigoka ; 1722 
 1858 ; 1 ; 1998 ; о.Шпицберген ;  ; AU ; 42 ; amigoka ; 1944 
 1859 ; 0,5 ; 1998 ; о.Шпицберген ;  ; XF+ ; 38 ; amigoka ; 1599 
 1860 ; 0,25 ; 1998 ; о.Шпицберген ;  ; XF ; 48 ; amigoka ; 1988 
 1861 ; 0,1 ; 1998 ; о.Шпицберген ;  ; XF+ ; 43 ; amigoka ; 2039 
 1862 ; Жетон. 5 червонцев. Красная книга. Китайский окунь ; 2016ММД ;  ; Би/м ; AU ; 21 ; Зиминых ; 239 
 1863 ; Жетон. 5 червонцев. Красная книга. Китайский окунь ; 2016ММД ;  ; Би/м ; AU ; 19 ; 7 на 8 ; 239 
 1864 ; Жетон. 5 пядей. Николай Михайлович Пржевальский ; 2016ММД ;  ; Б/м ; AU ; 17 ; Цхамо-Дынза ; 225 
 1865 ; 1 рубль. Аверс/Аверс 180 градусов ; 2017ММД ;  ; Ni/St ; AU ; 65 ; gola78 ; 2601 
 1866 ; 10 рублей. Реверс/Реверс ;  ;  ; Лат/St ; XF+ ; 34 ; Рожин ; 2559 
 1867 ; 1 рубль. Аверс/Аверс ; 2016ММД ;  ; Ni/St ; AU ; 32 ; onedima ; 2448 
 1868 ; 1 рубль. Инкузный брак ; 2017ММД ;  ; Ni/St ; XF ; 87 ; андрей777 ; 6130 
 1869 ; 10 рублей. Северная Осетия-Алания. Редкий гурт ; 2013 ;  ; Би/м ; AU ; 22 ; ShYrik_RUS ; 153 
 1870 ; 10 рублей. Ямало-Ненецкий АО ; 2010 ;  ; Би/м ; XF+ ; 34 ; Babasya ; 14493 
 1871 ; 10 рублей. Северная Осетия-Алания. Редкий гурт ; 2013 ;  ; Би/м ; AU ; 12 ; shknikolay ; 159 
 1872 ; 10 рублей. Северная Осетия-Алания. Магнитная ; 2013 ;  ; Би/м ; AU/XF ; 35 ; don Pacheko ; 2457 
 1873 ; 10 рублей. Пермский край ; 2010 ;  ; Би/м ; AU ; 33 ; Evgeniy19 ; 3115 
 1874 ; 10 рублей ; 2010 ; Пермский край ; биметалл ; XF+ ; 40 ; is54 ; 3001 
 1875 ; 5 копеек. В капсуле ННР. MS64 ; 1966 ;  ; Cu-Zn ;  ; 35 ; Too Late ; 4420 
 1876 ; 5 копеек ; 1968 ;  ; Cu-Zn ; XF ; 26 ; николаич ; 2271 
 1877 ; 5 копеек ; 1990 ; М ; Cu-Zn ; VF-XF ; 40 ; chingizhan ; 15605 
 1878 ; 10 копеек ; 1934 ;  ; Ni ; F+ ; 53 ; CASABLANCA ; 971 
 1879 ; 1 рубль ; 1991 ; 100 лет со дня рождения С.Прокофьева ; Cu-Ni ; Proof ; 13 ; сортам70 ; 115 
 1880 ; 3 рубля. Упаковка ; 1991 ; 50 лет победы под Москвой ; Cu-Ni ; Proof ; 32 ; Rober ; 237 
 1881 ; 1 рубль. Упаковка ; 1991 ; Махтумкули ; Cu-Ni ; AU ; 17 ; 2pok ; 212 
 1882 ; 1 рубль ; 1975 ; 30 лет Победы в войне 1941-1945 ; Cu-Ni ; XF ; 13 ; крлкв ; 126 
 1883 ; 5 рублей ; 1991 ; Архангельский собор в Москве ; Cu-Ni ; XF+ ; 19 ; doiu33 ; 247 
 1884 ; 1 рубль ; 1983 ; 165 лет со дня рождения К.Маркса ; Cu-Ni ; Proof ; 17 ; grisha 37 ; 411 
 1885 ; 1 рубль ; 1992 ; 200 лет со дня рождения Н.И.Лобачевского ; Cu-Ni ; XF+ ; 18 ; Orlov1504 ; 412 
 1886 ; 1 рубль. Упаковка ; 1991 ; Махтумкули ; Cu-Ni ; Proof ; 28 ; AC/DC ; 173 
 1887 ; 1 рубль. Упаковка ; 1992 ; "Суверенитет, демократия, возрождение" ; Cu-Ni ; Proof ; 14 ; ♂ ; 726 
 1888 ; 3 рубля. Упаковка ; 1992 ; 750 лет победы А.Невского ; Cu-Ni ; Proof ; 7 ; judge ; 414 
 1889 ; 1 рубль. Упаковка ; 1991 ; 850 лет со дня рождения Низами Гянджеви ; Cu-Ni ; Proof ; 17 ; shelbyroush ; 169 
 1890 ; 5 рублей. В коробке на 36 монет ; 1987 ; 70 лет Октябрьской революции ; Cu-Ni ; Proof ; 43 ; Коллекционер СНГ ; 3064 
 1891 ; 1 рубль. Упаковка ; 1992 ; 110 лет со дня рождения Я.Купалы ; Cu-Ni ; Proof ; 25 ; Orlov1504 ; 530 
 1892 ; 1 рубль. Упаковка ; 1991 ; 101 год со дня рождения К.В.Иванова ; Cu-Ni ; Proof ; 30 ; Gerasim ; 169 
 1893 ; 1 рубль. Упаковка ; 1991 ; 550 лет со дня рождения А.Навои ; Cu-Ni ; Proof ; 14 ; iShurik ; 161 
 1894 ; 1 рубль. Упаковка ; 1991 ; 850 лет со дня рождения Низами Гянджеви ; Cu-Ni ; AU ; 9 ; jek31 ; 194 
 1895 ; 1 рубль ; 1991 ; 850 лет со дня рождения Низами Гянджеви ; Cu-Ni ; Proof ; 22 ; rem ; 124 
 1896 ; 1 рубль. Упаковка ; 1993 ; 130 лет со дня рождения В.И.Вернадского ; Cu-Ni ; Proof ; 9 ; RBM ; 419 
 1897 ; 1 рубль ; 1991 ; 550 лет со дня рождения А.Навои ; Cu-Ni ; Proof ; 7 ; AC/DC ; 123 
 1898 ; 1 рубль ; 1991 ; 550 лет со дня рождения А.Навои ; Cu-Ni ; Proof ; 7 ; AC/DC ; 123 
 1899 ; 1 рубль. Упаковка ; 1993 ; 130 лет со дня рождения В.И.Вернадского ; Cu-Ni ; Proof ; 11 ; Orlov1504 ; 415 
 1800 ; 20 рублей. 50 лет Великой Победы ; 1995ЛМД ;  ; Cu-Ni ; AU ; 19 ; tisa66 ; 1578 
 1801 ; 10 рублей. 50 лет Великой Победы ; 1995ЛМД ;  ; Cu-Ni ; AU ; 26 ; Палыч61 ; 1491 
 1802 ; 5 рублей. 50 лет Великой Победы ; 1995ЛМД ;  ; Латунь ; AU ; 18 ; Lafeto55 ; 1454 
 1803 ; 1 рубль. 50 лет Великой Победы ; 1995ЛМД ;  ; Латунь ; AU ; 27 ; Lafeto55 ; 1454 
 1804 ; Жетон Петр I основатель монетного двора ;  ;  ; Ж/м ; AU ; 25 ; Lafeto55 ; 385 
 1805 ; 100 рублей ; 1993 ; о.Шпицберген ;  ; AU ; 17 ; Rober ; 255 
 1806 ; 100 рублей ; 1993 ; о.Шпицберген ;  ; AU ; 10 ; Звездолёты ; 260 
 1807 ; 50 рублей ; 1993 ; о.Шпицберген ;  ; XF ; 11 ; krugerrand ; 209 
 1808 ; 50 рублей ; 1993 ; о.Шпицберген ;  ; XF ; 6 ; Rober ; 206 
 1809 ; 25 рублей ; 1993 ; о.Шпицберген ;  ; AU ; 4 ; krugerrand ; 180 
 1810 ; 25 рублей ; 1993 ; о.Шпицберген ;  ; AU ; 6 ; nik2678 ; 206 
 1811 ; 25 рублей ; 1993 ; о.Шпицберген ;  ; AU ; 13 ; Lafeto55 ; 215 
 1812 ; 25 рублей ; 1993 ; о.Шпицберген ;  ; AU ; 7 ; Rober ; 207 
 1813 ; 25 рублей ; 1993 ; о.Шпицберген ;  ; AU ; 6 ; krugerrand ; 207 
 1814 ; Разменный знак 10. Остров Шпицберген. Извержение вулкана Эйяфьядлайекудль ; 2010СПМД ;  ; Cu-Ni ; Proof ; 26 ; rbhbvzcjd ; 1979 
 1815 ; Разменный знак 10. Остров Шпицберген. Памяти  Нельсона  Манделы ; 2017СПМД ;  ; Cu-Ni ; Proof ; 14 ; Зиминых ; 869 
 1816 ; Разменный знак 10. Остров Шпицберген. Авария на АЭС Фукусима ; 2011СПМД ;  ; Cu-Ni ; Proof ; 25 ; rbhbvzcjd ; 2060 
 1817 ; Разменный знак 10. Остров Шпицберген. Против терроризма. В память жертв теракта А. Брейвика ; 2011СПМД ;  ; Cu-Ni ; Proof ; 12 ; Зиминых ; 1019 
 1818 ; Разменный знак 10. Остров Шпицберген. Взрыв метеорита над Челябинском ; 2013СПМД ;  ; Cu-Ni ; Proof ; 18 ; Зиминых ; 1061 
 1819 ; Разменный знак 10. Остров Шпицберген. "Конец света"-по календарю майя ; 2012СПМД ;  ; Cu-Ni ; Proof ; 18 ; Зиминых ; 888 
 1820 ; Разменный знак 10. Остров Шпицберген. Извержение вулкана Эйяфьядлайекудль ; 2010СПМД ;  ; Cu-Ni ; Proof ; 23 ; Wulf ; 2040 
 1821 ; Разменный знак 10. остров Шпицберген. Арктикуголь. С надписью "разменный знак". Против терроризма. Нью-Йорк ; 2001СПМД ;  ; Cu-Ni ; Proof ; 30 ; Зиминых ; 793 
 1822 ; Разменный знак 10. Остров Шпицберген. Взрыв метеорита над Челябинском ; 2013СПМД ;  ; Cu-Ni ; Proof ; 32 ; 7 на 8 ; 1105 
 1823 ; Разменный знак 10. Остров Шпицберген. Против терроризма. В память жертв теракта А. Брейвика ; 2011СПМД ;  ; Cu-Ni ; Proof ; 26 ; 7 на 8 ; 1151 
 1824 ; Разменный знак 10. Остров Шпицберген. Авария на АЭС Фукусима ; 2011СПМД ;  ; Cu-Ni ; Proof ; 28 ; Wulf ; 2001 
 1825 ; Разменный знак 10. Остров Шпицберген. Борьба с эпидемией лихорадки  эбола ; 2015СПМД ;  ; Cu-Ni ; Proof ; 18 ; Зиминых ; 1151 
 1826 ; Разменный знак 10. Остров Шпицберген. Памяти  Нельсона  Манделы ; 2014СПМД ;  ; Cu-Ni ; Proof ; 19 ; Wulf ; 940 
 1827 ; Разменный знак 10. Остров Шпицберген. Приток мигрантов в страны Евросоюза ; 2015СПМД ;  ; Cu-Ni ; Proof ; 23 ; rbhbvzcjd ; 1550 
 1828 ; Разменный знак 10. Остров Шпицберген. "Конец света"-по календарю майя ; 2012СПМД ;  ; Cu-Ni ; Proof ; 11 ; ВОТПО ; 1019 
 1829 ; Разменный знак 10. Остров Шпицберген. Глобальное изменение климата Земли. Проба ; СПМД ;  ; Cu-Ni ; Proof ; 31 ; Wulf ; 3518 
 1830 ; Разменный знак 10. Остров Шпицберген. Борьба с эпидемией лихорадки  эбола ; 2015СПМД ;  ; Cu-Ni ; Proof ; 30 ; Saymon ; 1223 
 1831 ; Разменный знак 10. Остров Шпицберген. Глобальное изменение климата Земли. Проба ; СПМД ;  ; Cu-Ni ; Proof ; 41 ; karden53 ; 3314 
 1832 ; Разменный знак 10. Остров Шпицберген. Приток мигрантов в страны Евросоюза ; 2015СПМД ;  ; Ag925 ; Proof ; 50 ; ryber ; 12466 
 1833 ; Один полтинник. Брежнев. Тираж 100шт ;  ;  ; Ag ; Proof ; 44 ; БАТЫР ; 4647 
 1834 ; 100 рублей ; 1993 ; о.Шпицберген ;  ; AU ; 11 ; Rober ; 223 
 1835 ; 25 рублей ; 1993 ; о.Шпицберген ;  ; XF+ ; 10 ; Rober ; 199 
 1836 ; 50 рублей ; 1993 ; о.Шпицберген ;  ; XF+ ; 9 ; Rober ; 195 
 1837 ; 10 рублей. Ржев. Брак монетного двора ; 2016ММД ;  ; Би/м ; XF+ ; 39 ; Plymouth ; 5541 
 1838 ; 10 рублей. Брак чеканки. Сдвиг вставки ; 1991 ; ЛМД Биметалл ; Cu-Zn/Cu-Ni ; VF+ ; 38 ; persik ; 516 
 1839 ; 10 рублей. Линии смыкаются в нуле ;  ;  ; Лат/St ; XF ; 43 ; rudius ; 556 
 1840 ; 1 рубль ; 1974 ;  ; Cu-Ni ; AU ; 49 ; kn157736 ; 1797 
 1841 ; 50 копеек ; 1974 ;  ; Cu-Ni ; AU ; 41 ; amigoka ; 408 
 1842 ; 20 копеек ; 1974 ;  ; Cu-Ni ; AU ; 53 ; kn157736 ; 2631 
 1843 ; 15 копеек ; 1974 ;  ; Cu-Ni ; AU ; 36 ; kn157736 ; 2552 
 1844 ; 10 копеек ; 1974 ;  ; Cu-Ni ; AU ; 51 ; x645xx ; 333 
 1845 ; 5 копеек ; 1974 ;  ; Cu-Zn ; AU ; 82 ; Аю ; 411 
 1846 ; 3 копейки ; 1974 ;  ; Cu-Zn ; AU ; 33 ; amigoka ; 203 
 1847 ; 2 копейки ; 1974 ;  ; Cu-Zn ; AU ; 8 ; amigoka ; 101 
 1848 ; 1 копейка ; 1974 ;  ; Cu-Zn ; AU ; 9 ; sergeimost ; 14 
 1849 ; 10 рублей. Брак чеканки. Аверс/реверс ; 2012 ; ММД ; сталь+латунь ; XF+ ; 20 ; контраст ; 169 
 1750 ; 50 рублей ; 1993 ; ЛМД Черноморская афалина ; биметалл ; XF+ ; 39 ; sveta6369 ; 825 
 1751 ; 50 рублей ; 1993 ; ЛМД Кавказский тетерев ; биметалл ; AU ; 14 ; 2392 ; 723 
 1752 ; 50 рублей ; 1993 ; ЛМД Гималайский медведь ; биметалл ; AU ; 12 ; stanis.bogdanoff ; 835 
 1753 ; 50 рублей ; 1993 ; ЛМД Туркменский зублефар ; биметалл ; AU ; 24 ; stanis.bogdanoff ; 753 
 1754 ; 50 рублей ; 1994 ; ЛМД Песчаный слепыш ; биметалл ; AU ; 31 ; vitab ; 1219 
 1755 ; 50 рублей ; 1994 ; ЛМД Зубр ; биметалл ; AU ; 37 ; vitab ; 1219 
 1756 ; 50 рублей ; 1994 ; ЛМД Фламинго ; биметалл ; XF+ ; 14 ; vitab ; 1168 
 1757 ; 50 рублей ; 1994 ; ЛМД Сапсан ; биметалл ; AU ; 40 ; vitab ; 1400 
 1758 ; 50 рублей ; 1994 ; ЛМД Джейран ; биметалл ; XF+ ; 41 ; vitab ; 3310 
 1759 ; 5 рублей ; 1991 ; ЛМД Винторогий козел ; биметалл ; XF ; 17 ; Mukoved ; 430 
 1760 ; 5 рублей ; 1991 ; ЛМД Рыбный филин ; биметалл ; XF ; 17 ; Матроскин ; 426 
 1761 ; 10 рублей ; 1992 ; ЛМД Амурский Тигр ; биметалл ; AU ; 25 ; kn157736 ; 1535 
 1762 ; 10 рублей ; 1992 ; ЛМД Краснозобая казарка ; биметалл ; AU ; 21 ; МММ ; 735 
 1763 ; 10 рублей ; 1992 ; ЛМД Среднеазиатская кобра ; биметалл ; XF+ ; 21 ; kn157736 ; 865 
 1764 ; 50 рублей ; 1993 ; ЛМД Гималайский медведь ; биметалл ; AU ; 11 ; nik2678 ; 895 
 1765 ; 50 рублей ; 1993 ; ЛМД Дальневосточный аист ; биметалл ; XF+ ; 37 ; stanis.bogdanoff ; 723 
 1766 ; 50 рублей ; 1993 ; ЛМД Черноморская афалина ; биметалл ; XF+ ; 9 ; MolchSer5 ; 902 
 1767 ; 50 рублей ; 1993 ; ЛМД Кавказский тетерев ; биметалл ; AU ; 13 ; kn157736 ; 753 
 1768 ; 50 рублей ; 1993 ; ЛМД Туркменский зублефар ; биметалл ; AU ; 14 ; iustas ; 723 
 1769 ; 50 рублей ; 1994 ; ЛМД Зубр ; биметалл ; XF+ ; 18 ; Вованыч ; 1241 
 1770 ; 50 рублей ; 1994 ; ЛМД Сапсан ; биметалл ; AU ; 14 ; grisha 37 ; 1134 
 1771 ; 50 рублей ; 1994 ; ЛМД Фламинго ; биметалл ; AU ; 17 ; kn157736 ; 1530 
 1772 ; 50 рублей ; 1994 ; ЛМД Песчаный слепыш ; биметалл ; AU ; 27 ; ShYrik_RUS ; 1181 
 1773 ; 50 рублей ; 1993 ; ЛМД Кавказский тетерев ; биметалл ; AU ; 16 ; stanis.bogdanoff ; 723 
 1774 ; 5 рублей ; 1991 ; ЛМД Рыбный филин ; биметалл ; AU ; 27 ; bcg ; 457 
 1775 ; 5 рублей ; 1991 ; ЛМД Винторогий козел ; биметалл ; AU ; 25 ; bcg ; 483 
 1776 ; 10 рублей ; 1992 ; ЛМД Амурский Тигр ; биметалл ; AU ; 23 ; MolchSer5 ; 1141 
 1777 ; 10 рублей ; 1992 ; ЛМД Краснозобая казарка ; биметалл ; AU ; 16 ; kn157736 ; 793 
 1778 ; 10 рублей ; 1992 ; ЛМД Среднеазиатская кобра ; биметалл ; AU ; 17 ; KARJU ; 979 
 1779 ; 5 рублей ; 1991 ; ЛМД Винторогий козел ; биметалл ; XF+ ; 31 ; kn157736 ; 438 
 1780 ; 5 рублей ; 1991 ; ЛМД Рыбный филин ; биметалл ; AU ; 30 ; Lafeto55 ; 448 
 1781 ; 10 рублей ; 1992 ; ЛМД Среднеазиатская кобра ; биметалл ; XF ; 32 ; gola78 ; 837 
 1782 ; 10 рублей ; 1992 ; ЛМД Амурский Тигр ; биметалл ; AU ; 28 ; gola78 ; 1131 
 1783 ; 10 рублей ; 1992 ; ЛМД Краснозобая казарка ; биметалл ; AU ; 16 ; MolchSer5 ; 837 
 1784 ; 50 рублей ; 1994 ; ЛМД Сапсан ; биметалл ; AU ; 39 ; kn157736 ; 1560 
 1785 ; 50 рублей ; 1994 ; ЛМД Фламинго ; биметалл ; AU ; 27 ; ShYrik_RUS ; 1318 
 1786 ; 50 рублей ; 1994 ; ЛМД Песчаный слепыш ; биметалл ; AU ; 21 ; kn157736 ; 1216 
 1787 ; 50 рублей ; 1993 ; ЛМД Туркменский зублефар ; биметалл ; AU ; 33 ; kn157736 ; 753 
 1788 ; 50 рублей ; 1993 ; ЛМД Гималайский медведь ; биметалл ; AU ; 19 ; kn157736 ; 878 
 1789 ; 50 рублей ; 1993 ; ЛМД Дальневосточный аист ; биметалл ; XF ; 28 ; Hikon ; 702 
 1790 ; 50 рублей ; 1993 ; ЛМД Черноморская афалина ; биметалл ; AU ; 17 ; kn157736 ; 944 
 1791 ; 50 рублей ; 1993 ; ЛМД Кавказский тетерев ; биметалл ; AU ; 15 ; Lafeto55 ; 732 
 1792 ; 100 рублей. 300 лет Российскому флоту ; 1996 ;  ; Cu-Ni ; AU ; 40 ; vitab ; 5087 
