 5633 ; Бона иностранная ;  ;  ;  ;  ; 7 ; северянин ; 30 
 1790 ; 50 копеек ; 1991 ; ЛМД ; Cu-Ni ; AU ; 11 ; maximus777 ; 261 
 1791 ; 20 копеек ; 1950 ;  ; Ni ; VF ; 21 ; хуч ; 1500 
 1792 ; 10 копеек ; 1948 ;  ; Ni ; VF-XF ; 16 ; KOPOJIbPVP ; 107 
 1793 ; 3 копейки ; 1966 ;  ; Cu-Zn ; VF- ; 19 ; Armando ; 232 
 1794 ; 3 копейки ; 1991 ; ЛМД ; Cu-Zn ; AU ; 5 ; Guerras ; 48 
 1795 ; 2 копейки ; 1926 ;  ; Br ; VF ; 5 ; zemlyk2014 ; 46 
 1796 ; 2 копейки ; 1930 ;  ; Br ; VF- ; 5 ; zemlyk2014 ; 48 
 1797 ; 5 копеек ; 1931 ;  ; Br ; VF+ ; 16 ; zemlyk2014 ; 50 
 1798 ; 3 копейки ; 1926 ;  ; Br ; XF ; 18 ; vasilyi66 ; 153 
 1799 ; 3 копейки ; 1930 ;  ; Br ; VF ; 2 ; Jiamer57rus ; 12 
 1800 ; 3 копейки ; 1968 ;  ; Cu-Zn ; VF-XF ; 12 ; Дима Шухов ; 48 
 1801 ; 3 копейки ; 1968 ;  ; Cu-Zn ; AU ; 19 ; Atos_1969 ; 141 
 1802 ; 2 копейки ; 1968 ;  ; Cu-Zn ; AU ; 15 ; volkov ; 113 
 1803 ; 1 копейка ; 1968 ;  ; Cu-Zn ; AU ; 7 ; volkov ; 92 
 1804 ; 10 копеек ; 1957 ; В венке герба 15 лент ; Ni ; AU ; 11 ; quarter ; 102 
 1805 ; 15 копеек ; 1957 ; В венке герба 15 лент ; Ni ; XF+ ; 11 ; quarter ; 155 
 1806 ; 15 копеек ; 1933 ;  ; Ni ; XF+ ; 65 ; Guerras ; 397 
 1807 ; 15 копеек ; 1956 ;  ; Ni ; XF+ ; 10 ; Дима Шухов ; 51 
 1808 ; 10 копеек ; 1932 ;  ; Ni ; XF ; 18 ; Zигмунт ; 218 
 1809 ; 15 копеек ; 1938 ;  ; Ni ; XF ; 62 ; Восток ; 708 
 1810 ; 5 копеек ; 1943 ;  ; Br ; F-VF ; 28 ; iizikul ; 236 
 1811 ; 5 копеек ; 1928 ;  ; Br ; F ; 11 ; спарта ; 117 
 1812 ; 1 рубль ; 1970 ;  ; Cu-Ni ; VF+ ; 41 ; zeleny3421 ; 815 
 1813 ; 1 рубль ; 1965 ;  ; Cu-Ni ; VF+ ; 11 ; Дима Шухов ; 106 
 1814 ; 1 рубль ; 1984 ;  ; Cu-Ni ; VF ; 36 ; iizikul ; 255 
 1815 ; 1 рубль ; 1985 ;  ; Cu-Ni ; VF+ ; 18 ; happy ; 255 
 1816 ; 1 рубль ; 1986 ;  ; Cu-Ni ; XF ; 25 ; zeleny3421 ; 420 
 1817 ; 1 рубль ; 1988 ;  ; Cu-Ni ; XF ; 22 ; happy ; 273 
 1818 ; 1 рубль ; 1985 ;  ; Cu-Ni ; VF+ ; 20 ; Дима Шухов ; 261 
 1819 ; 5 копеек ; 1953 ;  ; Br ; VF- ; 11 ; vasilyi66 ; 54 
 1820 ; 1 копейка ; 1930 ;  ; Br ; VF ; 31 ; vasilyi66 ; 245 
 1821 ; 5 копеек ; 1928 ;  ; Br ; F-VF ; 7 ; iizikul ; 109 
 1822 ; 3 копейки ; 1926 ;  ; Br ; VF ; 17 ; vasilyi66 ; 114 
 1823 ; 3 копейки ; 1926 ;  ; Br ; VF- ; 11 ; iizikul ; 110 
 1824 ; 3 копейки ; 1928 ;  ; Br ; VF ; 28 ; Каенн ; 347 
 1825 ; 3 копейки ; 1928 ;  ; Br ; VF- ; 16 ; iizikul ; 122 
 1826 ; 2 копейки ; 1926 ;  ; Br ; VF ; 11 ; Дима31 ; 36 
 1827 ; 2 копейки ; 1926 ;  ; Br ; XF ; 37 ; KOPOJIbPVP ; 155 
 1828 ; 1 копейка ; 1926 ;  ; Br ; VF ; 16 ; iizikul ; 159 
 1829 ; 1 копейка ; 1927 ;  ; Br ; VF ; 15 ; Восток ; 122 
 1830 ; 1 копейка ; 1928 ;  ; Br ; VF-XF ; 11 ; shknikolay ; 134 
 1831 ; 20 копеек ; 1977 ; Л/с шт. 3 коп. ; Cu-Ni ; XF ; 11 ; cr2952 ; 408 
 1832 ; 20 копеек ; 1984 ; Л/с шт. 3 коп. ; Cu-Ni ; XF ; 13 ; хуч ; 225 
 1833 ; 5 копеек ; 1935 ;  ; Br ; F-VF ; 26 ; ввп ; 1581 
 1834 ; 100 рублей ; 1993 ; ЛМД Белый металл ; Cu-Ni ; AU ; 6 ; Ксения ; 20 
 1835 ; 5 копеек ; 1957 ; В венке герба 15 лент ; Br ; XF+ ; 15 ; Drusa80 ; 521 
 1836 ; 1 рубль ; 1965 ;  ; Cu-Ni ; VF+ ; 13 ; ASA19V ; 228 
 1737 ; 5 рублей ; 1988 ; Софийский собор в Киеве ; Cu-Ni ; Proof ; 18 ; Дима Шухов ; 255 
 1738 ; 5 рублей ; 1989 ; Благовещенский собор в Москве ; Cu-Ni ; AU ; 19 ; GarryD ; 290 
 1739 ; 5 рублей ; 1991 ; Здание Госбанка СССР в Москве ; Cu-Ni ; AU ; 10 ; Дима Шухов ; 130 
 1740 ; 1 рубль ; 1988 ; 120 лет со дня рождения А.М.Горького ; Cu-Ni ; Proof ; 15 ; gola78 ; 143 
 1741 ; 1 рубль ; 1987 ; 130 лет со дня рождения К.Э.Циолковского ; Cu-Ni ; Proof ; 29 ; shtrafbat ; 180 
 1742 ; 3 рубля. Упаковка ; 1991 ; 50 лет победы под Москвой ; Cu-Ni ; Proof ; 39 ; Galina66 ; 487 
 1743 ; 3 рубля. Упаковка ; 1992 ; Международный год космоса ; Cu-Ni ; Proof ; 39 ; Galina66 ; 459 
 1744 ; 3 рубля. Упаковка ; 1993 ; 50 лет победы на Курской дуге ; Cu-Ni ; Unc ; 15 ; iizikul ; 591 
 1745 ; 1 рубль ; 1993 ; 110 лет со дня рождения А.П.Бородина ; Cu-Ni ; Proof ; 32 ; Nikolaev2 ; 1100 
 1746 ; 1 рубль. Новодел. Упаковка ; 1983 ; 20 лет полета в космос В.Терешковой ; Cu-Ni ; Proof ; 19 ; Каенн ; 765 
 1747 ; 1 рубль. Новодел. Упаковка ; 1984 ; 185 лет со дня рождения А.С.Пушкина ; Cu-Ni ; Proof ; 41 ; maximus777 ; 800 
 1748 ; 1 рубль. Новодел. Упаковка ; 1983 ; 400 лет со дня смерти И.Федорова 1510-1583 ; Cu-Ni ; Proof ; 44 ; Galina66 ; 1020 
 1749 ; 1 рубль. Новодел. Упаковка ; 1965 ; 20 лет победы над Германией ; Cu-Ni ; Proof ; 42 ; stasson ; 903 
 1750 ; 1 рубль. Новодел. Упаковка ; 1977 ; 60 лет Советской власти ; Cu-Ni ; Proof ; 29 ; maximus777 ; 612 
 1751 ; 1 рубль. Новодел. Упаковка ; 1985 ; 165 лет со дня рождения Ф.Энгельса ; Cu-Ni ; Proof ; 30 ; maximus777 ; 816 
 1752 ; 1 рубль. В конверте ; 1965 ; 20 лет победы над Германией ; Cu-Ni ; Unc/AU ; 21 ; Bonyf ; 363 
 1753 ; 1 рубль. Упаковка ; 1987 ; 70 лет Октябрьской революции ; Cu-Ni ; Proof ; 32 ; TECHNO ; 318 
 1754 ; 1 рубль. Упаковка ; 1988 ; 160 лет со дня рождения А.Н.Толстого ; Cu-Ni ; Proof ; 19 ; pichenka ; 204 
 1755 ; 1 рубль ; 1991 ; 550 лет со дня рождения А.Навои ; Cu-Ni ; AU ; 7 ; gola78 ; 93 
 1756 ; 1 рубль ; 1985 ; 115 лет со дня рождения В.И.Ленина ; Cu-Ni ; AU ; 17 ; лом45 ; 341 
 1757 ; 1 рубль ; 1990 ; 125 лет со дня рождения Я.Райниса ; Cu-Ni ; AU ; 5 ; Рыцарь ; 74 
 1758 ; 1 рубль ; 1989 ; 100 лет со дня рождения Ниязи ; Cu-Ni ; AU ; 17 ; mishakl ; 151 
 1759 ; 1 рубль ; 1981 ; 20 лет полета в космос Ю.Гагарина ; Cu-Ni ; AU ; 11 ; quarter ; 139 
 1760 ; 1 рубль ; 1985 ; 40 лет Победы над Германией ; Cu-Ni ; AU ; 41 ; Рыцарь ; 51 
 1761 ; 1 рубль. Упаковка ; 1990 ; 500 лет со дня рождения Ф.Скорины ; Cu-Ni ; AU ; 15 ; lvd ; 130 
 1762 ; 5 рублей ; 1990 ; Большой дворец в Петродворце ; Cu-Ni ; AU ; 19 ; KhS ; 159 
 1763 ; 1 рубль ; 1977 ; Олимпиада 80.Эмблема Олимпийских игр ; Cu-Ni ; XF ; 5 ; Рыцарь ; 48 
 1764 ; 1 рубль. Ошибка нв часах ; 1978 ; Олимпиада 80.Московский Кремль ; Cu-Ni ; XF ; 21 ; cr2952 ; 126 
 1765 ; 1 рубль ; 1979 ; Олимпиада 80.Здание МГУ ; Cu-Ni ; XF ; 13 ; Magger ; 143 
 1766 ; 1 рубль ; 1980 ; Олимпиада 80.Здание Моссовета ; Cu-Ni ; XF ; 5 ; Рыцарь ; 84 
 1767 ; 1 рубль ; 1981 ; Дружба навеки ; Cu-Ni ; XF ; 22 ; хуторянин ; 352 
 1768 ; 1 рубль ; 1983 ; 165 лет со дня рождения К.Маркса ; Cu-Ni ; AU ; 15 ; хуторянин ; 306 
 1769 ; 1 рубль ; 1983 ; 20 лет полета в космос В.Терешковой ; Cu-Ni ; XF+ ; 20 ; Jek327 ; 279 
 1770 ; 1 рубль ; 1977 ; Олимпиада 80.Эмблема Олимпийских игр ; Cu-Ni ; XF+ ; 8 ; mikl183 ; 55 
 1771 ; 1 рубль ; 1983 ; 400 лет со дня смерти И.Федорова 1510-1583 ; Cu-Ni ; AU ; 19 ; тпруф ; 300 
 1772 ; 1 рубль ; 1984 ; 185 лет со дня рождения А.С.Пушкина ; Cu-Ni ; AU ; 17 ; paranoy ; 306 
 1773 ; 1 рубль ; 1984 ; 150 лет со дня рождения Д.И.Менделеева ; Cu-Ni ; AU ; 11 ; FIGAS ; 268 
 1774 ; 1 рубль ; 1985 ; 115 лет со дня рождения В.И.Ленина ; Cu-Ni ; AU ; 18 ; FIGAS ; 327 
 1775 ; 1 рубль ; 1985 ; 165 лет со дня рождения Ф.Энгельса ; Cu-Ni ; AU ; 12 ; FIGAS ; 239 
 1776 ; 10 рублей ; 2010 ; Чеченская республика ; биметалл ; AU ; 21 ; Fighter72rus ; 5202 
 1777 ; 10 рублей ; 2010 ; Ямало-Ненецкий АО ; биметалл ; AU ; 29 ; каламбурчик ; 11900 
 1778 ; 1 рубль ; 1989 ;  ; Cu-Ni ; AU ; 30 ; мак-сим ; 261 
 1779 ; 1 рубль ; 1961 ;  ; Cu-Ni ; AU ; 45 ; Fliege1 ; 738 
 1780 ; 1 рубль ; 1991 ; ММД ; Cu-Ni ; XF+/AU ; 20 ; ASA19V ; 408 
 1781 ; 1 рубль ; 1990 ;  ; Cu-Ni ; XF ; 28 ; maximus777 ; 477 
 1782 ; 1 рубль ; 1968 ;  ; Cu-Ni ; AU ; 44 ; ЦЕЛКОВЫЙ ; 1152 
 1783 ; 50 копеек ; 1990 ;  ; Cu-Ni ; AU ; 25 ; zeleny3421 ; 588 
 1784 ; 5 копеек ; 1956 ;  ; Br ; XF+ ; 16 ; TECHNO ; 161 
 1785 ; 5 копеек ; 1957 ; В венке герба 15 лент ; Br ; XF+ ; 14 ; quarter ; 206 
 1786 ; 1 копейка ; 1949 ;  ; Br ; XF+ ; 12 ; SemAN ; 55 
 1687 ; 1 рубль ; 1990 ; 125 лет со дня рождения Я.Райниса ; Cu-Ni ; AU ; 7 ; Stanislavskiy-89 ; 93 
 1688 ; 1 рубль ; 1975 ; 30 лет Победы в войне 1941-1945 ; Cu-Ni ; AU ; 11 ; Рыцарь ; 61 
 1689 ; 1 рубль ; 1991 ; 550 лет со дня рождения А.Навои ; Cu-Ni ; AU ; 18 ; gola78 ; 93 
 1690 ; 1 рубль ; 1991 ; 100 лет со дня рождения С.Прокофьева ; Cu-Ni ; AU ; 18 ; ацетон ; 93 
 1691 ; 1 рубль ; 1991 ; 850 лет со дня рождения Низами Гянджеви ; Cu-Ni ; AU ; 8 ; Дима Шухов ; 98 
 1692 ; 1 рубль ; 1991 ; 125 лет со дня рождения П.Н.Лебедева ; Cu-Ni ; AU ; 15 ; Рыцарь ; 91 
 1693 ; 1 рубль ; 1982 ; 60 лет образования СССР ; Cu-Ni ; Proof ; 24 ; pichenka ; 420 
 1694 ; 1 рубль ; 1983 ; 20 лет полета в космос В.Терешковой ; Cu-Ni ; Proof ; 38 ; Galina66 ; 1326 
 1695 ; 1 рубль ; 1983 ; 165 лет со дня рождения К.Маркса ; Cu-Ni ; Proof ; 31 ; ростов ; 415 
 1696 ; 1 рубль ; 1986 ; Международный год мира ; Cu-Ni ; Proof ; 35 ; Banderas ; 700 
 1697 ; 1 рубль ; 1975 ; 30 лет Победы в войне 1941-1945 ; Cu-Ni ; Unc ; 22 ; klimvita ; 228 
 1698 ; 3 рубля ; 1989 ; Землятресение в Армении ; Cu-Ni ; Proof ; 16 ; сортам70 ; 165 
 1699 ; 1 рубль ; 1991 ; 850 лет со дня рождения Низами Гянджеви ; Cu-Ni ; AU ; 9 ; Xxzx ; 114 
 1700 ; 5 рублей. Упаковка ; 1990 ; Матенадаран.Ереван ; Cu-Ni ; Proof ; 23 ; pichenka ; 232 
 1701 ; 1 рубль ; 1970 ; 100 лет со дня рождения В.И.Ленина ; Cu-Ni ; XF+ ; 5 ; Maksss163 ; 33 
 1702 ; 1 рубль ; 1977 ; Олимпиада 80.Эмблема Олимпийских игр ; Cu-Ni ; XF ; 6 ; Рыцарь ; 48 
 1703 ; 1 рубль ; 1978 ; Олимпиада 80.Московский Кремль ; Cu-Ni ; XF- ; 12 ; vania1981 ; 68 
 1704 ; 1 рубль ; 1979 ; Олимпиада 80.Здание МГУ ; Cu-Ni ; XF ; 14 ; Дима Шухов ; 114 
 1705 ; 1 рубль ; 1979 ; Олимпиада 80.Обелиск покорителям космоса ; Cu-Ni ; XF ; 12 ; Рыцарь ; 68 
 1706 ; 1 рубль ; 1980 ; Олимпиада 80.Здание Моссовета ; Cu-Ni ; XF ; 9 ; paranoy ; 77 
 1707 ; 1 рубль ; 1980 ; Олимпиада 80.Здание Моссовета ; Cu-Ni ; XF ; 6 ; Рыцарь ; 84 
 1708 ; 1 рубль ; 1980 ; Олимпиада 80.Олимпийский факел ; Cu-Ni ; XF ; 23 ; gola78 ; 153 
 1709 ; 1 рубль ; 1982 ; 60 лет образования СССР ; Cu-Ni ; XF+ ; 20 ; quarter ; 334 
 1710 ; 1 рубль ; 1984 ; 125 лет со дня рождения А.С.Попова ; Cu-Ni ; XF+ ; 15 ; Vanka ; 252 
 1711 ; 1 рубль ; 1987 ; 175 лет Бородино (барельеф) ; Cu-Ni ; AU ; 9 ; Рыцарь ; 87 
 1712 ; 1 рубль ; 1989 ; 175 лет со дня рождения Т.Г.Шевченко ; Cu-Ni ; XF ; 7 ; Рыцарь ; 74 
 1713 ; 1 рубль ; 1985 ; 40 лет Победы над Германией ; Cu-Ni ; AU ; 6 ; Рыцарь ; 73 
 1714 ; 5 рублей ; 1988 ; Памятник Петру I в Ленинграде ; Cu-Ni ; Proof ; 37 ; Дмитрий1 ; 389 
 1715 ; 5 рублей ; 1988 ; Памятник в Новгороде "Тысячелетие России" ; Cu-Ni ; Proof ; 26 ; Дима Шухов ; 276 
 1716 ; 5 рублей ; 1988 ; Софийский собор в Киеве ; Cu-Ni ; AU ; 17 ; хуторянин ; 211 
 1717 ; 5 рублей ; 1990 ; Большой дворец в Петродворце ; Cu-Ni ; Proof ; 16 ; Stanislavskiy-89 ; 179 
 1718 ; 5 рублей ; 1991 ; Памятник Давиду Сасунскому в Ереване ; Cu-Ni ; Proof ; 17 ; сортам70 ; 183 
 1719 ; 5 рублей. Упаковка ; 1990 ; Матенадаран.Ереван ; Cu-Ni ; Proof ; 25 ; CROWN78 ; 240 
 1720 ; 5 рублей. Упаковка ; 1991 ; Архангельский собор в Москве ; Cu-Ni ; Proof ; 22 ; pichenka ; 206 
 1721 ; 5 рублей. Упаковка ; 1993 ; Сергиев Посад ; Cu-Ni ; Proof ; 31 ; Nikolaev2 ; 781 
 1722 ; 3 рубля. Упаковка ; 1987 ; 70 лет Октябрьской революции ; Cu-Ni ; Proof ; 26 ; Galina66 ; 357 
 1723 ; 3 рубля. Упаковка ; 1993 ; 50 лет освобождения Киева ; Cu-Ni ; Unc ; 44 ; kadadin ; 2040 
 1724 ; 3 рубля. Упаковка ; 1994 ; 50 лет прорыва блокады Ленинграда ; Cu-Ni ; Proof ; 36 ; Rolandj ; 1615 
 1725 ; 3 рубля. Упаковка ; 1992 ; "19-21 августа" ; Cu-Ni ; Proof ; 19 ; Avid ; 867 
 1726 ; 3 рубля ; 1992 ; 750 лет победы А.Невского ; Cu-Ni ; Proof ; 21 ; Denn ; 500 
 1727 ; 3 рубля ; 1994 ; 50 лет освобождения Белграда ; Cu-Ni ; Proof ; 34 ; evRoman7 ; 1365 
 1728 ; 1 рубль. Упаковка ; 1987 ; 175 лет Бородино (барельеф) ; Cu-Ni ; Proof ; 18 ; pichenka ; 177 
 1729 ; 1 рубль. Упаковка ; 1989 ; 175 лет со дня рождения Т.Г.Шевченко ; Cu-Ni ; Proof ; 31 ; Rober ; 160 
 1730 ; 1 рубль ; 1990 ; 150 лет со дня рождения П.И.Чайковского ; Cu-Ni ; Proof ; 19 ; сортам70 ; 149 
 1731 ; 1 рубль ; 1988 ; 160 лет со дня рождения А.Н.Толстого ; Cu-Ni ; Proof ; 13 ; сортам70 ; 136 
 1732 ; 1 рубль ; 1989 ; 175 лет со дня рождения М.Ю.Лермонтова ; Cu-Ni ; Proof ; 23 ; сортам70 ; 155 
 1733 ; 1 рубль ; 1993 ; 250 лет со дня рождения Г.Р.Державина ; Cu-Ni ; Unc ; 31 ; malshy ; 850 
 1734 ; 1 рубль. Упаковка ; 1993 ; 100 лет со дня рождения К.Л.Тимирязева ; Cu-Ni ; Unc ; 18 ; филипок ; 801 
 1735 ; 1 рубль. Упаковка ; 1991 ; Олимпиада в Барселоне.Борьба ; Cu-Ni ; Proof ; 27 ; карат ; 1020 
 1736 ; 1 рубль ; 1970 ; 100 лет со дня рождения В.И.Ленина ; Cu-Ni ; AU ; 17 ; evRoman7 ; 388 
 1637 ; 1 рубль ; 1991 ; 125 лет со дня рождения П.Н.Лебедева ; Cu-Ni ; XF+ ; 7 ; Рыцарь ; 69 
 1638 ; 1 рубль ; 1985 ; 40 лет Победы над Германией ; Cu-Ni ; XF ; 7 ; Рыцарь ; 51 
 1639 ; 1 рубль ; 1985 ; Фестиваль молодежи и студентов в Москве ; Cu-Ni ; XF ; 9 ; Рыцарь ; 73 
 1640 ; 1 рубль ; 1986 ; Международный год мира ; Cu-Ni ; AU ; 10 ; Рыцарь ; 83 
 1641 ; 1 рубль ; 1987 ; 175 лет Бородино (барельеф) ; Cu-Ni ; AU ; 12 ; ацетон ; 93 
 1642 ; 1 рубль ; 1987 ; 175 лет Бородино (обелиск) ; Cu-Ni ; AU ; 7 ; Дима Шухов ; 93 
 1643 ; 1 рубль ; 1988 ; 120 лет со дня рождения А.М.Горького ; Cu-Ni ; XF+ ; 18 ; ацетон ; 93 
 1644 ; 1 рубль ; 1988 ; 120 лет со дня рождения А.М.Горького ; Cu-Ni ; XF+ ; 4 ; Рыцарь ; 69 
 1645 ; 1 рубль ; 1988 ; 160 лет со дня рождения А.Н.Толстого ; Cu-Ni ; XF+ ; 6 ; Рыцарь ; 69 
 1646 ; 1 рубль ; 1988 ; 120 лет со дня рождения А.М.Горького ; Cu-Ni ; XF+ ; 5 ; Рыцарь ; 69 
 1647 ; 1 рубль ; 1988 ; 160 лет со дня рождения А.Н.Толстого ; Cu-Ni ; XF+ ; 5 ; Рыцарь ; 69 
 1648 ; 1 рубль ; 1989 ; 150 лет со дня рождения М.П.Мусоргского ; Cu-Ni ; AU ; 5 ; Рыцарь ; 74 
 1649 ; 1 рубль ; 1983 ; 20 лет полета в космос В.Терешковой ; Cu-Ni ; AU ; 22 ; лом45 ; 303 
 1650 ; 1 рубль ; 1983 ; 400 лет со дня смерти И.Федорова 1510-1583 ; Cu-Ni ; AU ; 21 ; dim66 ; 303 
 1651 ; 1 рубль ; 1983 ; 165 лет со дня рождения К.Маркса ; Cu-Ni ; AU ; 17 ; лом45 ; 277 
 1652 ; 1 рубль ; 1984 ; 185 лет со дня рождения А.С.Пушкина ; Cu-Ni ; AU ; 17 ; лом45 ; 313 
 1653 ; 1 рубль ; 1984 ; 150 лет со дня рождения Д.И.Менделеева ; Cu-Ni ; AU ; 16 ; gola78 ; 277 
 1654 ; 1 рубль ; 1984 ; 125 лет со дня рождения А.С.Попова ; Cu-Ni ; AU ; 27 ; Юстас ; 296 
 1655 ; 1 рубль ; 1985 ; 115 лет со дня рождения В.И.Ленина ; Cu-Ni ; AU ; 21 ; Jek327 ; 321 
 1656 ; 1 рубль ; 1985 ; 40 лет Победы над Германией ; Cu-Ni ; AU ; 7 ; Рыцарь ; 50 
 1657 ; 1 рубль ; 1985 ; 165 лет со дня рождения Ф.Энгельса ; Cu-Ni ; AU ; 16 ; FIGAS ; 243 
 1658 ; 1 рубль. Ошибка нв часах ; 1978 ; Олимпиада 80.Московский Кремль ; Cu-Ni ; XF ; 21 ; cr2952 ; 115 
 1659 ; 1 рубль ; 1979 ; Олимпиада 80.Здание МГУ ; Cu-Ni ; XF ; 20 ; klimvita ; 159 
 1660 ; 1 рубль ; 1979 ; Олимпиада 80.Обелиск покорителям космоса ; Cu-Ni ; AU ; 7 ; quarter ; 93 
 1661 ; 1 рубль ; 1980 ; Олимпиада 80.Здание Моссовета ; Cu-Ni ; XF ; 8 ; Рыцарь ; 84 
 1662 ; 1 рубль ; 1979 ; Олимпиада 80.Обелиск покорителям космоса ; Cu-Ni ; AU ; 7 ; Дима Шухов ; 93 
 1663 ; 1 рубль ; 1980 ; Олимпиада 80.Олимпийский факел ; Cu-Ni ; AU ; 20 ; drn137 ; 201 
 1664 ; 5 рублей ; 1988 ; Софийский собор в Киеве ; Cu-Ni ; AU ; 21 ; paranoy ; 193 
 1665 ; 5 рублей ; 1990 ; Большой дворец в Петродворце ; Cu-Ni ; AU ; 24 ; KhS ; 153 
 1666 ; 5 рублей ; 1990 ; Матенадаран.Ереван ; Cu-Ni ; AU ; 19 ; Рыцарь ; 150 
 1667 ; 5 рублей ; 1987 ; 70 лет Октябрьской революции ; Cu-Ni ; XF+ ; 17 ; VitaL2295 ; 1924 
 1668 ; 1 рубль ; 1977 ; Олимпиада 80.Эмблема Олимпийских игр ; Cu-Ni ; XF ; 5 ; Рыцарь ; 48 
 1669 ; 1 рубль ; 1980 ; Олимпиада 80.Олимпийский факел ; Cu-Ni ; AU ; 20 ; quarter ; 197 
 1670 ; 3 рубля ; 1989 ; Землятресение в Армении ; Cu-Ni ; AU ; 13 ; Рыцарь ; 143 
 1671 ; 5 рублей ; 1991 ; Архангельский собор в Москве ; Cu-Ni ; AU ; 10 ; Lancelot47 ; 161 
 1672 ; 5 рублей ; 1990 ; Матенадаран.Ереван ; Cu-Ni ; AU ; 19 ; Рыцарь ; 150 
 1673 ; 5 рублей ; 1991 ; Памятник Давиду Сасунскому в Ереване ; Cu-Ni ; AU ; 13 ; Stanislavskiy-89 ; 151 
 1674 ; 5 рублей ; 1989 ; Собор Покрова на рву в Москве ; Cu-Ni ; AU ; 11 ; хуторянин ; 255 
 1675 ; 1 рубль ; 1979 ; Олимпиада 80.Обелиск покорителям космоса ; Cu-Ni ; XF ; 7 ; Рыцарь ; 68 
 1676 ; 1 рубль ; 1980 ; Олимпиада 80.Здание Моссовета ; Cu-Ni ; XF ; 5 ; Рыцарь ; 84 
 1677 ; 1 рубль ; 1980 ; Олимпиада 80.Здание Моссовета ; Cu-Ni ; XF ; 7 ; Magger ; 93 
 1678 ; 1 рубль. Ошибка нв часах ; 1978 ; Олимпиада 80.Московский Кремль ; Cu-Ni ; XF ; 13 ; KhS ; 93 
 1679 ; 1 рубль ; 1984 ; 125 лет со дня рождения А.С.Попова ; Cu-Ni ; AU ; 17 ; Vanka ; 252 
 1680 ; 1 рубль ; 1991 ; 550 лет со дня рождения А.Навои ; Cu-Ni ; XF ; 16 ; Рыцарь ; 89 
 1681 ; 3 рубля ; 1989 ; Землятресение в Армении ; Cu-Ni ; AU ; 11 ; Рыцарь ; 143 
 1682 ; 1 рубль ; 1988 ; 160 лет со дня рождения А.Н.Толстого ; Cu-Ni ; XF ; 8 ; Рыцарь ; 69 
 1683 ; 1 рубль ; 1990 ; 150 лет со дня рождения П.И.Чайковского ; Cu-Ni ; AU ; 17 ; gola78 ; 92 
 1684 ; 1 рубль ; 1990 ; 125 лет со дня рождения Я.Райниса ; Cu-Ni ; XF+ ; 6 ; Рыцарь ; 74 
 1685 ; 1 рубль ; 1990 ; 130 лет со дня рождения А.П.Чехова ; Cu-Ni ; AU ; 5 ; Рыцарь ; 74 
 1686 ; 1 рубль ; 1990 ; 500 лет со дня рождения Ф.Скорины ; Cu-Ni ; AU ; 13 ; Рыцарь ; 91 
 1587 ; 5 рублей ; 1988 ; Софийский собор в Киеве ; Cu-Ni ; Proof ; 32 ; Rober ; 223 
 1588 ; 5 рублей ; 1990 ; Матенадаран.Ереван ; Cu-Ni ; Proof ; 18 ; Rober ; 184 
 1589 ; 5 рублей ; 1991 ; Памятник Давиду Сасунскому в Ереване ; Cu-Ni ; Proof ; 17 ; Rober ; 189 
 1590 ; 5 рублей ; 1991 ; Памятник Давиду Сасунскому в Ереване ; Cu-Ni ; Proof ; 15 ; zsefvg ; 185 
 1591 ; 5 рублей ; 1989 ; Ансамбль Регистан в Самарканде ; Cu-Ni ; Proof ; 20 ; FIGAS ; 245 
 1592 ; 5 рублей ; 1991 ; Здание Госбанка СССР в Москве ; Cu-Ni ; Proof ; 8 ; Nikolaev2 ; 161 
 1593 ; 5 рублей ; 1991 ; Архангельский собор в Москве ; Cu-Ni ; Proof ; 5 ; Ольгунчик ; 157 
 1594 ; 3 рубля ; 1991 ; 50 лет победы под Москвой ; Cu-Ni ; Proof ; 21 ; Galina66 ; 459 
 1595 ; 3 рубля ; 1989 ; Землятресение в Армении ; Cu-Ni ; Proof ; 7 ; Ольгунчик ; 153 
 1596 ; 1 рубль ; 1989 ; 150 лет со дня рождения М.П.Мусоргского ; Cu-Ni ; Proof ; 21 ; Ольгунчик ; 137 
 1597 ; 1 рубль ; 1982 ; 60 лет образования СССР ; Cu-Ni ; Proof ; 13 ; evRoman7 ; 320 
 1598 ; 1 рубль ; 1983 ; 165 лет со дня рождения К.Маркса ; Cu-Ni ; Proof ; 20 ; ростов ; 341 
 1599 ; 1 рубль ; 1983 ; 400 лет со дня смерти И.Федорова 1510-1583 ; Cu-Ni ; Proof ; 41 ; 1234567 ; 874 
 1600 ; 1 рубль ; 1991 ; 100 лет со дня рождения С.Прокофьева ; Cu-Ni ; Proof ; 13 ; Galina66 ; 130 
 1601 ; 1 рубль ; 1990 ; 130 лет со дня рождения А.П.Чехова ; Cu-Ni ; Proof ; 15 ; Ольгунчик ; 136 
 1602 ; 1 рубль ; 1989 ; 100 лет со дня смерти Эминеску ; Cu-Ni ; Proof ; 17 ; Galina66 ; 204 
 1603 ; 1 рубль ; 1987 ; 175 лет Бородино (барельеф) ; Cu-Ni ; Proof ; 21 ; Nikolaev2 ; 150 
 1604 ; 5 рублей ; 1988 ; Памятник в Новгороде "Тысячелетие России" ; Cu-Ni ; Proof ; 27 ; pichenka ; 177 
