 4816 ; Бона иностранная. Дания ; 1936 ;  ;  ; AU ; 68 ; POSHEXON ; 272 
 2131 ; 1 рубль. Новодел ; 1986 ; 275 лет со дня рождения М.В.Ломоносова ; Cu-Ni ; Proof ; 2 ; pilking ; 306 
 2132 ; 1 рубль. Новодел ; 1986 ; Международный год мира ; Cu-Ni ; Proof ; 1 ; starover1969 ; 500 
 2133 ; 1 рубль ; 1987 ; 130 лет со дня рождения К.Э.Циолковского ; Cu-Ni ; Proof ; 25 ; pilking ; 214 
 2134 ; 1 рубль ; 1987 ; 175 лет Бородино (барельеф) ; Cu-Ni ; Proof ; 48 ; Harlock ; 313 
 2135 ; 1 рубль ; 1987 ; 175 лет Бородино (обелиск) ; Cu-Ni ; Proof ; 43 ; Harlock ; 255 
 2136 ; 1 рубль ; 1988 ; 160 лет со дня рождения А.Н.Толстого ; Cu-Ni ; Proof ; 49 ; Harlock ; 282 
 2137 ; 1 рубль ; 1988 ; 120 лет со дня рождения А.М.Горького ; Cu-Ni ; Proof ; 48 ; Harlock ; 301 
 2138 ; 1 рубль ; 1989 ; 150 лет со дня рождения М.П.Мусоргского ; Cu-Ni ; Proof ; 60 ; Petrovi4 ; 224 
 2139 ; 1 рубль ; 1989 ; 175 лет со дня рождения Т.Г.Шевченко ; Cu-Ni ; Proof ; 24 ; Bonyf ; 143 
 2140 ; 1 рубль ; 1989 ; 100 лет со дня рождения Ниязи ; Cu-Ni ; Proof ; 30 ; sman ; 118 
 2141 ; 1 рубль ; 1989 ; 100 лет со дня смерти Эминеску ; Cu-Ni ; Proof ; 23 ; Dimitriy ; 173 
 2142 ; 1 рубль ; 1989 ; 175 лет со дня рождения М.Ю.Лермонтова ; Cu-Ni ; Proof ; 19 ; Жадина ; 143 
 2143 ; 1 рубль ; 1990 ; 150 лет со дня рождения П.И.Чайковского ; Cu-Ni ; Proof ; 47 ; КСН ; 261 
 2144 ; 1 рубль ; 1990 ; 500 лет со дня рождения Ф.Скорины ; Cu-Ni ; Proof ; 92 ; Petrovi4 ; 143 
 2145 ; 1 рубль ; 1990 ; 125 лет со дня рождения Я.Райниса ; Cu-Ni ; Proof ; 30 ; Жадина ; 255 
 2146 ; 1 рубль ; 1990 ; 130 лет со дня рождения А.П.Чехова ; Cu-Ni ; Proof ; 27 ; evilpap ; 146 
 2147 ; 1 рубль ; 1990 ; Маршал СССР Г.К.Жуков ; Cu-Ni ; Proof ; 17 ; Жадина ; 348 
 2148 ; 1 рубль ; 1991 ; 850 лет со дня рождения Низами Гянджеви ; Cu-Ni ; Proof ; 23 ; Big Sun ; 157 
 2149 ; 1 рубль ; 1991 ; Махтумкули ; Cu-Ni ; Proof ; 21 ; uharius ; 357 
 2150 ; 1 рубль ; 1991 ; 550 лет со дня рождения А.Навои ; Cu-Ni ; Proof ; 17 ; caiman67 ; 207 
 2051 ; 3 рубля. Упаковка ; 1994 ; 50 лет открытия Второго фронта ; Cu-Ni ; Proof ; 13 ; Dostavka ; 3201 
 2052 ; 3 рубля. Упаковка ; 1995 ; Взятие Берлина ; Cu-Ni ; Proof ; 35 ; Чук ; 2039 
 2053 ; 3 рубля. Упаковка ; 1995 ; Встреча на Эльбе. ; Cu-Ni ; Proof ; 2 ; 104 кг ; 2500 
 2054 ; 3 рубля. Упаковка ; 1995 ; 50 лет освобождения Праги ; Cu-Ni ; Proof ; 16 ; Harlock ; 1813 
 2055 ; 1 рубль. Упаковка ; 1981 ; 20 лет полета в космос Ю.Гагарина ; Cu-Ni ; Proof ; 39 ; Harlock ; 2607 
 2056 ; 1 рубль. Упаковка ; 1982 ; 60 лет образования СССР ; Cu-Ni ; Proof ; 25 ; caiman67 ; 787 
 2057 ; 1 рубль. Новодел. Упаковка ; 1983 ; 165 лет со дня рождения К.Маркса ; Cu-Ni ; Proof ; 30 ; caiman67 ; 640 
 2058 ; 1 рубль. Упаковка ; 1983 ; 165 лет со дня рождения К.Маркса ; Cu-Ni ; Proof ; 21 ; caiman67 ; 765 
 2059 ; 1 рубль. Упаковка ; 1983 ; 20 лет полета в космос В.Терешковой ; Cu-Ni ; Proof ; 23 ; svv ; 2008 
 2060 ; 1 рубль. Новодел. Упаковка ; 1984 ; 125 лет со дня рождения А.С.Попова ; Cu-Ni ; Proof ; 3 ; генерал222 ; 500 
 2061 ; 1 рубль ; 1984 ; 185 лет со дня рождения А.С.Пушкина ; Cu-Ni ; Proof ; 5 ; niko1968 ; 1325 
 2062 ; 1 рубль. Упаковка ; 1985 ; 165 лет со дня рождения Ф.Энгельса ; Cu-Ni ; Proof ; 2 ; ryber ; 1020 
 2063 ; 1 рубль. Новодел. Упаковка ; 1985 ; 165 лет со дня рождения Ф.Энгельса ; Cu-Ni ; Proof ; 4 ; ryber ; 663 
 2064 ; 1 рубль. Упаковка ; 1985 ; 115 лет со дня рождения В.И.Ленина ; Cu-Ni ; Proof ; 40 ; svv ; 3131 
 2065 ; 1 рубль ; 1985 ; Фестиваль молодежи и студентов в Москве ; Cu-Ni ; Proof ; 7 ; vasek ; 1019 
 2066 ; 1 рубль. Упаковка ; 1987 ; 70 лет Октябрьской революции ; Cu-Ni ; Proof ; 7 ; Жадина ; 204 
 2067 ; 1 рубль. Упаковка ; 1987 ; 175 лет Бородино (обелиск) ; Cu-Ni ; Proof ; 5 ; Harlock ; 209 
 2068 ; 1 рубль. Упаковка ; 1987 ; 130 лет со дня рождения К.Э.Циолковского ; Cu-Ni ; Proof ; 23 ; Жадина ; 305 
 2069 ; 1 рубль ; 1987 ; 130 лет со дня рождения К.Э.Циолковского ; Cu-Ni ; Proof ; 5 ; SAM5 ; 200 
 2070 ; 1 рубль. Упаковка ; 1989 ; 150 лет со дня рождения М.П.Мусоргского ; Cu-Ni ; Proof ; 1 ; kominvest ; 300 
 2071 ; 1 рубль. Упаковка ; 1989 ; 150 лет со дня рождения М.П.Мусоргского ; Cu-Ni ; Proof ; 2 ; sman ; 153 
 2072 ; 1 рубль. Упаковка ; 1989 ; 175 лет со дня рождения М.Ю.Лермонтова ; Cu-Ni ; Proof ; 2 ; Harlock ; 306 
 2073 ; 1 рубль. Упаковка ; 1989 ; 175 лет со дня рождения Т.Г.Шевченко ; Cu-Ni ; Proof ; 1 ; kominvest ; 300 
 2074 ; 1 рубль. Упаковка ; 1989 ; 175 лет со дня рождения Т.Г.Шевченко ; Cu-Ni ; Proof ; 5 ; Bonyf ; 161 
 2075 ; 1 рубль. Упаковка ; 1990 ; 500 лет со дня рождения Ф.Скорины ; Cu-Ni ; Proof ; 4 ; Randi ; 184 
 2076 ; 1 рубль. Упаковка ; 1990 ; 130 лет со дня рождения А.П.Чехова ; Cu-Ni ; Proof ; 4 ; Randi ; 184 
 2077 ; 1 рубль. Упаковка ; 1990 ; 150 лет со дня рождения П.И.Чайковского ; Cu-Ni ; Proof ; 1 ; 104 кг ; 250 
 2078 ; 1 рубль. Упаковка ; 1990 ; 150 лет со дня рождения П.И.Чайковского ; Cu-Ni ; Proof ; 2 ; Randi ; 255 
 2079 ; 1 рубль. Упаковка ; 1990 ; 125 лет со дня рождения Я.Райниса ; Cu-Ni ; Proof ; 40 ; Randi ; 218 
 2080 ; 1 рубль. Упаковка ; 1990 ; Маршал СССР Г.К.Жуков ; Cu-Ni ; Proof ; 22 ; Dostavka ; 350 
 2081 ; 1 рубль. Упаковка ; 1991 ; 550 лет со дня рождения А.Навои ; Cu-Ni ; Proof ; 4 ; evilpap ; 188 
 2082 ; 1 рубль. Упаковка ; 1991 ; 550 лет со дня рождения А.Навои ; Cu-Ni ; Proof ; 3 ; evilpap ; 184 
 2083 ; 1 рубль. Упаковка ; 1991 ; 125 лет со дня рождения П.Н.Лебедева ; Cu-Ni ; Proof ; 5 ; Randi ; 204 
 2084 ; 1 рубль. Упаковка ; 1991 ; 125 лет со дня рождения П.Н.Лебедева ; Cu-Ni ; Proof ; 4 ; evilpap ; 194 
 2085 ; 1 рубль. Упаковка ; 1991 ; 100 лет со дня рождения С.Прокофьева ; Cu-Ni ; Proof ; 5 ; Randi ; 204 
 2086 ; 1 рубль. Упаковка ; 1991 ; 100 лет со дня рождения С.Прокофьева ; Cu-Ni ; Proof ; 4 ; alexeyat ; 204 
 2087 ; 1 рубль. Упаковка ; 1991 ; 850 лет со дня рождения Низами Гянджеви ; Cu-Ni ; Proof ; 4 ; Randi ; 204 
 2088 ; 1 рубль. Упаковка ; 1992 ; 200 лет со дня рождения Н.И.Лобачевского ; Cu-Ni ; Proof ; 2 ; Dostavka ; 400 
 2089 ; 1 рубль. Упаковка ; 1991 ; 101 год со дня рождения К.В.Иванова ; Cu-Ni ; Proof ; 4 ; Жадина ; 184 
 2090 ; 1 рубль. Упаковка ; 1993 ; 110 лет со дня смерти И.С.Тургенева ; Cu-Ni ; AU ; 1 ; 104 кг ; 1000 
 2091 ; 1 рубль. Упаковка ; 1993 ; 100 лет со дня рождения К.Л.Тимирязева ; Cu-Ni ; Unc ; 34 ; BlackDragon88 ; 653 
 2092 ; 1 рубль. Упаковка ; 1993 ; 250 лет со дня рождения Г.Р.Державина ; Cu-Ni ; AU ; 27 ; sks11801 ; 547 
 2093 ; 3 рубля ; 1989 ; Землятресение в Армении ; Cu-Ni ; AU ; 45 ; v.k.diamond ; 101 
 2094 ; 5 рублей ; 1988 ; Памятник в Новгороде "Тысячелетие России" ; Cu-Ni ; Proof ; 17 ; asternox ; 277 
 2095 ; 1 рубль ; 1992 ; 190 лет со дня рождения П.С.Нахимова ; Cu-Ni ; Proof ; 12 ; Mike! ; 371 
 2096 ; 1 рубль. Новодел. Упаковка ; 1983 ; 400 лет со дня смерти И.Федорова 1510-1583 ; Cu-Ni ; Proof ; 23 ; генерал222 ; 520 
 2097 ; 1 рубль ; 1984 ; 185 лет со дня рождения А.С.Пушкина ; Cu-Ni ; Proof ; 41 ; Juliana ; 892 
 2098 ; 1 рубль. В пластиковой коробке ; 1983 ; 165 лет со дня рождения К.Маркса ; Cu-Ni ; Proof ; 52 ; ryber ; 1020 
 2099 ; 5 рублей. В пластиковой коробке ; 1991 ; Памятник Давиду Сасунскому в Ереване ; Cu-Ni ; Proof ; 32 ; alexda777 ; 245 
 2100 ; 5 рублей ; 1988 ; Софийский собор в Киеве ; Cu-Ni ; Proof ; 45 ; Жадина ; 408 
 2001 ; 20 копеек ; 1976 ;  ; Cu-Ni ; XF+ ; 53 ; krut0803 ; 2717 
 2002 ; 20 копеек ; 1977 ; Л/с шт. 3 коп. ; Cu-Ni ; AU ; 42 ; za-via ; 209 
 2003 ; 20 копеек ; 1989 ; Л/с шт. 3 коп. ; Cu-Ni ; AU ; 80 ; drn137 ; 204 
 2004 ; 20 копеек. Л/с шт 3 коп ; 1991 ; ЛМД Л/с шт. 3 коп. ; Cu-Ni ; AU ; 17 ; sibtec ; 273 
 2005 ; 15 копеек ; 1942 ;  ; Ni ; XF- ; 126 ; ryber ; 6800 
 2006 ; 15 копеек ; 1944 ;  ; Ni ; VF+ ; 63 ; taigist ; 251 
 2007 ; 15 копеек ; 1966 ;  ; Cu-Ni ; XF+ ; 50 ; Basilio ; 1408 
 2008 ; 15 копеек ; 1967 ;  ; Cu-Ni ; XF ; 66 ; klimvita ; 370 
 2009 ; 15 копеек ; 1969 ;  ; Cu-Ni ; AU ; 79 ; 654321 ; 1568 
 2010 ; 15 копеек ; 1970 ;  ; Cu-Ni ; AU ; 78 ; hugo ; 10086 
 2011 ; 15 копеек ; 1971 ;  ; Cu-Ni ; AU ; 66 ; 2310 ; 3368 
 2012 ; 15 копеек ; 1972 ;  ; Cu-Ni ; AU ; 50 ; volodia1953 ; 3062 
 2013 ; 15 копеек ; 1973 ;  ; Cu-Ni ; AU ; 43 ; musik ; 3301 
 2014 ; 15 копеек ; 1974 ;  ; Cu-Ni ; AU ; 60 ; albar ; 791 
 2015 ; 15 копеек ; 1975 ;  ; Cu-Ni ; AU ; 40 ; USS ; 1089 
 2016 ; 10 копеек ; 1941 ;  ; Ni ; XF ; 66 ; klimvita ; 423 
 2017 ; 10 копеек ; 1942 ;  ; Ni ; F-VF ; 88 ; карат ; 3677 
 2018 ; 10 копеек ; 1944 ;  ; Ni ; XF ; 227 ; yurrgen ; 2715 
 2019 ; 10 копеек ; 1966 ;  ; Cu-Ni ; XF+ ; 54 ; Basilio ; 1711 
 2020 ; 10 копеек ; 1967 ;  ; Cu-Ni ; XF ; 60 ; lubopitnaja ; 444 
 2021 ; 5 копеек. Деформация ; 1926 ;  ; Br ; F-VF ; 8 ; Ратамахатта ; 62 
 2022 ; 5 копеек. Деформация ; 1927 ;  ; Br ; F ; 36 ; поручик ; 1954 
 2023 ; 5 копеек ; 1934 ;  ; Br ; F ; 100 ; zdenek ; 3122 
 2024 ; 5 копеек ; 1967 ;  ; Cu-Zn ; XF ; 48 ; ppi ; 450 
 2025 ; 5 копеек ; 1970 ;  ; Cu-Zn ; XF+ ; 18 ; valeron ; 7933 
 2026 ; 5 копеек ; 1971 ;  ; Cu-Zn ; AU ; 57 ; musik ; 1537 
 2027 ; 5 копеек ; 1972 ;  ; Cu-Zn ; AU ; 33 ; musik ; 1552 
 2028 ; 5 копеек ; 1973 ;  ; Cu-Zn ; XF ; 103 ; ss13 ; 310 
 2029 ; 3 копейки ; 1945 ;  ; Br ; F+ ; 69 ; podaluykaleks ; 316 
 2030 ; 3 копейки ; 1979 ; Л/с шт.20 коп.1973 ; Cu-Zn ; XF+ ; 83 ; Natascha ; 119 
 2031 ; 1 копейка ; 1930 ;  ; Br ; VF ; 34 ; yurrgen ; 450 
 2032 ; 1 копейка. Аверс/Реверс 30 градусов ; 1932 ;  ; Br ; F ; 41 ; DAG ; 41 
 2033 ; 50 рублей. Брак монетного двора, сдвиг штемпеля ; 1992 ; ЛМД Биметалл ; Cu-Zn/Cu-Ni ; XF ; 26 ; DrAlex1701 ; 1583 
 2034 ; 1 рубль. Брак монетного двора. Аверс/реверс 45 градусов ; 1992 ; Л ; Cu-Ni ; XF- ; 7 ; seechi ; 28 
 2035 ; 1 рубль ; 1977 ; Олимпиада 80.Эмблема Олимпийских игр ; Cu-Ni ; Unc ; 22 ; Harlock ; 175 
 2036 ; 1 рубль ; 1979 ; Олимпиада 80.Здание МГУ ; Cu-Ni ; Proof ; 35 ; Masik ; 2663 
 2037 ; 1 рубль ; 1979 ; Олимпиада 80.Обелиск покорителям космоса ; Cu-Ni ; Proof ; 69 ; Harlock ; 2809 
 2038 ; 1 рубль ; 1980 ; Олимпиада 80.Здание Моссовета ; Cu-Ni ; Proof ; 17 ; Harlock ; 2550 
 2039 ; 5 рублей. Упаковка ; 1990 ; Большой дворец в Петродворце ; Cu-Ni ; Proof ; 6 ; Dostavka ; 250 
 2040 ; 5 рублей. Упаковка ; 1990 ; Матенадаран.Ереван ; Cu-Ni ; Proof ; 11 ; Дядя Саша ; 306 
 2041 ; 5 рублей. Упаковка ; 1990 ; Успенский собор в Москве ; Cu-Ni ; Proof ; 2 ; Dostavka ; 250 
 2042 ; 5 рублей. Упаковка ; 1991 ; Здание Госбанка СССР в Москве ; Cu-Ni ; Proof ; 10 ; military ; 214 
 2043 ; 5 рублей. Упаковка ; 1991 ; Архангельский собор в Москве ; Cu-Ni ; Proof ; 5 ; caiman67 ; 200 
 2044 ; 5 рублей ; 1991 ; Памятник Давиду Сасунскому в Ереване ; Cu-Ni ; Proof ; 8 ; SAM5 ; 250 
 2045 ; 3 рубля. Упаковка ; 1987 ; 70 лет Октябрьской революции ; Cu-Ni ; Proof ; 33 ; клещ ; 459 
 2046 ; 3 рубля. Упаковка ; 1989 ; Землятресение в Армении ; Cu-Ni ; Proof ; 3 ; military ; 255 
 2047 ; 3 рубля. Упаковка ; 1991 ; 50 лет победы под Москвой ; Cu-Ni ; Proof ; 5 ; military ; 235 
 2048 ; 3 рубля. Упаковка ; 1991 ; 50 лет победы под Москвой ; Cu-Ni ; Proof ; 3 ; Dostavka ; 235 
 2049 ; 3 рубля. Упаковка ; 1993 ; 50 лет победы в Сталинградской битве ; Cu-Ni ; Proof ; 8 ; 104 кг ; 348 
 2050 ; 3 рубля. Упаковка ; 1993 ; 50 лет победы на Курской дуге ; Cu-Ni ; Proof ; 12 ; 104 кг ; 379 
 1951 ; 3 копейки ; 1924 ; Гурт гладкий ; Cu ; VF-XF ; 70 ; ZOLTAN333 ; 1028 
 1952 ; 2 копейки ; 1924 ; Гурт рубчатый ; Cu ; VF- ; 24 ; шабер ; 157 
 1953 ; 2 копейки ; 1924 ; Гурт гладкий ; Cu ; F-VF ; 82 ; veles ; 4080 
 1954 ; 1 копейка ; 1924 ; Гурт рубчатый ; Cu ; AU ; 40 ; 812 ; 3570 
 1955 ; 1 копейка ; 1924 ; Гурт рубчатый ; Cu ; F ; 10 ; П.А.Н. ; 61 
 1956 ; Полкопейки ; 1925 ;  ; Cu ; AU ; 68 ; lvd ; 1111 
 1957 ; Полкопейки ; 1925 ;  ; Cu ; VF+ ; 75 ; Sky2 ; 612 
 1958 ; 50 копеек ; 1946 ; о.Шпицберген ; б.м. ; F+ ; 36 ; ryber ; 1152 
 1959 ; 20 копеек ; 1946 ; о.Шпицберген ;  ; VF- ; 35 ; PolAn ; 3917 
 1960 ; 15 копеек ; 1946 ; о.Шпицберген ; Вr ; VF ; 16 ; sonegr ; 2040 
 1961 ; 10 копеек ; 1946 ; о.Шпицберген ; Br ; VF+ ; 50 ; k212 ; 2505 
 1962 ; 100 рублей ; 1993 ; о.Шпицберген ;  ; AU ; 6 ; krut0803 ; 510 
 1963 ; 50 рублей ; 1993 ; о.Шпицберген ;  ; XF ; 2 ; kehha ; 400 
 1964 ; 25 рублей ; 1993 ; о.Шпицберген ;  ; XF ; 17 ; min_ea ; 500 
 1965 ; 10 рублей ; 1993 ; о.Шпицберген ;  ; XF+ ; 20 ; Vova6074 ; 510 
 1966 ; 5 ; 1998 ; о.Шпицберген ;  ; AU ; 84 ; Antromis ; 1758 
 1967 ; 2 ; 1998 ; о.Шпицберген ;  ; AU ; 73 ; lvd ; 1020 
 1968 ; 1 ; 1998 ; о.Шпицберген ;  ; AU ; 57 ; lvd ; 1020 
 1969 ; 0,5 ; 1998 ; о.Шпицберген ;  ; XF+ ; 32 ; lvd ; 1020 
 1970 ; 0,25 ; 1998 ; о.Шпицберген ;  ; AU ; 73 ; lvd ; 1041 
 1971 ; 0,1 ; 1998 ; о.Шпицберген ;  ; AU ; 55 ; lvd ; 1020 
 1972 ; Разменный знак 10. Шпицберген. Подъем подлодки "Курск". Упаковка ; 2001 ;  ; Cu-Ni ; Proof ; 35 ; Denver77 ; 2196 
 1973 ; Разменный знак 10. Шпицберген. Против терроризма. Упаковка ; 2001 ;  ; Cu-Ni ; Proof ; 12 ; Dostavka ; 1833 
 1974 ; Разменный знак 10. Шпицберген. Цунами-Юго-Восточная Азия ; 2005СПМД ;  ; Cu-Ni ; Proof ; 4 ; Dostavka ; 1041 
 1975 ; Разменный знак 10. Шпицберген. Наводнение-Центр Европы ; 2002СПМД ;  ; Cu-Ni ; Proof ; 27 ; NSN ; 784 
 1976 ; Разменный знак 10. Шпицберген. Сход ледника-трагедия в Кармадонском ущелье ; 2002СПМД ;  ; Cu-Ni ; Proof ; 19 ; NSN ; 752 
 1977 ; Разменный знак 10. Шпицберген. Против терроризма ; 2002СПМД ;  ; Cu-Ni ; Proof ; 14 ; NSN ; 722 
 1978 ; Разменный знак 10. Шпицберген. Наводнение-Юг России ; 2002СПМД ;  ; Cu-Ni ; Proof ; 18 ; NSN ; 752 
 1979 ; Жетон. 70 лет Советскому чекану ; СПМД ;  ; Ag925 ; XF ; 61 ; krft ; 1659 
 1980 ; Жетон. 3 марки. Калининград. Слава Русского оружия. Танк-"Т-34" ; СПМД ;  ; Ag925 ; Proof ; 54 ; stas007 ; 985 
 1981 ; Жетон Министерство торговли СССР 27. Цифры прямоугольной формы, оборотная строна ребристая ;  ;  ; Ж/м ; VF-XF ; 41 ; stas007 ; 313 
 1982 ; Жетон. Министерство торговли СССР. 25. Оборотная сторона ребристая. Цифры прямоугольной формы ;  ;  ; Ж/м ; VF+ ; 3 ; madgestic ; 146 
 1983 ; Жетон Министерство торговли СССР 13. Цифры прямоугольной формы, оборотная строна ребристая ;  ;  ; Ж/м ; VF+ ; 3 ; derbnik ; 100 
 1984 ; Жетон. Министерство торговли СССР № 12 ;  ;  ; Ж/м ; AU ; 32 ; сквозняк_44 ; 101 
 1985 ; Жетон Министерство торговли СССР 12. Цифры прямоугольной формы, оборотная строна ребристая ;  ;  ; Ж/м ; VF-XF ; 3 ; derbnik ; 100 
 1986 ; Жетон Министерство торговли СССР 11. Цифры прямоугольной формы, оборотная строна ребристая ;  ;  ; Ж/м ; XF ; 27 ; derbnik ; 153 
 1987 ; 1 рубль ; 1986 ; Международный год мира.В рубле Л в виде шалаша. ; Cu-Ni ; AU ; 31 ; sasha14 ; 1236 
 1988 ; 50 копеек ; 1970 ;  ; Cu-Ni ; AU ; 22 ; novikoff12006 ; 4039 
 1989 ; 50 копеек ; 1971 ;  ; Cu-Ni ; AU ; 33 ; musik ; 3174 
 1990 ; 50 копеек ; 1975 ;  ; Cu-Ni ; AU ; 32 ; krut0803 ; 1438 
 1991 ; 50 копеек ; 1976 ;  ; Cu-Ni ; AU ; 23 ; intrest ; 403 
 1992 ; 20 копеек ; 1950 ;  ; Ni ; VF- ; 92 ; карат ; 465 
 1993 ; 20 копеек ; 1966 ;  ; Cu-Ni ; XF ; 53 ; serg07_67 ; 1744 
 1994 ; 20 копеек ; 1969 ;  ; Cu-Ni ; AU ; 124 ; krut0803 ; 1530 
 1995 ; 20 копеек ; 1970 ;  ; Cu-Ni ; AU ; 51 ; ryber ; 5086 
 1996 ; 20 копеек ; 1971 ;  ; Cu-Ni ; AU ; 22 ; musik ; 2552 
 1997 ; 20 копеек ; 1972 ;  ; Cu-Ni ; XF+ ; 32 ; alex830i ; 2288 
 1998 ; 20 копеек ; 1973 ;  ; Cu-Ni ; XF+ ; 80 ; ryber ; 2828 
 1999 ; 20 копеек ; 1974 ;  ; Cu-Ni ; XF+ ; 33 ; krut0803 ; 995 
 2000 ; 20 копеек ; 1975 ;  ; Cu-Ni ; AU ; 41 ; ryber ; 1560 
 1901 ; 15 копеек ; 1923 ;  ; Ag ; VF ; 12 ; Pro2 ; 66 
 1902 ; 15 копеек ; 1923 ;  ; Ag ; VF- ; 11 ; С Урала ; 67 
 1903 ; 15 копеек ; 1925 ;  ; Ag ; XF- ; 41 ; aleksey1970 ; 102 
 1904 ; 15 копеек ; 1925 ;  ; Ag ; VF+ ; 10 ; sellary ; 76 
 1905 ; 15 копеек ; 1925 ;  ; Ag ; VF ; 50 ; С Урала ; 71 
 1906 ; 15 копеек ; 1927 ;  ; Ag ; AU ; 4 ; mich555 ; 255 
 1907 ; 15 копеек ; 1927 ;  ; Ag ; XF ; 36 ; Figaro65 ; 153 
 1908 ; 15 копеек ; 1927 ;  ; Ag ; VF-XF ; 13 ; шабер ; 78 
 1909 ; 15 копеек ; 1927 ;  ; Ag ; VF+ ; 18 ; карат ; 81 
 1910 ; 15 копеек ; 1928 ;  ; Ag ; XF ; 8 ; aleksey1970 ; 157 
 1911 ; 15 копеек ; 1928 ;  ; Ag ; XF ; 75 ; caiman67 ; 102 
 1912 ; 15 копеек ; 1928 ;  ; Ag ; XF ; 52 ; caiman67 ; 126 
 1913 ; 15 копеек ; 1928 ;  ; Ag ; XF ; 16 ; caiman67 ; 102 
 1914 ; 15 копеек ; 1928 ;  ; Ag ; VF-XF ; 16 ; sellary ; 90 
 1915 ; 15 копеек ; 1928 ;  ; Ag ; F-VF ; 15 ; Pro2 ; 83 
 1916 ; 15 копеек ; 1929 ;  ; Ag ; AU ; 10 ; mich555 ; 224 
 1917 ; 15 копеек ; 1930 ;  ; Ag ; XF ; 45 ; aleksey1970 ; 189 
 1918 ; 15 копеек ; 1929 ;  ; Ag ; XF- ; 28 ; taa ; 117 
 1919 ; 15 копеек ; 1930 ;  ; Ag ; XF+ ; 45 ; боец1 ; 153 
 1920 ; 15 копеек ; 1930 ;  ; Ag ; VF-XF ; 79 ; боец1 ; 152 
 1921 ; 15 копеек ; 1930 ;  ; Ag ; VF ; 22 ; sellary ; 67 
 1922 ; 10 копеек ; 1921 ;  ; Ag ; VF- ; 48 ; denis1977 ; 1700 
 1923 ; 10 копеек ; 1922 ;  ; Ag ; AU ; 78 ; Antromis ; 2821 
 1924 ; 10 копеек ; 1922 ;  ; Ag ; VF ; 27 ; molodes ; 159 
 1925 ; 10 копеек ; 1923 ;  ; Ag ; VF-XF ; 49 ; aleksey1970 ; 101 
 1926 ; 10 копеек ; 1923 ;  ; Ag ; VF ; 45 ; westkap ; 114 
 1927 ; 10 копеек ; 1923 ;  ; Ag ; F-VF ; 8 ; сортам70 ; 51 
 1928 ; 10 копеек ; 1923 ;  ; Ag ; F- ; 35 ; С Урала ; 36 
 1929 ; 10 копеек ; 1924 ;  ; Ag ; XF ; 31 ; BST ; 306 
 1930 ; 10 копеек ; 1924 ;  ; Ag ; VF+ ; 46 ; taa ; 140 
 1931 ; 10 копеек ; 1925 ;  ; Ag ; XF+ ; 89 ; aleksey1970 ; 212 
 1932 ; 10 копеек ; 1925 ;  ; Ag ; XF+ ; 9 ; caiman67 ; 153 
 1933 ; 10 копеек ; 1925 ;  ; Ag ; VF+ ; 10 ; jimmysu ; 67 
 1934 ; 10 копеек ; 1925 ;  ; Ag ; VF ; 27 ; jimmysu ; 46 
 1935 ; 10 копеек ; 1925 ;  ; Ag ; VF ; 14 ; Pro2 ; 67 
 1936 ; 10 копеек ; 1925 ;  ; Ag ; F-VF ; 10 ; stivenson ; 46 
 1937 ; 10 копеек ; 1925 ;  ; Ag ; F-VF ; 27 ; maremark ; 46 
 1938 ; 10 копеек ; 1927 ;  ; Ag ; AU ; 47 ; mich555 ; 238 
 1939 ; 10 копеек ; 1927 ;  ; Ag ; AU ; 47 ; lvd ; 206 
 1940 ; 10 копеек ; 1927 ;  ; Ag ; XF+ ; 14 ; ss13 ; 185 
 1941 ; 10 копеек ; 1927 ;  ; Ag ; VF- ; 74 ; westkap ; 92 
 1942 ; 10 копеек ; 1928 ;  ; Ag ; VF ; 25 ; Vanomah ; 139 
 1943 ; 10 копеек ; 1928 ;  ; Ag ; VF ; 20 ; aleksey1970 ; 92 
 1944 ; 10 копеек ; 1929 ;  ; Ag ; VF+ ; 66 ; sovet ; 129 
 1945 ; 10 копеек ; 1930 ;  ; Ag ; AU ; 65 ; 462 ; 250 
 1946 ; 10 копеек ; 1930 ;  ; Ag ; VF-XF ; 29 ; sovet ; 153 
 1947 ; 10 копеек ; 1930 ;  ; Ag ; VF ; 42 ; Pro2 ; 99 
 1948 ; 5 копеек ; 1924 ; Гурт гладкий ; Cu ; XF ; 40 ; 439 ; 1583 
 1949 ; 5 копеек ; 1924 ; Гурт гладкий ; Cu ; VF+ ; 59 ; westkap ; 1020 
 1950 ; 5 копеек ; 1924 ; Гурт гладкий ; Cu ; VF ; 68 ; uz ; 1000 
 1851 ; 20 копеек ; 1925 ;  ; Ag ; XF ; 17 ; 439 ; 84 
 1852 ; 20 копеек ; 1925 ;  ; Ag ; XF- ; 18 ; 33madmax33 ; 80 
 1853 ; 20 копеек ; 1925 ;  ; Ag ; XF- ; 18 ; jimmysu ; 84 
 1854 ; 20 копеек ; 1925 ;  ; Ag ; VF-XF ; 27 ; vitapool ; 72 
 1855 ; 20 копеек ; 1925 ;  ; Ag ; F-VF ; 61 ; 33madmax33 ; 71 
 1856 ; 20 копеек ; 1927 ;  ; Ag ; AU ; 20 ; aleksey1970 ; 500 
 1857 ; 20 копеек ; 1927 ;  ; Ag ; XF- ; 52 ; military ; 157 
