 501 ; Полтина ; 1895 ; (АГ) АГ ; Ag ; XF+ ; 26 ; Участник № 51 ; 7500 
 33 ; Червонец (Петров-75р, Ильин-50р, чрезвычайно редкая) ; 1753 ; ФЕВР.5 ; Au ; XF ; 90 ; Участник № 186 ; 760000 
 34 ; Полтина (Ильин-4р, Петров-5р) ; 1755 ; СПБ ЯI BS ; Ag ; VF-/VF+ ; 33 ; finger ; 29172 
 35 ; 5 копеек ; 1755 ; СПБ ; Ag ; XF ; 37 ; AVA01 ; 17000 
 36 ; Копейка (Ильин-1р). Гуртовая надпись ЕМ ; 1755 ;  ; Cu ; VF+ ; 51 ; Участник № 9 ; 14000 
 37 ; Копейка (Ильин-1р). Гуртовая надпись ММД ; 1755 ;  ; Cu ; VF ; 49 ; Участник № 140 ; 14000 
 38 ; Полуполтинник ; 1756 ; ММД МБ ; Ag ; VF-XF ; 27 ; федя ; 4533 
 39 ; Гривенник ; 1756 ; МБ ; Ag ; VF-XF ; 11 ; Глол ; 16319 
 40 ; 24 копейки ; 1757 ; Ливонез ; Ag ; VF+ ; 48 ; Участник № 133 ; 23000 
 41 ; Гривенник ; 1757 ; МБ ; Ag ; XF+ ; 22 ; Участник № 51 ; 24000 
 42 ; Копейка ; 1757 ;  ; Cu ; VF- ; 17 ; Глол ; 13789 
 43 ; 2 копейки ; 1758 ; Гурт надп. Екатер. ; Cu ; VF+ ; 13 ; Участник № 222 ; 8000 
 44 ; Рубль ; 1759 ; СПБ НК TI ; Ag ; VF ; 24 ; Alexdav ; 30602 
 45 ; 5 копеек ; 1759 ;  ; Cu ; VF+ ; 13 ; Участник № 523 ; 1100 
 46 ; 5 копеек ; 1761 ; СПБ ; Ag ; XF- ; 30 ; Участник № 4 ; 9500 
 47 ; 6 грошей ; 1761 ; Для Пруссии ; Ag ; XF ; 23 ; LICVID ; 14000 
 48 ; 3 гроша ; 1761 ; Для Пруссии ; Ag ; VF ; 40 ; ilgamax ; 9066 
 49 ; Гривенник новодел (редкий, гурт-сетчатый) ; 1761 ; Д крупнее ; Cu ; AU ; 31 ; Участник № 140 ; 58000 
 50 ; Рубль ; 1762 ; ММД ДМ ; Ag ; VF-XF ; 48 ; 4758 ; 76000 
